Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu3g15060,1,1,0,1,3,12
Afu2g09870,958,724,480,1003,1115,1395
Afu5g03090,271,282,251,825,731,636
Afu4g08160,1,0,0,0,0,0
Afu2g03500,489,369,1165,237,204,114
Afu4g14390,1276,762,713,682,249,595
Afu5g07730,3,0,11,5,2,4
Afu1g05730,502,427,618,374,395,371
Afu4g09330,759,1545,1337,808,1119,945
Afu8g01310,1,0,3,1,2,0
Afu6g12450,573,97,720,15,5,56
Afu2g14780,45,17,45,139,165,123
Afu6g02080,79,55,59,102,95,96
Afu2g13650,184,100,158,55,48,52
Afu2g01690,23,17,40,30,28,28
Afu5g08380,266,251,152,522,524,357
Afu1g11110,943,565,878,626,630,423
Afu3g05490,289,208,133,716,539,491
Afu4g07310,125,98,112,86,78,82
Afu2g11450,414,363,194,591,370,433
Afu6g08520,1263,953,1143,1220,1438,631
Afu4g00990,83,120,408,457,572,358
Afu3g08820,1233,635,953,950,763,723
Afu2g03280,1359,883,1559,3202,2861,2157
Afu4g06930,602,446,385,785,861,829
Afu7g02300,95,77,109,105,144,92
Afu8tH(GUG)4,1,0,0,1,1,4
Afu2tA(UGC)1,0,0,0,1,0,1
Afu1g06000,80,80,28,101,120,143
Afu6g11880,3,0,0,11,7,11
Afu5g13100,1898,658,1662,503,109,660
Afu3g14450,28,37,40,44,36,38
Afu6g09600,67,22,98,57,98,48
Afu4g00260,4,4,12,2,3,0
Afu1g07560,23,23,22,45,34,36
Afu5g09720,454,704,817,467,400,287
Afu8g04110,1058,1669,521,1331,3785,1184
Afu1g01410,119,70,117,68,47,54
Afu6g10140,138,68,162,208,264,139
Afu8g07090,96,168,95,211,475,156
Afu2g04420,0,1,0,0,2,1
Afu7g04560,68,90,50,133,66,91
Afu4g09970,172,140,87,90,110,71
Afu5g09370,144,119,192,111,90,80
Afu1g12530,180,292,158,1405,1116,1461
Afu7g06080,111,74,75,87,114,65
Afu1g10410,425,402,364,335,385,254
Afu1g16720,150,80,132,172,182,98
Afu1g01570,26,25,44,401,101,280
Afu6g03630,91,24,159,86,139,59
