Gene,frutose_1,frutose_2,frutose_3,seb_1,seb_2,seb_3
Afu5g12950,31,24,58,42,45,33
Afu3g11430,449,195,1016,456,436,502
Afu2g05980,274,220,174,357,118,238
Afu4g02680,32,13,25,32,31,35
Afu6g12860,492,389,364,462,517,419
Afu3g09640,187,148,266,389,199,166
Afu5g03430,1093,868,1185,1431,1503,659
Afu1g05320,456,262,473,197,656,134
Afu3g00430,8,2,5,10,24,12
Afu5g12850,200,177,116,264,235,295
Afu3g13710,0,1,3,5,18,4
Afu4g14700,11,3,28,10,30,13
Afu3g03810,33,59,162,59,114,64
Afu7g02580,0,2,0,0,0,0
Afu3g10950,110,108,105,205,166,166
Afu2g07470,551,286,452,534,658,300
Afu6g05280,81,31,93,74,76,53
Afu5g09740,263,209,233,401,406,220
Afu5g02510,339,206,275,259,317,161
Afu5g13230,503,285,467,806,517,387
Afu4g03090,360,207,144,207,393,170
Afu2g00970,369,257,249,126,124,122
Afu1g09250,1176,574,1154,545,603,456
Afu2g10580,937,801,726,968,1000,1013
Afu5g14170,2,0,3,1,0,1
Afu3tN(GUU)1,0,0,0,2,1,0
Afu4g09090,1106,768,937,626,736,607
Afu2g05090,154,112,116,108,119,83
Afu3g08130,304,204,280,205,188,238
Afu4g02930,390,296,604,223,264,118
Afu2g07600,722,481,441,351,353,444
Afu1g13130,330,232,274,235,291,157
Afu8g04826,217,93,201,208,133,125
Afu4g11650,1650,1956,1869,4664,3056,2668
Afu2g15570,876,607,755,561,445,529
Afu7g04470,21,14,13,43,38,37
Afu1g04170,61,55,74,86,134,63
Afu1g07540,1359,1082,1154,888,969,883
Afu6g10750,94,36,85,68,87,35
Afu2g04600,44,19,47,69,58,29
Afu8g01720,3,1,3,0,1,0
Afu2g05780,124,81,142,159,241,81
Afu2g11740,832,620,578,1107,998,603
Afu2g03990,1965,2044,1414,2180,2160,2131
Afu3g12660,189,148,179,220,179,152
Afu6g09240,340,293,244,510,401,287
Afu3g14920,542,961,319,124,62,120
Afu3g09800,238,102,179,65,76,88
Afu4g13400,444,274,385,331,298,316
Afu6g03140,27,11,28,37,68,22
Afu7g04170,208,82,277,87,88,56
Afu2g17530,49,3,7,475,704,386
Afu8g05570,936,566,1057,1067,1355,628
Afu6g12110,0,1,0,1,0,0
Afu4g01380,21,5,15,54,38,47
Afu3g13750,6,2,0,8,0,0
Afu7g00470,353,363,307,123,106,60
Afu1g11580,24,19,37,85,106,84
Afu2g01220,2478,1842,2664,2043,1967,1649
Afu4g11660,324,223,390,377,426,248
Afu8g05500,271,207,257,169,226,152
Afu2g07910,2,3,3,3,8,9
Afu7g04710,218,344,170,406,271,399
Afu5g13050,237,211,194,177,225,136
Afu4g14130,8,4,7,19,14,11
Afu1g14960,1453,646,914,835,884,714
Afu6g13060,615,474,449,627,675,376
Afu2g13390,16,11,29,12,16,15
Afu6g02780,901,670,634,528,593,562
Afu5g12330,301,223,340,431,295,317
Afu4g10470,461,273,459,295,216,212
Afu2g15530,3,0,2,1,0,3
Afu2g02070,346,200,337,469,500,287
Afu2g16380,359,219,326,823,903,842
Afu6g06760,1484,1094,1000,1227,1226,1265
Afu7g04260,139,79,191,120,84,82
Afu4g00960,2397,1723,2088,1708,1349,1187
Afu1g02810,153,65,91,210,168,147
Afu6g10010,138,87,105,159,148,141
Afu2g00710,182,225,56,148,167,196
Afu1g16190,2202,3288,4172,4428,5653,2890
Afu6g05120,5444,5850,2891,3902,3285,2838
Afu5g01700,7,13,18,18,22,11
Afu6g07570,94,49,99,98,114,98
Afu4g01242,1458,717,1354,898,829,697
Afu2g03090,2122,1962,1625,5674,7807,4095
Afu6g00670,6,1,4,15,4,5
Afu1g04510,13,19,21,69,105,43
Afu1g09800,1671,1717,1057,2832,3439,3097
Afu2g04890,513,429,523,194,145,183
Afu5g10400,0,2,1,2,5,6
Afu2g16800,363,237,295,316,371,204
Afu6g07400,437,125,399,138,55,146
Afu5g00390,192,64,126,138,152,99
Afu1g04380,248,214,213,442,237,385
Afu5g02440,186,90,90,171,201,112
Afu4g11305,1,0,0,0,0,0
Afu7g08231,6063,4658,5762,1894,1630,2465
Afu7g08580,17,17,7,50,35,62
Afu5g10320,4,9,1,1,1,0
Afu8g01770,8,4,18,107,182,125
Afu8g00440,15127,10283,14346,3249,5052,2894
Afu1g06580,30832,25538,37144,19085,11413,20650
Afu2g04840,1019,683,999,518,575,427
Afu2g09200,1734,2251,987,2681,2871,3760
Afu6g10050,90,55,110,97,72,69
Afu7g00920,15,8,13,27,29,50
Afu4g11220,2697,1459,2563,2821,1994,1772
Afu5g05540,5387,4542,3611,5251,5015,6122
Afu4g12380,340,416,351,736,550,510
Afu2g02940,49,34,52,26,43,31
Afu1g09950,719,467,617,727,573,651
Afu4g07120,77,67,77,144,176,135
Afu2g16410,143,120,117,165,164,125
Afu3g03445,0,0,0,1,0,0
Afu8g06590,12,17,23,11,29,6
Afu5g13650,435,356,477,2419,2344,1464
Afu6g08810,828,712,736,750,1040,669
Afu4g13130,153,91,103,224,159,117
Afu3g03760,398,331,382,227,214,235
Afu3tL(AAG)2,0,0,0,0,0,1
Afu2g11300,743,590,434,556,685,449
Afu3g01450,874,476,1152,356,365,241
Afu2g11400,35,31,18,31,47,30
Afu8g00250,759,975,1151,60,75,46
Afu1g06710,1309,1072,939,918,1374,960
Afu3g12590,99,95,83,59,99,46
Afu4g07750,355,337,231,419,482,515
Afu2g06170,470,273,406,500,319,335
Afu6g02700,377,254,340,402,402,299
Afu2g00490,3,0,0,9,5,5
Afu2g16210,53,43,57,84,97,57
Afu8g02250,238,8,133,1,4,4
Afu8g00860,9,7,25,28,30,26
Afu5g14840,129,70,8,0,0,5
Afu1g14120,588,578,349,1114,1195,955
Afu5g10455,420,318,484,550,749,379
Afu5g02960,10,7,3,4,1,6
Afu4g09140,1010,658,1444,996,1153,649
Afu1g13230,58,95,52,176,118,233
Afu1g17200,780,704,818,1080,1458,486
Afu3g00230,60,34,48,50,76,23
Afu4g14280,4,0,1,0,1,0
Afu3g07830,955,852,638,743,1114,773
Afu6g06670,622,234,645,510,492,282
Afu8g04290,1104,514,1046,1004,851,620
Afu2g17890,2,0,0,2,0,1
Afu7g01640,665,395,599,704,539,422
Afu4g14490,0,2,9,3,6,0
Afu3g06220,435,306,338,390,505,348
Afu1g14980,2,7,1,10,7,8
Afu8g02050,331,134,453,189,106,138
Afu3g14510,13,11,11,293,963,189
Afu6g00160,0,1,1,0,5,2
Afu7g00150,125,246,126,49,70,20
Afu2g17180,679,438,699,755,563,565
Afu6g09150,506,311,401,336,371,297
Afu5g02100,14,7,13,35,99,18
Afu3g00800,235,135,441,173,179,175
Afu3g02750,60,42,40,47,79,30
Afu8g05050,5,2,0,2,1,0
Afu4g03840,356,240,407,530,218,235
Afu2g00230,48,29,37,199,212,191
Afu3g01320,269,202,242,155,158,117
Afu2g05880,4444,4146,1334,1960,1230,1050
Afu5g08090,648,722,346,1159,792,1641
Afu3g12600,42,46,54,90,83,50
Afu1g16620,192,95,212,144,187,111
Afu8g06360,4,36,5,12,18,10
Afu3g11630,15,14,21,21,35,15
Afu1g13280,764,422,514,437,451,308
Afu6g10000,1247,724,1340,618,422,674
Afu2g09810,391,284,344,185,223,154
Afu5g08190,572,268,454,765,261,754
Afu5g09270,997,639,825,689,1038,479
Afu5g00700,462,619,223,67,14,90
Afu1g10920,601,346,572,289,308,251
Afu2g10910,836,1465,890,1437,5152,1260
Afu4g13860,248,125,295,161,116,120
Afu4g11750,226,158,203,167,167,160
Afu2tL(CAG)1,2,0,1,0,1,0
Afu7g04430,194,230,92,464,600,536
Afu8g06910,0,0,0,1,1,0
Afu4g07980,31,10,9,32,30,35
Afu6g13890,66,59,90,99,122,57
Afu6g12690,1331,907,1076,921,994,762
AfuMttS(UGA)2,0,0,0,0,0,1
Afu4g06360,144,84,118,156,136,173
Afu4g11040,81,57,51,72,67,66
Afu1g07170,497,276,406,372,322,303
Afu2g02960,426,296,358,260,264,248
Afu1g03336,1,0,0,1,0,0
Afu2g05820,441,360,314,340,441,291
Afu4g07000,7,10,5,20,8,21
Afu2g00580,1,7,4,32,23,24
Afu6g07760,2236,1716,1544,1294,1350,1132
Afu1g06190,502,580,304,1725,1250,1867
Afu3g11950,1,0,1,8,1,3
Afu1g09650,129,102,89,144,178,109
Afu1g10270,322,138,277,87,140,92
Afu5g12630,247,155,170,176,160,170
Afu2g10740,264,221,210,131,132,121
Afu4g12530,594,330,824,622,610,600
Afu5g09530,170,158,114,212,196,230
Afu3g06760,3353,2843,1691,3386,4068,4456
Afu8g05360,813,379,597,281,174,269
Afu4g06500,38,23,25,54,41,47
Afu4g06760,792,1043,813,1494,877,952
Afu2g01830,785,661,615,914,915,815
Afu7g06220,6,3,4,906,298,716
Afu7g01330,189,124,127,107,137,112
Afu1g14680,2187,1751,2091,2626,2758,1331
Afu2g15180,1899,1420,1354,1128,637,766
Afu7g00690,13,20,14,32,31,15
Afu7g00600,1,0,0,2,8,1
Afu4g13520,1,1,6,3,0,1
Afu2g04240,351,146,410,176,97,131
Afu6g13200,1785,1206,1880,1369,1213,956
Afu6g05160,2092,1183,2878,1304,1438,740
Afu2g18070,3,0,0,7,8,6
Afu4g01070,27,29,22,50,132,66
Afu5g05900,1548,909,1658,1091,1770,727
Afu2g01330,121,114,123,443,278,303
Afu5g06050,164,136,127,356,250,213
Afu6g14070,29,20,29,58,21,31
Afu5g06300,770,427,693,411,387,288
Afu3g02400,246,170,199,184,143,177
Afu2g08510,87,71,94,216,156,145
Afu6g11060,343,222,223,249,346,230
Afu1g01400,31,11,26,12,9,10
Afu2g15130,3428,2997,3981,2019,1894,1522
Afu2g02510,255,162,265,237,267,157
Afu3g10660,972,1250,706,1426,1555,1085
Afu3g07130,612,336,589,790,741,495
Afu6g13120,799,480,727,853,1251,488
Afu2g11770,147,161,88,702,441,531
Afu5g12390,1098,558,852,701,479,563
Afu8g05480,1106,895,916,861,892,648
Afu8g01250,1,3,2,3,1,4
Afu6g03670,198,151,122,147,154,136
Afu2g03920,1408,1173,988,1709,1867,1257
Afu2g13490,1212,978,1130,1591,1020,814
Afu6g13760,87,59,77,70,139,44
Afu6g08720,786,686,479,944,742,986
Afu5g06450,586,365,515,450,429,302
Afu7g00840,6,1,6,3,2,1
Afu2g11230,157,101,108,108,121,117
Afu6g05210,10918,8939,11032,11062,8436,11438
Afu7g06630,841,607,1223,573,736,322
Afu3g15270,0,1,1,2,2,2
Afu5g06750,1206,745,1336,1470,1744,949
Afu3g12020,155,144,160,346,238,159
Afu6g11800,1,0,1,2,4,1
Afu6g03150,20,11,23,25,42,23
Afu7g04010,40,26,26,79,62,54
Afu6g04150,232,163,167,186,254,209
Afu1g13410,378,169,95,20,30,20
Afu1g17550,201,168,50,28,16,39
Afu1g11440,185,121,139,224,218,145
Afu5g12760,22,16,26,75,102,91
Afu2g04510,11,3,16,29,51,18
Afu5g03880,427,375,399,332,471,327
Afu2g09640,1767,1020,1977,3770,2406,3290
Afu3g02770,24,8,24,21,9,19
Afu3g09140,159,104,138,79,24,36
Afu2g01340,12,6,13,6,16,7
Afu1g12280,347,276,204,363,494,313
Afu6g08660,1067,904,1257,1220,1381,776
Afu4g04680,2863,1889,1370,604,587,562
Afu1g02030,1056,1019,629,2202,2474,2172
Afu5g14090,3,1,3,7,8,2
Afu1g05610,2208,1743,1795,1409,1427,1261
Afu2g06070,675,560,617,656,536,456
Afu4g03180,396,279,353,545,543,346
Afu3g13590,13,18,2,7,3,4
Afu6g04790,1013,619,845,651,688,565
Afu2g05850,1569,970,1177,1184,1191,1002
Afu2g14880,192,84,169,216,237,149
Afu6g07440,1307,756,1427,1088,1121,553
Afu1g01530,150,143,175,98,140,127
Afu6g10630,65,43,49,26,31,30
Afu5g14330,109,130,148,104,266,134
Afu2g05350,147,509,82,22,10,14
Afu4g13820,1,1,0,0,1,0
Afu3g12270,4329,2077,6039,2271,4635,3378
Afu2g09730,212,169,149,259,262,250
Afu6g12630,2538,2072,1833,1871,2060,1552
Afu5g08040,539,349,595,428,560,283
Afu4g12170,483,413,313,548,573,511
Afu6g02720,33,24,69,49,37,36
Afu2g08600,264,187,238,313,338,274
Afu5g12230,1720,1799,1626,1707,1410,1090
Afu2g13460,88,66,79,155,92,123
Afu5g03160,369,236,389,630,632,453
Afu1g06700,2062,1433,2501,1672,1533,1449
Afu3g07280,112,61,82,178,120,103
Afu6g01810,51,49,55,85,90,84
Afu1g03950,1226,1309,536,2136,2191,1689
Afu2g14560,7,5,1,3,5,1
Afu5g08350,320,229,202,318,334,433
Afu4g12750,1346,897,1313,1552,1701,951
Afu7g06300,2,6,4,5,6,15
Afu5g13620,355,202,317,572,302,282
Afu1g15620,251,355,213,1349,796,1177
Afu6g04950,217,159,220,280,289,225
Afu1g15160,1226,1065,713,624,303,393
Afu4g07090,1146,892,613,775,661,588
Afu8g05450,554,368,633,283,273,193
Afu2g10100,5097,5193,2098,5464,6186,7950
Afu2g15060,148,149,160,237,287,122
Afu6g14020,29,31,31,24,24,25
Afu5g11370,266,168,197,313,237,298
Afu1g11610,0,0,0,2,2,3
Afu4g09990,359,205,348,304,286,265
Afu6g06480,527,160,418,313,231,167
Afu4g08990,713,739,1058,652,568,470
Afu8g04190,374,353,490,658,538,457
Afu1g05480,0,1,0,0,0,0
Afu4g04760,1582,914,1338,1237,1239,766
Afu2g08150,807,597,520,392,316,492
Afu8g04130,1431,1416,1689,1757,1777,1048
Afu4g10140,231,95,150,401,461,248
Afu6g07470,2822,1636,2715,1787,733,709
Afu7g03990,375,324,184,393,360,254
Afu1g04360,449,293,457,456,601,286
Afu5g09990,14,10,19,23,32,8
Afu2g17700,0,0,0,0,1,1
Afu3g11780,205,132,231,114,217,72
Afu3g11690,6857,5641,5450,6081,7243,6142
AfuMt00001,2,3,0,0,0,0
Afu3g12870,178,111,138,325,291,196
Afu1g16700,331,313,355,321,329,194
Afu2g00200,3,3,27,33,6,18
Afu8g05750,1,1,0,2,3,3
Afu5g07600,225,168,253,362,333,212
Afu5g04090,461,217,375,249,380,152
Afu3g14180,133,63,190,133,80,77
Afu7g04200,626,416,495,706,663,470
Afu8g01840,126,87,134,96,111,86
Afu1g12700,370,295,343,488,551,353
Afu6g09070,964,776,719,607,595,623
Afu4g09960,1872,1719,1220,2418,2104,1857
Afu2g15710,351,282,201,177,184,162
Afu6g07220,76,47,70,79,82,54
Afu3g01110,611,758,284,1923,1983,2148
Afu3g02480,93,55,107,84,116,66
Afu2g11290,466,370,199,521,683,529
Afu2g12900,766,435,555,224,313,207
Afu8g07190,181,62,241,33,12,73
Afu3g02785,8,2,6,3,0,3
Afu2g03650,1283,904,1247,1052,1053,739
Afu1g05820,488,417,381,380,421,451
Afu8g07000,3,3,1,0,3,2
Afu1g13940,76,108,85,103,260,90
Afu8g02270,0,0,1,1,1,1
Afu1g12580,205,161,148,95,133,111
Afu3g00860,8,6,3,0,0,0
Afu1g15710,175,150,204,512,359,573
Afu2g11910,54,80,50,98,64,58
Afu6g08020,509,239,632,399,187,333
Afu1g01830,30,35,33,97,84,60
Afu7g03700,106,36,105,102,77,112
Afu6g13830,204,124,396,226,218,173
Afu6g10860,205,145,211,204,271,175
Afu6g07530,440,295,394,290,98,241
Afu1g12510,46,50,47,35,57,43
Afu8g05580,689,860,434,420,45,435
Afu2g11870,198,69,169,335,457,282
Afu6g02870,618,445,680,718,959,573
Afu4g03780,17,11,19,61,60,50
Afu1g17640,3,0,1,10,7,0
Afu5g10490,2686,1370,818,291,199,304
Afu2g10320,1173,768,1369,1000,1118,578
Afu6g07120,970,727,906,478,1089,455
Afu4g14580,1,0,1,1,1,0
Afu2g02830,351,182,322,368,300,277
Afu3g05810,221,77,238,203,237,243
Afu6g03280,5,3,15,1374,2241,1049
Afu8g05620,746,641,535,1307,1085,630
Afu6g04230,523,492,342,684,497,530
Afu5g11980,232,218,179,642,321,854
Afu1g03060,801,617,820,620,713,555
Afu2g03340,163,110,132,454,603,476
Afu1g14270,384,318,459,392,581,353
Afu2g15640,191,157,275,219,324,264
Afu1g17250,17585,4818,6256,25193,33798,23403
Afu2g01730,7,3,5,5,3,4
Afu7g02310,361,481,230,1023,727,1058
Afu6g04670,97,110,103,166,148,167
Afu3g06210,636,501,384,471,547,533
Afu3g02875,35,69,23,16,5,22
Afu2g01090,395,257,304,237,294,219
Afu2g04280,176,139,271,260,228,219
Afu4g06420,79,66,204,164,273,91
Afu1g05200,789,754,781,2158,2377,1366
Afu3g07600,1725,1010,1934,1400,885,697
Afu2g10050,111,17,85,309,353,216
Afu8g01870,82,68,37,22,15,3
Afu2g10340,561,307,430,634,646,460
Afu2g09340,219,206,100,116,116,75
Afu4g11380,373,239,346,279,312,209
Afu4g11012,1671,1237,1519,1883,2008,1346
Afu5g08280,636,302,576,346,331,236
Afu1g10180,0,1,0,1,1,0
Afu3g02240,78,49,44,75,60,49
Afu6g10650,1368,681,705,3511,4151,3286
Afu3g14850,17,9,16,20,16,9
Afu3g00180,2431,3529,758,89,74,72
Afu1g06280,375,229,263,358,320,299
Afu2g08430,310,186,262,140,121,125
Afu3g02830,1419,1536,971,1071,667,811
Afu3g10450,274,183,280,220,250,175
Afu1g17040,2165,1579,611,165,71,267
Afu8g05840,59,45,30,34,27,15
Afu2g00990,20,12,26,12,8,14
Afu2g12530,659,492,1227,1102,895,383
Afu5g09520,425,208,403,333,336,268
Afu6g13730,0,0,1,0,0,0
Afu1g12970,331,114,335,57,7,53
Afu6g14040,17,8,64,41,51,27
Afu8g01850,177,187,65,6,5,2
Afu5g05460,722,585,480,522,506,528
Afu1g06560,7,4,5,12,16,5
Afu1g14150,854,701,1057,598,529,426
Afu5g02120,221,162,133,254,187,176
Afu4g03880,4774,5565,2587,8471,9324,10265
Afu7g01920,1214,875,1239,1305,1537,1033
Afu5g09670,635,512,373,754,852,707
Afu4g08780,445,345,296,602,301,342
Afu3g12650,68,47,70,118,122,70
Afu2g08420,108,50,109,55,81,47
Afu2g09300,3,3,14,5,4,4
Afu7g08530,776,451,1179,292,279,243
Afu6g03530,577,377,615,349,345,289
Afu6g07070,58,39,85,6801,8535,6149
Afu2g12070,468,211,381,331,221,212
Afu1g05620,901,736,463,1039,1133,835
Afu6g11090,0,1,0,1,0,0
Afu2g05120,404,269,302,579,560,477
Afu1g00450,40,66,18,58,132,35
Afu6g11430,10477,4484,10738,2158,1421,1918
Afu5g14730,99,39,87,37,57,40
Afu2g13920,86,52,74,45,48,50
Afu6g05290,967,600,807,616,606,489
Afu4g11370,3,1,5,0,6,2
Afu1g10040,1347,956,1049,848,1007,691
Afu2g08110,176,107,74,96,71,48
Afu2g11990,872,404,827,395,323,322
Afu1g10580,5104,3191,5852,3783,4444,3384
Afu2g02620,569,317,422,283,255,321
Afu5g06780,2440,2560,1444,5577,6186,4676
Afu8g06150,119,96,137,114,102,97
Afu5g07270,113,112,66,215,355,240
Afu3g06130,574,411,474,725,620,365
Afu1g14350,210,122,309,174,96,116
Afu2g12820,0,1,0,0,2,2
Afu5g13130,544,472,360,380,391,366
Afu3g02800,1,0,1,3,7,6
Afu5g06790,20,18,7,36,21,18
Afu2g14730,179,110,189,266,326,153
Afu1g01160,25,8,16,4,3,7
Afu6g02960,665,491,431,347,346,403
Afu3g05660,89,113,73,291,124,307
Afu1tP(AGG)2,0,0,0,0,0,1
Afu2g00620,28,33,10,154,47,137
Afu1g11170,162,440,122,45,23,35
Afu2g15960,1027,958,640,598,510,662
Afu4g08480,1955,1415,1941,1516,1575,1041
Afu5g09230,11165,16755,5856,5576,4870,4985
Afu1g16170,41,33,28,90,62,52
Afu4g13210,1726,1376,1430,1892,1589,1544
Afu3g05790,36,39,35,71,98,73
Afu5g07490,197,150,641,117,78,76
Afu2g12140,444,291,413,559,381,400
Afu5g13350,238,143,150,272,231,229
Afu2g05030,83,32,59,94,90,39
Afu7g04610,1333,920,1271,927,932,785
Afu1g00750,232,163,208,179,98,123
Afu1g09910,129,94,177,274,240,298
Afu4g12430,65,37,67,72,93,63
Afu3g02310,14,4,5,14,11,7
Afu6g03970,134,81,92,87,93,80
Afu6g11390,3152,2241,3466,1737,2178,1450
Afu4g07240,163,109,114,276,217,229
Afu5g06580,295,334,238,548,450,269
Afu5g10310,53,38,37,25,11,22
Afu4g12100,412,309,304,228,252,268
Afu7g02060,257,249,241,257,329,158
Afu1g09690,165,111,115,264,159,237
Afu6g03252,89,147,97,233,219,168
Afu6g12890,874,505,797,587,543,466
Afu1g13170,375,370,250,375,205,374
Afu1g02090,670,407,633,377,363,286
Afu2g12300,246,133,254,161,128,110
Afu2g09450,285,273,879,191,680,199
Afu5g12620,345,224,206,286,258,250
Afu5g09850,596,525,431,692,868,626
Afu3g14150,115,103,109,547,582,497
Afu3g06420,391,217,369,194,207,208
Afu5g12720,299,195,244,363,702,151
Afu1g13790,6895,7530,7155,9977,13801,12185
Afu6g08310,1364,1062,1265,880,917,819
Afu6g11280,0,1,0,1,0,0
Afu6g10150,35,23,59,38,23,33
Afu1g15270,26872,46345,25520,20275,42326,10118
Afu2g05220,44,33,11,47,33,39
Afu7g06370,61,20,105,27,21,16
Afu6g08980,205,111,137,136,184,111
Afu2g05920,14,9,13,96,73,100
Afu3g05330,1017,856,898,1194,900,969
Afu5g00570,0,1,0,0,0,1
Afu3g06580,77,80,58,190,200,171
Afu3g11520,2,2,6,13,29,8
Afu3g13930,723,585,783,1284,929,783
Afu6g06500,2373,1410,1848,1508,1746,1258
Afu8g01920,150,54,120,64,33,56
Afu1g06780,1424,1039,854,1055,1043,715
Afu4g07130,689,441,635,543,627,399
Afu7g08575,47,46,25,22,39,32
Afu7g01050,5,2,6,3,3,2
Afu8g04270,474,438,543,672,912,442
Afu6g13950,527,255,363,146,304,134
Afu3g11200,538,347,465,403,362,249
Afu1g13610,227,209,333,199,378,114
Afu3g00840,1400,1506,1240,328,617,238
Afu6g06900,7645,5079,6783,6923,7333,6497
Afu4g03750,380,95,447,137,170,100
Afu6g03790,3218,545,3720,379,51,579
Afu8g02650,145,78,141,110,123,56
Afu1g05390,8682,10421,5067,16704,18205,20034
Afu3g11970,1874,1538,2382,2865,1688,1184
Afu6g06850,55,25,53,103,115,47
Afu2g12170,60,32,62,46,51,37
Afu6g03030,19,7,25,78,86,64
Afu7g05910,583,736,347,667,450,507
Afu2g09840,160,93,165,192,180,120
Afu3g10000,1249,659,1044,861,791,777
Afu6g02410,221,132,204,238,303,163
Afu5g08070,47,27,42,40,29,37
Afu2g07700,50,37,21,47,60,90
Afu5g15060,393,328,305,908,1106,635
Afu1g02530,35,49,45,113,110,109
Afu2g02650,5,4,4,10,12,5
Afu4g03610,21,32,14,55,47,38
Afu8tV(AAC)6,0,0,0,1,1,3
Afu2g09510,6371,7271,8824,6637,9383,4203
Afu3g07750,124,98,72,151,171,108
Afu5g12100,541,582,282,1214,1270,1187
Afu5g00135,79,57,85,39,76,11
Afu6g08280,69,61,120,45,70,28
Afu4g06960,1445,888,1373,906,708,778
Afu3g08020,2571,1196,2264,1618,784,1044
Afu1g14510,79,66,58,119,157,100
Afu6g03640,106,45,49,108,87,174
Afu1g17440,1,0,1,4,1,2
Afu4g04330,491,339,402,632,638,500
Afu2g02490,40,61,17,132,66,142
Afu6g13370,305,354,169,1092,1178,744
Afu7g06310,12,2,13,20,7,15
Afu5g12470,754,329,719,202,284,138
Afu6g12640,120,87,100,218,199,177
Afu5g08712,695,454,756,781,973,445
Afu6g07410,204,109,156,350,507,247
Afu8g01130,21,14,25,64,35,29
Afu4g01600,16,9,15,8,4,7
Afu2g16140,173,112,160,224,293,129
Afu2g08130,4017,3563,2085,3323,3762,4827
Afu4g12740,84,64,62,191,208,143
Afu2g09910,1772,1048,2506,2453,2861,1754
Afu5g15070,34,32,18,6,6,7
Afu1g02070,1238,1084,1092,1819,2046,1520
Afu8g00980,715,367,818,510,778,268
Afu1g14540,77,43,123,79,156,81
Afu5g05740,442,335,285,681,590,604
Afu2g07880,165,199,203,183,213,141
Afu5g13590,85,50,68,72,57,46
Afu1g05630,2346,2356,1263,3997,5221,4694
Afu7g02020,1046,740,875,607,531,659
Afu6g04410,111,94,98,138,206,142
Afu4g11820,229,186,166,221,206,194
Afu5g07200,555,110,758,269,283,191
Afu3g09060,811,839,701,920,926,712
Afu1g12290,490,383,406,432,571,458
Afu7g06280,91,116,47,92,65,55
Afu2g05240,124,151,159,65,167,49
Afu4g08660,159,114,125,186,212,227
Afu6g12230,69,61,76,206,158,127
Afu1g10220,2481,1396,2256,1138,959,704
Afu3g13890,45,21,39,64,140,74
Afu7g05700,885,560,935,851,858,476
Afu6g02170,295,293,347,366,423,313
Afu6g11970,0,1,0,2,1,0
Afu5g07760,424,342,276,725,232,536
Afu2g01140,1556,1426,1056,2068,959,1046
Afu2g08820,883,762,437,1141,234,434
Afu6g14470,303,470,189,163,446,94
Afu2g02180,541,554,504,1350,962,795
Afu2g13310,1278,938,975,876,636,616
Afu8g07110,114,135,64,59,85,92
Afu1g14650,141,104,76,135,214,132
Afu6g12620,245,211,173,235,343,311
Afu2g13740,192,100,164,273,238,145
Afu1g13570,516,592,321,1513,1535,1770
Afu6g02230,2404,1877,1475,863,752,763
Afu1g14340,503,359,300,375,317,281
Afu2g05360,128,89,154,420,311,313
Afu4g11317,94,90,115,230,202,162
Afu5g03600,238,166,124,125,83,127
Afu2g02190,81,79,36,205,235,168
Afu4g14120,1,0,2,3,2,2
Afu6g12610,236,214,289,279,319,273
Afu4g09670,1329,759,790,1090,689,422
Afu2g14520,19,3,21,73,176,47
Afu1g03405,37,24,20,35,37,43
Afu5g00975,1,2,0,0,0,0
Afu2g02420,1219,741,908,1165,1057,764
Afu2g07500,2423,1620,2283,733,635,613
Afu5g00340,11,21,11,40,28,17
Afu6g10400,168,135,149,304,261,191
Afu3g14620,175,274,26,12,9,24
Afu3g00320,2,1,25,9650,21862,10198
Afu4g09580,99,154,55,5,13,10
Afu7g04740,150,147,106,125,61,66
Afu6g11580,83,66,101,650,505,771
Afu2g09120,6,6,5,25,22,14
Afu2g16110,6,3,7,9,11,11
Afu1g04950,1521,914,1067,1846,1702,1530
Afu7g01570,33,29,30,24,55,23
Afu2g04080,5202,5713,5840,4361,4938,4391
Afu5g06915,2,2,4,40,67,33
Afu2g12150,305,254,170,561,620,476
Afu2g10060,190,97,143,208,170,152
Afu5g01760,190,184,119,711,772,493
Afu8g04020,291,164,275,435,240,270
Afu5g12740,403,325,331,699,394,424
Afu6g09500,3,2,2,10,6,7
Afu1g06800,12,8,14,27,48,16
Afu2g08750,160,127,114,195,306,205
Afu4g14751,7,2,5,14,5,13
Afu1g14430,30,23,64,120,63,101
Afu4g01370,6,4,11,27,39,10
Afu4g06640,89,58,62,149,228,89
Afu5g07660,4,1,1,3,2,4
Afu6g08540,207,104,201,344,537,220
Afu5g11470,302,189,325,474,522,208
Afu2g02660,85,42,58,88,85,51
Afu4g06670,3218,4579,1657,3033,2740,3053
Afu2g01120,102,86,94,168,143,115
Afu7g04450,396,259,315,684,577,389
Afu2g12440,152,143,172,133,152,130
Afu2g17270,34,22,36,52,78,39
Afu7g01310,504,355,554,829,809,805
Afu7g05870,1581,1189,1287,831,904,843
Afu4g14590,16,18,11,20,18,15
Afu4g11300,1052,760,979,1026,982,576
Afu5g07440,994,565,969,678,671,496
Afu2g01710,182,298,227,99,78,77
Afu2g05190,207,204,354,442,557,240
Afu2g16890,372,169,430,170,154,135
Afu1g11780,202,108,95,377,523,384
Afu6g13630,53,18,20,156,218,117
Afu4g11210,34,14,69,151,158,67
Afu3g10260,244,161,142,166,152,126
Afu1g09753,75,56,45,135,104,258
Afu4g13670,3565,3304,4128,5161,3956,4041
Afu7g06830,26,22,20,60,34,41
