,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00002929,6561,5426,8203,5332,11609,9000,8072,16808,6098,6116,7852,3417
CADAFUBG00002930,1497,218,944,1777,3413,738,1042,5347,1232,417,1453,716
CADAFUBG00002931,939,603,1312,765,1762,1694,1345,2063,1071,1019,1525,614
CADAFUBG00002932,438,144,540,323,742,506,542,1305,318,235,563,216
CADAFUBG00002933,657,210,478,398,979,500,545,1462,455,339,597,324
CADAFUBG00002934,2013,1010,1996,1761,3467,2106,1899,5624,1910,1677,2195,1530
CADAFUBG00002935,217,106,208,103,653,183,288,658,605,632,756,348
CADAFUBG00002936,2789,1835,3381,2195,5126,3080,3398,7138,2582,2271,3351,1654
CADAFUBG00002937,4,6,7,9,8,28,10,12,2,9,9,3
CADAFUBG00002938,0,13,12,3,0,37,9,5,3,12,12,1
CADAFUBG00002939,207,722,2887,119,362,4034,1937,327,151,854,1236,98
CADAFUBG00002940,1268,486,1616,706,2269,1706,1849,3338,888,585,1239,498
CADAFUBG00002941,188,336,949,208,338,450,953,846,154,220,645,211
CADAFUBG00002942,24,24,79,16,47,57,49,42,7,14,43,10
CADAFUBG00002943,5207,3313,9418,1989,9025,3203,7468,9164,1859,2265,4184,1124
CADAFUBG00002944,3970,3620,6729,3827,8274,7361,5745,8892,4557,3615,4995,3704
CADAFUBG00002945,209,445,950,72,332,887,837,357,166,394,668,131
CADAFUBG00002946,363,695,921,187,650,1300,836,801,309,599,567,190
CADAFUBG00002947,313,258,575,255,623,747,611,1418,346,371,433,323
CADAFUBG00002948,4,0,1,4,6,5,0,10,3,1,2,2
CADAFUBG00002949,1224,225,656,1121,2014,660,760,3486,977,363,899,838
CADAFUBG00002950,0,1,0,0,0,1,1,0,0,0,1,0
CADAFUBG00002951,6,39,102,14,15,193,132,46,13,81,149,23
CADAFUBG00002952,1124,1956,2015,1759,2477,4190,1946,6284,2407,3565,2260,2176
CADAFUBG00002953,50,10,36,45,67,36,52,155,29,22,30,15
CADAFUBG00002954,965,525,1329,568,1610,1286,1370,1961,736,530,1053,421
CADAFUBG00002955,696,537,1319,339,950,1327,1189,1418,516,711,910,353
CADAFUBG00002956,1309,102,834,1337,2778,262,851,4159,980,224,1133,630
CADAFUBG00002957,101,171,339,118,271,408,253,425,118,257,302,89
CADAFUBG00002958,818,377,819,482,1358,1117,881,1776,593,477,644,393
CADAFUBG00002959,1411,441,1292,1045,3194,982,1150,4348,1176,872,1172,742
CADAFUBG00002960,109,26,170,107,226,121,184,425,125,76,190,81
CADAFUBG00002961,4795,2315,3321,4277,8837,5794,3934,14371,4622,3283,4660,3345
CADAFUBG00002962,58,217,180,31,96,339,154,121,64,238,146,32
CADAFUBG00002963,1580,582,4210,1038,2615,1243,3282,3429,1366,748,2954,869
CADAFUBG00002964,601,385,2036,287,1025,1098,1808,1024,512,468,1352,294
CADAFUBG00002965,1324,592,1319,871,2414,1195,1376,3458,1063,878,1442,574
CADAFUBG00002966,1565,386,1293,1292,3069,844,1189,3809,1428,627,1509,914
CADAFUBG00002967,136,144,273,132,247,182,295,464,188,263,423,126
CADAFUBG00002968,715,835,1661,300,1135,1657,1835,1039,663,845,1664,310
CADAFUBG00002969,111,154,117,48,204,413,117,213,95,246,118,88
CADAFUBG00002970,2297,678,2698,1799,4359,1463,2535,7131,1732,1272,2685,1064
CADAFUBG00002971,13,12,36,19,17,33,33,55,53,29,54,15
CADAFUBG00002972,283,121,156,135,426,312,154,496,229,187,181,133
CADAFUBG00002973,1111,1055,2338,555,1798,1763,2198,2258,1205,1163,1902,689
CADAFUBG00002974,5,2,3,3,3,5,1,11,4,5,5,2
CADAFUBG00002975,660,128,388,565,1027,256,524,2116,413,206,588,269
CADAFUBG00002976,1433,540,1772,992,2843,1303,1961,3791,1227,822,2029,499
CADAFUBG00002977,476,367,834,408,892,777,822,1537,387,400,759,303
CADAFUBG00002978,6875,4435,3667,5088,12592,10595,4634,14835,5494,4896,4129,2433
CADAFUBG00002979,691,302,636,381,1126,1045,673,1481,451,351,546,184
CADAFUBG00002980,641,112,462,470,1254,392,430,1667,405,184,545,283
CADAFUBG00002981,671,343,903,331,1157,626,861,1307,627,415,779,290
CADAFUBG00002982,666,206,847,288,1265,632,794,1211,497,293,688,192
CADAFUBG00002983,1014,319,1129,778,1963,828,1146,3131,826,440,1038,556
CADAFUBG00002984,5093,1483,4332,2832,8240,2830,4496,11046,2685,1480,3402,1696
CADAFUBG00002985,1415,894,1347,1192,2354,1528,1529,4068,1237,991,1463,902
CADAFUBG00002986,179,108,308,92,365,187,314,324,152,128,259,101
CADAFUBG00002987,12,12,11,10,13,14,13,16,6,13,7,16
CADAFUBG00002988,295,97,205,169,457,179,209,712,270,103,182,223
CADAFUBG00002989,11,6,11,4,20,20,16,19,6,5,8,1
CADAFUBG00002990,4,3,6,1,6,6,6,10,4,6,7,6
CADAFUBG00002991,250,239,542,161,411,520,508,561,241,213,398,158
CADAFUBG00002992,22,56,78,26,45,112,84,58,23,38,30,21
CADAFUBG00002993,128,134,406,375,264,392,229,1129,32,50,76,68
CADAFUBG00002994,820,376,2101,231,1456,1586,1894,1450,428,395,1156,214
CADAFUBG00002995,109,58,209,65,160,193,200,249,97,75,153,107
CADAFUBG00002996,252,80,518,146,654,301,646,718,277,153,436,246
CADAFUBG00002997,31,12,36,35,73,45,32,128,98,58,77,51
CADAFUBG00002998,20,6,29,19,27,14,27,88,10,12,25,20
CADAFUBG00002999,3,2,3,2,4,13,11,15,10,8,9,3
CADAFUBG00003000,11,5,21,26,50,41,35,104,15,11,36,22
CADAFUBG00003001,25,17,53,23,43,80,44,85,31,42,52,28
CADAFUBG00003002,7,6,17,5,27,16,23,45,9,6,15,17
CADAFUBG00003003,71,33,129,97,162,190,121,428,83,56,121,106
CADAFUBG00003004,5,6,6,12,10,8,7,45,5,10,12,5
CADAFUBG00003005,0,0,0,2,6,1,2,7,0,1,1,0
CADAFUBG00003006,686,197,1187,3763,1725,738,669,12932,448,263,593,1326
CADAFUBG00003007,206,93,112,130,399,116,191,437,235,79,181,166
CADAFUBG00003008,1075,848,1887,709,1693,1002,1854,2420,945,1005,1519,554
CADAFUBG00003009,0,1,3,1,10,5,3,24,11,8,12,8
CADAFUBG00003010,51,16,24,102,113,37,35,414,46,21,32,117
CADAFUBG00003011,19,11,11,40,30,28,29,138,17,16,18,20
CADAFUBG00003012,0,0,0,1,0,1,0,0,0,0,0,0
CADAFUBG00003013,0,2,0,1,1,3,4,6,2,1,2,1
CADAFUBG00003014,35,37,100,30,68,119,87,112,23,51,80,27
