,Af_0min+O2-A1,Af_15min-O2-A2,Af_30min-O2-A3,Af_15min+O2-A4,Af_0min+O2-B1,Af_15min-O2-B2,Af_30min-O2-B3,Af_15min+O2-B4,Af_0min+O2-C1,Af_15min-O2-C2,Af_30min-O2-C3,Af_15min+O2-C4
CADAFUBG00003868,1112,626,1511,1121,2017,1074,1531,3232,1052,761,1475,904
CADAFUBG00003869,814,148,788,582,1812,942,1082,3092,548,212,799,279
CADAFUBG00003870,558,619,1324,271,936,1557,1324,1006,462,661,1017,245
CADAFUBG00003871,8637,8001,11140,7202,15029,16193,12114,24302,8136,11013,11780,5268
CADAFUBG00003872,2024,673,2711,721,3580,1151,2461,3187,1419,654,2063,960
CADAFUBG00003873,363,80,194,368,600,208,204,1576,250,170,238,189
CADAFUBG00003874,500,159,464,462,811,304,440,1786,366,262,467,266
CADAFUBG00003875,939,681,1335,671,1737,1296,1514,2525,879,747,1204,547
CADAFUBG00003876,548,189,546,361,926,589,582,1315,393,227,491,310
CADAFUBG00003877,550,222,763,203,948,633,678,868,275,232,507,119
CADAFUBG00003878,1060,621,1106,827,2010,983,1214,3015,828,751,1070,529
CADAFUBG00003879,2537,1315,3407,1901,4484,1429,3156,7242,1887,2001,3324,1153
CADAFUBG00003880,331,182,357,210,510,632,351,743,237,256,276,146
CADAFUBG00003881,2101,1110,2797,1195,3583,2309,2650,4235,1896,1480,2444,1345
CADAFUBG00003882,28,23,23,40,53,38,30,83,28,23,22,27
CADAFUBG00003883,291,193,400,172,606,507,427,830,238,230,383,128
CADAFUBG00003884,878,530,1305,419,1632,1334,1373,1751,751,614,1119,356
CADAFUBG00003885,750,345,777,558,1370,679,853,2062,605,372,764,347
CADAFUBG00003886,22,23,37,29,62,60,36,74,30,23,41,20
CADAFUBG00003887,1359,391,985,1354,2806,653,1114,5126,1023,596,1325,633
CADAFUBG00003888,691,318,980,418,1314,425,862,1476,589,363,770,349
CADAFUBG00003889,692,233,776,749,1574,352,863,2613,743,379,909,370
CADAFUBG00003890,917,336,857,695,1434,1154,888,2102,707,443,828,428
CADAFUBG00003891,1624,825,2364,860,2620,1834,3021,2919,1318,912,2255,829
CADAFUBG00003892,2763,1538,4174,1765,4699,3544,3755,5901,2038,2095,3107,1208
CADAFUBG00003893,2901,2276,3331,2640,5071,4955,3105,7171,2181,3057,3070,1340
CADAFUBG00003894,1476,494,1819,775,2617,1575,2040,2788,1172,981,1911,589
CADAFUBG00003895,873,363,1205,419,1454,1010,1237,1717,664,385,935,493
CADAFUBG00003896,181,29,124,211,300,61,110,800,117,67,136,95
CADAFUBG00003897,1074,378,796,1533,2158,578,804,4618,963,490,1042,774
CADAFUBG00003898,1555,917,2208,989,2667,1817,2051,3670,1375,1126,1626,796
CADAFUBG00003899,565,335,861,332,979,589,829,1242,393,435,707,235
CADAFUBG00003900,386,274,672,318,700,547,719,1070,345,283,518,284
CADAFUBG00003901,105,44,138,48,238,126,138,200,74,86,143,34
CADAFUBG00003902,674,247,904,510,1538,313,948,1980,612,328,847,357
CADAFUBG00003903,273,66,168,193,477,184,193,738,202,91,214,149
CADAFUBG00003904,2056,1090,3016,645,3440,3632,2541,2961,1310,1555,2348,550
CADAFUBG00003905,760,2647,2874,282,1386,5017,2643,1714,661,2444,2417,352
CADAFUBG00003906,841,241,365,1390,1770,912,415,4469,764,388,442,955
CADAFUBG00003907,30,5,36,35,69,19,46,105,26,17,55,29
CADAFUBG00003908,1184,1057,2772,1203,2406,1243,2672,4314,917,1148,2065,1040
CADAFUBG00003909,947,603,842,631,1686,1130,877,1974,817,741,1047,378
CADAFUBG00003910,910,893,1975,481,1598,2985,1652,1609,702,1103,1345,324
CADAFUBG00003911,1117,647,1492,751,2133,1414,1430,2497,865,915,1428,524
CADAFUBG00003912,386,271,440,263,722,582,472,851,365,236,328,212
CADAFUBG00003913,2132,558,1662,1197,4006,1446,1942,5194,1543,757,1968,705
CADAFUBG00003914,520,58,300,373,951,280,385,1445,329,169,405,216
CADAFUBG00003915,3,0,0,2,4,1,1,7,0,1,3,3
CADAFUBG00003916,893,52,623,726,2061,176,581,2774,571,119,726,362
CADAFUBG00003917,187,64,238,140,281,228,286,279,117,89,198,60
CADAFUBG00003918,804,536,938,556,1472,1259,990,1736,695,712,912,400
CADAFUBG00003919,1294,450,861,1179,2556,1035,961,4571,1288,806,1196,822
CADAFUBG00003920,212,59,170,158,442,232,174,789,122,98,186,95
CADAFUBG00003921,50,112,258,57,105,288,250,205,89,139,250,60
CADAFUBG00003922,486,388,831,281,974,740,721,1397,504,593,678,289
CADAFUBG00003923,679,283,548,718,1032,906,538,2245,460,456,547,414
CADAFUBG00003924,71,41,58,26,119,88,59,136,61,41,41,30
CADAFUBG00003925,764,563,1137,457,1308,1536,962,1502,628,672,793,357
CADAFUBG00003926,645,201,1244,340,945,1114,1482,1384,388,271,906,224
CADAFUBG00003927,1348,363,2310,683,2735,673,2106,2617,1157,596,2150,554
CADAFUBG00003928,159,21,180,123,348,149,195,350,107,57,170,62
CADAFUBG00003929,644,61,458,547,1374,251,469,1702,552,124,606,290
CADAFUBG00003930,3893,2257,4968,2791,6738,3517,5209,9393,3426,2595,5047,2099
CADAFUBG00003931,11,39,52,16,30,68,57,60,11,31,29,8
CADAFUBG00003932,1218,623,1462,871,2032,1365,1558,3496,1028,796,1342,559
CADAFUBG00003933,337,127,277,301,633,307,324,971,264,183,320,168
CADAFUBG00003934,2664,1328,3084,1245,4228,2522,3086,4725,1735,1441,2569,778
CADAFUBG00003935,870,542,2144,381,1050,1123,1173,1236,100,126,235,64
CADAFUBG00003936,386,189,549,383,635,250,513,1309,282,183,452,231
CADAFUBG00003937,2778,2427,6405,1174,4977,3321,4968,5546,1475,1548,2842,1314
CADAFUBG00003938,7,10,19,10,7,12,27,20,11,14,15,13
CADAFUBG00003939,33,60,135,44,78,150,127,217,41,59,134,40
CADAFUBG00003940,241,86,221,137,484,116,136,701,232,89,119,172
CADAFUBG00003941,1088,924,2679,588,1842,2783,2610,2224,842,1001,2003,418
CADAFUBG00003942,698,645,1396,1324,1391,827,1290,5293,797,748,1135,1336
CADAFUBG00003943,508,226,592,330,840,593,579,1129,385,270,511,294
CADAFUBG00003944,4414,589,2174,4882,8785,2376,2706,13462,4073,1461,4186,2503
CADAFUBG00003945,4735,1511,2783,4420,8216,3549,3581,13791,4292,2230,4488,2829
CADAFUBG00003946,567,298,975,299,1058,1176,780,1241,424,460,694,282
CADAFUBG00003947,812,578,1824,433,1404,1841,1986,1543,592,602,1541,321
CADAFUBG00003948,571,145,383,546,1056,383,442,2073,485,386,581,328
CADAFUBG00003949,1669,691,2095,1039,2938,1685,2039,3576,1576,1006,2124,1000
CADAFUBG00003950,12,4,11,27,16,12,16,58,10,7,10,9
CADAFUBG00003951,36,10,19,14,41,32,25,107,30,15,26,20
CADAFUBG00003952,1,2,0,1,4,4,0,0,0,1,1,1
CADAFUBG00003953,6,2,4,3,7,5,5,15,1,2,3,0
CADAFUBG00003954,0,0,0,0,1,0,0,2,1,0,0,1
CADAFUBG00003955,0,0,2,4,1,0,1,10,1,1,2,0
CADAFUBG00003956,8,1,3,5,11,4,0,12,1,1,3,0
CADAFUBG00003957,2,0,0,3,5,4,2,13,0,1,1,1
CADAFUBG00003958,3,1,0,0,0,1,1,2,1,0,2,1
CADAFUBG00003959,1,0,0,1,1,1,0,7,0,0,0,2
CADAFUBG00003960,0,1,7,3,2,4,2,6,1,1,2,1
CADAFUBG00003961,554,663,2380,222,1056,1369,2382,1057,558,634,1704,360
CADAFUBG00003962,521,227,541,219,919,561,499,919,313,403,524,198
CADAFUBG00003963,862,422,805,550,1376,899,884,2465,716,586,983,427
CADAFUBG00003964,1249,720,2205,848,2142,1433,2031,2982,1211,939,1661,886
CADAFUBG00003965,808,245,779,431,1219,824,727,1471,541,342,601,295
CADAFUBG00003966,915,46,493,678,2107,209,547,2778,604,164,662,366
CADAFUBG00003967,380,249,643,194,590,507,659,738,371,277,571,194
CADAFUBG00003968,19605,8733,16551,16158,32894,18021,17519,49493,15076,11911,16449,10502
CADAFUBG00003969,310,247,330,134,495,426,366,404,214,250,288,80
CADAFUBG00003970,13166,14863,14048,5364,24322,17651,15208,16540,14103,14353,13174,6597
CADAFUBG00003971,3574,1109,1973,3215,7527,3373,2639,12952,3383,1471,2648,1962
CADAFUBG00003972,0,0,2,0,1,0,4,1,2,1,2,2
CADAFUBG00003973,132,105,189,106,184,292,189,443,70,102,166,59
CADAFUBG00003974,3162,1210,2420,2974,6172,2588,2274,9650,1854,1439,2611,1473
CADAFUBG00003975,91,252,592,53,210,1183,523,515,75,404,531,79
CADAFUBG00003976,0,0,0,0,0,0,0,0,0,0,0,0
CADAFUBG00003977,33,12,51,53,84,37,56,186,34,25,69,29
CADAFUBG00003978,1,0,0,0,0,0,0,1,0,0,0,0
CADAFUBG00003979,683,517,1258,943,1276,1086,922,2902,437,420,654,296
CADAFUBG00003980,199,136,289,129,574,309,389,590,151,116,169,103
CADAFUBG00003981,4,1,4,5,11,4,8,14,0,1,2,4
CADAFUBG00003982,29,16,20,10,40,40,22,46,28,16,28,10
CADAFUBG00003983,4,1,9,2,8,4,10,7,2,5,10,5
CADAFUBG00003984,15,9,23,10,43,34,42,83,13,13,38,12
CADAFUBG00003985,40,21,35,218,138,39,40,782,64,24,43,173
CADAFUBG00003986,152,34,86,359,321,77,90,1471,161,68,103,377
CADAFUBG00003987,354,127,410,553,690,269,394,2113,317,198,386,475
CADAFUBG00003988,12,2,9,18,10,20,12,67,13,12,16,32
CADAFUBG00003989,99,111,184,346,180,285,176,1206,136,147,231,391
CADAFUBG00003990,183,65,96,212,281,198,114,837,124,139,135,104
CADAFUBG00003991,388,354,681,245,676,1351,620,913,309,493,441,174
CADAFUBG00003992,895,596,1504,824,1949,1524,1532,2676,860,847,1512,524
CADAFUBG00003993,187,93,215,217,383,174,187,707,155,138,194,109
CADAFUBG00003994,1343,1114,1575,775,2488,2247,1686,2122,1239,1138,1304,675
CADAFUBG00003995,783,225,447,574,1303,588,563,1952,680,447,690,439
CADAFUBG00003996,641,84,198,904,1249,324,256,2622,606,191,473,426
CADAFUBG00003997,4570,2408,5790,3708,7679,5107,6795,14694,3363,2938,6077,2064
CADAFUBG00003998,626,174,398,705,1179,606,438,2466,575,382,518,414
CADAFUBG00003999,237,50,150,326,427,102,163,1112,179,83,126,145
CADAFUBG00004000,5267,4480,6856,2382,8182,13775,6861,9853,4097,6536,5988,2161
CADAFUBG00004001,2085,842,2253,1152,3355,1606,2269,4086,1434,1092,2007,795
CADAFUBG00004002,395,145,347,314,906,443,528,1754,541,318,631,527
CADAFUBG00004003,218,60,176,242,362,134,207,751,204,72,192,174
CADAFUBG00004004,1514,1013,2544,941,2450,2564,2690,3262,1295,1270,2321,799
CADAFUBG00004005,91,47,92,77,266,166,164,321,177,142,164,83
CADAFUBG00004006,213,54,172,151,532,161,261,787,178,146,209,126
CADAFUBG00004007,1080,3180,6863,306,1737,4069,5558,1174,1082,2234,3807,480
CADAFUBG00004008,84,68,116,93,199,133,135,303,84,93,118,60
CADAFUBG00004009,80,280,338,85,126,420,320,345,99,256,292,67
CADAFUBG00004010,47,45,81,26,57,71,80,93,40,46,72,26
CADAFUBG00004011,154,80,154,81,254,224,183,299,131,133,201,74
CADAFUBG00004012,526,214,1064,177,925,992,1195,980,286,237,844,154
CADAFUBG00004013,5818,2884,5419,3216,9513,4744,6323,12655,4339,3617,6239,2206
CADAFUBG00004014,254,685,1233,85,452,1435,1372,408,217,419,828,120
CADAFUBG00004015,596,432,1055,366,1069,891,1188,1363,573,545,1109,427
CADAFUBG00004016,787,626,1195,529,1435,1096,1152,2102,691,733,1114,445
CADAFUBG00004017,200,95,257,138,359,160,247,355,140,103,233,100
CADAFUBG00004018,363,216,480,268,602,450,431,933,320,275,444,219
CADAFUBG00004019,835,346,762,794,1316,548,843,2706,831,648,1074,656
CADAFUBG00004020,3589,1857,4399,1989,5716,5591,4241,7610,2473,2192,3233,1290
CADAFUBG00004021,1207,744,1690,880,1936,2113,1860,2840,967,824,1537,541
CADAFUBG00004022,2210,1791,2640,1547,3955,2720,2637,5245,1862,1991,2473,1166
CADAFUBG00004023,323,326,665,152,532,626,742,727,256,293,477,142
CADAFUBG00004024,443,242,821,404,769,741,820,1451,310,274,608,331
CADAFUBG00004025,755,189,766,566,1441,449,882,2492,503,282,820,326
CADAFUBG00004026,343,276,308,207,1082,827,482,1015,333,496,514,153
CADAFUBG00004027,357,193,487,231,629,600,622,750,395,288,623,280
CADAFUBG00004028,29,16,27,30,62,32,30,116,39,23,42,48
CADAFUBG00004029,73,53,84,55,179,203,84,259,68,60,86,39
CADAFUBG00004030,12287,7254,9103,8991,22751,11656,11324,29345,11640,8101,12380,9941
CADAFUBG00004031,4785,3032,7447,2353,7593,6175,6447,9031,3556,4232,5825,1943
CADAFUBG00004032,4439,1260,2438,4361,9068,2966,2758,13493,4135,2132,3382,2542
CADAFUBG00004033,801,924,688,488,1124,2654,741,1915,612,1472,736,327
CADAFUBG00004034,22,6,6,44,47,17,8,126,18,6,5,27
CADAFUBG00004035,1906,588,1290,2918,3960,1716,1419,11008,1581,890,1302,1828
CADAFUBG00004036,1102,320,1397,1865,3188,1339,2015,7804,711,304,977,1172
CADAFUBG00004037,4419,2686,3506,3240,7890,9708,3871,11753,4091,3730,3701,2526
CADAFUBG00004038,1107,1256,1628,792,1882,2718,1635,2354,1137,1515,1518,697
CADAFUBG00004039,6880,3642,3238,5950,13389,8562,3997,16433,6542,3571,3438,4906
CADAFUBG00004040,10,4,2,2,7,21,6,15,6,13,1,4
CADAFUBG00004041,445,345,801,225,799,1449,805,1060,308,504,595,207
CADAFUBG00004042,157,46,112,145,244,100,137,392,124,70,131,120
CADAFUBG00004043,1032,488,1245,672,1910,1260,1359,2687,762,539,1010,457
CADAFUBG00004044,893,433,1042,828,1736,967,1008,3285,706,683,939,469
CADAFUBG00004045,725,560,874,446,1764,1117,944,1637,570,641,859,299
CADAFUBG00004046,2187,672,1732,1506,3875,1561,1875,6283,1343,969,2030,1014
CADAFUBG00004047,6,0,6,8,13,9,8,19,8,2,6,4
CADAFUBG00004048,850,414,1018,792,1790,838,914,2174,769,491,934,476
CADAFUBG00004049,23855,7595,16826,7403,38563,15374,17186,30753,18138,9010,16649,9586
CADAFUBG00004050,22755,9393,10772,13318,40019,29847,12494,42986,17432,11307,12116,8493
CADAFUBG00004051,746,798,1517,378,1498,1845,1484,1761,587,915,1243,337
CADAFUBG00004052,3328,4210,8912,381,6071,14621,8538,2582,2584,4187,6043,530
CADAFUBG00004053,2170,3688,8788,985,3948,8466,8313,4053,1653,3446,6073,999
CADAFUBG00004054,1179,892,1581,449,1864,2401,1638,1833,858,877,1270,435
CADAFUBG00004055,251,122,281,99,456,527,275,398,215,188,261,121
CADAFUBG00004056,612,143,395,769,1218,292,452,2600,548,309,586,517
CADAFUBG00004057,727,113,607,444,1438,293,644,1748,572,227,698,292
CADAFUBG00004058,10782,4902,9483,4823,17986,8723,10480,16511,10025,5856,10491,5786
CADAFUBG00004059,798,330,684,573,1534,1067,794,1929,670,464,812,311
CADAFUBG00004060,49,19,72,38,104,67,85,115,41,36,82,20
CADAFUBG00004061,966,709,983,499,1263,1607,1019,1438,793,836,946,374
CADAFUBG00004062,0,0,1,1,6,0,1,1,5,2,1,0
CADAFUBG00004063,448,328,520,271,701,877,524,855,367,446,459,197
CADAFUBG00004064,536,353,894,298,943,948,865,955,521,404,742,296
CADAFUBG00004065,298,99,378,249,511,276,385,941,255,153,381,162
CADAFUBG00004066,1375,1023,2167,828,2071,2998,2062,2688,1156,1360,1869,659
CADAFUBG00004067,971,440,736,842,1643,892,852,2589,899,539,844,543
CADAFUBG00004068,1550,761,1887,932,2619,1535,2180,3091,1240,932,2108,922
CADAFUBG00004069,678,493,898,468,1135,912,1005,1617,536,638,834,315
CADAFUBG00004070,2298,500,2017,996,3952,1649,2369,5302,1291,587,1747,784
CADAFUBG00004071,1286,490,1654,867,2252,1282,1509,2776,915,661,1331,554
CADAFUBG00004072,1625,728,1806,1103,2760,1569,1828,4131,1250,993,1702,763
CADAFUBG00004073,146,27,48,32,2141,437,433,943,2674,786,1110,613
CADAFUBG00004074,648,511,1434,327,1091,1239,1206,1388,563,647,903,294
CADAFUBG00004075,1296,818,2015,792,2355,1644,2045,2879,1065,853,1728,531
CADAFUBG00004076,316,161,355,211,551,523,371,632,283,243,320,230
CADAFUBG00004077,261,330,591,124,583,767,718,689,430,450,505,213
CADAFUBG00004078,1301,1396,3395,576,2373,1836,3256,2530,1125,1129,2425,706
CADAFUBG00004079,518,182,568,329,1026,409,635,1087,461,219,504,269
CADAFUBG00004080,297,162,333,288,524,430,344,720,351,239,416,266
CADAFUBG00004081,681,123,427,580,1235,441,463,1760,490,274,611,308
CADAFUBG00004082,25948,8929,8673,30457,51059,15456,11276,85318,27171,12967,15561,21165
CADAFUBG00004083,25,6,32,20,38,23,17,63,28,10,14,19
CADAFUBG00004084,1795,851,1696,984,2879,2212,2059,3508,1541,1015,1850,949
CADAFUBG00004085,184,134,259,148,344,421,306,421,219,214,292,168
CADAFUBG00004086,1086,378,730,777,1726,1216,948,2672,865,548,900,500
CADAFUBG00004087,36312,24314,45221,31947,78962,57901,53616,188407,30217,28860,44597,22898
CADAFUBG00004088,965,601,1147,601,1597,1290,1188,2612,720,687,995,457
CADAFUBG00004089,1118,115,555,1396,2527,515,729,5185,899,309,895,660
CADAFUBG00004090,1709,674,1798,1449,3350,1802,2179,4533,1477,779,1910,790
CADAFUBG00004091,9,4,9,11,19,11,9,23,9,2,11,5
CADAFUBG00004092,66,40,114,18,102,85,117,65,30,46,63,16
CADAFUBG00004093,5161,3670,3292,1918,7481,6657,4559,8866,3909,4280,2944,1824
CADAFUBG00004094,589,160,381,441,1103,782,443,1518,413,275,450,279
CADAFUBG00004095,974,652,792,748,1649,2847,716,2629,736,1177,846,453
CADAFUBG00004096,2031,1660,1389,2602,3729,4430,1462,9454,2012,2282,1401,2341
CADAFUBG00004097,5643,6194,9696,6018,9628,13120,9249,22163,4574,7885,8421,4260
CADAFUBG00004098,213,122,306,133,391,103,280,603,175,134,313,105
CADAFUBG00004099,456,251,671,273,816,452,614,1171,439,302,628,275
CADAFUBG00004100,7,0,1,6,9,2,6,37,5,1,6,17
CADAFUBG00004101,632,1193,7116,159,1009,2175,5506,724,502,810,3242,226
CADAFUBG00004102,424,115,218,297,784,398,277,1221,366,169,267,190
CADAFUBG00004103,8,4,2,3,10,6,12,15,7,3,6,5
CADAFUBG00004104,16,11,21,32,31,37,12,53,22,6,14,18
CADAFUBG00004105,137,75,143,173,182,161,128,354,78,70,85,86
CADAFUBG00004106,932,707,1892,603,1773,2127,1590,2224,1360,1853,2010,823
CADAFUBG00004107,753,589,2071,203,1364,2353,1557,795,815,1402,1304,300
CADAFUBG00004108,1549,528,1657,1208,3141,2352,1965,4553,1090,663,1540,544
CADAFUBG00004109,1335,680,5188,3046,4041,2237,3931,12231,1455,948,1990,1309
CADAFUBG00004110,379,135,577,407,815,754,663,1686,431,278,499,358
CADAFUBG00004111,1964,551,1818,2663,7987,2716,2076,11693,6383,2591,2387,3839
CADAFUBG00004112,2024,1030,4353,9139,7051,3067,3915,31611,3378,2248,3683,3340
CADAFUBG00004113,3107,1116,3959,4055,6478,1787,3676,19492,2766,1950,3420,2432
CADAFUBG00004114,1349,880,1814,933,2492,1523,1852,3449,1342,1117,1639,863
CADAFUBG00004115,7,9,10,7,11,21,5,27,12,17,6,7
CADAFUBG00004116,3894,1631,2498,3101,6714,2847,3136,10838,3532,2059,3684,2212
CADAFUBG00004117,3487,3629,6435,2810,6234,6751,6553,8242,4141,3670,6076,2400
CADAFUBG00004118,10692,18524,16541,13367,21421,25408,16297,32371,10251,18302,15324,6316
CADAFUBG00004119,41,80,35,35,63,306,40,98,36,123,26,23
CADAFUBG00004120,4147,6701,6412,1997,7065,24189,6063,8595,3214,10605,5959,1197
CADAFUBG00004121,41,59,119,15,77,561,88,80,37,192,97,28
CADAFUBG00004122,31,46,71,7,65,236,49,79,34,123,52,29
CADAFUBG00004123,195,305,545,64,383,1722,427,439,172,641,448,89
CADAFUBG00004124,238,54,202,206,618,235,216,1092,673,133,201,387
CADAFUBG00004125,12,6,18,11,32,64,22,40,93,55,23,28
CADAFUBG00004126,678,750,2110,486,1481,1612,2225,2428,1119,933,1954,824
CADAFUBG00004127,7171,575,2632,10844,16661,2200,3254,48282,5569,1449,4815,4812
CADAFUBG00004128,1536,247,1102,957,3577,446,1182,3442,1211,333,1198,587
CADAFUBG00004129,644,292,1789,299,1168,2007,1842,1374,345,539,1457,185
CADAFUBG00004130,2496,288,1271,1878,4558,788,1317,7285,1667,543,1533,1170
CADAFUBG00004131,451,344,617,385,901,546,652,1145,425,320,542,329
CADAFUBG00004132,17,5,17,7,22,23,28,34,21,13,20,6
CADAFUBG00004133,253,67,138,152,480,199,211,541,218,136,181,98
CADAFUBG00004134,53049,78076,56298,30157,116029,50940,60929,114622,50785,71057,64073,28140
CADAFUBG00004135,44,21,22,28,81,33,31,84,46,17,28,24
CADAFUBG00004136,128,71,130,91,240,226,143,290,93,97,113,71
CADAFUBG00004137,1175,498,1503,879,2059,1280,1583,3741,1005,833,1527,633
CADAFUBG00004138,334,175,592,239,714,458,575,1081,264,228,404,194
CADAFUBG00004139,880,496,1011,632,1477,1106,1024,2744,634,750,1050,444
CADAFUBG00004140,986,435,1045,634,1527,1339,1015,2324,704,534,1052,454
CADAFUBG00004141,5,3,10,0,12,10,10,17,7,3,10,3
CADAFUBG00004142,0,0,0,0,0,1,0,1,0,0,0,0
CADAFUBG00004143,302,227,387,600,815,730,406,1707,381,257,341,530
CADAFUBG00004144,219,80,204,308,671,563,312,1533,217,151,280,156
CADAFUBG00004145,152,191,126,25,638,622,233,223,644,744,371,140
CADAFUBG00004146,8,6,9,15,23,18,6,35,27,23,20,11
CADAFUBG00004147,672,286,1081,422,1358,535,1094,1928,461,308,713,268
CADAFUBG00004148,59,33,145,44,101,59,129,119,32,23,88,30
CADAFUBG00004149,560,380,1074,230,1044,493,850,809,545,482,779,250
CADAFUBG00004150,460,167,785,324,756,568,815,1016,279,194,611,185
CADAFUBG00004151,1394,892,1801,1190,2771,1813,1876,4022,1287,1105,1723,828
CADAFUBG00004152,123,33,160,157,239,171,212,570,100,60,142,121
CADAFUBG00004153,159,49,156,235,402,180,258,685,118,48,140,171
CADAFUBG00004154,16807,9485,15898,10661,28356,23602,16193,32833,14326,9464,13781,8433
CADAFUBG00004155,64,15,46,34,68,23,37,122,14,8,25,10
CADAFUBG00004156,599,377,457,356,881,334,315,1112,113,60,126,95
CADAFUBG00004157,5,0,1,0,7,2,2,3,0,3,2,0
CADAFUBG00004158,17,7,27,24,25,34,27,81,16,5,17,14
CADAFUBG00004159,31,15,58,19,47,51,70,71,25,25,51,19
CADAFUBG00004160,270,72,342,122,416,207,402,378,244,106,320,149
CADAFUBG00004161,1698,1141,4441,1372,3089,4088,4911,4788,1328,1315,3568,803
CADAFUBG00004162,1323,688,1530,735,2365,1201,1510,3279,1139,853,1384,513
CADAFUBG00004163,15,13,17,27,53,43,58,106,46,70,86,35
CADAFUBG00004164,297,78,242,218,525,146,312,891,258,98,299,183
CADAFUBG00004165,147,1522,6587,590,255,3503,5817,2017,230,770,3778,375
CADAFUBG00004166,110,149,200,131,237,203,214,427,118,199,166,119
CADAFUBG00004167,2222,965,1104,1050,3257,1098,1422,3077,1691,1010,1471,671
CADAFUBG00004168,222,97,228,147,365,381,250,628,131,119,208,104
CADAFUBG00004169,1126,698,1686,607,2026,1122,1478,2192,767,739,1334,374
CADAFUBG00004170,148,63,185,137,321,213,170,438,122,103,132,82
CADAFUBG00004171,194,116,316,157,271,272,335,606,155,136,253,187
CADAFUBG00004172,1262,819,7493,420,1969,1926,5538,1413,1049,979,3678,409
CADAFUBG00004173,577,196,1028,405,1051,432,819,1839,467,299,748,335
CADAFUBG00004174,24,5,25,16,24,22,23,48,14,8,20,13
CADAFUBG00004175,6,2,12,6,5,9,9,13,8,1,5,6
CADAFUBG00004176,759,516,1168,523,1440,623,935,1706,601,467,872,356
CADAFUBG00004177,786,419,806,487,1237,1017,830,2063,530,507,740,335
CADAFUBG00004178,34,31,87,55,54,69,63,166,45,28,72,49
CADAFUBG00004179,1705,739,1884,759,3854,2137,2335,3600,1755,889,2141,1063
CADAFUBG00004180,335,185,708,256,638,332,748,1027,219,192,581,155
CADAFUBG00004181,1326,518,1863,1094,2717,911,1693,4065,1072,786,1538,735
CADAFUBG00004182,1326,409,1709,1287,2426,1075,1571,4737,1455,881,2049,1384
CADAFUBG00004183,153,82,219,204,325,216,181,534,142,98,185,128
CADAFUBG00004184,9,3,12,14,12,16,10,38,4,3,4,5
CADAFUBG00004185,3,0,0,2,0,0,0,4,0,2,1,2
CADAFUBG00004186,2157,530,1464,1733,3842,1692,1534,6351,1514,976,1983,976
CADAFUBG00004187,198,76,178,154,258,122,204,550,142,123,166,111
CADAFUBG00004188,138,60,143,103,181,158,112,388,117,65,114,64
CADAFUBG00004189,223,156,286,331,635,431,376,1086,575,522,645,220
CADAFUBG00004190,133,130,224,89,295,207,285,331,189,202,253,68
CADAFUBG00004191,111,60,459,166,805,474,706,1827,279,283,513,151
CADAFUBG00004192,528,196,1352,434,1044,503,1475,1919,427,273,852,381
CADAFUBG00004193,1594,337,1131,1209,2375,642,1179,4405,623,290,1376,756
CADAFUBG00004194,6,12,26,3,6,10,20,16,7,12,14,6
CADAFUBG00004195,76,35,99,24,93,122,78,56,39,46,110,14
CADAFUBG00004196,343,179,389,266,695,510,463,828,365,241,411,198
CADAFUBG00004197,708,222,563,471,1264,547,718,1522,633,302,671,305
CADAFUBG00004198,41229,28307,21191,34181,68654,52918,25665,101163,47758,34700,28501,30767
CADAFUBG00004199,23876,15519,11423,22182,42657,29090,13457,57053,27613,18692,15902,17235
CADAFUBG00004200,1059,157,947,1034,2540,582,1131,3138,893,377,1506,419
CADAFUBG00004201,3,1,6,9,20,5,6,62,5,1,5,14
CADAFUBG00004202,14,13,54,13,27,50,42,56,12,24,48,16
CADAFUBG00004203,555,452,984,306,892,1198,960,989,558,705,899,378
CADAFUBG00004204,3561,2323,2807,1815,5286,3360,3079,4162,2820,2304,2874,1398
CADAFUBG00004205,1269,577,1229,956,2277,936,1350,2889,1163,736,1400,631
CADAFUBG00004206,752,510,1395,304,1350,1308,1235,1215,605,636,1032,281
CADAFUBG00004207,1073,703,1772,591,1938,1465,1702,2362,744,708,1295,425
CADAFUBG00004208,308,149,362,303,580,599,408,937,261,222,325,212
CADAFUBG00004209,13,4,12,13,19,9,18,58,23,11,37,32
CADAFUBG00004210,49007,24384,18474,40286,84111,58683,23237,127087,46441,30759,26597,29789
CADAFUBG00004211,4354,3474,4996,2378,6940,12814,5525,8239,3757,5804,5672,2239
CADAFUBG00004212,2077,566,1238,371,3951,1845,1539,1554,1822,921,1871,643
CADAFUBG00004213,227,74,276,212,370,201,301,759,189,149,283,194
CADAFUBG00004214,8,5,10,20,15,9,12,61,7,8,12,13
CADAFUBG00004215,309,108,266,197,467,254,350,624,220,178,321,135
CADAFUBG00004216,669,314,829,486,1188,881,887,1682,583,392,833,346
CADAFUBG00004217,17657,5317,7019,9477,29215,21500,8626,42272,11944,7535,8264,5838
CADAFUBG00004218,652,645,1314,246,1038,1859,1264,964,460,675,947,251
CADAFUBG00004219,182,95,330,187,366,96,342,652,144,128,334,118
CADAFUBG00004220,335,177,537,389,647,319,562,1312,300,254,552,340
CADAFUBG00004221,522,180,688,915,1144,448,793,5237,421,254,841,1906
CADAFUBG00004222,105,80,280,117,215,190,390,491,176,161,501,195
