,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00004639,1329,1504,894,576,823,514,459,775
CADAFUBG00004640,10891,9513,8873,7067,10226,6514,4794,6274
CADAFUBG00004641,35,21,34,12,56,117,214,268
CADAFUBG00004642,1607,803,1108,541,781,636,643,715
CADAFUBG00004643,12,13,13,10,19,14,11,13
CADAFUBG00004644,84,92,62,36,178,135,107,72
CADAFUBG00004645,93,71,154,98,89,79,158,137
CADAFUBG00004646,693,616,929,687,730,643,830,676
CADAFUBG00004647,1792,1692,1768,1504,5636,7437,2443,3888
CADAFUBG00004648,7498,6576,1804,2522,249,448,174,266
CADAFUBG00004649,187,169,84,67,82,217,64,75
CADAFUBG00004650,70,39,24,18,21,63,15,19
CADAFUBG00004651,43,38,20,16,50,56,30,29
CADAFUBG00004652,478,361,316,352,1098,625,673,810
CADAFUBG00004653,94,104,31,39,55,28,34,24
CADAFUBG00004654,12,12,9,15,25,16,13,13
CADAFUBG00004655,580,604,499,399,973,768,714,819
CADAFUBG00004656,38,30,5,7,317,333,409,428
CADAFUBG00004657,0,0,0,0,0,2,1,3
CADAFUBG00004658,1,1,0,0,0,2,0,0
CADAFUBG00004659,8,6,5,10,9,6,14,8
CADAFUBG00004660,45,10,346,459,43,37,155,170
CADAFUBG00004661,8,11,9,6,15,15,13,25
CADAFUBG00004662,42,30,141,59,177,145,265,264
CADAFUBG00004663,2,1,44,49,4,2,14,14
CADAFUBG00004664,81,45,38,29,115,75,42,62
CADAFUBG00004665,149,140,93,130,490,533,196,331
CADAFUBG00004666,6,4,3,0,72,83,8,25
CADAFUBG00004667,18,20,22,5,71,73,52,89
CADAFUBG00004668,473,419,405,731,3804,5360,2234,3759
CADAFUBG00004669,10,13,15,7,58,72,49,59
CADAFUBG00004670,242,208,20,31,55,53,9,7
CADAFUBG00004671,0,0,1,0,0,0,0,0
CADAFUBG00004672,4753,3190,7213,3982,2539,2818,3997,5402
CADAFUBG00004673,16147,10564,21548,11733,8148,9719,18630,25129
CADAFUBG00004674,0,0,0,0,0,0,0,0
CADAFUBG00004675,447,419,319,171,533,536,412,469
CADAFUBG00004676,0,2,0,0,3,2,1,1
CADAFUBG00004677,311,207,344,286,720,801,1368,1548
CADAFUBG00004678,42,41,66,19,94,155,121,148
CADAFUBG00004679,152,135,135,44,261,272,257,226
CADAFUBG00004680,958,860,224,343,1434,678,374,267
CADAFUBG00004681,327,367,46,28,468,229,66,49
CADAFUBG00004682,75,35,53,41,89,99,56,62
CADAFUBG00004683,2,0,1,0,12,4,5,3
CADAFUBG00004684,57,57,33,30,46,37,38,46
CADAFUBG00004685,1145,1140,762,462,2052,1156,1170,2289
CADAFUBG00004686,628,508,744,291,567,774,709,795
CADAFUBG00004687,1528,1059,810,647,845,549,218,196
CADAFUBG00004688,40,25,9,9,12,5,3,3
CADAFUBG00004689,88,93,21,18,137,101,57,60
CADAFUBG00004690,218,218,170,61,454,541,497,507
CADAFUBG00004691,6970,5957,2652,1645,135,57,200,284
CADAFUBG00004692,724,579,46,85,188,238,8,9
CADAFUBG00004693,1596,1442,533,739,1353,1415,855,1087
CADAFUBG00004694,2844,2776,2575,1449,2444,1578,1096,1289
CADAFUBG00004695,831,647,2179,2059,820,796,654,850
CADAFUBG00004696,1686,1521,1159,873,2769,1597,1143,1408
CADAFUBG00004697,3,1,4,1,1,3,0,1
CADAFUBG00004698,43,27,38,58,108,58,81,71
CADAFUBG00004699,122,156,56,53,163,108,64,52
CADAFUBG00004700,121,76,101,130,619,399,422,309
CADAFUBG00004701,37,26,26,19,160,146,86,122
CADAFUBG00004702,86,66,53,59,426,692,400,484
CADAFUBG00004703,79,40,41,32,71,89,68,81
CADAFUBG00004704,6,2,13,9,11,20,35,37
CADAFUBG00004705,3,2,1,1,3,2,1,0
CADAFUBG00004706,5,5,2,1,45,54,37,42
CADAFUBG00004707,143,130,51,72,219,110,33,35
CADAFUBG00004708,5887,6291,1426,5070,12238,4227,11,1
CADAFUBG00004709,1312,858,370,545,3055,2354,1913,1213
CADAFUBG00004710,0,0,0,0,0,0,0,0
CADAFUBG00004711,354,392,223,259,1001,805,634,633
CADAFUBG00004712,34,44,12,1,33,23,4,7
CADAFUBG00004713,9,3,3,2,12,9,2,10
CADAFUBG00004714,1,0,1,1,3,2,1,7
CADAFUBG00004715,97,78,17,21,125,73,67,51
CADAFUBG00004716,2828,2542,119,246,1142,781,12,12
CADAFUBG00004717,16,15,3,4,16,7,1,0
CADAFUBG00004718,13,10,6,11,2,1,5,5
CADAFUBG00004719,25,20,23,11,121,97,90,94
CADAFUBG00004720,5913,6749,7945,3612,4870,4764,4343,3399
CADAFUBG00004721,348,201,12,31,16,4,6,3
CADAFUBG00004722,354,227,191,191,403,311,250,284
CADAFUBG00004723,304,228,231,217,539,344,397,473
CADAFUBG00004724,137,144,358,108,52,81,22,15
CADAFUBG00004725,384,392,258,195,1135,805,380,535
CADAFUBG00004726,35,31,34,27,75,60,56,57
CADAFUBG00004727,12,13,39,40,13,17,33,30
CADAFUBG00004728,607,556,741,765,689,483,381,411
CADAFUBG00004729,146,126,85,80,164,117,97,92
CADAFUBG00004730,109,103,67,55,133,99,55,52
CADAFUBG00004731,0,0,0,0,0,0,0,0
CADAFUBG00004732,1,0,1,1,0,1,0,0
CADAFUBG00004733,6,2,2,1,2,3,2,0
CADAFUBG00004734,1346,1046,491,607,2936,2811,485,706
CADAFUBG00004735,1,2,0,0,3,1,1,0
CADAFUBG00004736,114,116,20,14,43,22,23,9
CADAFUBG00004737,625,662,447,551,1162,1156,454,750
CADAFUBG00004738,25,37,23,30,36,19,26,67
CADAFUBG00004739,4637,5191,7273,2586,3786,3104,6380,4463
CADAFUBG00004740,12582,12358,17312,7888,10389,10482,14204,13776
CADAFUBG00004741,23152,19058,24769,10896,15428,13449,13805,13516
CADAFUBG00004742,2101,1718,1927,1555,8314,6450,3737,3495
CADAFUBG00004743,196,165,114,140,349,564,121,175
CADAFUBG00004744,386,374,1,0,359,346,0,0
CADAFUBG00004745,2107,1862,5197,2908,3318,3401,2538,2451
CADAFUBG00004746,8862,7592,11746,5121,9190,12936,7550,8190
CADAFUBG00004747,17,15,17,4,87,73,27,9
CADAFUBG00004748,1483,772,1327,2560,555,653,605,401
CADAFUBG00004749,1933,1250,1589,2069,867,848,477,324
CADAFUBG00004750,0,0,0,0,0,0,1,0
CADAFUBG00004751,77,40,50,43,57,44,37,27
CADAFUBG00004752,113,70,87,90,115,89,63,62
CADAFUBG00004753,38,25,56,45,37,18,9,4
CADAFUBG00004754,513,543,949,837,397,117,190,62
CADAFUBG00004755,72,84,42,53,39,27,46,46
CADAFUBG00004756,76,101,62,134,222,412,216,295
CADAFUBG00004757,48,55,19,51,38,47,41,56
CADAFUBG00004758,427,430,297,436,817,1213,673,1045
CADAFUBG00004759,2118,2041,839,1579,2773,2027,1309,1401
CADAFUBG00004760,644,586,186,171,842,866,535,551
CADAFUBG00004761,0,0,0,0,0,0,0,0
CADAFUBG00004762,2,1,1,2,4,1,0,2
CADAFUBG00004763,58,54,39,33,109,57,34,45
CADAFUBG00004764,185,122,187,112,240,210,223,245
CADAFUBG00004765,1123,1005,1329,666,1475,1715,1272,1121
CADAFUBG00004766,104,80,136,99,157,279,149,183
CADAFUBG00004767,210,156,468,432,295,391,327,382
CADAFUBG00004768,1880,1304,12019,10472,987,962,2385,2687
CADAFUBG00004769,426,291,1257,868,49,58,172,48
CADAFUBG00004770,255,249,149,168,12,5,4,1
CADAFUBG00004771,8,12,29,24,1,4,5,2
CADAFUBG00004772,15,12,119,41,2,4,19,15
CADAFUBG00004773,23,16,31,46,66,26,40,30
CADAFUBG00004774,2,4,2,2,17,1,1,0
CADAFUBG00004775,110,90,140,391,138,56,110,83
CADAFUBG00004776,26,21,13,16,65,38,30,24
CADAFUBG00004777,4,2,4,1,18,18,11,16
CADAFUBG00004778,188,201,89,114,766,1883,680,1046
CADAFUBG00004779,2,2,0,2,3,3,2,1
CADAFUBG00004780,177,134,143,108,329,359,262,285
CADAFUBG00004781,0,0,0,0,1,2,4,4
CADAFUBG00004782,39,45,41,98,633,1075,384,654
CADAFUBG00004783,1389,1282,830,975,862,313,616,460
CADAFUBG00004784,8,6,2,4,3,7,2,3
CADAFUBG00004785,427,130,422,663,8,3,13,7
CADAFUBG00004786,0,0,0,0,0,0,0,0
CADAFUBG00004787,279,262,254,124,720,676,382,503
CADAFUBG00004788,10,2,4,0,39,22,13,20
CADAFUBG00004789,2,1,5,9,10,2,24,15
CADAFUBG00004790,0,0,0,0,0,0,0,1
CADAFUBG00004791,318,314,147,173,452,339,146,137
CADAFUBG00004792,494,648,142,110,1729,436,830,482
CADAFUBG00004793,11,27,51,21,16,9,78,76
CADAFUBG00004794,107,88,110,164,174,70,336,231
CADAFUBG00004795,155,132,161,78,137,90,66,64
CADAFUBG00004796,2,2,0,0,1,2,1,2
CADAFUBG00004797,145,54,93,63,23,28,17,20
CADAFUBG00004798,5976,2764,3905,2568,776,885,613,558
CADAFUBG00004799,519,552,576,452,1019,597,429,456
CADAFUBG00004800,842,635,264,412,771,387,64,92
CADAFUBG00004801,2066,1949,1772,1123,2159,1687,1088,922
CADAFUBG00004802,347,351,258,170,385,319,92,77
CADAFUBG00004803,10,8,23,26,30,16,10,5
CADAFUBG00004804,1797,1889,1833,1253,1654,1212,746,737
CADAFUBG00004805,1,1,1,1,0,3,0,0
CADAFUBG00004806,6,2,8,4,1,7,10,9
CADAFUBG00004807,84,41,101,75,101,87,156,123
CADAFUBG00004808,29544,24550,48733,21894,23484,27797,19690,21740
CADAFUBG00004809,20,9,18,13,10,11,10,9
CADAFUBG00004810,94,45,61,67,24,42,45,48
CADAFUBG00004811,90,63,138,58,192,113,249,290
CADAFUBG00004812,27,23,39,37,98,40,96,148
CADAFUBG00004813,27,11,45,21,35,27,52,56
CADAFUBG00004814,6,16,21,58,41,31,31,48
CADAFUBG00004815,333,232,142,226,1101,999,17,76
CADAFUBG00004816,6,0,8,7,13,7,3,1
CADAFUBG00004817,72,37,29,26,164,90,54,47
CADAFUBG00004818,35,31,27,34,85,62,46,38
CADAFUBG00004819,463,395,421,501,690,575,399,441
CADAFUBG00004820,180,172,178,129,277,334,268,308
CADAFUBG00004821,1188,1333,1208,936,2088,2941,2856,3111
CADAFUBG00004822,20,14,12,14,18,7,82,90
CADAFUBG00004823,4,3,1,0,2,2,0,1
CADAFUBG00004824,38,56,7,3,29,13,8,9
CADAFUBG00004825,576,583,403,291,841,758,327,387
CADAFUBG00004826,525,510,207,85,703,907,581,1090
CADAFUBG00004827,14,13,7,12,20,25,13,22
CADAFUBG00004828,147,118,74,66,221,148,86,96
CADAFUBG00004829,1,2,3,1,15,9,3,2
CADAFUBG00004830,11,7,3,8,8,11,7,4
CADAFUBG00004831,28,14,16,7,12,14,11,11
CADAFUBG00004832,5,9,7,16,19,7,9,5
CADAFUBG00004833,1973,1648,1850,1866,2283,1718,1288,1272
CADAFUBG00004834,2541,2538,3738,2672,3970,3055,2287,1751
CADAFUBG00004835,738,644,731,688,1055,694,443,493
CADAFUBG00004836,170,167,146,241,313,200,108,107
CADAFUBG00004837,19,23,13,14,66,73,38,52
CADAFUBG00004838,53,36,39,65,211,223,121,169
CADAFUBG00004839,5,5,1,3,6,2,1,1
CADAFUBG00004840,8,3,3,12,13,12,7,9
CADAFUBG00004841,4747,4602,5231,4746,5018,3830,3061,3221
CADAFUBG00004842,1319,990,456,952,2140,1737,1262,1212
CADAFUBG00004843,5,0,1,0,6,1,1,3
CADAFUBG00004844,0,1,4,0,3,8,6,9
CADAFUBG00004845,1,3,2,0,11,6,6,6
CADAFUBG00004846,0,0,0,0,0,0,0,0
CADAFUBG00004847,63,63,66,70,160,101,98,101
CADAFUBG00004848,19,22,12,7,26,16,13,5
CADAFUBG00004849,3,2,3,2,4,7,8,5
CADAFUBG00004850,17,5,15,26,11,8,8,7
CADAFUBG00004851,1567,1296,1528,2355,2048,1175,1156,1168
CADAFUBG00004852,1,1,2,0,3,2,1,6
CADAFUBG00004853,2,1,2,6,72,60,731,1283
CADAFUBG00004854,212,173,1696,1760,243,164,2276,2761
CADAFUBG00004855,58,17,806,1843,7154,8934,17516,22317
CADAFUBG00004856,9,4,40,52,8423,13488,9384,19857
CADAFUBG00004857,0,4,1,3,10,10,15,21
CADAFUBG00004858,2,4,15,22,47,42,58,109
CADAFUBG00004859,28,20,24,15,17,7,29,21
CADAFUBG00004860,4,4,7,0,0,0,3,1
CADAFUBG00004861,0,0,0,0,0,0,3,1
CADAFUBG00004862,0,1,0,0,2,0,0,0
CADAFUBG00004863,61,68,114,37,107,97,109,84
CADAFUBG00004864,29,18,33,32,49,39,43,23
CADAFUBG00004865,1,0,2,1,3,3,10,7
CADAFUBG00004866,5,6,24,17,19,13,14,8
CADAFUBG00004867,1,0,13,5,8,5,5,3
CADAFUBG00004868,5,7,116,61,5,0,240,204
CADAFUBG00004869,45,32,775,488,10,7,1167,1002
CADAFUBG00004870,0,1,7,4,0,0,11,14
CADAFUBG00004871,0,0,1,2,0,0,0,3
CADAFUBG00004872,0,0,1,0,0,0,0,0
CADAFUBG00004873,8,2,436,127,7,5,292,698
CADAFUBG00004874,37,18,1000,720,24,12,389,550
CADAFUBG00004875,20,7,611,812,24,20,409,575
CADAFUBG00004876,53,29,284,160,44,33,121,134
CADAFUBG00004877,10,12,279,119,41,23,67,72
CADAFUBG00004878,46,45,36,20,91,44,45,52
CADAFUBG00004879,209,178,228,89,230,234,297,306
CADAFUBG00004880,5,3,8,3,6,5,4,13
CADAFUBG00004881,17,6,19,18,12,4,2,3
CADAFUBG00004882,5,1,0,0,2,1,0,1
CADAFUBG00004883,2,0,1,1,0,1,1,1
CADAFUBG00004884,0,1,0,1,2,3,0,3
CADAFUBG00004885,76,25,29,20,19,10,7,6
CADAFUBG00004886,460,279,437,830,140,129,53,52
CADAFUBG00004887,141,63,133,207,29,27,13,16
CADAFUBG00004888,24,6,24,24,11,7,6,0
CADAFUBG00004889,4,0,2,0,3,2,3,2
CADAFUBG00004890,31,29,18,16,83,70,40,64
CADAFUBG00004891,353,254,180,114,516,306,172,220
CADAFUBG00004892,9800,8707,6010,9220,10506,7971,2879,3609
CADAFUBG00004893,0,1,0,1,0,0,1,0
CADAFUBG00004894,7,8,13,14,15,9,7,15
CADAFUBG00004895,1156,1211,223,295,700,525,69,16
CADAFUBG00004896,26,21,2,3,13,10,1,3
CADAFUBG00004897,67,33,12,12,17,6,0,2
CADAFUBG00004898,55,30,13,5,45,13,7,2
CADAFUBG00004899,190,108,215,150,26,12,29,25
CADAFUBG00004900,56,28,39,18,8,14,23,14
CADAFUBG00004901,0,1,1,1,0,2,2,0
CADAFUBG00004902,1,1,7,0,0,1,0,0
CADAFUBG00004903,1520,1380,1062,981,1212,946,778,669
CADAFUBG00004904,1232,1043,1081,452,2892,2787,1176,751
CADAFUBG00004905,6477,6541,7733,5989,17353,28642,13427,11966
CADAFUBG00004906,109,109,113,173,299,392,226,269
CADAFUBG00004907,74,73,34,22,435,1223,169,208
CADAFUBG00004908,22,22,10,2,17,17,6,1
CADAFUBG00004909,15,5,8,3,4,0,2,0
CADAFUBG00004910,241,82,129,106,34,76,19,19
CADAFUBG00004911,78,38,33,24,18,29,10,13
CADAFUBG00004912,42,28,38,63,54,28,49,50
CADAFUBG00004913,32,22,29,30,30,35,26,24
CADAFUBG00004914,7,3,13,10,9,7,2,3
CADAFUBG00004915,2,3,5,8,2,1,2,0
CADAFUBG00004916,471,553,230,171,189,425,321,479
CADAFUBG00004917,63,64,27,20,30,66,43,51
CADAFUBG00004918,13,12,5,5,13,19,13,8
CADAFUBG00004919,25,19,34,12,38,29,26,35
CADAFUBG00004920,28,18,31,20,35,26,23,22
CADAFUBG00004921,3,1,2,0,2,1,0,0
CADAFUBG00004922,207,227,201,158,64,15,19,33
CADAFUBG00004923,22,24,29,18,7,6,0,2
CADAFUBG00004924,29,26,36,24,15,1,7,5
CADAFUBG00004925,15,13,1,3,11,22,4,3
CADAFUBG00004926,0,0,1,0,0,0,0,0
CADAFUBG00004927,159,130,58,79,65,22,15,4
CADAFUBG00004928,476,429,514,454,593,366,289,278
CADAFUBG00004929,187,208,184,270,152,91,74,92
CADAFUBG00004930,9340,8331,8110,10697,140,317,78,42
CADAFUBG00004931,13,7,4,1,23,24,14,11
CADAFUBG00004932,158,134,175,77,299,333,209,185
CADAFUBG00004933,181,186,177,67,346,362,231,256
CADAFUBG00004934,206,244,233,78,363,451,257,279
CADAFUBG00004935,119,129,117,39,193,281,217,211
CADAFUBG00004936,137,113,141,110,193,234,191,205
CADAFUBG00004937,83,75,66,38,137,164,91,92
CADAFUBG00004938,18,8,19,6,26,29,77,112
CADAFUBG00004939,1,0,1,0,2,0,3,1
CADAFUBG00004940,107,121,54,32,314,190,118,127
CADAFUBG00004941,2,0,1,1,2,0,2,0
CADAFUBG00004942,94,59,120,122,9,6,64,76
CADAFUBG00004943,43,31,644,819,40,16,76,42
CADAFUBG00004944,144,143,83,221,230,165,118,176
CADAFUBG00004945,1776,1849,810,559,519,283,400,328
CADAFUBG00004946,28,15,11,13,35,39,19,10
CADAFUBG00004947,36,36,17,19,246,333,80,84
CADAFUBG00004948,1,0,0,0,2,0,0,0
CADAFUBG00004949,0,0,0,0,1,0,0,0
CADAFUBG00004950,1,1,1,4,8,10,7,2
CADAFUBG00004951,933,1058,61,140,379,230,10,9
CADAFUBG00004952,11252,12154,1036,1685,2392,1452,106,132
CADAFUBG00004953,102,53,70,127,104,60,40,57
CADAFUBG00004954,32,10,12,33,2,0,1,0
CADAFUBG00004955,0,1,0,0,6,7,0,0
CADAFUBG00004956,0,0,0,0,0,0,0,0
CADAFUBG00004957,0,0,0,0,0,0,0,0
CADAFUBG00004958,316,259,202,170,324,310,242,300
CADAFUBG00004959,59,34,33,17,472,1058,1231,1858
CADAFUBG00004960,19,13,18,6,76,109,67,34
CADAFUBG00004961,0,0,0,2,3,4,2,2
CADAFUBG00004962,14,9,4,4,26,12,10,9
CADAFUBG00004963,1,0,0,0,2,0,2,0
CADAFUBG00004964,96,105,122,54,119,85,64,58
CADAFUBG00004965,2,0,0,0,3,0,0,0
CADAFUBG00004966,161,136,35,34,103,68,123,245
CADAFUBG00004967,489,484,164,141,245,217,224,355
CADAFUBG00004968,297,295,266,179,473,319,190,232
CADAFUBG00004969,902,804,38,208,841,427,27,18
CADAFUBG00004970,84,45,55,74,59,35,23,37
CADAFUBG00004971,2,2,1,0,0,0,1,0
CADAFUBG00004972,75,78,56,63,157,90,95,63
CADAFUBG00004973,2,3,1,0,2,0,0,0
CADAFUBG00004974,13,10,4,12,12,14,9,5
CADAFUBG00004975,4,7,2,3,0,9,2,3
CADAFUBG00004976,344,279,115,125,727,997,274,91
CADAFUBG00004977,283,121,260,479,228,301,83,117
CADAFUBG00004978,4447,3392,2628,6383,6198,4404,3244,3734
CADAFUBG00004979,1513,1364,1254,1072,5452,7547,4599,5549
CADAFUBG00004980,22,30,27,9,96,84,73,116
CADAFUBG00004981,51,20,63,18,42,42,38,47
CADAFUBG00004982,93,71,40,28,114,110,121,150
CADAFUBG00004983,1066,450,82,270,39,33,11,7
CADAFUBG00004984,904,791,951,750,614,475,380,452
CADAFUBG00004985,777,658,800,557,691,594,496,500
CADAFUBG00004986,111,117,54,74,393,384,215,220
CADAFUBG00004987,8,6,6,7,33,17,14,10
CADAFUBG00004988,4,1,2,0,23,4,8,6
CADAFUBG00004989,443,460,527,291,544,514,473,507
CADAFUBG00004990,162,201,245,116,214,164,184,153
CADAFUBG00004991,196,265,381,191,270,196,249,220
CADAFUBG00004992,380,436,36,76,251,85,5,10
CADAFUBG00004993,2263,2678,163,199,1047,446,13,15
CADAFUBG00004994,209,291,20,25,129,75,42,39
CADAFUBG00004995,1,1,0,5,1,0,0,1
CADAFUBG00004996,41,13,43,41,15,17,15,29
CADAFUBG00004997,288,221,404,292,349,342,170,235
CADAFUBG00004998,69,90,45,75,61,100,29,30
CADAFUBG00004999,17480,16308,24961,11932,46761,58678,25167,32413
CADAFUBG00005000,83,58,94,76,135,94,103,129
CADAFUBG00005001,322,277,1103,1187,257,228,559,805
CADAFUBG00005002,196,221,390,401,131,100,206,337
CADAFUBG00005003,52,68,91,60,82,75,63,132
CADAFUBG00005004,703,501,395,224,1081,938,753,908
CADAFUBG00005005,3,2,2,0,8,3,2,2
CADAFUBG00005006,2270,2716,3275,1065,2429,3171,2827,2782
CADAFUBG00005007,624,618,973,539,656,379,335,182
CADAFUBG00005008,5256,6444,2433,1693,12586,9671,3974,4941
CADAFUBG00005009,3060,3150,5045,1843,2003,1070,1509,482
CADAFUBG00005010,3509,3292,3563,3041,3724,3019,1843,2468
CADAFUBG00005011,2370,2596,2861,1275,2819,2768,2063,2555
CADAFUBG00005012,38,50,80,18,48,56,52,54
CADAFUBG00005013,1528,1258,1228,1122,2123,2071,1160,1575
CADAFUBG00005014,1383,1140,680,445,1268,1172,434,615
CADAFUBG00005015,8781,8330,3904,2085,6508,7351,2370,2451
CADAFUBG00005016,72,58,38,35,114,73,50,73
CADAFUBG00005017,3238,3102,3591,1955,3344,4230,3379,4243
CADAFUBG00005018,1405,1465,1958,1196,1051,594,759,376
CADAFUBG00005019,3969,3732,3191,1864,6471,4978,2900,3878
CADAFUBG00005020,871,920,1176,901,914,651,386,389
CADAFUBG00005021,14713,15003,14356,9495,59446,61802,58531,81974
CADAFUBG00005022,1765,1605,1652,1119,1982,1665,1043,1194
CADAFUBG00005023,2657,2345,2156,1364,3807,3797,2397,2497
CADAFUBG00005024,864,626,141,249,3246,3539,576,1014
CADAFUBG00005025,14227,12451,2231,4539,52183,40403,3909,6166
CADAFUBG00005026,3116,3472,2752,1662,5215,3621,3782,3235
CADAFUBG00005027,1905,1679,2263,3617,3200,2206,1678,1879
CADAFUBG00005028,6180,5173,6165,8391,4812,4985,3830,4662
CADAFUBG00005029,114273,101942,188697,106633,164826,217383,271091,291492
CADAFUBG00005030,901,1021,1095,530,3801,3125,1176,1284
CADAFUBG00005031,1618,600,7498,6338,110,62,121,141
CADAFUBG00005032,810,690,310,259,838,626,301,400
CADAFUBG00005033,1749,2080,1501,760,1738,1691,832,996
CADAFUBG00005034,281,260,195,252,1747,1538,109,228
CADAFUBG00005035,2849,2760,2948,1522,3317,2384,1449,1821
CADAFUBG00005036,979,1121,560,702,1117,379,125,158
CADAFUBG00005037,311,278,464,415,330,248,312,346
CADAFUBG00005038,926,867,717,738,1086,868,557,820
CADAFUBG00005039,276,297,369,441,329,176,140,86
CADAFUBG00005040,203,250,293,227,238,99,104,55
CADAFUBG00005041,11681,11053,13003,4936,12134,8641,9230,10349
CADAFUBG00005042,2928,2604,2122,1516,2818,2123,1705,1707
CADAFUBG00005043,33,47,23,43,78,61,33,31
CADAFUBG00005044,72,70,84,118,108,75,70,64
CADAFUBG00005045,649,644,635,394,576,414,313,323
CADAFUBG00005046,621,257,335,331,83,37,47,34
CADAFUBG00005047,1023,1093,1112,611,1550,1742,2005,2461
CADAFUBG00005048,7563,7233,6594,8305,8971,6275,4012,5145
CADAFUBG00005049,2768,2998,2749,1179,2968,2025,1864,1838
CADAFUBG00005050,2593,2306,2891,1148,2357,1703,2165,2105
CADAFUBG00005051,5201,5513,6719,4627,5497,6888,6234,6638
CADAFUBG00005052,146,119,197,118,196,175,145,100
CADAFUBG00005053,360,318,363,231,464,334,977,744
CADAFUBG00005054,1535,1445,1901,897,2308,2396,2452,2886
CADAFUBG00005055,1019,1056,1239,664,1479,1106,1851,1871
CADAFUBG00005056,6973,7798,8200,5648,7529,7350,5159,5622
CADAFUBG00005057,2554,1988,1455,3162,2879,1637,860,1097
CADAFUBG00005058,863,1115,1223,543,1291,1227,850,917
CADAFUBG00005059,258,307,235,108,467,524,240,280
CADAFUBG00005060,164,172,101,64,280,251,143,202
CADAFUBG00005061,26,15,5,3,38,41,11,16
CADAFUBG00005062,962,960,967,494,1432,1527,924,835
CADAFUBG00005063,2526,2325,176,373,1233,385,13,11
CADAFUBG00005064,635,512,449,299,753,685,663,655
CADAFUBG00005065,835,646,341,389,773,695,271,273
CADAFUBG00005066,1144,1062,178,181,198,140,47,63
CADAFUBG00005067,10,22,10,15,35,25,24,37
CADAFUBG00005068,497,570,427,275,1407,876,714,896
CADAFUBG00005069,7901,8616,7368,2909,9851,9262,6780,7891
CADAFUBG00005070,8732,8667,7661,3995,9879,7337,5776,6839
CADAFUBG00005071,157,120,203,260,289,181,256,305
CADAFUBG00005072,8,1,6,6,11,5,5,6
CADAFUBG00005073,1470,1708,1383,735,2266,1976,1664,1984
CADAFUBG00005074,3519,3728,4276,4118,4240,3013,2342,2276
CADAFUBG00005075,1520,1568,1890,1296,1867,1322,1027,937
CADAFUBG00005076,216,179,186,185,188,153,67,79
CADAFUBG00005077,1503,1539,1435,1070,1927,1383,795,1045
CADAFUBG00005078,8447,7984,8811,7804,9947,6725,6654,7266
CADAFUBG00005079,403,362,426,282,192,142,159,178
CADAFUBG00005080,311007,253671,136910,210178,35043,35317,20789,23670
CADAFUBG00005081,2183,2277,7065,2749,771,549,990,1113
CADAFUBG00005082,347,280,366,331,335,189,161,175
CADAFUBG00005083,99,81,176,332,101,88,69,85
CADAFUBG00005084,1514,1755,1543,910,1969,1839,1702,2047
CADAFUBG00005085,1191,1322,1508,747,1462,986,474,474
CADAFUBG00005086,1429,1271,1322,1040,1864,1645,823,1334
CADAFUBG00005087,1049,1064,814,400,1008,772,587,696
CADAFUBG00005088,805,733,877,402,913,610,808,809
CADAFUBG00005089,3524,3637,3781,2466,4208,3502,3007,3581
CADAFUBG00005090,3813,5513,5322,2110,4168,5423,3609,4118
CADAFUBG00005091,1334,1359,1503,1185,1941,1738,1229,1546
CADAFUBG00005092,723,646,848,532,842,732,561,717
CADAFUBG00005093,286,248,274,192,510,324,237,218
CADAFUBG00005094,1812,2008,543,311,550,513,246,281
CADAFUBG00005095,639,645,255,164,273,320,169,185
CADAFUBG00005096,40,41,94,29,46,24,28,34
CADAFUBG00005097,10,10,107,15,10,3,10,8
CADAFUBG00005098,822,645,757,788,1195,1010,1140,1049
CADAFUBG00005099,210,144,185,114,231,224,177,126
CADAFUBG00005100,13,6,64,4,13,16,7,11
CADAFUBG00005101,39,49,88,17,57,88,53,51
CADAFUBG00005102,1118,1173,1293,668,1643,1810,1667,2158
CADAFUBG00005103,78,79,54,53,2214,2786,398,601
CADAFUBG00005104,4,6,7,10,21,11,7,15
CADAFUBG00005105,3947,4425,4492,1477,4291,3606,3144,2412
CADAFUBG00005106,1414,1332,1243,1359,1922,1705,1279,1629
CADAFUBG00005107,2145,2089,2476,2808,3247,2351,2604,2706
CADAFUBG00005108,16165,12393,16772,6654,13683,12165,11382,11993
CADAFUBG00005109,1529,1416,2096,1218,2158,1433,3027,2508
CADAFUBG00005110,1491,1271,465,293,932,476,133,119
CADAFUBG00005111,1986,2238,1719,813,1532,1301,2264,2236
CADAFUBG00005112,93,60,47,111,92,50,39,26
CADAFUBG00005113,1253,957,1819,877,457,366,416,267
CADAFUBG00005114,913,665,1326,809,1636,1842,3132,3045
CADAFUBG00005115,49,34,177,167,33,38,89,105
CADAFUBG00005116,2112,1436,4737,3108,1336,1322,4440,4866
CADAFUBG00005117,4042,2402,6240,5321,1042,820,3322,3322
CADAFUBG00005118,2194,1789,7431,5019,1376,1271,6412,6240
CADAFUBG00005119,1211,1153,3599,4051,6721,6902,6947,7735
CADAFUBG00005120,724,736,960,975,1171,1323,1012,997
CADAFUBG00005121,403,401,424,314,397,326,241,165
