,RC1_WT_GMM1,RC2_WT_GMM2,RC3_creA_GMM1,RC4_creA_GMM2,RC5_WT_EMM1,RC6_WT_EMM2,RC7_creA_EMM1,RC8_creA_EMM2
CADAFUBG00000143,1329,1044,1200,994,2051,1846,1384,1874
CADAFUBG00000144,9724,3876,6131,9404,1479,737,355,408
CADAFUBG00000145,65,62,42,36,107,77,79,63
CADAFUBG00000146,1747,1417,1711,2458,3286,2434,2752,3236
CADAFUBG00000147,21581,22260,27556,25705,15134,12025,11498,10188
CADAFUBG00000148,876,906,889,909,996,596,648,567
CADAFUBG00000149,1413,1360,2413,2430,4377,2169,2615,3783
CADAFUBG00000150,1223,1534,639,1147,665,397,220,213
CADAFUBG00000151,2196,2750,3061,1072,2093,1841,1606,1433
CADAFUBG00000152,21416,22124,26039,22256,8138,4520,2865,2583
CADAFUBG00000153,2124,2115,2067,1863,2402,1469,1595,1973
CADAFUBG00000154,755,748,672,613,757,609,626,734
CADAFUBG00000155,4494,4157,2434,1799,3082,1587,914,599
CADAFUBG00000156,2024,2152,2165,1044,3930,5132,3560,5105
CADAFUBG00000157,1032,994,5408,2813,1391,1460,3201,3600
CADAFUBG00000158,1636,1600,5055,2010,1841,1024,1520,1293
CADAFUBG00000159,1546,1426,1557,1021,1976,1453,1387,1646
CADAFUBG00000160,727,668,670,789,1372,999,895,1084
CADAFUBG00000161,1112,902,1052,934,1330,1492,1779,2385
CADAFUBG00000162,2418,1806,2385,2507,3922,4028,4140,5607
CADAFUBG00000163,713,633,727,1336,1299,1004,671,807
CADAFUBG00000164,4482,5117,4373,1872,3910,3830,2672,3099
CADAFUBG00000165,603,557,749,516,653,595,381,483
CADAFUBG00000166,498,455,745,451,770,652,666,796
CADAFUBG00000167,295,344,268,344,435,266,239,293
CADAFUBG00000168,68,89,55,50,161,87,116,132
CADAFUBG00000169,926,943,1299,868,1796,1201,2474,2410
CADAFUBG00000170,4439,4678,3780,1691,5299,3406,3193,3027
CADAFUBG00000171,402,351,312,218,689,508,493,597
CADAFUBG00000172,1209,1341,1454,712,2044,1799,2505,2638
CADAFUBG00000173,602,630,702,583,963,729,580,631
CADAFUBG00000174,634,521,634,860,1268,1106,791,1124
CADAFUBG00000175,40999,45086,55662,19383,15724,7994,4861,4031
CADAFUBG00000176,2700,2759,2922,1420,3017,2027,2818,2614
CADAFUBG00000177,881,944,1153,798,1121,792,1124,1312
CADAFUBG00000178,4453,3901,4588,2215,2888,2205,2113,2247
CADAFUBG00000179,3602,3440,2497,1681,5504,4538,4418,4598
CADAFUBG00000180,397,414,355,513,1065,785,775,985
CADAFUBG00000181,48730,55560,44193,16640,174253,157940,258041,244345
CADAFUBG00000182,1017,957,1000,1755,2118,1472,1332,1439
CADAFUBG00000183,2509,2258,2164,3729,4265,3234,2978,3395
CADAFUBG00000184,901,864,977,811,844,633,556,642
CADAFUBG00000185,2121,2222,1413,1974,2690,1951,858,1171
CADAFUBG00000186,447,430,1055,1059,558,470,805,883
CADAFUBG00000187,3442,3659,3370,3790,6754,5148,6376,6698
CADAFUBG00000188,3042,3098,3584,2653,3013,2092,1844,1911
CADAFUBG00000189,2128,2140,2334,1914,1404,929,818,742
CADAFUBG00000190,6562,7107,5660,2621,6576,5066,3570,4187
CADAFUBG00000191,2107,2269,567,780,2259,592,108,76
CADAFUBG00000192,122,160,149,165,314,256,162,228
CADAFUBG00000193,296,268,288,348,506,333,176,270
CADAFUBG00000194,1402,1570,1585,949,1508,1170,1253,1213
CADAFUBG00000195,668,696,606,910,1073,899,342,357
CADAFUBG00000196,778,867,944,526,972,977,614,695
CADAFUBG00000197,353,289,423,292,330,194,358,398
