,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_003310,919,935,971,905,948,1008
gene:AFUB_003320,526,459,516,958,1009,1236
gene:AFUB_003330,15,13,9,746,769,953
gene:AFUB_003340,5,2,1,72,82,96
gene:AFUB_003350,149,134,169,632,652,786
gene:AFUB_003360,3699,3870,4642,6577,7530,8661
gene:AFUB_003370,828,835,980,2172,2279,2940
gene:AFUB_003380,873,956,999,9463,9710,12216
gene:AFUB_003390,1204,1512,1662,1496,1637,2371
gene:AFUB_003400,2131,2763,2929,5501,4652,6385
gene:AFUB_003410,726,709,805,572,594,671
gene:AFUB_003420,855,953,874,7835,6050,8703
gene:AFUB_003430,658,679,695,1987,1742,2562
gene:AFUB_003440,7091,6152,7074,11479,14868,18537
gene:AFUB_003450,1140,1007,1065,2854,2401,3234
gene:AFUB_003460,2611,2619,3140,2180,2657,3050
gene:AFUB_003470,847,760,887,1209,1269,1617
gene:AFUB_003480,2401,2438,2771,4827,4374,6026
gene:AFUB_003490,771,746,802,878,978,1140
gene:AFUB_003500,130,312,1270,16633,17953,23010
gene:AFUB_003510,6154,5877,6289,1716,2024,2295
gene:AFUB_003520,18036,19091,22921,6370,6865,8727
gene:AFUB_003530,751,625,802,1006,1112,1468
gene:AFUB_003540,936,1062,1372,1368,1342,1694
gene:AFUB_003550,168,84,100,351,368,367
gene:AFUB_003560,1112,1432,1686,390,375,463
gene:AFUB_003570,29,19,16,58,53,51
gene:AFUB_003580,34,27,27,518,438,552
gene:AFUB_003600,318,309,302,98,123,128
gene:AFUB_003610,1,1,4,0,1,0
gene:AFUB_003620,0,0,0,0,0,0
gene:AFUB_003629,0,4,6,3,3,2
gene:AFUB_003630,274,146,174,7,15,20
gene:AFUB_003640,0,0,2,7,1,3
gene:AFUB_003650,1,0,0,7,7,7
gene:AFUB_003660,0,0,0,2,0,0
gene:AFUB_003670,1,0,0,0,0,1
gene:AFUB_003680,0,0,0,0,0,0
gene:AFUB_003690,0,0,0,4,6,7
gene:AFUB_003700,1,1,0,5,9,11
gene:AFUB_003710,0,1,0,4,1,9
gene:AFUB_003720,0,1,0,16,16,17
gene:AFUB_003730,0,0,0,1,0,0
gene:AFUB_003740,0,0,0,42,25,32
gene:AFUB_003750,0,0,0,0,0,1
gene:AFUB_003760,0,0,1,10,2,5
gene:AFUB_003770,4,1,4,9,14,17
gene:AFUB_003780,928,826,807,2559,2227,2899
gene:AFUB_003790,2138,1619,1536,3374,2593,3918
gene:AFUB_003800,45137,51975,54815,13718,13754,16874
gene:AFUB_003810,5093,4761,5168,3676,3904,4733
gene:AFUB_003820,1528,1240,1502,2245,2017,2549
gene:AFUB_003830,2605,2494,2995,986,880,1112
gene:AFUB_003840,1078,1096,1209,1353,1543,1949
gene:AFUB_003850,1118,1656,1683,969,1047,1184
gene:AFUB_003860,981,850,893,1263,1242,1462
gene:AFUB_003870,774,826,890,1776,2116,2427
gene:AFUB_003880,0,3,0,3,4,0
gene:AFUB_003890,0,3,1,1,8,11
gene:AFUB_003900,1785,1277,1542,1045,1192,1406
gene:AFUB_003910,3796,4322,4449,6571,5498,7129
gene:AFUB_003920,19699,21503,24124,6251,6948,8076
gene:AFUB_003930,39,25,37,65,42,51
gene:AFUB_003940,81,51,63,496,501,543
gene:AFUB_003950,1138,1258,1231,2097,1715,2378
gene:AFUB_003960,1685,857,1067,1486,1506,1999
gene:AFUB_003970,890,800,865,774,848,1001
gene:AFUB_003980,8,8,10,33,27,47
gene:AFUB_003990,67,57,71,221,243,276
gene:AFUB_004000,1673,1543,1762,1757,1924,2229
gene:AFUB_004010,61,40,46,179,200,259
gene:AFUB_004020,195,366,499,97,63,86
gene:AFUB_004030,2904,2216,2512,1986,1876,2316
gene:AFUB_004040,2586,1741,2044,860,978,1248
gene:AFUB_004050,398,517,608,515,542,621
gene:AFUB_004060,1303,1166,1352,489,345,534
gene:AFUB_004070,6766,6310,7039,1410,1174,1584
gene:AFUB_004080,8,2,0,8,3,4
gene:AFUB_004090,2273,2264,2379,4731,5100,6395
gene:AFUB_004100,266,250,264,301,314,375
gene:AFUB_004110,230,336,285,313,291,360
gene:AFUB_004120,1672,2292,2411,939,923,1002
gene:AFUB_004130,1026,1092,1349,1086,1443,1614
gene:AFUB_004140,164,157,156,950,771,1043
gene:AFUB_004150,1018,798,944,2776,2880,3454
gene:AFUB_004160,658,484,617,833,671,836
gene:AFUB_004170,2818,2341,2698,3951,3569,4463
gene:AFUB_004180,370,405,460,177,154,200
gene:AFUB_004190,340,351,405,201,190,205
gene:AFUB_004200,391,447,447,317,327,434
gene:AFUB_004210,1217,2357,2578,8207,5389,8319
gene:AFUB_004220,586,555,527,566,637,843
gene:AFUB_004230,930,1017,1113,1787,1532,2153
gene:AFUB_004240,1072,1164,1225,1312,1441,1813
gene:AFUB_004250,1662,1620,1787,1356,1128,1494
gene:AFUB_004260,0,0,3,22,3,12
gene:AFUB_004270,201,240,264,406,444,480
gene:AFUB_004280,409,399,384,1928,2089,2569
gene:AFUB_004290,1536,1422,1455,4419,4603,5745
gene:AFUB_004300,45,40,25,79,77,110
gene:AFUB_004310,864,684,746,1601,1690,2120
gene:AFUB_004320,2875,2856,3444,4664,3912,5202
gene:AFUB_004330,2326,2795,2840,6633,4472,6929
gene:AFUB_004340,3604,3870,4408,4442,4410,5601
gene:AFUB_004350,6439,5938,6722,2917,2992,3813
gene:AFUB_004360,706,834,961,2325,2878,3655
gene:AFUB_004370,11622,13423,15220,13020,11104,14656
gene:AFUB_004380,643,512,492,1298,1027,1379
gene:AFUB_004390,1022,945,981,802,827,919
gene:AFUB_004400,915,800,840,1597,1876,2152
gene:AFUB_004410,47859,50318,61071,17198,18065,20517
gene:AFUB_004420,1578,1303,1432,3113,3202,3675
gene:AFUB_004430,53181,55261,69331,21977,23199,29034
gene:AFUB_004440,3091,2802,3082,2694,2338,3089
gene:AFUB_004450,320,291,377,264,280,348
gene:AFUB_004460,21,37,40,128,134,143
gene:AFUB_004470,518,467,415,1148,1039,1321
gene:AFUB_004480,653,775,710,1193,1060,1353
gene:AFUB_004489,100,103,91,388,379,470
