,MM1,MM2,MM3,GPA1,GPA2,GPA3
gene:AFUB_051580,231,186,219,450,481,639
gene:AFUB_051590,4979,4615,5327,1616,1633,2092
gene:AFUB_051600,3365,4513,4950,3006,2724,3648
gene:AFUB_051610,17,19,21,131,99,140
gene:AFUB_051620,80,59,66,518,470,562
gene:AFUB_051630,2585,3066,3278,4405,3359,4592
gene:AFUB_051640,3568,3342,4059,1713,1855,2082
gene:AFUB_051650,4968,4872,5889,2723,2820,3583
gene:AFUB_051660,4,12,8,163,121,170
gene:AFUB_051670,2335,2406,2867,4724,3969,5119
gene:AFUB_051680,2,0,0,1,0,1
gene:AFUB_051690,1846,2434,2515,3332,3142,3899
gene:AFUB_051700,263,292,317,725,591,739
gene:AFUB_051710,876,846,845,1987,1649,2177
gene:AFUB_051720,26,35,31,520,584,795
gene:AFUB_051730,872,944,875,1410,1565,1868
gene:AFUB_051740,487,708,771,1620,1917,2138
gene:AFUB_051750,979,1134,1077,3812,4129,4939
gene:AFUB_051760,6451,6891,7660,10329,10702,12987
gene:AFUB_051770,1959,1897,1969,1868,2170,2461
gene:AFUB_051800,9,5,25,152,153,176
gene:AFUB_051810,2,6,5,12,16,21
gene:AFUB_051820,1337,1269,1371,4198,4464,5751
gene:AFUB_051830,61,28,51,588,700,787
gene:AFUB_051840,1704,1951,2289,463,554,578
gene:AFUB_051850,2125,2495,2494,7598,6718,8727
gene:AFUB_051860,1162,2534,3253,2027,2688,2677
gene:AFUB_051870,1609,1057,1506,5003,4647,6482
gene:AFUB_051880,800,881,1014,1207,1443,1468
gene:AFUB_051890,872,752,784,1417,1332,1542
gene:AFUB_051900,888,947,1011,641,663,766
gene:AFUB_051910,1835,1621,1789,5380,4569,6039
gene:AFUB_051920,899,635,702,289,232,389
gene:AFUB_051930,538,639,653,1455,1565,1982
gene:AFUB_051940,153,163,151,1129,1487,1589
gene:AFUB_051950,2170,2553,2680,3600,2997,3820
gene:AFUB_051960,234,250,310,831,869,1065
gene:AFUB_051970,527,489,483,197,191,231
gene:AFUB_051980,2066,2019,2264,1472,1391,1756
gene:AFUB_051990,4610,4416,5201,6104,6304,7634
gene:AFUB_052000,232,248,317,551,706,880
gene:AFUB_052010,26368,25379,30773,4346,4668,5947
gene:AFUB_052020,5497,4435,4808,3823,3492,4557
gene:AFUB_052030,471,349,394,371,386,473
gene:AFUB_052040,2325,2191,2874,1226,1356,1627
gene:AFUB_052050,18,11,13,71,39,61
gene:AFUB_052060,669,355,448,302,355,435
gene:AFUB_052070,210,163,164,467,405,492
gene:AFUB_052080,13797,16287,19534,13148,12496,16138
gene:AFUB_052090,3426,4071,4503,1251,1230,1522
gene:AFUB_052100,760,773,876,1038,1053,1373
gene:AFUB_052110,445,384,393,1799,1730,2378
gene:AFUB_052120,875,875,1006,3283,3567,4573
gene:AFUB_052130,2302,2930,3172,6012,7109,8557
gene:AFUB_052140,962,999,1133,953,1102,1266
gene:AFUB_052150,5614,6821,7698,3023,3040,3728
gene:AFUB_052160,0,0,2,18,8,20
gene:AFUB_052170,646,545,585,1494,1608,2452
gene:AFUB_052180,6179,8059,7308,15102,13729,18621
gene:AFUB_052190,1321,1368,1501,1641,1834,2161
gene:AFUB_052200,1502,1633,1763,5187,6306,8223
gene:AFUB_052210,1059,1189,1247,4453,5476,6716
gene:AFUB_052220,599,401,437,4718,3396,5038
gene:AFUB_052230,1655,1520,1943,3993,3569,4905
gene:AFUB_052240,449,707,679,1632,1657,2086
gene:AFUB_052250,189,204,240,411,425,453
gene:AFUB_052260,75,81,80,2,5,1
gene:AFUB_052270,5068,5817,6501,19302,16007,25994
gene:AFUB_052280,3,5,8,160,112,200
gene:AFUB_052290,4,1,7,34,31,49
gene:AFUB_052300,504,840,811,513,404,590
gene:AFUB_052310,609,886,803,975,745,1114
gene:AFUB_052320,40,35,33,92,112,127
gene:AFUB_052330,820,825,846,1740,1772,2169
gene:AFUB_052340,0,3,6,653,782,932
gene:AFUB_052350,6,4,17,915,1197,1263
gene:AFUB_052360,1246,1288,1458,2061,2447,2960
gene:AFUB_052370,516,399,534,3584,3643,4643
gene:AFUB_052380,2855,3056,3484,4139,3552,4950
gene:AFUB_052390,2057,2615,3166,1203,1287,1604
gene:AFUB_052400,1452,1904,2132,713,879,950
gene:AFUB_052410,634,747,780,1821,2111,2449
gene:AFUB_052420,579,810,654,848,759,1018
gene:AFUB_052430,221,172,151,2890,4082,3671
gene:AFUB_052440,438,454,536,507,564,689
gene:AFUB_052450,55,43,38,279,284,394
gene:AFUB_052460,6,4,13,131,106,126
gene:AFUB_052470,233,146,149,1012,1088,1323
gene:AFUB_052480,34,22,35,267,291,319
gene:AFUB_052490,1828,1703,1929,1601,1751,1978
gene:AFUB_052500,3188,3799,4383,2796,2799,3660
gene:AFUB_052510,1122,1192,1376,1273,1479,1720
gene:AFUB_052520,2289,2445,2572,3152,3126,3655
gene:AFUB_052530,546,513,599,3384,2716,3909
gene:AFUB_052540,4904,6187,7019,2566,2753,3244
gene:AFUB_052550,444,450,514,1007,1139,1309
gene:AFUB_052560,408,549,580,4930,4475,6089
gene:AFUB_052570,760,824,1030,1422,1558,1856
gene:AFUB_052580,12,14,17,97,198,137
gene:AFUB_052590,1714,1556,1725,610,478,643
gene:AFUB_052600,990,875,945,2077,1824,2552
gene:AFUB_052610,910,899,946,1253,1454,1627
gene:AFUB_052620,1245,1376,1442,3647,4546,5157
gene:AFUB_052630,2095,1861,2198,2428,2769,3421
gene:AFUB_052640,182,122,125,208,173,255
gene:AFUB_052650,359,319,377,1014,989,1271
gene:AFUB_052660,2196,1978,2193,2783,3279,3879
gene:AFUB_052670,1146,992,1112,1309,1345,1778
gene:AFUB_052680,5913,7003,7015,2525,2681,3067
gene:AFUB_052690,10982,30913,26789,71653,72270,98105
gene:AFUB_052700,1212,809,885,3419,3990,4478
gene:AFUB_052710,3128,3054,3259,2773,2803,3613
gene:AFUB_052720,2618,3199,3156,3419,3023,4311
gene:AFUB_052730,21669,25783,29010,7032,7473,8952
gene:AFUB_052740,17378,9251,13215,1434,1722,1822
gene:AFUB_052750,27469,29537,31386,4626,5167,6198
gene:AFUB_052760,3163,3406,3791,3190,2897,3632
gene:AFUB_052770,6499,4682,5155,2282,2177,2812
gene:AFUB_052780,3042,3416,3773,9825,7680,11047
gene:AFUB_052790,2594,3524,3880,2931,3145,3649
gene:AFUB_052800,792,722,755,1248,1431,1884
gene:AFUB_052810,816,1043,1100,5042,5410,6472
gene:AFUB_052820,1334,1188,1380,3546,2959,3819
gene:AFUB_052830,787,2967,2808,2321,2728,2921
gene:AFUB_052840,3736,3985,4267,4210,4875,6000
gene:AFUB_052850,7170,6618,7369,9141,9610,10981
gene:AFUB_052860,1695,1918,2086,1517,1523,1843
gene:AFUB_052870,551,776,812,848,935,1112
gene:AFUB_052880,89,88,95,124,102,162
gene:AFUB_052890,112,88,108,312,220,318
gene:AFUB_052900,64,36,56,182,154,168
gene:AFUB_052910,65,59,78,217,164,199
gene:AFUB_052920,1324,1165,1142,1268,1404,1669
gene:AFUB_052930,13395,14628,16264,7200,7011,8737
gene:AFUB_052940,749,919,759,2122,2440,2673
gene:AFUB_052950,1665,1733,1767,4423,4320,5332
gene:AFUB_052960,1,1,3,9,11,7
gene:AFUB_052970,731,798,809,2492,2704,3459
gene:AFUB_052980,3267,3203,3416,4649,4497,5523
gene:AFUB_052990,1382,1410,1735,600,677,804
gene:AFUB_053000,1912,2153,2277,3337,3094,3989
gene:AFUB_053010,102911,114778,129513,35218,37268,41723
gene:AFUB_053020,2746,3003,3286,1406,1476,1691
gene:AFUB_053030,1087,1251,1256,4753,3931,5285
gene:AFUB_053040,1485,1570,1575,4361,5023,5986
gene:AFUB_053050,15660,15002,17366,8784,9298,10891
gene:AFUB_053060,19490,20872,23341,14477,14317,18034
gene:AFUB_053070,1212,1326,1297,2592,2352,2883
gene:AFUB_053080,1619,1235,1401,2566,2857,3286
gene:AFUB_053090,27586,22992,28575,15522,15944,19159
gene:AFUB_053100,4196,3507,4076,4113,3406,4517
gene:AFUB_053110,983,953,1080,470,532,596
gene:AFUB_053120,2153,2252,2720,1336,1506,1620
gene:AFUB_053130,459,517,491,1037,1030,1274
gene:AFUB_053140,3976,4924,5413,4676,4835,5751
gene:AFUB_053150,804,508,605,2264,1911,2558
gene:AFUB_053160,943,1092,1133,2276,2538,3057
gene:AFUB_053170,47830,54424,62330,15856,17711,22402
gene:AFUB_053180,13,21,23,54,43,54
gene:AFUB_053190,5,2,7,35,8,33
gene:AFUB_053200,648,719,674,553,611,627
gene:AFUB_053210,706,553,585,1500,1695,1973
gene:AFUB_053220,16284,18380,20358,19548,21009,24770
gene:AFUB_053230,2252,2170,2428,1488,1544,1901
gene:AFUB_053240,391,405,450,577,450,643
gene:AFUB_053250,665,613,561,1430,1572,1723
gene:AFUB_053260,11301,15515,16943,8318,8120,10351
gene:AFUB_053270,577,386,445,2332,2613,3055
gene:AFUB_053280,1561,1394,1770,1365,1494,1704
gene:AFUB_053290,2195,2160,2228,1342,1147,1743
gene:AFUB_053300,426,360,374,1475,1582,1947
gene:AFUB_053310,3251,3205,3483,1941,2122,2641
gene:AFUB_053320,2097,2288,2522,3582,3605,4669
gene:AFUB_053330,1030,1022,977,2531,2743,3118
gene:AFUB_053340,993,1081,1143,2667,3419,3852
gene:AFUB_053350,269,223,215,642,745,816
gene:AFUB_053360,5035,6970,7933,3150,3031,3954
gene:AFUB_053370,5514,5947,5836,12584,12928,15975
gene:AFUB_053380,1659,1639,1798,2193,2189,2698
gene:AFUB_053390,1106,1078,1128,4455,4598,5894
gene:AFUB_053400,732,470,466,114,54,109
gene:AFUB_053410,3580,3633,4204,6486,5155,7457
gene:AFUB_053420,1128,1143,1099,4144,5189,5518
gene:AFUB_053430,839,1060,1112,3250,4203,4568
gene:AFUB_053440,2553,2074,2482,2451,2255,2974
gene:AFUB_053450,1092,1116,1220,4218,4250,5256
gene:AFUB_053460,11594,13391,15255,11570,11001,14508
gene:AFUB_053470,2192,2923,3364,2428,1970,2907
gene:AFUB_053480,656,580,649,283,241,377
gene:AFUB_053490,1998,2116,2260,3877,4087,4906
gene:AFUB_053500,5932,7571,7554,14351,14302,17805
gene:AFUB_053510,278,242,228,1250,1271,1535
gene:AFUB_053520,1518,1539,1716,1758,1842,2149
gene:AFUB_053530,45,35,43,103,96,147
gene:AFUB_053540,1776,1804,2047,4755,3739,4977
gene:AFUB_053550,3885,5612,6522,28091,25925,34573
gene:AFUB_053560,371,438,456,465,456,548
gene:AFUB_053570,232,215,216,244,236,287
gene:AFUB_053580,3606,4021,4201,5399,5472,7015
gene:AFUB_053590,382,345,279,496,471,588
gene:AFUB_053620,2429,2424,2994,5675,6940,7753
gene:AFUB_053630,4717,8861,11177,20582,17562,24816
gene:AFUB_053640,32,30,35,44,42,44
gene:AFUB_053650,1103,992,1097,2889,3028,3851
gene:AFUB_053660,856,850,803,1178,1312,1528
gene:AFUB_053670,231,231,265,1984,2247,2693
gene:AFUB_053680,2329,1979,1929,1670,1598,1887
gene:AFUB_053690,10248,11013,12630,2714,2801,3334
gene:AFUB_053700,1390,1837,1977,3385,2949,4033
gene:AFUB_053710,1017,943,1052,797,924,1077
gene:AFUB_053720,2131,2099,2314,1052,1233,1338
gene:AFUB_053730,1326,1819,2106,1903,1965,2331
gene:AFUB_053740,3150,3636,4133,2246,2320,2731
gene:AFUB_053750,610,619,617,2466,2755,3230
gene:AFUB_053760,1819,1348,1463,2099,2204,2826
gene:AFUB_053770,109,69,83,143,140,150
gene:AFUB_053780,70,88,110,210,221,291
gene:AFUB_053790,2462,2308,2487,5705,4670,6309
gene:AFUB_053800,4360,4313,4896,3993,3978,5238
gene:AFUB_053810,1290,1767,1888,1156,1097,1498
gene:AFUB_053820,172,51,77,77,64,113
gene:AFUB_053830,1427,1317,1534,1162,1315,1462
gene:AFUB_053840,281,167,202,489,573,682
gene:AFUB_053850,4655,4553,4970,6181,7846,8670
gene:AFUB_053860,3998,4351,4358,6154,4697,6311
gene:AFUB_053870,431,354,445,775,860,1042
gene:AFUB_053880,177,190,211,414,378,569
gene:AFUB_053890,104359,106348,126272,28592,28618,35602
gene:AFUB_053900,1208,1146,1609,2079,2129,2658
gene:AFUB_053910,845,788,1001,1442,1601,1908
gene:AFUB_053920,10272,9280,10300,4361,4361,5182
gene:AFUB_053930,2285,2809,2717,2389,2396,2844
gene:AFUB_053940,216,183,190,228,255,299
gene:AFUB_053950,2105,1378,1729,1481,1593,1791
gene:AFUB_053960,1180,1237,1261,1970,1720,2346
gene:AFUB_053970,4002,5155,5997,2112,2089,2731
gene:AFUB_053980,2263,1655,1830,5137,4634,6083
gene:AFUB_053990,1685,1426,1673,3516,2767,3872
gene:AFUB_054000,441,617,602,834,689,980
gene:AFUB_054010,0,1,3,162,63,132
gene:AFUB_054020,1679,1685,1672,12657,11553,15980
gene:AFUB_054030,1446,1114,1169,2934,2435,3289
gene:AFUB_054040,1236,1431,1466,997,1114,1241
gene:AFUB_054050,803,937,990,949,979,1258
gene:AFUB_054060,2838,3297,3557,5906,5212,7095
gene:AFUB_054070,2728,3321,3824,4324,3956,5256
gene:AFUB_054080,864,885,1020,498,502,540
gene:AFUB_054090,1989,2100,2336,996,1040,1480
gene:AFUB_054100,2515,2207,2407,1986,2011,2334
gene:AFUB_054110,2426,3262,3600,1581,1285,1793
gene:AFUB_054120,432,384,362,1001,1033,1199
gene:AFUB_054130,18,36,50,103,122,137
gene:AFUB_054140,2005,2314,2583,2379,2198,2831
gene:AFUB_054150,673,586,659,1267,1125,1539
gene:AFUB_054160,3228,2857,3384,2668,2901,3526
gene:AFUB_054170,0,0,0,1,1,1
gene:AFUB_054180,0,1,1,4,4,7
gene:AFUB_054190,2,1,1,1,3,2
gene:AFUB_054200,177,230,283,373,489,519
gene:AFUB_054210,4,3,5,20,7,20
gene:AFUB_054220,1172,982,1383,283,402,538
gene:AFUB_054230,161,159,229,142,118,161
gene:AFUB_054240,314,221,258,1375,1635,1915
gene:AFUB_054250,368,372,461,368,426,521
gene:AFUB_054260,2902,3347,3878,2725,2500,3321
gene:AFUB_054270,4049,4085,4640,4039,4583,5152
gene:AFUB_054280,20,7,12,22,27,19
gene:AFUB_054290,40,32,35,65,77,68
gene:AFUB_054300,1371,1195,1311,1580,1412,1822
gene:AFUB_054310,3094,2952,3019,5832,4912,6289
gene:AFUB_054320,1162,1352,1621,3470,3302,4506
gene:AFUB_054330,1341,1567,1780,2091,2279,2694
gene:AFUB_054340,15670,18438,16782,24881,27555,33324
gene:AFUB_054350,44,47,45,998,1432,1613
gene:AFUB_054360,285,184,210,423,379,519
gene:AFUB_054370,620,498,616,1878,2042,2517
gene:AFUB_054380,28,86,121,2491,2411,3466
gene:AFUB_054390,0,0,1,5,3,2
gene:AFUB_054400,7,4,11,50,33,69
gene:AFUB_054410,2,1,1,28,18,25
gene:AFUB_054420,137,110,147,481,532,567
gene:AFUB_054430,103,69,89,404,415,514
gene:AFUB_054440,1,1,2,4,5,6
gene:AFUB_054450,1,0,1,14,9,16
gene:AFUB_054460,2,1,2,2,3,1
gene:AFUB_054470,13,9,12,24,10,22
gene:AFUB_054480,0,0,0,0,0,0
gene:AFUB_054490,2,2,3,19,15,18
gene:AFUB_054520,1497,1414,1473,2066,2247,2901
gene:AFUB_054530,706,743,779,1521,1765,2180
gene:AFUB_054540,3,7,5,29,34,62
gene:AFUB_054550,154,319,329,850,921,1150
gene:AFUB_054560,3529,5297,5429,15932,20983,24117
gene:AFUB_054570,122,218,251,8355,8693,11075
gene:AFUB_054580,11052,15508,18121,24996,25706,34083
gene:AFUB_054590,670,745,853,1404,1384,1804
gene:AFUB_054600,877,876,1007,1741,1945,2337
gene:AFUB_054610,5830,6509,7450,8857,10813,12375
gene:AFUB_054620,790,931,1007,3198,3225,4159
gene:AFUB_054630,1827,1323,1341,2873,3075,3779
gene:AFUB_054640,112,95,91,354,222,355
gene:AFUB_054650,299,390,497,5635,6180,7743
gene:AFUB_054660,1340,1508,1549,3252,2884,3634
gene:AFUB_054670,605,594,674,3503,3148,4253
gene:AFUB_054680,8842,11209,12955,14308,15210,18734
gene:AFUB_054690,1644,1418,1608,1407,1179,1618
gene:AFUB_054700,1233,1551,1737,660,521,669
gene:AFUB_054710,3012,2750,3158,3557,3628,4495
gene:AFUB_054720,27,23,29,595,785,825
gene:AFUB_054730,327,339,367,3164,3777,4489
gene:AFUB_054740,2265,2296,2281,3522,2738,3692
gene:AFUB_054750,361,386,416,671,550,702
gene:AFUB_054760,79,76,76,595,585,703
gene:AFUB_054770,5512,5672,5843,7538,7821,9385
gene:AFUB_054780,121,138,191,1365,1311,1851
gene:AFUB_054790,1773,1625,1904,1238,1215,1473
gene:AFUB_054800,659,507,573,488,367,555
gene:AFUB_054810,1236,1059,1138,1207,1351,1588
gene:AFUB_054820,998,972,1069,3155,2996,3816
gene:AFUB_054830,1194,1650,1850,1272,1201,1642
gene:AFUB_054840,818,1157,1493,2718,3160,3479
gene:AFUB_054850,3757,4069,4496,2484,2543,3127
gene:AFUB_054860,175,405,414,1155,978,1261
gene:AFUB_054870,354,383,401,282,200,313
gene:AFUB_054880,228,250,248,545,480,648
gene:AFUB_054890,115,443,358,13132,13402,19287
gene:AFUB_054900,2,1,2,18,19,18
gene:AFUB_054910,106,85,99,315,234,332
gene:AFUB_054920,2624,2740,3181,2707,2961,3698
gene:AFUB_054930,2377,2443,2826,1133,1331,1769
gene:AFUB_054940,4889,6034,7066,3915,3694,4860
gene:AFUB_054950,431,349,403,492,486,551
gene:AFUB_054960,0,0,0,6,3,6
gene:AFUB_054970,1,4,5,48,50,56
gene:AFUB_054980,816,773,838,1873,1278,1926
gene:AFUB_054990,2535,2201,2347,5553,4597,6205
gene:AFUB_055000,1171,1340,1390,7527,8466,10455
gene:AFUB_055010,53,71,84,371,290,413
gene:AFUB_055020,409,621,692,745,701,877
gene:AFUB_055030,880,1119,1028,1821,2388,2820
gene:AFUB_055040,21,1,10,38,33,40
gene:AFUB_055050,53,24,42,78,61,98
gene:AFUB_055060,224,128,172,948,1186,1212
gene:AFUB_055070,99,91,106,214,250,294
gene:AFUB_055080,49,33,47,331,309,365
gene:AFUB_055090,315,507,603,522,413,550
gene:AFUB_055100,12,36,28,48,44,60
gene:AFUB_055110,686,604,739,1246,1115,1335
gene:AFUB_055120,5,7,11,23,18,23
gene:AFUB_055130,9,12,11,56,51,87
gene:AFUB_055140,63,90,129,546,671,846
gene:AFUB_055160,789,1137,1208,5266,3331,5620
gene:AFUB_055170,5,9,10,2525,3445,4632
gene:AFUB_055180,18,21,41,51395,41172,59157
gene:AFUB_055190,17,36,54,24986,24962,32863
gene:AFUB_055200,3,1,6,5403,3859,5876
gene:AFUB_055210,473,333,407,666,805,885
gene:AFUB_055220,787,667,695,1054,826,1190
gene:AFUB_055230,484,396,522,650,766,1113
gene:AFUB_055240,2740,2144,2370,3071,2448,3544
gene:AFUB_055250,521,555,618,1452,1568,2018
gene:AFUB_055260,636,376,438,86,66,125
gene:AFUB_055270,1095,951,1044,5956,8453,8243
gene:AFUB_055280,2700,3180,3435,3133,3496,4216
gene:AFUB_055290,887,1072,1212,1035,1175,1316
gene:AFUB_055300,1584,1876,2100,1914,1356,1937
gene:AFUB_055310,2666,2762,2991,2408,1795,2696
gene:AFUB_055320,1177,1214,1374,1963,1463,2159
gene:AFUB_055330,3181,3243,3519,1893,2001,2506
gene:AFUB_055340,2801,2656,2686,1577,1473,2029
gene:AFUB_055360,1140,960,1220,3073,2912,3713
gene:AFUB_055370,301,243,286,157,163,207
gene:AFUB_055380,731,667,777,1778,1855,2454
gene:AFUB_055390,803,718,729,1665,1582,1903
gene:AFUB_055400,315,200,198,1258,1335,1398
gene:AFUB_055410,135,85,91,532,572,583
gene:AFUB_055420,2572,2606,2788,1518,1794,2079
gene:AFUB_055430,8,0,6,25,14,23
gene:AFUB_055440,44,32,47,164,122,184
gene:AFUB_055450,755,722,799,1161,1075,1387
gene:AFUB_055460,1128,961,1057,1218,1223,1506
gene:AFUB_055470,176,186,231,270,171,295
gene:AFUB_055480,224,207,321,12336,7684,11955
gene:AFUB_055490,1236,1710,1890,48853,44410,61016
gene:AFUB_055500,2853,3338,3317,7396,5350,7839
gene:AFUB_055510,39,28,33,83,63,102
gene:AFUB_055520,0,0,0,2,0,1
gene:AFUB_055530,2667,1968,2127,5092,4292,5518
gene:AFUB_055540,652,644,616,558,550,688
gene:AFUB_055550,867,868,984,1338,1317,1514
gene:AFUB_055560,426,315,445,172,163,219
gene:AFUB_055570,2241,2108,2303,1849,1742,2216
gene:AFUB_055580,5874,5796,6396,4854,5076,6230
gene:AFUB_055590,2395,2876,2816,3488,3398,4166
gene:AFUB_055600,70,81,106,179,177,249
gene:AFUB_055610,586,453,573,1122,1112,1707
gene:AFUB_055620,12350,15453,17595,15618,14210,20057
gene:AFUB_055630,139,260,277,1837,2289,2762
gene:AFUB_055640,1342,1411,1719,9404,8559,11695
gene:AFUB_055650,2657,3152,3750,15459,13203,19524
gene:AFUB_055660,6197,5330,5512,3402,3407,4247
gene:AFUB_055670,1027,887,1051,1652,1536,2100
gene:AFUB_055680,589,391,461,792,665,963
gene:AFUB_055690,391,406,460,352,403,483
gene:AFUB_055700,564,478,568,3886,4256,5618
gene:AFUB_055710,38,26,43,194,137,219
gene:AFUB_055720,1250,1209,1408,1825,1898,2208
gene:AFUB_055730,442,1037,1210,583,552,785
gene:AFUB_055740,1064,1016,1034,947,937,1319
gene:AFUB_055750,633,755,708,3169,3805,3869
gene:AFUB_055760,148,130,186,1936,2079,2437
gene:AFUB_055770,25,32,33,277,311,338
gene:AFUB_055780,406,737,750,2561,3395,3470
gene:AFUB_055790,1087,966,1104,572,622,741
gene:AFUB_055800,117,61,85,604,452,593
gene:AFUB_055810,1,0,2,90,20,70
gene:AFUB_055820,1679,2975,3152,4940,5211,6344
gene:AFUB_055830,829,1072,1063,1523,1365,1804
gene:AFUB_055840,2388,2856,3209,4377,5175,6072
gene:AFUB_055850,1675,1593,1800,1347,1192,1550
gene:AFUB_055860,2695,2804,3261,4941,5393,6647
gene:AFUB_055870,1468,1304,1466,712,752,892
gene:AFUB_055890,828,612,758,1783,1486,2117
gene:AFUB_055900,991,1044,1135,648,732,849
gene:AFUB_055910,141,255,348,2423,3003,3145
gene:AFUB_055920,1540,1774,1874,7378,7963,9586
gene:AFUB_055930,3479,4833,5239,1581,1553,2011
gene:AFUB_055940,833,838,947,1512,1428,1875
gene:AFUB_055950,118,85,83,114,110,129
gene:AFUB_055960,1468,1266,1515,860,865,1085
gene:AFUB_055970,416,319,374,548,619,680
gene:AFUB_055980,353,237,254,607,701,731
gene:AFUB_055990,1413,1075,1147,3197,3352,3839
gene:AFUB_056000,44,29,36,52,53,68
gene:AFUB_056010,210,124,191,596,810,839
gene:AFUB_056020,162,194,191,1906,1785,2157
gene:AFUB_056030,178,196,211,1727,1932,2178
gene:AFUB_056040,1638,1664,1643,1208,1162,1328
gene:AFUB_056050,769,807,814,578,698,765
gene:AFUB_056060,425,533,616,820,933,1103
gene:AFUB_056070,864,891,908,1849,2293,2514
gene:AFUB_056080,3990,4112,5038,1843,1827,2188
gene:AFUB_056090,2917,3048,3170,6020,5436,6978
gene:AFUB_056100,725,671,695,684,826,978
gene:AFUB_056110,1099,1022,1132,2532,2461,3027
gene:AFUB_056120,756,754,764,4897,4873,6372
gene:AFUB_056130,475,320,373,1328,1087,1595
gene:AFUB_056140,3751,3223,3591,2194,2153,2771
gene:AFUB_056150,2221,2794,2833,2159,2478,2808
gene:AFUB_056160,685,593,697,1218,1165,1602
gene:AFUB_056170,360,389,388,76,72,94
gene:AFUB_056180,203,368,574,356,587,624
gene:AFUB_056190,222,362,487,2856,3583,3796
gene:AFUB_056200,564,536,653,1423,1256,1530
gene:AFUB_056210,912,826,915,2355,2065,2797
gene:AFUB_056220,1205,1322,1180,1421,1530,1837
gene:AFUB_056230,1821,1928,2206,2285,2528,3460
gene:AFUB_056240,2288,1994,1906,2450,1988,2673
gene:AFUB_056250,1773,2104,2032,2985,2181,2962
gene:AFUB_056260,35,27,36,2888,2328,3904
gene:AFUB_056270,527,523,577,2858,3222,3891
gene:AFUB_056280,910,942,1233,6277,6890,8498
gene:AFUB_056290,15,7,10,33,23,45
gene:AFUB_056300,8126,4547,5365,3355,2452,4178
gene:AFUB_056310,941,778,850,2347,1965,2813
gene:AFUB_056320,252,204,321,283,317,403
gene:AFUB_056330,89,46,32,223,235,340
gene:AFUB_056340,404,447,529,1139,1012,1453
gene:AFUB_056350,893,907,1047,5048,5080,6315
gene:AFUB_056360,32510,33259,38150,12992,14106,16973
gene:AFUB_056370,1268,1247,1407,2854,2990,3801
gene:AFUB_056380,1813,1599,1731,3247,3030,4177
gene:AFUB_056390,0,0,2,1,1,0
gene:AFUB_056400,11,6,7,40,46,51
gene:AFUB_056410,11,4,6,32,19,26
gene:AFUB_056420,5041,6208,6717,3964,3180,4496
gene:AFUB_056430,176,104,156,2843,2797,3918
gene:AFUB_056440,303,450,442,3048,2605,3290
gene:AFUB_056450,503,608,756,984,1015,1157
gene:AFUB_056460,370,443,470,2259,2390,2413
gene:AFUB_056470,265,482,432,2253,2210,2705
gene:AFUB_056480,1744,1638,1726,792,770,923
gene:AFUB_056490,535,647,601,4509,5437,6710
gene:AFUB_056500,647,752,788,544,683,796
gene:AFUB_056510,2242,1896,1949,1317,1319,1667
gene:AFUB_056520,2464,2680,3068,1274,1432,1629
gene:AFUB_056530,1593,1850,1556,1677,1659,2155
gene:AFUB_056540,1322,1174,1294,2105,1957,2377
gene:AFUB_056550,703,602,674,2549,2812,3278
gene:AFUB_056560,1304,1272,1435,1655,1839,2199
gene:AFUB_056570,36,15,13,405,194,334
gene:AFUB_056580,14,15,11,110,74,115
gene:AFUB_056590,4,3,4,60,75,83
gene:AFUB_056600,586,667,746,872,828,977
gene:AFUB_056610,566,527,480,657,747,808
gene:AFUB_056620,1050,1155,1214,870,769,1067
gene:AFUB_056630,14,17,25,186,79,155
gene:AFUB_056640,246,185,217,410,439,456
gene:AFUB_056650,100,76,52,358,337,437
gene:AFUB_056660,4,9,5,46,30,47
gene:AFUB_056670,4,6,5,34,37,42
gene:AFUB_056680,28,26,32,679,500,769
gene:AFUB_056690,7,5,9,108,121,146
gene:AFUB_056700,7,8,10,243,147,241
gene:AFUB_056710,431,414,478,669,685,794
gene:AFUB_056720,153,188,230,1039,715,1269
gene:AFUB_056730,4142,4003,4329,23288,17838,26000
gene:AFUB_056740,649,795,803,2684,2435,3204
gene:AFUB_056750,2562,2489,2816,17896,19057,24453
gene:AFUB_056760,1968,1869,2030,8912,6981,9555
gene:AFUB_056770,21344,23840,26009,46219,57626,67868
gene:AFUB_056780,15476,17010,19900,10538,11067,13038
gene:AFUB_056790,8734,7477,8705,2715,2457,3099
gene:AFUB_056800,1678,2396,2754,1992,2191,2674
gene:AFUB_056810,4091,3919,4235,4608,4793,6109
gene:AFUB_056820,32,36,33,245,202,282
gene:AFUB_056830,219,155,180,441,472,591
gene:AFUB_056840,1145,971,1084,4205,4287,5540
gene:AFUB_056850,1161,981,984,3293,3905,4527
gene:AFUB_056860,1696,1795,1794,1437,1314,1656
gene:AFUB_056870,213,264,277,330,321,549
gene:AFUB_056880,868,989,1131,1106,1367,1536
gene:AFUB_056890,1833,2109,2440,1807,1616,2102
gene:AFUB_056900,2596,2509,3063,4695,4927,5932
gene:AFUB_056910,356,286,305,727,743,895
gene:AFUB_056920,1482,1820,1972,1423,1662,2142
gene:AFUB_056930,447,225,282,320,265,382
gene:AFUB_056940,24375,22586,25577,5360,5743,7405
gene:AFUB_056950,703,487,665,637,409,706
