,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_1630,1784,1775,1236,1518,54,73,115,72,203,267,200,202
CDR20291_1631,1299,1301,1010,1097,163,174,178,177,64,89,60,55
CDR20291_1632,366,415,325,365,343,318,182,105,248,217,106,142
CDR20291_1633,352,391,300,330,14,38,23,26,650,675,64,375
CDR20291_1634,161,160,140,186,123,201,251,199,21,39,19,33
CDR20291_1635,454,482,348,485,132,213,281,198,201,298,152,162
CDR20291_1636,402,517,360,528,3205,5126,5741,4665,178,225,115,91
CDR20291_1637,152,134,107,134,4278,7016,6409,5895,3377,5481,767,2028
CDR20291_1638,203,184,199,327,3018,3154,3224,2910,4293,5759,930,2137
CDR20291_1639,529,182,508,1011,1895,2925,6077,6830,3132,3982,2455,3238
CDR20291_1640,49,33,23,47,903,1228,2398,2743,3717,8132,3762,13758
CDR20291_1641,246,269,200,306,259,292,542,771,2355,3852,2500,5029
CDR20291_1642,478,473,217,312,293,314,543,869,680,1061,689,1348
CDR20291_1643,14604,14764,2785,5701,134,170,306,322,757,1230,794,1692
CDR20291_1644,20723,20480,3772,6341,176,278,464,495,247,424,153,277
CDR20291_1645,5546,5087,3803,4645,71,107,150,201,428,633,218,465
CDR20291_1646,2171,1568,1593,1833,464,587,1100,944,124,233,99,150
CDR20291_1647,618,576,607,486,224,173,375,370,937,1257,469,1016
CDR20291_1648,188,190,179,165,14,37,54,40,74,104,17,35
CDR20291_1649,180,190,275,213,300,529,603,414,60,53,17,39
CDR20291_1650,200,230,236,296,171,302,283,165,776,1050,329,576
CDR20291_1651,332,293,329,473,1796,2285,1790,1553,265,339,78,123
CDR20291_1652,131,137,155,231,1796,2557,1925,1714,2130,2609,758,1142
CDR20291_1653,993,962,1091,1294,78,98,81,86,2213,2743,804,1209
CDR20291_1654,411,517,503,469,599,733,464,311,127,226,32,65
CDR20291_1655,75,87,67,102,8829,15267,12277,7366,2021,3389,298,1422
CDR20291_1657,1341,1163,753,1250,2303,3162,6991,5330,1700,2479,337,778
CDR20291_1658,534,450,424,588,299,290,450,352,2502,3010,2714,1424
CDR20291_1659,2982,3153,2553,3415,1604,1695,2137,1671,254,417,205,309
CDR20291_1660,2830,2640,2755,3657,306,292,353,441,1188,1653,1147,1635
CDR20291_1661,336,505,458,576,174,358,561,340,369,686,297,690
CDR20291_1662,23423,31740,27123,36053,290,247,290,291,246,380,214,225
CDR20291_1663,46836,34526,27900,42502,229,251,176,172,529,569,241,357
CDR20291_1664,8838,8739,8677,8858,1263,1590,1058,799,366,460,149,198
CDR20291_1665,316,264,245,270,30411,25190,28053,26094,968,1318,2518,2445
CDR20291_1666,1425,1213,1288,1531,315,506,1442,827,12389,20033,40080,30779
CDR20291_1667,300,288,300,342,264,401,1162,805,404,730,1123,951
CDR20291_1668,618,597,399,737,638,974,2044,1509,313,455,756,478
CDR20291_1669,370,370,327,424,1073,1463,2191,1848,796,1004,956,710
CDR20291_1670,338,299,282,299,973,1349,1628,1432,1221,1658,709,668
CDR20291_1671,1110,1035,1351,1171,1894,2445,2687,2468,994,1321,435,481
CDR20291_1672,14062,12016,25459,15009,1052,1412,1209,1272,2012,2432,841,837
CDR20291_1673,618,781,1043,1067,779,947,856,1022,1047,1460,323,408
CDR20291_1674,746,718,765,1178,16,14,34,20,1010,1271,276,513
CDR20291_1675,1954,2159,2244,3043,147,186,222,193,19,19,15,15
CDR20291_1676,2873,2738,2932,3524,9,6,21,19,169,201,117,132
CDR20291_1677,2289,2193,2381,2672,14,16,28,15,4,8,4,14
CDR20291_1678,4086,4179,4240,4969,346,156,305,255,26,25,20,22
CDR20291_1679,2435,2336,2411,2425,172,213,421,277,75,304,85,83
CDR20291_1680,2599,2469,2263,2240,1473,1643,1924,1724,202,323,152,156
CDR20291_1681,29,12,34,36,2854,2821,4304,3664,1672,2169,1222,1432
CDR20291_1682,215,214,247,251,25,15,35,31,1043,1067,258,620
CDR20291_1683,25,7,18,33,218,208,169,146,26,29,13,33
CDR20291_1684,29,22,35,57,83250,74357,48317,45468,43,72,89,51
CDR20291_1685,281,1399,1145,2209,110906,101177,70436,60248,10550,9555,17735,8783
CDR20291_1686,408,559,597,779,861,941,1610,1016,13070,12575,21362,10771
CDR20291_1687,2393,2316,6172,7313,1911,2365,1934,1655,1227,1339,1130,1616
CDR20291_1688,317,303,50433,59902,984,1217,1220,1013,1476,1973,941,912
CDR20291_1689,23,23,152,220,876,1080,1442,1247,709,1185,517,596
CDR20291_1690,90,113,239,325,713,760,506,393,874,987,538,835
CDR20291_1691,31936,31456,7368,10132,2487,2362,1625,1389,1512,1405,734,657
CDR20291_1692,49935,49341,11260,15825,597,517,730,732,4030,3738,1796,2338
CDR20291_1693,1539,1514,1090,1494,20,38,92,57,725,787,641,913
CDR20291_1694,3237,3226,2017,2307,49,77,143,126,24,40,20,43
CDR20291_1695,2244,2216,1304,1671,34,105,99,85,41,72,20,59
CDR20291_1696,1534,1497,1155,1578,202,268,345,258,61,94,57,102
CDR20291_1697,486,404,327,319,424,613,673,474,288,376,131,207
CDR20291_1698,2380,2018,1186,1376,2082,2466,2754,2226,494,606,226,315
CDR20291_1699,569,469,451,602,25,23,31,38,1598,2170,777,1346
CDR20291_1700,162,117,70,146,323,390,496,379,19,46,10,16
CDR20291_1701,348,320,167,315,37,34,63,31,352,409,199,265
CDR20291_1702,216,204,109,123,40,78,145,98,41,79,10,51
CDR20291_1703,345,498,298,477,208,390,417,419,73,94,36,55
CDR20291_1704,1024,1172,741,1038,720,610,984,903,226,327,84,122
CDR20291_1705,3630,3073,2773,3572,441,441,848,637,402,497,1073,448
CDR20291_1706,169,230,129,219,1036,1020,1650,1628,368,375,910,257
CDR20291_1707,1052,889,674,789,143,267,531,373,812,789,1684,818
CDR20291_1708,68,72,74,99,401,501,659,605,178,263,141,114
CDR20291_1709,414,467,293,472,1776,1566,2712,2194,380,437,310,319
CDR20291_1710,1848,1823,1185,1706,1525,1375,2396,1990,785,942,2990,1354
CDR20291_1711,967,1001,935,967,2384,2579,4608,4442,664,765,2740,997
CDR20291_1712,1000,1101,965,975,232,437,469,362,1442,1915,2965,1527
CDR20291_1713,2292,2185,2192,2262,113,229,337,276,220,252,116,193
CDR20291_1714,904,787,592,894,460,310,1264,883,267,291,116,161
CDR20291_1715,837,839,586,676,2945,2967,8667,6932,4632,5199,2067,2047
CDR20291_1716,813,951,1863,1053,450,715,1431,963,25099,24691,18685,16297
CDR20291_1717,614,938,1751,1101,186,377,634,441,1553,1585,756,723
CDR20291_1718,3031,3020,5953,5317,65,119,227,139,391,442,198,212
CDR20291_1719,499,471,351,475,10,8,4,10,112,167,75,121
CDR20291_1720,297,356,324,284,353,343,384,392,11,18,3,9
CDR20291_1721,532,561,833,616,172,196,329,275,787,1131,336,497
CDR20291_1722,7010,6368,8161,7763,276,400,623,439,478,690,243,262
CDR20291_1723,2041,2033,1512,2006,196,241,388,345,737,1013,349,388
CDR20291_1724,932,844,564,886,168,180,367,339,387,467,186,172
CDR20291_1725,312,357,221,374,145,138,232,235,274,424,165,140
CDR20291_1726,14,33,22,40,29,67,133,112,215,246,93,72
CDR20291_1727,261,218,274,361,67,107,188,159,102,171,33,39
CDR20291_1728,382,393,345,524,324,507,1386,1010,159,204,61,68
CDR20291_1729,676,750,618,823,1603,1773,3921,3367,232,398,265,253
CDR20291_1730,459,458,449,528,820,855,1101,1374,1059,1340,771,894
CDR20291_1731,475,424,462,544,9,5,11,7,481,718,256,338
CDR20291_1732,257,299,280,356,22,28,18,43,8,18,3,10
CDR20291_1733,162,163,155,214,4,10,4,11,27,60,14,15
CDR20291_1734,279,271,232,344,81,90,142,132,12,12,21,8
CDR20291_1735,792,841,1615,2015,3,7,3,5,102,118,77,64
CDR20291_1736,3731,4017,6614,6558,239,212,407,480,7,10,10,4
CDR20291_1737,1777,1465,2781,2311,343,466,1202,1149,10,12,11,3
CDR20291_1738,4,13,10,9,887,1083,3014,2794,195,270,40,96
CDR20291_1741,52,25,29,42,39,65,146,108,437,617,132,121
CDR20291_1742,5,6,2,4,37,66,121,154,909,1187,194,242
CDR20291_1744,335,327,285,352,38,55,155,109,66,84,23,14
CDR20291_1745,9,7,5,4,30,51,119,110,55,64,13,18
CDR20291_1746,7,13,12,11,912,796,1243,1555,59,74,15,14
CDR20291_1747,565,436,398,385,9875,9458,14692,17802,39,53,8,7
CDR20291_1748,1598,1691,1166,1357,16152,13369,22296,28634,474,693,968,992
CDR20291_1749,3906,3489,2920,3213,32,49,146,138,5670,8636,12447,13182
CDR20291_1750,355,324,208,281,29,25,27,31,8268,12975,16669,17560
CDR20291_1751,299,299,229,207,130,122,147,126,2,3,4,6
CDR20291_1752,365,264,217,278,3,9,5,4,3,0,10,2
CDR20291_1753,286,251,187,206,3,4,7,6,24,43,9,13
CDR20291_1757,780,586,810,861,47,69,70,81,20,27,12,22
CDR20291_1759,7715,5399,8606,8516,2077,2701,3915,3489,141,179,101,73
CDR20291_1760,14120,11207,15017,14923,20724,22004,34605,30304,6,3,13,4
CDR20291_1764,250,160,210,198,50,64,97,100,1,1,8,2
CDR20291_1765,25,24,18,14,803,1612,2793,2361,45,42,30,23
CDR20291_1766,99,69,40,41,42,64,64,30,2598,3551,1282,1662
CDR20291_1769,33,38,25,17,6,7,8,9,19782,22514,10906,11823
CDR20291_1770,256,270,137,133,293,414,575,553,37,60,77,68
CDR20291_1771,7007,6741,4913,5342,3610,3882,7188,5871,1208,2322,238,897
CDR20291_1772,62801,62679,50855,51472,8230,9395,17963,16359,26,40,13,23
CDR20291_1773,186,203,98,194,3285,3331,3356,3144,5,6,2,3
CDR20291_1774,29165,23695,10895,18700,10,15,7,15,250,302,98,109
CDR20291_1775,1671,1635,725,1011,10,7,10,14,3203,4529,1132,1551
CDR20291_1776,21,25,15,22,14,12,23,19,6187,8758,2295,2753
CDR20291_1777,1127,1278,988,1000,74,86,212,229,2697,3836,2002,1539
CDR20291_1778,15117,15250,16205,17403,5675,6432,14966,16958,8,4,4,10
CDR20291_1779,43251,40463,42368,40986,618,822,1660,1943,7,4,6,4
CDR20291_1780,3249,3190,2261,2482,43,51,51,69,14,20,23,13
CDR20291_1781,25,34,25,19,17,21,39,47,2,0,13,2
CDR20291_1782,36,25,22,18,7,4,2,13,50,120,20,27
CDR20291_1784,17,17,19,5,23,27,38,28,4152,7393,2003,3433
CDR20291_1787,621,693,506,397,1542,1800,3292,2692,256,523,211,317
CDR20291_1788,37580,38692,28217,22151,376,401,422,462,17,31,13,24
CDR20291_1789,3316,3548,2817,1967,12,14,18,22,17,25,26,41
CDR20291_1790,178,205,103,92,424,842,1452,1042,8,0,25,51
CDR20291_1791,87,132,95,60,593,899,1298,1006,14,27,20,35
CDR20291_1792,14,17,12,14,1410,2067,2021,1861,1304,1903,661,972
CDR20291_1793,54,37,60,33,62,110,135,118,292,376,374,438
CDR20291_1794,3965,3412,3086,4182,117,101,107,99,10,21,19,32
CDR20291_1795,470,440,343,374,62,57,68,59,1092,1541,389,1122
CDR20291_1796,15,23,18,24,73,67,95,69,1181,1758,396,652
CDR20291_1797,2149,2189,1371,2336,43,57,48,39,2521,3445,507,743
CDR20291_1798,2313,2472,1613,1946,171,202,203,163,82,124,98,160
CDR20291_1799,4751,4822,3496,4073,876,1098,1414,1145,91,130,46,42
CDR20291_1800,178,226,112,115,402,255,339,354,49,83,28,40
CDR20291_1801,129,111,77,117,88,123,96,72,87,96,17,21
CDR20291_1802,80,81,45,66,412,487,821,738,43,68,10,14
CDR20291_1803,103,120,70,118,61,121,109,102,191,247,55,47
CDR20291_1804,42,62,60,45,175,252,255,205,993,1282,488,922
CDR20291_1805,298,260,249,271,5026,6167,5876,3829,177,414,97,178
CDR20291_1806,1653,1470,1188,1510,211,272,197,188,69,80,52,66
CDR20291_1807,548,1189,681,1216,1808,2130,2106,1447,426,396,257,279
CDR20291_1808,84,70,47,58,1200,1307,1379,1235,127,223,117,116
CDR20291_1810,408,409,426,475,3653,3834,3339,2715,272,411,189,398
CDR20291_1811,98,85,59,62,4505,4478,3431,3134,4000,5981,2209,4469
CDR20291_1812,226,224,223,245,168,251,611,418,259,347,185,249
CDR20291_1813,2021,1251,1185,1223,3,4,10,8,1806,2456,1483,1651
CDR20291_1814,142,135,153,189,25,35,52,32,1129,1521,891,1173
CDR20291_1815,1362,1403,1211,1529,38,88,163,88,3748,4467,3706,3341
CDR20291_1816,940,785,939,1097,25,8,24,21,5578,6275,4704,4651
CDR20291_1817,2102,1940,2284,2619,6,9,13,8,203,267,188,122
CDR20291_1818,2345,2237,2545,2466,77,107,27,35,1,8,4,2
CDR20291_1819,161,294,514,352,54,95,73,55,18,26,13,19
CDR20291_1820,1,10,4,3,52,120,106,55,19,62,25,51
CDR20291_1821,133,96,104,122,63,132,145,88,10,17,15,17
CDR20291_1823,724,521,638,715,192,346,373,206,6,8,4,18
CDR20291_1824,51,53,40,44,191,386,125,77,22,3,10,32
CDR20291_1826,19,22,19,35,437,792,157,95,41,67,48,84
CDR20291_1828,222,105,38,45,212,331,99,71,32,57,60,64
CDR20291_1829,131,109,46,61,208,334,49,50,53,60,77,90
CDR20291_1830,155,157,80,94,229,360,65,54,132,214,135,232
CDR20291_1831,347,360,157,318,490,829,135,133,11,11,27,42
CDR20291_1832,801,709,479,791,144,221,44,50,18,11,45,69
CDR20291_1833,596,302,11,12,75,136,19,33,9,9,25,45
CDR20291_1834,1070,623,46,37,85,147,27,26,7,19,26,58
CDR20291_1835,648,348,12,22,103,165,32,34,16,7,26,53
CDR20291_1836,547,273,17,8,30,38,9,6,38,26,67,92
CDR20291_1837,463,279,17,12,77,90,27,20,15,12,24,37
CDR20291_1838,1166,574,30,32,172,275,58,49,6,8,6,36
CDR20291_1839,293,146,10,17,109,187,39,34,11,14,15,14
CDR20291_1840,269,115,6,9,144,205,524,395,14,1,11,39
CDR20291_1841,214,117,10,12,4,5,3,12,8,2,6,15
CDR20291_1842,222,142,7,13,23,38,44,36,8,9,19,31
CDR20291_1843,63,37,6,1,38,32,46,40,15,28,22,37
CDR20291_1844,185,95,4,10,10,2,1,6,18,13,22,29
CDR20291_1845,431,224,21,33,16,3,12,16,137,173,74,112
CDR20291_1846,257,160,20,34,567,702,921,725,1,2,10,15
CDR20291_1847,1302,1313,1039,1345,7873,8667,7178,6234,29,32,38,22
CDR20291_1848,8,9,11,5,279,396,706,689,11,38,40,40
CDR20291_1849,22,26,33,42,554,668,855,742,3,8,15,26
CDR20291_1850,40,39,52,44,709,868,1213,990,13,27,17,14
CDR20291_1851,6,7,5,7,2100,2913,4491,3844,792,981,316,822
CDR20291_1852,20,26,33,14,4248,6124,10916,9828,7836,9390,7827,10182
CDR20291_1853,3000,2764,1667,2549,2861,4528,8882,7324,411,512,128,191
CDR20291_1854,8390,8374,7305,9373,5163,10743,18576,14653,678,922,343,483
CDR20291_1855,841,912,664,890,2837,5968,8536,7230,958,1341,442,777
CDR20291_1856,1186,1239,1054,1223,0,4,8,6,2183,3065,839,1516
CDR20291_1857,1330,1253,1042,1315,51,110,164,150,4981,7006,1168,2257
CDR20291_1858,4191,3348,2647,3027,908,949,1355,1318,3095,5179,901,1729
CDR20291_1859,11367,10809,7519,9192,40044,39727,49642,47001,6360,11693,2074,4094
CDR20291_1860,7421,7015,5251,6432,211,262,290,253,4054,7942,1233,2148
CDR20291_1861,15080,15382,10361,13307,133,172,152,105,35,88,28,32
CDR20291_1862,7737,7210,4413,5728,50,104,139,114,367,588,512,435
CDR20291_1863,8,11,8,8,21,28,34,31,16240,22374,30725,28122
CDR20291_1864,365,394,225,354,38,86,66,61,362,352,117,148
CDR20291_1865,1932,1740,1551,1624,53,47,108,86,117,169,41,60
CDR20291_1866,37638,27067,36105,31838,103,191,283,227,78,136,32,41
CDR20291_1867,732,640,612,732,35,85,145,167,11,8,19,14
CDR20291_1868,490,500,425,509,61,88,165,109,24,51,34,36
CDR20291_1869,241,223,223,340,1330,1901,2954,2516,40,48,22,38
CDR20291_1870,46,56,50,65,474,706,1037,695,129,177,31,74
CDR20291_1871,124,101,98,124,87,199,294,177,50,105,19,58
CDR20291_1872,338,256,206,303,126,245,385,214,101,132,24,94
CDR20291_1873,1997,1742,1285,1643,64,160,211,125,2119,2921,270,1689
CDR20291_1874,227,201,143,232,1312,1861,1581,1084,615,909,263,289
CDR20291_1875,220,259,124,308,142,210,305,184,128,222,102,114
CDR20291_1876,11918,11299,6823,10733,213,369,488,254,212,263,157,208
CDR20291_1877,1372,1395,982,1160,135,226,305,210,150,203,100,156
CDR20291_1878,270,270,232,323,245,250,303,287,1674,2291,857,1145
CDR20291_1879,308,326,227,338,184,274,329,249,170,249,81,121
CDR20291_1880,155,157,152,169,115,180,246,225,263,350,127,176
CDR20291_1881,1123,1193,810,1232,239,336,464,360,161,233,82,93
CDR20291_1882,266,374,193,367,22,31,31,32,198,352,101,145
CDR20291_1883,375,359,263,421,266,359,473,377,243,341,63,97
CDR20291_1884,280,289,205,279,1810,2741,2356,1488,122,293,46,96
CDR20291_1885,324,373,234,399,836,1052,829,615,170,328,332,381
CDR20291_1886,402,379,223,362,1740,1898,1571,1320,30,52,11,26
CDR20291_1887,352,309,209,302,126,165,229,215,157,273,161,195
CDR20291_1888,264,292,220,280,973,1090,1587,1685,1919,2309,1859,1563
CDR20291_1889,81,85,63,83,699,969,1939,1680,817,936,1071,937
CDR20291_1890,243,349,203,353,626,847,1340,935,1829,2035,2101,2153
CDR20291_1891,1655,1486,1119,1629,764,1136,2331,1652,132,173,75,92
CDR20291_1892,581,578,454,768,1050,1629,3539,2254,563,728,134,351
CDR20291_1893,910,725,803,1202,2149,3314,6107,4972,395,567,144,222
CDR20291_1894,464,437,401,499,1591,1668,1929,1731,309,532,207,347
CDR20291_1895,5024,5214,5834,6524,1957,2298,2820,2358,569,739,677,442
CDR20291_1896,5447,5764,5189,6502,1172,1373,1657,1446,1032,1328,1917,975
CDR20291_1897,2358,2435,1936,2824,689,660,721,680,1805,2221,5109,4105
CDR20291_1898,2837,3110,3602,3686,164,165,144,142,803,983,423,584
CDR20291_1899,5108,5309,5695,6125,1241,1167,1446,1017,1143,1318,657,839
CDR20291_1900,7325,7796,7952,9541,136,204,345,259,715,869,463,514
CDR20291_1901,2279,2054,2247,2388,188,299,478,340,310,393,248,354
CDR20291_1902,3128,3066,2981,3310,648,753,896,693,186,275,62,129
CDR20291_1903,1814,1649,1662,1966,115,170,240,220,1320,1977,338,496
CDR20291_1904,771,819,750,782,143,163,206,121,174,243,65,80
CDR20291_1905,33,56,47,52,253,196,216,193,222,371,138,264
CDR20291_1906,3593,4033,3408,3975,7,8,17,7,679,975,517,828
CDR20291_1907,695,693,532,677,203,460,785,266,152,218,63,219
CDR20291_1908,743,714,610,789,323,1428,2437,679,233,334,152,196
CDR20291_1909,843,718,695,772,290,295,237,214,455,516,324,361
CDR20291_1910,1649,1316,881,1407,24,20,22,13,5,22,5,8
CDR20291_1911,322,314,214,278,69,79,124,105,230,439,104,323
CDR20291_1912,262,218,170,171,192,192,307,264,229,803,105,427
CDR20291_1913,34,29,22,44,153,151,262,213,296,509,283,337
CDR20291_1914,2429,2435,950,989,147,210,399,280,23,28,15,18
CDR20291_1915,6472,6237,2853,2776,121,140,283,221,55,71,31,53
CDR20291_1916,463,593,389,571,31,64,56,29,104,176,72,126
CDR20291_1917,25,37,28,58,662,719,647,343,86,129,54,74
CDR20291_1918,142,147,150,246,5,6,36,14,178,243,100,141
CDR20291_1919,222,188,289,347,458,473,235,228,117,173,83,116
CDR20291_1920,276,320,287,396,720,809,103,92,36,56,14,26
CDR20291_1921,473,451,364,495,8953,12307,1109,806,409,358,100,36
CDR20291_1922,354,481,390,556,638,721,600,522,3,6,4,18
CDR20291_1923,88,72,112,178,75,98,157,88,808,1048,264,288
CDR20291_1924,2174,2119,2137,2691,22,49,148,158,468,891,15,30
CDR20291_1925,12,17,89,92,4096,4426,26498,30709,5407,8171,103,125
CDR20291_1927,413,408,331,350,60,84,737,592,626,809,474,486
CDR20291_1928,227,244,80,169,111,100,1117,931,103,129,18,41
CDR20291_1929,1537,916,371,492,76,94,148,107,38,46,60,425
CDR20291_1930,628,740,573,797,423,503,573,619,2673,3907,9724,63517
CDR20291_1931,171,175,152,242,57,76,86,145,73,257,452,6931
CDR20291_1932,138,126,115,163,122,103,104,89,174,528,548,9564
CDR20291_1933,3952,4342,5341,5586,1757,1950,1100,1058,109,169,96,180
CDR20291_1934,147,210,258,258,982,901,529,475,306,645,289,570
CDR20291_1935,232,259,347,382,3794,4211,6897,6277,51,112,21,127
CDR20291_1936,131,158,97,181,39,40,36,52,134,176,83,129
CDR20291_1937,527,631,600,1015,18,24,38,40,2067,2278,1030,943
CDR20291_1938,60,53,96,96,9,10,7,15,826,1035,391,384
CDR20291_1939,112,93,99,136,10,24,9,25,2918,4654,992,2377
CDR20291_1940,1330,1515,1391,1654,8,18,20,10,40,49,59,55
CDR20291_1941,722,1027,885,1222,17,28,18,15,24,29,41,42
CDR20291_1942,18147,15219,15249,17621,268,91,25,56,9,17,11,22
CDR20291_1943,54,32,48,52,29,44,95,60,29,27,14,48
CDR20291_1944,23,21,21,25,27,39,56,47,15,19,17,7
CDR20291_1945,2,4,11,8,81,127,208,161,56,77,11,54
CDR20291_1946,18,15,15,16,112,165,145,108,149,368,25,59
CDR20291_1947,7,11,4,6,37789,39130,30423,33027,51,84,22,66
CDR20291_1948,23,63,34,37,3356,3788,4208,3185,48,59,45,64
CDR20291_1949,47,115,120,216,42,78,134,142,149,185,92,122
CDR20291_1950,365,308,227,316,33,66,118,64,111,149,187,307
CDR20291_1951,213,184,242,264,31,36,100,43,10034,16068,40061,45903
CDR20291_1952,501,549,413,557,589,538,848,569,6795,7628,4269,5223
CDR20291_1953,339,289,229,318,1250,1344,1626,1650,46,89,43,59
CDR20291_1954,16024,11378,12569,9059,529,591,680,579,64,75,26,81
CDR20291_1955,8051,8673,6378,8547,17,11,6,14,39,85,26,42
CDR20291_1956,871,1036,613,890,3001,3087,2902,2960,900,1112,641,961
CDR20291_1957,876,995,566,974,611,418,424,336,1434,1669,1031,1728
CDR20291_1958,520,431,312,361,737,514,597,496,715,719,424,483
CDR20291_1959,2249,2275,1616,2260,3320,4130,6215,5974,5,13,7,12
CDR20291_1960,1410,1413,1153,1588,2924,3450,4030,3618,3297,3805,2827,2773
CDR20291_1961,642,690,482,683,1890,2181,2602,2063,806,1359,549,1027
CDR20291_1962,18,37,30,21,370,619,998,697,1091,1386,784,926
CDR20291_1963,5680,4911,4562,5890,275,481,713,376,3432,4227,1381,2135
CDR20291_1964,1054,1219,1000,1594,1919,2308,2037,1483,1403,1749,940,1126
CDR20291_1965,789,848,972,927,1880,2078,3684,2774,888,1195,606,807
CDR20291_1966,15728,14798,13221,16478,1225,1304,1339,1277,621,1114,216,665
CDR20291_1967,2616,2613,2268,3104,944,1124,662,661,672,874,197,208
CDR20291_1968,1526,1723,1363,1850,1209,1668,2552,2204,1732,2373,565,1984
CDR20291_1969,1792,1804,1318,2412,466,731,1518,1154,4429,5125,447,908
CDR20291_1970,1316,1194,907,1416,60,79,246,169,1365,2156,987,1366
CDR20291_1971,1580,908,1300,1452,34,66,95,59,1027,1367,519,881
CDR20291_1972,2758,2169,2656,2838,430,575,1032,793,1226,1877,312,843
CDR20291_1973,1677,1545,1732,2271,520,550,626,520,574,763,350,664
CDR20291_1974,656,673,505,682,24,22,13,14,82,100,47,81
CDR20291_1975,15901,14397,10534,14328,5644,6551,8572,7042,35,53,23,52
CDR20291_1976,2393,2234,1770,2638,55,74,82,59,505,619,362,489
CDR20291_1977,440,436,302,544,104,116,199,127,295,320,396,257
CDR20291_1978,160,123,85,215,16,17,37,24,20,13,14,24
CDR20291_1979,1064,1205,912,1711,8,12,4,14,3860,5735,2294,4434
CDR20291_1980,754,621,556,693,27,18,52,40,40,47,18,28
CDR20291_1981,23,46,23,28,29,25,45,33,87,85,74,64
CDR20291_1983,4362,4463,4370,5686,59,74,57,75,8,16,19,15
CDR20291_1985,113,139,102,98,36,42,35,42,14,10,10,11
CDR20291_1986,249,271,215,224,45,61,63,82,23,10,34,27
CDR20291_1987,46,39,25,53,82,101,134,97,27,19,28,35
CDR20291_1988,21,20,14,19,23,15,20,31,49,41,67,56
CDR20291_1989,70,73,44,51,57,69,55,111,28,40,23,23
CDR20291_1990,48,51,59,43,27,44,50,52,56,43,30,22
CDR20291_1991,111,132,91,102,65,83,124,78,78,122,48,40
CDR20291_1992,76,91,72,61,1629,1932,2653,2194,25,24,12,20
CDR20291_1993,143,134,118,141,263,314,344,373,76,90,33,56
CDR20291_1994,291,238,227,252,251,382,589,481,48,54,18,11
CDR20291_1995,59,33,31,28,90,127,232,142,77,118,45,47
CDR20291_1996,127,130,105,100,55,72,98,81,1641,2228,685,1138
CDR20291_1997,48,56,48,25,48,87,82,56,233,277,140,220
CDR20291_1998,143,181,93,177,161,225,219,164,407,504,161,259
CDR20291_1999,2812,2573,2222,3424,894,1056,1498,1435,88,170,47,131
CDR20291_2000,673,997,529,844,79,94,104,101,55,101,30,73
CDR20291_2001,1329,1290,906,1203,32,59,124,91,115,130,49,89
CDR20291_2002,369,351,256,444,184,248,336,298,469,591,140,205
CDR20291_2003,209,195,118,181,98,155,313,289,772,1023,302,461
CDR20291_2004,85,71,76,96,118,106,219,269,42,81,10,33
CDR20291_2005,621,340,479,486,47,48,141,145,40,82,23,47
CDR20291_2006,8916,8530,6507,7743,153,258,277,228,95,136,62,101
CDR20291_2007,719,769,463,807,889,1423,1906,1521,91,141,97,136
CDR20291_2008,818,929,475,955,345,498,422,340,71,133,85,116
CDR20291_2009,1627,1250,1288,1709,675,925,1194,924,37,50,57,114
CDR20291_2010,468,360,336,689,515,846,1582,1174,135,194,39,166
CDR20291_2011,149,254,229,373,160,337,355,231,1452,1528,219,657
CDR20291_2012,137,153,130,217,112,124,211,165,480,623,264,253
CDR20291_2013,2147,2032,1425,1949,223,316,471,364,846,1292,371,678
CDR20291_2014,5776,5687,4326,6778,98,213,318,262,835,1261,492,1344
CDR20291_2015,1488,1465,1050,1377,2786,2510,1985,2052,254,434,122,205
CDR20291_2016,1983,2111,1629,2263,553,924,1318,1214,34,53,25,64
CDR20291_2017,1396,1261,782,1305,2299,2134,5114,4691,90,169,67,192
CDR20291_2018,539,490,257,455,1003,1321,3027,3175,79,150,134,212
CDR20291_2019,99,102,123,103,1681,2151,4120,4156,2673,2498,13547,6786
CDR20291_2020,1256,1051,761,1028,988,1519,3411,3046,706,1058,244,634
CDR20291_2021,768,619,455,611,9,18,15,22,2054,2333,2958,2836
CDR20291_2022,1210,1225,1153,1226,108,226,406,214,618,1044,247,368
CDR20291_2023,9865,8292,5674,8156,1237,1398,1868,1471,1123,1680,377,405
CDR20291_2024,1996,2566,5448,5752,934,1031,1004,1043,1143,1670,241,710
CDR20291_2025,1624,1591,1616,2453,147,149,155,144,26,29,11,25
CDR20291_2026,2031,1838,2142,2660,350,514,565,447,220,306,75,142
CDR20291_2027,8509,7774,6291,7297,1583,1645,3314,3050,2070,2526,771,1295
CDR20291_2028,36,28,21,55,246,295,591,674,1164,1753,724,1016
CDR20291_2029,1767,1586,860,1737,2031,1818,3209,2527,147,178,103,180
CDR20291_2030,2738,2387,2251,2742,1119,1835,3868,2504,390,616,235,458
CDR20291_2031,1298,1375,1246,1471,22,38,90,55,1532,1969,982,1327
CDR20291_2032,260,254,149,259,115,133,165,128,235,265,303,196
CDR20291_2033,1491,1491,1231,1760,919,1105,1339,1004,1386,1690,3227,1768
CDR20291_2034,3721,3770,4526,4558,932,991,1404,1187,1056,1480,1708,1779
