,4hcon1,4hcon2,4hcys1,4hcys2,8hcon1,8hcon2,8hcys1,8hcys2,12hcon1,12hcon2,12hcys1,12hcys2
CDR20291_1213,1007,976,512,559,43,71,167,103,2862,2579,4974,40070
CDR20291_1214,1827,1693,794,903,687,922,1580,1067,1,1,1,7
CDR20291_1215,4919,4581,2300,2493,1865,2261,4727,3057,44,51,33,257
CDR20291_1216,3384,3273,1506,1744,17,19,17,11,1228,1937,415,1284
CDR20291_1217,4372,4040,1969,2135,86,58,67,65,1117,1753,201,415
CDR20291_1218,29949,26728,15006,16132,820,956,961,808,14,21,13,23
CDR20291_1219,12,13,6,9,259,293,689,586,70,96,57,71
CDR20291_1220,466,462,276,378,24,14,66,49,1019,1403,722,1294
CDR20291_1221,6220,4292,4557,5979,971,1243,1372,1004,186,231,95,178
CDR20291_1222,13298,9900,11966,12557,706,992,1091,970,18,27,2,17
CDR20291_1223,23,29,30,32,337,325,323,332,684,774,566,870
CDR20291_1224,105,132,84,130,246,247,207,273,546,732,176,315
CDR20291_1225,1465,1309,960,1255,111,100,67,133,636,723,449,668
CDR20291_1226,837,832,732,942,300,236,200,200,771,795,698,762
CDR20291_1227,87,86,90,158,219,384,491,415,357,327,287,355
CDR20291_1228,1078,1107,900,1199,10,12,3,6,652,671,498,625
CDR20291_1229,2000,1996,1467,2053,16,22,12,18,188,264,44,130
CDR20291_1230,336,334,406,266,174,164,206,189,22,7,11,24
CDR20291_1231,252,354,415,279,1444,2010,2419,1817,19,52,12,27
CDR20291_1232,161,95,156,132,59,130,171,152,136,189,77,111
CDR20291_1233,468,434,378,453,284,523,685,472,1312,1911,346,867
CDR20291_1234,2057,1881,1693,2093,126,179,342,247,50,76,20,56
CDR20291_1235,10,3,3,18,1034,1329,2004,1684,293,439,144,270
CDR20291_1236,26,23,27,31,191,228,260,141,133,188,61,72
CDR20291_1237,338,264,354,472,35,54,63,68,883,1186,399,665
CDR20291_1238,2850,1913,3101,3934,200,324,381,267,157,161,77,127
CDR20291_1239,756,687,1030,1656,336,501,927,567,26,54,49,44
CDR20291_1240,1680,1600,1129,1780,301,392,486,431,165,276,80,167
CDR20291_1241,231,131,159,215,33,29,59,57,295,472,141,471
CDR20291_1242,2213,2306,1902,2665,614,771,1088,851,338,523,218,362
CDR20291_1243,264,243,255,333,107236,103788,121039,102833,33,43,15,37
CDR20291_1244,101,128,114,147,19234,18356,19454,19617,874,962,443,607
CDR20291_1245,441,471,404,535,1071,1324,1935,1685,31623,32743,25456,14671
CDR20291_1246,1047,1015,869,1485,196,247,416,362,4775,5173,4595,2916
CDR20291_1247,596,583,461,757,198,246,421,397,1177,1915,551,857
CDR20291_1248,124,120,103,134,151,164,608,801,234,393,141,185
CDR20291_1249,809,733,684,875,499,679,755,669,261,327,124,248
CDR20291_1250,100273,92078,86377,94622,555,594,683,645,162,212,133,456
CDR20291_1251,15873,10791,14785,15176,210,611,1053,919,639,677,185,290
CDR20291_1252,3609,3198,2694,3546,89,161,314,338,550,531,201,282
CDR20291_1253,635,661,473,702,83,163,182,140,314,855,66,396
CDR20291_1254,1529,1467,1277,1414,143,232,489,430,143,190,186,281
CDR20291_1255,3348,2955,3556,2583,15,26,43,53,88,180,15,71
CDR20291_1256,2354,2434,1963,2988,1,0,0,6,162,230,38,142
CDR20291_1257,2349,2168,1984,2662,2918,2898,2268,2348,20,32,14,27
CDR20291_1258,3297,2086,1683,4006,253,276,392,368,1,3,3,7
CDR20291_1259,176,286,241,391,1338,1507,1844,1624,2815,3466,2066,3736
CDR20291_1260,311,287,164,260,120,191,274,269,280,357,192,237
CDR20291_1261,1785,1686,1550,2071,295,405,670,489,1298,1621,1060,1239
CDR20291_1262,102,43,80,83,120,143,157,125,136,177,56,74
CDR20291_1263,6,2,6,6,101,133,156,139,277,469,182,265
CDR20291_1264,1238,1127,1189,1351,375,429,525,501,91,219,72,134
CDR20291_1265,482,471,458,487,947,922,1359,1191,120,156,48,96
CDR20291_1266,1506,1595,1018,1295,115,182,238,206,202,374,78,166
CDR20291_1267,773,890,571,881,21,39,71,57,937,1163,1010,674
CDR20291_1268,1767,1941,1321,2215,24,17,9,12,147,228,117,192
CDR20291_1269,150,190,190,240,194,219,183,168,21,43,23,24
CDR20291_1270,101,110,90,103,117,145,223,158,26,38,12,21
CDR20291_1271,244,172,233,252,1133,1297,1597,1372,445,585,239,313
CDR20291_1272,946,954,862,1112,0,0,6,7,129,122,136,106
CDR20291_1273,418,397,353,468,187,272,414,324,1639,2011,1080,1302
CDR20291_1274,128,139,96,168,212,295,421,288,221,267,91,214
CDR20291_1275,13,5,9,11,1102,1310,1434,991,166,242,43,139
CDR20291_1276,211,181,128,216,7620,7404,9759,7484,1408,1595,842,1955
CDR20291_1277,378,310,240,298,183,360,807,449,9159,11019,4993,10870
CDR20291_1278,2569,2138,2167,2615,1450,2254,3406,2341,354,547,215,345
CDR20291_1279,7,9,6,14,1069,1332,1782,1417,2262,3478,832,1005
CDR20291_1280,639,791,500,814,2271,2557,4368,4547,1429,1938,433,704
CDR20291_1281,639,628,500,667,152,288,397,296,2629,4084,1564,3180
CDR20291_1282,626,602,752,895,70,196,431,296,137,214,25,86
CDR20291_1283,4595,3676,4348,5204,434,996,2013,1328,129,231,44,79
CDR20291_1284,696,767,718,950,309,380,433,363,376,703,120,337
CDR20291_1285,4613,4639,3744,5231,365,534,547,427,469,822,134,445
CDR20291_1286,2609,2372,2086,2699,199,303,361,279,437,601,196,286
CDR20291_1287,4158,4486,4249,5097,268,389,408,249,383,437,166,217
CDR20291_1288,750,690,520,723,625,853,1197,847,360,420,154,145
CDR20291_1289,794,616,485,756,233,386,623,378,870,901,494,334
CDR20291_1290,3723,3475,1995,3538,812,1125,1792,1031,337,455,149,164
CDR20291_1291,377,311,328,385,2336,2571,3907,2763,839,1190,841,730
CDR20291_1292,641,561,455,647,2539,2674,4301,3320,1610,1945,2664,1275
CDR20291_1293,529,480,338,527,885,922,1487,1212,2180,2209,3160,1499
CDR20291_1294,492,530,359,567,1427,1562,2399,2059,617,743,924,463
CDR20291_1295,1312,1329,949,1398,3352,3975,5510,5221,985,1151,1148,548
CDR20291_1296,656,631,485,706,2532,3890,6600,3708,2382,2665,2364,1310
CDR20291_1297,1134,1340,1138,1254,7652,9978,10598,8048,4129,5488,4049,3230
CDR20291_1298,1727,2109,2489,2756,138,172,241,175,7581,9468,6618,7089
CDR20291_1299,2338,2760,3011,3653,356,426,595,390,151,195,59,96
CDR20291_1300,809,859,960,1320,1906,3791,2808,1710,408,559,145,232
CDR20291_1301,1205,1352,1527,1999,161962,183754,182271,170934,2016,3002,1763,4525
CDR20291_1302,3056,3227,3679,4831,1246,1624,2480,1921,145056,215221,76909,174064
CDR20291_1303,6534,6854,5559,7826,493,634,810,654,1547,2190,891,934
CDR20291_1304,10465,9961,8555,11458,366,430,538,490,658,937,424,654
CDR20291_1305,322,331,221,308,48,37,77,63,496,732,398,642
CDR20291_1306,787,931,672,876,45,35,59,57,21,50,53,62
CDR20291_1307,1672,1834,2862,2966,77,67,122,86,49,75,19,56
CDR20291_1308,202533,135414,182634,212204,20,39,51,40,115,128,39,70
CDR20291_1309,2214,1715,1748,1665,171,193,269,236,31,69,26,30
CDR20291_1310,905,959,674,877,1628,2235,3199,2433,219,262,130,127
CDR20291_1311,505,451,484,459,22646,22706,23236,19966,1524,1965,918,1272
CDR20291_1312,139,102,154,154,663,1426,1452,1183,18262,21350,7501,6116
CDR20291_1313,119,99,85,166,802,1091,1599,1256,298,633,204,410
CDR20291_1314,280,293,222,332,405,549,791,564,919,1112,515,833
CDR20291_1315,167,145,103,138,18507,20758,18953,14086,491,584,463,431
CDR20291_1316,867,853,686,835,634418,552841,531553,566545,9119,11431,24124,18165
CDR20291_1317,3694,3698,3644,4400,1187,1399,1444,1230,251301,308949,683723,597659
CDR20291_1318,26773,22828,25639,28731,2544,3069,3011,2704,1748,2402,1226,1401
CDR20291_1319,876,862,1373,838,21,35,36,30,3602,4778,2330,2760
CDR20291_1320,10904,9523,9772,12511,5,13,18,5,27,37,8,41
CDR20291_1321,580,590,610,631,228,220,584,311,15,21,4,11
CDR20291_1322,7325,7918,10349,8805,41,25,56,65,191,267,43,185
CDR20291_1323,185625,168826,299379,205244,353,484,620,478,42,45,5,30
CDR20291_1324,2661,3109,1734,2699,215,256,246,208,468,659,339,523
CDR20291_1325,6874,5396,3624,4887,193,245,228,204,279,289,125,164
CDR20291_1326,39,40,124,230,3798,4325,2771,2520,242,292,118,93
CDR20291_1327,15,6,227,399,20,25,17,19,2995,4278,890,1994
CDR20291_1328,210,220,6518,7821,42,39,44,70,15,39,8,13
CDR20291_1329,47,41,811,740,16,21,38,38,67,109,36,113
CDR20291_1330,602,648,553,708,23,47,71,51,29,24,6,19
CDR20291_1331,334,284,270,355,152,234,443,321,16,55,29,56
CDR20291_1332,332,328,278,371,100,164,270,182,244,329,86,247
CDR20291_1333,1415,1545,1558,1770,1036,1239,1731,1653,177,193,92,100
CDR20291_1334,30,14,92,162,162,208,302,273,693,928,557,733
CDR20291_1335,42,54,36,73,187,213,271,215,140,198,101,164
CDR20291_1336,125,91,103,86,14693,16491,13752,11250,135,213,119,238
CDR20291_1337,212,195,182,144,15156,18039,15493,11082,11598,13244,6679,8054
CDR20291_1339,497,480,283,565,2220,2032,2311,2123,11795,13347,7299,7184
CDR20291_1340,387,285,218,296,629,897,1160,849,4330,4997,2243,3589
CDR20291_1341,1924,1488,1451,1680,3454,5230,7147,3926,741,1080,274,511
CDR20291_1342,311,287,171,347,290,454,532,498,6736,7664,8317,8717
CDR20291_1343,285,302,178,229,97,183,218,215,567,954,383,560
CDR20291_1344,12357,11729,11380,13991,26,35,21,24,157,236,58,148
CDR20291_1345,17105,19237,14457,18750,158,138,128,118,28,40,10,30
CDR20291_1346,4143,3838,4610,5229,171,285,356,210,81,96,41,62
CDR20291_1347,2812,2434,2113,3167,3297,6798,15117,12583,117,182,47,123
CDR20291_1348,5253,5002,4034,5615,248,284,347,266,3443,7083,893,3032
CDR20291_1349,870,743,710,785,47,47,75,59,203,273,137,169
CDR20291_1350,456,433,323,620,234,304,357,271,42,50,13,28
CDR20291_1351,21,21,19,22,365,500,663,517,229,280,75,102
CDR20291_1352,86,104,120,137,6226,6378,13084,11580,264,473,89,143
CDR20291_1353,580,739,561,754,101,129,110,91,2118,2307,1196,1221
CDR20291_1354,56559,44729,37080,51287,183,220,344,324,144,220,35,53
CDR20291_1355,543,536,384,614,149,220,291,280,239,296,84,159
CDR20291_1356,131,143,90,127,95,126,194,160,176,244,63,123
