,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_0309,30,112,50,35,36,51,32,20,35,80,51,56
CDR20291_0310,79,257,66,58,81,88,64,55,49,249,91,42
CDR20291_0311,346,111,257,263,191,69,89,117,95,129,211,59
CDR20291_0312,1769,1116,1263,1486,1780,1429,1523,1345,1247,1168,1434,1082
CDR20291_0313,593,421,611,593,615,567,629,595,470,434,449,400
CDR20291_0314,316,274,419,322,236,290,415,259,324,446,379,288
CDR20291_0315,226,297,261,238,201,243,163,158,165,419,266,125
CDR20291_0316,27,77,115,32,72,52,72,55,44,72,45,54
CDR20291_0317,504,2539,90,115,77,93,146,131,176,1730,146,137
CDR20291_0318,5610,36223,898,1326,918,1310,1920,1921,2219,17270,2001,1868
CDR20291_0319,40,195,48,35,36,33,42,44,40,168,260,34
CDR20291_0320,19,42,24,12,20,12,15,11,11,34,65,12
CDR20291_0321,749,630,1066,665,741,659,694,484,1085,752,1167,725
CDR20291_0322,366,386,922,505,448,523,696,409,598,373,736,532
CDR20291_0323,1129,999,1679,1196,1198,1052,1153,759,1286,978,1645,1021
CDR20291_0324,181,339,301,253,228,326,195,130,353,367,582,444
CDR20291_0325,387,521,423,400,394,326,217,177,572,603,778,520
CDR20291_0326,182,168,115,122,135,113,54,51,234,214,243,178
CDR20291_0327,326,195,386,418,234,212,210,290,364,121,205,266
CDR20291_0328,487,184,476,531,224,207,163,289,492,168,328,469
CDR20291_0329,5628,2569,4342,4630,4827,9434,18365,12547,10029,3624,4234,6946
CDR20291_0330,2019,796,1532,1581,1724,3987,7262,4422,3280,1238,1291,2903
CDR20291_0331,945,247,477,461,465,672,1311,1055,1507,768,821,681
CDR20291_0332,2291,586,1120,1149,1173,1166,3105,2943,4761,2077,2790,2183
CDR20291_0333,2508,1150,2548,2769,1685,1018,1202,1811,1467,635,1903,1375
CDR20291_0334,1419,901,1794,1742,1013,826,1007,1441,1238,550,1245,1445
CDR20291_0335,1249,783,1250,1265,872,675,817,913,1001,558,1061,1011
CDR20291_0336,1777,1603,2455,2121,1344,1323,1382,1270,2126,1683,2221,2808
CDR20291_0337,22,204,17,21,19,33,7,5,11,148,39,7
CDR20291_0338,6289,3659,9469,7851,6469,7693,7225,6524,6579,2937,6609,7681
CDR20291_0339,69,116,82,77,83,89,131,104,93,79,56,71
CDR20291_0340,1,2,7,5,1,3,7,6,2,1,1,10
CDR20291_0341,31,72,39,47,26,34,69,42,51,34,43,59
CDR20291_0342,57,46,53,58,32,25,30,43,63,41,44,78
CDR20291_0343,90,44,103,62,82,73,47,54,98,80,109,81
CDR20291_0344,42,29,62,41,41,28,17,22,62,56,61,37
CDR20291_0345,545,682,1021,1205,991,1113,1609,2576,2376,581,1075,3335
CDR20291_0346,59,46,103,124,92,136,101,247,171,35,68,244
CDR20291_0347,75,33,75,61,32,34,10,27,107,172,155,139
CDR20291_0348,74,103,114,91,61,24,20,24,39,59,86,34
CDR20291_0349,306,314,293,247,155,77,81,82,155,178,268,125
CDR20291_0350,1170,1528,1190,1038,664,650,496,383,1062,1657,1502,1121
CDR20291_0351,122,282,92,95,60,54,44,44,67,171,120,59
CDR20291_0352,134,98,149,116,62,37,47,50,35,47,98,49
CDR20291_0353,563,725,638,583,331,272,264,245,369,701,642,317
CDR20291_0354,2048,2732,1604,1334,1363,1569,1437,1041,1096,2583,1319,979
CDR20291_0355,1018,1189,1117,992,800,994,980,715,672,1204,730,798
CDR20291_0356,341,913,453,496,283,332,185,197,74,407,87,24
CDR20291_0357,453,1242,446,490,300,321,249,205,100,669,157,76
CDR20291_0358,142,504,192,226,126,133,101,91,46,243,76,44
CDR20291_0359,353,1692,206,196,216,222,378,363,640,876,347,386
CDR20291_0360,146,631,113,140,91,107,141,184,396,353,161,327
CDR20291_0361,39,142,27,39,22,28,47,52,113,130,61,93
CDR20291_0362,74,203,99,76,90,110,86,63,107,212,252,178
CDR20291_0363,201,125,232,208,278,214,444,342,308,242,240,205
CDR20291_0364,135,76,200,137,161,210,380,310,190,107,134,242
CDR20291_0365,8736,6655,10487,12287,2592,5835,14162,10237,22475,16032,12913,26252
CDR20291_0366,53142,24100,26753,47216,7579,7192,13643,27246,100782,20643,24905,95893
CDR20291_0367,24782,11612,16029,27993,3953,3411,6788,18299,47918,6390,10584,58723
CDR20291_0368,35048,18090,22519,39542,5533,4567,9659,25001,66313,10284,14835,87954
CDR20291_0369,33108,16248,20050,35136,5264,4708,10103,21522,61767,13882,15809,86133
CDR20291_0370,56459,31294,31016,55589,11031,10849,19691,33476,107855,33438,37608,172014
CDR20291_0371,41943,20153,24596,39659,7856,8798,16697,25133,78894,31052,28772,126294
CDR20291_0372,44152,29348,34449,51957,11807,17601,32887,35455,94599,40415,37954,185593
CDR20291_0373,2824,1402,2310,3013,1595,1827,1528,1653,1349,841,1184,1301
