,Deox1,Deox2,Deox3,Deox4,Chol1,Chol2,Chol3,Chol4,DMSO1,DMSO2,DMSO3,DMSO4
CDR20291_2019,9,67,17,28,10,5,15,24,2,65,20,5
CDR20291_2020,67,358,611,1491,487,1255,1908,2703,56,264,913,732
CDR20291_2021,60,303,504,1307,453,1176,1550,2310,42,217,891,601
CDR20291_2022,703,2812,521,595,561,598,600,578,793,1346,927,889
CDR20291_2023,2030,6646,3475,2707,1569,2350,2111,1592,1755,4693,7695,4702
CDR20291_2024,2207,3583,1962,2103,1656,2092,2745,1948,1018,1997,1151,1160
CDR20291_2025,517,487,858,735,417,319,336,438,524,166,554,535
CDR20291_2026,423,491,961,832,432,520,617,559,550,210,709,776
CDR20291_2027,1899,4522,2514,2397,2289,3255,2923,2063,5246,5452,6320,5979
CDR20291_2028,1,91,19,3,10,9,5,2,11,58,16,10
CDR20291_2029,359,663,744,540,281,399,439,254,691,1121,779,916
CDR20291_2030,1821,973,2305,1855,1252,1310,1605,1176,1263,1213,1489,1128
CDR20291_2031,372,320,442,366,426,601,657,537,455,389,463,396
CDR20291_2032,513,286,493,439,435,428,397,256,171,391,411,188
CDR20291_2033,30,49,149,59,68,135,146,90,179,114,127,188
CDR20291_2034,3191,3795,3865,4158,5652,7850,8487,6112,5730,5861,6537,6555
CDR20291_2035,968,2034,780,824,656,667,634,488,649,1339,924,618
CDR20291_2036,1214,2022,1409,1532,988,1167,1175,1010,1059,1032,1407,1343
CDR20291_2037,817,1131,1098,1089,651,549,820,737,631,580,869,708
CDR20291_2038,193,162,138,143,98,39,22,61,104,180,126,71
CDR20291_2039,137,72,79,98,86,86,59,61,179,167,173,134
CDR20291_2040,74,399,117,106,91,123,160,186,74,357,165,71
CDR20291_2041,776,1019,748,753,503,450,432,456,702,934,886,586
CDR20291_2042,1138,1223,1489,1612,932,880,908,818,988,1016,1645,1135
CDR20291_2043,338,157,360,337,133,81,109,111,190,150,377,190
CDR20291_2044,2617,866,1890,2411,1047,370,518,707,897,821,3308,874
CDR20291_2045,3707,2982,2677,3665,1475,917,760,1233,1755,1135,4310,1868
CDR20291_2046,11464,11143,12647,13200,7543,6770,5717,5719,8809,9343,22932,13247
CDR20291_2047,13050,6830,12681,13949,6726,2740,3229,4140,3566,5514,26067,5483
CDR20291_2048,12,63,15,12,6,2,2,8,5,23,12,2
CDR20291_2049,21,87,10,10,10,4,2,5,19,27,14,7
CDR20291_2050,2,30,5,5,2,1,2,2,5,9,6,2
CDR20291_2051,19,61,23,7,7,17,10,6,7,16,16,17
CDR20291_2052,935,1123,1550,1124,681,432,452,384,700,1651,3426,1025
CDR20291_2053,495,261,453,467,462,321,392,413,642,631,1149,605
CDR20291_2054,444,180,584,559,418,295,217,298,572,538,755,427
CDR20291_2055,8738,4413,11965,7524,2461,2796,3866,2549,4256,5589,8478,4868
CDR20291_2056,20,59,7,9,4,3,2,3,4,37,14,2
CDR20291_2057,289,380,523,427,514,658,363,292,1609,1164,2168,950
CDR20291_2058,488,467,825,646,889,831,773,789,2260,945,2644,1611
CDR20291_2059,797,709,1032,1059,840,619,622,1002,1226,437,1044,1191
CDR20291_2060,1552,1099,2966,2600,1659,1711,2128,3044,2622,650,2367,3884
CDR20291_2061,2144,1659,2754,2759,2018,1522,2022,2970,3204,873,2821,4170
CDR20291_2062,1033,713,1232,1275,838,668,1054,1717,2652,735,1029,2886
CDR20291_2063,212,124,453,315,147,111,116,194,285,160,115,291
CDR20291_2064,1575,864,1239,1730,3016,5051,7581,5755,624,580,563,881
CDR20291_2065,27,28,25,19,12,12,12,10,26,18,18,17
CDR20291_2066,12,5,11,11,11,4,2,3,11,10,11,2
CDR20291_2067,2,6,8,9,4,7,5,5,2,7,5,12
CDR20291_2068,153,125,249,215,184,177,190,176,178,222,289,164
CDR20291_2069,742,530,674,714,674,517,506,488,693,644,880,479
CDR20291_2070,1630,1274,2426,2027,2243,3554,3722,2141,2244,1793,2007,2205
CDR20291_2071,233,187,351,282,180,188,143,162,278,440,373,300
CDR20291_2072,1572,1977,866,1147,880,1964,2140,1299,899,1241,367,1011
CDR20291_2073,130,517,126,107,58,86,173,180,55,202,47,46
CDR20291_2074,2407,7607,2833,2292,1423,941,11093,11987,1270,4113,737,1318
CDR20291_2075,372,1376,526,458,248,141,1629,2119,230,588,186,232
CDR20291_2076,595,992,745,688,538,767,622,508,485,631,634,540
CDR20291_2077,2801,1966,4366,3083,4202,4851,4228,2622,9236,9138,19863,10081
CDR20291_2078,158,139,287,203,148,132,35,32,183,279,388,300
CDR20291_2079,263,251,437,389,251,181,52,45,329,201,757,403
CDR20291_2080,569,477,1183,780,828,568,205,187,744,866,2601,1282
CDR20291_2081,381,391,652,487,488,304,136,120,422,389,1260,605
CDR20291_2082,332,412,752,476,571,434,143,115,274,218,802,444
CDR20291_2083,619,847,1530,1036,1351,926,276,278,587,648,1880,1160
CDR20291_2084,121,72,127,117,78,78,42,33,160,187,142,186
CDR20291_2085,493,276,707,580,309,377,267,201,570,640,538,752
CDR20291_2086,299,486,305,326,182,196,193,213,433,382,403,342
CDR20291_2087,881,2052,964,894,830,895,970,697,1395,2253,2082,1262
CDR20291_2088,202,135,151,153,78,46,42,55,107,109,166,71
CDR20291_2089,60,164,48,104,30,100,39,37,44,136,89,37
CDR20291_2090,14,35,15,11,2,1,2,6,14,14,8,2
CDR20291_2091,10,35,12,16,6,2,7,14,12,8,9,2
CDR20291_2092,1383,1503,737,1079,553,321,358,715,939,784,960,769
CDR20291_2093,202,277,219,264,96,55,84,175,155,53,115,178
CDR20291_2094,1303,1237,933,1382,579,387,402,908,793,287,535,586
CDR20291_2095,349,338,297,460,177,111,151,328,174,96,137,166
CDR20291_2096,855,613,775,1070,567,442,402,667,382,165,367,342
CDR20291_2097,19,63,37,21,13,5,17,18,18,71,26,15
CDR20291_2098,4,81,21,23,16,21,37,18,14,52,36,46
CDR20291_2099,762,4740,1028,939,1095,1310,960,728,1317,3888,2867,2080
CDR20291_2100,67,98,175,133,101,96,79,67,84,105,142,122
CDR20291_2101,4105,3563,4667,4828,3528,4817,4075,3021,8612,5179,5548,9639
CDR20291_2102,31,81,51,50,21,25,54,34,49,56,56,34
CDR20291_2103,10,34,9,11,7,11,7,2,9,16,10,12
CDR20291_2104,17,43,12,9,8,4,7,5,5,20,10,15
CDR20291_2105,27,70,15,25,11,9,5,8,21,15,5,17
CDR20291_2106,1,8,2,3,2,1,2,1,4,2,1,2
CDR20291_2107,5,16,12,7,1,5,5,1,9,5,2,2
CDR20291_2108,4,23,10,9,3,6,7,6,5,5,3,2
CDR20291_2109,347,386,652,515,363,592,642,488,640,569,783,718
CDR20291_2110,231,216,488,308,238,381,447,326,368,466,464,479
CDR20291_2111,437,639,328,318,272,278,392,266,200,327,277,195
CDR20291_2112,318,599,719,472,409,680,773,690,464,620,547,703
CDR20291_2113,207,824,253,219,87,104,99,91,132,314,186,159
CDR20291_2114,246,350,234,220,50,49,44,24,123,254,222,88
CDR20291_2115,397,636,326,316,91,61,44,39,193,545,350,159
CDR20291_2116,1022,1819,1331,902,666,611,370,402,2448,2241,3778,1616
CDR20291_2117,5628,8770,7121,10805,10879,14451,23426,31828,498,1633,1441,933
CDR20291_2118,6965,9086,6575,10860,10478,9002,16455,29600,540,1275,1564,1042
CDR20291_2119,1214,1439,1020,1733,1841,1818,2165,3405,83,402,230,125
CDR20291_2120,2016,1158,2470,2195,2052,1904,1239,914,579,666,909,540
CDR20291_2121,54,55,195,583,157,550,138,89,79,129,1203,78
CDR20291_2122,15,24,80,247,47,238,84,42,33,44,421,27
CDR20291_2123,110,84,217,112,152,93,104,163,116,208,104,122
CDR20291_2124,218,145,169,163,228,185,259,184,218,252,297,173
CDR20291_2125,1179,1638,1150,1122,1406,1415,1501,1238,772,982,804,762
CDR20291_2126,3964,2199,3057,3010,2369,2102,2683,2211,2566,2412,3218,2102
CDR20291_2127,2991,2046,1999,2075,1731,1564,1950,1654,1817,1614,2301,1355
CDR20291_2128,517,633,834,551,640,352,459,507,23,50,21,39
CDR20291_2129,19,78,13,28,67,151,32,87,84,43,24,100
CDR20291_2130,30,66,10,22,75,83,30,114,123,47,21,127
CDR20291_2131,9,37,4,9,35,44,27,69,62,20,16,49
CDR20291_2132,29,41,8,22,44,61,32,87,65,31,20,78
CDR20291_2133,168,310,174,141,96,66,74,98,172,278,254,244
CDR20291_2134,178,402,313,246,119,125,118,145,176,246,278,320
CDR20291_2135,237,681,154,163,83,45,39,77,114,298,264,154
CDR20291_2136,80,591,35,45,19,12,27,14,35,260,20,85
CDR20291_2137,15,250,4,7,5,10,10,13,28,193,4,110
CDR20291_2138,262,4083,52,65,53,57,84,95,375,2193,48,1196
CDR20291_2139,61,1430,25,21,17,16,39,44,93,799,13,474
CDR20291_2140,107,1796,17,25,19,14,37,38,100,995,28,269
CDR20291_2141,482,313,464,492,924,1073,652,803,172,264,245,112
CDR20291_2142,286,168,355,355,594,429,336,436,67,131,187,76
CDR20291_2143,59,139,118,74,100,103,128,79,77,136,210,105
CDR20291_2144,4497,2326,4974,4599,4089,4755,3621,2540,5387,4291,7239,5085
CDR20291_2145,15,26,18,24,33,9,2,7,23,20,20,17
CDR20291_2146,62,110,71,62,51,37,25,43,60,28,46,54
CDR20291_2147,201,211,147,166,137,77,52,103,109,69,105,76
CDR20291_2148,725,323,761,589,950,918,602,411,830,795,924,1069
CDR20291_2149,241,121,435,333,452,441,281,223,429,372,458,498
CDR20291_2150,235,259,634,497,415,839,755,554,188,187,372,332
CDR20291_2151,650,584,3034,1450,796,3014,4927,4004,566,479,450,1162
CDR20291_2152,1324,1594,1209,1529,3145,3820,2797,2624,310,899,848,481
CDR20291_2153,168,352,137,104,115,104,143,96,193,319,222,173
CDR20291_2154,403,294,220,161,125,138,89,60,1505,504,941,488
CDR20291_2155,731,514,818,783,622,679,701,623,638,697,786,527
CDR20291_2156,61,149,97,93,82,95,106,73,93,83,96,129
CDR20291_2157,826,459,1249,1084,830,1027,768,719,612,596,864,737
CDR20291_2158,961,379,785,794,708,694,509,480,667,632,721,525
CDR20291_2159,163,831,392,275,262,410,383,209,835,1297,784,1375
CDR20291_2160,1718,1398,2282,1672,1201,1111,748,684,3487,2358,3000,4019
CDR20291_2161,129,571,165,171,93,128,151,140,331,402,146,417
CDR20291_2162,1111,1294,1382,5813,1307,1162,3226,2870,306,1177,15505,2795
CDR20291_2163,91,9,32,54,26,4,7,15,11,18,130,2
CDR20291_2164,59,87,37,49,35,51,39,31,70,120,193,39
CDR20291_2165,272,773,326,274,313,273,276,252,311,775,1038,208
CDR20291_2166,1,15,33,18,7,27,12,10,4,16,12,12
CDR20291_2167,9362,25794,7671,7924,9389,9246,6870,5889,4576,12320,40215,1309
CDR20291_2168,2110,3655,2468,2229,2208,1881,1259,1305,310,1783,6594,120
CDR20291_2169,256,177,277,317,227,201,165,286,556,340,232,378
CDR20291_2170,210,131,179,201,179,179,136,215,310,178,216,178
CDR20291_2171,60,91,136,151,114,146,207,152,104,90,192,83
CDR20291_2172,401,127,257,373,171,76,62,175,106,121,321,78
CDR20291_2173,1296,586,749,1285,502,354,316,818,506,147,526,457
CDR20291_2174,307,6791,164,161,136,262,252,177,266,2526,412,220
CDR20291_2175,15,21,23,16,16,9,37,11,9,20,18,10
CDR20291_2176,21,15,16,15,7,4,5,4,16,6,17,5
CDR20291_2177,24,22,27,22,13,11,20,10,14,11,10,2
CDR20291_2178,16,40,16,20,14,34,25,14,21,20,11,17
CDR20291_2179,14,13,15,13,16,16,5,10,7,11,12,7
CDR20291_2180,6,3,3,5,2,2,2,6,4,1,1,5
CDR20291_2181,20,19,33,33,20,11,10,29,19,17,12,27
CDR20291_2182,55,35,35,36,34,19,15,22,35,64,31,24
CDR20291_2183,135,108,87,107,179,90,106,225,37,53,51,29
CDR20291_2184,367,669,271,309,555,574,671,847,359,358,363,288
CDR20291_2185,10,7,16,9,8,25,25,15,23,10,16,12
CDR20291_2186,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_2187,392,268,540,629,276,382,375,444,132,149,220,132
CDR20291_2188,433,188,535,527,261,336,333,352,121,157,177,146
CDR20291_2189,1,1,0,1,1,1,2,1,2,4,1,2
CDR20291_2190,1,1,1,1,1,1,2,1,2,1,1,2
CDR20291_2191,119,187,96,121,78,79,141,115,70,242,156,73
CDR20291_2192,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_2193,1,1,0,1,1,1,2,1,2,1,1,2
CDR20291_2194,97,91,137,142,170,247,328,221,199,176,152,146
CDR20291_2195,37,56,91,80,84,113,188,115,83,83,79,105
CDR20291_2196,220,251,249,226,198,291,358,228,260,297,318,283
CDR20291_2197,222,207,153,138,152,201,195,151,269,312,323,176
CDR20291_2199,1343,5988,1856,1876,1142,1493,1274,1243,4917,12996,10145,7849
CDR20291_2200,71,388,71,77,76,100,91,64,463,551,283,337
CDR20291_2201,15,76,36,27,19,25,37,31,111,86,82,161
CDR20291_2202,10,41,17,13,13,18,7,13,113,52,61,139
CDR20291_2203,21,85,17,23,15,21,15,20,158,90,87,151
CDR20291_2204,4,14,7,5,6,3,2,2,7,14,5,7
CDR20291_2205,14,34,26,17,17,22,7,10,40,28,35,24
CDR20291_2206,17,46,22,16,7,7,12,10,23,44,35,44
CDR20291_2207,3728,2127,4167,4433,1750,1413,1400,1950,2896,1156,3979,3000
CDR20291_2208,834,439,1007,1012,343,223,254,434,512,187,545,503
CDR20291_2209,807,528,885,1047,412,245,217,409,637,126,504,608
CDR20291_2210,9018,6306,14179,11587,7606,7591,6704,5176,12868,6829,16282,13489
CDR20291_2211,9394,5267,11579,9669,6853,5707,4796,4038,11415,6127,15071,11221
CDR20291_2212,36,39,18,22,17,6,12,14,554,77,18,544
CDR20291_2213,26,33,10,18,10,1,10,6,568,66,9,513
CDR20291_2214,16,59,5,10,6,5,7,11,489,161,18,437
CDR20291_2215,41,51,34,41,50,74,27,50,81,54,53,51
CDR20291_2216,1,1,0,1,1,1,2,2,11,2,13,20
CDR20291_2217,938,1285,708,950,534,496,410,662,888,675,511,720
CDR20291_2218,3017,2157,3373,3213,2727,2756,2288,1504,6412,6185,6367,5774
CDR20291_2219,514,515,628,620,535,587,464,350,533,777,1760,742
CDR20291_2220,227,500,80,116,82,75,141,168,6841,5279,188,4604
CDR20291_2221,107,202,38,45,39,43,89,76,2900,1922,80,1870
CDR20291_2222,218,213,54,100,40,32,49,92,2015,808,70,1582
CDR20291_2223,363,874,98,183,140,100,190,232,5023,2940,127,825
CDR20291_2224,9201,7735,13599,14828,10080,16301,17005,11510,10064,6574,13110,11487
CDR20291_2225,629,917,624,532,428,457,427,383,784,800,1173,645
CDR20291_2226,198,187,272,211,115,127,89,111,151,192,197,159
CDR20291_2227,2749,3676,5132,6035,8096,8623,11246,12680,16466,13871,11211,35850
CDR20291_2228,4329,5896,7873,9344,12146,9449,14129,20990,25764,13475,15628,50525
CDR20291_2229,1116,1496,1561,2018,2805,1921,2821,4283,6452,3207,3635,10203
CDR20291_2230,5982,7768,9996,13088,17281,14002,21071,30438,37346,16423,19716,63965
CDR20291_2231,2927,4912,6609,8101,7727,5376,8768,15127,23826,8247,15884,27104
CDR20291_2232,2951,5324,6589,7373,8585,7159,10728,14810,23240,10240,16350,23245
CDR20291_2233,2521,5400,5721,6149,8688,11791,14384,12232,17322,13709,14535,18870
CDR20291_2234,81,159,395,219,258,452,242,355,304,351,413,249
CDR20291_2235,24,51,51,53,34,80,72,45,46,48,62,63
CDR20291_2236,505,329,480,454,732,1078,987,734,288,427,316,361
CDR20291_2237,528,905,341,693,269,610,637,474,2409,2782,197,9336
CDR20291_2238,591,827,330,891,304,639,605,488,3055,3300,140,11069
CDR20291_2239,3461,2543,15248,7221,6549,16021,6346,3652,6178,9943,5724,22029
CDR20291_2240,228,362,131,454,114,239,304,342,858,373,37,3494
CDR20291_2241,767,994,502,1438,319,577,632,1285,2524,726,60,7632
CDR20291_2242,268,182,132,410,88,120,146,294,862,348,25,1616
CDR20291_2243,1893,1589,641,2079,697,1167,1000,1688,6287,2471,190,8782
CDR20291_2244,232,312,176,378,131,434,471,462,937,493,40,1184
CDR20291_2245,178,68,148,149,61,43,84,51,104,102,166,85
CDR20291_2246,2011,898,2219,2192,1008,1168,1281,1054,545,393,1170,603
CDR20291_2247,272,204,505,416,289,255,170,166,783,364,1086,837
CDR20291_2248,1097,650,1255,1231,1022,850,513,556,2383,1041,3360,2249
CDR20291_2249,465,412,841,797,577,688,496,405,1057,416,1245,1382
CDR20291_2250,737,314,787,717,665,454,257,304,1104,607,1220,881
CDR20291_2251,178,129,292,289,228,180,131,130,366,176,586,405
CDR20291_2252,1658,1316,2917,2837,2103,1849,1293,1330,3593,1487,5277,4636
CDR20291_2253,585,251,875,724,552,291,163,224,1080,286,1344,803
CDR20291_2254,809,671,2468,1781,1272,1563,857,848,1384,445,1714,2263
CDR20291_2255,217,124,394,289,255,168,81,92,229,200,411,234
CDR20291_2256,2180,1045,3396,2329,2067,2687,1313,1004,3153,3354,3498,3938
CDR20291_2257,64,80,123,128,64,61,42,42,88,91,135,144
CDR20291_2258,288,133,215,280,141,92,49,79,266,118,319,227
CDR20291_2259,140,87,176,193,115,83,49,63,132,94,183,164
CDR20291_2260,32,68,67,46,76,103,195,124,93,67,121,100
CDR20291_2261,4,8,17,8,12,6,2,10,32,17,30,12
CDR20291_2262,17,15,43,20,23,11,10,11,21,33,54,22
CDR20291_2263,575,373,818,667,777,780,768,723,656,556,908,583
CDR20291_2264,849,506,665,622,951,826,763,625,688,800,1054,562
CDR20291_2265,661,529,795,727,895,994,1000,762,637,667,768,662
CDR20291_2266,2945,1024,2196,2143,1212,1273,921,719,1987,1028,1355,2837
CDR20291_2267,1112,178,478,488,197,76,77,81,491,106,90,566
CDR20291_2268,2587,548,1570,1395,449,227,165,232,1472,276,198,1748
CDR20291_2269,2031,444,1652,1328,523,386,195,174,1245,334,344,1450
CDR20291_2270,663,436,619,728,334,264,264,346,839,265,721,903
CDR20291_2271,281,152,280,308,118,85,44,106,290,76,191,259
CDR20291_2272,95,75,143,137,48,10,5,29,100,45,92,73
CDR20291_2273,82,29,74,60,29,13,12,14,60,43,45,51
CDR20291_2274,121,159,173,170,317,411,338,217,206,206,225,212
CDR20291_2275,533,379,393,466,593,523,454,587,610,343,394,579
CDR20291_2276,499,311,588,536,495,242,178,440,710,478,558,515
CDR20291_2277,377,332,897,648,517,699,694,888,651,486,473,818
CDR20291_2278,1104,1239,1162,1059,1485,1106,1293,1646,2696,1837,2599,2239
CDR20291_2279,497,419,888,649,577,353,360,722,1050,787,1021,977
CDR20291_2280,497,539,1198,834,718,946,980,1246,960,757,916,1389
CDR20291_2281,5,11,12,7,6,5,2,2,2,11,1,5
CDR20291_2282,1726,851,658,676,426,299,338,338,193,289,188,137
CDR20291_2283,772,301,572,595,455,349,427,357,186,225,672,334
CDR20291_2284,101,25,107,102,51,30,30,43,16,18,58,32
CDR20291_2285,11,4,3,1,2,1,2,2,2,4,3,2
CDR20291_2286,3302,2202,4342,3788,2083,2494,1521,1071,1563,1449,1503,1763
CDR20291_2287,146,131,218,220,102,55,57,76,139,116,245,127
CDR20291_2288,564,272,488,461,353,241,210,255,378,275,554,269
CDR20291_2289,5,20,23,29,25,16,10,7,2,19,24,7
CDR20291_2290,12,59,61,50,45,51,25,12,5,46,46,24
CDR20291_2291,27,131,145,104,93,152,54,36,35,83,93,73
CDR20291_2292,916,1376,965,839,683,776,521,425,1537,2075,2189,1309
CDR20291_2293,1000,671,686,770,581,485,536,387,2328,1910,1670,1687
CDR20291_2294,403,486,570,506,288,229,148,219,320,221,453,437
CDR20291_2295,474,444,1140,851,834,1346,1180,946,397,402,430,381
CDR20291_2296,5518,3138,5957,6756,3728,2872,2629,3835,1041,474,865,952
CDR20291_2297,6033,4070,10214,10602,4325,2709,3577,6914,1720,580,1590,2180
CDR20291_2298,2702,1272,3335,3509,1567,823,1042,1781,719,435,1006,793
CDR20291_2299,107,104,173,144,66,86,131,65,79,112,119,127
CDR20291_2300,21,33,29,42,50,69,57,42,14,21,33,22
CDR20291_2301,8009,3951,6684,8762,16732,10661,16475,24272,6227,1978,3035,6614
CDR20291_2302,2014,1074,1838,2193,3178,3133,4510,5423,2766,1957,1998,3530
CDR20291_2303,2296,1106,1664,2048,3732,3754,4362,4978,3032,2156,2027,3049
CDR20291_2304,67,54,50,66,50,54,52,39,56,44,37,90
CDR20291_2305,10,2,5,2,6,2,12,3,7,1,3,2
CDR20291_2306,7,1,1,1,1,1,2,2,7,2,1,2
CDR20291_2307,2,4,9,5,4,4,2,6,12,3,2,5
CDR20291_2308,16,16,8,13,16,33,25,22,63,57,7,66
CDR20291_2309,10,3,3,6,9,10,20,15,37,32,5,29
CDR20291_2310,26,37,45,34,28,22,30,20,18,52,47,12
CDR20291_2311,16,11,22,21,15,4,2,5,11,9,24,2
CDR20291_2312,65,58,45,49,48,54,79,53,69,66,65,51
CDR20291_2313,14,28,9,14,14,16,35,19,28,19,24,24
CDR20291_2314,24,11,25,20,11,9,57,35,19,4,12,17
CDR20291_2315,20,20,18,19,8,6,44,43,4,2,14,10
CDR20291_2316,30,18,13,16,11,9,32,42,9,9,11,7
CDR20291_2317,57,41,28,29,21,29,72,95,18,24,21,17
CDR20291_2318,14,11,10,6,4,10,10,19,12,3,3,2
CDR20291_2319,24,26,27,16,17,12,30,29,11,9,11,15
CDR20291_2320,59,46,43,37,31,32,81,82,44,23,31,29
CDR20291_2321,2,2,2,1,2,1,10,3,4,1,2,2
CDR20291_2322,638,336,856,719,677,894,886,569,529,815,983,740
CDR20291_2323,21,255,29,16,15,11,10,11,25,107,29,22
CDR20291_2324,7573,8564,9021,8617,5295,4408,5374,6719,6881,6128,8658,6841
CDR20291_2325,6180,5658,5441,5995,4298,2827,3132,4114,5339,3556,6161,4880
CDR20291_2326,3359,2355,2565,2747,2753,2608,2762,2751,1639,2037,1652,1348
CDR20291_2327,1083,894,731,928,723,548,639,784,545,652,594,398
CDR20291_2328,2015,1833,2430,2689,1221,1033,1163,2276,1606,856,1573,1790
CDR20291_2329,2206,1051,1740,2114,1077,713,817,1453,1337,506,1261,1038
CDR20291_2330,1439,887,1012,1250,954,718,578,957,827,440,753,552
CDR20291_2331,208,232,472,435,244,488,385,356,292,206,202,554
CDR20291_2332,464,331,415,490,336,333,301,265,385,377,305,303
CDR20291_2333,630,315,424,578,350,167,232,233,248,204,558,273
CDR20291_2334,132,39,120,130,65,30,32,50,33,29,119,44
CDR20291_2335,4,6,3,1,2,1,2,1,2,1,3,2
CDR20291_2336,40890,16380,20337,22918,38515,54039,35501,34693,10824,7616,3404,6416
CDR20291_2337,4,5,10,11,4,7,12,8,14,12,12,7
CDR20291_2338,22447,17681,22976,20919,18649,24209,21779,13106,42896,39978,45675,36057
CDR20291_2339,23513,14531,14615,15323,16482,16056,11340,8762,41225,36662,40893,24228
CDR20291_2340,4105,1923,2643,2881,5263,5375,3271,2487,5024,5421,5608,4294
CDR20291_2341,1072,1011,793,892,406,280,321,478,791,473,959,703
CDR20291_2342,654,329,327,419,178,52,91,176,295,155,465,186
CDR20291_2343,774,580,563,656,356,211,195,383,455,210,542,344
CDR20291_2344,311,189,248,364,175,109,101,233,403,172,192,400
CDR20291_2345,82,37,61,132,43,29,25,87,88,17,37,93
CDR20291_2346,245,95,131,306,107,46,49,209,262,41,85,200
CDR20291_2347,195,56,92,177,71,39,32,128,160,45,68,107
CDR20291_2348,95,39,65,110,50,42,30,86,93,37,45,85
CDR20291_2349,351,337,568,447,618,554,289,315,1041,439,1361,576
CDR20291_2350,11,15,34,38,20,24,12,15,81,26,57,22
CDR20291_2351,356,530,897,770,526,976,923,679,675,571,1012,952
CDR20291_2352,746,706,988,950,686,925,790,608,906,1129,1664,842
CDR20291_2353,32669,41402,17536,28899,11603,11085,11014,21386,5942,5885,3044,5435
CDR20291_2354,256863,151090,121098,198558,105809,50798,63301,158579,25656,12154,15166,23904
CDR20291_2355,32359,20443,20968,31900,12238,6350,8652,24488,3538,2291,1612,3259
CDR20291_2356,24958,18652,21329,25926,12962,17067,16613,24079,2543,3706,1159,2966
CDR20291_2357,213,191,163,206,60,51,54,61,70,76,53,51
CDR20291_2358,357,1296,321,283,194,231,279,216,311,574,320,347
CDR20291_2359,202,522,196,180,112,90,96,128,142,185,172,154
CDR20291_2360,3247,3933,4649,4207,2964,3985,3451,2355,2510,2957,5961,4524
CDR20291_2361,1,5,2,2,1,1,2,1,2,3,2,2
CDR20291_2362,32,31,22,18,12,11,15,7,5,16,28,12
CDR20291_2363,9,20,5,1,2,7,7,6,4,3,3,2
CDR20291_2364,92,306,167,107,116,172,210,111,278,335,304,215
CDR20291_2365,47,175,86,64,62,96,89,69,149,191,122,117
CDR20291_2366,2632,2448,5381,3824,2576,3955,4406,3616,5205,3579,11555,12913
CDR20291_2367,170,93,282,222,131,115,118,158,188,258,333,266
CDR20291_2368,7,17,5,5,7,2,5,2,2,9,1,2
CDR20291_2369,1243,2057,942,894,556,701,694,652,990,1505,762,962
CDR20291_2370,1826,3468,1096,1178,916,1158,1034,940,1240,3080,1012,1272
CDR20291_2371,15,210,13,7,7,5,7,4,5,99,20,5
CDR20291_2372,251,1964,211,209,106,123,158,124,174,1695,459,286
CDR20291_2373,465,12607,126,119,175,206,351,253,499,10830,505,479
CDR20291_2374,439,314,557,496,503,814,876,517,503,544,617,649
CDR20291_2375,151,83,161,191,174,181,200,148,204,174,201,144
CDR20291_2376,319,246,502,469,524,683,694,663,375,356,505,278
CDR20291_2377,69,102,51,108,25,28,15,26,39,72,41,68
CDR20291_2378,45,98,48,69,20,24,5,18,25,25,22,59
CDR20291_2379,77,196,92,240,41,147,79,79,127,227,67,840
CDR20291_2380,60,58,30,79,22,54,17,23,39,98,34,251
CDR20291_2381,14,33,13,47,5,6,10,13,30,23,7,83
CDR20291_2382,22,56,32,77,13,30,17,29,33,61,8,154
CDR20291_2383,11,24,9,26,6,12,2,9,25,26,7,22
CDR20291_2384,1017,705,1148,789,372,470,301,253,1078,1083,997,979
CDR20291_2385,844,390,1034,1031,1074,641,432,618,1020,526,1094,955
CDR20291_2386,1268,281,602,1064,347,152,235,284,528,158,988,505
CDR20291_2387,1205,689,1062,1202,670,557,481,545,1351,361,1088,1313
CDR20291_2388,1187,860,960,1084,753,658,449,443,1433,534,1157,1343
CDR20291_2389,5,4,2,4,3,4,2,1,2,5,3,5
CDR20291_2390,668,787,1302,1009,787,648,805,658,779,863,2390,1196
CDR20291_2391,32,43,41,43,27,40,27,32,127,86,159,166
CDR20291_2392,499,776,488,421,388,376,225,159,1189,1546,1317,630
CDR20291_2393,713,505,713,641,713,647,580,471,950,1249,1058,850
CDR20291_2394,303,223,457,400,800,1349,1748,1228,452,464,352,403
CDR20291_2395,487,1526,373,401,430,422,486,468,204,607,306,168
CDR20291_2396,261,249,282,326,303,410,481,378,255,208,230,330
CDR20291_2397,136,458,206,146,671,515,333,521,100,547,187,85
CDR20291_2398,363,1975,550,464,2447,3427,3732,2751,443,1378,602,654
CDR20291_2399,266,407,333,272,203,261,254,195,420,445,667,510
CDR20291_2400,220,318,347,263,203,284,294,174,492,449,619,435
CDR20291_2401,60,92,96,85,84,54,57,63,480,337,207,583
CDR20291_2402,74,120,83,91,85,70,30,55,415,268,187,405
CDR20291_2403,19,20,18,22,24,27,7,10,88,96,47,54
CDR20291_2404,20,58,41,28,36,51,15,26,153,123,70,105
CDR20291_2405,15436,9314,11506,11835,10640,11048,10728,7820,31667,24155,22737,33010
CDR20291_2406,4646,2602,4044,4095,3076,2929,1814,1485,12317,9015,6015,11079
CDR20291_2407,236,235,560,509,322,419,269,298,1184,458,1037,852
