,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1040013,2,27,1,1,12,587,12,3,1,18,63,1,1,22,180,8,1
BN165_1040014,3,32,2,1,30,28,2,4,1,12,15,40,1,23,8,18,5
BN165_1040015,1,1,31,2,10,30,4,1,2,2,122,42,1,35,7,7,4
BN165_1040016,4,1,2,4,8,2,6,243,30,1,161,134,1,2,10,6,125
BN165_1040017,4,1,4,16,55,7,1,48,62,2,5,103,2,64,1,73,12
BN165_1040018,1,6,3,5,154,4,2,46,895,4,57,54,17,1,2,86,3778
BN165_1040019,1,25,3,66,268,5,2,31,412,1,7,1,12,1,16,32,3
BN165_1040020,1,7,1,5,10,1,4,1037,531,2,4,1,1,1,14,73,129
BN165_1040022,1,23,3,1,1,1,4,639,471,4,2,1,6,1,457,25,90
BN165_1040023,1,5,1,1,1,2,2,1508,534,3,1,1,7,1,52,27,50
BN165_1040024,1,2,1,1,62,3,3,101,419,1,1,1,6,1,15041,36,39
BN165_1040026,1,7,1,1,167,4,1,101,430,2,2,1,3,3,10,49,1
BN165_1040027,1,2,1,1,12,2,1,6,451,3,1,18,3,2,343,7,1041
BN165_1040028,1,15,1,18,1,60,2,3,485,1,1,7,4,3,233,80,1
BN165_1040030,1,1,1,8,1,104,3,1,438,4,4,1,5,1,141,1,7
BN165_1040032,1,2,1,4,1,654,5,1,475,2,1,6,16,2,131,1,3
BN165_1040036,1,4,1,3,1,97,10,2,504,1,2,5,18,12,2,2,2
BN165_1040037,1,1,2,7,1,75,16,3,510,1,494,1,26,4,4755,1,121
BN165_1040038,1,3,70,8,1,84,24,3,481,1,107,2,11,1,11,1,18
BN165_1040039,1,5,1,12,1,83,35,5,484,1,107,5,2,5,27,1,31
BN165_1040042,1,1,1,1,1,86,1,6,329,1,71,30,6,23,18,4,28
BN165_1040043,1,1,2,1,1,66,1,3,439,24,17,4,1,17,8,3,136
BN165_1040045,1,1,2,5,2,147,1,190,432,2,30,5,26,2,360,7,136
BN165_1040047,1,1,102,11,3,3,1,315,523,4,34,14,1,1,43,1,5
BN165_1040048,1,1,129,15,91,4,2,2730,414,3,13,18,68,1,41,1,4
