,E1,T20,T5,E12,T14,E14,T6,E23,T10,E15,T11,E25,T15,E16,T61,E24,T42
BN165_1880001,8,1,1,5,15,1,32,56,24,6,18,1,17,4,11,1,24
BN165_1880002,6,1,1,1,10,1,190,2,9,5,2,11,1,4,11,4,14
BN165_1880003,18,1,1,1,17,5,281,79,18,5,1,14,1,1,10,6,5
BN165_1880004,14,1,1,1,17,107,59,302,6,16,1,1,5,9,6,259,3
BN165_1880005,9,1,2,1,7,107,16,24,2,18,15,4,1,22,2,5,7
BN165_1880006,17,1,1,1,10,3,48,6,1,15,21,54,1,2,1,20,22
BN165_1880007,12,1,4,1,17,1,1,11,77,128,13,13,17,23,2,18,97
BN165_1880008,25,1,5,1293,5,18,109,6,1,36,8,12,3,2,2,2,13
BN165_1880009,7,1,5,560,25,2,180,27,930,19,22,2,3,4,14,25,9
BN165_1880010,10,1,1,6,44,279,125,7,1469,4,18,1,9,1,5,23,1
BN165_1880011,1,12,1,8,31,7,176,16,267,1,10,1,7,7,20,4,1
BN165_1880012,5,1,20,1,56,10,215,10,13,1,4,1,8,6,51,32,1
BN165_1880013,15,9,21,1,111,8,124,175,14,1,285,1,5,7,7,3,4
BN165_1880014,28,5,29,3,50,1,36,180,13,1,267,1,18,25,88,4,1
BN165_1880015,4,3,36,3,29,1,24,29,5,1,13,1,4,1,17,5,3
BN165_1880016,421,2,50,1,3,1,27,48,9,1,29,1,5,10,42,5,4
BN165_1880017,3,1,25,20,8,1,24,73,10,1,22,2,4,1,110,11,114
BN165_1880018,64,1,21,1,4,20,3,44,7,2,3,9,4,1,4,21,114
BN165_1880019,55,3,10,723,56,8,4,44,7,7,172,8,5,1,33,7,184
BN165_1880020,57,1,4,13,1,1,1,32,4,5,112,6,4,1,1,14,158
BN165_1880021,19,2,123,17,1,2,2,29,3,3,69,9,97,1,3,20,127
BN165_1880022,4,1,147,6,1,5,1,41,9,1,77,10,83,1,8,12,53
BN165_1880023,3,3,105,6,6,1,3,21,14,3,107,1,98,1,5,38,53
BN165_1880024,12,2,90,1,5,1,154,61,14,6,48,8,1,8,1,18,26
BN165_1880025,13,1,41,1,926,1,148,38,139,3,29,1,1,59,1,28,14
BN165_1880026,10,2,56,1,9,1,97,30,309,1,8,2,1,6,1,15,9
BN165_1880027,2,1,83,1,1,1,23,33,150,4,23,7,1,1,3,1,9
BN165_1880028,1,3,40,2,55,1,2,47,85,26,12,2,1,1,9,1,13
BN165_1880029,7,2,53,3,95,4,1,177,1,18,12,1,1,1,20,8,10
BN165_1880030,3,3,4,1,1,80,1,83,6,1,12,2,1,1,11,11,12
BN165_1880031,7,1,20,1,14,23,13,6,3,1,40,1,1,1,1,4,1
BN165_1880032,5,1,2,2,51,15,16,7,23,1,13,4,1,83,1,8,1
BN165_1880033,16,9,31,1,28,11,11,6,1,1,35,2,1,82,1,20,1
BN165_1880034,1,1,39,3,16,5,6,200,2,2,1,2,1,31,1,1,1
BN165_1880035,1,1,25,8,4,7,7,1,1,4,6,1,1,3,1,1,2
BN165_1880036,10,4,22,1,2,3572,35,139,7,1,6,1,1,6,1,1,37
BN165_1880037,3,20,15,41,1,1,17,151,8,1,20,1,1,27,2,46,3
BN165_1880038,1,7,42,14,7,3,6,267,346,1,25,1,1,20,1,44,2
BN165_1880039,1,2,6,1,6,26,337,49,4,52,16,449,1,17,1,16,4
BN165_1880040,2,1,7,5,3,20,261,7534,1,36,165,272,14,253,1,25,1
BN165_1880041,1,1,1470,7,2,46,12,22,32,1456,50,8,1,218,1,15,5
BN165_1880042,1,1,40,1,1,19,29,31,67,3702,26,21,46,287,1,2,13
BN165_1880043,1,1,8,1,8,26,27,5,1,3901,7,2,58,774,1,6,2
BN165_1880044,1,1,1,1,46,16,5,6,17,3184,1,2,51,67,1,2,55
BN165_1880045,1,1,1,1,33,36,154,11,92,3740,1,1,8,18,34,1,2
BN165_1880047,2,13,3,1,24,5,106,1,19,1332,1,2,19,9,1,4,5
BN165_1880048,1,20,8,1,25,7,87,848,10,237,1,12,25,7,1,8,1
BN165_1880049,2,1393,4,4,27,21,80,7,5,13,1,52,29,1,1,1,7
BN165_1880050,1,2624,42,140,1,15,92,375,2,15,1760,22,11,1,7,12,2
BN165_1880051,1,4109,21,34,37,4,43,41,1,1,400,14,5,2,1,11,7
BN165_1880052,1,2508,421,26,6,1,33,22,1,1,24,1,9,1,6,9,10
BN165_1880053,1,3317,421,14,4,1,8,30,2,1,23,3,3,1,9,20,1
BN165_1880054,1,4753,51,5,28,2,16,21,1,14,1,3,1,1,195,3,13
BN165_1880055,1,4753,33,8,7,2,11,14,1,14,2,46,1,1,11,6,1
BN165_1880056,1,2,3,15556,4,12,16,15,1,2,5,4,14,1,37,2,1
BN165_1880057,1,1,25,1,5,17,11,6,8,21,27,1,1,1,47,16,1
BN165_1880058,1,1,6,7,6,172,61,1,11,5,27,1,666,1,1310,17,1
BN165_1880059,1,1,6,46,16,90,12,1,11,496,8698,1,1030,4,660,18,1
BN165_1880060,1,1,2,15,11,30,29,1,10,5,6216,2,134,1,581,33,1
BN165_1880061,5,1,7,69,11,18,4,1,9,24,32,1,10,1,509,39,1
BN165_1880062,6,1,8,20,2,14,100,1,16,18,473,3,11,1,782,14,11
BN165_1880064,11,9,3,38,1,20,12,6,1,66,13,1,8,1,3,32,40
BN165_1880065,7,43,2,13,1,15,31,22,16,141,2,1,6,1,18,12,6
BN165_1880066,21,1,1,58,1,13,24,25,3,86,36,1,7,1,18,29,1
BN165_1880067,1,1,3,10,841,19,15,11,4,2,7,2,9,1,27,6,1
BN165_1880068,8,1,3,9,221,8,163,9,11,28,674,1,5,3,671,4,2
BN165_1880069,6,1,4,50,18,5,35,1,10,21,13,2,7,6,122,12,5
BN165_1890001,60,1,7,28,59,36,54,20,2,4,36,1,5,10,13,41,2
BN165_1890002,3,1,73,9,26,17,10,7,8,7,29,1,7,325,6,7,188
BN165_1890003,107,5120,91,1,26,14,1,5,4,5,91,1,7,18,1,14,169
BN165_1890004,105,5931,48,1,5,2,1,5,6,1,145,1,10,11,1,3,49
BN165_1890005,42,27,233,2,12,8,1,2,7,1,96,2,6,20,4,5,5
BN165_1890006,24,1,9,1,31,7,1,17,7,1,4,29,16,30,1,7,5
BN165_1890007,51,540,37,12,58,1,1,7,5,1,41,31,54,4,45,8,24
BN165_1890008,1238,4,3,28,3,1,1,6,3,1,22,23,21,3,5,8,17
BN165_1890009,988,5,2,206,2,55,2,5,1,2,7,144,8,6,3,3,12
BN165_1890010,1326,16,18,167,1,87,3,5,4,4,7,1,1,8,127,5,211
BN165_1890011,714,7,2,41,1,13,3,84,577,203,6,1,2,1,4,4,207
BN165_1890012,251,1,11,18,1,2,1,4,182,46,3,1,1,2,6,3,95
BN165_1890013,81,1,9,12,1,6,1,1,10,37,1,1,15,11,3,5,404
BN165_1890014,134,1,1,31,1,3,2,1,25,27,1,19,1,5,2,8,21
BN165_1890015,19,1,1,21,2,22,6,1,5,13,1,16,1,1,33,12,17
BN165_1890016,38,1,1,16,1,16,5,1,5,13,1,11,1,6,5,1,10
BN165_1890017,23,239,1,39,4,3,15,1,177,17836,2,7,2,2,9,25,3
BN165_1890018,14,4,1,8,45,3,1,1,1,1,8,34,1,1,14,63,1
BN165_1890019,13,9,1,5,13,39,2,1,2,8,328,21,227,4,2,4,1
BN165_1890020,26,4,26,46,23,47,21,8,22,90,70,932,3,1,22,6,1
BN165_1890021,13,119,29,16,5,10,10,8,56,38,60,4,1,1,16,12,1
BN165_1890022,34,1358,1,33,34,15,5,1,29,64,60,1,43,1,6,2,1
BN165_1890023,17,1,1,2,106,24,15,58,15,37,46,1,1,146,3,29,2
BN165_1890024,130,1,26,11,41,15,81,40,3,48,23,21,75,2,21,5,1
BN165_1890025,107,21,54,54,23,18,86,1,11,25,25,1,1,6,74,45,5
BN165_1890026,130,26,8,1,5,14,4,5,79,87,16254,1,6,5,34,90,3
BN165_1890027,67,1,6,1,91,12,3,2,7,16,1,1,5,4,37,9,3
BN165_1890028,2501,1,5,43,4,16,2,18,3,8,11,1,6,2,6,48,3
BN165_1900001,1,1,15,172,2,7,2,13,3,51,94,1,18,7,66,1,1
BN165_1900002,1,1,3,18,9,19,3,14,3,23,53,2,14,3,80,1,1
BN165_1900003,2,1,5,2,8,14,3,6,3,22,109,1,8,5,236,11,1
BN165_190001,10,1,1,8,5,13,1,53,2,1,59,1,3,10,39,15,1
BN165_190002,5,2,1,3,7,14,2,58,3,2,70,1,1,2,36,5,1
BN165_190003,3,3,61,34,6,17,22,63,1,2,45,1,1,3,32,3,1
BN165_190004,38,2,47,23,7,57,14,20,1,2,117,7,1,3,25,23,1
BN165_190005,47,2,14,9,3,25,893,64,4,29,19,2,1,1,45,4,4
BN165_190006,15,2,43,5,4,2,1412,6,5,22,13,1,1,1,22,6,10
BN165_190007,34,3,70,55,6,1,1812,3,5,51,65,3,1,1,92,7,8
BN165_190008,20,5,7,75,5,3,1806,34,11,44,38,15,1,2,1,10,240
BN165_190009,22,1,3,15,6,65,2335,99,11,57,28,8,1,1,1,12,20
BN165_190010,25,1,61,16,18,1,1713,9,2,41,2,1,3,104,6,4,18
BN165_190011,36,1,15,37,18,72,450,2,1,26,3,1,18,1,60,1,24
BN165_190012,1,1,11,20,17,40,10,1,2,42,2,1,10,7,36,1,31
BN165_190013,91,1,8,17,17,124,10,1,3,35,3,1,8,7,84,1,9
BN165_1910001,1,1,1,13,6,10,1,1,3,29,40,1,8,149,1,3,2
BN165_1910002,1,1,1,10,5,3790,1,1,39,63,32,1,7,243,22,1,7
BN165_1910003,1,2,37,16,4,9,3,6,28,9,293,1,1,13,19,1,1
BN165_1910004,227,1,11,8,7,9,80,3,29,4,220,1,14,12,6,8,2
BN165_1910005,223,11,5,21,6,33,80,22,109,73,83,1,3,6,45,19,8
BN165_1910006,235,25,336,16,135,61,9,26,1,28,56,2,2,2,5359,152,5
BN165_1910007,374,8,16,15,76,4,2,2,1,85,39,3,8,1,5359,18,1
BN165_1910008,492,11,8,20,74,1,69,1,1,8,64,287,4,1,152,5,2
BN165_1910009,374,1,7,30,266,462,8,1,1,8,45,787,1,15,54,5,3
BN165_1910010,208,1,63,124,1,15,660,1,31,8,36,1079,2,16,1,5,2
BN165_1910011,173,1,1,35,1,160,14,1,29,52,74,837,3,3,6,1,5
BN165_1910012,85,3,1,4,1,17,27,1,20,1,13,1000,10,8,168,1,1
BN165_1910013,7,2,1,2,1,10,12,4,14,41,7,1,2,3,64,1,1
BN165_1910014,15,1,1,4,75,10,9,2,59,162,90,1,2,1,2,25,1
BN165_1910015,9,1,1,1,51,7,5,1,38,18,43,5,1,3,11,17,107
BN165_1920002,5,4,1,1,40,5,7,1,816,3,99,8,1,4,50,16,5
BN165_1940001,2,1,10,2,30,6,1,1,20,6,16,3,1,406,14,125,5
BN165_340006,2,1,2,1,99,29,52,1,1,4,16,1,1,3,8,108,8
BN165_400003,2,1,1,97,55,10,16,1,2,9,65,1,466,18,114,12,4
BN165_1950001,6,1,1,1,1954,1,2,27,1,3,1,36,262,16,79,7,2
BN165_1950002,29,1,9,74,30,1,9,144,1,4,70,3,8,3,1,9,6
BN165_1950003,1,1,7,47,1,1,16,123,3,3,266,15,23,236,1,1,1
BN165_1960003,1,1,3,147,4,1,3,135,2,1,27,16,5,14,15,5,3
BN165_1960004,1,1,2,18,1,2,1,69,1,1,6,5,1,2,18,82,5
BN165_1960005,2,2,3,6267,1,14,1,95,2,1,10,4,1,42,8,15,1
BN165_1960006,1,1,1,14,1,20,1,95,2,1,6,15,14,1,1,6,1
BN165_1960007,1,1,2,18,1,4,1,4,50,1,19,7,48,3,6,6,1
BN165_1960008,1,1,1,23,1,5,3,1,9,1,12,4,30,10,1,2,1
BN165_1960009,1,1,3,33,4,2,10,1,30,1,7,1,15,7,1,3,1
BN165_1960010,1,1,2,4,3,12,235,2,39,1,7,19,3,9,1,84,1
BN165_1970001,1,1,1,1,47,1,70,6,17,1,43,7,11,18,12,41,5
BN165_1980001,1,2,7,875,7,1,51,1,8,116,145,15,65,7,16,18,1
BN165_1990001,1,4,4,43,32,1,41,1,36,253,280,19,5,14,3,22,74
BN165_2000001,1,1,5,308,36,1,17,1,19,16,26,4,1,18,1,5,1
BN165_2000002,1,2,12,28,16,7,20,1,17,29,46,20,3,10,19,842,6
BN165_200002,1,1,7,14,6,4,10072,37,8,53,76,40,4,38,2,978,7
BN165_200003,2,1,5,14,44,4,2,71,42,35,61,16,4,18,7,1091,162
BN165_200004,3,2,8,10,44,6,16,69,16,40,65,8,2,30,7,1199,309
BN165_200005,13,1,4,11,18,3,77,57,29,31,55,10,1,14,4,739,11
BN165_200006,16,7,12,9,14,27,58,35,33,30,55,22,1,1,1,595,9
BN165_200007,6,6,4,79,10,3,111,55,8,33,51,2,1,1,7,396,3
BN165_200008,1,1,4,12,10,1,66,1,34,15,27,1,3,2,24,6,1
BN165_200009,3,1,1,1,20,1,84,55,38,38,62,2,2,1,28,13,1
BN165_200010,23,1,2,1,8,1,50,56,27,33,50,4,2,2,74,19,1
BN165_200011,6,1,5,1,13,1,27,103,17,44,65,4,4,6,1,199,11
BN165_200012,3,15,11,1,72,1,15,26,16,32,45,1,5,14,1,190,9
BN165_200013,7,1,1,2,24,1,14,82,23,45,70,1,8,1,1,273,1
BN165_200014,25,45,299,13,52,1,51,15,5,105,170,1,5,1,1,273,5
BN165_200015,16,1,1,19,52,2,32,8,10,61,72,35,7,1,1,194,5
BN165_200016,4,1,43,6,52,2,13,5,11,4,6,1,2,35,2,203,1
BN165_200017,2,2,27,4,18,1,1,1,19,3,6,2,5,35,5,179,3
BN165_200018,1,2,60,1,72,33,2,1,16,5,10,4,6,14,8,51,4
BN165_200019,1,2,6,16,85,9,3,1,8,135,159,3,6,19,4,2,209
BN165_200020,2,1,1,1,55,1,4,8,1,1,2,11,5,15,1,5,4
BN165_200021,1,1,1,1,29,5,22,8,1,74,93,11,4,4,4,174,18
BN165_200022,1,21,4,1,27,5,54,7,19,14,19,11,50,6,24,51,15
BN165_200023,15,8,5,1,40,3,190,1,3,25,45,11,56,3,11,166,3
BN165_200024,10,12,4,1,12,7,114,2,4,38,53,10,32,1,2,100,32
BN165_200025,828,4,1,24,7,3,75,17,12,23,40,8,50,3,2,100,14
BN165_200026,1844,4,1,9,6,3,47,6,5,23,36,62,3,5,159,71,4
BN165_200027,2381,4,7,10,11,2,39,3,25,35,53,72,1,1,16,51,28
BN165_200028,1966,2,1,7,19,14,43,15,25,40,52,12,2,9,18,230,4
BN165_200029,2351,21,6,2,9,9,38,38,25,12,60,2,3,9,2,97,4
BN165_200030,3150,6,4,40,1,9,27,40,25,16,25,36,2,7,43,55,5
BN165_240001,3150,5,8,3,1,9,47,4,339,44,29,1,45,15,27,26,4
BN165_2010001,1,6,1,1,1,3,17,2,3099,39,60,22,35,12,17,248,7
BN165_2010002,16,40,1,2,108,2,13,1,3099,34,35,28,33,2,265,5,13
BN165_2010003,1,38,5,1,108,1,90,1,15,12,64,14,95,1,3,3,6
BN165_2020001,1,9,1,1,5,13,44,2,14,12,56,18,1,14,74,4,14
BN165_2030001,1,7,1,1,7,3,27,3,70,14,19,73,1,14,11,20,21
BN165_2030002,1,34,1,1,8,1,5,2,144,13,20,36,1,9,18,25,10
BN165_2040001,1,27,1,1,8,1,15,1,22,12,26,2,1,18,101,56,35
BN165_2060001,1,18,1,2,39,1,20,1,14,54,22,24,21,24,59,15,16
BN165_2060002,6,17,1,2,39,1,4,32,33,45,25,8,17,7,63,39,38
BN165_2070001,106,7,1,1,39,1,4,25,1,7394,94,4,13,29,37,15,10
BN165_2070002,13,31,1,68,39,21,96,1705,62,31,64,1,9,8,75,128,1
BN165_2090001,1,424,1,15,722,11,236,2879,64,21,9096,3,39,16,11,83,1
BN165_210001,75,1,1,1,27,16,30,3742,37,21,24,31,26,4,76,63,1
BN165_210002,1,12,1,11,23,12,6,2717,67,21,32,34,681,2,14,76,1
BN165_210003,2,15,1,11,264,1,17,3098,88,26,31,18,4,11,66,29,8
BN165_210004,2,4,1,14,304,1,8,11,59,25,29,5,1,41,323,10,13
BN165_210005,2,10,1,6,54,1,22,8,11,6,7,1,1,6,45,3,2
BN165_210006,2,23,1,3,16,2,5,3,40,1,1,1,1,11,45,3,1
BN165_210007,1,22,1,24,32,2,12,4,36,470,751,1,1,1,18,9,1
BN165_210008,1,33,1,22,1,3,10,2,25,4,16,4,2,8,5,17,27
BN165_210009,13,23,1,22,66,3,90,2,2,105,149,3,1,7,13,134,31
BN165_210010,2,2,1,5,135,4,90,5,1,34,38,4,1,9,7,12,12
BN165_210011,19,9,1,19,103,1,34,8,2,14,22,1,1,12,3,31,22
BN165_210012,1,3,1,3,154,1,50,8,4,18,29,5,1,2,1,1,12
BN165_210013,1,7,1,4,217,1,82,5,2,10,13,9,26,4,87,4,1
BN165_2120001,8,170,1,22,154,1,54,13,3,9,14,2,3,4,5,10,5
BN165_2120002,4,1,3,5,25,7,51,11,51,7,8,1,15,4,2,3,2
BN165_2120003,14,1,4,1,38,26,51,15,47,1,7,183,18,3,3,1,1
BN165_2120004,9,1,8,1,10,25,40,5,37,1,3,91,7,6,3,35,2
BN165_2120005,5,1,3,1,10,24,56,10,21,1,2,1,2,9,2,5,6
BN165_220002,15,1,12,1,15,3,26,4,1,1,2,8,15,1,2,12,1
BN165_220003,16,1,1,1,3,3,69,1,1,1,1,6,15,7,2,17,11
BN165_220005,2,1,3,65,3,3,46,3,1,1,1,1,5,6,1,19,10
BN165_220006,1,1,3,35,105,1,44,2,7,1,1,28,4,3,1,27,6
BN165_230001,1,1,32,15,103,1,49,2,11,2,3,24,3,1,8,14,29
BN165_230002,1,1,1,15,66,1,63,3,7,6,11,16,26,14,1,45,8
BN165_230003,1,1,59,34,19,2,201,11,5,6,16,25,12,3,1,8,3
BN165_230004,1,1,42,1,6,1,61,2,9,6,10,22,18,1,15,6,2
BN165_230005,1,1,22,1,1,1,5,2,3,6,11,9,18,1,21,9,22
BN165_230006,1,1,8,5,1,1,4,4,1,1,1,7,5,1,251,8,18
BN165_230007,1,1,20,2,11,55,8,6,1,1,1,2,31,1,32,9,11
BN165_230008,1,1,817,3,15,72,136,4,205,13,19,6,38,8,9,1,21
BN165_230009,2,1,594,4,9,64,3,6,101,10,8,4,20,1,7,20,24
BN165_230010,1,1,731,1,5,65,160,4,4,7,5,2,11,7,8,46,7
BN165_280009,1,1,435,1,7,45,123,6,7,8,7,2,8,17,1,68,18
BN165_230011,1,1,123,53,8,51,297,4,7,2,3,14,21,2,2,80,1
BN165_230012,1,233,20,1,5,43,35,6,2,1,1,3,3,25,3,1,2
BN165_230014,2,153,59,24,3,54,8952,38,23,18,28,10,1,5,92,1,3
BN165_230015,1,464,7,59,392,98,21,37,17,7,12,1,2,10,49,1,54
BN165_230017,3,51,13,39,230,20,18,20,18,5,10,2,4,28,45,1,3
BN165_230018,3,38,15,42,9,48,62,19,20,9,13,2,10,4,342,1,12
BN165_230019,2,52,5,6,23,4,107,15,19,19,27,3,9,32,286,1,14
BN165_230020,2,7,7,11,26,4,5,3,14,9,11,15,13,1,20,1,305
BN165_230021,2,44,9,11,4,5,3,2,2,2,2,15,17,2,16,1,166
BN165_230022,1,7,6,1,105,1,957,11,1,11,19,10,4,1,18,3,124
BN165_230023,1,2,17,1,75,6,8,6,1,1,1,81,3,1,5,1,118
BN165_230024,15,1,7,1,68,4,331,5,6,1,1,11,1,1,12,1,229
BN165_230025,13,1,58,2,62,1,41,65,5,1,1,19,1,1,216,1,1
BN165_230026,2,1,56,2,67,1,26,94,4,1,1,2,19,1,53,1,4
BN165_230027,2,1,56,1,35,1,28,140,3,1,1,1,2,1,4,2,4
BN165_230028,1,8,15,1,19,1,18,56,13,1,1,1,2,3,4,1,8
BN165_230029,1,4,2216,1,5,2,15,35,7,4,7,1,3,8,2,2,156
BN165_240002,3400,314,1,47,19,5,14,1,35,4,7,1,5,4,3,3,45
BN165_240003,3433,251,1,96,12,6,4,221,16,1,1,1,5,1,193,3,2
BN165_240004,34,251,1,84,8,4,2,32,484,54,73,1,5,1,46,25,1
BN165_240005,1,107,2,71,6,6,1,1,45,23,32,484,5,1,11,1,1
BN165_240006,420,131,3,29,33,6,1,3,26,1,1,163,5,1,1465,92,1
BN165_240007,10,167,2,48,15,8,1,3,27,1,4,4,13,1,1733,131,2
BN165_240008,10,139,39,2,31,3,1,2,19,1,4,4,12,1,1951,139,1
BN165_240009,21,110,53,44,4,4,5,2,142,1,3,1,110,1,2147,25,14
BN165_240010,7,111,16,52,81,1,18,1,22,6,9,1,132,1,1391,91,5
BN165_240011,2,1924,34,105,81,1,31,1,30,4,8,1,17,1,1127,52,1
BN165_240012,1,140,10,27,11,2,11,1,6,14,21,34,7,1,912,56,43
BN165_240013,1,116,9,42,10,1,11,1,1,7,10,34,24,1,33,56,2
BN165_240014,1,1,13,7,15,2,2,1,1,43,77,2,1,1,41,18,5
BN165_240015,1,8,26,3,11,1,19,84,1,46,67,111,36,1,27,30,2
BN165_240016,101,10,1,2,16,5,1,4,1,36,59,111,49,1,369,20,2
BN165_240017,7,9,39,3,3,1,1,1,1,33,69,1,45,12,326,12,11
BN165_240018,5,7,1,1,9,1,1,1,1,38,62,9,76,1,564,8,2
BN165_250002,1,5,1,2,9,1,4,11,478,3,7,1,93,1,564,50,2
BN165_250003,14,1,1,2,12,7,13,9,125,6,10,202,51,1,355,6,4
BN165_250004,16,2,172,5,7,5,8,32,11,22,36,3,12,1,334,1527,1
BN165_250005,1,2,196,1,7,5,7,4,10,5,8,9,43,3,396,2307,6
BN165_250006,1,34,203,2,50,2,6,4,1,1,2,3,9,10,104,222,4
BN165_250007,1,33,382,38,50,9,172,4,1,1,1,2,5,4,4,26,2
BN165_250008,1,780,529,8,12,5,172,106,1,1,1,2,1,64,6,19,1
BN165_250009,1,263,326,11,39,6,9,4,16,1,1,1,3,5,700,21,7
BN165_250010,1,538,164,3,31,4,72,70,16,1,1,1,44,19,172,8,21
BN165_250011,1,22,158,1,37,4,6,4,7,5,16,18,42,24,521,16,10
BN165_250012,2,26,132,12,39,2,1,4,2,5,17,5,27,554,278,20,12
BN165_250013,2,36,3,9,77,9,1,2,33,4,6,1,8,267,278,8,3
BN165_250014,2,325,6,1,12,4,1,1,3,3,5,2,1,190,219,14,29
BN165_250015,4,1,4,2,33,4,1,1,72,2,15,4,1,176,162,1,38
BN165_250016,3,2,1,1,33,2,1,2,7,12,4,1,1,296,664,14,134
BN165_250017,1,3,1,1,21,14,1,1,11,17,20,1,4,2,386,4,22
BN165_250018,1,4,1,2,156,9,1,1,7,14,23,1,6,5,257,15,20
BN165_250019,1,72,1,7,31,8,5,3,71,29,21,1,4,19,119,35,17
BN165_250020,1,43,3,4,45,30,5,3,69,1,37,1,2,9,848,10,6
BN165_250021,1,139,20,2,16,44,1,3,66,2,1,1,3,296,3,31,16
BN165_250022,1,138,1,6,1,57,72,2,2,6,3,2,11,50,5,72,6
BN165_250023,1,180,1,5,1,42,25,1,32,8,8,53,4,3,4,30,28
BN165_250024,1,43,1,10,1,20,2,1,16,8,9,21,1,1,17,11,1
BN165_250025,1,19,1,3,1,1,5,1,1,4,9,16,109,1,20,2,1
BN165_250026,4,39,1,7,1,81,5,1,4,1,51,16,96,1,15,11,2
BN165_250027,14,115,1,2,1,19,10,1,3,1,6,7,3,1,61,2,21
BN165_250028,10,84,1,1,1287,1,15,1,2,1,1,4,11,1,175,37,15
BN165_250029,10,99,1,3,1287,4,10,2,1,1,1,5,12,12,44,4,3
BN165_260001,1,660,1,1,429,4,15,1,1,1,1,6533,9,2,345,21,1
BN165_260002,1,177,1,1,14,4,7,5,1,7,1,1,9,1,224,19,3
BN165_260003,1,297,1,2,14,2,56,3,1,65,1,5,44,34,158,3,1
BN165_260004,4,680,1,9,1,1,48,13,3,50,14,18,28,2,168,2,1
BN165_260005,3,319,6,2,1,1,48,22,6,49,94,7,24,3,53,776,1441
BN165_260006,1,654,1,2,2,1,49,18,92,6,66,31,19,1,23,7,1441
BN165_260007,1,4,1,3,15,1,5,15,33,10,65,13,24,1,7,3,13
BN165_260008,8,72,1,7,3,1,8,10,30,10,34,20,10,8,5,28,1
BN165_260009,1,12,1,4,70,28,25,9,30,3,8,9,9,4,13,50,1
BN165_260010,1,19,1,5,10,8,5,16,2780,3,13,18,2,2,34,3,40
BN165_260011,1,107,4,1,602,1,1,180,22,5,13,3,6,4,494,9,28
BN165_260012,1,7,4,8,13,1,1,4,306,1,3,3,4,1,65,44,1
BN165_260013,1,5,4,5,24,3,1,19,4,1,3,19,4,9,143,20,3
BN165_260014,1,8,1,8,9,7,1,11,5,1,7,16,4,6,1,15,19
BN165_260015,1,5,1,4,1,20,1,13,9,28,1,4,16,3,9,4,6
BN165_260016,1,16,11,3,1,15,3,16,2,79,1,1,4,3,29,1,4
BN165_260017,1,32,2,2,1,11,1,13,5,93,1,1,9,17,8,1,64
BN165_260018,1,4,1,3,2,5,28,24,25,87,44,1,1,27,1,4,42
BN165_260019,1,6,3,4,63,40,21,7,19,34,111,1,14,10,53,5,1
BN165_260020,1,2,13,3,19,6,1,4,11,57,133,7,2,12,19,1,1
BN165_260021,1,804,4,2,2,29,1,1,23,113,136,10,14,1,41,1,4
BN165_260022,1,804,2,8,4,2,15,1,5442,57,48,72,9,18,10,1,4
BN165_260023,1,8,1,4,9,2,19,1,2,61,90,53,4,23,9,7,1
BN165_260024,1,20,1,8,3,1,24,1,9,15,136,21,65,110,17,24,1
BN165_270001,4,15,1,3,1,1,8,1,25,43,95,8,14,9,36,24,2
BN165_270002,7,7,1,10,1,1,3,1,21,6,127,6,25,11,120,18,1
BN165_270003,1,11,1,5,1,1,4,1,63,4,34,14,4,9,14,23,1
BN165_270004,1,7,1,1,1,1,1,5,33,2,69,10,1,7,16,33,1
BN165_280002,3,6,3,6,2,1,1,1,46,2,10,9,1,16,20,4,5
BN165_280003,5,8,5,32,11,1,1,1,37,1,8,20,1,6,18,29,6
BN165_280004,7,2,356,73,278,1,20,1,36,1,3,3,1,26,21,1,1
BN165_280005,4,6,831,95,73,1,89,39,4,1,1,2,1,1,20,4,1
BN165_280006,4,2,1213,35,54,1,84,41,6,1,3,32,1,1,143,13,7
BN165_280007,3,7,816,21,54,1,66,5,29,1,1,12,689,2,230,8,1
BN165_280008,3,9,1015,1,47,1,20,2,22,1,2,7,165,18,275,7,1
BN165_280010,3,8,1595,120,14,1,20,162,14,1,4,1,7,12,1,5,3
BN165_280011,2,9,1595,16,14,1,20,1,1,1,2,4,7,5,1,3,2
BN165_280014,2,1,1,1,26,1,4,9,2,70,3,46,1,1,1,8,1
BN165_280015,1,7,1,9,9087,2,1,10,2,70,3,1,1,7,1,7,4
BN165_280016,1,9,1,10,3,1,9,10,2,1,5,1,1,7,1,8,7
BN165_280017,2,6,4,7,90,1,1,39,9,1,2,14,25,1,1,3,9
BN165_280018,76,1,24,1,1,1,1,9,17,1,3,65,3,1,1,2,18
BN165_280019,193,3,9,1,3,7,1,2,31,1,3,7,1,1,1,1,1
BN165_280020,40,10,1,1,4,24,55,1,18,2,2,1,20,1,3,1,1
BN165_280021,40,1,1,1,2,23,71,1,47,1,2,3,4,2,1,957,1
BN165_280022,43,112,1,1,1,13,65,27,35,2,11,2,340,1,1,684,1
BN165_280023,9,71,1,1,2,2,60,22,28,2,3,7,7,1,1,22,1
BN165_280024,47,22,1,73,4,2,43,12,36,3,2,1,11,5,1,55,1
BN165_290001,15,42,1,15,4,5,54,2,32,1,4,3,5,10,1,7,1
BN165_290002,19,13,1,4,13,69,48,1,28,1,6,2,1,60,1,2,1
BN165_290003,4,42,8,1,1,2,57,1,38,1,6,114,8,2282,1,4,1
