,media_1,media_2,media_3,Cpmedia_1,Cpmedia_2,Cpmedia_3
CDR20291_1125,680.9990616,783.6420478,761.5690295,563.6137508,482.5822359,402.9231813
CDR20291_1126,1834.498488,2473.173951,2325.283652,4282.341101,4532.810081,4350.610059
CDR20291_1127,14360.27742,14217.39964,19299.99696,26155.55024,37593.35361,28065.79878
CDR20291_1128,3260.401681,2914.060268,3579.002906,3328.099844,2395.484893,1928.673208
CDR20291_1129,25976.15,24946.72827,24341.61045,23458.33502,21445.28695,18414.26253
CDR20291_1130,11.86103993,13.24301308,16.27803895,12.37818256,49.27383991,22.36694014
CDR20291_1131,115.5713989,118.4634749,114.0726719,117.0735695,396.7401239,208.7461819
CDR20291_1132,193.0150322,179.0668536,197.7641345,249.8917392,250.089556,248.060463
CDR20291_1133,290.3300314,313.5561486,307.937552,346.0491138,296.8629009,314.7066818
CDR20291_1134,1730.581296,1534.543684,1314.047763,1674.407542,1730.557305,1814.346136
CDR20291_1135,1855.282289,1721.764367,1565.817112,1843.105579,1949.457517,2031.079507
CDR20291_1136,1625.994881,1816.892063,1574.325346,1881.169329,2258.541958,1998.336744
CDR20291_1137,21.33217259,15.68063088,27.5974354,26.74850583,37.01571523,43.04934554
CDR20291_1138,49.15544741,46.49274816,47.69520407,66.49774439,89.37542549,71.06091203
CDR20291_1139,255.5513496,226.1197192,210.4966992,432.5283839,395.7767354,516.0592843
CDR20291_1140,1432.826292,1388.790241,1373.587405,2625.622879,3130.540391,2897.230996
CDR20291_1141,92.57126939,65.52184152,85.24040248,86.72926631,77.2704235,92.21154602
CDR20291_1142,33.14986293,24.00800301,28.53436594,23.30814523,25.86608851,21.9811902
CDR20291_1143,1204.147159,1098.516634,945.2551538,1375.346103,1250.458965,1323.445436
CDR20291_1144,797.578384,823.6410928,769.9436219,1360.861943,1592.291767,1362.037774
CDR20291_1145,10531.57071,10806.66689,12170.16409,13181.22652,11801.2168,11393.37064
CDR20291_1146,8982.037313,8455.316246,7569.335823,7762.179067,10506.44518,8166.968795
CDR20291_1147,2643.163584,2876.727795,2313.645317,2038.965996,1626.971766,1880.056104
CDR20291_1148,12901.078,14735.00572,15032.36102,13494.50091,12959.532,12112.91942
CDR20291_1149,2671.82722,3144.561203,3243.626525,2876.598188,2719.694709,2665.196151
CDR20291_1150,2562.651355,2875.023434,2816.883143,2642.212894,2632.894503,2512.970465
CDR20291_1151,27871.98245,30810.87428,29729.11714,27144.32522,26701.55239,26250.87698
CDR20291_1152,5012.313719,5417.359061,4961.033555,4560.891074,4834.081228,4607.14727
CDR20291_1153,14070.15889,14100.09244,13070.73818,11599.28293,12221.69701,12508.11701
CDR20291_1154,13660.71144,12984.80745,11674.06188,10715.02058,11596.65414,11270.39923
CDR20291_1155,6321.297505,5971.695963,5532.765259,7713.366785,7527.400408,7746.044102
CDR20291_1156,1691.151274,2159.52305,1868.697069,1962.247084,1581.812626,1756.899559
CDR20291_1157,20250.02404,24143.145,20040.91836,19522.78158,14984.66281,18806.37278
CDR20291_1158,2098.253104,2267.515976,2355.370013,2619.593062,2212.61082,2151.298497
CDR20291_1159,27344.3851,28863.24728,27570.79027,40929.54476,33782.91037,38542.45906
CDR20291_1160,114.8632916,132.6784911,148.9592599,168.0166038,198.8908368,155.5175946
CDR20291_1161,3031.487167,3028.362094,2771.399545,5590.466658,6308.953491,6786.02486
CDR20291_1162,697.5592727,720.8048958,637.599196,1279.84466,1402.536888,1257.082832
CDR20291_1163,3923.354547,4278.587857,4143.275392,7524.369595,8486.717856,8428.294441
CDR20291_1164,2214.277007,2367.71546,2269.426423,3831.203651,4677.568287,4379.884165
CDR20291_1165,8281.578146,8088.688008,6655.350816,7421.324626,9815.731019,8759.027601
CDR20291_1166,4307.77744,4058.044584,3523.051869,3422.834923,4528.718027,4224.599903
CDR20291_1167,7360.316044,6781.144161,6435.100658,6252.407095,8274.43449,7621.799809
CDR20291_1168,3166.936006,2847.199758,2641.674505,2616.607833,3807.380392,3124.444504
CDR20291_1169,4726.252526,5943.53692,6771.12107,5495.690336,6713.498239,5204.745841
CDR20291_1170,21993.58248,28041.13257,26807.70323,19812.82527,25132.40302,20623.13445
CDR20291_1171,3478.259849,3282.84746,3262.418169,5467.258975,6588.868415,6160.095492
CDR20291_1172,4547.717743,4133.906376,3784.820068,4510.250976,4189.969422,4106.834231
CDR20291_1173,5667.398763,4792.569041,4602.283051,4794.627435,3899.071783,4027.829781
CDR20291_1174,1397.617633,1127.534608,1142.773681,614.6251534,437.5687809,485.5099324
CDR20291_1175,4472.751838,4652.908173,3935.635784,2718.861601,1851.310285,2208.533499
CDR20291_1176,1339.766622,1168.758385,1090.444781,1905.710159,1562.633789,1929.210698
CDR20291_1177,317.2530008,365.2357055,324.0637863,282.8536544,241.8470282,222.3637335
CDR20291_1178,478.3726174,424.431817,427.1802092,568.0625559,639.2914549,616.9552333
CDR20291_1179,1393.84266,1346.484587,1347.510687,2456.407163,2493.397186,2207.094979
CDR20291_1180,11428.06875,11584.94842,10599.55443,16033.95267,17620.0085,17526.44774
CDR20291_1181,1396.613395,1273.934158,1222.235013,1530.333104,1215.885786,1435.916359
CDR20291_1182,8158.770252,8297.402175,14832.46749,11495.20839,8757.185157,7519.65887
CDR20291_1183,1672.537682,1437.180948,1981.704312,1810.455498,1264.03439,1013.009508
CDR20291_1184,248.5023526,229.1220507,285.0083743,276.8987057,162.7671781,145.3170325
CDR20291_1185,8481.819111,9660.40528,9341.684461,10949.40611,10266.83582,9688.821643
CDR20291_1186,702.8178389,578.1311511,501.3422464,919.9540546,1117.763302,1010.443543
CDR20291_1187,143.4945964,202.0165249,167.7190322,136.4545414,125.1149693,126.3847427
CDR20291_1188,735.2728989,748.6185568,710.549329,546.0934339,482.2949855,540.7695097
CDR20291_1189,785.0115116,878.6336849,842.689302,740.0141259,666.250546,663.5033778
CDR20291_1190,1914.452301,2349.364749,1962.762639,2560.748762,2656.328765,2809.611617
CDR20291_1191,73.46763865,77.59730271,108.5962895,44.07507135,47.43601789,47.72947293
CDR20291_1192,89.96098797,73.98780532,82.02765044,27.99436402,52.63591417,37.37989729
CDR20291_1193,166.1431152,167.9039081,149.3598527,111.4173038,73.22749301,121.5080427
