,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_02050,8,0,5,0,0,0
CD630_02060,1,1,3,0,0,0
CD630_02070,10,5,15,2,0,0
CD630_02080,4,1,3,0,0,0
CD630_02090,12,1,3,0,0,1
CD630_02100,17,3,5,2,0,0
CD630_02110,6,2,2,2,1,0
CD630_02120,71,10,32,2,2,2
CD630_02130,50,14,19,0,0,1
CD630_02140,3,0,0,0,1,0
CD630_02150,231,66,17,17,15,10
CD630_02160,580,173,74,46,37,32
CD630_02170,109,109,23,371,232,147
CD630_02180,1321,754,573,3,6,2
CD630_02190,1175,432,616,4,2,2
CD630_02200,4587,1639,2400,15,8,9
CD630_02210,3553,1239,1693,16,10,19
CD630_02220,970,398,531,4,2,1
CD630_02230,2310,494,1443,14,5,8
CD630_02240,2806,851,2025,14,19,10
CD630_02250,11833,2749,11063,121,72,43
CD630_02260,169,39,105,36,10,18
CD630_02270,133,31,112,15,8,12
CD630_02280,57,6,39,0,1,0
CD630_02290,23,12,11,7,4,6
CD630_02300,12,2,14,1,0,1
CD630_02310,230,71,122,69,65,40
CD630_02320,217,87,128,98,65,40
CD630_02330,30,5,13,5,4,5
CD630_02340,32,3,9,9,7,4
CD630_02350,39,10,15,19,12,12
CD630_02360,29,3,19,13,3,5
CD630_02370,295,77,201,204,123,106
CD630_02380,22,0,5,6,1,3
CD630_02390,1573,656,880,1807,1270,867
CD630_02400,43,1,20,2,0,0
CD630_02410,22,8,6,2,0,0
CD630_02420,63,31,18,13,6,10
CD630_02430,67,12,18,10,6,3
CD630_02440,53,12,23,1,5,3
CD630_02450,460,67,219,9,2,4
CD630_02460,971,237,340,41,30,23
CD630_02470,613,108,266,28,9,4
CD630_02480,3281,723,1658,121,52,57
CD630_02490,1665,322,801,46,22,36
CD630_02500,771,146,341,13,16,8
CD630_02510,4199,935,1838,102,99,45
CD630_02520,282,15,121,1,0,2
CD630_02530,499,37,220,8,9,4
CD630_02540,571,68,201,47,38,22
CD630_02550,946,119,404,85,47,43
CD630_02551,106,12,66,10,4,6
CD630_02560,544,49,284,58,13,30
CD630_02570,424,60,269,42,15,27
CD630_02580,202,25,124,16,6,10
CD630_02590,15,2,9,1,0,0
CD630_02600,481,50,316,18,20,10
CD630_02610,270,36,200,20,18,8
CD630_02620,1025,73,807,49,42,21
CD630_02630,844,60,704,80,41,32
CD630_02640,193,19,158,12,20,8
CD630_02650,197,12,196,15,7,8
CD630_02660,110,12,114,15,8,5
CD630_02670,14,2,21,4,0,4
CD630_02671,14,2,18,1,1,0
CD630_02680,123,17,121,195,102,98
