,D240-01,D240-02,D240-03,BHISG-01,BHISG-02,BHISG-03
CD630_06550,374,99,262,0,1,1
CD630_06560,35,12,24,6,1,1
CD630_06570,55,11,37,5,1,1
CD630_06580,75,21,32,4,1,5
CD630_06590,0,0,0,0,0,0
CD630_06600,137,50,98,18,5,9
CD630_06610,1,1,0,0,0,0
CD630_06620,4,0,1,0,1,0
CD630_06625,0,0,0,0,0,0
CD630_06630,199,53,268,190,113,65
CD630_06640,97,32,47,15,11,7
CD630_06641,82,42,34,35,10,10
CD630_06642,22,14,14,3,1,3
CD630_06650,1,0,2,0,0,0
CD630_06660,2,0,1,0,0,0
CD630_06670,2,1,0,0,0,0
CD630_06680,256,92,173,17,6,4
CD630_06690,681,167,442,18,11,7
CD630_06700,4,0,1,0,0,0
CD630_06710,74,21,36,0,0,0
CD630_06720,3378,825,1513,9,6,0
CD630_06730,1578,365,909,3,7,7
CD630_06740,5,2,4,0,0,0
CD630_06750,197,34,142,2,0,0
CD630_06760,72,13,17,0,1,0
CD630_06770,11,4,11,0,0,0
CD630_06780,9,1,16,0,0,0
CD630_06790,81,35,90,2,0,1
CD630_06800,40,6,16,0,0,0
CD630_06810,103,42,63,3,0,2
CD630_06820,109,25,69,0,1,1
CD630_06830,985,363,504,6,5,1
CD630_06840,30,11,43,2,0,0
CD630_06850,39281,16134,20833,65,41,36
CD630_06860,29165,9690,14416,339,140,231
CD630_06870,60509,21079,30600,1448,737,1022
CD630_06880,74,22,68,3,3,0
CD630_06890,148,39,130,17,16,8
CD630_06900,27,4,16,0,0,1
CD630_06910,33,7,22,2,2,0
CD630_06920,47,5,15,4,0,0
CD630_06930,49,7,13,1,0,0
CD630_06940,115,12,26,3,1,0
CD630_06941,32,0,6,0,1,0
CD630_06950,69,6,31,0,0,0
CD630_06960,2305,490,1341,6,7,0
CD630_06970,1490,258,669,32,11,15
CD630_06980,373,56,255,0,2,0
CD630_06990,1165,302,808,13,3,2
CD630_07000,3129,652,2440,47,23,23
CD630_07010,2958,1040,1955,38,18,11
CD630_07020,177,30,131,1,0,0
CD630_07030,1594,385,972,16,8,10
CD630_07040,560,157,317,33,23,22
CD630_07050,361,99,345,34,9,12
CD630_07060,464,115,310,13,6,9
CD630_07070,2582,747,2942,12,9,8
CD630_07080,8951,2978,12931,3293,2082,1253
CD630_07090,1874,573,1806,44,43,25
CD630_07100,206,58,176,10,3,3
CD630_07110,4177,873,2659,78,36,29
CD630_07120,526,44,380,0,0,0
CD630_07121,92,19,34,0,0,0
CD630_07130,2786,760,2262,9,5,6
CD630_07140,2267,564,1739,29,5,16
CD630_07141,12,1,10,0,0,0
CD630_07150,865,320,1099,47,24,20
CD630_07160,2394,641,2924,474,283,197
CD630_07170,164,22,364,50,19,20
CD630_07180,1707,573,2816,391,260,261
CD630_07190,191,41,306,19,6,15
CD630_07200,242,33,224,25,12,14
CD630_07210,167,43,155,112,48,87
CD630_07220,244,72,203,493,215,258
CD630_07230,328,75,356,54,33,24
CD630_07240,172,38,194,56,21,27
CD630_07250,276,80,443,145,82,72
CD630_07260,388,48,452,86,59,44
CD630_07270,323,58,386,87,52,30
CD630_07280,943,141,1160,193,147,84
CD630_07290,365,282,426,129,74,35
CD630_07300,190,65,186,50,25,38
CD630_07310,120,40,125,12,4,4
CD630_07320,64,18,76,5,1,1
CD630_07330,65,22,61,10,4,1
CD630_07340,464,63,205,69,20,20
CD630_07350,2185,721,816,216,133,118
CD630_07360,2932,985,1293,377,255,243
CD630_07370,536,166,355,8,2,2
CD630_07380,679,37,188,0,0,0
CD630_07390,1544,291,960,8,1,1
CD630_07400,20,3,14,1,1,0
CD630_07410,239,102,449,0,0,0
CD630_07420,41,10,127,3,0,1
CD630_07430,218,44,75,7,6,3
CD630_07440,1253,619,847,83,29,30
CD630_07450,1633,594,1245,27,18,11
CD630_07460,10,7,16,0,0,0
CD630_07470,1580,462,1252,20,7,1
CD630_07480,2731,684,1808,21,12,9
CD630_07490,1445,318,884,7,2,8
CD630_07500,949,291,667,5,5,4
CD630_07510,1151,241,863,2,0,2
CD630_07520,1802,509,1393,16,7,7
CD630_07530,857,281,574,8,7,7
CD630_07540,2313,671,1493,49,22,18
CD630_07550,2130,621,1296,274,156,123
CD630_07560,790,265,541,53,36,22
CD630_07570,1054,212,335,12,6,6
CD630_07580,6599,2247,5039,57,49,19
CD630_07590,71555,20396,52541,772,542,287
CD630_07600,28,9,24,0,0,0
CD630_07610,35049,11361,25831,16,13,10
CD630_07620,115,32,185,0,0,0
CD630_07630,4,4,18,1,0,0
CD630_07640,11,7,27,0,0,1
CD630_07650,5,0,9,0,0,0
CD630_07660,16,6,23,1,0,0
CD630_07670,5,0,6,1,0,0
CD630_07680,54,17,50,2,0,0
CD630_07690,176,28,68,3,2,1
CD630_07700,31,6,19,4,0,0
CD630_07710,71,15,48,8,2,3
CD630_07720,119,38,84,9,3,4
CD630_07730,1,1,3,2,0,0
CD630_07740,10,7,3,0,1,0
CD630_07750,9,16,11,0,2,1
CD630_07760,103,36,20,32,18,25
CD630_07770,20,9,11,0,1,0
CD630_07780,3,3,5,2,0,0
CD630_07790,34,8,21,6,0,0
CD630_07800,37,8,23,2,8,4
CD630_07810,12823,3716,11079,47,25,32
CD630_07820,26,9,19,1,0,0
CD630_07830,5,2,2,0,0,0
CD630_07840,425,171,889,18,7,10
CD630_07850,3460,1042,2193,24,13,9
CD630_07860,129,25,93,1,0,0
CD630_07870,50,22,46,0,0,0
CD630_07880,1172,242,769,33,22,12
CD630_07890,1105,413,620,33,33,17
CD630_07900,671,383,478,284,129,396
CD630_07910,135,50,80,8,2,5
CD630_07920,8,3,4,0,0,0
CD630_07930,4,0,1,0,0,0
CD630_07940,1201,435,639,44,23,23
CD630_07950,1842,543,1091,41,11,27
CD630_07960,663,182,254,9,5,4
CD630_07970,22,7,42,0,0,0
CD630_07980,24,15,34,2,6,0
CD630_07990,41,12,40,1,1,0
CD630_08000,2,0,1,0,0,0
CD630_08010,7,0,6,2,1,3
CD630_08020,6,0,5,0,1,0
CD630_08030,6,2,8,2,2,1
CD630_08040,6,0,7,1,0,1
CD630_08050,36,12,19,0,1,0
CD630_08060,127,35,30,2,0,0
CD630_08070,475,82,337,17,3,5
CD630_08080,0,0,0,0,0,0
CD630_08090,86,31,81,10,5,8
CD630_08100,205,61,142,30,5,18
CD630_08110,1699,368,1260,79,39,28
CD630_08120,4863,2092,3826,99,75,58
CD630_08130,1368,261,930,12,6,4
CD630_08140,554,147,248,4,7,2
CD630_08150,213,47,98,1,1,0
CD630_08160,4174,1515,3402,41,29,20
CD630_081601,308,166,234,2024,503,613
CD630_08170,1408,397,1284,22,23,12
CD630_08180,4667,1282,3729,75,37,31
CD630_08190,2941,679,2494,34,19,17
CD630_08200,2025,589,1514,5224,4363,2606
CD630_08210,2039,630,1815,70,45,45
CD630_08220,455,110,426,5,2,6
CD630_08230,188,48,216,1,1,3
CD630_08240,396,148,495,10,4,7
CD630_08250,87019,31488,53355,16625,11648,10635
CD630_08260,58520,17623,49202,10163,7354,6753
CD630_08270,123508,46462,93909,41947,34949,56074
CD630_08280,49991,16095,54795,2617,1646,1707
CD630_08290,893,172,1011,37,22,14
CD630_08300,392,120,367,8,10,3
CD630_08310,189,41,70,3,2,0
CD630_08320,89,26,119,3,2,0
CD630_08330,265,85,347,8,10,5
CD630_08340,158,37,205,5,6,1
CD630_08350,27,7,26,3,3,4
CD630_08360,28,8,42,8,2,0
CD630_08370,370,136,316,60,33,21
CD630_08380,475,150,465,37,26,20
CD630_08390,131,16,73,4,5,4
CD630_08400,177,47,184,17,12,9
CD630_08410,1875,689,1406,91,77,41
CD630_08420,157,31,112,1,0,0
CD630_08430,283,44,191,2,1,1
CD630_08440,8041,2053,3286,52,14,19
CD630_08450,2,1,3,0,0,0
CD630_08460,453,97,365,14,7,8
CD630_08470,11,2,5,0,0,0
CD630_08480,34,4,12,2,0,1
CD630_08490,101,20,39,13,8,7
CD630_08500,64,15,25,2,0,1
CD630_08510,3970,1450,691,7,2,6
CD630_08520,1394,620,505,0,0,0
CD630_08530,2196,581,1117,794,253,351
CD630_08540,1587,381,871,65,26,35
CD630_08550,3568,854,1996,264,136,123
CD630_08560,3393,815,2460,367,217,176
CD630_08570,663,143,483,120,68,68
CD630_085701,2074,334,1820,262,180,159
CD630_08580,272,93,176,5,0,2
CD630_085801,141,25,93,1,1,1
CD630_08600,1,1,3,0,0,0
CD630_08610,3,0,1,0,0,0
CD630_08620,8,4,13,0,0,1
CD630_08630,29,13,18,1,0,0
CD630_08640,199,60,114,2,4,0
CD630_08650,329,145,358,74,85,61
CD630_08660,464,171,367,80,66,62
CD630_08670,18,0,15,0,1,0
CD630_08680,1436,338,447,18,12,6
CD630_08690,4031,1284,1963,4,8,5
CD630_08700,1707,500,1154,4,3,0
CD630_08710,2341,671,1889,9,5,3
CD630_08720,1981,490,1450,5,2,1
CD630_08730,268,87,187,180,145,79
CD630_08740,146,46,152,34,26,29
CD630_08750,130,40,91,15,14,12
CD630_08760,67,14,29,1,3,2
CD630_08770,41,9,46,0,0,2
CD630_08780,139,24,64,8,5,1
CD630_08790,699,325,444,21,14,8
CD630_08800,4401,1008,2457,23,12,9
CD630_08810,18137,5177,9914,271,149,215
CD630_08820,794,369,784,71,59,39
CD630_08830,424,99,373,28,27,26
CD630_08840,707,185,727,51,41,60
CD630_08850,1770,534,2037,136,120,99
CD630_08860,981,293,1292,52,32,24
CD630_08870,2140,846,1075,19,8,7
CD630_08880,110,39,54,9,9,12
CD630_08890,27,4,11,9,4,4
CD630_08900,75,36,53,22,13,7
CD630_08910,133,26,47,17,22,8
CD630_08920,35722,35830,26030,12,6,12
CD630_08930,11316,3797,8217,59,31,19
CD630_08940,343,84,510,73,31,35
CD630_08950,275,57,376,74,27,29
CD630_08960,35,11,59,20,11,17
CD630_08970,580,172,937,1,0,1
CD630_08980,15508,6624,16839,32,41,32
CD630_08990,845,279,810,16,15,5
CD630_09000,7021,2272,9125,20,17,2
CD630_09010,7695,2105,11531,25,22,15
CD630_09020,24,4,50,2,0,0
CD630_09030,310,104,130,1,3,1
CD630_090301,1379,961,629,74,60,40
CD630_090302,391,24,117,2,4,1
CD630_090303,2,0,1,0,0,0
CD630_090304,12,1,12,0,0,0
CD630_09040,444,131,311,4,4,0
CD630_09050,160,31,53,0,0,1
CD630_09060,50,3,17,0,0,0
CD630_09070,297,38,68,1,0,1
CD630_09071,14,6,4,2,1,2
CD630_09080,38,8,1,0,1,0
CD630_09090,5,1,0,0,0,0
CD630_09100,215,41,63,16,17,7
CD630_09110,3,0,0,0,0,0
CD630_09120,9,4,0,0,0,0
CD630_09130,1,0,0,0,0,0
CD630_09140,0,1,0,0,0,0
CD630_09150,2,0,0,0,0,0
CD630_09160,5,1,3,1,0,0
CD630_09170,11,7,1,0,1,0
CD630_09180,8,6,3,0,1,0
CD630_09190,1,1,0,0,0,0
CD630_09200,4,0,0,6,0,0
CD630_09210,1,0,0,0,0,0
CD630_09220,0,0,0,0,0,0
CD630_09230,0,0,0,0,0,0
CD630_09231,0,0,0,0,0,0
CD630_09240,1,0,0,0,0,0
CD630_09241,1,0,1,0,0,0
CD630_09250,2,0,0,0,0,0
CD630_09260,3,0,1,1,0,1
CD630_09270,10,2,1,0,0,0
CD630_09280,0,0,0,0,0,0
CD630_09290,5,1,0,0,0,0
CD630_09300,8,2,3,0,0,0
CD630_09301,3,0,0,0,0,0
CD630_09310,3,0,0,0,0,0
CD630_09320,3,2,1,1,0,1
CD630_09330,2,0,1,0,0,0
CD630_09340,0,0,0,0,0,0
CD630_09341,0,1,0,0,0,0
CD630_09350,8,0,0,0,1,0
CD630_09360,6,0,3,3,1,0
CD630_09370,4,5,3,1,0,0
CD630_09380,10,7,6,1,4,2
CD630_09390,999,216,438,102,36,28
CD630_09400,2812,1176,1987,1858,867,1071
CD630_09401,65,27,40,1,1,0
CD630_09410,58,1,60,1,1,1
CD630_09420,400,52,341,7,7,7
CD630_09430,10,5,8,4,0,0
CD630_09440,5,1,5,6,4,4
CD630_09450,7,1,6,4,2,3
CD630_09460,20,1,17,8,3,2
CD630_09461,4,0,2,0,0,0
CD630_09470,8,2,6,6,0,0
CD630_09480,16,7,7,19,6,6
CD630_09490,1,0,1,3,0,2
CD630_09500,18,3,11,4,1,0
CD630_09510,27,6,14,5,1,1
CD630_09520,9,3,8,4,1,3
CD630_09530,4,0,2,8,0,2
CD630_09531,0,0,0,0,0,1
CD630_09540,3,2,2,14,2,4
CD630_09550,2,0,2,8,5,2
CD630_09560,2,0,0,11,2,0
CD630_09561,0,0,0,0,1,1
CD630_09562,1531,1759,382,26,13,6
CD630_09570,635,67,380,14,1,11
CD630_09580,1004,413,603,48,20,13
CD630_09590,134,23,109,47,25,20
CD630_09600,35,12,27,16,4,2
CD630_09610,36,12,34,24,9,9
CD630_09620,2,1,4,0,0,0
CD630_09630,3,0,8,8,3,2
CD630_09640,14,3,13,11,1,6
CD630_09650,5,1,3,4,0,0
CD630_09660,12,1,4,3,2,1
CD630_09670,30,3,10,20,4,2
CD630_09680,6,0,3,3,0,0
CD630_09690,1,2,4,0,1,0
CD630_09700,0,0,1,1,0,0
CD630_09710,0,0,0,0,0,2
CD630_09720,15,4,17,7,0,6
CD630_09730,7,1,5,0,0,1
CD630_09740,0,0,0,0,0,0
CD630_09750,266,37,174,1,2,2
CD630_09760,592,36,337,9,3,2
CD630_09770,3088,1166,2496,112,52,36
CD630_09771,1457,3875,690,28,20,9
CD630_09772,6,1,10,0,0,0
CD630_09780,4,8,9,0,0,1
CD630_09790,8,0,6,0,0,0
CD630_09810,515,88,353,1,1,0
CD630_09820,324,29,203,0,0,0
CD630_09830,381,75,251,6,1,4
CD630_09840,908,286,600,14,7,4
CD630_09850,492,158,446,5,2,1
CD630_09860,4241,1418,2464,75,36,27
CD630_09870,344,112,291,3,2,1
CD630_09880,4,0,4,0,0,0
CD630_09890,31,13,36,0,1,0
CD630_09900,15,2,11,2,0,0
CD630_09910,4,2,1,0,1,0
CD630_09920,35,18,18,2,0,0
CD630_09930,783,431,380,8,4,5
CD630_09940,7692,2570,6345,12,5,5
CD630_09950,1996,864,2761,4,2,2
CD630_09960,3548,1135,4799,5,0,1
CD630_09970,821,135,423,4,3,1
CD630_09980,2542,683,2298,10,4,5
CD630_09990,936,246,937,10,7,5
CD630_10000,133,24,152,0,0,0
CD630_10010,85,4,72,0,0,0
CD630_10020,123,44,112,0,0,0
CD630_10030,1042,278,590,7,5,3
CD630_10040,541,156,393,11,4,6
CD630_10050,2521,697,1438,38,12,15
CD630_10060,664,234,334,8,0,0
CD630_10070,532,188,311,6,4,1
CD630_10080,1117,231,416,0,0,1
CD630_10090,251,182,48,3,2,3
CD630_10100,523,223,71,12,8,6
CD630_10110,598,234,98,11,2,1
CD630_10120,0,0,2,1,0,0
CD630_10130,25,3,16,2,0,1
CD630_10140,44,8,35,4,2,4
CD630_10150,611,63,325,0,0,1
CD630_10160,428,24,57,1,0,0
CD630_10170,200,55,142,0,0,0
CD630_10180,507,150,271,9,2,2
CD630_10190,3,1,1,0,0,0
CD630_10200,1,1,3,0,0,0
CD630_10210,84,29,43,0,1,0
CD630_10220,71,35,28,3,1,6
CD630_10230,246,34,166,0,0,1
CD630_10240,534,66,489,2,1,1
CD630_10250,304,35,328,0,0,0
CD630_10260,340,32,374,1,0,0
CD630_10270,716,71,731,5,4,1
CD630_10280,4,1,4,0,0,0
CD630_10290,47,19,38,0,0,0
CD630_10300,55,17,31,1,0,0
CD630_10310,57,13,41,1,0,0
CD630_10320,45,4,32,1,0,0
CD630_10330,93,22,53,1,0,1
CD630_10340,62,16,36,2,1,0
CD630_10350,4213,900,3119,31,15,12
CD630_10360,1087,299,910,8,9,0
CD630_10370,146,19,88,2,0,0
CD630_10380,654,195,329,6,3,1
CD630_10390,190,23,90,3,0,0
CD630_10400,1236,268,569,16,21,7
CD630_10410,1262,209,1015,38,22,14
CD630_10420,559,134,307,10,12,12
CD630_10430,786,130,501,19,7,5
CD630_10440,829,305,479,11,4,8
CD630_10450,31,7,15,0,0,0
CD630_10460,330,136,183,27,10,8
CD630_10470,2221,640,1239,8,5,7
CD630_10480,873,311,505,7,9,4
CD630_10490,1401,505,769,19,17,8
CD630_10500,589,131,302,12,5,7
CD630_10510,63,14,21,0,1,0
CD630_10520,322,37,172,2,0,1
CD630_10521,24,2,14,0,0,0
CD630_10530,2622,1234,1214,45,33,16
CD630_10540,437,374,2535,1731,969,824
CD630_10550,334,230,1923,1335,705,629
CD630_10560,892,678,3733,4853,2116,2831
CD630_10570,707,566,4615,4031,1424,1951
CD630_10580,410,262,4054,2002,1020,1362
CD630_10590,1154,1359,6983,10058,6033,11193
CD630_10600,704,181,414,4,3,5
CD630_10610,811,142,567,20,11,9
CD630_10620,798,322,128,10,9,2
CD630_10630,28,8,41,0,0,0
CD630_10631,7,1,25,0,0,0
CD630_10632,0,2,9,0,0,0
CD630_10633,5,2,13,0,0,0
CD630_10640,11036,4167,6514,53,30,32
CD630_10650,4,1,7,0,0,0
CD630_10660,14,2,16,1,0,0
CD630_10670,626,200,582,4,3,3
CD630_10680,95,9,56,0,0,0
CD630_10690,422,134,198,0,0,0
CD630_10700,743,119,408,1,0,0
CD630_10710,460,96,213,1,0,0
CD630_10720,2609,623,1332,13,6,2
CD630_10730,229,35,112,1,1,0
CD630_10740,132,19,69,1,0,1
CD630_10750,144,46,110,1,3,0
CD630_10760,88,25,70,2,1,1
CD630_10770,94,21,66,1,1,2
CD630_10780,223,61,154,3,1,6
CD630_10790,628,198,438,26,13,13
CD630_10800,5757,1967,4184,4,2,2
CD630_10810,1369,458,1385,5,0,3
CD630_10820,483,173,650,0,0,0
CD630_10830,706,302,590,13,5,5
CD630_10840,4254,935,2930,16,7,6
CD630_10850,248,65,256,25,13,12
CD630_10860,406,94,379,4,3,1
CD630_10870,11,3,32,16,11,11
CD630_10880,55,10,40,5,3,1
CD630_10890,49,11,46,1,1,0
CD630_10900,55,12,28,0,2,2
CD630_10910,3470,2397,2115,1516,858,756
CD630_10920,17,11,12,104,53,44
CD630_10921,15,45,15,107,45,43
CD630_10940,53,80,27,288,171,188
CD630_10950,414,81,140,20,7,6
CD630_10960,301,50,72,12,7,6
CD630_10970,830,198,225,30,22,24
CD630_10980,1811,572,282,28,30,27
CD630_10990,1011,289,142,6,3,4
CD630_10991,138,39,16,1,1,0
CD630_11000,1,5,2,1,0,0
CD630_11010,3,2,0,0,0,1
CD630_11020,8,3,0,2,0,2
CD630_11030,1662,689,615,36,10,17
CD630_11031,1042,614,525,103,31,39
CD630_11040,2427,1265,1503,40,15,10
CD630_11041,9,28,7,66,13,27
CD630_11042,0,0,0,1,0,6
CD630_11050,4,2,2,19,8,3
CD630_11060,11,5,8,11,9,7
CD630_11061,0,0,0,1,0,0
CD630_11070,1,1,0,5,1,0
CD630_11071,0,0,1,2,1,0
CD630_11080,2,0,1,11,3,7
CD630_11090,4,0,1,16,6,5
CD630_11100,1,3,2,8,5,12
CD630_11110,0,0,0,1,0,0
CD630_11120,4,1,1,19,20,4
CD630_11130,0,2,0,9,1,3
CD630_11140,1,2,0,2,2,2
CD630_11150,9,10,4,64,20,23
CD630_11160,4,2,1,22,10,8
CD630_11170,2,1,0,8,1,3
CD630_11180,8,8,1,23,21,17
CD630_11190,8,0,3,0,0,0
CD630_11200,499,288,693,50,51,71
CD630_11210,197,40,245,5,4,4
CD630_11220,505,264,336,38,30,21
CD630_11230,137,33,101,0,2,0
CD630_11240,381,69,249,5,4,3
CD630_11241,529,252,387,7,4,2
CD630_11250,17596,11843,30688,893,572,519
CD630_11260,3616,1868,8394,1,3,4
CD630_11261,30,12,69,0,0,0
CD630_11270,72,88,141,5,3,1
CD630_11280,2123,691,969,16,9,9
CD630_11290,468,147,210,2,5,2
CD630_11300,304,61,109,1,0,0
CD630_11310,1000,180,535,2,1,5
CD630_11320,387,84,333,11,11,13
CD630_11330,210,24,95,9,2,4
CD630_11340,435,91,153,6,3,3
CD630_11350,4910,950,2169,224,110,121
CD630_11360,679,72,450,2,1,2
CD630_11370,14423,3586,8839,141,108,67
CD630_11380,5576,1030,3846,38,23,29
CD630_11390,5426,861,3607,68,33,43
CD630_11400,2786,340,1853,34,26,15
CD630_11410,1311,174,1025,14,8,3
CD630_11420,4928,1251,3521,69,22,32
CD630_11430,11834,4454,11924,13,6,6
CD630_11440,11770,3842,11573,11,8,10
CD630_11450,24753,6774,19330,35,18,14
CD630_11460,5754,1926,4868,12,3,7
CD630_11470,1207,136,1058,0,0,1
CD630_11480,23109,6248,21042,59,37,35
CD630_11490,4932,843,6398,31,12,18
CD630_11500,7389,1440,7420,46,31,24
CD630_11510,3196,664,3485,24,13,13
CD630_11520,7233,1194,7471,14,9,5
CD630_11530,3428,485,3407,6,1,6
CD630_11540,39,5,33,1,0,0
CD630_11550,103,14,111,2,1,1
CD630_11560,912,229,559,243,175,135
CD630_11570,47014,18755,34176,2277,1074,847
CD630_11580,1682,530,1358,16,7,4
CD630_11590,577,153,384,13,3,5
CD630_11600,974,268,850,11,7,5
CD630_11610,22317,9094,8579,104,36,57
CD630_11620,22124,4946,11916,73,30,40
CD630_11630,38690,15974,19890,157,87,82
CD630_11640,8076,2441,5929,5,0,1
CD630_11650,4810,1751,3891,5,1,5
CD630_11660,964,292,784,1,0,0
CD630_11670,54,13,23,1,0,0
CD630_11680,3,0,2,0,0,0
CD630_11690,392,116,146,0,0,1
CD630_11700,187,71,190,7,4,6
CD630_11710,43,23,92,7,7,5
CD630_11720,56,21,207,34,30,24
CD630_11730,264,191,411,451,334,236
CD630_11740,151,21,55,0,0,0
CD630_11750,8601,1854,3665,240,150,102
CD630_11760,14282,3770,8457,44,30,39
CD630_11761,16016,6815,6944,122,77,59
CD630_11770,5760,1748,4926,10,13,3
CD630_11780,8359,1853,7245,19,9,13
CD630_11790,6778,1483,6307,20,8,14
CD630_11800,5580,1119,5207,23,8,14
CD630_11810,4901,996,4835,27,13,9
CD630_11820,3093,621,3411,13,12,5
CD630_11830,983,144,1292,3,1,3
CD630_11840,8269,1643,8360,34,18,16
CD630_11850,528,154,446,1,1,0
CD630_11860,1502,433,874,4,4,1
CD630_11870,3,0,4,0,0,0
CD630_11880,8,1,7,0,0,0
CD630_11890,49,19,27,0,0,0
CD630_11900,173,68,131,10,3,2
CD630_11910,3157,1518,3314,57,41,24
CD630_11920,8,6,14,0,0,0
CD630_11930,2,0,5,0,0,0
CD630_11940,2,2,1,0,0,0
CD630_11950,8,6,5,0,0,0
CD630_11960,6,0,5,0,0,0
CD630_11970,7,2,10,0,0,0
CD630_11980,7,1,8,0,0,0
CD630_11990,8,1,10,0,0,0
CD630_12000,3748,1863,2073,11,2,3
CD630_12010,1337,299,1032,2,1,0
CD630_12020,837,97,868,0,0,0
CD630_12030,1340,318,1427,1,1,1
CD630_12040,155,9,170,0,0,0
CD630_12050,1734,397,2167,6,1,3
CD630_12060,1359,261,1301,382,153,162
CD630_12070,5106,909,4727,28,22,9
CD630_12080,1367,326,1261,5,2,1
CD630_12090,2804,470,2336,3,3,1
CD630_12100,1077,148,684,0,0,0
CD630_12110,732,115,377,3,0,2
CD630_12120,532,84,315,1,0,0
CD630_12130,140,39,134,0,0,0
CD630_12140,14613,4111,7480,54,50,36
CD630_12150,2069,729,1678,3,2,4
CD630_12160,897,80,724,3,1,0
CD630_12170,819,125,679,2,3,0
CD630_12180,705,106,497,4,3,7
CD630_12190,1177,263,976,7,5,7
CD630_12200,791,210,713,4,1,4
CD630_12210,137,6,114,1,0,1
CD630_12220,693,68,564,4,1,1
CD630_12230,2858,869,2686,12,10,4
CD630_12240,2114,580,1949,12,3,2
CD630_12250,944,222,976,3,3,1
CD630_12260,1488,233,696,8,3,3
CD630_12270,3346,731,2560,2,0,0
CD630_12280,27502,9267,20140,23,18,6
CD630_12290,4346,1455,6697,3,1,1
CD630_12300,9,6,9,0,0,0
CD630_123001,171,60,72,1,0,2
CD630_12310,634,115,291,2,5,2
CD630_12320,182,24,61,3,1,1
CD630_12330,48,14,43,6,0,1
CD630_12331,2142,4062,969,839,396,260
CD630_12332,6,4,5,0,0,0
CD630_12333,3,0,7,0,0,0
CD630_12334,8,2,18,0,0,0
CD630_12340,13,6,21,0,0,0
CD630_12341,0,0,1,0,0,0
CD630_12350,65,13,63,0,0,0
CD630_12360,2,0,4,0,0,0
CD630_123601,19,8,13,0,0,0
CD630_12371,3,0,7,0,0,0
CD630_12380,10,3,16,0,0,0
CD630_12381,0,0,0,0,0,0
CD630_12382,170,51,191,0,0,0
CD630_12390,61,10,52,0,0,0
CD630_12400,178,58,95,0,0,0
CD630_12401,19,8,12,0,0,0
CD630_12420,0,0,1,0,0,0
CD630_12430,10,4,7,0,0,0
CD630_12440,8,1,5,0,0,0
CD630_12450,21,0,8,0,0,0
CD630_12460,6150,2061,2816,37,25,17
CD630_12470,3513,1281,1837,51,30,40
CD630_12480,1166,448,699,2,0,1
CD630_12490,1607,368,1060,9,2,2
CD630_12500,3153,673,2169,8,2,5
CD630_12510,1707,434,1774,12,5,7
CD630_12511,598,102,500,5,1,5
CD630_12520,14955,4716,9144,46,32,19
CD630_12530,6540,2587,4227,77,29,40
CD630_12540,8695,3486,5334,176,75,71
CD630_12550,1832,347,1637,6,2,1
CD630_12560,1811,398,1760,8,1,3
CD630_12570,14785,10176,9823,99,31,142
CD630_12580,10142,3242,9096,4,6,4
CD630_12590,240,80,321,0,0,0
CD630_12600,2009,707,1019,54,43,31
CD630_12610,3337,943,3461,31,5,6
CD630_12620,426,97,350,3,1,1
CD630_12630,1406,382,1229,22,5,7
CD630_12640,647,434,619,52,35,45
CD630_12650,2174,749,2108,1,2,1
CD630_12660,10,3,4,0,0,0
CD630_12670,9,1,4,0,0,0
CD630_12680,13,5,14,0,0,0
CD630_12690,117,21,44,0,0,0
CD630_12700,96,11,34,0,0,0
CD630_12710,0,0,2,0,0,0
CD630_12720,32,6,20,0,0,0
CD630_12730,1895,471,1276,1,0,0
CD630_12740,12932,4229,10574,15,11,9
CD630_12750,6541,2307,5587,54,29,33
CD630_12760,412,83,387,1,5,0
CD630_12770,173,52,204,4,1,0
CD630_12780,563,81,233,129,43,30
CD630_12790,26876,8877,19379,3145,2045,1352
CD630_12800,19275,10556,14977,1988,1191,906
CD630_12810,4405,1203,2632,17,9,10
CD630_12820,1840,569,1529,57,25,33
CD630_12830,246,93,254,7,4,6
CD630_12840,3106,819,2642,65,39,30
CD630_12850,141,50,136,1,0,0
CD630_12860,2336,955,1259,13,6,3
CD630_12870,20364,13710,22616,67,32,26
CD630_12880,143,30,40,0,0,0
CD630_12890,37719,11078,33635,33,31,15
CD630_12900,99,5,120,0,0,0
CD630_12910,678,173,827,0,2,1
CD630_12920,60,24,30,0,0,0
CD630_12930,78,9,30,0,0,0
CD630_12940,603,191,320,3,0,1
CD630_12950,268,15,147,0,1,0
CD630_12960,521,151,308,2,0,0
CD630_12970,1,0,2,0,0,0
CD630_12980,50,14,31,2,0,1
CD630_12990,130,23,74,2,0,0
CD630_13000,1398,309,552,21,11,11
CD630_13010,0,0,2,0,0,0
CD630_13011,21,9,7,0,0,0
CD630_13020,965,350,508,5,4,8
CD630_13030,410,130,268,7,3,5
CD630_13040,9698,2516,5895,226,111,55
CD630_13050,8315,2095,9492,44,18,20
CD630_13060,3498,1379,4025,1,0,0
CD630_13070,13365,4429,14249,45,21,15
CD630_13071,1747,608,1868,6,6,4
CD630_13080,809,277,1183,4,1,0
CD630_13090,19117,5855,22857,170,72,53
CD630_13100,3834,1316,4819,37,11,7
CD630_13110,0,0,0,0,0,0
CD630_131101,0,0,0,0,0,0
CD630_13120,3450,655,3327,19,18,6
