geneid,X18_OFF_1,X18_OFF_2,X18_OFF_3,X18_ON_1,X18_ON_2,X18_ON_3
DLK00_01480,168,140,153,181,152,240
DLK00_01485,638,420,515,667,521,680
DLK00_01495,101,87,95,117,79,92
DLK00_01500,1377,1117,1174,1836,1454,1759
DLK00_01510,539,424,439,592,493,719
DLK00_01515,369,268,310,465,338,463
DLK00_01520,5397,5113,4854,6523,5448,5777
DLK00_01525,10596,9232,9471,12603,10200,13667
DLK00_01530,1924,1697,1579,1892,1514,2106
DLK00_01540,3654,3276,3267,4354,3522,4059
DLK00_01545,7450,6591,6625,9304,7777,8678
DLK00_01550,21194,18066,17853,26138,21934,26762
DLK00_01555,27836,25084,24403,36479,30118,30685
DLK00_01560,2170,1830,1870,2454,1970,2403
DLK00_01565,2353,1872,2108,2597,2036,2565
DLK00_01580,1157,935,979,1418,922,1485
DLK00_01585,532,421,471,677,453,586
DLK00_01595,578,509,499,695,571,664
DLK00_01600,5544,5057,4601,7800,6457,6725
DLK00_01605,3057,2788,2542,3205,2796,3513
DLK00_01620,5961,4913,5024,7140,6169,7534
DLK00_01625,20003,17632,16880,28933,23016,26121
DLK00_01640,1216,941,1042,1522,1075,1459
DLK00_01645,5430,4663,4477,7541,5545,5846
DLK00_01650,4247,3798,3597,6315,4656,4877
DLK00_01660,32614,29027,28204,33680,26121,28564
DLK00_01665,3142,2941,2523,3126,2363,2335
DLK00_01670,5397,4286,4152,5052,3990,4984
DLK00_01675,7093,4554,5313,6292,4940,9526
DLK00_01680,4267,3755,3720,4215,3701,3935
DLK00_01685,3045,2508,2519,3698,2820,3527
DLK00_01700,26099,21135,21502,32043,25854,29714
DLK00_01710,7669,6356,6667,10050,7996,9860
DLK00_01715,17747,15074,15316,21857,16872,17962
DLK00_01725,7609,5899,6298,9529,6975,8502
DLK00_01730,11302,9650,9596,15707,12121,13421
DLK00_01735,6898,6099,5779,9473,7755,8387
DLK00_01745,2665,2171,2176,3249,2564,3214
DLK00_01750,13412,10183,11277,19561,15027,15527
DLK00_01760,29763,24991,24952,46952,35683,47824
DLK00_01770,1490,1242,1201,1316,1010,1696
DLK00_01775,1356,1163,1020,1340,949,1123
DLK00_01785,10650,9323,8962,13496,10608,11967
DLK00_01800,37781,28970,30053,61790,50436,58746
DLK00_01805,1633,1307,1293,1971,1365,1523
DLK00_01810,2000,1727,1686,2454,2031,2180
DLK00_01815,7408,6353,6439,7868,6948,7990
DLK00_01820,1631,1208,1418,1616,1235,1690
DLK00_01825,6470,5685,5481,8864,6644,6867
DLK00_01830,105096,88835,89286,133825,112788,126659
DLK00_01835,166775,141899,141438,212712,171655,218401
DLK00_01840,1847,1632,1551,2360,1923,2023
DLK00_01850,9802,8042,7770,11285,9365,12012
DLK00_01855,9542,7939,7322,9597,7337,11301
DLK00_01860,8918,7348,7216,10735,8568,10272
DLK00_01865,1719,1443,1260,1545,1127,2319
DLK00_01870,2159,1772,1621,2168,1508,2719
DLK00_01875,2448,2088,1895,2448,2043,2711
DLK00_01880,2400,2072,2108,2859,2266,2628
DLK00_01885,17083,14233,13873,19139,16133,20788
DLK00_01890,5452,4624,4895,7402,5765,6378
DLK00_01905,1003,886,754,1241,965,1093
DLK00_01925,11469,9195,9240,11797,9668,13082
DLK00_01945,14569,12849,12762,19840,15371,17478
DLK00_01950,4560,4029,3638,3482,2671,2801
DLK00_01955,13936,12174,11639,13724,10702,10927
DLK00_01960,5964,4624,4748,4534,3772,5126
DLK00_01965,5883,5107,4914,5124,4202,4768
DLK00_01970,235,206,193,218,146,191
DLK00_01975,1533,1229,1219,1830,1245,1897
DLK00_01980,845,727,780,949,786,909
DLK00_01990,1558,1431,1333,1993,1627,1715
DLK00_02000,2065,1755,1893,3192,2412,2439
DLK00_02005,4047,3625,3290,6315,4429,5458
DLK00_02010,3023,2673,2430,3811,3156,3672
DLK00_02015,2449,2087,2108,2901,2322,2378
DLK00_02025,818688,687343,708168,1043362,875449,984010
DLK00_02030,2620,2071,2191,3034,2472,2854
DLK00_02040,3053,2446,2530,3892,2899,2977
DLK00_02050,2478,2022,1997,2970,2527,3143
DLK00_02055,7804,6717,6774,9956,7916,9103
DLK00_02060,7393,6909,6576,10794,9246,8674
DLK00_02070,4065,3354,3537,4777,3773,4441
DLK00_02075,6659,5772,5704,9140,7044,7536
DLK00_02090,13124,10978,11054,13589,11160,15476
DLK00_02105,8543,7046,6892,9434,7367,10843
DLK00_02110,10721,9674,8999,14230,11218,11483
DLK00_02125,9849,8231,8317,12585,9943,11997
DLK00_02135,8130,7478,7402,12087,9953,10521
DLK00_02155,12016,9726,9538,12964,9814,15749
DLK00_02165,8350,6769,6388,8990,6702,10145
DLK00_02185,15240,12754,12109,16627,13649,16841
DLK00_02200,34163,27347,26828,36717,29034,38934
DLK00_02205,15425,12415,12416,16345,12979,17015
DLK00_02215,5165,4228,4104,5716,4499,5615
DLK00_02220,9294,7702,7424,11216,8361,10372
DLK00_02225,8216,6606,6535,10060,7937,11883
DLK00_02230,584,516,460,777,550,498
DLK00_02240,44163,36361,34481,50097,39779,49981
DLK00_02245,7099,5899,5833,7622,5994,8614
DLK00_02260,7911,6837,6302,9084,7542,8814
DLK00_02265,7757,6403,6463,10071,7660,8727
DLK00_02270,6968,5922,5637,8739,7235,7929
DLK00_02280,12987,11083,10576,14989,11746,13621
DLK00_02290,73,74,58,77,51,58
DLK00_02295,540,456,404,644,602,724
DLK00_02300,184,197,167,299,201,256
DLK00_02305,221,220,216,295,236,198
DLK00_02310,323,249,233,464,384,473
DLK00_02315,212,156,148,252,242,246
DLK00_02320,162,134,139,130,159,163
DLK00_02325,31,11,18,25,14,10
DLK00_02330,50,42,42,36,31,53
DLK00_02335,25,18,15,23,29,32
DLK00_02345,583,507,502,648,540,761
DLK00_02350,32,17,24,19,22,28
DLK00_02355,107,96,85,119,116,171
DLK00_02360,197,183,165,190,191,251
DLK00_02365,8007,6118,6601,9463,7584,9418
DLK00_02370,6,13,2,13,2,13
DLK00_02375,17,22,19,29,24,29
DLK00_02380,182,140,117,151,154,171
DLK00_02385,228,148,162,206,231,236
DLK00_02390,31,32,30,56,42,53
DLK00_02395,46,22,34,45,33,36
DLK00_02400,29,18,20,17,18,22
DLK00_02405,87,82,86,77,66,142
DLK00_02410,69,66,49,67,43,78
DLK00_02420,122,108,116,147,145,135
DLK00_02430,510,434,439,538,497,637
DLK00_02435,302,172,198,224,203,284
DLK00_02440,97,70,71,84,78,114
DLK00_02445,34,22,27,44,36,58
DLK00_02450,41,39,45,67,41,70
DLK00_02455,68,42,51,77,53,94
DLK00_02465,46,50,52,46,37,59
DLK00_02475,14441,12628,12542,18893,14280,15197
DLK00_02480,1627,1325,1322,1648,1364,1966
DLK00_02485,7956,6955,6878,9987,8147,9283
DLK00_02490,4671,4146,3973,6016,4562,4861
DLK00_02495,6064,5207,4984,8410,6545,6919
DLK00_02500,13,19,12,7,9,10
DLK00_02505,8,6,7,16,9,25
DLK00_02510,57,31,56,60,65,68
DLK00_02515,264,130,157,189,153,248
DLK00_02520,43,41,62,48,65,77
DLK00_02525,5,1,1,2,1,2
DLK00_02530,9,5,4,7,8,9
DLK00_02540,24,36,37,27,27,46
DLK00_02545,10,8,3,14,11,26
DLK00_02550,15,7,9,12,8,18
DLK00_02555,57,44,46,68,44,94
DLK00_02560,108,94,77,115,82,146
DLK00_02565,275,213,231,360,257,307
DLK00_02570,804,602,602,1073,750,835
DLK00_02575,19,15,20,19,18,18
DLK00_02580,1494,1172,1120,1640,1119,1703
DLK00_02585,11398,9401,9387,13300,10846,14687
DLK00_02595,1327,996,1040,1003,849,1206
DLK00_02605,6264,4969,4929,6956,4674,6999
DLK00_02610,11949,10717,10403,14646,11963,12374
DLK00_02620,3017,2467,2454,4664,3310,4158
DLK00_02625,6757,5306,5699,11166,7294,9330
DLK00_02640,4130,3379,3290,5727,4388,5041
DLK00_02645,13245,10471,10790,13408,10839,16640
DLK00_02650,3877,3123,2966,3531,2838,4999
DLK00_02660,3791,3240,3108,3839,3169,4242
DLK00_02670,10210,8682,8208,8001,5687,8436
DLK00_02675,71961,64143,60597,107914,87723,96753
DLK00_02695,4424,3195,3721,5176,3382,4730
DLK00_02700,4683,3413,3836,5022,4041,4658
DLK00_02705,5750,4681,4382,6861,5179,6032
DLK00_02715,25018,21958,20683,27414,20786,25278
DLK00_02720,5792,4517,4681,5935,4635,6220
DLK00_02725,9601,8588,8066,11224,9149,10835
DLK00_02730,45257,34202,37291,55736,40063,57974
DLK00_02740,10,4,4,10,3,7
DLK00_02745,107811,88992,88067,118268,99660,131047
DLK00_02755,1787,1338,1427,1895,1265,2048
DLK00_02760,3040,2598,2666,3812,2876,3578
DLK00_02765,29822,25162,24058,31051,25367,36112
DLK00_02770,17874,13654,14607,22668,14342,18041
DLK00_02775,4937,3311,4320,6221,3831,5102
DLK00_02780,83,53,45,44,44,89
DLK00_02790,48404,41990,40124,62602,56457,60397
DLK00_02805,1320,1101,1071,1778,1326,2011
DLK00_02810,5409,4527,4717,6644,5161,5471
DLK00_02820,13456,11507,11190,15941,12497,16429
DLK00_02830,4537,4186,4145,5330,4483,4806
DLK00_02840,5120,4313,4282,47558,39595,46976
DLK00_02845,577,532,469,671,512,567
DLK00_02850,1245,1223,1179,1907,1453,1571
DLK00_02855,20094,17033,17166,19465,17043,20024
DLK00_02860,431,454,429,596,428,459
DLK00_02865,355,287,330,375,357,374
DLK00_02885,762,508,632,2989,2697,2553
DLK00_02890,230,217,221,933,786,671
DLK00_02900,10011,8006,8188,10693,8697,12350
DLK00_02905,5525,4440,4653,7558,5030,5729
DLK00_02910,575,477,529,703,548,592
DLK00_02920,2031,1459,1898,2018,1324,1741
DLK00_02925,6035,5008,5176,5796,4524,5266
DLK00_02930,7279,6427,6257,10776,8267,8946
DLK00_02935,4648,3985,3698,5360,4137,5635
DLK00_02960,1626,1280,1462,1701,1473,1941
DLK00_02970,899,735,703,979,812,864
DLK00_02980,1684,1483,1402,1683,1326,2029
DLK00_02985,239,160,219,291,173,242
DLK00_02990,514,447,443,609,482,596
DLK00_02995,1416,1145,1152,1666,1299,1630
DLK00_03000,31181,26848,26051,38810,28312,36045
DLK00_03005,7301,6272,6360,6970,5691,7126
DLK00_03010,66500,59203,58040,74703,58708,68221
DLK00_03020,7853,6707,6675,9952,7956,8511
DLK00_03025,4055,3387,3199,4851,3711,4241
DLK00_03040,2020,1749,1809,2667,2061,2310
DLK00_03045,16945,14895,14117,21259,17033,19922
DLK00_03050,19663,17029,16874,24782,20826,23712
DLK00_03055,7013,6032,6037,9290,7443,8530
DLK00_03060,33284,28669,27323,30473,25312,28749
DLK00_03080,361,368,378,453,370,515
DLK00_03090,14861,12258,12902,19820,16113,17004
DLK00_03095,8855,7491,7285,12192,9415,10613
DLK00_03110,2355,2007,2008,2334,2039,2165
DLK00_03115,18558,15765,15802,18149,15076,18257
DLK00_03120,12105,10496,10105,13543,11663,14161
DLK00_03125,8744,7234,7535,8963,7925,9821
DLK00_03135,5260,4375,4226,5897,4730,5278
DLK00_03145,19805,15840,16863,21382,19029,22661
DLK00_03155,8997,7928,7655,9648,8477,10568
DLK00_03160,39075,31285,31734,47631,39860,56408
DLK00_03165,66,51,58,30,47,40
DLK00_03170,7126,6363,6454,10412,7687,8103
DLK00_03175,14685,12130,11924,15046,11904,13409
DLK00_03180,42,24,28,51,16,27
DLK00_03195,66375,56334,54921,72502,62536,79709
DLK00_03200,3416,2691,2627,3625,2565,3600
DLK00_03205,1857,1501,1454,2399,1548,2084
DLK00_03210,7226,6054,5993,8695,6847,9427
DLK00_03220,6346,5411,5143,7511,6143,7136
DLK00_03225,3190,2753,2629,4195,3362,3354
DLK00_03230,5936,5188,4894,8171,6351,7351
DLK00_03235,4767,4019,3975,6233,4716,5864
DLK00_03245,190,168,134,242,187,200
DLK00_03250,21855,17372,17420,24391,19488,26169
DLK00_03265,4996,4467,4192,5275,4454,5579
DLK00_03270,1952,1737,1588,2519,1986,2213
DLK00_03285,2856,2420,2332,3168,2693,3130
DLK00_03295,78,73,74,116,64,82
DLK00_03300,238,203,217,268,190,244
DLK00_03305,302,241,241,331,235,245
DLK00_03310,167,152,193,220,143,167
DLK00_03315,41446,35341,34579,60462,49070,58036
DLK00_03325,1977,1769,1619,2556,1915,2646
DLK00_03335,5617,4920,4537,6997,5890,7723
DLK00_03345,3535,2981,3019,4240,3399,4211
DLK00_03355,13720,11470,11232,14709,12136,16119
DLK00_03360,6061,5005,5176,7165,6085,7069
DLK00_03370,8452,7293,6899,11768,9245,10531
DLK00_03375,11873,9887,9641,16622,12761,15170
DLK00_03380,44073,37773,38553,51120,44905,56166
DLK00_03385,1024,899,818,1164,937,850
DLK00_03390,2628,2421,2302,3215,2302,2635
DLK00_03395,800,685,702,827,750,775
DLK00_03400,324,217,254,214,208,212
DLK00_03405,631,541,499,694,546,697
DLK00_03410,554,444,458,770,560,630
DLK00_03420,7022,5952,5832,9128,7320,8018
DLK00_03425,6367,5460,5474,7840,6143,7041
DLK00_03435,4735,3900,3674,5612,4230,4803
DLK00_03455,62957,58140,53396,98369,74760,77040
DLK00_03475,3166,2843,2733,4121,3079,3795
DLK00_03480,9680,7778,7803,10876,8188,11189
DLK00_03495,3060,2509,2611,3539,2767,2720
DLK00_03500,510,410,491,715,553,597
DLK00_03505,3976,3353,3359,5120,3967,5238
DLK00_03520,5774,4570,4767,6125,5004,7081
DLK00_03525,6651,5510,5282,7499,5580,7666
DLK00_03530,12037,10293,10215,14416,11831,13479
DLK00_03540,9642,7928,7910,11072,8648,10639
DLK00_03555,69948,58664,58242,61734,52075,60386
DLK00_03560,21419,18753,18638,21157,17801,21019
DLK00_03565,3761,2839,3053,3874,2607,3190
DLK00_03570,1466,1177,1163,1680,1323,1615
DLK00_03575,606,420,452,674,549,667
DLK00_03580,11482,8856,9034,12981,10993,13766
DLK00_03585,1188,1007,959,1378,1136,1339
DLK00_03600,8571,7108,7650,11125,7734,9701
DLK00_03615,13068,10904,10689,17264,12785,14486
DLK00_03620,37639,31213,31987,41538,33471,41586
DLK00_03625,8642,7275,6832,15483,11606,14160
DLK00_03635,3845,3334,3282,4977,3849,4616
DLK00_03640,5510,4560,4392,6344,4810,7076
DLK00_03655,3782,2906,2958,3517,2716,3733
DLK00_03665,4190,3469,3220,5373,3870,5111
DLK00_03670,6733,5355,4959,6609,4765,9002
DLK00_03675,2686,2227,2242,3866,2763,3054
DLK00_03685,1545,1208,1334,1952,1362,1666
DLK00_03695,135,96,116,211,112,163
DLK00_03705,2758,1972,2302,3410,2240,2946
DLK00_03745,1225,1072,1047,1046,851,898
DLK00_03750,16,10,9,16,18,18
DLK00_03760,3778,3054,2981,3618,2869,4030
DLK00_03765,6109,5225,4974,7725,6208,8120
DLK00_03780,3942,3226,3380,5652,3990,4373
DLK00_03785,31634,26875,27632,33816,29375,33739
DLK00_03790,2986,2500,2455,3225,2798,3295
DLK00_03795,1156,979,910,1436,1048,1251
DLK00_03800,612,480,536,754,563,691
DLK00_03805,41,31,33,38,29,36
DLK00_03810,880,773,780,1124,895,960
DLK00_03815,455,340,390,598,425,470
DLK00_03825,2420,2178,2069,3023,2550,2655
DLK00_03835,1091,952,859,1294,1038,1576
DLK00_03840,1379,1031,1012,1479,1156,2043
DLK00_03850,186058,164000,153774,250606,208920,243924
DLK00_03855,5900,4541,4821,7039,5324,7024
DLK00_03860,5414,4562,4490,7266,5979,7200
DLK00_03870,3611,2925,3161,4431,3560,4779
DLK00_03885,19218,16490,15665,22286,18590,23144
DLK00_03890,26885,23185,23039,35897,28277,32806
DLK00_03895,5571,4819,4907,8510,5509,6578
DLK00_03900,1330,1112,1100,1725,1292,1439
DLK00_03905,2443,2020,2014,3010,2356,3090
DLK00_03910,14687,12146,12227,18365,13740,16014
DLK00_03915,4479,3910,3560,5839,4826,4442
DLK00_03920,8331,7386,7203,11997,9476,9775
DLK00_03925,13046,11774,11414,18593,15436,15600
DLK00_03930,8524,7338,7128,12591,9387,10430
DLK00_03935,4091,3564,3578,6046,5102,5352
DLK00_03940,40292,30189,30112,61642,50597,76184
DLK00_03945,18398,14459,14748,32070,27687,34163
DLK00_03950,5804,4621,4885,11261,9058,10858
DLK00_03955,1827,1485,1534,3259,2683,3424
DLK00_03970,12496,10865,10606,16242,12168,13253
DLK00_03975,3113,2688,2689,3915,3184,3928
DLK00_03980,5469,4801,4749,6349,4920,6560
DLK00_03985,5984,5115,4991,7238,5327,6766
DLK00_03990,4216,3463,3629,4852,3620,4662
DLK00_03995,21011,16896,17434,32000,27350,34683
DLK00_04000,32208,26427,25576,45829,38689,46460
DLK00_04005,96478,81233,75022,154194,119595,139672
DLK00_04010,1618,1285,1331,2054,1588,1754
DLK00_04015,8799,6962,7368,9294,7531,8201
DLK00_04020,6710,5459,5528,7642,6464,7578
DLK00_04030,18135,15042,15055,20021,14869,15933
DLK00_04035,48198,39826,41015,57203,47624,52251
DLK00_04040,53376,43220,44281,78936,56515,61930
DLK00_04045,161216,130783,128422,171714,137361,176131
DLK00_04060,9880,8535,8161,8896,7051,8745
DLK00_04065,3908,3431,3167,3673,3176,3416
DLK00_04075,7298,6783,6428,9490,7617,8003
DLK00_04080,4238,3895,4175,5023,4427,4713
DLK00_04090,1057,851,916,1389,1030,1203
DLK00_04105,354831,301071,295457,326153,275045,347338
DLK00_04110,222079,192544,179349,208702,168554,211191
DLK00_04115,159934,128005,126525,133385,109834,168528
DLK00_04120,168843,136904,134134,148513,122529,173767
DLK00_04130,367823,278969,285650,301393,240165,365187
DLK00_04135,136014,103593,104875,109860,89862,138768
DLK00_04140,43838,32851,32876,32082,27886,49345
DLK00_04150,78315,61274,62415,58192,53414,77303
DLK00_04155,191785,154153,152585,149015,129692,176963
DLK00_04160,97530,79785,79151,79674,69616,91589
DLK00_04165,100754,83269,81455,83330,70550,100231
DLK00_04170,165909,138194,135565,137541,117293,165649
DLK00_04175,74964,66793,60811,69583,54452,71458
DLK00_04180,117516,95523,92693,98147,83231,122867
DLK00_04185,915,636,795,1124,664,866
DLK00_04195,84306,65654,68419,59662,53038,71705
