geneid,A10_LOCK_OFF_1,A10_LOCK_OFF_2,A10_LOCK_OFF_3,A10_ON_1,A10_ON_2,A10_ON_3
gene875,30724,26048,27884,34246,28533,32957
gene876,4174,3932,3891,4688,3825,4240
gene877,338,362,492,514,420,449
gene878,432,406,318,600,559,547
gene88,24699,24347,29049,24923,19548,22710
gene880,7579,7622,9411,8308,6649,8585
gene882,6826,6915,7515,7724,6079,7321
gene883,4308,4342,4700,4645,3523,4246
gene884,3185,2926,3118,3133,2461,2873
gene885,1259,1219,1272,1266,1011,1124
gene886,5459,5482,6248,5088,4064,4987
gene887,1417,1380,1596,1428,1091,1238
gene888,6714,7600,7766,9092,6945,8328
gene889,10364,10512,13356,12565,9886,12150
gene89,14655,13486,16704,16569,12689,14847
gene890,13043,12879,14861,13495,10700,12515
gene891,6925,6071,5532,8327,6894,7705
gene892,4891,3949,3837,5481,4528,4836
gene893,43336,41596,48304,46372,36407,44874
gene894,10260,10668,13422,11107,9133,12159
gene895,11586,11923,14081,12753,10391,13458
gene896,5997,4706,4231,6730,5570,6336
gene897,1924,1417,1544,1949,1674,1884
gene898,1728,1400,1574,2252,1792,1867
gene899,2760,2074,1786,3648,3381,3873
gene9,50663,54023,60604,60814,47261,56148
gene90,25708,24094,26579,32056,24016,26815
gene900,375,340,363,372,261,332
gene901,1827,1718,2038,1951,1595,1987
gene902,9656,7896,8255,10237,8404,9862
gene903,25321,18184,16777,29054,25654,26769
gene904,2842,2523,2721,3262,2468,3004
gene905,2444,2178,2322,2787,2308,2405
gene906,1669,1588,1678,1877,1375,1597
gene907,502,431,513,570,431,476
gene908,1114,1144,1150,1183,948,1042
gene909,5373,5606,7129,5591,4186,5358
gene91,36287,31800,32842,40885,32020,36141
gene910,38,68,50,66,31,37
gene911,445,418,442,406,296,338
gene912,545,566,652,537,373,522
gene913,8114,8303,9375,9618,7416,8526
gene914,8145,7550,7510,11005,8832,9750
gene915,2132,1907,2070,1613,1294,1629
gene916,530,573,634,426,336,390
gene917,3853,3696,4119,4088,3061,3642
gene918,63428,65965,89912,64089,50036,66796
gene919,112289,128313,192839,134938,97084,138437
gene92,92337,75061,83488,93870,73782,82271
gene920,109426,121377,190902,117655,89157,134042
gene921,19194,17902,19664,20225,15433,17556
gene922,7211,6963,7890,8101,6226,7658
gene923,2383,2444,2550,2655,2074,2252
gene924,12547,11178,11395,16050,13240,14587
gene925,4269,4130,3862,7735,6677,7125
gene926,880,903,993,1200,1091,1074
gene927,10,12,17,34,29,26
gene928,49753,54488,67381,54253,40674,47315
gene93,42156,31291,30601,44529,36563,37983
gene930,10906,10273,11137,10434,8146,8535
gene931,5645,6013,7368,6379,4793,6195
gene932,4023,4220,5934,4772,3581,4330
gene933,10375,10179,11739,9670,7609,8879
gene934,55813,47717,45530,56564,48309,54912
gene935,5089,3962,4383,5076,4184,4603
gene936,6519,4669,5209,7549,6782,7187
gene937,749,631,794,1130,891,899
gene938,52509,56985,49431,75602,62709,66656
gene939,19209,19016,19803,20582,16517,17398
gene94,49164,35818,35649,51662,43941,48457
gene941,75,77,90,111,72,75
gene942,2544,2719,3166,3045,2345,3118
gene943,683,807,1039,947,691,901
gene944,2602,3131,4740,3427,2455,3432
gene945,213,239,252,482,346,422
gene946,142,114,142,259,174,235
gene947,1170,1020,1056,1260,975,1186
gene948,478,460,504,444,443,397
gene949,477,438,521,497,388,538
gene95,18049,15249,18211,18682,14811,18074
gene950,1639,1504,1581,1937,1611,1804
gene951,6112,5699,6205,6704,5287,6048
gene952,16545,15301,16635,17440,13575,14569
gene953,5348,5624,7605,6075,4673,6416
gene954,931,935,1301,1093,823,1009
gene955,27507,30581,33952,36934,28642,37390
gene956,4416,4626,5965,5020,3774,4330
gene957,113192,113267,129059,119877,91642,102963
gene958,65730,66312,83075,67443,52546,61806
gene959,9929,10155,12063,10245,7835,8914
gene96,11730,12426,14785,13853,10248,12644
gene960,5514,5612,5909,6020,4656,5213
gene961,21592,20010,20747,22181,17341,19284
gene962,12228,11408,13100,12217,9554,10775
gene963,4039,4318,4485,5006,3784,4051
gene964,7249,5996,5884,7919,6764,7266
gene965,2187,2005,2088,2366,1884,2135
gene966,3170,2963,3350,3775,3036,3585
gene967,481,519,582,651,447,634
gene968,17248,19189,23887,22773,17711,24060
gene969,1438,1587,1819,1615,1292,1569
gene97,469,436,401,655,399,507
gene970,9565,10457,11041,10790,8231,9634
gene971,2350,2126,2412,2093,1863,2130
gene972,4921,4622,4619,5228,4117,4594
gene974,768,654,699,874,695,968
gene975,454,400,456,483,370,487
gene976,4610,4782,5303,4883,3643,3933
gene977,12187,12095,13307,13956,10998,12954
gene978,11080,11149,13840,10947,8897,10391
gene979,92,117,125,78,76,83
gene98,3297,2810,2710,4647,3551,3802
gene981,338,371,426,408,308,322
gene982,4619,4375,4607,4397,3517,3779
gene983,7247,6783,7076,8366,6506,7029
gene984,9914,10810,12059,10547,8406,10483
gene985,205,252,238,260,217,286
gene986,470,458,677,454,330,461
gene987,8510,9422,13303,10104,7633,10243
gene988,8748,9555,11340,11590,8367,9629
gene989,6052,6664,7042,8141,6024,6522
gene99,2458,1863,2019,3043,2570,2894
gene990,10537,10786,10013,13120,10265,11810
gene991,7118,6696,5987,8221,6944,7790
gene992,11,4,11,16,17,15
gene993,35,38,35,37,26,40
gene994,71,77,74,75,51,79
gene995,95,80,81,64,86,77
gene996,93,105,100,105,69,108
gene997,17,16,25,30,20,17
gene998,39,27,24,35,54,51
id13,0,0,0,0,0,0
id15,0,0,0,0,0,0
id26,0,0,0,0,0,0
id28,0,0,0,0,0,0
id37,0,0,0,0,0,0
id40,0,0,0,0,0,0
id65,0,0,0,0,0,0
id68,0,0,0,0,0,0
id75,0,0,0,0,0,0
id78,0,0,0,0,0,0
id88,0,0,0,0,0,0
id90,0,0,0,0,0,0
