geneid,A10_LOCK_OFF_1,A10_LOCK_OFF_2,A10_LOCK_OFF_3,A10_ON_1,A10_ON_2,A10_ON_3
gene1798,8893,9197,9248,11902,9073,9133
gene1799,16080,14879,14191,19305,15017,15559
gene18,8917,8499,9947,9427,7389,8738
gene180,6339,5980,7176,6484,5203,6350
gene1800,12138,11220,10893,13943,11078,11985
gene1801,680,719,887,701,567,621
gene1802,22290,21402,23709,22332,17553,20914
gene1803,2191,1927,2346,2738,2177,2440
gene1804,3164,2218,2101,4608,3976,3978
gene1805,532,504,695,828,525,686
gene1806,22043,20157,19338,23343,18907,21445
gene1807,1766,1504,1281,1945,1598,1564
gene1808,5571,5118,5477,5840,4765,5737
gene1809,7769,7428,8603,7815,6199,7469
gene181,16233,15090,15609,18290,14797,17496
gene1810,7120,6618,7348,7662,6232,7764
gene1811,4828,5580,7649,5911,4611,6024
gene1812,4519,3856,4063,5356,4561,5175
gene1813,4235,4050,4536,4944,3921,4784
gene1814,22025,22176,24121,26051,21170,26282
gene1815,11158,8468,7994,12934,11324,11520
gene1816,34939,28735,29820,40181,34310,36930
gene1818,922,871,932,1037,886,964
gene1819,249736,273351,318906,282297,220796,284332
gene182,1294,1189,1318,1515,1118,1194
gene1820,57,59,68,70,54,71
gene1821,2055,2228,2763,2404,1828,2149
gene1822,14401,13059,13791,16654,12981,14945
gene1823,7554,6715,6650,8414,6603,7354
gene1824,12964,11750,12710,15067,11953,12800
gene1825,25801,20843,21102,31095,26405,29892
gene1826,67898,55147,53550,78945,66046,76823
gene1827,47151,40059,43168,51015,41345,47382
gene1828,56403,53914,64099,63105,49973,59278
gene1829,13224,11955,12805,9700,7796,8950
gene183,895,952,1209,1034,707,821
gene1830,3,2,0,7,6,3
gene1831,1830,1671,1759,1847,1441,1638
gene1833,1188,1181,1486,1456,1111,1318
gene1834,76764,78189,80885,103776,82202,101619
gene1835,2822,2857,3902,3032,2264,2850
gene1836,6772,6683,7636,6933,5466,6608
gene1837,35032,33597,34962,39309,30897,35838
gene1838,15307,16032,20663,17765,13426,16164
gene1839,2336,2221,2871,2995,2068,2484
gene184,3435,3130,3640,3894,3122,3869
gene1840,5464,4557,4931,6264,5214,5881
gene1841,4888,4712,5306,5884,4784,5541
gene1842,5334,5710,6077,6397,5045,5871
gene1843,8167,8654,9622,10178,7709,9065
gene1844,9649,11192,11111,11378,9554,10756
gene1845,1859,1634,1676,2086,1804,1995
gene1846,254,281,303,306,253,287
gene1847,251,277,264,297,261,213
gene1848,1823,1769,1795,1885,1456,1548
gene1849,15670,13850,14787,16229,13360,14849
gene185,16876,14217,15433,18792,16034,18154
gene1850,16431,13872,14202,15448,12218,13430
gene1852,152,167,161,216,115,182
gene1853,602,496,690,705,585,546
gene1854,12694,11402,12182,14072,11024,13151
gene1855,4087,3929,4960,4750,3409,4350
gene1856,3633,3510,3441,4022,3102,3329
gene1857,4332,3790,4050,4635,3725,3999
gene1858,2358,1936,1907,2966,2498,2456
gene1859,1047,918,950,1298,1109,1249
gene186,3573,3399,3799,4164,3356,3832
gene1860,11066,12015,12682,12538,9709,11282
gene1861,7040,5789,5658,7645,6773,6936
gene1862,1698,1358,1558,1984,1738,1977
gene1863,817,722,678,1108,898,896
gene1864,10868,9056,9977,12963,10577,11561
gene1865,2688,2528,2815,2970,2293,2560
gene1866,4045,4237,4979,5144,3755,4279
gene1867,1133,1125,1195,1262,944,1186
gene1868,5375,5846,6806,4646,3450,4497
gene1869,18045,17092,19867,18363,14646,16994
gene187,3648,3397,3620,4376,3679,4244
gene1870,1931,1656,1904,2332,1952,2292
gene1871,9310,7470,6385,11439,9900,10436
gene1872,1681,1595,2139,1673,1319,1574
gene1873,60344,33155,30282,66999,61254,65571
gene1874,188292,110048,103374,203870,180940,189274
gene1875,4750,4366,6888,3364,3025,5472
gene1876,2442,2460,4209,2224,1683,2681
gene1877,401,464,708,428,311,413
gene1878,1906,1924,2261,2275,1791,1967
gene1879,11966,11903,12333,13035,10407,11719
gene188,9830,9635,11006,10932,8944,10360
gene1880,71158,71741,90018,73396,57814,78273
gene1881,159627,163036,204711,159716,126962,170498
gene1882,14014,12551,12431,14719,11403,12400
gene1883,3734,3174,3493,3775,3038,3091
gene1884,18038,18687,24388,21109,16619,21010
gene1885,3145,3442,4755,4105,3098,3914
gene1886,2569,2480,2595,2358,1996,2262
gene1887,289,210,237,230,221,194
gene1888,628,505,512,730,571,640
gene1889,588103,591314,647306,580370,462080,568646
gene189,11659,12155,15548,12533,9960,12492
gene1890,19302,19399,22779,20331,14996,17790
gene1891,2156,2411,3033,1934,1694,2244
gene1892,40641,42987,52262,43311,32791,41631
gene1893,2826,2656,4104,2070,1840,2763
gene1894,9862,9604,10263,11175,8521,9363
gene1895,45480,44373,50477,50681,39986,47367
gene1896,58110,60120,81256,65147,49406,64779
gene1897,47652,50613,69706,56699,42890,54213
gene1898,2534,2681,3255,3006,2391,2658
gene1899,2548,2850,3229,3199,2465,3067
gene19,5375,5490,6195,6217,4826,5880
gene190,23022,21641,24510,23569,18595,21770
gene1900,8790,7089,6176,11684,9771,10089
gene1901,14372,12176,13599,15990,12922,14157
gene1902,17910,15485,15837,20435,16116,17140
gene1903,16285,15829,17525,21702,16935,19495
gene1904,618,686,773,795,586,691
gene1905,112,102,135,131,94,112
gene1906,14,12,28,15,19,26
gene1907,0,0,0,0,0,0
gene1908,1606,1841,1864,2033,1511,1780
gene1909,0,0,0,0,0,0
gene191,6840,6173,6432,6967,5907,6647
gene1910,11771,13649,17424,15967,12129,15441
gene1911,49257,47050,50585,57850,47880,56742
gene1912,5619,5261,6422,6613,5172,6039
gene1913,1740,1841,1823,3142,2310,2589
gene1914,10871,11414,10981,16414,12631,14744
gene1915,1429,1238,1029,2072,1821,1955
gene1916,45456,46881,48693,60706,46970,53276
gene1917,735621,652017,650651,1002321,768991,794878
gene1918,358389,312765,322169,467116,366797,383324
gene1919,834,750,891,771,644,732
gene192,7091,5706,5544,7523,6785,6905
gene1920,1233,1145,1123,1410,1080,1176
gene1921,115,85,89,139,123,101
gene1922,8071,8489,8856,9887,7549,8798
gene1924,120423,110486,124322,130923,101437,115584
gene1925,76079,63843,66739,85350,66578,69900
gene1926,269966,246495,242662,322439,249043,263792
gene1927,2080,2242,3062,2358,1814,2136
gene1929,21712,23010,25943,27107,19848,22431
gene193,13291,11339,12691,15979,13288,15805
gene1930,12634,13558,14513,16300,12356,14109
gene1931,3891,4172,4728,4241,3390,3990
gene1933,4508,5166,5818,5851,4261,5296
gene1934,847,839,1055,783,677,775
gene194,139987,157408,208468,164310,129927,173017
gene195,289,309,535,313,260,311
gene196,560,514,967,530,469,575
gene197,9971,10278,12518,11530,8934,10403
gene198,8066,7145,7413,9070,7173,7004
gene199,25077,22381,23783,26472,20816,22860
gene2,72224,70099,85250,77212,58250,67019
gene20,2113,2335,2652,2417,1818,2276
gene200,10113,9095,9064,11487,9634,10486
gene201,1905,1577,1752,2325,1895,2302
gene202,6987,5881,6673,7592,5929,7267
gene203,4948,3989,4311,5213,4357,4776
gene204,10418,8234,9539,10188,8765,10024
gene205,2438,2285,2392,2654,2070,2514
gene206,644,709,772,708,522,619
gene207,17416,18382,19742,21583,17047,19812
gene208,18530,16851,18110,20942,16664,19300
gene209,14487,11996,12377,15939,12765,14322
gene21,1821,2016,2517,2191,1726,2353
gene210,18193,17757,19745,17747,13825,15125
gene211,2261,2169,2092,2114,1659,1719
gene212,8348,7982,9719,7400,5459,6659
gene213,3174,3319,3615,3280,2596,3043
gene214,11089,11327,14082,10942,8570,10560
gene215,28017,28445,32737,26523,20417,25032
gene216,17856,17768,20851,16662,13011,15937
gene217,5021,4742,5238,4467,3595,3932
gene218,4791,4722,5489,4459,3405,4034
gene219,838,750,1028,938,742,932
gene22,29754,23938,23209,31314,25664,27336
gene220,1051,918,878,1273,1005,1083
gene221,533,445,543,504,410,411
gene222,1076,1108,1182,1285,969,1210
gene223,3409,3730,4073,4105,3126,3428
gene224,8918,8074,8041,11685,10139,11286
gene225,6137,4893,4976,7114,6197,6481
gene226,20904,21662,25161,25575,20080,24333
gene227,3687,3334,4356,3861,3009,3728
gene228,2311,2080,2212,2608,1976,2309
gene229,2774,2111,2088,2868,2335,2549
gene23,4784,4328,4961,4563,3578,4085
gene230,3224,2425,2496,3580,2977,3147
gene231,19215,16049,17452,24138,19182,20476
gene232,874,815,985,938,795,1000
gene233,2694,2570,4023,2909,2352,2955
gene234,9743,11295,15748,12214,9259,13339
gene235,7675,7645,9315,7407,5911,6925
gene236,8804,8056,9126,8247,6533,7638
gene237,7929,7361,8601,8279,6599,7364
gene238,4360,3835,3644,4349,3554,3922
gene239,7450,6830,6973,7903,6190,7326
gene24,11228,10257,12068,12001,9083,10883
gene240,3618,3198,3615,4136,3324,3886
gene241,34895,29341,30144,37370,30853,36111
gene242,9590,8741,9953,10137,7936,9388
gene243,3701,3734,4447,3847,2964,3825
gene244,4488,4679,5485,4622,3785,4717
gene245,18544,18419,20351,18804,14973,17812
gene246,7295,7597,9232,8286,6204,7433
gene247,33524,36255,43151,35244,27102,32383
gene248,885,1039,1082,940,752,880
gene249,2388,2596,2148,2814,2132,2051
gene25,24881,21873,23209,28485,22636,25247
gene250,9002,9003,9817,10184,7689,8625
gene251,7494,7162,8262,7696,6172,7309
gene252,16230,17307,18426,19817,16086,19747
gene253,1866,1789,1865,2261,1702,1874
gene254,1420,1308,1509,1464,1179,1228
gene255,14809,13607,14288,14069,11602,11339
gene256,15397,16354,19577,16850,12564,14305
gene257,39871,34416,36037,44853,37135,41797
gene258,2686,2161,2418,2837,2361,2490
gene259,12605,11553,12527,13879,11686,14141
gene26,6266,5231,5761,7343,5623,6254
gene260,3397,3136,3392,3758,2874,3673
gene261,7418,6612,7105,7274,6099,6539
gene262,8747,8274,8716,8841,7203,8437
gene263,8194,9090,9604,11489,8937,11166
gene264,7814,7759,8887,8355,6822,8036
gene265,10708,10485,13296,10541,8282,10507
gene266,11428,11118,13351,12582,9968,12809
gene267,6347,6755,8317,8271,6281,7713
gene268,98,114,119,115,130,128
gene269,45,53,69,50,55,54
gene27,2305,1939,2152,2695,1971,2338
gene270,286,346,407,340,268,370
gene271,854,971,1040,1019,807,989
gene272,322,295,424,377,275,362
gene273,7873,9665,11093,10906,8220,9912
gene274,2219,2400,2566,2523,1906,2157
gene275,2647,2732,3115,2383,1938,2198
gene276,2117,1998,1964,2522,2159,2347
gene277,1687,1412,1192,2221,1917,2197
gene278,4320,3484,3331,4950,4300,4551
gene279,15801,14455,15982,15815,12763,13769
gene28,1743,1290,1210,2313,1784,2030
gene280,13728,13172,16217,13746,10824,13127
gene281,1723,1755,2191,1953,1499,1722
gene282,287,281,310,595,495,540
gene283,855,777,886,1453,1149,1232
gene284,578,504,572,858,661,784
gene285,326,313,383,454,389,381
gene286,37966,38733,44271,35827,28050,32478
gene287,1248,1233,1429,1104,792,1167
gene288,972,1104,1396,1186,880,1198
gene289,548,589,626,731,518,496
gene29,17313,13333,12619,22014,19627,21980
gene290,1202,1330,1355,1540,1209,1346
gene291,590,675,689,779,623,747
gene292,6034,5279,6223,6179,4882,5776
gene293,17138,12079,10209,24964,22045,22205
gene294,35359,30256,35390,39480,31413,36398
gene295,1750,1609,1761,1673,1332,1506
gene296,6784,6594,7755,7361,5630,6539
gene297,5,6,7,1,10,4
gene298,15932,15385,17889,17266,13465,16504
gene299,17905,15259,15280,19903,16702,19146
gene3,348517,302604,331747,371571,287289,315117
gene30,2040,1931,2394,2221,1686,2003
gene300,1434,1317,1328,1565,1336,1484
gene301,2765,2478,2579,2736,2182,2485
gene302,114124,120830,148790,121403,94906,125882
gene303,1368,1307,1281,1415,1137,1354
gene304,1051,985,932,1272,1024,1116
gene305,1932,1921,2020,2078,1703,1968
gene306,27797,26862,29470,31695,25517,28211
gene307,382,348,465,360,270,323
gene308,884,967,1787,748,611,972
gene309,7073,6952,12221,6087,4505,7086
gene31,5304,5277,6971,6099,4682,5711
gene310,1265,985,2115,431,499,1089
gene311,37724,36554,38691,41341,33474,38121
gene312,438,445,598,744,435,519
gene313,8885,7745,7615,9689,8245,9524
gene314,5490,4169,3344,6569,5827,6033
gene315,11786,10312,10706,13632,11270,13273
gene317,105001,108260,135634,113967,89411,110191
gene318,1976,1702,1836,3734,2969,3170
gene319,3698,2629,2428,8026,6975,7311
gene32,17739,18408,20371,24691,19230,22463
gene320,7166,6581,7901,12082,9407,10955
gene321,4632,4668,5534,8585,6895,7621
gene322,1074,1164,1419,1570,1225,1501
gene323,4646,4342,4177,5734,4678,5443
gene324,1332,1035,1016,1341,1231,1225
gene325,2470,2266,2470,2017,1649,1910
gene326,3971,3771,4443,3742,2815,3348
gene327,11341,11189,12650,12857,9810,11943
gene328,11116,11149,11830,11702,8713,10324
gene329,11251,12119,12255,14136,10102,10864
gene33,5906,5484,5552,5893,4828,5032
gene330,1307,1213,1641,1552,1126,1390
gene331,23023,26050,31366,25383,19082,24163
gene332,10166,9919,9713,11626,8796,9559
gene333,21657,22013,22577,23752,18378,21233
gene334,2792,3039,3670,3363,2545,2990
gene335,6066,6328,7270,6524,4981,5532
gene336,6435,6226,6722,6569,5192,5659
gene337,12839,12769,11696,13593,10742,11760
gene338,28019,30727,43090,30914,23814,32749
gene339,25219,21635,25630,26814,22064,26154
gene34,5818,7061,9785,7088,5480,7151
gene340,77968,70384,69423,90313,73743,82985
gene341,141909,160458,232420,172369,130954,183166
gene342,50853,49298,58535,57166,43000,51340
gene343,17472,16743,17571,17792,14582,17422
gene344,5409,4894,5177,6048,4521,4976
gene345,616,606,742,679,557,686
gene346,11199,12167,17343,13608,10469,14324
gene347,38481,35125,36579,39118,31581,34625
gene348,16452,15353,16688,18946,14383,15617
gene349,3277,3330,4062,3437,2743,3321
gene35,116478,122739,134241,119030,91088,111527
gene350,2341,2397,2820,2523,1832,2396
gene351,277,315,324,348,275,300
gene352,1365,1523,2121,1684,1233,1685
gene353,12132,12432,14264,13347,10369,11814
gene354,31498,27831,29925,32471,25808,28473
gene355,30473,28752,32518,32088,24291,28852
gene356,194413,188215,224435,200327,155392,189647
gene357,81,81,99,103,72,79
gene358,11692,12966,15991,14502,10649,13854
gene359,12281,12062,14053,12511,9463,10787
gene36,47026,50760,57029,51386,39420,45890
gene360,15931,15784,17929,17676,13720,14877
gene361,967,999,1287,1053,835,1023
gene362,404,458,569,434,379,352
gene363,43479,32935,37705,59995,49700,52555
gene364,34223,25229,26761,47616,40313,41208
gene365,2748,2878,3430,3331,2514,3138
gene366,0,0,0,0,0,0
gene367,1744,2080,2068,2174,1608,1820
gene368,0,0,0,0,0,0
gene369,24,26,24,24,12,28
gene37,17134,18620,23418,19028,13941,17008
gene370,1199,996,1122,1049,831,933
gene371,3649,3368,3633,4035,3151,3779
gene372,16124,17956,21641,18551,14336,17405
gene373,25893,25223,27990,27437,20975,23749
gene374,4734,4497,5015,5514,4159,4546
gene375,8001,6913,5782,9512,7365,7415
gene376,19340,17609,15823,20724,16424,17202
gene377,36071,34996,38650,31737,24732,29287
gene378,1862,2070,2763,2138,1552,1882
gene379,14659,14664,18717,14221,10931,13717
gene38,61711,66456,89265,64318,49523,66900
gene380,4512,4606,5573,4177,3394,4001
gene381,2284,2169,2243,2461,2096,2392
gene382,3700,3567,4042,4449,3300,3729
gene383,16710,15433,17079,17357,14428,17008
gene384,7132,6324,6191,8139,6813,7678
gene385,55260,49160,54507,60797,47937,57601
gene386,12341,11325,10366,13696,10789,10751
gene387,46741,44769,55331,48001,36808,45520
gene388,109474,105855,114137,118729,92165,111155
gene389,130653,123061,135647,134088,107292,134543
gene39,73526,55573,49581,73131,65070,66452
gene390,29972,28897,35188,30866,23650,31968
gene391,6592,6152,7291,7790,6189,7822
gene392,5029,4744,5122,5692,4780,5496
gene393,2135,1794,1791,2286,2079,2268
gene394,6496,5163,5711,6701,5460,6577
gene395,16983,14778,16197,19498,15586,18822
gene396,41814,38436,40849,45556,35969,39379
gene397,11010,9979,10336,12519,10154,10540
gene398,9050,9358,11017,9828,7421,9051
gene399,3325,3615,4352,3704,2711,3271
gene4,310516,286320,320987,334745,268439,314491
gene40,12998,12252,11737,12508,9993,10578
gene400,21954,23240,28191,24356,18221,22640
gene401,16234,17590,19404,19145,15202,17143
gene402,1619,1360,1283,2213,1905,2075
gene403,17288,18025,21769,19490,15017,17726
gene404,31334,35426,40523,37773,29275,37454
gene406,4099,4370,5049,4878,3542,4114
gene407,5172,4532,4133,6063,5020,5701
gene408,2760,2444,2559,3187,2700,3099
gene409,5844,4154,4087,6761,6076,5991
gene410,4093,2947,3345,5621,5477,6346
gene411,50177,51290,56514,59044,47155,57501
gene412,622822,582092,653201,719080,556855,655605
gene413,2467,1839,1598,3195,2610,2587
gene414,1604,1440,1562,1990,1706,1821
gene415,34580,36914,43510,39147,29957,34607
gene416,8428,7329,7099,8436,6693,7586
gene417,5822,5371,5726,6213,4613,5421
gene418,7733,6733,7474,8332,6594,7484
gene419,4421,3443,3500,5255,4085,4423
gene42,26004,25467,26564,22394,17172,18847
gene420,31421,21773,21737,35737,29981,29919
gene421,71844,48911,55924,84990,69022,73188
gene422,22948,14615,15831,26609,22117,21623
gene423,32835,21095,22094,33629,28081,26678
gene424,50260,32082,29324,50790,44076,41002
gene425,99756,64181,62566,93672,81122,82307
gene426,129288,93170,88960,137246,117065,120997
gene427,3028,3257,4436,3888,2862,3557
gene428,6740,7416,6756,9632,7528,8492
gene429,19276,18324,20658,22597,17253,21179
gene43,246899,248012,281987,328528,259054,312797
gene430,12018,12476,13333,13589,10851,12585
gene431,70171,78130,99380,78979,60566,78180
gene432,19996,21806,30815,22681,17373,23030
gene433,25250,23677,26154,28019,21890,24183
gene435,5911,3935,3009,7838,7468,7400
gene436,20818,17905,19424,24632,20418,23201
gene437,48947,52652,77641,59652,46554,65171
gene438,145500,138847,144111,172979,136406,150946
gene439,5524,5054,5985,6145,4816,5401
gene44,53506,54731,63650,55544,42394,49738
gene440,44384,43661,48454,46034,36307,43328
gene441,26196,25749,28234,27916,21249,24647
gene442,232,187,225,246,188,214
gene443,5911,4634,4308,6439,5173,5427
gene444,13864,11290,10605,14438,11417,11343
gene445,35224,35677,41024,41951,31466,37269
gene446,2807,2413,2727,3084,2603,3068
gene447,1684,989,718,1983,1812,1844
gene448,2413,1881,2059,2541,2153,2367
gene449,7329,6598,6490,9448,8007,9239
gene45,25632,23450,25874,26238,20674,23243
gene450,4473,3574,3112,5347,4453,4235
gene451,4330,3812,3923,4856,3958,4333
gene452,917383,946440,977460,1109600,866073,971085
gene453,7105,7916,9387,8462,6422,7681
gene454,352,316,280,530,480,485
gene455,5115,5176,6094,5931,4241,5565
gene456,686,695,1225,504,523,752
gene457,928,985,1585,1010,818,1000
gene458,7476,6208,6552,9487,8447,9375
gene459,5417,5187,5798,5890,4653,4957
gene46,51822,58263,76550,56355,44426,60812
gene460,10527,9539,9358,10170,7908,7869
gene461,17821,17285,19223,18060,14250,16016
gene462,26830,26378,28455,27145,20949,23675
gene463,18780,17523,19042,22796,17967,21501
gene465,8104,7075,7426,9587,7754,8876
gene466,1144,1121,1168,1074,876,998
gene467,47884,53777,66629,54949,42602,54909
gene468,831,974,1367,1064,784,940
gene469,1611,1784,2731,1713,1234,1682
gene47,6371,4384,4268,7802,7040,8270
gene470,80,96,156,92,95,117
gene471,5585,5470,6045,6956,5418,6352
gene472,71006,77174,91691,76085,59286,72225
gene473,3695,2634,2537,3788,3252,3094
gene474,21325,20778,23129,23580,18648,22247
gene475,2607,2630,2733,3418,2635,2968
gene476,61013,61486,66515,55557,42906,48792
gene477,6126,5932,6257,6534,5080,6056
gene478,8654,7781,7988,8923,6851,7462
gene479,92,94,122,90,69,85
gene48,2638,1946,1784,3385,2781,2961
gene480,14934,13393,14470,18343,14239,15970
gene481,1001,1044,1815,817,654,1100
gene482,757,639,1427,490,422,754
gene483,1148,1074,1884,1126,872,1112
gene484,0,0,0,0,0,0
gene485,1738,2107,2018,2106,1655,1878
gene486,0,0,0,0,0,0
gene487,22,19,41,31,31,36
gene488,3679,3660,3844,4161,3155,3567
gene489,70,56,89,69,67,60
gene49,9182,7049,7103,10500,9443,10468
gene490,4615,5025,6620,5168,3734,4746
gene491,35400,35635,36256,40535,33867,41243
gene492,196,188,243,232,156,209
gene493,6861,6790,7192,8409,6744,7486
gene494,11070,10766,10649,13777,10880,13333
gene495,8453,8450,9694,8254,6521,7297
gene496,13154,11929,14308,15046,12702,15778
gene497,30603,27635,29851,33533,27088,31329
gene498,9576,8418,7907,11408,9409,10000
gene499,14868,13360,13632,16612,12660,14016
gene5,1535,1471,1505,1869,1437,1345
gene50,929,932,1132,881,687,828
gene500,34596,30719,32101,33372,25904,29582
gene501,3625,3325,3042,4295,3614,4127
gene502,11252,10005,10289,10363,8924,9969
gene503,4062,3791,3838,4851,3963,4543
gene504,10670,8711,8794,11980,10028,11221
gene505,3867,2877,2354,5072,4168,4573
gene506,1394,1379,1237,1564,1189,1287
gene507,2390,2186,2419,2283,1871,1936
gene508,16873,17441,20939,15643,12078,15125
gene509,146,149,145,141,95,141
gene51,8482,7666,8997,9670,7601,8731
gene510,945,904,908,901,780,880
gene511,434,453,471,487,379,505
gene512,301,236,232,260,166,177
gene513,1005,946,1026,1136,963,1087
gene514,5432,4248,4456,5492,4733,5244
gene515,3291,2272,2110,3197,2850,2916
gene516,6497,6141,5962,8297,7016,7349
gene517,29068,23567,24553,27387,23005,26197
gene518,12077,10390,11718,9893,7922,9397
gene519,15571,13732,13782,14391,11455,12617
gene52,51798,38897,37566,74798,63716,68397
gene520,80,75,158,61,57,50
gene521,6339,6435,7354,6081,4791,6326
gene522,2306,2210,2356,2547,1992,2081
gene523,207,173,157,206,179,199
gene524,1809,1665,1714,1783,1540,1765
gene525,2604,2659,2622,2542,1997,2229
gene526,5859,5525,6307,4812,3784,4479
gene527,2473,2224,2492,2066,1524,1817
gene528,799,684,556,629,424,494
gene529,984,862,919,855,598,649
gene53,98154,84509,83617,123369,106301,117887
gene530,605,653,686,544,444,513
gene531,3763,3496,3731,3067,2307,2894
gene532,375,342,326,308,243,302
gene533,917,918,910,810,661,794
gene534,2430,2763,2840,3064,2395,2566
gene535,4866,5280,6378,5617,4447,5369
gene536,679,687,820,644,560,722
gene537,1310,1225,1455,1338,1064,1342
gene538,4350,4107,4569,4279,3491,4353
gene539,15233,14706,14341,15941,12562,14155
gene54,5130,4787,6097,5049,3922,5025
gene540,20321,19265,20465,20839,16445,19137
gene541,10765,10067,11738,10546,8795,10474
gene542,4342,4176,5277,4106,3305,4187
gene543,2983,2940,3170,3133,2415,2685
gene544,2808,2584,2340,3037,2493,2741
gene545,11371,9775,9909,11119,9371,10917
gene546,2526,2120,2107,2761,2148,2465
gene547,976,844,878,954,804,844
gene548,2461,2160,2318,2442,1955,2253
gene549,2561,2174,2421,2519,2174,2343
gene55,1641,1473,1787,2067,1514,1791
gene550,3156,2794,3096,3096,2601,2935
gene551,7361,5703,5366,7162,5972,6767
gene552,697,702,724,760,550,749
gene553,5439,4887,5254,4791,3775,4861
gene554,1357,1216,1402,1358,1031,1251
gene555,4321,3648,3823,4216,3511,3866
gene556,940,972,985,1051,871,1002
gene557,575,482,593,569,458,534
gene558,210,121,106,305,337,286
gene559,1881,1720,1824,2270,1817,2092
gene56,45079,43407,49487,55209,43795,53705
gene560,5512,5887,7531,5513,4226,5350
gene561,3950,4182,5302,4606,3537,4411
gene562,1192,1122,1307,1287,956,1196
gene563,1286,1330,1646,1527,1120,1371
gene564,2536,2504,2570,3504,2716,3073
gene565,1823,2175,2499,2759,2013,2281
gene566,75,90,107,118,89,84
gene567,1336,1535,1556,1776,1435,1453
gene568,3333,3236,3298,4107,3147,3602
gene569,15098,15211,16769,25011,19642,23641
gene57,13247,12599,14733,16168,13227,16535
gene570,816,776,991,1021,776,950
gene571,200,209,269,258,227,233
gene572,1261,1480,1881,1968,1414,1904
gene573,1075,1132,1355,1874,1400,1668
gene574,2412,2577,2784,4068,3040,3571
gene575,63,59,49,80,52,49
gene576,176,114,136,176,196,239
gene577,1813,1930,2018,2397,1924,2067
gene578,2817,3097,4143,3989,2787,3817
gene579,1704,1523,1677,2303,1674,1722
gene58,41409,29264,28048,51429,44394,50439
gene580,67775,63063,69477,85966,70250,84944
gene581,1097,842,713,1387,1348,1338
gene582,4585,3709,4137,4454,3672,4328
gene583,4248,4770,5680,5154,4205,5241
gene584,2137,1695,1736,2746,2191,2336
gene585,293,259,203,391,293,286
gene586,528,459,454,672,529,701
gene587,2244,1806,1722,3210,2794,2720
gene588,280,234,198,355,284,299
gene589,602,475,586,989,741,860
gene59,33085,28471,31702,38656,31456,36574
gene590,334,280,296,471,367,363
gene591,338,258,271,408,262,360
gene592,267,204,311,359,310,337
gene593,1325,1317,1351,2073,1623,1878
gene594,1069,901,1011,1521,1293,1392
gene595,846,845,995,1124,961,1202
gene596,215,159,170,299,319,315
gene597,141,104,113,149,132,132
gene598,1547,1325,1360,1838,1578,1804
gene599,226,192,194,258,239,236
gene6,2314,2204,2216,2760,2085,2047
gene60,131776,136279,154510,131587,104745,125337
gene600,407,361,359,526,380,452
gene601,212,202,250,319,275,317
gene602,301,259,217,413,327,333
gene603,806,823,829,862,728,754
gene604,5607,5290,5660,7594,5637,6226
gene605,5813,5839,6264,8075,6152,6533
gene606,2125,2175,2255,3394,2563,2491
gene607,3955,3815,3749,6078,4694,5084
gene608,11202,12027,15124,18293,14035,19245
gene609,502,412,527,524,473,561
gene61,152124,159374,189858,161418,124257,145576
gene610,1079,1189,1199,1357,989,1093
gene611,1043,970,1146,1387,1120,1297
gene612,888,813,813,1044,853,1043
gene613,505,479,485,563,442,515
gene614,675,632,667,737,524,685
gene615,48,51,28,38,39,42
gene616,530,580,557,696,595,602
gene617,319,299,332,411,254,333
gene618,644,596,674,821,630,685
gene619,742,662,604,913,650,646
gene62,157215,124364,130146,174171,139996,148238
gene620,1345,1305,1461,1400,1098,1264
gene621,2371,2454,3000,2047,1501,2186
gene622,772,833,828,572,516,751
gene623,15,17,38,14,13,15
gene624,17438,15732,16557,18541,14621,16053
gene625,10318,8866,8502,11409,8970,9668
gene626,14821,16263,21882,15946,12074,13969
gene627,222,189,245,254,206,249
gene628,432,390,413,486,386,517
gene629,5759,4949,4940,6534,5462,6018
gene63,292836,237852,266308,264875,210674,235267
gene630,6157,5463,4871,8244,6959,7515
gene631,16711,16831,18672,19144,15267,18810
gene632,8961,8950,9858,10039,7652,8518
gene633,7900,6861,7730,9420,7803,9500
gene634,2053,1571,1437,2976,2577,2679
gene635,3064,2674,3055,4342,3459,4175
gene636,11077,10662,12112,11342,8858,10285
gene637,2787,3107,3393,3285,2584,2888
gene638,2342,2541,2793,2832,2216,2480
gene639,12716,13537,16407,13344,10157,12854
gene64,5274,5148,5505,5520,4127,4623
gene641,24186,22223,24313,23947,19545,22242
gene642,15525,14314,14778,16504,13104,14286
gene643,6515,5959,6143,6876,5280,5950
gene644,18266,16551,17614,21586,16827,17752
gene645,7250,7617,8252,8445,6433,7025
