V1,Raw_33.1,Raw_33.2,Raw_33.5,Raw_33.6,Raw_86.1,Raw_86.2,Raw_86.5,Raw_86.6
NTHI_RS08250,1815,1995,3786,3200,1220,1438,3943,3227
NTHI_RS08255,16199,20625,34426,25934,6443,16081,26283,24809
NTHI_RS08260,4235,4279,9763,7371,1908,3496,7951,7399
NTHI_RS08265,2859,2986,6377,4337,1255,2728,6276,5055
NTHI_RS08270,6784,9276,13181,9094,4509,9654,19061,12162
NTHI_RS08275,4839,7358,8135,6250,3244,6502,9871,7091
NTHI_RS08280,2650,4487,4873,3779,2059,3707,5916,4356
NTHI_RS08285,7375,9789,7802,6396,3738,7088,7459,5870
NTHI_RS08290,4929,6992,5382,4535,2325,4866,5049,4220
NTHI_RS08295,3273,5126,4579,3822,1872,3523,3817,3325
NTHI_RS08300,34317,46319,44194,34790,16213,32931,44109,33224
NTHI_RS08305,5154,6077,5401,4383,2183,4022,5051,4264
NTHI_RS08310,5947,7084,6088,5538,3327,4752,5603,4590
NTHI_RS08315,3620,4025,4026,3395,2540,2754,3155,2830
NTHI_RS08320,9315,10396,10719,9080,4302,7465,8101,6922
NTHI_RS08325,4137,4046,4772,4036,2124,3035,3358,3033
NTHI_RS08330,1163,1241,1360,1075,572,755,951,853
NTHI_RS08335,518,663,852,641,399,567,957,603
NTHI_RS08340,1591,3364,1546,1075,972,1996,1780,839
NTHI_RS08345,818,1526,672,505,423,1222,1671,742
NTHI_RS08350,26371,25750,30127,23639,11120,20419,28326,23083
NTHI_RS08355,1103,1523,1141,969,863,1129,1316,910
NTHI_RS08360,21492,23559,22877,18840,11044,18814,21176,18498
NTHI_RS08365,1286,1944,1670,1357,895,1512,2199,1320
NTHI_RS08370,40391,46272,51025,42054,14339,30013,34538,31063
NTHI_RS08375,50723,56291,65568,54520,20119,35616,44305,38917
NTHI_RS08380,17585,15556,21999,17523,6229,10145,15744,11601
NTHI_RS08385,17663,24065,17184,14034,8302,16074,7700,5798
NTHI_RS08390,20392,21872,11945,10496,9488,15494,5060,3984
NTHI_RS08395,21063,22766,13100,10725,6323,17241,5576,4719
NTHI_RS08400,31620,54508,24531,21230,13369,34562,11412,10820
NTHI_RS08405,21543,47069,19446,15896,10277,35284,17771,10818
NTHI_RS08410,375,499,608,444,205,328,772,410
NTHI_RS08415,18848,20110,19775,16320,9479,14981,17941,16401
NTHI_RS08420,3956,5844,4144,3457,2653,4300,5298,3631
NTHI_RS08425,6801,6759,6644,5846,2809,4209,5473,4325
NTHI_RS08430,4566,5153,4423,3428,1866,3560,3997,2930
NTHI_RS08435,4858,10173,5206,4175,2391,9300,6930,3799
NTHI_RS08440,4850,7347,5698,4134,3145,6312,5892,4000
NTHI_RS08445,4690,23616,2705,1918,1766,18760,9913,4660
NTHI_RS08450,28466,33714,31497,25610,14639,22679,24837,22283
NTHI_RS08455,19837,22329,20558,17146,9649,14865,16125,14682
NTHI_RS08460,17379,19612,18128,14886,8294,12266,15311,12275
NTHI_RS08465,28679,21971,46917,33817,15651,20216,42515,44522
NTHI_RS08470,5903,6585,6339,5304,3034,5257,6086,5198
NTHI_RS08475,2260,3445,2908,2310,1566,2752,3571,2627
NTHI_RS08480,717,3577,497,348,219,2205,2920,477
NTHI_RS08485,1113,2847,291,250,259,1599,1833,748
NTHI_RS08490,558,659,809,607,430,479,774,565
NTHI_RS08495,2146,2430,2818,2187,1042,1859,2974,2015
NTHI_RS08500,401,525,579,442,209,362,577,456
NTHI_RS08505,914,1050,1231,970,498,827,1555,907
NTHI_RS08510,2628,2803,2968,2334,1438,2489,3528,2495
NTHI_RS08515,2951,4798,2521,1973,1900,3679,2951,2002
NTHI_RS08520,5757,6739,5492,4470,2387,4735,5506,3811
NTHI_RS08525,3285,3754,2944,2559,1717,2835,3183,2295
NTHI_RS08530,7355,9444,7845,6325,2115,7381,8404,6986
NTHI_RS08535,3717,5786,4658,3652,1377,4244,4741,3997
NTHI_RS08540,2740,4352,3551,2961,1694,3501,3522,3099
NTHI_RS08545,17952,23278,21621,17294,7700,18368,22186,17742
NTHI_RS08550,41224,41158,41473,24501,11034,25773,38772,33983
NTHI_RS08560,3426,2483,4082,3143,1707,1655,2850,3156
NTHI_RS08565,157,158,368,278,149,116,323,187
NTHI_RS08570,572,739,521,480,333,630,1046,459
NTHI_RS08575,59,156,85,53,48,75,427,72
NTHI_RS08580,141,191,141,81,66,142,865,182
NTHI_RS08585,46,66,43,24,19,23,286,51
NTHI_RS08590,69,100,78,57,26,63,515,81
NTHI_RS08595,37,71,31,19,23,34,291,38
NTHI_RS08600,60,96,59,51,24,56,267,73
NTHI_RS08605,285,345,220,155,80,250,1805,224
NTHI_RS08610,21,36,14,10,17,11,365,22
NTHI_RS08615,40,69,39,36,17,40,640,60
NTHI_RS08620,29,29,30,23,8,41,110,33
NTHI_RS08625,130,168,137,115,63,108,386,105
NTHI_RS08630,1091,1918,1482,1056,1059,1328,1650,932
NTHI_RS08635,5504,8714,8750,6351,4944,6574,7992,5055
NTHI_RS08640,2707,4490,2971,2253,2661,4289,3592,2870
NTHI_RS08645,743,844,591,461,356,715,2794,615
NTHI_RS08650,1164,1892,1190,1053,812,1457,1618,950
NTHI_RS08655,462,860,539,480,455,659,723,441
NTHI_RS08660,2260,3540,1574,1372,1225,2906,2625,1523
NTHI_RS08665,624,1335,541,410,537,939,1004,534
NTHI_RS08670,69,56,49,37,35,58,325,59
NTHI_RS08675,45,49,24,22,20,36,181,37
NTHI_RS08680,15,13,14,4,9,8,98,9
NTHI_RS08685,26,43,29,33,18,30,293,31
NTHI_RS08695,19,17,8,11,4,11,99,14
NTHI_RS08700,35,74,56,20,28,49,202,38
NTHI_RS08705,57,122,97,54,38,73,672,77
NTHI_RS08710,105,122,73,54,34,91,948,69
