geneid,X15_OFF_1,X15_OFF_2,X15_OFF_3,X15_ON_1,X15_ON_2,X15_ON_3
DLJ98_06010,1821,4198,3175,3842,2405,3761
DLJ98_06020,5189,12806,9622,10869,6503,10433
DLJ98_06040,189,516,366,484,310,651
DLJ98_06045,887,1745,1485,1314,938,1235
DLJ98_06060,3367,8231,6268,6950,4425,7213
DLJ98_06070,1727,4422,3288,4338,2746,3990
DLJ98_06075,4461,11290,8104,10885,6681,10580
DLJ98_06085,2189,4938,3813,4366,2575,4170
DLJ98_06090,3982,9544,7352,8888,5608,8913
DLJ98_06095,2543,6348,4581,5409,3414,5146
DLJ98_06100,2797,7173,5153,5117,3314,5299
DLJ98_06115,2559,5905,4510,6256,3732,6029
DLJ98_06130,345,859,692,1097,746,1124
DLJ98_06140,2138,3998,3646,5084,3342,6352
DLJ98_06145,136,251,245,348,269,374
DLJ98_06150,1,2,1,2,0,0
DLJ98_06155,313,675,537,794,483,816
DLJ98_06160,2933,6957,5218,6892,4279,6491
DLJ98_06165,1964,4429,3185,3177,1965,2804
DLJ98_06170,836,2056,1567,1644,930,1713
DLJ98_06175,1166,2822,2114,2036,1292,2411
DLJ98_06180,62022,143294,109128,119350,76117,120624
DLJ98_06185,1422,2914,2260,4434,2912,4205
DLJ98_06190,614,1537,1113,2623,1552,2466
DLJ98_06195,8097,17879,13992,27178,16400,25219
DLJ98_06200,5049,11282,8717,17174,10496,17092
DLJ98_06205,528,1218,954,1204,720,1326
DLJ98_06215,13034,28308,22076,27470,16952,25228
DLJ98_06220,2645,5882,4526,5380,3339,5391
DLJ98_06225,459,1126,840,454,303,409
DLJ98_06235,735,1830,1239,1421,912,1588
DLJ98_06240,1025,2481,1874,1829,1256,2273
DLJ98_06245,713,1773,1283,1401,855,1647
DLJ98_06260,3484,9165,6621,7358,4613,7597
DLJ98_06265,858,1805,1323,1579,858,1081
DLJ98_06275,128,350,238,289,183,259
DLJ98_06285,3888,8759,6544,9698,5974,10571
DLJ98_06300,2855,6858,5130,6007,3862,5988
DLJ98_06315,1285,2955,2287,2862,1664,2438
DLJ98_06320,634,1719,1245,1464,857,1483
DLJ98_06330,38,69,53,69,33,26
DLJ98_06340,15480,37248,27810,30576,19540,32936
DLJ98_06345,3292,8213,6231,5403,3462,5816
DLJ98_06360,2938,6863,5011,9004,5664,9683
DLJ98_06380,561,1181,977,1898,1117,1723
DLJ98_06395,3609,9477,6892,5812,3643,5723
DLJ98_06400,2883,7027,5256,4687,2797,4707
DLJ98_06415,2667,6072,4514,7511,4735,7934
DLJ98_06420,1030,2273,1748,2619,1536,2397
DLJ98_06425,8156,17323,13452,16147,10241,15712
DLJ98_06430,27969,65143,49608,44537,28262,45488
DLJ98_06440,2051,4744,3594,4305,2683,3988
DLJ98_06450,2026,4501,3453,3460,2275,3821
DLJ98_06460,1756,4079,3099,4348,2758,4667
DLJ98_06465,120,253,190,307,179,380
DLJ98_06470,40,63,55,109,48,63
DLJ98_06490,483,1231,950,761,418,673
DLJ98_06495,9350,21259,16193,17562,10492,13195
DLJ98_06500,3226,7745,5542,7996,5179,7741
DLJ98_06515,159,427,284,396,239,288
DLJ98_06540,124926,289741,222145,497402,312508,470490
DLJ98_06545,69087,157620,121072,273204,169932,264634
DLJ98_06550,56803,122429,96121,223599,136951,208323
DLJ98_06555,57259,134293,103014,223285,135793,207685
DLJ98_06565,89161,196362,151885,370226,229624,310988
DLJ98_06570,29263,68032,52004,127715,78645,111508
DLJ98_06575,9459,19160,15275,45990,27048,36591
DLJ98_06585,18131,38360,31117,84080,52759,75597
DLJ98_06590,47663,102008,77791,221798,140984,213862
DLJ98_06595,23965,53639,42223,106294,68419,103103
DLJ98_06600,26594,58842,46337,118292,71638,107638
DLJ98_06605,48812,110421,85099,201195,125159,194358
DLJ98_06610,21369,50500,36935,84077,51568,81820
DLJ98_06615,39626,89842,67411,154772,93091,143294
DLJ98_06625,21610,48243,38595,97244,60222,92867
DLJ98_06630,31559,70336,55215,158031,97790,141590
DLJ98_06635,59310,129925,104097,297508,185159,268583
DLJ98_06645,24384,53816,41944,127375,78168,112730
DLJ98_06650,79109,173594,135398,378193,247161,366913
DLJ98_06655,17551,40022,31574,89066,53776,79781
DLJ98_06660,39521,90450,69434,192066,116204,163298
DLJ98_06665,49611,114111,87526,234703,143709,220939
DLJ98_06670,38212,91385,70088,175788,105426,163149
DLJ98_06695,1433,3288,2548,3172,2087,3602
DLJ98_06700,6659,16214,11870,12664,7811,12770
DLJ98_06715,5123,12074,9048,11629,7510,12234
DLJ98_06725,39450,95690,71850,27090,16774,26763
DLJ98_06735,11154,26505,20109,13164,7928,12148
DLJ98_06740,13684,30055,23363,17624,10727,16138
DLJ98_06750,3351,7373,5639,8122,4916,5822
DLJ98_06755,1952,3131,2878,2891,1841,1364
DLJ98_06760,85822,207859,154192,87209,55379,86580
DLJ98_06765,53155,123490,92862,62919,38935,62820
DLJ98_06785,34933,81190,60910,123175,77761,125737
DLJ98_06815,1068,2428,1963,3457,2179,3200
DLJ98_06840,408,1191,909,1452,804,1228
DLJ98_06845,4526,9912,8087,7889,5535,11093
DLJ98_06850,4742,11198,8709,10129,6391,11308
DLJ98_06855,505,1319,941,1102,639,1308
DLJ98_06860,234,540,393,892,547,721
DLJ98_06870,15856,34292,27021,66821,40555,64840
DLJ98_06875,32995,72908,57303,144762,92694,150104
DLJ98_06880,10607,25666,19311,18783,11728,19051
DLJ98_06885,2887,7402,5519,6466,4140,7346
DLJ98_06895,2407,6218,4512,4241,2763,4561
DLJ98_06900,1530,3673,2922,3129,1973,3007
DLJ98_06905,113,273,236,316,200,319
