geneid,Off1,On1,On2,Off3,On3,Off2
723_01482,878,556,619,870,616,932
723_01486,2729,3307,3425,2972,3626,3035
723_01487,2558,2591,2858,2859,2873,2803
723_01489,14034,17635,18260,14965,18405,14924
723_01498,71740,113570,119108,76524,116346,75719
723_01499,16338,18402,20348,18351,20145,16529
723_01509,56444,64520,67107,61085,66284,59728
723_01521,3839,3604,3694,3882,3627,4058
723_01522,15690,20810,21065,16474,21033,16336
723_01527,2667,2592,2810,2949,2621,2741
723_01528,19946,21941,22859,21177,22744,21434
723_01532,7777,8217,8945,8418,8485,7978
723_01541,9477,10341,10808,9923,10615,10159
723_01544,75028,66611,69355,78882,69036,80351
723_01551,1790,2753,2918,1921,2784,1945
723_01554,109,321,340,125,354,153
723_01564,897720,935626,986743,952710,983051,933485
723_01567,444,427,408,505,426,457
723_01568,1761,1092,1048,1818,1046,1876
723_01571,5800,10455,11098,6129,11069,6151
723_01576,848,448,497,912,527,982
723_01577,5998,4081,3880,5525,4277,6447
723_01578,675,488,441,568,483,733
723_01583,3001,3503,3738,3248,3631,2997
723_01587,117,72,70,109,59,114
723_01589,8792,4552,4599,9236,4386,9732
723_01590,5845,2979,3053,5906,3013,6352
723_01591,3118,1476,1487,3618,1475,3690
723_01592,2035,4087,6747,2091,1602,4117
723_01593,3230,1274,1236,3368,1262,3546
723_01594,9192,9978,12831,9727,6501,13956
723_01595,21,18,26,21,29,29
723_01599,367,202,229,328,242,303
723_01602,14888,14294,14808,15914,14542,15961
723_01605,6705,8347,8658,7221,8518,7032
723_01606,10799,12963,13476,11593,13325,11213
723_01607,15370,20296,20903,16161,21043,16161
723_01608,1595,1993,2029,1702,2025,1750
723_01610,4750,4893,4920,4903,4995,4937
723_01612,4177,4461,4397,4535,4335,4450
723_01614,3652,3448,3593,3920,3504,3790
723_01616,143,147,155,162,150,157
723_01618,451,143,143,472,139,534
723_01622,7245,8331,9038,7829,9004,7773
723_01626,286,190,196,319,195,346
723_01627,3377,3120,3141,3322,3147,3505
723_01628,3083,2739,2725,3147,2723,3170
723_01629,11,18,13,17,14,12
723_01633,144,101,96,180,83,201
723_01634,594,443,432,628,418,644
723_01636,9191,7002,7357,9707,7301,9636
723_01641,3221,3242,3467,3374,3401,3467
723_01642,2195,2117,2221,2282,2229,2298
723_01650,3862,4599,4895,4149,4857,4140
723_01654,542,547,590,570,556,551
