,Gal.1,Gal.2,Glc.1,Glc.2,NAG.1,NAG.2,Fru.1,Fru.2
GXM22_RS00510,117.6420818,108.5759845,98.52333661,91.9650126,79.13227171,117.6230489,65.37710193,81.64297264
GXM22_RS00515,271.5571387,358.7028822,459.7755709,350.4888813,434.5994605,347.3339444,275.7572633,246.0952461
GXM22_RS00520,10.78385749,12.06399828,9.578657726,13.28383515,7.53640683,4.151401726,8.381679734,16.32859453
GXM22_RS00525,23.52841635,16.08533104,16.4205561,14.30566863,18.84101707,13.83800575,30.17404704,16.32859453
GXM22_RS00530,62.7424436,62.73279105,54.73518701,57.22267451,63.43142415,42.89781784,75.43511761,71.14601902
GXM22_RS00535,193.1290842,188.1983732,236.7296838,180.8645248,225.464171,206.1862857,180.2061143,202.9411034
GXM22_RS00540,1796.982799,1776.624813,2293.404336,2095.780454,1448.246179,1190.068495,1439.972578,1833.4679
GXM22_RS00545,455.8630668,451.1935356,392.7249668,467.9997308,376.1923076,386.0803606,446.7435298,514.3507277
GXM22_RS00550,99.9957695,122.2485159,123.1541708,159.4060218,136.2833568,145.2990604,87.16946924,118.9654744
GXM22_RS00555,117.6420818,120.6399828,105.365235,147.1440202,133.1431873,134.2286558,125.725196,145.7910226
GXM22_RS00560,61.76209292,68.36265692,56.10356668,71.52834313,60.91928854,96.86604028,72.08244571,86.30828537
GXM22_RS00565,141.1704981,131.095448,90.31305856,105.2488478,101.7414922,99.63364144,92.19847708,93.30625445
GXM22_RS00570,245.0876703,247.714098,240.8348228,246.2618671,209.1352895,174.3588725,191.9404659,162.1196171
GXM22_RS00575,323.5157248,325.7279535,333.8846407,247.2837005,231.1164761,199.2672829,192.7786339,230.9329798
GXM22_RS00580,378.415363,400.5247429,342.0949188,373.9910512,420.1546807,442.8161842,409.864139,488.6915077
GXM22_RS00585,449.9809627,623.3065778,682.8214579,597.7725819,639.3385127,654.5376722,701.5465938,654.3101093
GXM22_RS00590,24397.98741,24954.78257,15112.38513,15560.48013,2461.892898,2183.637308,1600.900829,1700.506487
GXM22_RS00595,1787.179292,1933.456791,1431.32514,1582.82005,1679.362655,1681.317699,2339.326814,1978.092594
GXM22_RS00600,2743.021206,2999.914239,2283.825678,2354.304323,2586.24361,2780.055356,3100.383334,2995.130768
GXM22_RS00605,1241.123963,1340.712342,1022.179617,1050.444811,1211.477398,1043.385634,1649.514572,1370.435612
GXM22_RS00610,1492.093737,1442.049928,1035.863414,1221.091001,1390.46706,1661.944491,2141.519172,2274.339952
GXM22_RS00615,2.941052044,0.804266552,2.73675935,1.021833473,1.256067805,1.383800575,10.05801568,2.332656361
GXM22_RS00620,0.980350681,1.608533104,0,1.021833473,2.51213561,0,3.352671894,2.332656361
GXM22_RS00625,0,1.608533104,1.368379675,0,0.628033902,5.535202302,5.029007841,2.332656361
GXM22_RS00630,2.941052044,0.804266552,1.368379675,4.087333893,0,4.151401726,4.190839867,3.498984542
GXM22_RS00635,0.980350681,0,0,0,0.628033902,0,3.352671894,3.498984542
GXM22_RS00640,368.6118562,487.3855305,368.0941326,362.750883,1300.658212,1511.110228,1692.261138,1233.975215
GXM22_RS00645,91.17261336,105.3589183,105.365235,123.6418503,142.5636959,117.6230489,169.3099306,187.7788371
