,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG0338,997,1605,1462,2055,2086,1622
PG0339,1798,3927,4023,4588,4663,2421
predicted RNA,3981,8941,9665,10782,11037,5148
PG0340,963,1965,2084,2609,2560,1480
PG0343,647,938,862,1338,1382,1038
PG0344,396,544,496,859,767,805
PG0345,196,287,232,352,354,373
PG0346,580,897,743,1117,945,953
PG0347,1141,1722,1413,2253,2089,1905
PG0348,934,1281,1079,1462,1392,1507
PG0349,537,735,676,862,729,818
PG0350,7789,10402,8007,13186,9985,14055
PG0351,235,294,283,375,266,430
PG0352,296,549,463,708,667,572
PG0354,30,52,61,66,61,27
PG0355,1004,1454,1069,1907,1474,1953
PG0356,868,1061,845,1172,1042,1484
PG0357,1364,1849,1533,2166,1710,2189
PG0358,512,624,470,557,481,755
PG0359,583,788,658,890,866,900
PG0360,2216,3284,2965,3849,3218,3084
PG0361,4219,5546,4602,6438,5347,6723
PG0362,3211,4573,3556,5563,5051,5026
PG0363,1546,2587,2311,3131,2854,2427
PG0364,857,1258,1010,1833,1660,1580
PG0365,102,160,147,279,254,256
PG0366,315,659,468,1184,1350,787
PG0368,1200,1645,1320,2341,2137,2196
PG0369,244,297,213,440,396,498
PG0371,9,18,16,27,23,9
PG0373,846,1873,1934,2249,2268,1285
PG0374,28,54,54,64,53,41
PG0375,2336,3735,2931,4619,4491,3726
PG0376,2279,3180,2349,3794,3891,3453
PG0377,5774,8288,5893,9560,9236,8481
PG0378,6485,7776,5533,9682,8701,9883
PG0380,653,1090,776,1314,1197,1105
PG0381,515,641,526,1049,796,1148
PG0382,5189,11242,10931,12892,13411,7179
PG0383,2688,3976,3210,4901,4610,4453
PG0384,2415,3263,2556,3614,3156,3779
PG0385,11437,26249,24122,30701,31295,14146
PG0386,11006,19413,15921,21418,19104,14399
PGt06,1246,1656,1493,1829,1456,1878
PGt07,1197,1534,1264,1713,1314,1894
PG0387,76928,95969,65846,114521,88793,132652
PGt08,419,486,348,467,384,663
PG0389,51368,86802,69188,106104,100964,69933
PG0390,27043,40687,30211,50481,44615,37056
PG0391,43943,62082,46468,68389,58953,58637
PG0392,28495,38348,27674,37887,31352,36088
predicted RNA,1056,1410,1035,1293,1046,1258
PG0393,30588,50543,43184,49571,45297,38564
PG0394,36158,42287,33815,43108,36354,42694
PG0395,53780,68310,54842,72873,61788,71145
PG0396,637,913,748,1240,1100,880
PG0397,282,324,269,524,417,535
PG0398,5343,7733,6493,9490,7877,8481
PG0399,916,1071,860,1666,1311,1817
PG0400,2480,3292,2569,4427,4038,4608
PG0401,2758,4280,3561,5850,5478,5455
PG0403,876,1392,1035,2070,1969,1730
PG0404,1710,2853,2352,3862,3886,3192
PG0408,415,620,630,716,719,613
PG0409,1218,1723,1547,1671,1375,1618
PG0410,7340,12236,12420,12934,11261,9209
PG0411,11178,17369,17262,17146,14120,12780
PG0412,1547,2139,1660,3061,2757,2683
PG0413,350,549,418,720,660,697
PG0414,2449,3676,2999,5308,4617,5090
PG0415,6964,11120,8941,13809,12128,10789
PG0416,12762,19374,15721,23572,20359,19857
PG0417,6482,9365,7705,10990,9196,9572
PG0418,3058,4320,3412,5481,4636,4864
PG0419,2917,4305,3950,4437,4083,3912
PG0421,2139,3236,2531,3836,3324,4074
PG0422,631,1410,1385,1424,1532,779
PG0423,2209,4953,4949,5117,5341,2686
PG0424,1222,2125,1967,2404,2176,1535
PG0425,247,428,385,535,517,506
PG0426,347,512,445,658,499,583
PG0427,41,69,69,76,73,74
PG0428,4,4,7,8,9,5
PG0429,2830,4211,3268,5781,5789,4572
PG0430,1870,2620,1882,3006,2849,3190
PG0431,65,85,59,68,61,85
PG0432,710,895,821,868,843,978
PG0433,525,626,567,670,663,645
PG0434,1116,1665,1369,1792,1724,1675
PG0435,741,1120,953,1355,1252,1075
PG0436,5799,7519,5794,9218,7677,9723
PG0437,716,834,657,1000,812,1394
PG0438,368,493,417,660,536,652
PG0439,162,262,212,272,267,307
PG0441,371,701,591,862,931,729
PG0442,61,120,124,73,79,44
PG0443,2866,5140,4956,4157,4094,2468
PG0444,1113,1958,1555,1713,1834,1419
PG0445,1808,2417,2033,1886,1686,1975
PG0446,374,615,551,666,544,471
PG0447,195,249,192,222,227,218
PG0448,4563,5161,3898,5965,4335,8419
PG0449,13959,17757,13168,21945,16607,23331
PG0450,1653,2115,1550,2537,1841,2917
PG0451,3877,6641,5747,7385,6342,4978
PG0452,17447,25806,20931,31986,28608,31250
