locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_0572,115,76,615,317
PGN_0573,505,427,1166,873
PGN_0574,418,425,215,170
PGN_0575,23479,19060,15716,9415
PGN_0576,3,4,3,6
PGN_0577,20962,17490,18600,11168
PGN_0578,465,465,222,156
PGN_0579,230,243,286,153
PGN_0580,1905,1575,3801,2181
PGN_0581,69,75,108,56
PGN_0582,170,139,244,149
PGN_0583,406,296,1140,611
PGN_0584,110,110,130,112
PGN_0585,529,389,262,165
PGN_0586,27,34,35,32
PGN_0587,23457,18935,18675,11102
PGN_0588,506,477,537,391
PGN_0589,133,106,317,156
PGN_0590,11445,8491,16516,9696
PGN_0591,1666,1351,2256,1257
PGN_0592,64,53,239,151
PGN_0593,56,25,140,114
PGN_0594,53,48,142,102
PGN_0595,47,82,76,81
PGN_0596,6,6,12,10
PGN_0597,10,16,15,21
PGN_0598,49,50,63,43
PGN_0599,25,34,57,28
PGN_0600,24,40,40,16
PGN_0601,32,34,24,12
PGN_0602,22122,18033,17716,10603
PGN_0603,56,58,106,48
PGN_0604,3237,2405,28200,16757
PGN_0605,22826,18345,18048,10706
PGN_0606,624,560,1381,907
PGN_0607,2200,1937,11764,8534
PGN_0608,471,388,1146,719
PGN_0609,756,653,1417,867
PGN_0610,6066,4652,19285,13010
PGN_0611,805,690,10003,6599
PGN_0612,2099,1744,11547,6826
PGN_0613,248,285,827,437
PGN_0614,2714,2311,3709,2546
PGN_0615,5,9,21,7
PGN_0616,937,676,2553,1743
PGN_0617,1247,1098,2328,1298
PGN_0618,1182,1081,5035,3768
PGN_0619,169,145,481,351
PGN_0620,2152,1873,3941,3059
PGN_0621,888,817,1269,725
PGN_0622,1402,1249,4263,3004
PGN_0623,2138,1812,4845,3126
PGN_0624,1977,1562,3055,2011
PGN_0625,1637,1267,3200,1723
PGN_0626,478,451,1179,735
PGN_0627,497,395,1052,711
PGN_0628,469,424,1199,711
PGN_0629,195,178,518,328
PGN_0630,2586,2348,8180,5464
PGN_0631,3951,3385,9824,7024
PGN_0632,4694,3704,9164,5131
PGN_0633,134,148,420,260
PGN_0634,376,339,984,699
PGN_0635,854,752,2599,1733
PGN_0636,701,508,3134,1646
PGN_0637,9265,8267,13648,8775
PGN_0638,2631,2441,6829,4416
PGN_0639,1590,1521,6538,4079
PGN_0640,2125,1830,6129,3422
PGN_0641,7078,5845,16760,9460
PGN_0642,1270,1110,3751,2453
PGN_0643,5306,4112,11553,7823
PGN_0644,26182,20774,16049,9448
PGN_0645,1009,862,3289,2022
PGN_0646,424,354,2137,1359
PGN_0647,1643,1429,2646,1613
PGN_0648,2210,1894,3446,1998
PGN_0649,936,780,2563,1635
PGN_0650,10037,7079,13513,8292
PGN_0651,16,17,73,33
PGN_0652,121,113,121,49
PGN_0653,113,100,1725,842
PGN_0654,6393,5715,58842,48250
PGN_0655,960,962,9166,7486
