locus_tag,PG_DMSO_1,PG_DMSO_2,PG_PABA_1,PG_PABA_2
PGN_1646,957,770,1954,1323
PGN_1647,2023,1441,8616,4885
PGN_1648,1318,1053,7952,3928
PGN_1649,19,11,39,34
PGN_1650,177,177,466,271
PGN_1651,334,315,1728,1125
PGN_1652,852,713,1790,1199
PGN_1653,523,418,996,664
PGN_1654,4222,3495,10952,6939
PGN_1655,3906,3195,13268,8416
PGN_1656,2088,2094,14287,10596
PGN_1657,2703,2738,12497,9693
PGN_1658,2663,2801,19174,14742
PGN_1659,664,654,4641,3848
PGN_1660,345,311,1178,636
PGN_1661,993,952,1049,707
PGN_1662,33,25,39,22
PGN_1663,43,46,30,19
PGN_1664,94,98,66,58
PGN_1665,43,46,37,26
PGN_1666,5972,5375,15353,10907
PGN_1667,1784,1524,2424,1407
PGN_1668,984,803,1173,669
PGN_1669,22624,17980,16880,10053
PGN_1670,67919,49253,112045,65943
PGN_1671,25634,20093,19229,11128
PGN_1672,1951,1548,2393,1486
PGN_1673,2340,1937,3626,2457
PGN_1674,1307,1146,4136,3038
PGN_1675,887,813,1694,1117
PGN_1676,1518,1340,2778,1827
PGN_1677,496,465,1050,716
PGN_1678,186,125,607,341
PGN_1679,56,57,67,72
PGN_1680,75,86,109,81
PGN_1681,80,81,95,73
PGN_1682,91,101,164,125
PGN_1683,99,137,182,139
PGN_1684,8,12,25,24
PGN_1685,1705,1434,6120,4272
PGN_1686,258,200,233,169
PGN_1687,530,453,601,393
PGN_1688,1203,1040,1450,947
PGN_1689,2122,1875,8541,6647
PGN_1690,1451,1077,3965,2614
PGN_1691,1395,1236,3434,2604
PGN_1692,48,54,103,96
PGN_1693,269,284,790,646
PGN_1694,2306,1867,5686,3953
PGN_1695,5860,4974,54012,38106
PGN_1696,57,37,103,58
PGN_1697,324,267,1256,850
PGN_1698,364,270,976,491
PGN_1699,760,643,2844,1940
PGN_1700,1863,1664,3036,2039
PGN_1701,1181,1012,2326,1397
PGN_1702,12520,11048,52886,36084
PGN_1703,1029,841,1813,1123
PGN_1704,9321,7752,31561,20938
PGN_1705,1924,1604,5568,3592
PGN_1706,114,114,261,150
PGN_1707,191,167,639,382
PGN_1708,503,426,1112,734
PGN_1709,439,303,812,464
PGN_1710,592,498,2276,1582
PGN_1711,501,431,3508,2680
PGN_1712,1192,1089,2278,1533
PGN_1713,2346,1836,3144,1760
PGN_1714,1372,1103,2907,2075
PGN_1715,1591,1462,3127,2316
PGN_1716,5252,4539,12336,9395
PGN_1717,1621,1433,2920,2115
PGN_1718,2110,2018,2682,1922
PGN_1719,715,639,1098,838
PGN_1720,217,230,595,357
PGN_1721,832,733,2751,1871
PGN_1722,590,545,1941,1164
PGN_1723,524,495,1344,882
PGN_1724,209,188,353,182
PGN_1725,2024,1532,1051,658
PGN_1726,498,377,264,187
PGN_1727,24448,19611,21044,12440
PGN_1728,129678,100329,790881,631263
PGN_1729,125,126,195,145
PGN_1730,133,116,439,291
PGN_1731,10,7,35,35
PGN_1732,267,188,163,148
PGN_1733,274913,243951,936936,946551
PGN_1734,476,433,1114,806
PGN_1735,2089,1849,13624,8985
PGN_1736,1592,1932,10821,6110
PGN_1737,1373,1118,3214,2345
PGN_1738,785,651,662,378
PGN_1739,16496,11487,94465,50764
PGN_1740,6568,4014,36758,12939
PGN_1741,755,643,1468,954
PGN_1742,347,349,409,287
PGN_1743,4561,3702,10868,7379
PGN_1744,1989,1495,14911,7943
PGN_1745,4103,3433,8475,4996
PGN_1746,6389,6130,7377,5441
PGN_1747,714,628,1766,1083
PGN_1748,346,298,675,414
PGN_1749,549,460,1966,1449
PGN_1750,823,715,3029,2292
PGN_1751,1918,1584,7517,5468
PGN_1752,998,839,6312,3729
PGN_1753,5193,4978,28335,22174
PGN_1754,1285,1273,4789,3424
PGN_1755,5088,5183,16353,13034
PGN_1756,9811,7057,22242,15666
PGN_1757,15330,13998,20970,14963
PGN_1758,1172,925,2992,1778
PGN_1759,1706,1485,6977,5149
PGN_1760,710,647,2010,1525
PGN_1761,1000,874,2169,1866
PGN_1762,782,689,4606,3481
PGN_1763,323,303,957,657
PGN_1764,297,253,1060,724
PGN_1765,4,3,4,7
PGN_1766,15,9,19,13
PGN_1767,7857,5282,31281,17351
PGN_1768,2494,2208,7632,4396
PGN_1769,160,131,1844,1031
PGN_1770,21357,15151,78763,43269
PGN_1771,2554,2324,10733,7988
PGN_1772,3371,3125,10724,8225
PGN_1773,4611,3671,14933,9921
PGN_1774,70,62,700,386
PGN_1775,1468,1210,3737,2469
PGN_1776,841,697,1920,1338
PGN_1777,1106,908,4486,2625
PGN_1778,59,42,25,22
PGN_1779,82,59,101,56
PGN_1780,736,558,4258,2439
PGN_1781,257,251,1374,996
PGN_1782,3590,2801,7997,4768
PGN_1783,880,736,1959,1414
PGN_1784,760,701,4603,3648
PGN_1785,1644,1354,7330,4977
PGN_1786,3221,2558,12577,7641
PGN_1787,362,338,686,419
PGN_1788,360,276,829,527
PGN_1789,288,222,408,205
PGN_1790,14,18,69,34
PGN_1791,229,176,554,356
PGN_1792,1342,1076,2500,1685
PGN_1793,965,791,3632,2131
PGN_1794,862,751,978,553
PGN_1795,3545,2601,4047,2273
PGN_1796,2475,1949,19594,11301
PGN_1797,135,108,488,256
PGN_1798,427,355,418,251
PGN_1799,120,106,110,57
PGN_1800,2095,1726,8209,5836
PGN_1801,382,357,521,406
PGN_1802,377,434,1185,837
PGN_1803,576,607,1996,1480
PGN_1804,1298,1267,9271,5379
PGN_1805,1922,1879,8306,6108
PGN_1806,1127,1087,4779,3219
PGN_1807,579,581,3431,2288
PGN_1808,2231,1860,7870,4641
PGN_1809,1932,1504,2737,1532
PGN_1810,225,177,351,259
PGN_1811,5611,5376,10733,7313
PGN_1812,2568,2415,17027,13348
PGN_1813,3022,2183,4880,2957
PGN_1814,843,586,1790,1212
PGN_1815,76,67,372,287
PGN_1816,473,386,1633,1049
PGN_1817,126,135,255,170
PGN_1818,4100,3590,11809,7437
PGN_1819,1994,1490,1303,690
PGN_1820,281,276,279,158
PGN_1821,1539,1296,2980,1819
PGN_1822,35,20,46,23
PGN_1823,37,47,79,57
PGN_1824,87,87,163,113
PGN_1825,349,327,212,175
PGN_1826,26,39,24,30
PGN_1827,6007,4941,4213,3019
PGN_1828,816,696,1437,928
PGN_1829,327,260,547,342
PGN_1830,3304,2566,5483,3184
PGN_1831,1232,1126,1597,1014
PGN_1832,1890,1800,4666,3380
PGN_1833,1246,1070,2114,1508
PGN_1834,839,752,2577,1728
PGN_1835,9,22,25,17
PGN_1836,456,405,292,158
PGN_1837,4080,3522,9123,5499
PGN_1838,12021,10207,9297,5957
PGN_1839,18327,13622,9291,5218
PGN_1840,1272,1027,4399,2450
PGN_1841,2349,1896,7238,4168
PGN_1842,1531,1328,4782,2700
PGN_1843,1107,908,2731,1615
PGN_1844,1087,882,2904,1696
PGN_1845,229,216,648,381
PGN_1846,401,353,1172,664
PGN_1847,2650,2140,7245,4271
PGN_1848,7821,6009,21887,12851
PGN_1849,2216,1745,3749,2417
PGN_1850,781,664,1707,1012
PGN_1851,3888,3342,8056,4953
PGN_1852,1584,1310,5279,3308
PGN_1853,1724,1415,7984,5222
PGN_1854,842,707,4413,3024
PGN_1855,466,421,2053,1336
PGN_1856,1343,979,3232,2051
PGN_1857,837,613,1286,854
PGN_1858,888,658,1388,860
PGN_1859,717,563,1063,745
PGN_1860,527,467,624,418
PGN_1861,669,527,1619,1122
PGN_1862,1333,1149,3150,2384
PGN_1863,718,639,1756,1319
PGN_1864,345,306,600,475
PGN_1865,1405,1206,2481,2072
PGN_1866,623,520,790,561
PGN_1867,1681,1356,2720,1909
PGN_1868,1289,1163,2376,1663
PGN_1869,257,269,673,432
PGN_1870,2163,1796,3896,2919
PGN_1871,1352,1058,1592,1023
PGN_1872,425,386,1323,986
PGN_1873,946,941,1965,1335
PGN_1874,5190,4292,7891,4878
PGN_1875,620,603,1132,839
PGN_1876,389,405,646,504
PGN_1877,3818,3283,11542,7805
PGN_1878,3409,3022,7770,5352
PGN_1879,261,213,958,702
PGN_1880,9937,7858,33403,24715
PGN_1881,72,60,270,159
PGN_1882,2140,1616,9032,5248
PGN_1883,1664,1443,7716,5306
PGN_1884,548,515,1121,682
PGN_1885,958,878,5381,3247
PGN_1886,657,666,1608,1101
PGN_1887,68,61,121,67
PGN_1888,1083,955,4099,2947
PGN_1889,1104,804,6262,3532
PGN_1890,1134,864,6952,3818
PGN_1891,912,812,4654,2609
PGN_1892,951,913,4225,2875
PGN_1893,1687,1345,2076,1141
PGN_1894,4,6,2,3
PGN_1895,345,264,854,644
PGN_1896,339,380,855,584
PGN_1897,736,648,1589,1040
PGN_1898,280,279,416,274
PGN_1899,973,869,2030,1260
PGN_1900,154,114,302,176
PGN_1901,19478,15735,17547,10628
PGN_1902,1116,1020,2018,1167
PGN_1903,254,218,3032,1777
PGN_1904,2358,1934,4914,3204
PGN_1905,725,594,777,442
PGN_1906,2199,1764,4737,2863
PGN_1907,195,188,203,112
PGN_1908,2,3,2,2
PGN_1909,5,5,8,5
PGN_1910,184,156,266,191
PGN_1911,660,522,318,173
PGN_1912,90,92,117,74
PGN_1913,529,386,287,142
PGN_1914,10957,9035,13758,8118
PGN_1915,131,117,98,114
PGN_1916,445,475,378,447
PGN_1917,248,297,318,383
PGN_1918,206,252,237,293
PGN_1919,104,139,175,148
PGN_1920,276,343,451,407
PGN_1921,71,71,77,68
PGN_1922,490,390,374,231
PGN_1923,16,17,41,21
PGN_1924,314,237,219,147
PGN_1925,1032,1083,1488,1029
PGN_1926,19151,15634,18110,11031
PGN_1927,2334,1871,5261,3661
PGN_1928,2028,1675,3136,2178
PGN_1929,1096,905,2797,1838
PGN_1930,643,504,5890,3685
PGN_1931,735,640,7493,4569
PGN_1932,1283,1111,4631,2683
PGN_1933,2275,1748,5209,3163
PGN_1934,663,541,2005,1144
PGN_1935,1048,843,7198,4055
PGN_1936,38,35,35,22
PGN_1937,1947,1618,4406,2972
PGN_1938,857,807,2487,1867
PGN_1939,550,450,1499,856
PGN_1940,412,377,925,567
PGN_1941,1090,907,2738,1967
PGN_1942,374,340,1016,705
PGN_1943,748,596,4668,2663
PGN_1944,147,166,298,185
PGN_1945,431,409,798,517
PGN_1946,1680,1384,2801,1837
PGN_1947,648,610,2055,1362
PGN_1948,3758,3171,4712,3180
PGN_1949,137,130,374,264
PGN_1950,32,17,14,8
PGN_1951,235,176,197,128
PGN_1952,10,4,30,17
PGN_1953,323,272,1253,830
PGN_1954,451,494,1477,819
PGN_1955,3948,3187,28518,17747
PGN_1956,522,407,1415,883
PGN_1957,22846,18630,17107,10173
PGN_1959,369,368,1294,653
PGN_1960,764,584,4611,2595
PGN_1961,1105,983,2050,1405
PGN_1962,6406,5630,27713,18862
PGN_1963,2944,2619,13136,8016
PGN_1964,7005,6418,45395,28211
PGN_1965,3299,2529,19296,11554
PGN_1966,1086,888,21203,13165
PGN_1967,1385,1351,2352,1460
PGN_1968,2736,2313,10183,7093
PGN_1969,7747,6541,4223,2781
PGN_1970,114604,85954,503251,417593
PGN_1971,4,5,7,6
PGN_1972,9,2,11,6
PGN_1973,194,164,1005,634
PGN_1974,1129,976,1526,988
PGN_1975,862,769,1050,708
PGN_1976,1796,1710,3539,2654
PGN_1977,911,746,2671,1601
PGN_1978,22619,16482,39955,23367
PGN_1979,8640,7540,8368,5546
PGN_1980,1128,1096,2629,2064
PGN_1981,462,495,1151,921
PGN_1982,327,337,461,343
PGN_1983,245,282,530,378
PGN_1984,356,259,413,273
PGN_1985,310,260,382,258
PGN_1986,1919,1566,2430,1519
PGN_1987,298,251,1212,797
PGN_1988,1383,1129,2317,1307
PGN_1989,873,826,1550,1011
PGN_1990,3324,2519,8706,4826
PGN_1991,1863,1416,2742,1849
PGN_1992,3683,2907,6037,4124
PGN_1993,2079,1851,4944,2913
PGN_1994,6181,4290,10501,6309
PGN_1995,37313,24588,62014,35141
PGN_1996,1370,1239,2609,1549
PGN_1997,1032,807,1401,838
PGN_1998,7341,5486,41206,23162
PGN_1999,6221,5596,12060,7255
PGN_2000,44,28,50,18
PGN_2001,736,585,1601,1016
PGN_2002,14,20,30,20
PGN_2003,1009,959,3336,2342
PGN_2004,500,480,1293,819
PGN_2005,4723,3618,8940,5322
PGN_2006,3440,2870,8081,4877
PGN_2007,606,623,2103,1447
PGN_2008,1166,882,2287,1285
PGN_2009,134,115,220,122
PGN_2010,479,416,1521,1006
PGN_2011,993,955,1548,1020
PGN_2012,3920,3061,5288,3500
PGN_2013,1914,1786,5443,4632
PGN_2014,712,649,2513,1877
PGN_2015,55,55,195,146
PGN_2016,1579,1396,2523,1506
PGN_2017,1625,1471,3183,2173
PGN_2018,972,885,1780,1208
PGN_2019,1295,1141,1775,1301
PGN_2020,2600,2191,5069,3481
PGN_2021,1430,1237,4282,2891
PGN_2022,3122,2662,4147,2901
PGN_2023,1690,1511,4245,2841
PGN_2024,799,696,6958,4084
PGN_2025,297,253,644,364
PGN_2026,457,377,909,529
PGN_2027,6,3,5,9
PGN_2028,937,785,1927,1253
PGN_2029,270,248,1196,742
PGN_2030,953,734,1737,1103
PGN_2031,2673,2203,4911,2714
PGN_2032,758,662,2084,1305
PGN_2033,702,602,1640,1079
PGN_2034,298,244,698,430
PGN_2035,332,373,1013,577
PGN_2036,7,15,22,12
PGN_2037,26201,18197,102832,47222
PGN_2038,1019,845,2527,1495
PGN_2039,530,496,1066,704
PGN_2040,709,620,1831,1188
PGN_2041,1503,1373,3457,2383
PGN_2042,850,746,5278,3903
PGN_2043,2125,1763,8142,5052
PGN_2044,58,45,584,421
PGN_2045,1525,1390,8303,6339
PGN_2046,574,469,873,507
PGN_2047,5564,4981,31555,23543
PGN_2048,9860,9092,44626,35024
PGN_2049,2376,1642,10050,6042
PGN_2050,939,875,2567,1773
PGN_2051,334,319,861,630
PGN_2052,347,304,988,673
PGN_2053,1770,1557,4341,2680
PGN_2054,1038,830,2523,1695
PGN_2055,2569,2071,7776,5116
PGN_2056,708,631,3543,2382
PGN_2057,991,853,1483,987
PGN_2058,178,161,95,61
PGN_2059,82,80,514,377
PGN_2060,1213,1132,7516,5352
PGN_2061,449,401,1104,753
PGN_2062,1025,913,2525,1599
PGN_2063,2,2,4,2
PGN_2064,474,431,3876,2244
PGN_2065,127600,90373,247135,141151
PGN_2066,2400,2219,1715,1111
PGN_2067,1438,1428,2943,1997
PGN_2068,802,772,862,596
PGN_2069,358,283,501,258
PGN_2070,18566,18139,38194,29638
PGN_2071,4639,4568,7956,5681
PGN_2072,1568,1529,5012,3709
PGN_2073,9551,8306,25512,17757
PGN_2074,2063,1716,2182,1096
PGN_2075,2237,2005,5254,3772
PGN_2076,316,200,258,92
PGN_2077,3529,1687,12896,4011
PGN_2078,2068,1748,4712,3152
PGN_2079,4874,4524,19667,13946
PGN_2080,346,300,1449,1080
PGN_2081,2426,2341,5099,3768
PGN_2082,1304,1255,2712,1914
PGN_2083,1959,1690,4162,2573
PGN_2084,37,47,48,35
PGN_2085,268,270,953,636
PGN_2086,592,495,1118,764
PGN_2087,1027,871,1404,848
PGN_2088,1633,1276,2762,1711
PGN_2089,1151,973,1631,1074
PGN_2090,935,865,1155,909
PGN_2091,264,268,976,746
