id,MS2contr_R1,MS2contr_R2,MS2RsaI_R1,MS2RsaI_R2,MS2RsaI_R3,MS2RsaImut2_R1,MS2RsaImut4_R1
HG001_00261,18,30,11,14,17,18,17
HG001_00587,289,77,129,204,75,40,59
HG001_01020,58,59,26,44,47,27,20
HG001_01563,20,39,13,14,24,16,27
HG001_02268,2450,1556,1996,2044,875,871,751
HG001_02133,7760,15325,5805,6747,9213,9199,5766
HG001_00781,3342,4510,2627,2668,2712,2558,1253
HG001_00835,349,817,186,241,695,607,340
HG001_01485,4188,6361,2715,3532,4332,3276,2980
HG001_01177,9,27,4,7,16,26,10
HG001_00474,51488,124101,29771,46418,86346,77666,47006
HG001_00713,682,688,480,482,477,721,542
HG001_01245,267,207,190,257,112,129,74
HG001_00623,398,692,232,334,496,751,312
HG001_01583,234,199,189,188,108,207,92
HG001_01933,18456,13618,13222,19232,7251,8402,5264
HG001_01939,1071,1363,655,629,1150,750,593
HG001_00067,55,97,44,59,43,66,25
HG001_01231,10,10,2,10,3,3,4
HG001_01532,92,402,63,88,243,206,170
HG001_00782,9591,9964,7056,8045,6048,6498,3683
HG001_01610,68,71,28,43,66,43,34
HG001_00682,58,32,34,38,23,22,45
HG001_01151,75,501,66,114,182,294,181
HG001_01461,876,612,367,419,756,469,681
HG001_01294,26367,59832,18539,28258,31684,34738,14997
HG001_00016,16235,12536,9631,13817,8728,9425,5591
HG001_01307,2882,862,1316,1802,859,679,607
HG001_01447,83,58,47,54,45,50,39
HG001_02619,1913,1556,1249,1445,1086,1198,661
HG001_00527,174,36,77,117,35,30,26
HG001_02184,2523,3994,1770,2259,2376,2914,1322
HG001_00147,171,110,64,96,122,77,54
HG001_01076,361,157,249,414,68,49,55
HG001_01250,91,281,54,96,163,106,72
HG001_01446,2146,1149,954,1359,1132,638,632
HG001_01556,57,162,43,63,77,92,109
HG001_01740,20,125,15,25,60,54,47
HG001_01934,13447,8649,10109,14916,4055,6007,3317
HG001_02273,1518,2745,1265,1185,1515,1389,1115
HG001_02690,8272,8669,4477,6862,6440,4814,3628
HG001_00266,202,638,142,197,361,339,147
HG001_01189,1470,7911,985,945,5843,8340,3191
HG001_02137,5857,8612,5071,6056,3894,4910,2161
HG001_00135,74,30,45,60,16,22,17
HG001_00138,1173,426,867,783,273,355,257
HG001_01674,491,1134,391,310,713,656,389
HG001_01781,91,32,35,38,42,43,22
HG001_02283,2298,5874,2289,1953,2610,2883,2087
HG001_02256,151,266,90,90,212,186,129
HG001_01448,1001,743,608,589,601,381,324
HG001_01766,1085,2231,847,955,1209,1198,709
HG001_01138,4373,5033,2946,4546,2670,2229,1960
HG001_00747,66,195,48,49,120,89,79
HG001_00473,39174,87489,21224,31389,64765,51622,35220
HG001_00499,704,1355,504,811,622,880,431
