,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_00121,2633,6813,1690,1247,1235,818
SAOUHSC_01188,3133,3518,380,2844,2294,2148
SAOUHSC_01189,2510,2267,223,2747,2148,2115
SAOUHSC_01190,2845,3140,500,3741,2723,2990
SAOUHSC_01191,132709,107242,33077,81592,77543,43607
SAOUHSC_01192,3330,3867,491,5464,4660,4016
SAOUHSC_01193,13823,12628,2291,22072,16380,15124
SAOUHSC_01194,7419,7100,812,5084,4255,2767
SAOUHSC_01196,10183,10265,1105,3076,2792,1908
SAOUHSC_01197,18959,19616,6615,5163,5471,3423
SAOUHSC_01198,20830,18819,3889,5616,5737,3771
SAOUHSC_00122,4176,10900,1365,1891,1851,1182
SAOUHSC_01199,22184,21040,5643,5964,5959,3850
SAOUHSC_01200,2449,5776,2861,579,582,510
SAOUHSC_01201,27538,19419,1624,6010,4886,3322
SAOUHSC_01203,1360,1618,319,719,602,551
SAOUHSC_01204,5621,6455,710,5079,4096,3612
SAOUHSC_01205,2665,3396,831,2688,2181,2165
SAOUHSC_01206,937,1996,94,840,638,768
SAOUHSC_01207,12071,14709,2220,11575,9406,8286
SAOUHSC_01208,4348,5026,1147,15107,9663,9226
SAOUHSC_01209,611,732,77,2397,1697,1948
SAOUHSC_00123,2995,7667,2224,1281,1202,815
SAOUHSC_01210,1308,1459,415,5894,4384,4751
SAOUHSC_01211,53995,17788,4311,119713,99994,88569
SAOUHSC_01212,31,20,1,58,48,48
SAOUHSC_01213,3368,3944,332,3354,2530,2399
SAOUHSC_01214,2141,2971,392,2161,1734,1506
SAOUHSC_01215,2362,3387,909,3052,2299,2418
SAOUHSC_01216,29026,36354,20274,34865,38017,24950
SAOUHSC_01218,29091,32894,17958,44896,44552,31211
SAOUHSC_01219,388,313,41,1606,1150,1312
SAOUHSC_01220,381,384,26,1366,839,1195
SAOUHSC_00124,2146,5617,724,853,731,673
SAOUHSC_01221,170,180,28,293,171,224
SAOUHSC_01222,21581,33663,9496,18923,17143,16019
SAOUHSC_01223,15322,25937,8905,19365,15646,16625
SAOUHSC_01224,6905,8795,1608,3572,3642,2166
SAOUHSC_01225,6513,8100,3264,4061,4516,2559
SAOUHSC_01226,18232,21995,4090,11083,11536,7284
SAOUHSC_01228,13419,16736,1962,6765,6146,4245
SAOUHSC_01230,60,55,14,50,40,28
SAOUHSC_01232,34985,27227,3685,281114,244279,242469
SAOUHSC_01233,2097,2311,115,11951,8337,12388
SAOUHSC_00125,4500,14866,4643,2705,2728,1712
SAOUHSC_01234,35088,28682,5791,144149,119058,115862
SAOUHSC_01235,2311,2325,727,3782,2768,2506
SAOUHSC_01236,4063,4022,706,7304,5202,5377
SAOUHSC_01237,2522,2995,251,1752,1624,1459
SAOUHSC_01238,2100,1960,364,2236,1812,1729
SAOUHSC_01239,6503,8394,1242,6075,4398,4222
SAOUHSC_01240,17712,19560,4374,15116,11392,10544
SAOUHSC_01241,18559,18335,4256,37967,26863,28729
SAOUHSC_01242,2663,2921,429,6778,5647,5084
SAOUHSC_01243,6851,4263,1351,16052,13598,11528
SAOUHSC_00126,2121,8245,3294,1275,1280,858
SAOUHSC_01244,1558,1444,363,3330,2524,2683
SAOUHSC_01245,1785,1855,380,3745,3021,2918
SAOUHSC_01246,29737,25010,5615,51526,40389,37303
SAOUHSC_01247,5189,6352,1319,8640,6953,6404
SAOUHSC_01248,2865,3657,982,1786,1680,1275
SAOUHSC_01249,6862,7025,916,5299,4380,3177
SAOUHSC_01250,38964,36869,3369,102737,66941,78231
SAOUHSC_01251,33444,37150,11192,34174,30617,26549
SAOUHSC_01252,26357,27590,6399,35686,25231,24526
SAOUHSC_01253,15020,14286,3741,12162,9575,7468
SAOUHSC_00014,7175,9097,1182,4783,3567,3607
SAOUHSC_00127,4032,10898,1818,2620,2510,1701
SAOUHSC_01254,3037,2623,939,1799,1645,1144
SAOUHSC_01255,631,635,63,1305,888,955
SAOUHSC_01256,1415,1710,342,2537,1935,1839
SAOUHSC_01257,1239,1244,600,2115,1687,1464
SAOUHSC_01258,5332,7626,1315,5615,4349,4382
SAOUHSC_01259,3107,3633,1820,3501,2520,2574
SAOUHSC_01260,3946,5357,471,4924,3261,3649
SAOUHSC_01261,3402,3557,329,2569,1972,1838
SAOUHSC_01262,46486,37163,10877,71073,52118,53299
SAOUHSC_01263,68232,67207,12504,121411,113782,105477
