,ctrl4,ctrl5,ctrl6,IP1,IP2,IP3
SAOUHSC_T00055,15,8,20,50,25,28
SAOUHSC_00204,6131,11246,1030,2254,1441,1228
SAOUHSC_T00060,0,0,0,0,0,0
SAOUHSC_R00013,0,0,0,0,1,0
SAOUHSC_R0008,2,2,6,4,9,1
SAOUHSC_T0003,216,186,133,1168,692,631
SAOUHSC_A01912,0,0,0,0,0,0
SAOUHSC_T00028,0,0,0,0,0,0
SAOUHSC_R0003,0,0,0,0,0,0
SAOUHSC_01997,26294,36234,1876,30732,23280,23083
SAOUHSC_01998,4314,6785,423,3181,2211,2810
SAOUHSC_01999,2191,4065,183,1406,997,1140
SAOUHSC_00205,28,44,3,56,35,45
SAOUHSC_02000,3633,4093,1528,7289,5266,7321
SAOUHSC_02001,6718,9655,952,11435,8030,11432
SAOUHSC_02002,114,111,9,162,115,110
SAOUHSC_02003,4616,5833,803,7769,8224,5708
SAOUHSC_02004,3453,3829,818,9113,6757,9293
SAOUHSC_02005,2103,2723,264,3024,2280,2705
SAOUHSC_02006,7313,7265,1462,15051,11365,10807
SAOUHSC_02007,448,541,89,577,248,494
SAOUHSC_02008,1418,1637,121,1013,506,950
SAOUHSC_02009,4488,5592,698,2124,1480,1694
SAOUHSC_00206,132107,251111,57549,14626,13896,10750
SAOUHSC_02010,1213,1995,190,408,282,305
SAOUHSC_02011,1564,2754,193,712,542,520
SAOUHSC_02012,7922,11599,823,19581,17150,18750
SAOUHSC_02013,14906,14731,2628,6671,6312,4785
SAOUHSC_02014,770,795,37,583,468,511
SAOUHSC_02015,0,0,0,0,0,0
SAOUHSC_02016,0,0,0,0,0,0
SAOUHSC_02017,0,0,0,0,0,0
SAOUHSC_02018,0,0,0,0,0,0
SAOUHSC_02019,0,0,0,0,0,0
SAOUHSC_00208,38,14,6,16,17,13
SAOUHSC_02020,0,0,0,0,0,0
SAOUHSC_02021,0,0,0,0,0,0
SAOUHSC_02022,0,0,0,0,0,0
SAOUHSC_02023,0,0,0,0,0,0
SAOUHSC_02025,0,0,0,0,0,0
SAOUHSC_02026,0,0,0,0,0,0
SAOUHSC_02027,0,0,0,0,0,0
SAOUHSC_02028,0,0,0,0,0,0
SAOUHSC_02029,0,0,0,0,0,0
SAOUHSC_02030,0,0,0,0,0,0
SAOUHSC_00209,1809,1274,638,1929,1512,1225
SAOUHSC_02031,0,0,0,0,0,0
SAOUHSC_02033,0,0,0,0,0,0
SAOUHSC_02034,0,0,0,0,0,0
SAOUHSC_02035,0,0,0,0,0,0
SAOUHSC_02036,0,0,0,0,0,0
SAOUHSC_02037,0,0,0,0,0,0
SAOUHSC_02038,0,0,0,0,0,0
SAOUHSC_02040,0,0,0,0,0,0
SAOUHSC_02041,0,0,0,0,0,0
SAOUHSC_02042,0,0,0,0,0,0
SAOUHSC_00211,489,606,287,444,310,278
SAOUHSC_02043,0,0,0,0,0,0
SAOUHSC_02044,0,0,0,0,0,0
SAOUHSC_02046,0,0,0,0,0,0
SAOUHSC_02047,0,0,0,0,0,0
SAOUHSC_02048,0,0,0,0,0,0
SAOUHSC_02049,0,0,0,0,0,0
SAOUHSC_02050,0,0,0,0,0,0
SAOUHSC_02051,0,0,0,0,0,0
SAOUHSC_02052,0,0,0,0,0,0
SAOUHSC_02053,0,0,0,0,0,0
SAOUHSC_00003,1372,1019,126,1624,1211,875
SAOUHSC_00021,11344,13078,6149,12348,10578,8352
SAOUHSC_00212,0,0,0,6,2,3
SAOUHSC_02054,0,0,0,0,0,0
SAOUHSC_02055,0,0,0,0,0,0
SAOUHSC_02056,0,0,0,0,0,0
SAOUHSC_02057,0,0,0,0,0,0
SAOUHSC_02058,0,0,0,0,0,0
SAOUHSC_02059,0,0,0,0,0,0
SAOUHSC_02060,0,0,0,0,0,0
SAOUHSC_02061,0,0,0,0,0,0
SAOUHSC_02062,0,0,0,0,0,0
SAOUHSC_02063,0,0,0,0,0,0
SAOUHSC_00213,422,418,32,721,410,400
SAOUHSC_02064,0,0,0,0,0,0
SAOUHSC_02065,0,0,0,0,0,0
SAOUHSC_02066,0,0,0,0,0,0
SAOUHSC_02067,0,0,0,0,0,0
SAOUHSC_02068,0,0,0,0,0,0
SAOUHSC_02069,0,0,0,1,0,0
SAOUHSC_02070,0,0,0,0,0,0
SAOUHSC_02071,0,0,0,0,0,0
SAOUHSC_02072,0,0,0,0,0,0
SAOUHSC_02073,0,0,0,0,0,0
SAOUHSC_00214,31,25,4,141,74,89
SAOUHSC_02074,0,0,0,0,0,0
SAOUHSC_02075,0,0,0,0,0,0
SAOUHSC_02076,0,0,0,0,0,0
SAOUHSC_02077,0,0,0,0,0,0
SAOUHSC_02078,0,0,0,0,0,0
SAOUHSC_02079,0,0,0,0,0,0
SAOUHSC_02080,0,0,0,0,0,0
SAOUHSC_02081,0,0,0,0,0,0
SAOUHSC_02083,0,0,0,0,0,0
SAOUHSC_02084,0,0,0,0,0,0
SAOUHSC_00215,26,23,2,72,51,60
SAOUHSC_02085,0,0,0,0,0,0
SAOUHSC_02086,0,0,0,0,0,0
SAOUHSC_02087,0,0,0,0,0,0
SAOUHSC_02088,0,0,0,0,0,0
SAOUHSC_02089,0,0,0,0,0,0
SAOUHSC_02090,3357,4043,439,4840,3584,4418
SAOUHSC_02091,7250,12228,1886,4593,3354,3898
SAOUHSC_02092,10082,13444,1878,6102,4325,5002
SAOUHSC_02093,503,882,45,349,232,342
SAOUHSC_02095,38625,76786,15959,9192,9122,7114
SAOUHSC_00216,231,210,33,667,389,395
SAOUHSC_02096,27351,27583,3615,7735,6792,6035
SAOUHSC_02097,22583,21996,2838,5836,5068,4487
SAOUHSC_02098,3844,4932,619,15832,12497,14863
SAOUHSC_02099,4927,5959,384,19087,14228,19181
SAOUHSC_02100,1660,2092,130,4432,3475,3978
SAOUHSC_02101,718,1789,23,1448,1216,1780
SAOUHSC_02102,3617,2995,533,3247,2169,2379
SAOUHSC_A02013,403,375,380,207,161,143
SAOUHSC_02103,684,618,40,801,479,685
SAOUHSC_02104,75,105,13,101,48,91
SAOUHSC_00217,272,297,76,721,422,414
SAOUHSC_02105,34,12,4,108,81,77
SAOUHSC_02106,2994,2912,405,8083,5666,8730
SAOUHSC_02107,5292,4939,864,10803,8530,11233
SAOUHSC_02108,24831,19078,1110,40058,29882,32935
SAOUHSC_02109,334,183,4,1325,1182,1119
SAOUHSC_02110,2467,1804,113,6821,6247,5010
SAOUHSC_02111,1885,1513,424,3577,3904,2715
SAOUHSC_02112,1994,2189,234,3355,2964,3474
SAOUHSC_02113,3050,3325,336,5605,5392,4605
SAOUHSC_02114,5512,5131,975,14852,9870,11996
SAOUHSC_00218,18,13,6,40,27,35
SAOUHSC_02115,2,2,0,7,8,9
SAOUHSC_02116,20416,25973,6086,16846,12814,13340
SAOUHSC_02117,9504,8909,2264,7131,5487,5073
SAOUHSC_02118,1100,1577,104,724,579,460
SAOUHSC_02119,8466,10259,2925,5498,4602,4484
SAOUHSC_02121,8337,10766,1577,7086,4936,5402
SAOUHSC_02122,7575,9599,1555,7339,5212,5659
SAOUHSC_02123,5592,6740,1666,5809,4145,4208
SAOUHSC_02124,1419,1638,169,1098,811,760
SAOUHSC_02125,2442,1694,272,2421,1524,1640
SAOUHSC_00219,516,538,192,1249,690,688
SAOUHSC_02126,3519,3065,548,4011,2457,2997
SAOUHSC_02127,465,524,174,2661,1096,2226
SAOUHSC_02129,199,268,33,866,268,1059
SAOUHSC_02130,884,597,317,1018,702,701
SAOUHSC_02131,2353,2958,347,2163,1592,1589
SAOUHSC_02132,2599,4218,344,1984,1338,1584
SAOUHSC_02133,2102,3845,672,1479,1038,1183
SAOUHSC_02134,2217,2859,799,1226,890,796
SAOUHSC_02135,2107,2945,321,1146,767,797
SAOUHSC_02136,369,573,77,793,626,527
SAOUHSC_00220,2504,3840,1227,994,947,560
SAOUHSC_02137,4457,6251,1619,4064,3475,3043
SAOUHSC_02138,2239,2283,693,711,594,508
SAOUHSC_02139,13957,23296,1891,9454,7327,6337
SAOUHSC_02140,26640,25747,3073,23405,17219,15985
SAOUHSC_02141,13,30,10,17,16,12
SAOUHSC_02142,9377,15318,1452,2995,2459,1656
SAOUHSC_02143,5479,6288,546,4488,5026,3669
SAOUHSC_02144,1479,1392,329,4002,4131,2846
SAOUHSC_02145,3187,3453,379,1367,875,1438
SAOUHSC_02146,1226,2032,222,755,556,529
SAOUHSC_00221,3073,3515,444,1345,1147,784
SAOUHSC_02147,3671,4852,326,4451,3104,3484
SAOUHSC_02148,1355,1686,141,878,604,703
SAOUHSC_02149,1170,1858,152,512,352,331
SAOUHSC_02150,6866,8377,975,3427,2529,1797
SAOUHSC_02151,1201,1280,132,1636,771,1165
SAOUHSC_02152,2482,2373,398,7132,3340,4161
SAOUHSC_02153,690,528,43,1099,479,995
SAOUHSC_02154,1812,1235,154,5959,3167,3484
SAOUHSC_02155,771,606,137,2638,1412,1575
SAOUHSC_02156,140,93,17,232,126,205
SAOUHSC_00022,10236,12016,1988,12970,11000,9122
SAOUHSC_A00219,279,691,74,160,125,89
SAOUHSC_02157,142,102,75,1184,763,594
SAOUHSC_02158,12002,15264,1190,7771,5857,5993
SAOUHSC_02160,841,733,112,1423,666,566
SAOUHSC_02161,5762,5258,392,7190,3664,3057
SAOUHSC_02163,3409,5898,170,1758,1186,757
SAOUHSC_02164,0,0,0,0,0,0
SAOUHSC_02165,0,0,0,0,0,0
SAOUHSC_02166,0,0,0,0,0,0
SAOUHSC_02167,0,0,0,0,0,0
SAOUHSC_02169,0,0,0,0,0,0
SAOUHSC_00222,4716,6484,1132,2893,2191,1881
SAOUHSC_02170,0,0,0,0,0,0
SAOUHSC_02171,0,0,0,0,0,0
SAOUHSC_02173,0,0,0,0,0,0
SAOUHSC_02174,0,0,0,0,0,0
SAOUHSC_02175,0,0,0,0,0,0
SAOUHSC_02176,0,0,0,0,0,0
SAOUHSC_02177,0,0,0,0,0,0
SAOUHSC_02178,0,0,0,0,0,0
SAOUHSC_02179,0,0,0,0,0,0
SAOUHSC_02180,0,0,0,0,0,0
SAOUHSC_00223,1727,2659,348,2225,1776,1218
SAOUHSC_02181,0,0,0,0,0,0
SAOUHSC_02182,0,0,0,0,0,0
SAOUHSC_02183,0,0,0,0,0,0
SAOUHSC_02184,0,0,0,0,0,0
SAOUHSC_02185,0,0,0,0,0,0
SAOUHSC_02186,0,0,0,0,0,0
SAOUHSC_02187,0,0,0,0,0,0
SAOUHSC_02188,0,0,0,0,0,0
SAOUHSC_02189,0,0,0,0,0,0
SAOUHSC_02190,0,0,0,0,0,0
SAOUHSC_00225,3110,3356,524,2951,2361,1960
SAOUHSC_02191,0,0,0,0,0,0
SAOUHSC_02193,0,0,0,0,0,0
SAOUHSC_02194,0,0,0,0,0,0
SAOUHSC_02195,0,0,0,0,0,0
SAOUHSC_02196,0,0,0,0,0,0
SAOUHSC_02197,0,0,0,0,0,0
SAOUHSC_02198,0,0,0,0,0,0
SAOUHSC_02199,0,0,0,0,0,0
SAOUHSC_02200,0,0,0,0,0,0
SAOUHSC_A02094,0,0,0,0,0,0
SAOUHSC_00226,6561,9391,1333,6686,5122,4834
SAOUHSC_02202,0,0,0,0,0,0
SAOUHSC_02203,0,0,0,0,0,0
SAOUHSC_02204,0,0,0,0,0,0
SAOUHSC_02205,0,0,0,0,0,0
SAOUHSC_02206,0,0,0,0,0,0
SAOUHSC_02207,0,0,0,0,0,0
SAOUHSC_02208,0,0,0,0,0,0
SAOUHSC_02209,0,0,0,0,0,0
SAOUHSC_02210,0,0,0,0,0,0
SAOUHSC_02211,0,0,0,0,0,0
SAOUHSC_00227,12804,20221,2367,15106,11405,11857
SAOUHSC_02212,0,0,0,0,0,0
SAOUHSC_02213,0,0,0,0,0,0
SAOUHSC_02214,0,0,0,0,0,0
SAOUHSC_02215,0,0,0,0,0,0
SAOUHSC_02216,0,0,0,0,0,0
SAOUHSC_02217,0,0,0,0,0,0
SAOUHSC_02218,0,0,0,0,0,0
SAOUHSC_02219,0,0,0,0,0,0
SAOUHSC_02220,0,0,0,0,0,0
SAOUHSC_02221,0,0,0,0,0,0
SAOUHSC_00228,21461,32472,6658,33115,26059,27089
SAOUHSC_02222,0,0,0,0,0,0
SAOUHSC_02223,0,0,0,0,0,0
SAOUHSC_02224,0,0,0,0,0,0
SAOUHSC_02225,0,0,0,0,0,0
SAOUHSC_02226,0,0,0,0,0,0
SAOUHSC_02227,0,0,0,0,0,0
SAOUHSC_02228,0,0,0,0,0,0
SAOUHSC_02229,0,0,0,0,0,0
SAOUHSC_02231,0,0,0,0,0,0
SAOUHSC_02232,0,0,0,0,0,0
SAOUHSC_00229,1651,3847,510,923,583,596
SAOUHSC_02233,0,0,0,0,0,0
SAOUHSC_02234,0,0,0,0,0,0
SAOUHSC_02235,0,0,0,0,0,0
SAOUHSC_02236,0,0,0,0,0,0
SAOUHSC_02237,0,0,0,0,0,0
SAOUHSC_02238,0,0,0,0,0,0
SAOUHSC_02239,0,0,0,0,0,0
SAOUHSC_02240,37109,28203,7023,22913,13587,10759
SAOUHSC_02241,6427,9191,865,4524,2580,2648
SAOUHSC_02243,4192,8318,488,3047,1781,1862
SAOUHSC_00230,5287,7419,1085,1200,966,802
SAOUHSC_02244,7747,9776,2080,7396,5077,4833
SAOUHSC_02245,100,94,8,455,206,309
SAOUHSC_02246,66,95,3,133,67,79
SAOUHSC_02247,2007,2982,402,1413,947,915
SAOUHSC_02248,2309,2678,235,2631,2016,1959
SAOUHSC_02249,1192,1858,210,948,811,792
SAOUHSC_02250,305,157,22,1421,1546,1038
SAOUHSC_02251,79,66,3,637,553,460
SAOUHSC_02252,214,51,1,1210,977,838
SAOUHSC_02254,24202,5127,506,136318,123558,98989
SAOUHSC_00231,599,1015,75,312,185,177
SAOUHSC_02255,3989,737,104,21523,21526,16220
SAOUHSC_02256,1234,1276,76,691,373,510
SAOUHSC_02257,3819,7092,2958,5418,3293,5398
SAOUHSC_02258,1639,2006,129,8189,6205,6557
SAOUHSC_02259,2921,3942,268,11090,7411,9476
SAOUHSC_02260,7231,4708,82,256275,139297,160865
SAOUHSC_02261,30877,24517,4665,25285,17827,19802
SAOUHSC_02262,14431,7612,740,11711,7410,9516
SAOUHSC_02264,62177,32340,8207,65416,44421,49077
SAOUHSC_02265,43042,24188,4423,56456,41121,41488
SAOUHSC_00023,6815,8112,2070,9533,7815,7301
SAOUHSC_00232,370,2341,180,186,228,151
SAOUHSC_02266,219,184,21,199,134,129
SAOUHSC_02267,3041,3314,753,4274,3048,2616
SAOUHSC_02268,3971,5302,1103,4528,3567,2750
SAOUHSC_02269,3561,4248,377,1546,1364,796
SAOUHSC_02270,271,294,25,246,169,197
SAOUHSC_02271,80,81,13,374,289,275
SAOUHSC_02272,183,138,28,666,427,444
SAOUHSC_02273,7809,8436,1668,5158,4077,3223
SAOUHSC_02274,3428,4571,531,1813,1111,1019
SAOUHSC_02275,81,143,6,162,81,91
SAOUHSC_00233,1086,4948,1692,962,1044,591
SAOUHSC_02276,991,1180,50,1173,772,792
SAOUHSC_02277,2091,1954,687,4786,3386,3394
SAOUHSC_02278,461,733,43,772,574,611
SAOUHSC_02279,1073,1048,96,1302,924,835
SAOUHSC_02280,770,1258,53,662,504,464
SAOUHSC_A02169,1,2,0,3,3,4
SAOUHSC_02281,11725,12622,5460,1646,1421,963
SAOUHSC_02282,18277,18409,6594,1752,1439,997
SAOUHSC_02283,2287,1583,662,171,117,96
SAOUHSC_02284,13884,14722,2665,1004,785,610
SAOUHSC_00234,802,1015,67,1388,1048,930
SAOUHSC_02285,21589,20390,5471,2130,1509,1123
SAOUHSC_02286,13070,16531,3717,1388,1030,810
SAOUHSC_02287,17710,18397,10012,2003,1496,1302
SAOUHSC_02288,6723,8025,1586,837,500,485
SAOUHSC_02289,12768,10629,1856,1520,964,807
SAOUHSC_02290,46,26,2,372,219,201
SAOUHSC_R00014,0,0,0,0,0,0
SAOUHSC_R0009,0,0,0,0,0,0
SAOUHSC_R0004,2,0,0,1,2,0
SAOUHSC_T00025,239,112,142,1032,435,390
SAOUHSC_00235,165,283,19,821,452,441
SAOUHSC_T00034,53,120,17,89,78,81
SAOUHSC_02294,2,0,1,1,4,4
SAOUHSC_02296,1955,2470,302,6326,4599,6748
SAOUHSC_02297,6149,7355,1151,18949,14103,20070
SAOUHSC_02298,19487,32057,4805,31336,26714,29848
SAOUHSC_02299,7038,11574,1472,7366,6376,7108
SAOUHSC_02300,4928,4924,571,4022,3332,3416
SAOUHSC_02301,8383,9625,886,6035,4856,5452
SAOUHSC_02302,4837,6886,626,2789,2267,2410
SAOUHSC_A02189,191,68,151,60,37,55
SAOUHSC_00236,248,366,106,1257,892,791
SAOUHSC_02303,5772,7612,3508,2358,2206,1806
SAOUHSC_02304,1805,1364,106,747,621,507
SAOUHSC_02305,4758,4550,908,5386,4032,4473
SAOUHSC_02306,1342,1901,188,1454,1193,1194
SAOUHSC_02307,925,1098,90,1002,780,798
SAOUHSC_02308,3955,4728,936,3841,2776,3134
SAOUHSC_02309,729,986,38,541,382,512
SAOUHSC_02310,1965,3715,1167,1836,1497,1544
SAOUHSC_02311,4723,12064,2683,3792,2995,3353
SAOUHSC_02312,3491,9105,1023,1503,1155,1458
SAOUHSC_00237,295,340,28,695,499,422
SAOUHSC_02313,31,30,3,80,44,74
SAOUHSC_02314,26390,54777,4050,4226,3192,3201
SAOUHSC_02315,2762,6719,576,1414,959,1045
SAOUHSC_02316,33760,22631,9172,75154,58003,76471
SAOUHSC_02317,10874,12979,2070,11676,8287,9423
SAOUHSC_02318,9450,11156,1607,7078,5906,5767
SAOUHSC_02319,4231,3620,535,3181,2524,2004
SAOUHSC_02320,7215,8244,695,6471,6176,4569
SAOUHSC_02321,475,643,52,1191,867,1213
SAOUHSC_02322,604,645,46,1301,918,1151
SAOUHSC_00238,13,13,2,39,12,28
SAOUHSC_02323,5128,5931,921,2577,2290,2025
SAOUHSC_02324,1936,1560,269,1177,969,850
SAOUHSC_02325,684,808,191,443,436,365
SAOUHSC_02326,272,148,156,208,182,146
SAOUHSC_02327,23529,25495,4767,18292,15884,13885
SAOUHSC_02328,190,180,62,425,275,299
SAOUHSC_02329,187,180,47,385,264,241
SAOUHSC_02330,181,234,38,300,252,211
SAOUHSC_02331,165,199,12,245,165,130
SAOUHSC_02332,26,31,9,46,31,15
SAOUHSC_00239,1893,3646,952,2700,2365,1355
SAOUHSC_02333,266,220,30,440,275,296
SAOUHSC_02334,531,529,59,688,415,468
SAOUHSC_02335,1744,2589,294,626,500,441
SAOUHSC_02336,9793,12858,2973,6013,6253,4535
SAOUHSC_02337,27521,33641,8538,16798,18270,13542
SAOUHSC_02338,2598,2973,71,1260,1460,1169
SAOUHSC_02339,22,29,5,17,21,9
SAOUHSC_02340,19205,27731,7979,11204,9127,7788
SAOUHSC_02341,51114,65875,32817,29993,24962,20572
SAOUHSC_02343,31146,47235,7673,16591,14340,12402
SAOUHSC_00240,785,1723,139,1151,1006,646
SAOUHSC_02345,44869,53927,17938,23512,22258,16302
SAOUHSC_02346,15204,23201,2926,8079,7264,6068
SAOUHSC_02347,18004,19818,7883,9222,8705,6396
SAOUHSC_02349,12578,20846,6782,6098,6148,4171
SAOUHSC_02350,25663,30592,6473,11469,10732,7874
SAOUHSC_02351,14088,18685,1000,6416,5083,4513
SAOUHSC_02352,31336,34061,9948,16603,13576,10554
SAOUHSC_02353,15727,13936,3451,7851,6431,4850
SAOUHSC_02354,42836,45665,18880,19914,17100,12779
SAOUHSC_02355,15579,22036,13519,6583,5658,4245
SAOUHSC_00241,1564,1865,902,2559,2191,1371
SAOUHSC_02356,681,912,75,825,644,751
SAOUHSC_02357,1371,1560,212,1374,1070,1050
SAOUHSC_02358,6194,5523,1080,7313,6311,6513
SAOUHSC_02359,5484,5510,1347,7549,6398,6925
SAOUHSC_02360,2411,2243,234,3879,3342,3494
SAOUHSC_02361,18042,11321,2608,54767,40276,41901
SAOUHSC_02362,21124,23286,3431,18548,17606,17927
SAOUHSC_02363,30806,37665,14098,15902,15078,11782
SAOUHSC_02364,6576,8059,727,45311,35909,41291
SAOUHSC_02365,12338,16560,2170,43751,39898,41383
SAOUHSC_00024,1347,1078,372,2794,1706,1847
SAOUHSC_00242,1957,2264,591,1748,1362,1096
SAOUHSC_02366,29273,22216,5900,31868,24110,25833
SAOUHSC_02367,1348,1268,84,796,569,539
SAOUHSC_02368,10559,12932,2882,6626,6402,5626
SAOUHSC_02369,8193,10127,938,12713,9185,10269
SAOUHSC_02370,1994,1415,223,1474,1224,1035
SAOUHSC_A02254,47,67,4,36,24,52
SAOUHSC_02371,2281,2518,613,2321,2369,1858
SAOUHSC_02372,4670,4995,547,6439,5417,5592
SAOUHSC_02373,2932,3971,490,2993,2885,2319
SAOUHSC_02374,2897,3949,803,2094,2404,1711
SAOUHSC_00243,66,44,0,214,70,152
SAOUHSC_02375,3407,4724,918,1658,1500,1057
SAOUHSC_02376,3710,3469,392,29181,20831,20620
SAOUHSC_02377,9599,13782,2865,71663,59932,57645
SAOUHSC_02378,195,244,37,814,581,757
SAOUHSC_02379,1814,2735,524,6873,6163,4672
SAOUHSC_02380,6909,6603,938,16134,13710,11618
SAOUHSC_02381,13048,10851,1554,502592,359818,359512
SAOUHSC_02382,1866,3390,259,1678,1298,1309
SAOUHSC_02383,6754,8920,542,5963,4794,4683
SAOUHSC_02384,991,1355,159,858,756,628
SAOUHSC_00244,317,411,16,954,563,875
SAOUHSC_02385,3971,6423,740,1898,1675,1419
SAOUHSC_02386,694,1204,35,279,264,260
SAOUHSC_02387,5209,8231,2680,1142,1250,910
SAOUHSC_02388,340,447,28,2271,2713,2067
SAOUHSC_02389,1734,2000,192,9206,9763,8305
SAOUHSC_02390,14502,20713,1024,6287,5083,4616
SAOUHSC_02391,12752,6304,4066,5203,4186,2385
SAOUHSC_02392,399,693,42,668,724,731
SAOUHSC_02393,1133,1722,130,412,326,384
SAOUHSC_02394,25,27,12,8,3,10
SAOUHSC_00245,147,193,26,286,204,178
SAOUHSC_A02273,186,297,12,63,32,38
SAOUHSC_02396,3834,4984,789,2861,2348,1773
SAOUHSC_02397,1670,2783,600,1281,1279,1009
SAOUHSC_02399,9444,9996,1281,18116,12959,11937
SAOUHSC_02400,5332,2439,588,2422,2757,1879
SAOUHSC_02401,6729,8254,1492,2643,3459,1981
SAOUHSC_02402,2835,3173,1842,806,1014,573
SAOUHSC_02403,6585,7048,1194,1887,2386,1276
SAOUHSC_02404,2190,2054,320,6885,4540,4624
SAOUHSC_02405,7953,8998,1636,12319,8840,9895
SAOUHSC_00246,1803,1592,200,3002,2631,1728
SAOUHSC_02406,3027,2720,225,4578,3490,3819
SAOUHSC_02407,3249,3383,246,3947,3136,3075
SAOUHSC_02409,6555,11479,1548,2228,2289,1139
SAOUHSC_02410,0,0,0,0,0,0
SAOUHSC_02411,13,4,5,41,49,63
SAOUHSC_T00037,0,0,0,0,0,0
SAOUHSC_02412,0,0,0,0,0,0
SAOUHSC_T00017,0,0,0,0,0,0
SAOUHSC_T00058,79,47,55,245,180,198
SAOUHSC_T00061,79,69,24,413,413,401
SAOUHSC_00247,658,897,138,1123,782,699
SAOUHSC_T00020,0,0,0,1,0,0
SAOUHSC_T00010,0,0,0,0,0,0
SAOUHSC_R00015,0,0,0,0,0,0
SAOUHSC_R00010,0,0,0,0,0,0
SAOUHSC_T00029,124,107,117,442,229,189
SAOUHSC_R0005,0,0,0,0,0,0
SAOUHSC_02416,7,4,1,24,3,19
SAOUHSC_02417,5188,5928,1354,7392,5551,6594
SAOUHSC_02418,4417,5656,707,6511,5001,6084
SAOUHSC_02419,1262,1559,50,1216,728,1292
SAOUHSC_00248,1171,1670,748,1829,1585,1266
SAOUHSC_02420,1764,1741,222,4419,3145,4346
SAOUHSC_02422,3911,3435,391,5834,4796,4796
SAOUHSC_02423,10353,9763,1997,16472,14428,14681
SAOUHSC_02424,4014,4042,207,5760,4803,4611
SAOUHSC_02425,20758,23108,1969,13801,15196,8015
SAOUHSC_02426,1070,1846,395,16331,9595,18290
SAOUHSC_02427,1028,1368,176,3843,2621,2946
SAOUHSC_02428,957,1423,177,3375,2579,2648
SAOUHSC_02430,3173,4227,204,12396,7188,9972
SAOUHSC_02432,12,27,1,26,21,28
SAOUHSC_00249,297,337,27,517,316,333
SAOUHSC_02433,2071,1847,212,1578,1253,1137
SAOUHSC_02434,4885,5402,1877,3437,3017,2577
SAOUHSC_02435,422,601,42,819,532,538
SAOUHSC_02436,2399,2945,267,4867,3394,4602
SAOUHSC_02437,23,25,5,87,78,88
SAOUHSC_02438,1,0,0,0,0,0
SAOUHSC_02440,0,0,0,5,3,3
SAOUHSC_02441,365714,516030,78032,95153,97900,60301
SAOUHSC_02442,70649,86241,70729,14537,15531,10398
SAOUHSC_02443,171303,244389,33858,37499,46262,24915
SAOUHSC_00250,295,345,15,456,276,336
SAOUHSC_02444,45476,51549,12605,8507,11095,6578
SAOUHSC_02445,1560,1826,660,1944,1379,1309
SAOUHSC_02447,5703,5875,1638,6265,4750,2898
SAOUHSC_02448,2198,2902,318,1488,1212,889
SAOUHSC_02449,670,646,164,3179,2416,1791
SAOUHSC_02450,518,436,171,2029,1863,1176
SAOUHSC_02451,25,38,12,321,326,165
SAOUHSC_02452,67,52,10,774,776,388
SAOUHSC_02453,79,88,14,782,827,394
SAOUHSC_02454,44,35,1,367,425,223
SAOUHSC_00251,270,292,28,587,296,342
SAOUHSC_02455,38,25,5,397,378,252
SAOUHSC_02456,2324,2883,302,1790,1189,1062
SAOUHSC_02457,1398,1576,372,1834,1286,1066
SAOUHSC_A02331,241,631,21,234,123,164
SAOUHSC_02458,202,378,37,114,74,100
SAOUHSC_02459,85,196,4,36,11,34
SAOUHSC_02460,3001,3863,470,2126,1458,1225
SAOUHSC_02461,929,1090,48,467,282,249
SAOUHSC_02462,15,33,1,35,21,35
SAOUHSC_02463,994,1293,173,1731,1128,1191
SAOUHSC_00025,1239,1551,674,2866,2073,2134
SAOUHSC_00253,671,693,33,1918,1087,1529
SAOUHSC_02464,1177,1702,273,1162,934,818
SAOUHSC_02465,948,1018,101,654,549,397
SAOUHSC_02466,7731,6524,2995,5971,5918,2927
SAOUHSC_02467,691,470,71,1194,752,794
SAOUHSC_02468,1228,1181,289,2012,1340,1403
SAOUHSC_02469,113,182,19,90,53,43
SAOUHSC_02470,571,896,125,130,113,91
SAOUHSC_02471,1351,2543,318,1924,1455,1923
SAOUHSC_02472,2058,2512,242,1861,1424,1627
SAOUHSC_02473,3,0,0,0,0,0
SAOUHSC_00254,86,66,4,106,71,90
SAOUHSC_02474,2051,3565,709,2193,1714,1598
SAOUHSC_02475,460,1041,50,360,333,377
SAOUHSC_02476,423,646,75,280,192,232
SAOUHSC_A02350,5,6,0,10,12,14
SAOUHSC_02477,32165,27575,15435,52588,48021,38417
SAOUHSC_02478,20888,24586,2946,40860,44455,35580
SAOUHSC_02480,3151,3801,500,3022,2796,2245
SAOUHSC_02481,2101,2615,506,1782,1577,1289
SAOUHSC_02482,3660,4454,562,2491,2310,1851
SAOUHSC_02483,3100,4007,958,1670,1547,1082
SAOUHSC_00255,194,207,22,480,249,343
SAOUHSC_02484,19183,16510,5701,34569,28626,26156
SAOUHSC_02485,68080,78683,23621,115095,99030,95432
SAOUHSC_02486,22602,18513,8630,35739,32739,25592
SAOUHSC_02487,22648,38018,11200,35970,32686,28181
SAOUHSC_02488,10191,30869,3123,15875,14326,16921
SAOUHSC_02489,13362,15810,1798,22154,19000,16534
SAOUHSC_02490,52562,59622,20221,77741,69051,63399
SAOUHSC_02491,87597,122892,23058,121070,104947,91543
SAOUHSC_02492,29269,26988,23989,37378,32836,26063
