GeneName,X50494,X50495,X50496,X50497,X50498,X50499,X50501,X50502,X50503,X50504,X50505,X50628
EW031_RS14770,347,480,763,1059,448,368,285,133,215,200,101,98
EW031_RS14775,88,95,163,160,159,95,96,41,90,92,71,37
EW031_RS14780,505,538,747,579,778,558,609,273,534,499,369,336
EW031_RS14785,654,562,1000,1198,835,1149,561,335,704,693,854,810
EW031_RS14790,15,16,32,46,21,39,6,1,7,3,9,9
EW031_RS14795,132,157,244,402,138,125,149,31,113,77,53,56
EW031_RS14800,50,51,66,151,24,23,37,4,29,21,13,6
EW031_RS14805,32,64,66,135,15,13,31,5,26,17,10,1
EW031_RS14810,14,15,28,61,9,8,21,2,12,8,10,9
EW031_RS14815,851,794,1159,1746,1057,840,875,258,656,581,502,386
EW031_RS14820,184,197,297,398,210,132,191,93,118,126,70,39
EW031_RS14825,1967,1036,1340,1497,1520,851,1924,359,1106,1248,1067,758
EW031_RS14830,1547,726,1017,1259,1269,817,1646,413,1128,1075,994,747
EW031_RS14835,690,334,467,675,523,364,814,127,536,479,400,211
EW031_RS14840,179,268,367,865,112,70,401,133,181,169,35,25
EW031_RS14845,527,352,464,563,670,815,374,350,681,430,493,526
EW031_RS14850,893,634,934,745,890,1075,523,253,394,557,431,229
EW031_RS14855,511,510,657,759,536,616,338,95,294,260,302,220
EW031_RS14860,55691,82408,65410,49326,76956,18575,20335,11349,27486,18552,26648,16938
EW031_RS14865,1035,1002,1102,922,880,712,697,284,432,458,339,290
arcC,1723,1817,1946,1674,1344,778,1318,498,778,754,417,355
arcD,770,834,845,1363,392,136,680,160,288,290,110,114
argF,345,304,355,865,80,28,234,30,118,109,32,33
arcA,355,326,411,772,143,77,164,36,116,99,49,79
EW031_RS14890,14,26,37,91,2,0,12,0,15,3,0,1
EW031_RS14895,46,85,111,210,55,39,57,14,32,22,17,8
EW031_RS14900,639,863,1085,1314,1151,825,850,146,507,546,439,300
EW031_RS14905,1792,1449,929,1176,480,645,6686,1520,3934,4126,2455,2315
EW031_RS14910,551,671,718,1492,174,243,558,170,402,352,361,380
EW031_RS14915,920,967,1226,1429,1212,926,846,566,1444,1545,1887,2321
EW031_RS14920,996,1027,1614,1898,1647,977,1175,1784,885,1093,792,603
manA,679,622,1150,870,1393,871,837,417,607,752,664,586
EW031_RS14930,5675,6678,9051,6799,9411,8780,3373,1148,2941,3242,2564,2225
EW031_RS14935,7155,6536,8201,7518,8818,10584,6520,1842,6198,8329,7474,7361
EW031_RS14940,2168,1568,1681,1534,1594,1439,2121,725,1353,1513,1129,863
sasF,1088,1135,1533,1844,1307,974,1738,372,1293,1023,682,580
gtfB,1810,1587,1807,1546,1745,1264,2605,1129,2422,2150,1350,1697
gtfA,1366,1183,1141,1395,1019,768,1663,736,1498,1391,859,877
secA2,1110,986,1133,1765,520,289,1164,421,973,764,512,582
asp3,229,259,271,593,62,61,141,18,77,49,35,24
asp2,415,476,548,965,122,139,244,42,145,96,71,57
asp1,520,655,632,1158,169,208,320,36,152,114,89,53
EW031_RS14980,332,408,443,779,152,173,191,16,94,86,50,47
EW031_RS14985,9320,8873,7332,8461,5782,3672,6185,1398,4551,4806,2997,3625
EW031_RS14990,452,387,474,578,481,303,478,240,345,423,267,217
EW031_RS14995,172,215,297,364,213,193,164,67,154,153,114,96
EW031_RS15000,233,282,350,364,225,186,139,59,128,145,115,102
EW031_RS15005,439,326,490,452,446,316,794,1004,780,654,610,519
EW031_RS15010,262,284,489,809,183,85,401,204,231,279,167,96
EW031_RS15015,103,126,174,429,64,49,149,44,81,83,62,32
EW031_RS15020,102,121,172,389,42,52,133,31,72,77,49,24
EW031_RS15025,163,244,330,546,93,125,163,30,109,78,80,45
EW031_RS15030,110,187,178,296,70,50,132,25,94,50,42,28
EW031_RS15035,67,111,156,355,42,53,95,21,70,44,18,14
EW031_RS15040,2928,1398,1658,3241,1422,2081,2089,517,1711,1959,1578,717
pgaC,92,141,197,481,37,18,175,25,66,71,16,10
EW031_RS15050,21,40,51,112,26,5,34,9,22,11,13,10
icaB,140,200,277,626,114,120,250,58,132,131,69,41
EW031_RS15060,152,212,312,625,173,202,185,43,111,127,70,42
EW031_RS15065,122,73,53,145,27,25,339,408,211,289,232,133
EW031_RS15070,3565,1591,1078,2603,688,213,3890,925,2588,3427,2207,1116
EW031_RS15075,72,126,161,297,73,80,67,24,64,40,33,34
EW031_RS15080,165,247,239,427,61,58,128,27,83,70,34,26
hisF,183,306,365,743,38,21,164,13,72,53,19,4
EW031_RS15090,219,344,410,1012,27,15,226,8,126,77,18,2
hisH,147,231,153,337,21,24,51,7,31,27,8,4
hisB,209,306,178,364,38,30,65,9,37,38,21,6
EW031_RS15105,517,697,255,495,105,82,115,9,68,52,29,29
EW031_RS15110,816,1186,353,777,133,126,156,19,80,75,31,31
EW031_RS15115,368,557,164,306,54,40,69,7,17,29,10,10
EW031_RS15120,808,1207,286,589,99,106,143,14,74,72,24,20
EW031_RS15125,1214,1717,1122,1405,1172,243,2042,192,709,527,208,95
EW031_RS15130,83,141,312,269,446,117,98,21,75,109,57,40
EW031_RS15135,143,221,417,407,561,181,128,28,102,163,110,72
EW031_RS15140,371,480,978,1369,1067,445,402,81,268,379,250,167
EW031_RS15145,125,227,426,909,195,133,175,21,119,104,39,21
EW031_RS15150,130,194,401,701,205,277,148,26,79,111,58,37
EW031_RS15155,5901,7898,1135,1641,1012,714,2098,563,779,728,405,404
EW031_RS15160,505,479,470,745,268,370,1189,745,1256,2864,2155,1859
EW031_RS15165,620,568,821,910,740,813,837,308,497,419,468,252
pcp,173,149,274,334,246,404,123,249,70,81,116,99
EW031_RS15175,253,288,486,661,265,424,213,46,162,154,119,93
EW031_RS15180,55,82,114,223,35,47,57,11,33,29,10,8
EW031_RS15185,209,159,380,515,98,75,237,289,141,156,77,58
EW031_RS15190,2323,1221,1947,1953,1870,3108,2623,5353,3035,2987,3556,4124
rarD,586,569,733,1012,418,379,838,316,495,413,365,231
EW031_RS15200,77,84,133,203,56,41,125,86,97,90,86,54
EW031_RS15205,377,399,542,960,302,242,387,528,331,297,258,204
EW031_RS15210,233,211,323,448,162,172,206,83,148,172,105,81
EW031_RS15215,687,569,893,1696,501,291,1740,2204,1273,1327,645,563
EW031_RS15220,124,182,293,379,167,93,129,45,62,68,41,50
EW031_RS15225,310,408,651,883,369,204,285,46,148,147,92,93
EW031_RS15230,26,28,47,66,38,24,25,9,13,9,10,4
EW031_RS15235,650,706,1041,599,1122,869,385,778,256,274,272,146
EW031_RS15240,109,188,281,221,256,210,84,42,50,53,63,23
EW031_RS15245,6,7,11,11,14,9,1,5,3,2,1,4
EW031_RS15250,73,105,154,162,124,65,52,53,43,35,13,21
EW031_RS15255,42,91,121,197,79,43,39,33,32,25,11,23
EW031_RS15260,228341,349732,351821,161979,437283,129665,144254,106422,57587,56977,25204,8065
EW031_RS15265,390,590,760,1031,208,167,948,608,1064,716,628,1390
EW031_RS15270,292,404,554,1296,123,107,645,238,590,416,343,533
