GeneName,X50470,X50471,X50472,X50473,X50474,X50475,X50476,X50477,X50478,X50480,X50481
EW029_RS11735,444,335,466,554,292,654,900,551,241,906,974
EW029_RS11740,94,57,45,233,56,30,156,112,20,140,49
budA,170,112,99,361,90,99,206,138,60,132,61
alsS,459,241,236,904,166,175,591,363,53,263,123
EW029_RS11755,352,55,65,975,31,15,472,178,18,149,18
EW029_RS11760,57,18,16,127,11,2,91,64,13,51,20
EW029_RS11765,117,39,45,224,19,40,81,37,1,7,1
EW029_RS11770,21756,11377,17603,15942,8076,30355,6074,11099,7391,8296,8914
EW029_RS11775,26942,11112,17628,21076,7586,31533,6630,11721,4590,8667,8871
truA,2219,2336,1917,1721,1938,1386,1620,2503,338,1211,879
EW029_RS11785,1193,1450,1301,1029,1382,1065,1029,1464,289,791,711
EW029_RS11790,1564,1871,1416,1284,1947,1358,1288,1871,329,1104,904
EW029_RS11795,1027,1202,887,1036,1326,1057,1074,1121,218,649,519
EW029_RS11800,21739,14460,14125,10882,9056,15357,4060,6426,935,3294,3482
EW029_RS11805,65607,41156,36088,31664,24317,36937,15529,22105,3296,9767,10895
EW029_RS11810,15559,11661,9379,5787,6854,9173,3518,5620,854,2533,2699
EW029_RS11815,36997,21803,16263,18115,11667,14784,7545,10410,1133,4141,4396
EW029_RS11820,21272,10476,7514,11603,5326,6538,3090,5460,484,1907,1820
EW029_RS11825,18906,13283,9603,7161,7173,8643,3649,6343,748,2604,2819
EW029_RS11830,47898,35048,26646,20326,19901,23216,10434,17485,2479,7203,7450
secY,97410,69626,52485,47928,39630,51200,22001,36981,6054,16923,16459
EW029_RS11840,18283,14936,11785,8168,9004,11423,3586,7596,1191,3527,3448
EW029_RS11845,20585,11679,8610,9926,5785,8996,2403,5648,380,1775,1800
EW029_RS11850,33879,23537,16575,13609,12081,16176,4504,10370,1019,3505,3422
EW029_RS11855,35611,19723,13496,19258,9399,12585,5116,10079,832,3266,3086
EW029_RS11860,23835,17593,12139,9460,9153,12836,4279,10961,1567,4611,5019
EW029_RS11865,28964,17711,12019,13842,8692,12202,4329,10557,1051,4409,4079
EW029_RS11870,22690,12727,8182,11210,6178,8702,3226,8134,731,3093,2927
EW029_RS11875,39672,24655,15791,17675,12699,16841,6340,15749,1786,6655,6472
EW029_RS11880,25277,14322,8566,11078,7133,9303,4495,10123,1116,3875,3565
EW029_RS11885,26151,17701,10068,10120,8885,10713,3991,11156,1399,4907,5049
EW029_RS11890,18374,11127,6662,7699,5619,6537,2734,6795,787,3065,2612
EW029_RS11895,14230,8431,4829,6161,4253,4699,2688,5247,530,2082,1792
EW029_RS11900,21458,15016,8830,8227,7724,8984,4325,9228,1255,4144,4114
EW029_RS11905,34052,23366,13605,13872,12001,15376,6330,14998,2533,7297,7971
EW029_RS11910,25076,14036,8116,12080,7011,9422,4216,9731,1268,4242,4415
EW029_RS11915,23603,13477,7583,10662,6854,9129,4170,9303,1372,3985,4481
EW029_RS11920,53554,36720,27804,23165,24294,35074,8670,21030,4732,10854,13281
EW029_RS11925,14152,9007,6409,6322,5852,8453,2178,5582,1037,2846,3276
EW029_RS11930,26831,18398,13263,11560,12479,18636,5082,12288,2925,6439,8171
EW029_RS11935,36295,21974,15461,17836,14625,20476,5849,13603,2667,7482,8703
EW029_RS11940,31375,18882,13022,13880,12228,18244,6160,11981,2249,6018,6940
EW029_RS11945,1502,1278,1315,1704,1477,1353,1160,1759,478,1551,940
EW029_RS11950,13197,8148,14213,16957,6151,60536,4912,6627,1197,2831,2463
topB,8829,10114,6933,6490,5940,3159,5996,10527,1053,3861,2484
EW029_RS11960,37,19,7,21,14,15,16,14,1,5,4
EW029_RS11965,1950,1476,1545,1893,1456,2168,1269,1215,279,1010,2199
EW029_RS11970,1880,3121,2083,1553,2406,2751,924,1162,613,693,678
EW029_RS11975,429,674,502,349,663,714,139,267,191,189,184
EW029_RS11980,718,1026,699,625,817,1015,365,429,397,307,240
EW029_RS11985,831,541,378,1407,436,401,689,451,47,170,73
EW029_RS11990,662,613,765,627,713,1006,320,367,123,344,305
EW029_RS11995,1834,1682,2168,1903,1921,2755,916,1169,323,1004,1005
EW029_RS12000,3251,3249,2191,2867,1935,1284,2160,3282,457,1231,1039
fmhB,2396,2014,1847,1959,1260,2416,1959,2310,439,1176,1197
EW029_RS12010,120,70,76,151,80,131,75,67,19,58,69
EW029_RS12015,365,231,207,700,191,320,369,289,45,143,154
EW029_RS12020,137,43,36,230,37,92,84,83,8,33,29
EW029_RS12025,331,122,167,530,97,267,248,176,18,84,52
EW029_RS12030,503,293,264,594,244,243,488,434,51,291,174
EW029_RS12035,20,3,7,38,3,10,15,8,0,4,0
EW029_RS12040,77,37,30,64,15,45,31,44,5,15,6
moaA,2633,2302,1983,2169,1233,1842,2543,3092,713,1459,1318
mobA,572,583,354,418,240,409,688,757,174,381,496
moaD,352,203,155,790,84,83,445,255,29,72,80
EW029_RS12060,593,494,240,443,191,204,921,519,83,200,261
mobB,623,440,215,470,209,252,712,534,95,244,340
EW029_RS12070,929,730,473,862,335,559,1243,773,152,399,654
moaC,1275,1428,1239,1211,1422,1438,1283,1798,742,1180,1141
EW029_RS12080,519,372,358,598,227,376,700,665,131,263,322
EW029_RS12085,1062,702,730,1292,498,803,1394,1158,165,527,725
