geneName,SA_1,SA_2,SA_3,CC_1,CC_2,CC_3
thrS,4246,4923,6090,2246,1660,1436
thyA,2396,2512,3381,548,434,345
tig,10261,13264,15568,6366,4576,4305
tilS,1032,1178,1479,771,506,424
tkt,23571,25979,30910,14877,10684,9510
tmk,1063,1189,1484,319,258,195
tnp,254,342,349,720,528,424
topA,5303,7080,8322,2008,1416,1311
topB,3057,3464,4075,834,577,487
tpiA,3631,4974,5717,7449,5353,4791
tpx,5724,6594,7824,2919,2216,2037
treC,1127,867,1277,132,85,78
treP,2044,1048,2028,139,93,64
treR,482,407,637,83,67,52
trmB,4542,4388,6664,375,285,182
trmD,555,635,822,161,139,101
trmE,970,1237,1454,792,588,500
trpA,23368,23192,30541,934,621,540
trpB,28156,28427,36164,1236,781,708
trpC,17678,17721,24756,814,487,418
trpD,26103,28096,35680,1644,1044,877
trpE,28484,29787,41525,2056,1294,861
trpF,14245,14878,19372,622,435,317
trpG,14040,14831,18932,1136,715,598
trpS,2785,3283,3814,616,393,327
truA,1289,1430,1879,334,266,197
truB,730,652,1007,249,159,155
trxA,10878,11565,14146,3042,2178,1831
trxB,8498,9443,11588,4387,3197,2827
tsf,14999,17255,20290,6461,4757,4224
tufA,91925,102995,118395,43359,30465,27177
tyrA,1187,1272,1630,429,243,241
tyrS,1256,1516,1914,565,395,296
ubiE,2222,2587,3171,822,558,520
udk,1709,1990,2402,833,551,450
uhpT,883,403,817,24,8,8
ulaA,646,487,762,40,24,27
ung,734,890,1085,391,293,249
upp,2855,3032,3670,1092,870,747
uppS,1444,1634,2321,403,273,176
ureA,177,215,254,54,41,34
ureB,429,538,544,145,121,95
ureC,2079,2407,2805,530,403,343
ureD,1073,986,1306,208,147,99
ureE,643,717,846,157,114,108
ureF,765,801,1011,174,118,102
ureG,813,965,1064,238,141,130
uvrA,5542,5825,7415,1772,1305,1127
uvrB,2535,2844,3556,1164,839,713
uvrC,2287,2363,3369,833,662,544
valS,11856,13075,17066,2545,1918,1599
veg,10955,10017,14348,3808,2817,1834
vicK,7362,7875,10008,3384,2352,1994
vicR,3329,3504,4293,1914,1297,1144
vraA,118,132,188,61,40,35
vraB,219,263,321,134,89,90
vraC,27,42,59,23,15,15
vraD,13,28,21,12,8,5
vraE,48,62,76,18,18,11
vraF,980,1036,1338,522,366,316
vraG,1570,1418,2403,457,313,187
vraR,1612,1798,2236,383,303,244
vraS,1829,1970,2677,459,264,208
xerC,2950,3017,4046,1299,864,673
xseA,3239,3620,4733,1104,765,569
ychF,1647,2065,2406,738,486,441
zwf,16066,17704,22517,3092,2380,2005
