,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
glnA,85664,79120,68167,65007,63727,65702
SAUSA300_1202,64,48,31,402,297,312
SAUSA300_1203,312,249,202,689,641,557
SAUSA300_1204,209,260,163,580,522,489
SAUSA300_1205,4,0,0,0,2,0
SAUSA300_1206,56,44,50,94,116,80
SAUSA300_1207,153,126,118,170,165,111
SAUSA300_1208,337,299,144,455,359,362
SAUSA300_1209,231,191,147,254,239,208
SAUSA300_1210,1284,1191,1005,1914,1897,1992
SAUSA300_1211,1220,947,1004,1641,1453,1501
SAUSA300_1212,728,836,532,1051,997,1015
SAUSA300_1213,97,131,88,145,136,164
SAUSA300_1214,945,854,684,4527,3466,3974
SAUSA300_1215,192,273,126,217,254,257
SAUSA300_1216,15120,13342,11952,12515,11819,11890
SAUSA300_1217,130,123,104,185,202,179
SAUSA300_1218,223,219,225,269,238,272
SAUSA300_1219,1541,1538,1191,1377,1294,1289
SAUSA300_1220,1522,1593,1234,1358,1326,1338
SAUSA300_1221,181,353,321,187,309,402
nuc_2,461,520,440,690,639,592
SAUSA300_1223,17474,16431,14086,13038,13219,13630
SAUSA300_1224,1191,1062,1066,1418,1372,1517
SAUSA300_1225,1568,1132,1063,3099,2442,2596
SAUSA300_1226,13816,11441,8046,19792,14864,14827
thrC,11656,8511,8218,15790,12440,12597
thrB,11142,8545,8029,15331,12239,12225
SAUSA300_1229,25768,20483,20331,27019,25463,24403
SAUSA300_1230,5472,4891,4265,4780,4703,4829
SAUSA300_1231,27725,24530,22404,57902,55145,51930
SAUSA300_1232,50334,43390,42292,48934,45433,43966
rpmG_1,7728,6621,6147,7766,7324,7560
rpsN_1,949,900,767,966,1021,1013
guaC,709,711,581,749,753,836
SAUSA300_1236,3793,3603,2906,3521,3494,3328
lexA,22964,22992,16449,15902,15174,15536
SAUSA300_1238,4796,4464,3473,4878,4958,4532
tkt,174867,157663,147222,124364,132839,129971
SAUSA300_1240,16886,14905,12024,20461,19367,19165
SAUSA300_1241,2108,1890,1944,2197,2310,2001
sbcD,1334,1282,1000,1428,1476,1258
sbcC,5660,5155,4198,6160,6256,5913
mscL,106676,90321,76429,99638,95178,91723
opuD,17556,16368,16386,27312,32702,28123
acnA,45548,44128,39728,37790,44304,40361
SAUSA300_1247,5085,4235,4104,4499,4683,4539
SAUSA300_1248,5632,5150,4304,4299,4061,4426
SAUSA300_1249,15795,13341,12909,15412,15168,15906
parE,15285,13818,12098,18151,19235,18066
parC,19550,17473,17282,24983,27577,25274
SAUSA300_1252,19327,16063,16598,28951,31458,29529
