,1_20160629000_S1_L002_R1_001 (paired) (GE) - Total counts,2_20160629000_S2_L002_R1_001 (paired) (GE) - Total counts,3_20160629000_S3_L002_R1_001 (paired) (GE) - Total counts,4_20160629000_S4_L002_R1_001 (paired) (GE) - Total counts,5_20160629000_S5_L002_R1_001 (paired) (GE) - Total counts,6_20160629000_S6_L002_R1_001 (paired) (GE) - Total counts
SAUSA300_1827,0,0,0,0,0,0
SAUSA300_1828,0,0,0,0,0,0
SAUSA300_1829,0,0,0,0,0,0
SAUSA300_1830,670,1025,728,783,884,1066
SAUSA300_1831,12,6,14,19,24,16
SAUSA300_1832,0,0,0,0,0,2
SAUSA300_1833,0,0,0,3,2,5
SAUSA300_1834,0,0,0,0,0,2
SAUSA300_1835,0,0,2,0,0,4
SAUSA300_1836,0,0,0,0,0,0
rrfC,0,70,61,10,35,31
rrlC,1744,2416,3355,1653,992,2194
SAUSA300_1839,0,0,0,0,0,0
SAUSA300_1840,0,0,0,0,0,0
rrsC,302,316,799,55,211,417
SAUSA300_1842,18425,15974,15161,19320,18637,18773
SAUSA300_1843,13924,12503,10725,7842,7488,7314
SAUSA300_1844,10066,9991,7345,5493,5202,4925
hemL_2,11111,10165,9094,9049,8852,8442
SAUSA300_1846,7537,7727,6566,9196,9080,9069
SAUSA300_1847,3287,3209,2465,3593,3700,3250
SAUSA300_1848,3526,3473,2934,3608,3566,3440
mutY,4055,3838,3066,4632,4029,3995
SAUSA300_1850,13903,13370,11262,7959,7549,8179
SAUSA300_1851,8271,7955,6663,6926,6986,7243
SAUSA300_1852,14357,14098,11099,12680,12169,12100
SAUSA300_1853,3587,3549,2543,3271,2952,2952
recX,3901,3932,2897,2665,2522,2447
sgtB,5810,5566,4809,6314,6050,6252
SAUSA300_1856,56875,54481,46409,29184,28102,28410
SAUSA300_1857,1289,1132,1027,1466,1349,1330
SAUSA300_1858,8153,7883,6522,9089,8289,8158
SAUSA300_1859,21235,19814,16446,14953,14669,14906
pepS,41881,35838,33237,29526,28513,28600
SAUSA300_1861,3267,3389,2076,2303,2079,2050
SAUSA300_1862,89781,88632,65391,51111,45931,47102
SAUSA300_1863,34312,28853,30874,21463,22364,21410
SAUSA300_1864,78603,73899,61972,40620,41696,37224
vraR,12518,12183,10151,9974,9623,9567
vraS,16439,14702,12376,13000,12799,12406
SAUSA300_1867,4874,4161,3941,3911,4173,4085
SAUSA300_1868,2165,2492,1744,1899,1869,1976
map_1,19712,17934,15965,17225,15965,16396
SAUSA300_1870,2451,2138,2118,2747,2686,2576
SAUSA300_1871,332,276,192,317,354,345
SAUSA300_1872,5999,5828,4841,6269,6353,6034
SAUSA300_1873,9815,8929,8001,9955,10011,9347
SAUSA300_1874,82767,81743,62451,20943,17409,19666
SAUSA300_1875,2430,2290,1948,1413,1573,1469
SAUSA300_1876,1232,1212,967,838,884,927
SAUSA300_1877,1881,1497,1235,2036,1936,1957
rumA,3478,3138,2750,3674,3471,3507
SAUSA300_1879,10482,9852,8818,9834,9635,10040
gatB,65311,63830,57456,80653,79847,78278
gatA,43819,37681,38305,57450,57515,55033
gatC,9399,8735,7535,13278,12808,12456
putP,14441,12735,11837,19181,18030,18746
SAUSA300_1884,24122,22602,18460,20515,20078,19853
ligA,21190,20214,17530,21689,21345,20797
pcrA,19646,17915,15181,20182,19874,18701
pcrB,5170,4891,4302,4800,4549,4527
SAUSA300_1888,3539,2813,2797,3438,3396,3168
purB,17345,16286,14761,16800,17076,17111
SAUSA300_1890,26531,24498,21801,29348,25863,27133
SAUSA300_1891,1250,954,1294,1092,1195,1075
SAUSA300_1892,6097,5758,4790,5076,4918,4986
nadE,10304,10017,7400,6802,6158,7038
SAUSA300_1894,14501,13597,9662,9387,8685,9758
SAUSA300_1895,14409,14377,12496,12910,10847,12033
pheA,9333,8577,7891,8353,7827,8252
SAUSA300_1897,12373,11076,9128,6010,5870,5846
SAUSA300_1898,9053,8734,7104,4383,4166,4173
SAUSA300_1899,34964,31266,26377,35190,31663,33123
ppaC,98384,79970,86406,85983,85530,86783
aldA2,26814,25115,20710,12853,12633,12622
SAUSA300_1902,20364,19252,16142,13097,13158,12545
SAUSA300_1903,1485,1463,1104,1391,1337,1283
SAUSA300_1904,4302,3992,3181,2657,2965,3062
SAUSA300_1905,3433,3411,2968,3910,3770,3743
SAUSA300_1906,13908,14049,10685,13761,13216,12595
SAUSA300_1907,4304,4183,3617,4560,4391,4421
SAUSA300_1908,4950,5287,3875,5359,5180,4877
SAUSA300_1909,21800,19809,17688,18772,20134,18612
SAUSA300_1910,5510,5488,4377,9965,10227,11025
SAUSA300_1911,15600,14568,11617,30598,29640,28623
SAUSA300_1912,2503,2417,1841,5744,5602,5424
SAUSA300_1913,10501,9046,7664,23910,22599,20431
SAUSA300_1914,5023,4628,3275,11828,10824,9976
SAUSA300_1915,63,73,98,98,143,143
SAUSA300_1916,57340,54201,44730,59385,54641,56094
map_2,44836,35748,29879,10901,8672,9557
SAUSA300_1918,4191,3037,2891,1330,993,1157
SAUSA300_1919,145284,123358,94863,28638,21261,23859
chs,15545,11596,11670,1941,1446,1746
SAUSA300_1921,4985,4864,3680,5603,5312,5206
sak,10120,10374,8654,4725,4463,4503
SAUSA300_1923,167,151,143,162,147,186
SAUSA300_1924,52,64,34,46,44,54
SAUSA300_1925,288,289,208,250,213,202
SAUSA300_1926,190,128,83,103,123,104
SAUSA300_1927,28,30,34,14,16,16
SAUSA300_1928,2750,2500,2091,2199,1904,1920
SAUSA300_1929,275,204,200,199,197,214
SAUSA300_1930,1728,1585,1258,1426,1240,1242
SAUSA300_1931,94,66,83,56,75,88
SAUSA300_1932,331,277,252,290,273,239
SAUSA300_1933,64,62,79,85,76,91
SAUSA300_1934,643,580,425,493,498,466
SAUSA300_1935,511,561,291,374,389,355
SAUSA300_1936,193,167,154,163,174,160
SAUSA300_1937,243,190,164,225,199,182
SAUSA300_1938,1319,1066,1006,1095,1123,1068
SAUSA300_1939,733,597,517,617,539,543
SAUSA300_1940,982,886,741,925,885,764
SAUSA300_1941,828,650,544,636,637,572
SAUSA300_1942,195,166,126,152,168,150
SAUSA300_1943,114,119,105,121,113,92
SAUSA300_1944,278,306,200,239,248,192
SAUSA300_1945,136,134,78,123,69,120
SAUSA300_1946,95,84,60,73,48,58
SAUSA300_1947,239,209,132,145,145,136
SAUSA300_1948,122,98,41,92,61,67
dut,190,120,78,144,112,87
SAUSA300_1950,36,36,18,37,24,23
SAUSA300_1951,61,50,26,51,41,26
SAUSA300_1952,84,80,22,67,31,74
SAUSA300_1953,68,52,28,46,33,34
SAUSA300_1954,117,97,68,88,66,75
SAUSA300_1955,82,58,50,89,61,46
SAUSA300_1956,59,49,32,42,30,32
SAUSA300_1957,445,401,255,331,287,277
SAUSA300_1958,215,223,151,207,157,167
SAUSA300_1959,121,78,92,112,103,112
SAUSA300_1960,891,683,697,719,629,616
SAUSA300_1961,1352,1183,860,1105,1017,996
SAUSA300_1962,182,119,117,116,106,114
SAUSA300_1963,154,144,109,86,117,119
SAUSA300_1964,295,233,233,252,260,227
SAUSA300_1965,9367,7192,8694,8212,8467,8155
SAUSA300_1966,970,926,681,905,756,810
SAUSA300_1967,651,523,532,674,631,609
SAUSA300_1968,189,127,90,71,107,113
SAUSA300_1969,6378,6398,5069,8937,8778,7794
SAUSA300_1970,3672,3821,2921,3814,4410,3781
SAUSA300_1971,1649,1973,1199,1462,1469,1720
int_2,866,821,601,548,551,490
SAUSA300_1973,893,865,677,554,468,472
SAUSA300_1974,78565,62378,56533,13397,9291,11034
SAUSA300_1975,64391,56013,47548,11786,8401,9751
SAUSA300_1976,19870,19666,14344,10884,10323,10120
SAUSA300_1977,233,146,144,370,356,303
SAUSA300_1978,130,99,108,245,214,196
SAUSA300_1979,4018,3756,3124,2066,2018,2006
SAUSA300_1980,1536,1645,1310,1036,1038,944
SAUSA300_1981,161,133,95,129,125,96
groEL,46643,43297,40988,29984,30105,31289
groES,6583,6436,5892,4518,4756,4744
SAUSA300_1984,7688,7713,6569,7490,8395,8707
sdrH,10657,10659,7803,11778,10686,9943
SAUSA300_1986,2768,2354,2297,2577,2197,2148
SAUSA300_1987,9165,8106,6862,7192,6899,6612
SAUSA300_1988,459132,352298,334225,401870,332293,345777
agrB,196452,192429,144898,188277,168768,180036
agrD,36114,25088,25620,33673,28371,29058
agrC,273652,229918,225436,252550,232045,235178
agrA,208801,184738,171160,182600,165716,167510
SAUSA300_1993,14724,12466,11773,11743,11345,11159
scrB,26001,24900,19401,21806,20487,20651
scrR,2350,2270,1935,1853,1769,1780
amt,213,224,173,245,210,204
SAUSA300_1997,1546,1127,1083,1777,1627,1635
SAUSA300_1998,6295,4981,4101,8267,7628,7196
rex,14879,14249,11734,14115,13708,13002
vga,11305,10590,8264,10886,10642,9965
SAUSA300_2001,3191,3188,2614,2610,2805,2546
SAUSA300_2002,6749,5548,4917,6137,5541,5498
rimI,2907,2588,1934,2577,2270,2312
SAUSA300_2004,3806,3435,3171,3708,3742,3750
SAUSA300_2005,2891,2615,1993,2596,2211,2319
ilvD,3013,2569,2317,5402,4318,4415
ilvB,4790,4068,3531,6397,5150,5692
ilvN,305,252,259,472,425,454
ilvC,3308,2782,2358,4845,3648,4073
leuA,4555,3645,3484,6299,4930,5267
leuB,3507,3201,2443,4465,3486,3802
leuC,4247,3697,3215,5525,4101,4811
leuD,1584,1519,1228,2174,1751,1933
ilvA_2,3141,2369,2469,4008,3274,3604
rrfD,0,0,59,22,8,0
rrlD,3749,5165,7786,3830,2020,5231
rrsD,973,1285,1777,951,578,1021
SAUSA300_2018,0,0,0,0,0,0
SAUSA300_2019,0,0,0,0,0,2
SAUSA300_2020,3933,3753,3051,3780,3707,3704
SAUSA300_2021,18994,16925,14432,17548,17501,16557
rpoF,84318,84724,61603,46863,46958,43201
rsbW,30450,30602,22980,18047,17503,16507
rsbV,22388,18972,17497,13150,13242,12024
rsbU,10915,9695,9619,10815,11604,11793
SAUSA300_2026,16191,15083,12475,16170,15904,15899
alr,16753,14678,13497,13602,13705,13271
acpS,5739,6032,4665,4854,4895,4892
SAUSA300_2029,6259,5809,4654,4998,4991,4989
SAUSA300_2030,14122,12830,11052,12561,12625,12382
SAUSA300_2031,2209,1753,1578,1995,2106,1988
kdpC,1876,1621,1623,2089,1874,1842
kdpB,1383,1394,1280,1558,1546,1493
kdpA,316,303,211,258,262,297
kdpD,7227,6644,5453,10122,8344,8670
kdpE,2534,2171,1880,2972,2459,2493
SAUSA300_2037,56251,58009,50823,59777,61389,60798
murF,43122,41155,37147,35602,37060,36071
ddl,36064,33735,29244,31854,32521,31142
SAUSA300_2040,16820,15163,15386,12892,13163,13553
SAUSA300_2041,18012,17619,13286,16974,15906,16963
SAUSA300_2042,459,460,344,618,653,553
SAUSA300_2043,567,562,526,716,728,685
cls,15783,15303,12769,17588,17258,17160
SAUSA300_2045,7519,6228,5941,7942,8056,7636
oxaA,33495,32634,29639,40005,41064,39243
thiE,320,294,283,349,325,318
thiM,394,339,343,390,386,387
thiD_2,242,280,200,312,268,252
SAUSA300_2050,175,138,123,169,209,161
SAUSA300_2051,242,248,211,413,515,471
SAUSA300_2052,1683,1523,1297,913,848,672
SAUSA300_2053,2688,2620,2289,1534,1510,1370
fabZ,28676,27813,23541,19205,20081,19247
murA_1,99519,97250,77150,63491,61855,61671
SAUSA300_2056,10242,10580,7227,6305,5837,6034
atpC,48122,49438,42498,47382,44133,49052
atpD,131081,135622,117561,126785,121884,132651
atpG,55937,64082,49485,56439,53934,58117
atpA,97514,105772,92310,101451,99020,105547
atpH,34379,38123,28980,34900,33446,34463
atpF,27223,28372,25157,27859,28015,29234
atpE,18765,20781,16123,17996,17055,18719
atpB,52525,53712,46597,52188,54194,54937
SAUSA300_2065,74655,72085,59164,49328,46690,48788
upp,35526,31932,29670,23099,22889,23372
glyA,90566,84014,70552,59272,54546,59572
SAUSA300_2068,43579,43145,31801,28783,25740,27952
SAUSA300_2069,2425,2275,2063,2992,2639,2957
SAUSA300_2070,5289,4809,4225,6416,5885,5726
SAUSA300_2071,7650,7123,6240,9284,9194,8628
prfA,12262,11988,9727,13989,13591,12690
tdk,6240,6180,5062,6905,6995,6650
rpmE2,21354,17419,23465,28752,32694,30289
rho,34305,35307,29680,37799,38665,36707
SAUSA300_2076,113297,110840,85563,41518,39907,39544
SAUSA300_2077,7524,7038,6067,7054,7185,6646
murA_2,14262,14255,11281,13988,13995,13721
fba,414119,378184,387432,371777,399640,408444
SAUSA300_2080,5608,4795,4752,7162,7253,7042
pyrG,7095,8035,6420,9312,9889,9421
rpoE,22207,22304,17310,25110,24196,23354
SAUSA300_2083,1628,1590,1294,1763,1889,1780
coaA,2800,2611,2191,2580,2401,2583
SAUSA300_2085,12469,12259,10525,16212,16467,15932
SAUSA300_2086,12703,10796,8992,24745,24145,23894
SAUSA300_2087,7606,7033,4989,16043,14824,14977
luxS,13853,13538,11657,11206,12064,11481
pdp,11991,12716,10751,6382,6116,6948
deoC_2,6210,6309,5649,3362,3534,3943
deoD_2,43155,37360,40095,29328,31933,30996
dps,18785,19335,14295,10521,10591,10352
SAUSA300_2093,10210,10295,7946,4550,4168,4212
SAUSA300_2094,20228,19423,16245,20912,20664,21568
SAUSA300_2095,1432,1162,1339,1343,1441,1374
manA_1,13904,14900,11482,12896,12389,12457
SAUSA300_2097,28358,28742,18909,11958,10541,10485
arsR_2,2573,2335,1972,2793,2573,2599
SAUSA300_2099,10457,9432,8991,10120,9852,9682
SAUSA300_2100,68764,69559,55110,40461,41103,42223
SAUSA300_2101,3441,3314,2534,2486,2510,2412
SAUSA300_2102,6522,5503,4898,4596,4702,4522
SAUSA300_2103,1345,1236,1085,1339,1197,1168
glmS,104629,97987,87470,59843,61663,64570
mtlF,2095,2341,1833,1954,2195,2072
SAUSA300_2106,13877,14850,11215,6541,6608,6055
mtlA,6786,6909,5592,3120,3245,3089
mtlD,11258,10884,9732,5314,5721,5217
fmtB_1,2940,2766,2508,38182,33807,37597
fmtB_2,1969,1717,1585,33678,29755,32903
glmM,58651,54682,44950,51109,49247,48571
SAUSA300_2112,24137,21882,19390,19942,20458,19473
SAUSA300_2113,26895,24522,21228,23018,21690,22241
rocF,1020,861,750,741,776,799
tnp,575,773,659,554,768,704
SAUSA300_2116,0,0,0,2,0,0
SAUSA300_2117,0,0,1,1,0,2
SAUSA300_2118,0,0,0,0,0,0
SAUSA300_2119,0,0,0,0,0,0
SAUSA300_2120,0,0,0,0,0,0
SAUSA300_2121,2,1,0,0,0,0
rrfE,0,0,0,8,0,8
rrlE,0,18,0,0,0,27
rrsE,776,622,2135,8,350,2286
SAUSA300_2125,15724,15865,13464,12679,14264,13420
SAUSA300_2126,5776,4745,4758,4220,4299,4449
SAUSA300_2127,2194,2349,1928,1975,2080,2243
SAUSA300_2128,4605,4007,3629,4342,4344,4238
SAUSA300_2129,7793,6844,6117,5476,5444,5695
SAUSA300_2130,19976,19124,15783,15049,14256,14667
SAUSA300_2131,4701,4367,3627,4313,4170,4285
SAUSA300_2132,3510,2842,2681,3432,3663,4355
SAUSA300_2133,2754,2851,2328,4018,3808,3908
SAUSA300_2134,2038,1679,1803,2850,2765,2549
SAUSA300_2135,1185,1061,886,1997,1967,1807
SAUSA300_2136,1820,1657,1372,3881,4162,3663
SAUSA300_2137,5681,5469,4854,3393,3539,3461
SAUSA300_2138,13242,12363,10901,7411,7147,7096
SAUSA300_2139,815,801,702,1058,1032,916
SAUSA300_2140,4626,4364,3904,6226,6027,6094
SAUSA300_2141,227,212,183,222,293,221
asp23,675614,661444,541352,332757,334959,313596
SAUSA300_2143,108249,104088,88794,48162,51814,49690
SAUSA300_2144,418235,399439,333343,189663,191303,187555
SAUSA300_2145,41228,38377,33612,34043,34019,32939
SAUSA300_2146,5703,5395,4675,3970,4158,4182
SAUSA300_2147,12191,11872,10177,7357,7827,7510
SAUSA300_2148,6494,6347,4775,4225,4171,4171
lacG,1015,863,739,985,965,991
lacE,783,664,650,661,608,647
lacF,35,39,25,37,45,51
lacD,125,122,97,136,93,131
lacC,110,102,97,147,169,137
lacB,81,62,44,51,60,56
lacA,46,70,41,57,55,66
SAUSA300_2156,4180,4074,3457,3085,2842,2794
SAUSA300_2157,3032,2969,2565,2372,2266,2353
SAUSA300_2158,24,63,30,43,49,84
SAUSA300_2159,2237,2306,1963,1349,1376,1276
SAUSA300_2160,246,218,203,134,144,107
hysA,2089,2477,1885,1344,1615,1542
SAUSA300_2162,3003,2959,2227,2122,2218,2012
SAUSA300_2163,2395,2269,2039,1762,1941,1793
SAUSA300_2164,3486,2991,2803,1595,1401,1549
budA_1,7828,7733,6690,5503,6210,5933
alsS,22485,24449,21575,19187,20359,22581
SAUSA300_2167,4640,5558,3612,3858,3954,4013
SAUSA300_2168,4723,4640,3685,4016,3931,3973
SAUSA300_2169,7325,7285,5329,5810,5155,5416
SAUSA300_2170,2243,2270,1689,1771,1680,1806
rpsI,37787,39620,37412,52615,53713,52861
rplM,32009,37388,28202,44537,42799,42244
truA,7541,7000,6359,8708,8956,8230
SAUSA300_2174,5517,5146,4180,6310,6342,5856
cbiO_1,7201,7130,5779,7942,8006,7615
cbiO_2,5102,5147,4182,5707,5348,5467
rplQ,17958,17234,17818,22295,24396,23215
rpoA,62881,62993,57422,78626,79336,78282
rpsK,15530,14114,15497,19623,20975,20026
rpsM,23910,24591,20945,28715,29453,29013
rpmJ,5746,6329,4195,7287,6260,6136
infA,9625,9060,8121,11783,12041,11784
adk,28047,24535,27395,35948,38788,37010
secY_1,57632,58798,50960,72859,73596,73893
rplO,17729,16789,16702,25389,27026,26699
rpmD,9038,9156,7179,14774,13597,14374
rpsE,20623,20655,18007,34830,34507,35595
rplR,15687,17390,12558,25997,25101,26095
rplF,16632,14594,15647,28067,30877,29601
rpsH,16094,16781,13249,27661,27164,27468
rpsN_2,8835,9322,6971,14876,13806,14713
rplE,19872,20552,17083,33826,33334,33914
rplX,12269,12815,10373,20673,20354,20176
rplN,14073,13889,12711,23919,23672,25072
rpsQ,11267,11443,9487,18920,19096,18854
rpmC,7770,7789,6772,13328,13709,13395
rplP,14902,14469,13878,25673,25602,26843
rpsC,22415,22132,21413,39473,39999,40572
rplV,10598,11939,9446,17679,17726,17681
rpsS,13787,14660,12099,22655,22388,22191
rplB,51908,49264,50553,76600,84035,79904
rplW,12038,12249,10221,15981,16647,15591
rplD,28065,27168,26978,40046,42733,40047
rplC,31497,31434,30053,42635,45787,42759
rpsJ,23219,25622,20153,30300,30872,29251
SAUSA300_2206,6729,7777,5281,4147,4013,4101
SAUSA300_2207,26841,25200,23164,28580,27218,27182
topB,15868,15834,13014,14035,14081,14206
SAUSA300_2209,8728,8679,6794,9003,8639,8656
glcU,24772,22729,22415,25782,27622,26892
SAUSA300_2211,2582,2348,2197,2735,2733,2601
SAUSA300_2212,1329,1017,1266,1411,1561,1466
SAUSA300_2213,27644,25459,20962,31471,32847,30480
SAUSA300_2214,26043,23823,20083,19404,19666,18014
SAUSA300_2215,4122,4166,3038,3391,3592,3183
SAUSA300_2216,219,235,151,313,293,290
SAUSA300_2217,651,684,538,1356,1207,1285
SAUSA300_2218,2716,2453,2140,20298,20854,21386
moaA,14360,13336,11421,11076,11145,11179
mobA,5271,4344,3948,3562,3599,3650
moaD,1639,1564,1288,1271,1263,1334
moaE,3908,3921,2620,3050,2813,2937
mobB,3751,3980,2687,3121,2788,2972
moeA,7414,7299,5474,6009,5930,6077
moaC,7715,6854,6317,7889,7815,7802
moaB,2406,2413,1864,2234,2305,2147
moeB,5273,5045,3945,5267,4901,5058
modC,9118,8455,7755,8808,8421,8904
modB,10250,9011,7867,10121,9405,10100
modA,13656,13237,10756,14093,13245,13434
fdhD,2541,2489,2352,2925,3066,3001
SAUSA300_2232,2284,1979,1901,3195,3387,3121
SAUSA300_2233,1537,1456,1163,2325,2166,2247
SAUSA300_2234,968,1110,724,1379,1344,1323
SAUSA300_2235,4525,4256,3324,12603,13067,11184
SAUSA300_2236,13699,11978,9656,8700,7587,8484
SAUSA300_2237,458,331,327,1567,1448,1469
ureA,95,117,63,862,952,844
ureB,250,250,183,1977,2172,1863
ureC,1395,1388,1216,6868,7756,6779
ureE,778,692,697,2500,2683,2583
ureF,978,962,833,2987,3547,3003
ureG,1760,1722,1375,3977,4566,3870
ureD,1826,1655,1531,4184,4651,4074
SAUSA300_2245,48285,49323,35827,30924,27470,30316
SAUSA300_2246,5301,5546,4000,4650,4821,4810
SAUSA300_2247,1573,1611,1440,3767,3818,3784
SAUSA300_2248,4645,4525,3934,9904,9865,10086
ssaA_1,6262,6376,5899,7333,8720,7824
nhaC,22239,20233,17176,17134,18083,16419
SAUSA300_2251,38665,36465,30039,27095,28543,26982
SAUSA300_2252,4126,3357,3496,3649,3616,3663
ssaA_2,3791,4462,3179,3556,4147,3853
SAUSA300_2254,25330,24599,20337,18951,17916,19523
SAUSA300_2255,5850,5757,4879,8324,8534,8185
SAUSA300_2256,10344,9652,8836,15513,16747,14975
SAUSA300_2257,21056,19176,18054,14045,15953,14279
SAUSA300_2258,192460,193885,156501,116928,124095,119535
SAUSA300_2259,11849,10931,8818,6659,6435,6269
SAUSA300_2260,5520,5175,3919,3642,3359,3450
SAUSA300_2261,7473,7149,5293,6603,6199,5978
SAUSA300_2263,182,146,137,175,181,174
SAUSA300_2262,6111,5659,5441,7161,8109,7249
SAUSA300_2264,30888,31812,26266,31994,32951,31463
SAUSA300_2265,24404,21733,19400,27250,26385,27480
SAUSA300_2266,5470,5373,4289,4832,5108,4778
SAUSA300_2267,5176,4965,4143,5474,5297,5235
SAUSA300_2268,1799,1586,1416,2843,2545,2528
SAUSA300_2269,2227,1922,1932,3078,3218,3057
glvC,3195,2992,2730,2747,2674,2702
SAUSA300_2271,1650,1557,1270,2324,2318,2294
SAUSA300_2272,13786,12154,9592,13346,13139,12848
SAUSA300_2273,11578,9749,8860,15427,15366,14876
SAUSA300_2274,1242,1250,980,748,955,832
SAUSA300_2275,37586,33670,26821,17846,15516,16246
SAUSA300_2276,2548,2101,1753,3346,3028,3266
hutI,1396,1353,1209,1096,1059,1230
hutU,772,780,554,541,467,587
SAUSA300_2279,612,566,441,588,697,673
fosB,200,219,176,163,206,172
hutG,28806,26835,22570,11527,11142,11609
SAUSA300_2282,19006,17421,15268,28201,29152,28691
rpiA,8355,7683,7032,7436,7470,7629
SAUSA300_2284,4935,4232,3955,4584,4648,4518
galM,6784,6284,5552,7311,6550,7287
SAUSA300_2286,2817,2632,1955,2695,2290,2659
SAUSA300_2287,6310,6233,4964,6718,7470,6763
SAUSA300_2288,3554,3363,2694,4186,4440,3969
SAUSA300_2289,2737,3071,2439,1308,1578,1553
SAUSA300_2290,1129,969,941,864,791,923
gltS,1168,1040,948,1903,2350,2157
fni,15914,14166,12455,15719,15484,15851
corA,5894,5160,4999,6145,5879,6170
SAUSA300_2294,2783,2641,2115,2263,2245,2268
SAUSA300_2295,3785,3867,2901,3050,3016,2995
SAUSA300_2296,17507,15276,14577,17616,18411,18117
SAUSA300_2297,3850,3538,3280,4781,5097,4940
SAUSA300_2298,2924,3054,2647,3561,4335,3663
SAUSA300_2299,894,1160,859,1138,1377,1331
SAUSA300_2300,2981,2921,2356,2590,2837,2713
tcaB,1949,1721,1366,2059,1884,1982
tcaA,7413,7027,5553,7049,7134,6523
tcaR,8599,7313,7167,6361,6008,5941
SAUSA300_2304,9405,9494,7733,6418,6331,6365
SAUSA300_2305,32,56,41,28,59,52
SAUSA300_2306,290,266,235,419,504,467
SAUSA300_2307,213,222,208,424,401,341
SAUSA300_2308,1402,1308,1056,1478,1494,1455
SAUSA300_2309,4253,4077,3320,4087,4236,4183
SAUSA300_2310,1210,1230,930,1039,1162,995
SAUSA300_2311,1157,1115,945,1135,1144,1200
mqo_1,6291,5868,5476,4677,4994,4739
SAUSA300_2313,483069,487544,444858,341314,350852,376415
SAUSA300_2314,12058,11690,10412,9461,9689,9339
SAUSA300_2315,35848,37770,27196,20231,20767,20058
SAUSA300_2316,1108,1111,967,927,927,884
SAUSA300_2317,7689,7547,6520,6908,7654,7080
SAUSA300_2318,651,731,477,624,585,537
SAUSA300_2319,1178,955,811,1260,1207,1213
SAUSA300_2320,5856,5283,4330,5236,4808,5494
SAUSA300_2321,727,636,584,969,931,978
SAUSA300_2322,1963,2194,1718,1899,1930,1749
cobI,5129,4686,4342,5441,5916,5408
SAUSA300_2324,6240,5879,5843,6156,6256,6693
SAUSA300_2325,491,461,358,434,392,429
SAUSA300_2326,7224,6851,5710,8118,8237,7737
SAUSA300_2327,26877,23853,22704,12195,12733,12399
SAUSA300_2328,11016,10591,9078,9165,9671,9351
gltT,33998,30317,27846,41112,40514,40424
SAUSA300_2330,5544,5192,4172,5679,5523,5391
SAUSA300_2331,15128,15077,13453,14279,14479,14931
SAUSA300_2332,5158,5369,4312,3920,4096,4803
narK,341250,352684,258845,193324,148560,224651
SAUSA300_2334,318,309,256,280,282,284
SAUSA300_2335,115,117,101,103,110,106
SAUSA300_2336,705,639,526,596,629,622
SAUSA300_2337,41843,50843,32955,12320,11442,17500
SAUSA300_2338,84611,99297,62871,23865,21287,34764
SAUSA300_2339,48568,51641,34651,13835,12016,19281
narI,58469,69211,40667,14911,12489,21371
narJ,49477,55849,33748,12910,10691,18331
narH,194375,207200,128653,61476,47637,73016
SAUSA300_2343,596617,594029,444506,338659,262216,366135
SAUSA300_2344,138751,153969,91636,52653,39761,59332
nirD,53099,58250,35070,23926,18016,24922
nirB,289160,284120,215328,185666,142982,206803
nirR,61200,61660,44736,52046,40294,51914
SAUSA300_2348,1229,1175,1034,1248,1240,1258
SAUSA300_2349,12311,11930,9923,13444,13698,13833
SAUSA300_2350,1013,767,850,1343,1342,1144
SAUSA300_2351,7816,8066,6201,8423,8690,8494
SAUSA300_2352,3837,3783,3160,3374,3209,3247
SAUSA300_2353,4639,4928,3543,3689,3757,3925
SAUSA300_2354,4144,4003,2914,3913,3884,4026
SAUSA300_2355,1735,1149,1052,1477,1431,1400
fmhA,1079,1059,771,1849,1542,1780
SAUSA300_2357,106828,85661,83351,82928,82692,78495
SAUSA300_2358,72029,54848,55978,58037,58355,53979
SAUSA300_2359,89984,70614,65910,75558,76068,67377
SAUSA300_2360,23978,19585,17945,23271,24192,21731
SAUSA300_2361,376,314,352,428,422,398
gpmA,115689,96905,92366,72279,52257,61081
SAUSA300_2363,6173,5435,4751,6695,6112,6401
sbi,112152,106168,84486,35365,30775,30513
hlgA,284,204,197,217,216,191
hlgC,2409,1763,1541,994,738,778
hlgB,3575,2780,2377,1468,1107,1259
SAUSA300_2368,255,189,204,198,217,192
SAUSA300_2369,762,790,584,642,596,626
SAUSA300_2370,767,674,554,606,649,601
bioB,695,618,485,632,669,581
bioA,310,333,268,417,370,382
bioD,85,118,100,156,158,134
SAUSA300_2374,590,618,430,708,700,602
SAUSA300_2375,201,257,186,333,314,302
SAUSA300_2376,1383,1201,1052,814,770,838
SAUSA300_2377,5408,5179,4645,4658,4737,4448
SAUSA300_2378,7024,7318,5688,5967,6355,5709
SAUSA300_2379,17196,15554,14498,17285,17744,17327
SAUSA300_2380,1084,1092,795,776,734,713
SAUSA300_2381,5675,5859,4631,3442,3630,3628
SAUSA300_2382,1248,1168,938,972,881,849
SAUSA300_2383,1307,1233,974,1179,1176,1019
SAUSA300_2384,26248,23021,20838,32193,31894,30423
SAUSA300_2385,28498,22655,20810,40024,35514,37072
SAUSA300_2386,7492,7348,6245,5320,5225,5556
SAUSA300_2387,2313,2077,1992,2581,2873,2372
panE_1,10912,8340,7751,13635,13261,12492
SAUSA300_2389,37676,28384,31174,45414,46408,45787
opuCd,3694,3441,3043,3353,3379,3157
opuCc,6787,6429,4877,5802,5896,5553
