gene_id,X12hUSA5001_count,X12hUSA5002_count,X12hUSA5003_count,X12hUSA500phoU11_count,X12hUSA500phoU12_count,X12hUSA500phoU13_count,X12hUSA500phoU21_count,X12hUSA500phoU22_count,X12hUSA500phoU23_count
CH51_RS01130,30579,31388,30097,37647,33651,35729,62166,68861,60807
CH51_RS01135,27,48,30,34,55,42,108,121,107
CH51_RS01140,144,167,142,263,237,238,86,131,122
CH51_RS01145,309,346,266,764,638,778,240,288,252
CH51_RS01150,0,0,1,2,4,2,0,0,0
CH51_RS01155,34,27,28,52,32,32,30,48,34
CH51_RS01160,4,4,2,2,3,5,6,5,9
CH51_RS01165,7,4,10,15,11,7,4,4,10
CH51_RS01170,37,38,29,60,57,48,33,28,25
CH51_RS01175,36,34,40,74,69,80,43,55,34
CH51_RS01180,13,17,6,22,27,23,8,6,3
CH51_RS01190,669,688,651,979,848,1036,277,303,257
CH51_RS01195,446,392,380,719,576,601,203,223,195
CH51_RS01200,761,762,646,1226,1106,1109,259,314,290
CH51_RS01205,499,503,474,674,604,603,307,419,329
CH51_RS01210,313,363,357,403,335,391,197,253,245
CH51_RS01215,1090,1124,1037,1827,1677,1886,844,843,668
CH51_RS01220,2419,2563,2311,4310,3551,4028,1933,2150,1888
CH51_RS01225,4863,4933,4780,9597,8528,9646,4200,4500,3896
CH51_RS01230,778,770,845,470,445,462,1626,1742,1544
CH51_RS01235,336,323,304,500,426,448,328,436,401
CH51_RS01240,32,34,38,76,69,59,36,38,38
CH51_RS01245,65,53,54,49,65,43,67,110,81
CH51_RS01250,661,638,573,283,291,243,278,350,364
CH51_RS01255,591,625,528,769,695,736,1080,1253,1144
CH51_RS01260,19,19,21,42,16,20,20,17,27
CH51_RS01265,166,121,116,173,200,141,156,170,176
CH51_RS01275,46,39,49,172,159,156,37,38,37
CH51_RS01280,1,1,2,11,6,2,2,2,2
CH51_RS01285,661,639,623,1020,885,902,393,421,331
CH51_RS01290,141,159,113,184,182,219,85,58,76
CH51_RS01295,314,382,341,414,270,311,124,164,140
CH51_RS01300,636,664,581,1095,954,944,605,793,611
CH51_RS01310,25,36,30,22,20,8,26,17,17
CH51_RS01320,113,118,102,301,286,270,113,152,117
CH51_RS01325,129,125,72,396,367,356,89,115,131
CH51_RS01330,324,349,270,1179,1046,1131,345,348,293
CH51_RS01335,43,50,46,35,35,39,40,37,37
CH51_RS01340,43,20,40,32,21,33,29,19,18
CH51_RS01345,30,18,20,23,48,15,16,26,13
CH51_RS01350,160,186,148,106,82,82,93,112,78
CH51_RS01355,8,4,4,4,18,1,2,6,5
CH51_RS01360,18,23,17,23,14,29,16,27,13
CH51_RS01365,75,56,59,23,25,31,23,16,32
CH51_RS01370,0,0,0,0,0,0,0,0,0
CH51_RS01375,5396,5425,6047,2630,2706,3310,1580,1186,1234
CH51_RS01380,283,260,225,91,99,91,76,102,80
CH51_RS01385,19,18,10,0,5,3,5,3,6
CH51_RS01390,0,0,1,0,0,0,0,0,0
CH51_RS01395,103,110,100,48,43,30,40,36,42
CH51_RS01400,615,640,562,299,285,238,246,246,214
CH51_RS01405,23,16,23,11,14,18,19,12,11
CH51_RS01410,9,8,8,9,10,3,8,5,11
CH51_RS01415,32,68,26,40,35,20,25,23,38
CH51_RS01420,14,6,8,8,8,2,3,4,2
CH51_RS01425,864,795,784,1573,1448,1504,704,694,635
CH51_RS01430,947,1049,967,1716,1600,1808,652,601,683
