,WT1_RPKM,WT2_RPKM,MT1_RPKM,MT2_RPKM
SAB0406,0,0,0,0
SAB0407,0,0,0,0
SAB0408,0,0,0,0
SAB0409,0,0,0,0
SAB0410,0,0,0,0
SAB0411,0,0,0,0
SAB0412,0,0,0,0
SAB0413,0,0,0,0
SAB0414,0,0,0,0
SAB0415c,0,0,0,0
SAB0416,0,0,0,0
SAB0417,0,0,0,0
SAB0418c,0,0,0,0
SAB0419c,0,0,0,0
SAB0420c,0,0,0,0
SAB0421,0,0,0,0
SAB0422,0,0,0,0
SAB_t03,0,0,0,0
SAB0423,0,0,0,0
SAB0424,0,0,0,0
SAB0425,0,0,0,0
SAB0426,0,0,0,0
SAB0427,0,0,0,0
SAB0428,0,0,0,0
SAB0429,0,0,0,0
SAB0430,0,0,0,0
SAB0431,0,0,0,0
SAB0432,0,0,0,0
SAB0433,0,0,0,0
SAB0434,0,0,0,0
SAB0435,0,0,0,0
SAB0436,0,0,0,0
SAB0437,0,0,0,0
SAB0438,0,0,0,0
SAB0439,0,0,0,0
SAB0440,0,0,0,0
SAB0441,0,0,0,0
SAB0442,0,0,0,0
SAB0444,0,0,0,0
SAB0445,0,0,0,0
SAB0448,0,0,0,0
SAB0449,0,0,0,0
SAB0451,0,0,0,0
SAB0452,0,0,0,0
SAB0453,0,0,0,0
SAB0454,0,0,0,0
SAB0455,0,0,0,0
SAB0456,0,0,0,0
SAB0457,0,0,0,0
SAB0458,0,0,0,0
SAB0459,0,0,0,0
SAB0460,0,0,0,0
SAB0461,0,0,0,0
SAB0463,0,0,0,0
SAB0464,0,0,0,0
SAB0465,0,0,0,0
SAB0466,0,0,0,0
SAB_t04,0,0,0,0
SAB_t05,0,0,0,0
SAB_t06,0,0,0,0
SAB_t08,0,0,0,0
SAB_t09,0,0,0,0
SAB_t10,0,0,0,0
SAB_t12,0,0,0,0
SAB0468c,0,0,0,0
SAB0471c,0,0,0,0
SAB0472,0,0,0,0
SAB0473,0,0,0,0
SAB0474,0,0,0,0
SAB0475,0,0,0,0
SAB0476,0,0,0,0
SAB0477,0,0,0,0
SAB0478,0,0,0,0
SAB0479,0,0,0,0
SAB0480,0,0,0,0
SAB0481,0,0,0,0
SAB0482,0,0,0,0
SAB0483,0,0,0,0
SAB0484,0,0,0,0
SAB0485,0,0,0,0
SAB0486,0,0,0,0
SAB0487,0,0,0,0
SAB0488,0,0,0,0
SAB0489,0,0,0,0
SAB0490,0,0,0,0
SAB0492,0,0,0,0
SAB0493,0,0,0,0
SAB0494,0,0,0,0
SAB0495,0,0,0,0
SAB0500c,0,0,0,0
SAB0501,0,0,0,0
SAB0503,0,0,0,0
SAB0505,0,0,0,0
SAB0506,0,0,0,0
SAB0507c,0,0,0,0
SAB0508c,0,0,0,0
SAB0510,0,0,0,0
SAB0511,0,0,0,0
SAB0513,0,0,0,0
SAB0514,0,0,0,0
SAB0515c,0,0,0,0
SAB0516c,0,0,0,0
SAB0517c,0,0,0,0
SAB0518c,0,0,0,0
SAB0519,0,0,0,0
SAB0520,0,0,0,0
SAB0522,0,0,0,0
SAB0523,0,0,0,0
SAB0524,0,0,0,0
SAB0525,0,0,0,0
SAB0526,0,0,0,0
SAB0527,0,0,0,0
SAB0528,0,0,0,0
SAB0530c,0,0,0,0
SAB0531,0,0,0,0
SAB0532,0,0,0,0
SAB0533,0,0,0,0
