gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.1.1244688.50,1,0,2,7,1,4
Inter.CP000255.1.0.1069413.0,64,73,102,19,18,25
Inter.CP000255.1.1.401321.17,3,1,1,6,1,0
Inter.CP000255.1.1.497222.17,3,5,0,16,2,4
Inter.CP000255.1.0.2464555.18,0,0,0,2,1,0
Inter.CP000255.1.0.2582176.54,6,3,4,6,8,1
Inter.CP000255.1.0.926872.46,4,2,1,5,2,1
Inter.CP000255.1.1.1666073.0,2,3,3,5,1,1
Inter.CP000255.1.1.2539530.39,3,0,1,0,1,0
Inter.CP000255.1.0.1541358.454,1,1,1,0,0,0
Inter.CP000255.1.1.102961.136,2,2,2,0,1,0
Inter.CP000255.1.1.76226.149,3,5,4,4,7,1
Inter.CP000255.1.0.1507114.253,18,15,14,10,7,3
Inter.CP000255.1.0.96755.11,0,1,3,1,0,1
Inter.CP000255.1.0.2006789.3,12,16,7,16,12,11
Inter.CP000255.1.0.1734711.71,5,7,4,8,2,1
Inter.CP000255.1.1.2494488.0,1,4,5,9,1,0
Inter.CP000255.1.0.2565802.7,4,3,1,11,4,4
Inter.CP000255.1.0.1766067.82,2,0,2,4,1,1
Inter.CP000255.1.0.2830027.63,6,6,5,17,12,5
Inter.CP000255.1.0.2025472.10,1,6,4,9,7,4
gene2550,3257,2674,2032,730,579,518
Inter.CP000255.1.1.2623495.5,54,46,41,115,106,83
Inter.CP000255.1.1.2538337.2,2,3,2,4,2,1
Inter.CP000255.1.0.2830027.133,0,0,2,3,2,0
Inter.CP000255.1.0.1507114.14,4,3,5,9,4,1
Inter.CP000255.1.0.1853007.86,3,2,3,1,2,0
Inter.CP000255.1.0.2442654.14,4,2,2,5,3,2
Inter.CP000255.1.1.2414590.8,4,6,1,3,0,2
Inter.CP000255.1.1.482954.95,1,2,3,7,6,3
Inter.CP000258.1.1.0.89,1,1,1,4,1,0
Inter.CP000255.1.1.1646063.6,7,4,6,4,3,0
Inter.CP000255.1.1.727260.66,2,1,3,0,1,0
Inter.CP000255.1.0.1926438.158,2,7,1,6,1,2
Inter.CP000255.1.0.323294.26,0,3,1,3,2,2
Inter.CP000255.1.1.10613.97,6,5,3,10,6,4
Inter.CP000255.1.0.2149701.24,6,4,0,6,3,3
Inter.CP000255.1.1.566406.57,18,20,24,33,22,14
Inter.CP000255.1.1.1170092.302,1,1,2,1,4,2
Inter.CP000255.1.1.883217.0,5,4,5,17,7,2
Inter.CP000255.1.1.1170092.255,2,2,1,6,1,0
Inter.CP000255.1.1.771927.159,3,2,7,5,2,7
Inter.CP000255.1.0.871424.5,0,2,0,1,0,1
Inter.CP000255.1.0.2087346.275,1,6,1,6,3,0
Inter.CP000255.1.0.1415945.6,1619,1025,1044,369,337,255
Inter.CP000255.1.0.2699448.149,2,5,1,4,1,3
Inter.CP000255.1.1.2462003.5,0,1,1,1,2,1
Inter.CP000255.1.1.445966.63,4,1,1,1,3,1
Inter.CP000255.1.0.1037674.56,0,1,0,4,0,0
Inter.CP000255.1.1.1244688.356,0,1,2,2,3,0
Inter.CP000255.1.0.1677665.2,4,5,5,8,6,1
Inter.CP000255.1.1.1121261.0,1,2,4,3,1,1
Inter.CP000255.1.0.2277939.80,4,6,3,7,3,0
Inter.CP000255.1.0.1905115.7,9,10,7,7,7,6
Inter.CP000255.1.1.2272001.39,1,2,0,4,4,2
Inter.CP000255.1.0.2081722.26,0,3,0,0,0,0
Inter.CP000255.1.1.1991826.2,1,0,2,0,3,0
Inter.CP000255.1.0.2590957.93,1,1,1,3,0,2
Inter.CP000255.1.0.2627985.58,0,3,0,0,0,1
Inter.CP000255.1.1.566406.253,2,4,3,3,3,2
gene444,1161,1113,924,1002,755,780
Inter.CP000255.1.1.813246.102,1,2,2,1,2,0
Inter.CP000255.1.1.405471.12,4,4,1,4,2,0
gene2010,523,573,513,413,326,317
Inter.CP000255.1.0.690352.33,19,15,16,4,0,1
Inter.CP000255.1.0.2334846.22,4,4,1,5,7,3
Inter.CP000255.1.1.2261933.16,1,4,1,1,2,0
Inter.CP000255.1.1.123812.30,10,11,7,31,13,6
Inter.CP000255.1.0.2277939.51,0,1,1,4,3,1
gene119,59,75,47,115,71,30
Inter.CP000255.1.1.2451268.16,3,6,0,8,7,3
Inter.CP000255.1.0.1541358.305,2,1,1,4,2,0
Inter.CP000255.1.1.1388720.32,6,6,4,10,4,5
Inter.CP000255.1.1.944647.31,3,4,0,4,0,4
Inter.CP000255.1.1.1915072.14,4,6,3,8,8,3
Inter.CP000255.1.0.935266.4,68,31,52,37,38,36
Inter.CP000255.1.0.1000939.16,1,0,0,1,0,0
Inter.CP000255.1.1.1599028.0,0,0,0,1,0,0
gene1325,19,15,10,7,5,2
Inter.CP000255.1.0.1507114.69,2,2,3,5,1,3
Inter.CP000255.1.1.134234.91,4,3,0,10,5,1
Inter.CP000255.1.0.762369.2,51,45,44,20,14,14
Inter.CP000255.1.0.896358.5,228,187,190,96,93,73
Inter.CP000255.1.0.517919.0,3,0,1,9,6,2
Inter.CP000255.1.0.2442654.60,6,6,2,1,1,2
Inter.CP000255.1.0.1541358.39,1,0,1,0,2,0
Inter.CP000255.1.1.1343200.4,2,1,3,2,0,1
Inter.CP000255.1.0.1697155.135,1,1,0,1,1,2
Inter.CP000255.1.1.857097.78,0,0,3,3,1,1
Inter.CP000255.1.1.2335571.7,1,2,2,2,1,1
Inter.CP000255.1.1.2451268.12,6,0,2,0,0,3
gene1209,74,45,59,62,63,56
Inter.CP000255.1.1.2798394.0,21,14,12,11,14,10
Inter.CP000255.1.0.2864684.35,2,1,2,3,2,0
Inter.CP000255.1.1.1606676.22,6,2,2,6,11,0
Inter.CP000255.1.0.2252171.13,2,1,1,2,2,1
Inter.CP000255.1.0.2733542.8,4,5,5,13,2,1
Inter.CP000255.1.1.320792.4,3,3,6,4,1,2
Inter.CP000255.1.1.608577.47,3,1,2,5,1,2
Inter.CP000255.1.1.1442270.2,32,29,26,4,4,4
Inter.CP000255.1.1.2164336.17,3,4,1,5,0,3
Inter.CP000255.1.0.2305985.31,1,1,1,3,3,0
Inter.CP000255.1.1.497222.85,3,2,1,4,8,0
Inter.CP000255.1.1.36552.13,2,2,3,4,0,2
Inter.CP000255.1.1.1371971.2,1,1,0,1,1,0
Inter.CP000255.1.1.414364.8,11,11,6,20,10,6
Inter.CP000255.1.0.1677665.24,5,1,0,9,6,4
Inter.CP000255.1.1.259992.3,0,1,0,1,1,0
Inter.CP000255.1.0.1802439.121,3,4,5,4,8,4
Inter.CP000255.1.1.1957240.24,0,1,0,4,2,0
Inter.CP000255.1.1.330274.141,3,6,0,3,0,1
Inter.CP000255.1.0.2291621.129,1,1,0,3,2,0
Inter.CP000255.1.0.1407618.5,0,0,2,3,2,0
Inter.CP000255.1.1.134234.1,1,0,0,2,0,1
Inter.CP000255.1.0.2464555.11,0,1,1,2,0,1
Inter.CP000255.1.0.2319278.23,3,5,6,2,6,0
Inter.CP000255.1.0.1122198.17,3,3,1,5,2,0
Inter.CP000255.1.1.2111728.1,12,15,19,12,6,6
gene1715,159,171,152,131,82,70
Inter.CP000255.1.1.92974.34,1,0,0,4,2,0
Inter.CP000255.1.1.1503768.7,3,4,3,3,2,2
gene542,27,37,32,43,23,28
Inter.CP000255.1.1.2164336.21,1,7,2,8,5,3
Inter.CP000255.1.0.1443669.11,3,1,2,0,2,0
Inter.CP000255.1.0.2473017.18,0,2,1,2,1,0
Inter.CP000255.1.1.2456345.3,11,17,16,7,3,8
Inter.CP000255.1.1.2134710.7,0,4,0,9,2,0
Inter.CP000255.1.1.1136577.81,11,19,17,15,7,7
Inter.CP000255.1.1.2577130.1,6,7,4,8,2,3
Inter.CP000255.1.0.2699448.86,2,3,1,7,4,5
Inter.CP000255.1.1.813246.153,4,12,5,11,4,2
Inter.CP000255.1.0.2319278.3,47,31,34,28,12,5
Inter.CP000255.1.0.68791.25,1,0,0,2,1,0
Inter.CP000255.1.1.1008188.46,14,16,11,21,14,10
gene2275,222,176,170,164,155,112
gene2616,321,330,257,317,213,173
Inter.CP000255.1.1.1136577.15,0,1,0,0,0,1
Inter.CP000255.1.1.51203.18,0,1,1,1,3,0
Inter.CP000255.1.1.1388720.54,1,0,0,0,2,0
Inter.CP000255.1.0.169560.1,3,5,1,2,1,0
Inter.CP000255.1.0.65223.20,2,2,2,4,1,2
Inter.CP000255.1.0.2416003.28,2,1,1,3,0,2
Inter.CP000255.1.1.1059247.87,1,5,1,4,0,0
Inter.CP000255.1.0.2797567.6,0,1,0,2,1,1
Inter.CP000255.1.1.1528552.0,1,3,1,8,5,1
Inter.CP000255.1.0.1844014.31,6,4,1,2,1,1
Inter.CP000255.1.0.2511542.65,1,3,2,10,1,1
Inter.CP000255.1.1.1590608.4,8,6,3,2,1,0
Inter.CP000255.1.1.1168035.15,2,3,3,4,7,0
Inter.CP000255.1.0.2035806.20,1,2,0,0,1,0
Inter.CP000255.1.0.313053.34,2,12,15,14,10,3
Inter.CP000255.1.0.1994957.18,6,4,1,6,4,4
Inter.CP000255.1.0.268233.84,2,6,1,4,0,1
gene1408,52,71,50,67,49,40
Inter.CP000255.1.0.2797567.147,1,6,3,7,6,3
Inter.CP000255.1.0.1766067.116,0,0,1,0,0,0
Inter.CP000255.1.1.993769.12,1,4,1,6,0,0
Inter.CP000255.1.0.1407618.42,1,2,2,5,2,0
Inter.CP000255.1.0.1541358.367,4,4,7,3,3,1
Inter.CP000255.1.0.2200877.50,3,1,4,4,3,0
Inter.CP000255.1.1.2859142.5,1,4,0,5,4,0
Inter.CP000255.1.0.2457172.46,9,6,4,12,8,7
Inter.CP000255.1.0.1853007.23,2,0,2,3,2,0
Inter.CP000255.1.0.2420420.2,1,4,2,2,2,1
Inter.CP000255.1.1.1170092.98,9,5,4,4,4,0
Inter.CP000255.1.1.1343200.15,0,3,2,4,1,2
Inter.CP000255.1.0.919436.2,5,3,6,6,4,7
Inter.CP000255.1.0.402475.0,0,0,0,1,4,5
Inter.CP000255.1.1.102961.69,3,2,0,1,3,2
gene625,1051,888,855,495,467,566
Inter.CP000255.1.1.1103686.5,3,4,4,5,2,1
Inter.CP000255.1.0.1697155.207,1,4,1,2,1,1
Inter.CP000255.1.0.2046155.13,4,3,7,11,4,2
Inter.CP000255.1.1.566406.267,2,4,0,4,4,1
Inter.CP000255.1.1.813246.100,2,1,2,5,1,1
Inter.CP000255.1.0.1836327.30,1,0,0,0,0,1
Inter.CP000255.1.0.1890637.13,5,5,6,8,7,3
Inter.CP000255.1.1.1541002.4,4,3,4,6,1,2
Inter.CP000255.1.0.1677665.117,0,3,3,8,10,1
Inter.CP000255.1.0.2319278.92,1,0,0,2,0,1
Inter.CP000255.1.0.528567.0,6,9,5,12,4,3
Inter.CP000255.1.0.1589337.12,14,10,14,22,5,5
Inter.CP000255.1.1.2759236.0,5,9,3,11,6,3
gene984,36,28,15,29,21,24
Inter.CP000255.1.0.1616169.174,2,1,1,2,2,0
Inter.CP000255.1.0.2210614.16,1,1,2,5,2,2
Inter.CP000255.1.1.651984.92,1,3,0,2,1,0
Inter.CP000255.1.1.1364465.39,1,0,0,4,1,0
Inter.CP000255.1.0.2511542.158,0,0,0,1,1,0
Inter.CP000255.1.0.2684096.3,5,6,7,6,4,6
gene397,138,110,92,393,340,359
Inter.CP000255.1.0.1500086.30,26,16,29,32,14,7
Inter.CP000255.1.0.1456753.349,2,4,0,5,1,1
Inter.CP000255.1.0.2084687.8,38,33,27,13,20,17
Inter.CP000255.1.1.244992.39,7,6,4,4,3,1
Inter.CP000255.1.0.96755.12,2,1,1,3,1,0
gene2555,205,214,205,232,167,167
Inter.CP000255.1.1.356775.14,3,0,1,2,1,1
Inter.CP000255.1.0.1983750.47,0,1,0,3,4,2
Inter.CP000255.1.1.123812.3,0,3,1,2,2,0
Inter.CP000255.1.0.1616169.152,7,7,7,5,7,5
Inter.CP000255.1.0.1278500.2,72,61,61,96,65,106
rna49,267,287,320,228,245,278
Inter.CP000255.1.1.156842.18,25,37,23,29,26,16
Inter.CP000255.1.0.739828.29,0,2,1,5,1,0
Inter.CP000255.1.0.431228.33,3,1,0,3,0,2
Inter.CP000255.1.1.566406.138,0,3,1,4,1,2
Inter.CP000255.1.0.2442654.19,0,1,0,3,1,1
Inter.CP000255.1.0.2277939.92,1,0,4,2,1,2
Inter.CP000255.1.0.1677665.184,2,5,6,8,2,0
gene311,44,42,43,54,42,34
Inter.CP000255.1.0.2343175.24,2,4,0,1,0,0
gene1106,1669,1444,1392,905,894,712
Inter.CP000255.1.1.164781.62,0,0,0,0,1,0
gene778,399,376,310,184,167,179
Inter.CP000255.1.1.2456345.1,2,3,0,4,1,1
Inter.CP000255.1.0.2046155.73,2,7,6,6,3,3
Inter.CP000255.1.1.191512.24,1,2,4,3,1,1
Inter.CP000255.1.1.566406.312,9,3,15,24,20,15
gene946,384,378,377,182,181,213
Inter.CP000255.1.1.2480755.25,2,0,3,0,0,0
Inter.CP000255.1.1.259992.20,9,5,3,7,7,1
gene101,160,149,134,186,144,101
Inter.CP000255.1.1.102961.120,1,0,1,2,0,0
Inter.CP000255.1.0.1677665.168,0,2,0,2,1,0
Inter.CP000255.1.1.2851870.22,3,3,1,5,2,1
Inter.CP000255.1.1.885604.43,0,0,1,0,0,0
Inter.CP000255.1.0.403971.19,82,83,89,157,140,110
Inter.CP000255.1.1.1733352.12,59,60,44,50,42,48
Inter.CP000255.1.1.1364465.26,7,3,4,2,2,1
Inter.CP000255.1.1.2738678.14,1,1,0,1,2,0
Inter.CP000255.1.0.91198.19,1,0,0,2,1,0
Inter.CP000255.1.1.1371971.93,1,2,0,1,0,0
Inter.CP000255.1.0.2277939.37,0,2,0,0,1,2
Inter.CP000255.1.0.1734711.27,2,0,3,2,1,0
Inter.CP000255.1.0.725875.15,23,38,32,25,22,17
gene881,44,37,33,53,39,27
Inter.CP000255.1.1.599367.70,0,1,1,5,1,1
Inter.CP000255.1.1.2859142.8,4,6,4,5,2,2
Inter.CP000255.1.0.2545550.14,3,1,1,6,3,2
Inter.CP000255.1.0.1616169.211,1,1,0,1,1,3
Inter.CP000255.1.1.164781.2,1,3,0,4,2,2
Inter.CP000255.1.0.2334846.13,0,0,0,0,1,0
Inter.CP000255.1.1.754209.92,0,1,1,0,1,0
Inter.CP000255.1.0.2319278.101,0,0,0,0,1,1
Inter.CP000255.1.0.2175602.158,1,3,0,3,3,1
Inter.CP000255.1.0.2511542.68,0,0,0,2,2,0
Inter.CP000255.1.1.934609.39,1,9,3,7,6,1
Inter.CP000255.1.1.2245614.0,33,21,29,17,17,19
Inter.CP000255.1.1.840309.8,4,7,6,4,0,1
Inter.CP000255.1.1.497222.616,1,4,2,3,6,5
Inter.CP000255.1.1.1969000.24,0,1,1,2,1,0
Inter.CP000255.1.0.431228.45,26,10,17,15,6,6
Inter.CP000255.1.0.0.4,81,73,74,79,68,69
Inter.CP000255.1.0.319375.14,1,3,0,1,1,0
Inter.CP000255.1.0.424139.6,24,19,7,15,13,5
Inter.CP000255.1.0.2175602.60,0,1,0,3,6,2
Inter.CP000255.1.1.1654119.1,1,3,3,5,0,1
Inter.CP000255.1.1.2379301.6,4,9,16,18,11,4
gene569,1505,1464,1690,1910,1855,2077
Inter.CP000255.1.0.1428821.58,2,6,5,2,3,2
Inter.CP000255.1.0.354221.28,3,5,2,5,2,6
Inter.CP000255.1.1.497222.425,7,12,11,22,11,11
Inter.CP000255.1.0.2664620.2,0,3,1,7,3,2
Inter.CP000255.1.0.2126422.0,0,0,0,3,0,2
Inter.CP000255.1.0.1084075.25,9,3,8,6,9,1
Inter.CP000255.1.0.788141.11,11,4,4,12,7,3
Inter.CP000255.1.1.1059247.29,6,4,5,13,10,3
Inter.CP000255.1.1.2261933.27,3,4,6,2,0,5
Inter.CP000255.1.0.2340516.9,1,0,1,2,1,0
Inter.CP000255.1.0.2132520.1,0,0,0,3,0,0
Inter.CP000255.1.0.1608473.0,37,37,25,27,24,24
Inter.CP000255.1.0.1983750.52,3,7,4,12,7,6
Inter.CP000255.1.0.1507114.71,0,1,0,3,1,0
Inter.CP000255.1.1.1087371.6,0,2,2,1,0,0
Inter.CP000255.1.0.2264744.37,5,6,1,20,6,3
Inter.CP000255.1.0.1456753.408,0,5,2,0,4,0
Inter.CP000255.1.0.1945201.36,0,0,0,2,0,1
Inter.CP000255.1.1.2057654.2,74,60,55,36,17,26
Inter.CP000255.1.0.441389.45,0,0,1,1,0,0
Inter.CP000255.1.1.1319542.36,6,7,4,6,6,7
gene8,651,599,561,577,502,504
Inter.CP000255.1.0.1591939.7,2,0,1,2,0,1
Inter.CP000255.1.1.2272001.4,14,13,15,13,7,4
Inter.CP000255.1.0.2679803.26,0,1,3,4,1,0
Inter.CP000255.1.0.1025750.0,0,0,0,0,1,0
Inter.CP000255.1.0.200435.0,9,19,20,86,76,100
Inter.CP000255.1.0.2217814.127,40,32,27,30,25,24
Inter.CP000255.1.1.897442.44,1,2,2,3,1,1
Inter.CP000255.1.0.42452.40,2,6,4,4,2,2
gene323,349,343,343,566,447,426
Inter.CP000255.1.0.2478895.5,2,4,1,7,4,1
Inter.CP000255.1.0.42452.36,2,2,2,1,1,1
Inter.CP000255.1.0.2035806.9,2,2,3,2,4,0
Inter.CP000255.1.1.2480755.0,2,1,2,2,1,0
Inter.CP000255.1.0.2175602.39,0,1,0,2,0,0
Inter.CP000255.1.0.731616.0,1,0,1,1,0,0
Inter.CP000255.1.0.1443669.42,2,2,0,5,3,1
Inter.CP000255.1.0.2858496.8,2,3,6,3,4,1
Inter.CP000255.1.1.497222.510,4,6,7,7,4,4
Inter.CP000255.1.0.1037674.29,1,2,2,4,1,1
Inter.CP000255.1.1.2826448.10,4,6,2,15,6,6
Inter.CP000255.1.0.1926438.40,0,0,0,3,0,0
Inter.CP000255.1.0.1648419.29,2,5,2,5,2,0
Inter.CP000255.1.1.651984.106,1,1,0,2,1,0
Inter.CP000255.1.1.2187669.3,33,14,18,18,10,21
Inter.CP000255.1.1.1038242.0,254,218,212,80,82,79
Inter.CP000255.1.0.2699448.50,4,8,2,4,3,3
Inter.CP000255.1.0.1044013.3,4,4,6,10,5,3
Inter.CP000255.1.0.1322149.0,2,5,0,4,0,1
Inter.CP000255.1.0.2210614.3,9,7,7,10,5,7
Inter.CP000255.1.0.545189.0,82,50,47,54,59,47
Inter.CP000255.1.0.2864684.49,0,0,0,1,1,0
Inter.CP000255.1.1.356775.2,1,0,3,8,5,1
Inter.CP000255.1.1.919012.1,4,3,2,7,3,1
Inter.CP000255.1.1.2254929.4,17,23,20,78,127,119
Inter.CP000255.1.1.771927.71,1,2,2,2,1,1
Inter.CP000255.1.0.848090.0,176,165,145,1147,914,890
Inter.CP000255.1.1.164781.246,1,4,4,7,5,3
Inter.CP000255.1.1.320792.17,0,1,0,0,2,0
Inter.CP000255.1.1.627780.54,1,0,0,1,1,1
gene2587,124,115,116,178,133,100
gene2254,316,333,354,402,361,335
gene608,142,127,139,63,57,47
Inter.CP000255.1.0.2511542.192,0,2,5,1,0,0
Inter.CP000255.1.1.840309.110,3,3,5,1,0,1
Inter.CP000255.1.0.389353.9,0,7,2,9,10,2
Inter.CP000255.1.1.1762461.0,47,48,43,28,31,36
Inter.CP000255.1.1.1333405.9,0,0,1,0,1,2
Inter.CP000255.1.1.1333405.5,0,0,0,0,1,0
Inter.CP000255.1.1.2164336.31,0,1,3,3,2,1
Inter.CP000255.1.1.2649017.55,2,3,2,5,1,2
Inter.CP000255.1.1.2499274.18,3,2,1,2,6,1
Inter.CP000255.1.0.2035806.53,0,2,5,5,0,1
gene2048,47,53,47,126,108,97
Inter.CP000255.1.0.1994957.75,0,1,4,3,1,3
Inter.CP000255.1.1.1986189.7,24,31,26,2,5,2
Inter.CP000255.1.0.2664620.14,1,0,1,4,3,0
Inter.CP000255.1.1.1333405.7,0,1,0,4,1,1
Inter.CP000255.1.1.2405189.32,1,4,0,5,2,0
gene2400,133,92,101,113,112,102
Inter.CP000255.1.1.497222.411,2,3,1,7,1,1
gene396,93,126,108,305,247,210
Inter.CP000255.1.0.1401043.10,4,9,5,11,6,4
Inter.CP000255.1.0.2483989.2,2,2,2,1,3,1
Inter.CP000255.1.1.2727636.17,0,0,0,1,1,1
Inter.CP000255.1.0.1130503.1,1,0,0,2,2,0
gene1950,84,84,77,55,48,41
Inter.CP000255.1.1.2214624.0,2,9,1,2,4,9
Inter.CP000255.1.1.1008188.93,1,2,0,3,4,0
Inter.CP000255.1.0.1844014.22,0,1,0,1,0,0
Inter.CP000255.1.0.403971.0,1,4,1,1,2,1
gene435,338,336,316,255,193,227
gene748,6585,6396,5891,3984,3707,3931
Inter.CP000255.1.0.1541358.162,0,1,1,1,0,1
Inter.CP000255.1.0.2252171.30,0,2,0,4,1,1
Inter.CP000255.1.1.156842.24,1,3,0,4,0,4
Inter.CP000255.1.0.2305985.36,1,2,2,8,2,1
Inter.CP000255.1.1.1299662.61,1,1,2,3,1,1
gene1735,209,154,179,167,168,140
Inter.CP000255.1.0.553614.3,21,20,27,15,10,14
Inter.CP000255.1.1.2632064.5,2,1,0,3,0,1
Inter.CP000255.1.1.1073736.36,1,2,2,7,4,3
Inter.CP000255.1.1.970988.61,4,0,1,2,2,1
Inter.CP000255.1.0.1734711.116,2,3,3,2,4,0
Inter.CP000255.1.0.1972520.18,0,2,2,2,1,0
Inter.CP000255.1.0.1456753.274,1,1,2,4,0,0
Inter.CP000255.1.0.1541358.377,4,5,2,11,4,3
Inter.CP000255.1.0.1352478.0,2,1,0,1,0,1
Inter.CP000255.1.0.1890637.28,4,5,2,6,3,3
Inter.CP000255.1.0.1026393.0,4,4,11,10,2,5
Inter.CP000255.1.0.1697155.146,4,8,4,14,4,5
Inter.CP000255.1.1.895130.2,2,1,0,0,0,0
Inter.CP000255.1.0.2434583.11,4,14,9,18,14,6
Inter.CP000255.1.1.1529255.0,60,47,60,61,64,44
Inter.CP000255.1.0.1877792.105,7,1,1,2,0,2
Inter.CP000255.1.0.2343175.166,4,7,9,18,11,12
Inter.CP000255.1.1.873584.13,7,3,4,9,2,1
Inter.CP000255.1.0.867459.11,2,1,3,1,3,0
Inter.CP000255.1.1.2065336.18,7,15,9,14,4,5
Inter.CP000255.1.0.2483989.7,2,10,2,12,3,2
Inter.CP000255.1.0.118511.23,5,2,6,2,2,1
Inter.CP000255.1.0.2620004.17,8,21,9,28,13,12
gene994,10480,10365,11427,16747,16665,19580
Inter.CP000255.1.0.2511542.137,1,1,1,6,2,0
Inter.CP000255.1.1.1572502.0,2,4,2,5,3,3
Inter.CP000255.1.0.2699448.143,8,10,6,16,13,5
Inter.CP000255.1.1.1602469.11,4,2,3,2,2,0
gene217,153,136,132,167,110,92
Inter.CP000255.1.1.1213362.77,3,1,3,0,1,2
Inter.CP000255.1.0.1697155.269,2,9,3,23,3,3
Inter.CP000255.1.1.746767.46,2,3,0,4,2,2
Inter.CP000255.1.0.283881.16,3,4,0,11,2,2
Inter.CP000255.1.0.1766067.278,2,2,2,9,1,2
Inter.CP000255.1.1.1795038.0,4,5,6,6,4,4
Inter.CP000255.1.0.2772481.81,2,4,1,3,2,0
Inter.CP000255.1.1.1876117.4,0,4,3,4,5,0
Inter.CP000255.1.0.1926438.7,2,1,1,0,0,1
Inter.CP000255.1.0.2305985.39,1,2,6,4,1,0
Inter.CP000255.1.0.2753574.138,9,8,5,12,12,4
Inter.CP000255.1.0.1959232.42,4,6,0,11,3,1
Inter.CP000255.1.0.1766067.225,2,4,1,2,2,0
Inter.CP000255.1.0.2087346.77,6,2,3,8,5,1
Inter.CP000255.1.1.651984.23,1,2,2,7,3,2
Inter.CP000255.1.0.118511.14,3,0,0,1,2,3
Inter.CP000255.1.1.435960.18,5,9,6,11,9,3
Inter.CP000255.1.1.717967.12,3,2,0,2,1,1
Inter.CP000255.1.0.1766067.25,2,4,4,1,0,0
Inter.CP000255.1.1.1319542.33,0,1,1,1,1,0
Inter.CP000255.1.0.2820916.18,4,7,3,11,5,4
Inter.CP000255.1.0.441389.16,0,4,1,1,0,0
Inter.CP000255.1.1.164781.156,2,0,2,6,1,3
Inter.CP000255.1.0.2035806.77,7,9,15,13,9,6
Inter.CP000255.1.1.678881.4,109,111,117,140,165,141
Inter.CP000255.1.0.1507114.257,3,6,4,5,2,1
Inter.CP000255.1.0.1697155.210,0,2,3,3,5,3
Inter.CP000255.1.0.1222540.7,14,9,13,6,2,9
Inter.CP000255.1.0.1646981.9,2,1,6,1,1,0
Inter.CP000255.1.1.2044250.5,4,3,0,4,2,0
Inter.CP000255.1.0.2013404.9,3,1,1,1,1,1
Inter.CP000255.1.1.1057582.4,8,6,8,8,4,4
Inter.CP000255.1.0.2416003.7,2,7,2,19,6,3
Inter.CP000255.1.1.1678567.0,10,12,13,2,3,8
Inter.CP000255.1.1.330274.218,2,1,2,5,2,1
Inter.CP000255.1.0.1648419.157,24,20,22,26,14,9
Inter.CP000255.1.1.1087371.114,7,4,5,5,2,6
gene545,300,337,279,551,580,465
Inter.CP000255.1.1.195296.49,8,8,13,34,23,15
Inter.CP000255.1.0.2457172.48,5,0,0,5,0,0
Inter.CP000255.1.1.2587454.5,25,21,22,11,11,5
Inter.CP000255.1.0.2217814.197,1,1,1,3,1,0
Inter.CP000255.1.1.320792.22,0,0,1,2,3,0
Inter.CP000255.1.0.1112388.12,3,6,4,0,2,1
Inter.CP000255.1.1.1021132.37,0,6,0,3,1,1
gene1064,130,117,104,115,63,63
Inter.CP000255.1.0.1697155.331,1,2,2,3,1,0
Inter.CP000255.1.1.164781.142,1,3,3,3,1,0
Inter.CP000255.1.1.840309.96,0,0,0,1,1,0
Inter.CP000255.1.0.2343175.174,3,1,3,7,7,4
Inter.CP000255.1.1.2674343.1,1,0,0,2,1,1
Inter.CP000255.1.0.211548.124,7,10,11,17,10,6
Inter.CP000255.1.0.940399.41,2,6,1,6,1,2
Inter.CP000255.1.1.2539530.55,8,8,6,9,4,6
Inter.CP000255.1.0.2627985.81,1,3,1,2,2,0
Inter.CP000255.1.0.2081722.9,5,5,6,4,1,0
Inter.CP000255.1.0.1648419.251,2,3,1,2,2,1
Inter.CP000255.1.1.1659254.0,1,1,7,4,1,5
Inter.CP000255.1.0.2434583.1,5,7,8,9,10,6
Inter.CP000255.1.0.2277939.72,0,0,0,2,1,1
Inter.CP000255.1.1.840309.78,6,10,8,29,25,15
Inter.CP000255.1.0.2864684.44,1,2,1,5,3,2
Inter.CP000255.1.1.2123289.10,0,0,0,3,0,0
Inter.CP000255.1.0.2820114.3,2,3,5,11,3,2
Inter.CP000255.1.0.1541358.98,3,3,3,6,3,1
gene44,10,5,4,16,12,4
Inter.CP000255.1.1.1125544.36,1,3,3,3,3,4
Inter.CP000255.1.1.2756334.3,3,3,1,9,4,0
Inter.CP000255.1.0.2030838.8,1,1,3,1,0,0
Inter.CP000255.1.1.195296.102,4,7,4,6,0,3
Inter.CP000255.1.0.2743918.9,10,8,7,11,13,8
Inter.CP000255.1.1.959788.40,3,4,3,12,11,4
Inter.CP000255.1.1.1758704.2,3,5,8,16,8,5
Inter.CP000255.1.0.1983750.82,0,2,1,1,2,2
Inter.CP000255.1.1.1730900.15,0,0,1,0,1,0
Inter.CP000255.1.0.2753574.4,3,5,3,6,2,1
Inter.CP000255.1.1.638113.23,6,12,7,14,9,3
Inter.CP000255.1.0.1866877.71,3,3,4,6,3,1
Inter.CP000255.1.1.285730.222,1,6,1,4,3,1
Inter.CP000255.1.1.2727636.14,1,3,3,0,1,2
Inter.CP000255.1.0.2679803.8,2,0,2,0,1,0
Inter.CP000255.1.0.1339861.0,1,2,0,0,0,0
Inter.CP000255.1.1.285730.56,1,2,1,4,0,0
