gene,P23.1,P23.2,P23.3,P23.G.1,P23.G.2,P23.G.3
Inter.CP000255.1.1.1213362.71,3,4,1,4,0,1
Inter.CP000255.1.0.1646981.0,0,0,0,1,0,2
Inter.CP000255.1.1.2146707.4,17,17,23,43,18,11
gene2372,15,22,17,52,23,10
Inter.CP000255.1.1.330274.169,0,2,1,1,0,0
Inter.CP000255.1.0.2627985.99,11,7,7,17,18,5
Inter.CP000255.1.1.1151760.3,1,0,0,2,0,0
gene1682,1284,1034,969,644,567,714
Inter.CP000255.1.1.2123289.35,2,9,6,4,4,2
Inter.CP000255.1.1.2571699.1,3,5,8,16,15,7
Inter.CP000255.1.1.1534411.12,0,1,0,0,0,0
Inter.CP000255.1.0.2372100.10,9,14,4,17,6,2
Inter.CP000255.1.1.813246.201,3,6,4,6,2,2
gene114,409,414,393,223,197,251
gene1282,64,103,89,532,509,485
Inter.CP000255.1.0.2743918.5,2,1,2,5,2,0
Inter.CP000255.1.1.566406.110,11,7,7,13,10,7
Inter.CP000255.1.0.419888.8,0,1,0,0,0,0
Inter.CP000255.1.1.1828464.2,2,2,2,2,5,1
gene1382,35,47,39,117,62,25
Inter.CP000255.1.0.1037674.55,1,1,0,0,3,0
Inter.CP000255.1.0.2046155.57,1,0,0,1,0,0
Inter.CP000255.1.0.2175602.216,3,3,3,6,10,3
Inter.CP000255.1.1.1371971.36,0,0,4,3,0,2
Inter.CP000255.1.0.2343175.41,0,0,0,0,1,0
Inter.CP000255.1.0.2142729.13,1,4,3,5,10,12
Inter.CP000255.1.1.651984.68,1,1,0,0,0,0
Inter.CP000255.1.1.885604.75,1,0,0,0,1,0
Inter.CP000255.1.1.944647.45,2,2,3,4,4,4
gene2396,114,109,125,111,80,74
Inter.CP000255.1.0.2797567.59,1,2,1,1,1,2
Inter.CP000255.1.0.801856.9,5,4,0,8,1,2
Inter.CP000255.1.1.2315120.7,1,2,3,3,2,0
Inter.CP000255.1.0.1070682.13,1,0,2,3,4,2
Inter.CP000255.1.1.445966.153,2,1,2,2,1,2
Inter.CP000255.1.0.2736651.0,0,1,0,2,1,0
Inter.CP000255.1.1.638113.30,3,5,4,4,3,0
Inter.CP000255.1.1.566406.25,0,0,1,2,2,2
Inter.CP000255.1.1.1319542.90,1,0,1,2,0,0
Inter.CP000255.1.0.1239247.1,2,6,7,5,3,4
Inter.CP000255.1.1.1244688.199,1,1,0,0,3,0
Inter.CP000255.1.0.1945201.88,2,2,0,2,4,0
Inter.CP000255.1.1.1008188.38,0,1,0,2,1,0
Inter.CP000255.1.0.1428821.142,0,0,1,1,1,0
Inter.CP000255.1.1.1349794.21,0,1,0,0,2,0
Inter.CP000255.1.0.2217814.118,7,2,11,9,6,3
Inter.CP000255.1.0.1154198.20,0,0,2,0,0,0
Inter.CP000255.1.0.1616169.179,2,0,3,1,0,0
Inter.CP000255.1.1.566406.67,1,2,3,4,1,3
Inter.CP000255.1.0.779086.2,3,1,3,8,5,2
Inter.CP000255.1.1.63914.16,3,4,2,1,3,0
Inter.CP000255.1.0.1378280.1,3,1,2,3,2,3
Inter.CP000255.1.0.2511542.99,7,8,5,9,9,4
Inter.CP000255.1.0.2305985.50,1,4,2,3,2,0
