,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_00148,614,726,568,718,554,469,726,538,558
HG001_00149,127,108,137,146,171,151,143,182,153
HG001_00150,6,10,5,13,9,13,5,14,6
HG001_00151,4,9,12,11,17,10,8,4,5
HG001_00152,31,34,32,32,28,20,28,40,31
HG001_00153,94,91,122,147,100,104,97,126,114
HG001_00154,72,88,65,100,98,77,46,64,72
HG001_00155,210,228,224,209,265,150,183,203,214
HG001_00156,22,25,28,28,20,25,25,21,17
HG001_00157,24,17,16,20,19,19,19,17,21
HG001_00158,50,61,45,79,59,59,53,53,45
HG001_00159,150,143,152,227,185,151,121,132,129
HG001_00160,113,105,109,120,103,131,94,93,84
HG001_00161,236,229,307,314,325,319,243,280,236
HG001_00162,229,207,278,312,299,317,224,265,261
HG001_00163,395,382,441,474,459,436,381,421,437
HG001_00164,1,8,4,4,4,6,1,3,3
HG001_00165,121,130,133,190,161,135,122,147,114
HG001_00166,181,181,179,197,217,193,173,181,167
HG001_00167,126,130,119,185,186,171,114,135,155
HG001_00168,64,57,61,81,64,62,54,65,53
HG001_00169,46024,47308,28856,63262,68915,47588,17205,23893,29263
HG001_00170,12264,11639,6644,15820,16675,12806,3810,6143,7418
HG001_00171,56,47,48,60,68,42,53,57,50
HG001_00172,7,4,8,9,7,7,4,9,8
HG001_00173,42,55,59,80,54,35,48,54,53
HG001_00174,13200,12172,35185,17704,17855,25140,26147,25252,19739
HG001_00175,19382,15743,52504,22108,24242,33837,36661,35887,28027
HG001_00176,11188,10242,29633,13298,15020,20799,22466,20593,16513
HG001_00177,11340,15259,35242,17888,19051,23346,26951,22641,19857
HG001_00178,10119,14432,29244,17098,17988,20438,22925,19402,17642
HG001_00179,60,75,43,85,70,63,74,72,81
HG001_00180,516,575,462,624,566,517,403,400,441
HG001_00181,57,63,46,75,66,77,30,39,40
HG001_00182,223,223,98,284,281,185,114,116,146
HG001_00183,2642,2812,1485,3520,3569,2625,1451,1650,1929
HG001_00184,11509,12228,8982,22093,22396,23991,5614,6978,7178
HG001_00185,224,213,270,331,320,336,246,239,220
HG001_00186,428,389,530,509,505,430,437,590,469
HG001_00187,18,17,31,32,27,21,25,35,26
HG001_00188,9,2,9,5,3,10,6,6,6
HG001_00189,9,7,6,4,8,3,7,10,7
HG001_00190,44,40,71,58,49,58,50,49,48
HG001_00191,67,72,89,104,57,63,75,70,71
HG001_00192,5,6,12,5,8,6,6,5,4
HG001_00193,124,124,151,179,165,140,127,153,132
HG001_00194,561,885,755,850,801,734,814,667,660
HG001_00195,835,1265,1148,1161,1108,1011,1187,1123,1083
HG001_00196,1811,2129,2138,2352,2147,1775,2210,2153,1988
HG001_00197,215,219,246,252,235,197,215,247,240
HG001_00198,681,738,622,832,776,630,671,652,710
HG001_00199,2936,3816,3326,3655,3245,3005,3105,3078,3117
HG001_00200,7427,9096,8622,8673,7488,6941,8492,7738,7743
HG001_00201,10446,12366,11845,11244,10379,8533,11206,11043,10835
HG001_00202,1282,1395,865,1476,1772,1160,724,919,923
HG001_00203,305,380,274,395,398,312,306,315,306
HG001_00204,59,52,50,64,81,55,50,54,61
HG001_00205,356,219,83,230,168,112,50,142,139
HG001_00206,7241,4766,3015,4650,4345,3522,1646,3752,3851
HG001_00207,126,138,160,208,231,132,134,150,144
HG001_00208,46,52,41,49,39,39,54,42,36
HG001_00209,144,137,129,157,160,115,123,138,127
HG001_00210,18,18,22,22,27,32,17,28,21
HG001_00211,517,518,615,690,802,662,489,643,541
HG001_00212,161,155,206,236,215,196,166,184,156
HG001_00213,242,174,286,338,337,276,221,317,290
HG001_00214,453,394,473,382,463,294,471,437,457
HG001_00215,9,12,3,9,10,13,6,7,5
HG001_00216,0,2,5,1,2,3,1,1,1
HG001_00217,61,35,63,59,61,44,67,70,64
HG001_00218,170,223,234,266,225,218,311,219,209
HG001_00219,310,392,450,483,476,433,531,497,424
HG001_00220,70,77,51,129,109,98,55,46,52
HG001_00221,31,35,41,52,53,37,27,25,25
HG001_00222,13,12,6,25,11,20,8,6,10
HG001_00223,68,131,70,216,201,162,76,71,60
HG001_00224,2,12,7,10,2,5,6,5,8
HG001_00225,14,22,21,33,23,18,13,19,16
HG001_00226,133,127,122,194,202,135,94,110,112
HG001_00227,6011,6578,5484,10573,11317,12223,4730,4768,4318
HG001_00228,177,245,197,302,227,197,173,128,176
HG001_00229,54,90,65,109,102,66,62,47,69
HG001_00230,4,10,8,13,6,8,4,4,7
HG001_00231,45,81,56,88,81,64,51,35,46
HG001_00232,455,701,655,676,638,541,471,456,529
HG001_00233,37,68,72,68,50,52,50,52,55
HG001_00234,71,84,100,85,75,79,65,87,72
HG001_00235,74,109,115,109,71,73,93,69,91
HG001_00236,40,59,76,58,51,48,48,45,52
HG001_00237,799,1166,973,1096,1034,842,860,954,930
HG001_00238,721,986,678,934,786,580,873,656,699
HG001_00239,35,45,61,52,36,41,49,35,54
HG001_00240,15,15,12,22,14,9,13,18,17
HG001_00241,139,118,126,177,195,112,104,101,87
HG001_00242,73,159,132,163,114,114,97,89,81
HG001_00243,116,154,164,189,140,123,120,106,114
HG001_00244,83,149,115,143,135,119,119,123,106
HG001_00245,87,184,128,195,168,122,156,110,118
HG001_00246,63,94,94,105,93,65,97,81,56
HG001_00247,181,215,108,238,179,99,105,121,117
HG001_00248,404,370,357,613,538,348,308,295,343
HG001_00249,189,172,124,317,306,369,121,138,136
HG001_00250,761,566,731,647,588,564,648,678,663
HG001_00251,110,127,77,153,178,131,126,146,140
HG001_00252,2213,3072,2463,3044,2965,2592,2498,1847,2145
HG001_00253,2041,2652,2313,2693,2456,2771,2038,1650,1807
HG001_00254,465,326,369,574,574,686,354,385,394
HG001_00255,40,59,61,66,32,51,52,39,38
HG001_00256,55,85,71,119,89,91,66,56,84
HG001_00257,84,117,110,158,135,123,119,92,88
HG001_00258,414,280,460,409,437,402,326,420,352
HG001_00259,143,127,160,141,147,142,132,155,159
HG001_00260,74,121,95,80,62,59,118,123,129
HG001_00261,98,108,99,127,101,123,72,63,91
HG001_00262,188,220,195,178,155,132,179,204,192
HG001_00263,405,572,674,934,871,970,539,385,441
HG001_00264,25533,28521,49884,38389,39675,47344,66014,54722,43791
HG001_00265,117,88,115,102,104,101,104,133,124
HG001_00266,71,36,73,62,58,61,71,91,81
HG001_00267,144,169,171,134,151,101,137,166,158
HG001_00268,93,140,135,71,81,70,139,120,112
HG001_00269,174,262,251,164,151,109,265,286,249
HG001_00270,153,236,260,113,116,83,242,239,230
HG001_00271,148,216,205,136,107,88,298,288,242
HG001_00272,7102,7186,8084,6877,7205,6272,7074,6678,6992
HG001_00273,464,424,413,457,572,450,439,557,453
HG001_00274,71,73,75,71,102,84,94,94,91
HG001_00275,104,103,70,83,115,73,114,112,104
HG001_00276,218,259,160,244,276,205,290,309,253
HG001_00277,83,96,63,81,96,69,83,91,87
HG001_00278,44,45,42,56,24,34,49,44,35
HG001_00279,22,31,12,32,19,22,21,22,23
HG001_00280,102,86,91,173,150,147,76,110,93
HG001_00281,418,620,581,725,683,662,593,484,524
HG001_00282,748,1117,1090,1154,1051,1130,1168,940,958
HG001_00283,456,618,596,610,569,510,637,543,540
HG001_00284,85,52,73,84,105,83,59,77,76
HG001_00285,89,93,86,125,131,141,90,97,81
HG001_00286,37,47,50,52,36,36,46,44,41
HG001_00287,93,111,145,124,107,98,117,128,101
HG001_00288,174,219,227,195,199,168,193,224,197
HG001_00289,40,29,36,43,32,35,28,44,35
HG001_00290,38,22,22,37,34,34,27,27,26
HG001_00291,41,39,41,55,55,66,26,30,40
HG001_00292,7,18,10,20,19,14,15,11,5
HG001_00293,64,86,73,103,91,76,55,90,66
HG001_00294,175,187,148,202,210,177,135,144,157
HG001_00295,268,259,258,394,317,262,250,222,214
HG001_00296,18,25,21,21,26,17,17,16,12
HG001_00297,6460,6743,6429,7287,6659,5508,5948,6959,5996
HG001_00298,117,90,132,156,156,96,114,116,109
HG001_00299,95,154,161,144,158,141,153,97,115
HG001_00300,56,77,95,71,74,69,50,67,61
HG001_00301,33,33,51,43,32,34,32,37,25
HG001_00302,9,25,23,27,27,28,15,15,23
HG001_00303,137,110,100,178,139,63,96,93,134
HG001_00304,55,88,57,66,67,50,47,68,72
HG001_00305,129,166,137,120,102,89,148,125,109
HG001_00306,70,108,74,75,54,53,97,74,67
HG001_00307,677,924,721,741,679,540,785,834,740
HG001_00308,22,26,16,34,21,22,15,23,21
HG001_00309,2363,1874,2464,2388,2515,2355,1892,2323,2306
HG001_00310,3649,2780,3703,3624,3915,3706,2910,3867,3435
HG001_00311,2746,2348,2468,3135,3161,2810,2187,2556,2394
HG001_00312,18,19,17,18,15,14,17,8,15
HG001_00313,7,8,9,11,4,7,9,7,11
HG001_00314,32,57,32,60,45,43,45,25,34
HG001_00315,2,3,3,3,3,1,3,5,2
HG001_00316,5876,6951,5294,7011,5719,2666,7746,4974,6191
HG001_00317,220,237,185,250,225,174,166,152,156
HG001_00318,12164,10251,11378,9988,10307,8888,12334,11944,10847
HG001_00319,56,57,37,58,67,34,47,62,48
HG001_00320,107,104,97,106,118,111,87,125,79
HG001_00321,749,797,655,732,669,512,584,708,619
HG001_00322,22,34,23,32,30,26,36,27,29
HG001_00323,18259,17939,24141,26460,26658,25073,24556,21950,19034
HG001_00324,8379,9449,11766,12737,12657,12443,11967,9971,9024
HG001_00325,696,800,724,834,742,632,640,689,622
HG001_00326,5271,4183,8679,9705,10010,9898,9317,10107,7207
HG001_00327,1101,1420,1006,1235,1220,883,1020,1221,1106
HG001_00328,576,802,646,850,873,685,703,642,668
HG001_00329,22030,17801,17777,22908,22666,21960,17939,18819,16192
HG001_00330,1,2,5,3,4,1,2,2,1
HG001_00331,171,192,149,215,225,192,149,183,167
HG001_00332,470,458,363,561,676,571,350,502,440
HG001_00333,2119,1794,1890,1510,1733,1554,1741,2341,2218
HG001_00334,3546,2945,3092,2324,2587,2078,2999,3688,3547
HG001_00335,37,48,27,39,36,23,51,35,40
HG001_00336,30,36,36,47,42,24,46,38,41
HG001_00337,2,3,2,0,0,1,2,1,1
HG001_00338,4,6,7,12,1,10,10,4,6
HG001_00339,106,69,102,83,95,100,82,107,97
HG001_00340,181,125,292,156,171,179,174,208,187
HG001_00341,430,500,335,717,697,334,551,381,440
HG001_00342,5,4,4,5,6,7,4,9,10
HG001_00343,10,18,14,15,6,21,28,6,12
HG001_00344,4,7,3,12,3,7,7,12,12
HG001_00345,7,7,7,7,4,5,5,9,7
HG001_00346,9,22,24,43,25,23,19,24,21
HG001_00347,29,47,56,43,44,29,47,52,47
HG001_00348,11,15,16,8,6,8,9,7,7
HG001_00349,4,9,6,9,8,3,7,6,9
HG001_00350,16,20,13,23,28,17,19,17,16
HG001_00351,120,139,133,158,181,139,140,142,148
HG001_00352,71,127,78,114,128,100,91,81,97
HG001_00353,11,21,15,26,16,10,14,14,11
HG001_00354,213,290,270,357,284,237,295,240,244
HG001_00355,136,203,185,405,325,344,191,128,149
HG001_00356,12,29,14,23,18,17,15,19,19
HG001_00357,51,86,81,60,61,63,55,27,51
HG001_00358,575,856,650,790,727,478,596,538,501
HG001_00359,2054,2607,2107,2700,2434,1837,2051,1965,1858
HG001_00360,726,1257,764,1237,942,710,817,706,734
HG001_00361,1016,1487,1230,1552,1360,945,1092,1006,1014
HG001_00362,88,100,86,146,123,111,114,94,99
HG001_00363,80,95,101,130,103,101,106,107,95
HG001_00364,102,69,115,148,108,236,102,77,88
HG001_00365,664,650,748,963,820,1659,709,669,648
HG001_00366,351,356,276,429,386,450,350,293,323
HG001_00367,166,138,141,162,178,154,140,150,170
HG001_00368,288,267,246,308,305,258,267,272,268
HG001_00369,2,2,6,8,2,3,9,6,5
HG001_00370,35,30,36,42,31,27,38,25,28
HG001_00371,55,58,37,85,73,57,70,61,65
HG001_00372,159,150,106,180,184,134,142,160,173
HG001_00373,18,26,31,32,25,29,21,23,12
HG001_00374,9,23,14,26,14,8,20,14,17
HG001_00375,64,94,81,77,68,56,74,78,60
HG001_00376,674,940,705,814,878,675,854,748,727
HG001_00377,158,152,99,176,165,137,126,149,155
HG001_00378,97,82,91,102,104,94,95,95,100
HG001_00379,325,344,300,355,351,298,288,279,285
HG001_00380,70,66,61,87,67,73,66,60,53
HG001_00381,41,44,32,57,54,39,34,36,37
HG001_00382,11,16,12,17,10,16,9,7,15
HG001_00383,192,260,319,290,278,229,309,315,284
HG001_00384,130,146,152,172,148,154,196,228,181
HG001_00385,18,6,7,7,6,8,10,9,7
HG001_00386,1159,1110,860,1365,1358,831,877,1212,979
HG001_00387,306,325,315,344,349,245,356,359,313
HG001_00388,209,247,220,400,385,260,260,260,220
HG001_00389,329,113,227,251,261,219,179,317,210
HG001_00390,0,0,0,0,0,0,0,0,0
HG001_00391,0,0,0,0,0,0,0,0,0
HG001_00392,65,84,77,71,65,53,77,60,74
HG001_00393,672,1031,862,926,1018,677,989,765,840
HG001_00394,1205,1670,1400,1798,2029,1173,1578,1325,1271
HG001_00395,1728,2369,2087,2663,3074,1644,2142,1679,1676
HG001_00396,700,1470,2693,850,105,592,919,1604,3072
HG001_00397,1168,4627,11854,1301,257,1081,1467,3548,6811
HG001_00398,92,136,122,142,153,124,116,113,106
HG001_00399,97,118,113,144,133,101,107,115,103
HG001_00400,1489,1645,1623,2084,2301,1709,1767,1721,1677
HG001_00401,524,598,576,689,652,399,619,512,558
HG001_00402,359,498,376,525,474,301,388,404,385
HG001_00403,267,267,235,276,261,181,248,236,225
HG001_00404,56,67,51,87,60,39,57,69,64
HG001_00405,28,34,24,29,39,33,32,27,36
HG001_00406,103,79,104,94,88,77,80,97,105
HG001_00407,2163,2677,2185,2950,2637,2292,2191,2268,2225
HG001_00408,1635,1800,1645,2109,1986,1562,1556,1660,1602
HG001_00409,137,215,178,227,213,166,201,204,136
HG001_00410,233,312,305,313,286,242,293,303,282
HG001_00411,2915,2520,2100,3656,3086,1488,2570,2462,2466
HG001_00412,463,406,465,556,629,360,445,487,505
HG001_00413,762,712,725,822,828,617,622,860,767
HG001_00414,14001,9611,12847,12303,12728,10546,11132,12687,11637
HG001_00415,16728,12673,16485,15771,16537,14420,13185,15020,14120
HG001_00416,2223,1544,2275,1844,2122,1739,2014,2666,2326
HG001_00417,2289,1556,2499,1976,2389,2077,1878,2626,2232
HG001_00418,4991,4621,4238,5802,6100,4837,3849,4799,4228
HG001_00419,82,84,75,106,108,77,70,79,80
HG001_00420,1241,1366,1415,1378,1381,1322,1209,1320,1258
HG001_00421,859,979,935,1030,914,854,871,840,886
HG001_00422,1063,1400,1255,1096,1048,945,1205,1163,1249
HG001_00423,261,399,285,245,244,224,307,319,311
HG001_00424,550,624,533,547,516,439,592,515,517
HG001_00425,1018,1152,858,1030,975,771,958,1000,970
HG001_00426,100,116,133,169,139,103,125,93,105
HG001_00427,159,175,165,185,193,150,218,159,158
HG001_00428,8123,6960,9252,7717,8127,7761,7295,8731,8323
HG001_00429,325,363,325,380,404,300,324,275,358
HG001_00430,6779,6433,6905,9255,9548,9646,7160,6957,6421
HG001_00431,87,128,111,106,121,106,129,116,142
HG001_00432,78,106,106,88,78,60,137,114,112
HG001_00433,143,218,207,241,246,197,205,175,178
HG001_00434,2321,3055,2834,2207,2635,1832,2814,2679,2613
HG001_00435,0,2,3,3,0,1,4,5,3
HG001_00436,1,2,1,3,0,2,1,2,0
HG001_00437,3,7,2,5,6,3,1,10,2
HG001_00438,9,6,10,7,7,2,5,5,9
HG001_00439,7,5,11,15,10,9,8,7,9
HG001_00440,1,0,0,3,1,0,1,2,2
HG001_00441,16,14,9,14,17,7,9,21,15
HG001_00442,8,5,6,12,9,3,6,6,7
HG001_00443,17,8,11,18,14,5,11,12,10
HG001_00444,755,1545,2685,812,146,598,861,1503,3115
HG001_00445,1120,4651,11895,1402,277,1029,1517,3638,6671
HG001_00446,1,1,2,4,0,2,1,4,5
HG001_00447,40,47,47,54,48,48,30,33,33
HG001_00448,1305,1546,1586,1830,2095,1279,1391,1528,1405
HG001_00449,1249,1673,1548,1958,2156,1378,1318,1413,1264
HG001_00450,500,463,382,730,676,551,373,476,427
HG001_00451,511,513,461,532,532,392,569,566,544
HG001_00452,936,1165,927,1079,1105,854,1079,1034,1031
HG001_00453,1794,2173,1848,2049,1872,1577,2096,2113,2055
HG001_00454,8755,9808,9402,8997,8356,7251,9518,9993,9239
HG001_00455,1139,1468,1355,973,932,750,1456,1428,1494
HG001_00456,806,700,642,522,495,401,869,754,770
HG001_00457,1838,2061,1862,1816,1722,1677,1809,1826,1815
HG001_00458,591,590,449,528,506,463,509,518,495
HG001_00459,490,693,538,564,578,425,589,521,524
HG001_00460,1684,2017,1753,1601,1573,1380,1709,1726,1713
HG001_00461,637,967,720,721,616,588,781,671,716
HG001_00462,1153,1431,1254,1204,1110,933,1365,1355,1283
HG001_00463,1128,1457,1355,1157,1082,850,1236,1220,1226
HG001_00464,312,289,311,259,230,187,361,318,369
HG001_00465,423,360,391,418,448,364,396,452,417
HG001_00466,1562,1150,1541,1404,1585,1335,1378,1660,1538
HG001_00467,3207,2039,3092,3070,3549,3121,2713,3739,3209
HG001_00468,4048,2981,3582,4112,4201,3531,3194,4219,3761
HG001_00469,143,222,135,256,276,235,121,100,100
HG001_00470,1768,2089,1716,2676,2652,2430,1456,1691,1657
HG001_00471,1519,1294,1281,2023,2008,1531,1109,1255,1202
HG001_00472,299,316,288,321,287,230,267,332,260
HG001_00473,44321,42462,51934,56976,55233,51079,41654,46282,44558
HG001_00474,63945,57038,72755,78183,74564,68327,59268,65835,62351
HG001_00475,1161,475,921,870,1043,874,738,961,971
HG001_00476,8538,5220,9880,7665,9076,9694,6416,8921,8190
HG001_00477,10855,5857,12246,9078,10663,12109,7689,11191,9998
HG001_00478,51884,25421,61391,42088,52433,58248,36906,56650,49918
HG001_00479,76781,43000,86260,56930,68468,68591,59243,85848,73376
HG001_00480,189,186,155,177,220,153,158,173,177
HG001_00481,2511,2720,2312,2649,2556,2333,2283,2229,2283
HG001_00482,2338,1649,2088,1047,1121,1128,2581,3171,3032
HG001_00483,344,448,382,501,455,428,426,366,367
HG001_00484,1826,2106,1743,2212,2165,1791,1435,1841,1687
HG001_00485,1611,1319,1373,1643,1727,1694,1238,1480,1550
HG001_00486,619,578,486,762,680,637,524,444,512
HG001_00487,109,117,81,118,128,78,98,103,82
HG001_00488,17,15,11,15,13,4,15,6,13
HG001_00489,31,52,43,62,42,53,42,50,32
HG001_00490,184,298,190,294,270,198,285,233,238
HG001_00491,344,425,352,418,330,249,396,365,346
HG001_00492,2650,4300,3820,7108,5593,3826,3820,4600,3878
HG001_00493,1415,2716,1982,3538,2986,2102,2238,2051,2173
HG001_00494,348,334,309,470,345,320,303,285,329
HG001_00495,1699,1380,1536,1366,1327,1102,1419,1565,1595
HG001_00496,261,245,207,306,342,252,227,235,227
HG001_00497,140,149,118,159,181,160,130,134,138
HG001_00498,76,70,58,82,77,86,85,60,73
HG001_00499,672,634,600,611,576,465,631,642,611
HG001_00500,5614,6201,5239,7246,6643,5927,5312,4679,4797
HG001_00501,5794,6302,5749,7609,6594,6150,5564,5151,5093
HG001_00502,56,42,32,61,38,27,33,31,31
HG001_00503,3619,3855,3181,5467,5195,4364,2817,2238,2516
HG001_00504,16,13,14,19,12,18,7,8,18
HG001_00505,117,123,140,177,140,156,124,109,127
HG001_00506,14,27,15,18,13,16,15,17,17
HG001_00507,13,15,12,14,7,8,19,10,7
HG001_00508,12459,8005,5934,7094,5508,3516,6533,7884,6737
HG001_00509,737,788,678,1015,914,862,712,719,757
HG001_00510,103,105,96,117,146,131,120,143,138
HG001_00511,106,138,108,155,154,107,114,120,127
HG001_00512,122,141,93,165,143,110,130,110,111
HG001_00513,1841,1603,1861,2426,2204,2337,1939,1631,1770
HG001_00514,66,51,68,77,75,95,44,50,63
HG001_00515,125,119,149,201,189,174,116,117,122
HG001_00516,2843,3988,3045,5703,4966,3902,3551,2682,3030
HG001_00517,1148,1324,940,1422,1259,942,896,1050,1018
HG001_00518,4095,3419,3911,3678,3583,2816,3479,4840,4166
HG001_00519,5271,4441,4809,4821,4384,3316,4413,5676,4837
HG001_00520,1379,1469,1452,1767,1758,1136,1415,1490,1463
HG001_00521,2141,2183,2226,2567,2522,2277,2160,2291,2230
HG001_00522,2472,2373,2525,2864,2800,2425,2509,2444,2413
HG001_00523,146,147,134,163,154,124,151,171,135
HG001_00524,261,313,252,316,264,235,217,227,237
HG001_00525,21,19,18,20,25,16,14,15,21
HG001_00526,361,471,378,512,530,436,317,331,351
HG001_00527,16,7,22,19,10,11,10,7,11
HG001_00528,87,84,83,111,113,95,66,75,70
HG001_00529,123,101,99,163,125,96,96,93,80
HG001_00530,55,20,38,49,47,23,27,31,37
HG001_00531,57,51,44,63,29,29,53,33,40
HG001_00532,58,74,50,77,82,49,58,41,53
HG001_00533,27,23,21,35,18,14,23,22,23
HG001_00534,19,22,22,12,12,14,10,13,20
HG001_00535,27,39,22,29,15,29,15,23,29
HG001_00536,6,11,4,4,3,1,4,3,4
HG001_00537,59,67,86,73,88,53,73,81,81
HG001_00538,68,85,75,80,58,73,75,85,54
HG001_00539,568,573,590,602,665,557,550,604,580
HG001_00540,622,623,653,630,674,591,567,629,597
HG001_00541,72,97,41,55,55,44,71,69,75
HG001_00542,805,988,759,847,828,616,842,758,840
HG001_00543,425,450,414,452,407,319,415,409,425
HG001_00544,5132,4896,3661,10134,8998,9945,3289,3374,3445
HG001_00545,0,1,2,2,3,1,0,1,0
HG001_00546,162,257,167,208,212,165,206,167,201
HG001_00547,1197,1388,1162,1263,1193,948,1177,1121,1214
HG001_00548,24,25,22,25,20,34,27,19,22
HG001_00549,116,176,118,164,159,102,123,95,118
HG001_00550,76,124,99,209,186,167,86,68,71
HG001_00551,186,235,156,281,223,201,183,156,160
HG001_00552,528,599,516,685,632,480,496,493,506
HG001_00553,61195,62073,55207,73000,59109,57427,57673,47100,48622
HG001_00554,176,179,155,219,188,161,185,165,143
HG001_00555,6123,6549,5202,8681,7563,6675,6550,5250,5605
HG001_00556,8210,5843,4812,8637,6052,5594,6110,4456,4559
HG001_00557,111,81,92,92,83,85,81,91,77
HG001_00558,16,18,12,20,26,11,18,12,10
HG001_00559,10,19,14,22,18,22,16,6,17
HG001_00560,6383,7565,6025,10157,9808,5614,5459,5245,5484
HG001_00561,13063,12556,12997,17076,16326,11110,10773,10432,11093
HG001_00562,1087,843,1158,1339,1318,981,966,933,970
HG001_00563,713,586,777,811,926,727,627,557,602
HG001_00564,2360,1642,2986,2761,2870,2566,2105,2390,2134
HG001_00565,92,55,84,85,78,72,90,83,64
HG001_00566,654,598,839,772,744,698,667,622,625
HG001_00567,1208,965,1335,1417,1230,1133,1171,1208,1040
HG001_00568,1523,1635,1342,1683,1567,1163,1655,1799,1718
HG001_00569,68443,60439,85924,99371,89367,91480,94425,84934,75935
HG001_00570,9472,13139,13310,12821,12056,9691,15564,12230,12107
HG001_00571,3390,4976,4874,4898,4901,3869,6081,4635,4648
HG001_00572,3493,5331,5445,5436,5811,4112,6377,4692,5079
HG001_00573,725,864,720,639,553,392,839,801,733
HG001_00574,58,54,36,67,49,45,42,46,50
HG001_00575,110,101,76,125,121,79,101,87,96
HG001_00576,1204,1170,931,1282,1202,985,1027,1120,1012
HG001_00577,551,493,451,500,526,368,445,468,448
HG001_00578,540,659,481,709,652,495,469,506,502
HG001_00579,745,923,709,932,867,655,692,688,698
HG001_00580,470,556,434,630,603,418,468,501,443
HG001_00581,222,351,232,309,299,263,274,206,214
HG001_00582,9623,12989,12112,13541,11426,12529,12186,9738,9711
HG001_00583,1453,1386,1360,1977,1803,1369,1253,1483,1380
HG001_00584,0,2,1,2,0,2,2,0,2
HG001_00585,426,513,409,787,613,610,472,379,390
HG001_00586,372,429,431,373,358,274,441,432,417
HG001_00587,178,175,233,193,176,153,243,215,205
HG001_00588,281,332,420,318,326,334,392,368,320
HG001_00589,1122,976,1077,885,878,860,1054,1315,1171
HG001_00590,1422,1373,1394,1477,1285,1324,1407,1637,1496
HG001_00591,1019,1133,1146,1178,1005,922,1106,942,1002
HG001_00592,2207,2042,1902,2350,1960,1856,1822,1933,1845
HG001_00593,846,877,804,1188,1067,888,748,747,778
HG001_00594,66,80,66,94,79,83,58,51,64
HG001_00595,87,99,47,124,91,80,73,86,92
HG001_00596,315,375,301,344,332,315,290,308,301
HG001_00597,326,362,316,413,388,324,380,288,298
HG001_00598,316,320,330,357,344,286,289,267,273
HG001_00599,574,607,552,675,585,475,520,481,521
HG001_00600,116,166,160,153,140,130,127,145,135
HG001_00601,330,483,345,401,325,314,357,342,339
HG001_00602,325,265,251,328,292,270,233,205,204
HG001_00603,723,625,669,872,936,686,556,678,650
HG001_00604,1450,1498,1372,1971,1882,1820,1237,1152,1052
HG001_00605,174,151,137,194,163,146,168,148,156
HG001_00606,136,121,109,177,197,102,102,111,106
HG001_00607,320,149,93,324,296,207,120,131,184
HG001_00608,1213,1281,1066,1124,1171,897,992,1266,1265
HG001_00609,1009,942,839,936,918,686,795,1043,926
HG001_00610,402,473,357,517,429,327,427,341,403
HG001_00611,1429,1642,1326,1510,1359,1117,1386,1245,1311
HG001_00612,790,822,776,961,832,718,697,690,669
HG001_00613,273,221,206,289,223,191,206,202,185
HG001_00614,27,42,24,45,37,32,30,21,21
HG001_00615,28,39,30,41,34,22,25,27,29
HG001_00616,232,361,225,336,260,222,325,237,249
HG001_00617,1770,1803,1511,2161,2107,1592,1810,1483,1623
HG001_00618,310,263,268,389,412,316,292,257,257
HG001_00619,1102,674,1044,1100,1231,1164,865,1154,1029
HG001_00620,691,674,639,880,872,699,702,697,723
HG001_00621,4693,5418,4355,6255,6237,3797,4493,4059,3995
HG001_00622,287,294,252,310,325,301,251,217,245
HG001_00623,1008,1105,747,1460,1310,1075,669,645,812
HG001_00624,1050,1040,830,1398,1192,1004,663,764,837
HG001_00625,13192,11066,10195,17064,16547,13820,7790,9965,8941
HG001_00626,279,273,275,339,354,225,205,229,271
HG001_00627,527,712,467,784,706,605,524,511,503
HG001_00628,43,34,40,49,55,33,33,39,48
HG001_00629,1473,1256,1578,2143,2153,1967,1098,1295,1251
HG001_00630,4576,5241,4879,6584,5962,5515,4437,4118,4135
HG001_00631,33,37,38,57,53,37,30,21,29
HG001_00632,16,8,4,19,13,12,12,7,7
HG001_00633,63,101,65,122,95,88,54,50,66
HG001_00634,435,454,395,682,674,626,403,395,375
HG001_00635,96,121,78,159,108,73,89,65,78
HG001_00636,129,172,138,158,151,104,135,134,123
HG001_00637,93,90,114,128,117,83,104,89,83
HG001_00638,176,203,198,226,217,166,171,179,169
HG001_00639,1018,1106,1144,1494,1434,1183,1012,1087,1014
HG001_00640,161,164,132,155,151,114,102,142,141
HG001_00641,934,999,908,1005,921,840,804,867,822
HG001_00642,3831,4656,3563,3807,3627,3061,3651,3186,3407
HG001_00643,6146,5884,5438,5223,4943,3987,5560,4907,5129
HG001_00644,846,1061,778,1137,1139,660,839,835,764
HG001_00645,538,745,543,716,774,488,614,585,586
HG001_00646,57,88,50,101,127,74,71,83,73
HG001_00647,110,142,135,144,223,140,149,179,129
HG001_00648,21,19,15,18,9,15,19,18,15
HG001_00649,741,841,853,976,839,764,759,663,637
HG001_00650,240,309,253,320,247,252,209,217,209
HG001_00651,40,68,45,80,62,52,50,28,43
HG001_00652,17,19,18,14,23,18,22,19,18
HG001_00653,138,183,145,169,139,141,120,125,123
HG001_00654,78,96,87,102,73,71,88,88,82
HG001_00655,247,287,245,247,232,186,258,225,256
HG001_00656,525,751,591,618,584,529,645,615,597
HG001_00657,8751,10450,8981,10700,9356,8475,8583,8268,8140
HG001_00658,420,586,408,542,443,394,474,399,433
