,W1,W2,W3,C1,C2,C3,D1,D2,D3
HG001_01116,797,1156,865,767,724,580,841,804,816
HG001_01117,2164,2185,2429,1813,1743,1457,2137,2440,2305
HG001_01118,617,718,698,546,507,459,605,666,605
HG001_01119,737,835,678,541,489,433,691,690,646
HG001_01120,10115,10818,10101,9598,8499,7592,9479,10599,9553
HG001_01121,929,908,787,1035,941,680,821,804,766
HG001_01122,662,688,599,818,803,725,682,583,578
HG001_01123,1658,1729,1723,1976,1843,2074,1671,1565,1591
HG001_01124,3617,3747,3279,4464,4697,3818,2867,3229,2997
HG001_01125,0,2,0,0,0,0,0,0,0
HG001_01126,2231,2389,2220,2373,2364,2169,2037,2466,2468
HG001_01127,7621,8034,7323,6729,6222,4777,6652,7837,6919
HG001_01128,4249,5163,4860,5095,4590,4211,4514,4526,4215
HG001_01129,780,758,717,828,806,689,769,764,721
HG001_01130,238,256,163,228,227,181,203,172,159
HG001_01131,573,658,590,662,568,504,612,478,544
HG001_01132,479,587,547,545,431,430,548,572,545
HG001_01133,1156,1509,1236,1441,1209,1033,1323,1119,1206
HG001_01134,787,972,782,950,872,704,833,804,730
HG001_01135,1086,1039,884,1060,908,738,1004,841,898
HG001_01136,262,266,250,276,243,245,271,228,295
HG001_01137,1741,1815,1703,1948,2015,1751,1744,1749,1851
HG001_01138,9791,13303,10976,14671,13737,12318,11287,10209,10169
HG001_01139,256,227,116,305,240,186,195,168,179
HG001_01140,198,240,159,266,273,196,178,187,194
HG001_01141,836,716,838,677,732,713,1135,1029,900
HG001_01142,584,599,595,600,572,536,1038,743,693
HG001_01143,38,62,51,50,50,47,70,64,64
HG001_01144,1031,1514,1170,882,839,626,3422,2789,2831
HG001_01145,467,688,422,358,306,275,1135,879,866
HG001_01146,521,624,549,402,351,304,1227,1101,1002
HG001_01147,490,670,552,503,450,375,549,527,580
HG001_01148,660,991,785,806,665,574,772,676,698
HG001_01149,246,266,229,244,218,179,243,225,209
HG001_01150,637,522,623,997,885,926,585,597,587
HG001_01151,945,848,1071,1293,1237,1432,912,855,907
HG001_01152,4299,5581,4849,6334,5429,5802,4386,3890,4003
HG001_01153,104,120,96,133,139,96,102,95,125
HG001_01154,280,328,214,321,350,244,286,292,318
HG001_01155,199,216,196,228,231,159,174,189,180
HG001_01156,519,492,445,540,494,365,428,502,467
HG001_01157,358,431,391,422,395,284,410,332,363
HG001_01158,641,848,711,717,654,476,765,684,646
HG001_01159,635,943,1030,1450,1083,1256,1652,685,855
HG001_01160,7076,9450,10485,13168,10669,12806,14676,7782,8688
HG001_01161,5,7,2,2,0,2,2,1,3
HG001_01162,3,2,2,2,0,1,1,2,1
HG001_01163,18,29,8,26,15,7,25,8,20
HG001_01164,37,39,33,41,24,23,25,20,21
HG001_01165,2,2,2,0,1,0,1,2,2
HG001_01166,2,1,1,2,1,1,2,2,3
HG001_01167,3,11,7,10,2,3,3,6,5
HG001_01168,2,3,1,4,2,2,5,2,1
HG001_01169,0,0,0,0,1,0,0,0,0
HG001_01170,0,1,2,0,0,3,0,1,0
HG001_01171,1,2,4,3,1,2,2,7,3
HG001_01172,17,34,19,46,38,15,26,19,14
HG001_01173,175,153,138,180,169,47,160,195,179
HG001_01174,51,32,21,31,22,12,41,32,36
HG001_01175,1,6,0,1,0,0,1,1,3
HG001_01176,293,337,284,212,220,152,289,309,298
HG001_01177,2,1,2,8,3,6,2,4,2
HG001_01178,1077,939,827,1133,982,917,899,929,989
HG001_01179,3,4,6,7,8,5,11,7,6
HG001_01180,13,14,10,7,7,10,15,6,10
HG001_01181,96,124,96,116,113,69,105,70,79
HG001_01182,221,265,217,242,216,186,229,194,178
HG001_01183,2,1,3,2,0,3,6,1,1
HG001_01184,16,32,19,44,33,23,20,21,19
HG001_01185,423,340,258,435,416,340,313,297,329
HG001_01186,526,559,298,740,581,421,369,413,369
HG001_01187,42,47,57,103,76,49,63,33,71
HG001_01188,979,1679,1861,1944,1813,1783,2247,1280,1388
HG001_01189,1117,1718,2097,1899,1748,1740,2276,1463,1443
HG001_01190,620,966,1244,1059,942,881,1312,805,874
HG001_01191,2156,2319,2343,1386,1377,1091,3178,3169,2962
HG001_01192,244,215,134,282,271,203,215,150,201
HG001_01193,1708,1605,1545,2108,1738,1728,1684,1585,1520
HG001_01194,27752,29517,39557,33492,31587,33490,38283,32856,27947
HG001_01195,5771,5943,6749,6729,6177,6259,7534,5717,4952
HG001_01196,128,183,130,158,143,99,158,156,130
HG001_01197,38,45,44,41,31,26,42,37,35
HG001_01198,170,218,145,209,182,150,172,159,178
HG001_01199,4095,4317,4176,3525,3658,2754,3709,4900,4299
HG001_01200,9,18,12,23,23,21,14,5,5
HG001_01201,71,129,72,104,109,83,103,100,103
HG001_01202,30729,21660,25510,11329,11750,10259,26239,33031,30681
HG001_01203,464,575,395,600,574,472,525,564,513
HG001_01204,241,156,154,221,227,136,158,173,150
HG001_01205,56,77,74,87,74,65,83,79,86
HG001_01206,559,672,551,607,522,434,637,562,530
HG001_01207,2154,2108,1710,1842,1977,1486,1737,1449,1569
HG001_01208,1964,1364,1671,2076,1976,1686,1477,1881,1724
HG001_01209,35242,38244,33936,49698,41958,39449,23023,26116,25552
HG001_01210,370,397,292,423,360,345,252,277,290
HG001_01211,687,751,663,540,504,346,784,719,655
HG001_01212,560,573,444,669,617,456,463,536,470
HG001_01213,830,828,777,936,786,786,779,729,772
HG001_01214,1624,1699,1612,1608,1397,1278,1399,1457,1441
HG001_01215,468,442,433,647,556,547,441,348,392
HG001_01216,211,200,175,221,214,185,194,164,174
HG001_01217,1470,1566,1397,2188,1989,1607,1354,1297,1244
HG001_01218,2400,2100,2158,3082,2703,2477,2058,1947,1915
HG001_01219,258,249,223,256,238,223,238,225,240
HG001_01220,228,229,195,297,240,177,189,186,174
HG001_01221,753,890,584,1073,996,656,658,764,688
HG001_01222,50,79,79,60,60,47,108,105,97
HG001_01223,1060,1201,1241,1267,1127,1079,1306,1213,1082
HG001_01224,826,1044,815,1001,887,795,655,658,624
HG001_01225,173,151,104,174,158,120,100,103,114
HG001_01226,24,27,16,33,24,14,25,17,7
HG001_01227,6,9,14,15,12,12,11,9,8
HG001_01228,3,5,7,9,7,7,6,6,6
HG001_01229,10,28,18,22,19,23,14,23,20
HG001_01230,14,21,25,15,18,15,15,21,13
HG001_01231,13,16,9,21,7,16,11,8,11
HG001_01232,27,44,37,50,34,49,29,34,31
HG001_01233,44,46,53,64,50,49,37,43,50
HG001_01234,1767,1848,1519,1694,1374,1179,1925,1561,1622
HG001_01235,3051,3061,2698,2352,2166,1787,2970,2787,2743
HG001_01236,99,83,58,107,72,60,60,46,70
