,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
arsC,237,338,272,233,253,251,1040,1276,1002
sdrD,3792,3352,3535,2905,3246,3239,2754,2734,2727
SAUSA300_2455,11899,10906,10427,8817,9968,10533,2059,1828,1820
fosB,298,289,269,239,253,261,2032,2482,2477
SAUSA300_0577,157,153,143,102,149,154,1665,1996,1570
acuC,4039,3869,3655,3221,3482,3472,5121,4766,4496
ftsL,2540,2621,2218,2002,2208,2278,4621,3711,4430
purH,7433,8506,10379,7991,7477,7490,11914,10532,10286
rpoD,5805,5750,5112,4434,4932,5322,14963,12840,13130
SAUSA300_0468,4068,4033,3976,3674,3553,3412,388,373,391
SAUSA300_1516,2214,1967,2101,1556,1924,2087,55,69,89
SAUSA300_2484,7763,7377,6675,6030,6572,6591,592,568,653
asnC,5755,5801,5329,4601,5030,5254,1634,1371,1540
SAUSA300_1958,98,89,183,87,113,111,4465,4943,4540
SAUSA300s010,147,148,131,137,127,112,6357,5967,5919
SAUSA300_0060,82,110,104,60,82,72,5257,4214,4547
SAUSA300_0147,663,697,663,567,621,578,3538,3595,3425
cap5K,579,672,650,514,563,599,11279,12918,10395
SAUSA300_1822,452,534,512,411,351,588,1119,1165,954
zwf,8681,8622,8118,6584,7743,8181,1880,1972,2137
SAUSA300_0407,17,20,32,22,17,20,884,706,873
SAUSA300_1654,5339,5432,4647,4359,4600,4622,24,14,13
ftsK,9401,9294,9377,7975,8171,8651,671,675,580
SAUSA300_1312,848,838,844,685,699,862,137,128,122
SAUSA300_0442,1780,1708,1542,1385,1557,1497,2595,2953,1953
SAUSA300_1349,3713,3976,4498,3416,3750,3576,1746,1700,1696
rpsN,528,602,614,470,486,590,116,19,124
SAUSA300_1118,1283,1337,1353,1135,1204,1173,40,32,30
tcaA,3243,3433,3296,2973,2946,2895,100,60,115
SAUSA300_1937,71,75,73,60,64,70,2125,2357,2031
SAUSA300_2135,232,244,232,212,222,193,854,858,672
SAUSA300_2002,2027,2245,3155,2104,2211,2137,191,153,128
prs,3921,3791,3957,3307,3675,3354,228,227,186
SAUSA300s031,932,924,911,771,798,884,3838,3008,3240
rpoZ,720,712,713,610,652,638,11051,7479,7625
scpA,3421,3450,3368,2901,2978,3198,6452,6830,6531
SAUSA300_2254,5830,6269,5639,5092,5314,5297,5684,6663,5753
SAUSA300_1121,3353,3511,3537,2846,3240,3141,1398,1356,1266
SAUSA300_1040,915,927,798,785,757,793,222,247,269
pyrP,602,840,1256,701,732,863,4594,4468,3676
SAUSA300_1310,3379,3569,3480,3014,3130,3102,1193,1259,1242
SAUSA300_1923,85,73,85,48,73,105,4572,3125,3919
SAUSA300_1648,4967,5235,5368,4431,4818,4568,1964,2401,2125
SAUSA300_0687,6049,5635,5678,5007,5150,5244,180,146,126
engA,5637,5247,5184,4580,4861,4812,2838,2559,2867
carA,2485,3903,6312,3088,3464,4001,3234,3477,2957
SAUSA300_0593,2643,2683,2518,2284,2416,2264,8693,7708,7171
SAUSA300_0552,2900,2878,2888,2249,2603,2882,53,73,53
SAUSA300_2119,98,127,122,120,86,103,1064,1053,987
SAUSA300_1453,1544,1521,1442,1298,1342,1361,57,17,55
SAUSA300s131,508,560,548,456,458,523,19,11,27
rpoB,20756,20308,20012,16953,18357,18997,1310,1223,1175
SAUSA300_2136,1131,1151,1179,990,996,1091,1617,2206,1893
SAUSA300_2314,4925,4993,4319,3841,4309,4500,1254,1390,1330
SAUSA300_0957,3287,3426,3375,2790,3127,3055,393,386,342
SAUSA300_1792,16854,16813,14590,14380,14150,14250,937,682,816
glk,4302,5072,6533,5156,4396,4416,1516,1473,1290
gudB,5789,5658,5296,4744,4940,5203,34,27,30
SAUSA300_2427,1243,1182,1272,1059,1128,1100,2809,2676,2830
SAUSA300_1211,411,417,373,343,337,389,8575,7901,7751
SAUSA300_1051,1871,1776,1774,1592,1594,1634,6775,7360,6163
SAUSA300_0707,9895,9605,9189,7898,8716,8934,1797,2189,1980
budA,1685,1998,1979,1643,1683,1698,4885,5020,4320
aldA2,9114,9061,8694,7601,8068,8252,881,944,850
tcaR,2516,2687,2524,2189,2338,2352,5930,6428,5918
fabD,4596,4946,5282,4336,4371,4470,3924,3909,3748
argG,267,246,260,190,239,266,1030,1079,869
SAUSA300_1302,1208,1250,1364,1027,1203,1180,10535,10517,10808
SAUSA300_0935,87,126,75,77,84,90,2129,2874,2494
SAUSA300_2121,284,266,256,256,147,364,1095,742,1011
SAUSA300_2339,2206,2385,2579,2095,2162,2124,1533,1009,1674
SAUSA300_1426,10,6,11,13,6,6,2901,2743,3042
SAUSA300_1689,4063,4094,3671,3240,3631,3681,458,420,538
SAUSA300s289,512,510,452,378,433,512,9807,9203,8053
SAUSA300_2492,727,667,772,667,641,622,1764,1509,1355
SAUSA300_1821,279,371,374,277,260,382,392,385,376
SAUSA300_2214,6829,6824,7406,6279,6202,6305,1573,1703,1328
fni,4341,4532,4569,4003,4059,3942,537,724,566
bioD,22,13,15,17,10,18,2088,2216,1957
