,LAC DMSO 1 - total_raw_count,LAC DMSO 2 - total_raw_count,LAC DMSO 3 - total_raw_count,LAC apicidin 1 - total_raw_count,LAC apicidin 2 - total_raw_count,LAC apicidin 3 - total_raw_count,agr DMSO 1 - total_raw_count,agr DMSO 2 - total_raw_count,agr DMSO 3 - total_raw_count
recA,6256,6243,6343,5636,6446,6636,55,59,49
SAUSA300_1274,1568,1762,1609,1608,1560,1726,11265,9396,10314
SAUSA300_2394,1944,1796,1792,1710,1922,1856,6277,4916,5250
SAUSA300_0372,3473,3067,2791,2637,3014,3648,234,268,207
SAUSA300_1789,213,209,253,202,245,222,1579,2135,2044
ackA,7940,8089,8186,7944,7956,8122,13277,12660,12059
SAUSA300_0465,200,167,202,172,187,205,1929,2213,1998
SAUSA300_0003,1679,1733,1828,1644,1690,1872,5151,4737,4739
SAUSA300_0689,6939,7187,6811,6721,7039,7026,2000,2059,1800
SAUSA300_0612,95,95,101,97,100,92,3418,3455,3070
argR,87,79,105,81,97,90,852,977,835
SAUSA300_1392,181,228,221,215,218,191,3232,3131,3626
SAUSA300_1750,1153,1070,983,1037,1008,1139,677,738,750
SAUSA300_1817,543,612,579,495,504,750,3139,3025,2949
accA,4456,4553,4417,4194,4539,4624,7699,7120,6733
cdd,2037,2042,2370,2116,2113,2166,13,28,8
ruvB,3506,3569,3934,4001,3465,3492,1702,1537,1821
SAUSA300_1509,5876,6521,7723,6878,6293,6726,2246,1636,1947
SAUSA300_1173,1733,1672,1857,1717,1756,1757,573,376,537
SAUSA300_0362,706,804,966,902,759,789,139,149,101
SAUSA300s184,128,121,107,91,124,114,120,157,126
SAUSA300s051,183,209,219,197,194,216,2994,2975,2620
SAUSA300_0135,1445,1219,1022,1135,1210,1292,5758,5344,4960
SAUSA300_1456,7041,7561,7356,7425,7153,7269,8,11,7
fumC,7366,7504,6923,7254,7336,7095,12795,9244,9832
narI,2314,2604,2354,2479,2332,2421,1389,1435,1353
SAUSA300_1411,29,42,48,31,49,38,1496,1737,1485
SAUSA300_2370,321,371,384,367,339,363,3425,2588,2949
SAUSA300_1071,6389,6684,7475,6042,6911,7553,79,121,82
SAUSA300s208,39,27,43,34,28,47,1880,2006,1787
SAUSA300_0606,862,835,862,878,806,867,4160,4274,4195
glcU,1536,1466,1717,1482,1579,1635,2065,2069,1959
SAUSA300s070,22,9,13,10,15,17,238,137,224
SAUSA300_2593,2186,2225,2130,1747,2391,2461,1762,1966,1876
SAUSA300_0079,2988,3211,3103,3078,2897,3314,39,35,48
gltT,8071,8216,8467,8295,8057,8340,432,415,409
SAUSA300_1787,2800,2935,2753,2709,2774,2989,7,8,19
hemH,3233,3601,3924,3552,3612,3538,1602,1248,1434
glmU,5265,6114,7383,6302,6282,5971,12553,9252,12288
SAUSA300_2004,1224,1361,1524,1219,1398,1484,395,324,359
SAUSA300_1474,1803,1725,1735,1703,1724,1831,1359,1345,1345
ribF,4360,4293,4056,3870,4286,4564,4761,4405,4622
rbgA,1001,1087,1271,1056,1115,1172,2316,2533,2339
hysA,1039,1142,1125,1044,1098,1162,1568,1261,1309
SAUSA300_0462,3544,3688,4176,3588,3790,4008,2539,2896,2588
SAUSA300_0340,1863,1949,2107,1922,1921,2070,961,809,840
SAUSA300s290,3,2,3,3,6,1,3001,3688,2973
SAUSA300_0748,5433,5323,6042,5577,5498,5701,1946,1630,1941
potD,3429,3350,3165,3181,3265,3503,213,177,192
scrR,2638,2471,2698,2390,2529,2914,9798,9353,9351
SAUSA300_1086,2894,2920,2827,2641,2913,3110,370,430,291
SAUSA300_1493,551,555,569,487,596,602,99,154,140
menB,2685,2801,2970,2670,2860,2939,3494,3606,3589
oppF,58,56,55,51,55,64,707,816,694
rnhC,429,447,409,436,451,401,180,177,157
SAUSA300_1013,4772,4800,4652,4337,4832,5113,3863,4093,3455
SAUSA300s300,381,362,356,345,449,437,2352,2893,2698
SAUSA300_1022,350,394,382,353,367,409,6039,4934,4843
SAUSA300_0830,1614,1608,1455,1398,1576,1724,3057,2512,2344
narJ,227,250,341,296,245,269,2099,1910,1918
SAUSA300_0246,3552,3586,3751,3511,3864,3552,297,301,285
SAUSA300_0981,1747,1669,1596,1640,1660,1726,5931,5869,5150
SAUSA300_0726,5410,5561,6361,5538,5832,5984,6261,6492,5807
SAUSA300_1548,1593,1517,1756,1465,1669,1754,7927,6582,6466
SAUSA300_1916,6323,5869,5887,5602,6339,6219,450,447,385
SAUSA300_0911,6462,6448,6686,6428,6515,6725,7260,7886,6787
SAUSA300_2460,1805,1813,1692,1675,1725,1939,60,68,62
ddl,5228,5152,5218,5126,5300,5237,758,729,613
SAUSA300_0250,4949,4962,4633,4741,4872,4987,4600,3864,3876
SAUSA300_1008,724,819,758,782,734,793,9563,9457,8775
SAUSA300_2621,2925,2733,2567,2723,2696,2833,1359,1295,1322
radA,6180,6341,6973,6373,6512,6674,223,231,194
gltX,1972,2040,1969,1827,1877,2061,5436,3848,4767
SAUSA300_0516,806,940,1112,1018,926,906,624,680,728
SAUSA300_0378,394,455,390,370,395,485,344,293,399
SAUSA300_2502,2210,2188,2339,2233,2248,2285,279,239,296
SAUSA300_1458,1179,1049,989,1011,1088,1129,1668,1379,1411
menD,7007,6985,8061,6957,7499,7685,1548,1243,1388
cysS,5804,6180,7991,6897,6458,6543,1061,593,1047
SAUSA300_1491,4199,4026,3745,3881,3861,4301,636,672,547
SAUSA300_0313,498,444,509,460,513,486,1889,1617,1591
hemE,3403,3506,3564,3287,3581,3687,48,56,45
SAUSA300_2614,1036,903,1000,920,961,1080,189,198,235
SAUSA300_2267,1892,1896,1905,1848,1925,1961,10459,10473,10071
SAUSA300_0675,652,683,696,657,679,710,768,731,690
SAUSA300_2575,1155,1354,1363,1350,1361,1186,34,33,21
pbpA,11942,11867,12807,12253,12301,12312,2415,2431,2242
nadD,2423,2323,2528,2369,2452,2508,433,438,421
phoU,330,306,318,278,357,332,331,345,292
SAUSA300s061,1434,1292,1293,1313,1383,1354,754,695,684
SAUSA300_1271,908,922,807,793,874,1001,6780,6809,6042
SAUSA300_1819,465,505,564,474,458,627,5946,5596,6403
SAUSA300_0258,5347,5729,5327,5277,5801,5480,9104,8804,8652
fmtC,12130,12158,12408,11677,12448,12951,1528,1990,1528
ftsA,6739,7175,7699,7295,7251,7244,4185,3808,3641
SAUSA300_0649,3310,3468,3080,3473,3187,3289,1215,1330,1196
arsR,1073,1364,1130,1087,1232,1272,3949,3398,3948
SAUSA300_2530,770,807,829,774,808,849,1240,975,1585
SAUSA300_0947,2902,2909,3049,2921,2985,3043,9023,8155,9017
pbp2,13621,14039,13241,13151,13984,14193,1481,1443,1479
gyrA,12817,13224,14633,13549,13401,14102,9090,8794,8392
SAUSA300_1824,489,448,524,443,455,589,4085,4205,4394
SAUSA300_1843,3962,3762,3802,3626,3948,4098,1577,1750,1883
SAUSA300_0561,91,93,92,102,85,93,2231,1853,1952
SAUSA300_0953,1547,1495,1358,1233,1525,1730,3092,2647,2136
SAUSA300_1325,51,42,64,50,49,58,8963,7524,7569
SAUSA300s125,473,481,379,399,435,515,3,0,2
pepS,6984,6588,6656,6731,6960,6781,2390,2320,2171
SAUSA300_2357,3245,3296,3200,2929,3470,3634,420,303,349
SAUSA300_0485,1883,1897,1951,1865,2024,1921,3521,3454,2915
SAUSA300_0595,974,1058,1337,1148,1117,1118,494,563,678
SAUSA300_2544,513,440,511,412,495,589,2104,1814,2178
lytM,845,869,891,802,906,938,889,858,777
SAUSA300_1519,3567,3592,4044,3755,3805,3779,1814,1719,1661
SAUSA300_1064,103,116,130,108,132,143,523,451,487
cap5E,394,452,516,435,465,474,173,206,215
glpP,1702,1672,1612,1649,1649,1761,4404,3438,4431
aroD,485,511,552,484,538,549,4174,5452,4651
sgtA,939,1016,828,785,956,1100,7501,6286,6773
SAUSA300s142,856,972,881,861,925,962,4142,2939,3527
SAUSA300_2518,4621,5123,4884,4520,4978,5376,77,110,90
ppnK,4146,4532,4180,4190,4348,4513,601,548,494
SAUSA300_0828,5768,5845,6429,5685,6123,6519,6850,6138,6181
menA,3562,3735,3607,3397,3712,3985,1483,1630,1375
SAUSA300_0071,2078,2298,2257,2149,2220,2368,2343,1930,2150
SAUSA300_1773,75,77,109,79,74,113,4882,6072,5004
obgE,5028,5433,6303,5942,5572,5472,106,121,104
SAUSA300s089,799,887,963,912,856,920,1578,1676,1444
SAUSA300_1050,1615,1689,1673,1619,1635,1815,7837,5880,6199
SAUSA300_0647,931,816,807,802,879,917,4256,4575,3985
SAUSA300_1929,114,112,135,133,113,121,1522,1654,1464
SAUSA300s154,140,143,132,117,118,202,2847,2371,2408
SAUSA300_1277,377,393,341,331,362,445,525,608,495
folB,614,606,599,617,594,642,5289,5161,4921
SAUSA300_1174,4344,4373,4306,4535,4363,4365,1473,1329,1358
SAUSA300_1412,19,16,20,19,13,26,282,271,275
SAUSA300_1032,132,114,88,104,115,117,596,535,509
SAUSA300_1846,3786,3990,3983,3739,4047,4202,3547,3248,3631
SAUSA300_0400,59,45,48,37,65,56,20342,18851,15172
SAUSA300_1404,133,164,124,142,143,141,5838,6016,5019
SAUSA300_0137,1475,1404,1271,1295,1451,1485,792,763,751
ychF,3099,3189,4376,3805,3604,3341,2610,3320,3103
SAUSA300_0909,1168,1284,1329,1206,1349,1301,1210,1080,1082
lgt,3104,3379,3719,3242,3459,3696,610,678,661
SAUSA300_1835,170,157,171,143,160,212,1113,993,1034
SAUSA300_2435,809,733,830,880,780,763,650,588,545
SAUSA300_0694,2064,2244,1975,1855,2281,2303,154,158,128
SAUSA300_0042,3725,4035,4100,3973,4053,4077,454,394,390
gmk,3600,3721,4244,3753,3934,4103,1515,1158,1495
SAUSA300_0464,391,415,486,461,410,445,345,259,268
SAUSA300s034,1527,1519,1354,1262,1470,1807,1764,1593,1439
SAUSA300_0569,4224,3784,3839,3826,3924,4364,4359,3549,4331
SAUSA300_1020,1756,1838,1648,1507,1925,1960,603,608,620
SAUSA300_0789,2239,2096,1880,1787,2207,2394,3615,3486,3454
SAUSA300s265,1666,1637,1725,1752,1645,1748,7546,6850,7143
cap5M,677,681,666,684,708,679,120,108,118
SAUSA300_2126,4642,4624,4403,4461,4564,4974,262,382,333
SAUSA300_0814,2224,2044,2000,1834,2132,2492,184,192,302
femA,6244,6400,6100,5944,6532,6733,25505,25328,23482
SAUSA300_1344,3613,3507,3633,3150,3680,4264,4979,5675,4487
SAUSA300_1006,3085,2865,2644,2593,2957,3274,2951,3590,3251
SAUSA300_2295,1976,2115,1790,1810,2021,2201,8670,8019,7733
SAUSA300_1203,124,128,118,118,126,136,13018,10280,13498
SAUSA300_0934,200,224,225,183,238,250,1962,2060,1927
ptsH,1464,1348,1378,1214,1529,1584,2037,2045,1575
phnE,143,103,114,122,112,133,1260,1283,1190
SAUSA300_1836,104,119,112,118,99,129,1513,1490,1355
panB,1205,1118,1476,1226,1332,1327,3207,3762,3444
SAUSA300_2284,2382,2164,2037,1826,2378,2637,5902,6449,6295
coa,238,260,280,253,291,257,101,113,123
SAUSA300_1041,1574,1566,1476,1279,1667,1864,2416,2564,2517
SAUSA300_0600,1513,1429,1426,1404,1469,1634,8970,7486,7611
coaA,1630,1877,2214,1870,1915,2068,899,897,846
SAUSA300_0345,176,157,277,232,186,194,1581,1510,1487
srrA,4564,5129,6130,5816,5427,4980,80,118,102
polA,11683,11372,11943,11096,12252,12791,2543,2758,2644
SAUSA300_0826,3999,3814,3905,3577,4190,4357,2434,1649,1965
glyA,4588,4858,6641,6203,5297,4943,63,44,59
SAUSA300_1607,1013,1120,998,977,1110,1146,5402,4930,4905
SAUSA300_2322,1908,1979,1797,1749,1998,2134,4959,3640,4215
SAUSA300_2263,74,66,62,69,68,71,1464,1561,1457
SAUSA300_0550,7891,8002,7543,7883,8084,8244,3302,3592,3292
SAUSA300_1687,21879,22083,21794,21542,23152,23297,2230,2130,2082
SAUSA300_2369,263,263,289,269,278,295,4887,4215,4373
alaS,6479,6857,7976,7417,7200,7330,2244,2416,2041
priA,7654,7439,8408,7847,8139,8282,4644,4627,4757
SAUSA300_1550,3903,4035,4087,3978,4179,4278,6818,5916,7410
SAUSA300_1461,276,261,267,264,272,296,433,363,414
SAUSA300_1981,39,19,50,39,25,42,1650,2297,1696
SAUSA300s202,72,43,64,70,76,85,246,216,234
fhs,5093,4927,5602,5464,5191,5488,5791,5567,5566
SAUSA300_2431,4058,4112,3727,4178,3958,4167,2507,2204,2116
malR,1477,1564,1496,1522,1549,1625,7517,5607,7120
SAUSA300_0385,2223,2492,2500,2471,2601,2389,1189,1064,1166
SAUSA300_0662,117,101,90,104,107,106,83,42,79
SAUSA300_0179,441,421,443,466,407,481,106,62,118
SAUSA300_2491,7930,7785,8134,8593,8006,8098,69,96,76
SAUSA300_1775,497,521,504,469,449,688,1510,1789,1497
SAUSA300_0486,1905,1823,1790,1721,2016,1990,318,285,359
SAUSA300_1884,5826,5781,5624,5719,5885,6254,4466,4523,4364
asd,3123,3004,3310,3144,3402,3227,1978,1844,1975
SAUSA300_0668,5675,4875,4401,4896,5015,5516,498,386,423
aroC,2280,2402,2603,2479,2547,2514,6261,6149,6081
SAUSA300_0049,107,107,98,106,118,100,58,74,81
rexB,8237,7855,8394,8209,8386,8800,2012,2649,1974
ksgA,1763,1642,2034,2004,1848,1774,0,0,0
SAUSA300_0927,256,301,313,265,233,437,3082,2858,3086
SAUSA300_1959,69,68,72,70,82,66,1888,2122,1971
SAUSA300_1908,1602,1412,1460,1462,1623,1562,2605,2470,2595
SAUSA300_2643,4076,4103,4478,4149,4327,4688,4124,3743,4025
nusB,1848,1819,1723,1808,1849,1948,340,336,283
ruvA,1969,2031,2278,2165,2099,2259,15008,14746,13357
sbcC,3947,4211,4353,4415,4369,4227,14448,13813,13674
SAUSA300_1492,2345,2287,2304,2124,2533,2590,810,528,795
dgkA,1233,1318,1471,1310,1426,1444,5113,4893,5317
cap5F,634,548,741,680,620,690,3316,2597,2751
opuCc,4833,4838,4381,4926,4632,5081,7251,5176,6926
cap5L,924,927,915,874,1028,988,846,982,972
thiD,189,141,133,159,146,173,275,296,244
hemL,6899,6588,6191,6467,6914,7142,1714,1644,1963
rpmB,104,118,101,96,104,141,2543,2333,2297
SAUSA300_0483,5589,5769,5794,5842,5963,6100,1866,1459,1762
SAUSA300_2138,10602,10534,9841,10121,11031,11202,142,156,91
SAUSA300_0813,385,395,432,421,415,428,1428,1168,1201
SAUSA300_0725,1742,1795,1519,1664,1698,1915,751,493,535
SAUSA300_2516,339,357,402,386,399,360,1719,1493,1436
SAUSA300_2327,3240,2710,2565,2753,3066,3043,5784,6300,5216
cap5D,714,724,850,783,799,801,5310,5490,4970
SAUSA300s045,151,156,156,128,179,183,82,64,52
groEL,5491,5972,5818,5873,6204,5976,316,217,307
SAUSA300_0329,5842,6552,6932,6908,6678,6565,2715,3595,2884
clpX,4803,4864,4798,4397,5297,5497,13109,11558,12066
SAUSA300_1978,19,44,42,38,32,33,1191,1243,1073
recN,8555,9183,9270,9281,9615,9337,48,52,46
SAUSA300_2332,2227,2186,1963,1981,2362,2341,7043,7819,6081
SAUSA300_0925,3889,3987,3744,3872,4026,4270,583,537,484
SAUSA300_1523,3712,3739,3667,3687,3980,3987,7791,7380,6686
deoB,5935,7120,7786,7228,7306,7167,492,515,480
SAUSA300_1085,1737,1744,1811,1635,1874,2060,119,55,166
opuCb,2240,2126,2043,2154,2333,2229,195,202,180
murB,3264,3311,3273,3363,3498,3462,6123,6336,6538
SAUSA300_1223,4586,4391,4008,4271,4547,4796,14,15,34
SAUSA300s156,206,182,163,205,178,197,1577,1449,1441
SAUSA300_1033,162,157,218,172,167,223,952,1177,1062
SAUSA300_1408,596,629,795,733,640,734,71,96,74
SAUSA300_2451,586,660,609,619,663,664,0,0,0
SAUSA300_0872,1442,1364,1214,1279,1423,1520,5066,4651,4676
SAUSA300_0598,725,707,666,762,760,683,4686,4693,4065
SAUSA300_2275,3851,4177,4643,4246,4383,4650,4160,3617,3938
ccpA,5797,6118,6119,5996,6321,6637,11284,8583,8980
murD,6522,6790,6675,6966,6926,7104,85,107,93
purB,4671,4874,4760,4733,5162,5143,5922,5903,5963
SAUSA300_0827,3243,3524,3375,3297,3657,3714,3515,3320,3579
fruB,298,386,467,393,394,403,1428,1211,1204
SAUSA300_0198,3672,4126,4290,4284,4154,4247,3722,4101,4278
SAUSA300_1716,3545,3403,3325,3483,3504,3829,11265,10079,10102
nagA,4318,4101,4328,4275,4491,4658,3663,4027,3631
folP,1185,1148,1125,1180,1169,1295,2405,2168,2333
SAUSA300s124,126,164,178,147,168,174,791,834,660
coaE,2931,2998,3394,3379,3012,3427,2109,2189,2313
SAUSA300_1261,4462,4952,4884,4914,4953,5188,1533,1693,1590
SAUSA300s094,8,21,16,15,15,14,1675,1678,1661
SAUSA300_2236,3844,4139,4791,4488,4466,4458,3687,3145,3199
secA,10547,10858,12140,10950,12322,12080,2992,3503,3330
SAUSA300_2590,3030,3016,2819,3101,3041,3207,1595,1464,1636
SAUSA300_2101,1005,962,1031,1067,1025,1071,933,573,933
msrA,2494,2424,2424,2211,2614,2980,5281,4754,4764
SAUSA300_1376,573,585,539,563,576,656,1823,2366,1940
opuCd,2824,2678,2518,2734,2894,2835,433,414,384
SAUSA300_0484,1073,1052,1165,1090,1215,1170,2069,2270,1982
cap5P,1872,1958,2014,1964,2077,2133,126,166,204
thiE,298,278,227,289,254,302,1213,1050,1257
ilvD,2252,2463,2958,2458,2935,2682,4708,3888,4690
SAUSA300_2294,1708,1440,1394,1380,1657,1769,366,428,465
dltC,509,516,446,488,514,553,283,279,490
SAUSA300_2296,2649,2551,2399,2635,2715,2702,4197,4734,3824
SAUSA300_0297,384,387,398,422,421,397,120,100,161
aroK,705,689,661,666,719,801,2293,2549,1941
SAUSA300_0661,590,569,577,512,667,677,3368,3678,3173
SAUSA300_1543,646,611,696,630,730,713,1931,1868,2049
SAUSA300_2147,3613,3828,3941,3913,4065,4096,2063,2706,2106
SAUSA300_2480,2829,2678,2570,2625,2945,3012,1024,828,885
SAUSA300_1377,32,37,50,48,36,41,926,822,865
moaA,4140,4272,5001,5084,4606,4527,4675,4476,4789
SAUSA300_2508,4,5,2,4,3,4,21,3,21
SAUSA300s058,71,74,59,79,76,62,15503,13196,13881
gyrB,8942,9758,12661,11275,10900,10800,3581,3482,2969
SAUSA300_1820,244,218,248,270,226,260,205,216,207
cbiO,1189,1223,1439,1226,1474,1393,113,119,163
truB,5291,5334,4983,5010,5515,6126,271,235,191
SAUSA300_2433,4413,4474,4200,4220,4721,5010,2227,2178,1828
SAUSA300_1826,285,297,307,289,288,376,1545,1055,1380
SAUSA300_1088,1886,1965,1904,1846,2041,2257,67,84,58
SAUSA300_1925,92,116,154,120,126,131,919,915,1013
acuA,2021,1856,1789,1925,2046,2055,244,323,306
menE,2952,3016,3326,3138,3329,3424,2370,2268,2248
SAUSA300_2286,355,393,547,509,452,401,3738,3467,3452
rocD,4637,4752,4491,4840,5043,4902,1413,1298,1286
recU,2843,3071,2888,3020,3307,3053,13760,10500,11015
SAUSA300s185,938,996,954,1026,1066,1039,5,3,5
gntP,3135,3586,3576,3380,3818,3769,2152,2854,2484
SAUSA300_2421,1745,1724,1937,2041,1845,1873,744,1007,924
fhuA,2136,2063,2349,2105,2371,2514,2414,1755,2302
SAUSA300_0125,365,329,334,348,341,410,5361,5149,4960
nixA,5742,5536,5377,5237,6353,6235,97,101,82
SAUSA300_0557,251,205,203,216,240,245,8444,7876,7718
moaC,2125,2029,2096,2128,2283,2262,2847,3468,2964
cap5O,1872,1885,1863,1885,2112,2008,5015,4435,4944
pfoR,1529,1576,1887,1715,1839,1755,11869,10951,10505
SAUSA300_0067,4113,4304,4055,4327,4207,4811,357,336,372
SAUSA300_0312,278,307,351,322,313,363,6004,5617,5222
dps,866,957,851,816,922,1145,7046,6651,6827
SAUSA300_0460,2005,2058,2348,2305,2182,2353,421,495,427
sdhC,2963,3028,3423,3509,3254,3290,1182,1422,1464
mtlD,5049,5192,5050,4986,5733,5674,2403,2972,2507
SAUSA300s137,102,130,162,135,132,148,10431,9470,9081
SAUSA300_0309,2367,2305,2126,2437,2472,2364,2313,2657,2646
SAUSA300_1350,883,766,903,788,942,1011,2323,2483,2781
crtM,3984,3997,5061,4946,4559,4393,1673,1352,1829
SAUSA300s280,35,36,44,35,45,44,4399,4706,4201
SAUSA300_0809,1502,1657,2212,1902,1761,2025,4118,3932,3680
adk,3553,3180,3679,4033,3738,3404,1225,1251,1253
SAUSA300_2563,877,890,917,887,969,1029,506,506,385
pth,800,695,824,705,871,922,141,96,103
prsA,5197,4935,4483,5129,5312,5216,3711,3299,2646
SAUSA300_2209,3123,2838,2853,2902,3213,3352,4040,4344,4519
copA,12137,12583,12173,12653,13294,13668,1735,1767,1615
SAUSA300_0632,1489,1657,1680,1843,1678,1659,2159,1909,1974
SAUSA300_0739,140,166,164,150,181,174,34,39,33
SAUSA300s143,51,56,61,59,60,61,5806,4879,5708
SAUSA300_0081,4102,3809,3683,3678,4260,4555,5912,5356,5722
rplP,3106,2671,3426,3136,3480,3233,802,768,839
set7,105,75,108,85,101,123,1383,1242,1398
cmk,1705,1620,1633,1592,1907,1845,1314,912,1316
SAUSA300_1774,513,540,519,497,497,723,4997,4159,4444
SAUSA300_1888,1304,1408,1449,1357,1518,1605,833,694,828
purF,5214,6206,9355,7953,6674,7089,630,550,602
SAUSA300s001,615,690,730,798,685,705,6140,6142,6056
SAUSA300_2326,2817,2723,2608,2702,2984,3088,202,117,156
SAUSA300_1385,16,34,37,36,24,29,47,42,61
modC,2415,2346,2513,2449,2716,2665,501,537,439
SAUSA300_1495,1644,1698,1858,1809,1896,1884,5223,3054,4548
recG,9278,8742,8969,8710,9967,10446,198,158,134
SAUSA300_0024,1788,1929,1809,1725,1977,2282,2817,2572,2614
SAUSA300_0945,1823,2057,2510,2089,2370,2372,5219,4933,4714
SAUSA300_0644,1998,1797,1814,1823,2015,2214,2623,2551,2781
SAUSA300_2131,2038,1940,2391,2276,2256,2299,3290,2882,2623
SAUSA300_0208,187,198,270,234,205,261,7,20,19
ubiE,2826,2819,3307,3219,3226,3185,6742,5771,6499
htrA,2101,2074,2134,2283,2296,2235,2091,2146,1794
SAUSA300_1953,21,22,56,39,38,22,2198,2337,2136
SAUSA300_1194,811,887,725,826,876,909,2062,1815,1738
SAUSA300_0657,3441,3189,3213,3340,3557,3745,10024,6097,10277
SAUSA300_2065,4868,5026,5828,5902,5582,5466,8770,7559,8818
SAUSA300_1691,4794,4600,4677,4794,5131,5297,4987,4718,5019
SAUSA300_1573,1616,1674,1563,1763,1708,1776,10328,7196,6983
SAUSA300_0170,9809,9176,10628,10317,10970,10693,6049,4459,5879
SAUSA300_0183,4004,3841,3524,3896,4132,4262,1348,1426,1464
ilvE,5068,4955,5147,5360,5527,5530,900,819,891
bioB,238,216,268,291,230,261,9845,8424,8489
murI,3299,3419,3309,3264,3664,3960,579,387,568
SAUSA300_1448,2401,2453,2623,2518,2686,2910,2821,3152,2413
SAUSA300_0992,3349,3344,3688,3480,3712,4078,4523,4871,4360
SAUSA300_1478,1261,1258,1158,1408,1265,1319,6726,5673,6508
menC,2480,2579,2649,2754,2749,2866,1972,1696,1632
murC,6814,7208,6960,7082,7737,8018,1919,1801,1546
SAUSA300_0796,1079,1166,1106,1171,1250,1222,7854,7943,6856
manA,1513,2426,2869,2757,2823,2261,1046,1044,1086
tagX,4366,4608,5200,5238,5092,5049,681,609,682
cobI,3758,4048,3502,3711,4216,4385,3371,2784,3193
SAUSA300_2629,1928,1958,1709,1783,2040,2285,1092,1115,1212
SAUSA300s150,1134,943,843,951,1013,1208,378,330,351
rplE,3155,2704,3311,3282,3410,3265,1726,1889,1663
SAUSA300s145,284,331,349,280,331,459,5556,6254,5516
hprK,5125,5287,5804,5838,5920,5902,904,1233,1105
SAUSA300_0683,157,189,204,205,228,168,618,587,645
rsgA,2650,2407,2749,2768,2977,2763,7053,6854,6469
SAUSA300_2156,1628,1682,1761,1797,1814,1925,1434,1640,1376
SAUSA300_2402,722,769,695,778,800,808,7897,9540,7451
SAUSA300_0458,1261,1240,1216,1273,1391,1401,2137,2126,2138
SAUSA300_0123,257,322,260,292,323,297,62,62,102
ligA,5758,5652,6149,6332,6261,6590,49,14,41
SAUSA300_2232,445,509,579,606,512,552,172,110,130
SAUSA300_2473,4689,4980,5577,5591,5387,5653,7920,4874,7044
SAUSA300_2158,42,52,29,47,41,43,221,185,272
mgtE,2872,3035,3091,3193,3337,3313,2470,2575,2919
SAUSA300_1850,7079,7129,6764,7136,7576,8274,176,184,115
SAUSA300s223,39,35,39,46,31,49,4480,2691,4213
SAUSA300_2020,1041,1019,1001,1144,1111,1097,4567,5071,4747
phoH,3588,3908,3945,3907,4179,4449,121,120,98
panE,875,974,1103,1078,1085,1056,1441,1135,1518
dnaX,5265,5541,6953,6338,6537,6433,67,72,70
SAUSA300_2627,6190,6521,5637,6347,6818,6917,952,805,1085
SAUSA300_0706,6474,6074,5969,6197,6598,7554,2672,3522,3213
SAUSA300_1652,2545,2802,2541,2868,2625,3172,8681,7853,7915
fabF,4776,5177,6084,5634,5930,5945,118,134,95
SAUSA300_2474,1219,1243,1350,1291,1430,1464,3556,2630,3157
SAUSA300_2145,9306,8865,9547,9802,10340,10269,3815,4039,3905
cap5G,671,739,820,841,794,805,3376,3103,3316
SAUSA300_0328,611,721,1023,869,875,784,552,396,446
SAUSA300_0677,7644,8491,8124,8943,8754,8923,8556,8636,7874
SAUSA300_0556,2613,2975,3047,3272,3208,2991,6961,5692,5391
SAUSA300_1631,6029,6121,5815,6612,6520,6603,18,2,10
eno,5009,5089,5497,5379,5839,5922,9438,6662,8556
SAUSA300_2635,14,28,27,23,18,34,15785,13861,15163
SAUSA300_0930,3279,3229,3298,3373,3566,3866,1004,979,1168
SAUSA300s291,26,30,32,36,33,28,1968,2205,2416
SAUSA300_1202,6,9,8,6,8,12,40,40,42
SAUSA300_0811,117,139,117,124,155,132,534,257,588
engB,703,765,800,764,891,843,13902,11040,12155
SAUSA300_0956,177,148,187,172,181,210,8064,8057,7956
fmtB,425,395,368,401,434,475,3842,2996,4184
hutG,4032,4178,4450,4539,4637,4766,4070,3176,3876
uvrB,9578,10247,12762,12496,11926,11249,4428,4313,4271
tagA,215,257,272,276,250,267,5119,5070,4817
recX,3329,3108,3335,3314,3571,3913,177,213,186
hslO,3479,3444,4891,4182,4492,4194,18,19,15
SAUSA300_1298,3119,3109,3657,3492,3606,3796,376,302,421
SAUSA300_1462,4291,4522,4397,4398,5046,5183,197,127,164
SAUSA300_1976,7073,7416,7167,7447,8164,8352,4314,3315,3869
SAUSA300s173,1801,1988,1813,1877,1924,2038,3621,3511,3485
uvrA,13403,14370,16072,16279,15891,16203,492,452,505
SAUSA300_0199,4010,4943,4978,5406,4806,5146,8688,7881,7790
SAUSA300_0954,285,338,283,335,316,349,787,818,927
SAUSA300_2130,4676,4810,5806,6088,5517,5271,6076,4391,5817
oppB,1241,1311,2100,1964,1595,1480,6729,5718,5664
SAUSA300_1205,21,20,17,21,21,22,7784,7293,6570
SAUSA300_0650,4955,5100,5084,5540,5611,5619,7737,7026,7153
panE,742,747,935,998,911,776,2204,2290,2163
SAUSA300_1876,2504,2475,2851,2649,2894,3140,8806,10147,8259
mutM,3611,3479,4448,4408,4018,4299,4037,4439,4287
cysE,2700,2822,3880,3498,3363,3426,368,477,435
SAUSA300_2317,3429,3350,3617,3609,3930,3994,4566,4118,4378
SAUSA300_2359,2905,2849,3202,3017,3398,3526,43,33,34
SAUSA300_2525,4127,4527,4842,5046,4947,4951,3364,2649,3111
SAUSA300_1007,4793,5427,5107,5623,5735,5631,4613,4477,4403
