Gene Name,DMSO,Berberine+Thymol
KQ76_RS04650,33,186
KQ76_RS04655,36,114
KQ76_RS04660,23,117
KQ76_RS04665,42,334
KQ76_RS04670,1015,2265
KQ76_RS04675,4408,1308
KQ76_RS04680,15043,4567
KQ76_RS04685,70,62
KQ76_RS04690,12,12
KQ76_RS04695,217,225
KQ76_RS04700,27,70
KQ76_RS04705,33,88
KQ76_RS04715,44,0
KQ76_RS04720,1114,181
KQ76_RS04725,3165,333
KQ76_RS04730,55,49
KQ76_RS04735,79,23
KQ76_RS04740,548,414
KQ76_RS04745,649,459
KQ76_RS04750,844,1337
KQ76_RS04755,116,54
KQ76_RS04760,41,81
KQ76_RS04765,71,80
KQ76_RS04770,623,551
KQ76_RS04775,533,245
KQ76_RS04780,1509,1547
KQ76_RS04785,323,280
KQ76_RS04790,118,163
KQ76_RS04795,107,67
KQ76_RS04810,227,854
KQ76_RS04815,369,222
KQ76_RS04820,609,354
KQ76_RS04825,353,164
KQ76_RS04830,21504,9170
KQ76_RS04835,2939,2573
KQ76_RS04840,12293,16233
KQ76_RS04845,5111,7204
KQ76_RS04850,9600,14835
KQ76_RS04855,361,614
KQ76_RS04860,1422,2473
KQ76_RS04865,1047,1396
KQ76_RS04870,35,39
KQ76_RS04875,3938,3099
KQ76_RS04880,2013,1020
KQ76_RS04885,283,311
KQ76_RS04890,24,36
KQ76_RS04895,309141,243615
KQ76_RS04900,485,359
KQ76_RS04905,5614,4634
KQ76_RS04910,11322,6224
KQ76_RS04915,6901,9441
KQ76_RS04920,105650,110822
KQ76_RS04925,227010,242429
KQ76_RS04930,1079591,1106331
KQ76_RS04935,476533,432426
KQ76_RS04940,16,45
KQ76_RS04945,7257,9783
KQ76_RS04950,1573,2880
KQ76_RS04955,33690,37483
KQ76_RS04960,42978,48997
KQ76_RS04965,80309,85934
KQ76_RS04970,19640,15557
KQ76_RS04975,6371,4374
KQ76_RS04980,36254,38481
KQ76_RS04985,180554,247014
KQ76_RS04990,191107,318398
KQ76_RS04995,90235,164116
KQ76_RS05000,31161,57549
KQ76_RS05005,178760,346215
KQ76_RS05010,165426,336467
KQ76_RS05015,29068,23271
KQ76_RS05020,93674,79871
KQ76_RS05025,50824,39445
KQ76_RS05035,61,220
KQ76_RS05040,37441,62425
KQ76_RS05045,7173,7184
KQ76_RS05050,3671,19258
KQ76_RS05055,31445,88601
KQ76_RS05060,160936,441150
KQ76_RS05065,255,968
KQ76_RS05070,12989,19568
KQ76_RS05075,7557,11541
KQ76_RS05080,2974,4775
KQ76_RS05085,1793,3310
KQ76_RS05090,76438,50658
KQ76_RS05095,1172,763
KQ76_RS05100,7,5
KQ76_RS05105,5957,1763
KQ76_RS05110,798,429
KQ76_RS05115,109934,71927
KQ76_RS05120,78851,59544
KQ76_RS05125,143555,113451
KQ76_RS05130,157591,125074
KQ76_RS05135,85,53
KQ76_RS05140,549,196
KQ76_RS05145,3529,1292
KQ76_RS05150,2676,684
KQ76_RS05155,3873,1586
KQ76_RS05160,6943,9680
KQ76_RS05165,21718,18152
KQ76_RS05170,779,993
KQ76_RS05175,3693,5040
KQ76_RS05180,2114,1962
KQ76_RS05185,6136,8912
KQ76_RS05190,1178,1183
KQ76_RS05195,36133,14604
KQ76_RS05200,1981,2240
KQ76_RS05205,7095,7670
KQ76_RS05210,12053,7461
KQ76_RS05215,11717,5972
KQ76_RS05220,12319,8345
KQ76_RS05225,38742,18089
KQ76_RS05230,62298,39403
KQ76_RS05235,15539,9174
KQ76_RS05240,108,27
KQ76_RS05245,4588,9639
KQ76_RS05250,2842,7052
KQ76_RS05255,6135,6910
KQ76_RS05260,779,262
KQ76_RS05265,3232,1448
KQ76_RS05270,2161,863
KQ76_RS05275,3179,947
KQ76_RS05280,6580,2730
KQ76_RS05285,85109,21757
KQ76_RS05290,10213,2560
KQ76_RS05295,645,320
KQ76_RS05300,412,259
KQ76_RS05305,3736,232
KQ76_RS05310,149,56
KQ76_RS05315,153,70
KQ76_RS05320,469,220
KQ76_RS05325,323,161
KQ76_RS05330,124,44
KQ76_RS05335,14,17
KQ76_RS05340,18,20
KQ76_RS05345,3177,1175
KQ76_RS05350,6495,1509
KQ76_RS05355,28869,8677
KQ76_RS05360,2961,1002
KQ76_RS05365,1912,1855
KQ76_RS05370,4344,3920
KQ76_RS05375,2998,4639
KQ76_RS05380,4402,6868
KQ76_RS05385,4992,6321
KQ76_RS05390,47,94
KQ76_RS05395,2959,9800
KQ76_RS05400,19705,23372
KQ76_RS05405,223569,300715
KQ76_RS05410,121055,171661
KQ76_RS05415,4556,10146
KQ76_RS05420,4818,6779
KQ76_RS05425,3081,4847
KQ76_RS05430,1,0
KQ76_RS05435,9247,5625
KQ76_RS05440,138,120
KQ76_RS05445,472,408
KQ76_RS05450,1032,645
KQ76_RS05455,37,59
KQ76_RS05460,176,134
KQ76_RS05465,2423,3590
KQ76_RS05470,2128,1539
KQ76_RS05475,3082,3329
KQ76_RS05480,631,503
KQ76_RS05485,196,133
KQ76_RS05490,262,220
KQ76_RS05495,20,26
KQ76_RS05500,219,294
KQ76_RS05505,406,348
KQ76_RS05510,199,150
KQ76_RS05515,695,1451
KQ76_RS05520,865,2573
KQ76_RS05525,4672,25885
KQ76_RS05530,1861,345
KQ76_RS05535,8243,2913
KQ76_RS05540,145,48
KQ76_RS05545,112,154
KQ76_RS05550,304,509
KQ76_RS05555,930,1563
KQ76_RS05560,4008,8903
KQ76_RS05565,2479,7579
KQ76_RS05570,37227,27791
KQ76_RS05575,29189,23498
KQ76_RS05580,3564,1956
KQ76_RS05585,15479,11687
KQ76_RS05590,8148,8711
KQ76_RS05595,19291,26192
KQ76_RS05600,11272,13871
KQ76_RS05605,52032,34886
KQ76_RS05610,75526,61126
KQ76_RS05615,2791,3491
KQ76_RS05620,10936,12813
KQ76_RS05625,29803,36460
KQ76_RS05630,4891,4947
KQ76_RS05635,1074,2268
KQ76_RS05640,9803,8631
KQ76_RS05645,33039,10536
KQ76_RS05650,252,187
KQ76_RS05655,1651,2004
KQ76_RS05660,2441,582
KQ76_RS05665,11390,3828
KQ76_RS05670,3226,2951
KQ76_RS05675,2376,1155
KQ76_RS05680,1530,926
KQ76_RS05685,1886,1207
KQ76_RS05690,2303,1668
KQ76_RS05695,6527,5103
KQ76_RS05700,933,1058
KQ76_RS05705,777,741
KQ76_RS05710,44,34
KQ76_RS05715,2215,2161
KQ76_RS05720,9228,11896
KQ76_RS05725,4538,1387
KQ76_RS05730,442,195
KQ76_RS05735,3687,6588
KQ76_RS05740,10063,17471
KQ76_RS05745,3400,2255
KQ76_RS05750,2576,14769
KQ76_RS05755,1677,1589
KQ76_RS05760,2646,2483
KQ76_RS05765,20057,21505
KQ76_RS05770,13090,12143
KQ76_RS05775,7742,6604
KQ76_RS05780,30453,31151
KQ76_RS05785,4198,2278
KQ76_RS05790,3366,1931
KQ76_RS05795,7197,3914
KQ76_RS05800,41484,22133
KQ76_RS05805,3566,1016
KQ76_RS05810,36200,18093
KQ76_RS05815,5418,6074
KQ76_RS05820,4378,3790
KQ76_RS05825,11419,9776
KQ76_RS05830,17455,15478
KQ76_RS05835,19335,16991
KQ76_RS05840,839,660
KQ76_RS05845,3436,2217
KQ76_RS05850,424,357
KQ76_RS05855,13498,14923
KQ76_RS05860,5346,6007
KQ76_RS05865,247,175
KQ76_RS05870,13665,14273
KQ76_RS05875,5665,1239
KQ76_RS05880,2548,494
KQ76_RS05885,11634,3424
KQ76_RS05890,48177,67895
KQ76_RS05900,7141,8723
KQ76_RS05905,977,564
KQ76_RS05910,3127,1565
KQ76_RS05915,173452,108361
KQ76_RS05920,81448,57796
KQ76_RS05925,261,300
KQ76_RS05930,258,167
KQ76_RS05935,260,307
KQ76_RS05940,20198,16421
KQ76_RS05945,14869,14590
KQ76_RS05950,5540,5080
KQ76_RS05955,4968,4880
KQ76_RS05960,13467,13324
KQ76_RS05965,5469,4450
KQ76_RS05970,587,589
KQ76_RS05975,80163,28903
KQ76_RS05980,895,202
KQ76_RS05985,29173,14726
KQ76_RS05990,17451,12664
KQ76_RS05995,8216,5778
KQ76_RS06000,10659,6509
KQ76_RS06005,10695,6763
KQ76_RS06010,20491,23426
KQ76_RS06015,33562,43832
KQ76_RS06025,3300,2702
KQ76_RS06035,4157,2728
KQ76_RS06040,4112,2376
KQ76_RS06045,64739,60600
KQ76_RS06050,3709,7279
KQ76_RS06055,1920,4673
KQ76_RS06060,6931,32294
KQ76_RS06065,11748,11914
KQ76_RS06070,51264,27238
KQ76_RS06075,33136,43924
KQ76_RS06080,18892,46404
KQ76_RS06085,4044,6437
KQ76_RS06090,5428,5839
KQ76_RS06095,5574,7061
KQ76_RS06100,3518,4177
KQ76_RS06105,3273,5149
KQ76_RS06110,1753,2263
KQ76_RS06115,4562,7514
KQ76_RS06120,4096,3404
KQ76_RS06125,22725,31659
KQ76_RS06130,43754,39305
KQ76_RS06135,137,259
KQ76_RS06140,1653,1106
KQ76_RS06145,6471,8284
KQ76_RS06150,5282,5938
KQ76_RS06155,359,369
KQ76_RS06160,8119,4891
KQ76_RS06165,1527,954
KQ76_RS06170,6879,4995
KQ76_RS06175,7016,3601
KQ76_RS06180,2664,1270
KQ76_RS06185,1293,519
KQ76_RS06190,43953,19959
KQ76_RS06195,24275,16893
KQ76_RS06200,11698,6714
KQ76_RS06205,514,246
KQ76_RS06210,3770,4081
KQ76_RS06215,1025,1789
KQ76_RS06220,457,770
KQ76_RS06225,2773,2065
KQ76_RS06230,7529,6769
KQ76_RS06235,15412,729
KQ76_RS06240,196072,12600
KQ76_RS06245,54,6
KQ76_RS06250,2,1
KQ76_RS06255,189,61
KQ76_RS06260,11,0
KQ76_RS06265,20,6
KQ76_RS06270,137,87
KQ76_RS06275,64,56
KQ76_RS06290,0,0
KQ76_RS06295,6,4
KQ76_RS06300,46,96
KQ76_RS06305,3,0
KQ76_RS06315,15,42
KQ76_RS06325,10,7
KQ76_RS06335,2,5
KQ76_RS06340,7,16
KQ76_RS06345,47,42
KQ76_RS06355,16,19
KQ76_RS06360,139,632
KQ76_RS06365,568,263
KQ76_RS06370,13285,15609
KQ76_RS06375,74,53
KQ76_RS06380,130,79
KQ76_RS06385,1413,972
KQ76_RS06390,406,341
KQ76_RS06395,128,81
KQ76_RS06400,469,208
KQ76_RS06405,9584,11734
KQ76_RS06410,5570,7289
KQ76_RS06415,1060,3850
KQ76_RS06420,395,1614
KQ76_RS06425,1538,4689
KQ76_RS06430,1715,4628
KQ76_RS06435,5563,6231
KQ76_RS06440,302,574
KQ76_RS06445,22,62
KQ76_RS06450,38593,32239
KQ76_RS06455,36514,92646
KQ76_RS06460,3409,5568
KQ76_RS06465,156,539
KQ76_RS06470,21828,10956
KQ76_RS06475,854,312
KQ76_RS06480,12111,5830
KQ76_RS06485,5328,15396
KQ76_RS06490,26,692
KQ76_RS06495,5,7
KQ76_RS06500,62260,79696
KQ76_RS06505,938,2034
KQ76_RS06510,33,170
KQ76_RS06515,10383,8844
KQ76_RS06520,1789,2050
KQ76_RS06525,3190,4135
KQ76_RS06530,2462,3153
KQ76_RS06535,145893,32975
KQ76_RS06540,200435,368298
KQ76_RS06545,3724,4610
KQ76_RS06550,847,2384
KQ76_RS06555,29010,21869
KQ76_RS06560,12775,9519
KQ76_RS06565,32308,23269
KQ76_RS06570,230,64
KQ76_RS06575,29370,16568
KQ76_RS06580,2056,1254
KQ76_RS06585,983,369
KQ76_RS06590,31975,24180
KQ76_RS06595,92448,14826
KQ76_RS06600,938,914
KQ76_RS06605,5365,2513
KQ76_RS06610,78,25
KQ76_RS06615,43,62
KQ76_RS06620,1113,3804
KQ76_RS06625,4837,9840
KQ76_RS06630,3542,6034
KQ76_RS06635,247,783
KQ76_RS06640,84,83
KQ76_RS06645,217,87
KQ76_RS06650,75,32
KQ76_RS06655,54,42
KQ76_RS06660,337,231
KQ76_RS06665,659,320
KQ76_RS06670,14242,22095
KQ76_RS06675,12770,23091
KQ76_RS06680,2965,1314
KQ76_RS06685,306,496
KQ76_RS06690,2840,7002
KQ76_RS06695,326,1065
KQ76_RS06700,531,695
KQ76_RS06705,455,522
KQ76_RS06710,230,121
KQ76_RS06715,951,349
KQ76_RS06720,12238,5545
KQ76_RS06725,310,613
KQ76_RS06730,417,1072
KQ76_RS06735,606,937
KQ76_RS06740,416,650
KQ76_RS06745,85,130
KQ76_RS06750,9902,6423
KQ76_RS06755,44820,13356
KQ76_RS06760,516,10208
KQ76_RS06765,541,5026
KQ76_RS06770,1045,7123
KQ76_RS06775,1550,8904
KQ76_RS06780,997,5274
KQ76_RS06785,2822,6073
KQ76_RS06790,2719,5969
KQ76_RS06795,5836,13292
KQ76_RS06800,179,116
KQ76_RS06805,12591,14481
KQ76_RS06810,239,398
KQ76_RS06815,77,96
KQ76_RS06820,107,263
KQ76_RS06825,3705,6075
KQ76_RS06830,9184,19457
KQ76_RS06835,10646,4054
KQ76_RS06840,10031,6730
KQ76_RS06845,1263,1189
KQ76_RS06850,1879,1235
KQ76_RS06855,17437,15459
KQ76_RS06860,52486,53095
KQ76_RS06865,267287,251404
KQ76_RS06870,9816,11554
KQ76_RS06875,7845,10151
KQ76_RS06880,114,75
KQ76_RS06885,49,42
KQ76_RS06890,6752,8045
KQ76_RS06895,9830,8405
KQ76_RS06900,689,951
KQ76_RS06905,4007,4512
KQ76_RS06915,241,1784
KQ76_RS06920,2272,5180
KQ76_RS06925,4428,8133
KQ76_RS06930,7447,17673
KQ76_RS06935,15142,29253
KQ76_RS06940,20867,36207
KQ76_RS06945,8752,14677
KQ76_RS06950,11789,26577
KQ76_RS06955,3008,3300
KQ76_RS06960,12118,13656
KQ76_RS06965,195,243
KQ76_RS06970,45,52
KQ76_RS06975,4475,1484
KQ76_RS06985,159,189
KQ76_RS06990,9270,21123
KQ76_RS06995,508,392
KQ76_RS07000,1126,438
KQ76_RS07005,138,52
KQ76_RS07010,410,78
KQ76_RS07015,10601,10009
KQ76_RS07020,24898,20782
KQ76_RS07025,13551,8639
KQ76_RS07030,1119,1413
KQ76_RS07035,6725,8248
KQ76_RS07040,4274,4500
KQ76_RS07045,11865,27740
KQ76_RS07050,3759,3935
KQ76_RS07060,60275,23643
KQ76_RS07065,207924,105607
KQ76_RS07070,611,1508
KQ76_RS07075,1600,5545
KQ76_RS07080,393,818
KQ76_RS07090,17868,14930
KQ76_RS07095,2322,2186
KQ76_RS07100,4272,3959
KQ76_RS07105,3038,3747
KQ76_RS07110,12,14
KQ76_RS07115,55137,83804
KQ76_RS07120,3045,1754
KQ76_RS07125,7548,4722
KQ76_RS07130,13337,7717
KQ76_RS07135,12804,7633
KQ76_RS07140,12660,6283
KQ76_RS07145,6880,3533
KQ76_RS07150,35885,12211
KQ76_RS07155,12490,7454
KQ76_RS07160,3715,2238
KQ76_RS07165,5974,2011
KQ76_RS07170,219,128
KQ76_RS07175,85878,59783
KQ76_RS07180,15002,6834
KQ76_RS07185,16529,6826
KQ76_RS07190,41063,49249
KQ76_RS07195,4,11
KQ76_RS07200,1,9
KQ76_RS07205,3,9
KQ76_RS07210,509,304
KQ76_RS07215,7649,5231
KQ76_RS07220,8202,7454
KQ76_RS07225,61,58
KQ76_RS07230,11036,18123
KQ76_RS07235,4224,4820
KQ76_RS07240,2533,1679
KQ76_RS07245,1224,1224
KQ76_RS07250,8930,24117
KQ76_RS07255,163,224
KQ76_RS07260,119,141
KQ76_RS07270,71,100
KQ76_RS07275,26,14
KQ76_RS07280,6,11
KQ76_RS07285,752,561
KQ76_RS07290,936,504
KQ76_RS07295,405,364
KQ76_RS07300,45,47
KQ76_RS07305,30,80
KQ76_RS07310,28,68
KQ76_RS07315,3,16
KQ76_RS07320,1407,3176
KQ76_RS07325,239,560
KQ76_RS07330,2474,4838
KQ76_RS07335,11,12
KQ76_RS07340,33,43
KQ76_RS07345,128,174
KQ76_RS07350,211,101
KQ76_RS07355,189,142
KQ76_RS07360,111,63
KQ76_RS07365,218,121
KQ76_RS07370,42,23
KQ76_RS07375,302,198
KQ76_RS07380,365,172
KQ76_RS07385,185,180
KQ76_RS07390,13,9
KQ76_RS07395,784,975
KQ76_RS07400,146,202
KQ76_RS07405,122,104
KQ76_RS07410,78,57
KQ76_RS07415,58,53
KQ76_RS07420,17,15
KQ76_RS07425,21,6
KQ76_RS07430,174,29
KQ76_RS07435,9,14
KQ76_RS07440,21,49
KQ76_RS07445,47,91
KQ76_RS07450,101,123
KQ76_RS07455,199,559
KQ76_RS07460,17,19
KQ76_RS07465,133,323
KQ76_RS07470,353,911
KQ76_RS07475,10,14
KQ76_RS07480,20,177
KQ76_RS07485,14,41
KQ76_RS07490,11,24
KQ76_RS07495,427,862
KQ76_RS07500,232,380
KQ76_RS07505,2117,2544
KQ76_RS07510,550,1318
KQ76_RS07515,657,1370
KQ76_RS07520,103,268
KQ76_RS07525,32,79
KQ76_RS07530,7,26
KQ76_RS07535,24,104
KQ76_RS07540,301,430
KQ76_RS07545,1076,736
KQ76_RS07550,1709,2786
KQ76_RS07555,876,1583
KQ76_RS07560,828,1181
KQ76_RS07565,698,845
KQ76_RS07570,6610,2972
KQ76_RS07575,514,889
KQ76_RS07580,310,529
KQ76_RS07585,2146,2164
KQ76_RS07590,1739,1286
KQ76_RS07595,421,383
KQ76_RS07600,3946,2854
KQ76_RS07605,7179,4565
KQ76_RS07610,1919,1683
KQ76_RS07615,3725,1469
KQ76_RS07620,2011,852
KQ76_RS07625,16545,17544
KQ76_RS07630,45418,26742
KQ76_RS07635,225,233
KQ76_RS07640,2254,2152
KQ76_RS07645,3092,2924
KQ76_RS07650,954,3119
KQ76_RS07655,4213,17914
KQ76_RS07660,8272,23898
KQ76_RS07665,172,91
KQ76_RS07670,4217,4956
KQ76_RS07675,548,741
KQ76_RS07680,2132,2338
KQ76_RS07685,8885,4097
KQ76_RS07690,5280,2985
KQ76_RS07695,30838,40784
KQ76_RS07700,19931,21623
KQ76_RS07705,4189,10918
KQ76_RS07710,2931,6195
KQ76_RS07715,96,173
KQ76_RS07720,607,750
KQ76_RS07725,433,167
KQ76_RS07730,1125,331
KQ76_RS07735,65291,69475
KQ76_RS07740,5072,10518
KQ76_RS07745,90,129
KQ76_RS07750,7603,10302
KQ76_RS07755,3280,5645
KQ76_RS07760,8492,11132
KQ76_RS07765,9604,12592
KQ76_RS07770,6750,8029
KQ76_RS07775,14010,12190
KQ76_RS07780,9610,6448
KQ76_RS07785,1822,1033
KQ76_RS07790,12837,13429
KQ76_RS07795,1539,1437
KQ76_RS07800,18405,15070
KQ76_RS07805,7445,5120
KQ76_RS07810,4866,3426
KQ76_RS07815,28586,19943
KQ76_RS07820,5962,4293
KQ76_RS07825,19847,14332
KQ76_RS07830,2263,1414
KQ76_RS07835,2003,1657
KQ76_RS07840,387,443
KQ76_RS07845,3961,3353
KQ76_RS07850,2859,3760
KQ76_RS07855,140522,35907
KQ76_RS07860,163550,35836
KQ76_RS07865,19655,3625
KQ76_RS07870,2048,871
KQ76_RS07875,60,36
KQ76_RS07880,45,112
KQ76_RS07885,22,70
KQ76_RS07890,32,203
KQ76_RS07895,25,126
KQ76_RS07900,199,330
KQ76_RS07905,693,1742
KQ76_RS07910,16808,33329
KQ76_RS07915,7204,14716
KQ76_RS07920,4732,7195
KQ76_RS07925,746,485
KQ76_RS07930,7572,6878
KQ76_RS07935,745,870
KQ76_RS07940,741,1009
KQ76_RS07945,23790,28871
KQ76_RS07950,55012,188347
KQ76_RS07955,323,205
KQ76_RS07960,3431,3579
KQ76_RS07965,1864,1907
KQ76_RS07970,8213,6342
KQ76_RS07975,9708,6204
KQ76_RS07980,1795,4805
KQ76_RS07985,3378,11460
KQ76_RS07990,34326,69838
KQ76_RS07995,23338,44558
KQ76_RS08000,3433,2447
KQ76_RS08005,970,572
KQ76_RS08010,58448,43095
KQ76_RS08015,4893,6804
KQ76_RS08020,3275,4505
KQ76_RS08025,1675,2055
KQ76_RS08030,2883,3452
KQ76_RS08035,3187,4988
KQ76_RS08040,1997,3293
KQ76_RS08045,19560,14939
KQ76_RS08050,58941,42137
KQ76_RS08055,15711,12882
KQ76_RS08060,9910,19239
KQ76_RS08065,19553,16641
KQ76_RS08070,4957,4664
KQ76_RS08075,3881,7455
KQ76_RS08080,2236,4149
KQ76_RS08085,31017,85733
KQ76_RS08090,1166,3073
KQ76_RS08095,9254,20211
KQ76_RS08100,1495,3784
KQ76_RS08105,15405,11128
KQ76_RS08110,16327,5067
KQ76_RS08115,1280,1205
KQ76_RS08120,972,2142
KQ76_RS08125,968,2450
KQ76_RS08130,539,2779
KQ76_RS08135,12662,28305
KQ76_RS08140,1762,3454
KQ76_RS08145,6200,12413
KQ76_RS08150,3923,3892
KQ76_RS08155,2329,1592
KQ76_RS08160,14434,9589
KQ76_RS08165,9168,6164
KQ76_RS08170,1146,778
KQ76_RS08175,2629,1643
KQ76_RS08185,581,308
KQ76_RS08200,477,771
KQ76_RS08205,8665,37754
KQ76_RS08210,1805,8774
KQ76_RS08215,3267,15174
KQ76_RS08220,597,2052
KQ76_RS08225,5061,23152
KQ76_RS08230,2099,6513
KQ76_RS08235,4765,3324
KQ76_RS08240,15599,10832
KQ76_RS08245,7214,5667
KQ76_RS08250,5050,3978
KQ76_RS08255,5031,2382
KQ76_RS08260,1173,779
KQ76_RS08265,13632,10948
KQ76_RS08270,5308,3184
KQ76_RS08275,19286,8759
KQ76_RS08280,16144,20268
KQ76_RS08285,3140,4528
KQ76_RS08290,7532,15443
KQ76_RS08295,8774,21508
KQ76_RS08300,2396,19841
KQ76_RS08305,11,29
KQ76_RS08310,110,1012
KQ76_RS08315,280,869
KQ76_RS08320,15419,23617
KQ76_RS08325,4522,7601
KQ76_RS08330,136,174
KQ76_RS08335,41176,5077
KQ76_RS08340,11334,960
KQ76_RS08345,12578,4591
KQ76_RS08350,10395,4596
KQ76_RS08355,15902,7734
KQ76_RS08360,641,703
KQ76_RS08365,10619,7518
KQ76_RS08370,62779,27806
KQ76_RS08375,1362,933
KQ76_RS08380,39524,34631
KQ76_RS08385,14712,19868
KQ76_RS08390,8182,11301
KQ76_RS08395,7487,9781
KQ76_RS08400,4799,5251
KQ76_RS08405,13917,17788
KQ76_RS08410,42225,19410
KQ76_RS08415,62850,21689
KQ76_RS08420,58733,17868
KQ76_RS08425,6337,2867
KQ76_RS08430,4921,2873
KQ76_RS08435,188,484
KQ76_RS08440,299,531
KQ76_RS08445,897,1412
KQ76_RS08450,265,197
KQ76_RS08455,158,102
KQ76_RS08460,1,4
KQ76_RS08465,13981,3505
KQ76_RS08470,27603,4745
KQ76_RS08475,2922,2198
KQ76_RS08480,4820,3204
KQ76_RS08485,570,328
KQ76_RS08490,18083,30067
KQ76_RS08495,8274,12428
KQ76_RS08500,3863,6637
KQ76_RS08505,11937,24238
KQ76_RS08510,8750,12106
KQ76_RS08515,71726,55456
KQ76_RS08525,48751,40960
KQ76_RS08530,41750,30742
KQ76_RS08535,293,94
KQ76_RS08540,3855,4086
KQ76_RS08545,374,499
KQ76_RS08550,20597,9587
KQ76_RS08555,58954,28537
KQ76_RS08560,8444,6682
KQ76_RS08565,12686,8748
KQ76_RS08570,10897,107851
KQ76_RS08575,26159,17433
KQ76_RS08580,700,449
KQ76_RS08585,5719,9221
KQ76_RS08590,16154,19096
KQ76_RS08595,1643,2649
KQ76_RS08600,110865,119023
KQ76_RS08605,1427,2070
KQ76_RS08610,1511,2468
KQ76_RS08615,20614,30609
KQ76_RS08620,3638,1293
KQ76_RS08625,15423,32741
KQ76_RS08630,3495,6454
KQ76_RS08635,542,1028
KQ76_RS08640,111612,93050
KQ76_RS08645,56173,45154
KQ76_RS08650,76617,35239
KQ76_RS08655,68332,61211
KQ76_RS08660,9795,10172
KQ76_RS08665,15193,14335
KQ76_RS08670,15388,12413
KQ76_RS08675,11422,7615
KQ76_RS08680,24738,101670
KQ76_RS08685,4840,17680
KQ76_RS08690,2939,15660
KQ76_RS08695,6507,21935
KQ76_RS08700,12252,78614
KQ76_RS08705,4526,4655
KQ76_RS08710,665,617
KQ76_RS08715,94265,27157
KQ76_RS08720,31305,81509
KQ76_RS08725,30784,19109
KQ76_RS08730,6356,3721
KQ76_RS08735,12067,14304
KQ76_RS08740,5167,5013
KQ76_RS08745,5415,3556
KQ76_RS08750,4078,3223
KQ76_RS08755,7,16
KQ76_RS08760,25851,29439
KQ76_RS08765,3237,1355
KQ76_RS08770,95193,48360
KQ76_RS08775,78,94
KQ76_RS08780,437,442
KQ76_RS08785,2507,3580
KQ76_RS08790,2037,1674
KQ76_RS08795,3327,2526
KQ76_RS08800,12,5
KQ76_RS08805,1519,978
KQ76_RS08810,24254,15998
KQ76_RS08815,7587,4030
KQ76_RS08820,8701,10446
KQ76_RS08825,4177,889
KQ76_RS08830,2622,2515
KQ76_RS08840,343,928
KQ76_RS08845,6,10
KQ76_RS08850,94825,39770
KQ76_RS08855,11926,12572
KQ76_RS08860,4862,2674
KQ76_RS08865,6366,5297
KQ76_RS08870,11407,7648
KQ76_RS08875,14,5
KQ76_RS08880,11069,12208
KQ76_RS08885,20,63
KQ76_RS08890,6532,18277
KQ76_RS08895,71532,249522
KQ76_RS08900,20332,26741
KQ76_RS08905,40670,60642
KQ76_RS08910,4058,5477
KQ76_RS08915,5953,7590
KQ76_RS08920,518,1136
KQ76_RS08925,4609,12327
KQ76_RS08930,3752,4509
KQ76_RS08935,1589,4857
KQ76_RS08940,16322,27617
KQ76_RS08945,28939,51568
KQ76_RS08950,24449,34827
KQ76_RS08955,24507,39303
KQ76_RS08960,2150,3282
KQ76_RS08965,9349,5454
KQ76_RS08970,35200,17736
KQ76_RS08975,5829,4741
KQ76_RS08980,2463,5407
KQ76_RS08985,5430,3780
KQ76_RS08990,27368,15891
KQ76_RS08995,7847,5478
KQ76_RS09000,5691,3256
KQ76_RS09005,5144,3134
KQ76_RS09010,7315,4947
KQ76_RS09015,5785,16553
KQ76_RS09020,5,49
KQ76_RS09025,24578,38641
KQ76_RS09030,1415,21318
KQ76_RS09035,2891,66802
KQ76_RS09040,2018,50514
KQ76_RS09045,6841,111185
KQ76_RS09050,4775,13733
KQ76_RS09055,203,247
KQ76_RS09060,592,700
KQ76_RS09065,57388,31405
KQ76_RS09070,1121,998
KQ76_RS09075,404,516
KQ76_RS09080,758,832
KQ76_RS09085,1198,1035
KQ76_RS09090,2098,2768
KQ76_RS09095,3446,3026
KQ76_RS09100,5816,5868
KQ76_RS09105,1528,1145
KQ76_RS09110,467,703
KQ76_RS09115,808,1651
KQ76_RS09120,828,1813
KQ76_RS09125,5728,11624
KQ76_RS09130,17144,75149
KQ76_RS09135,341868,362437
KQ76_RS09140,539,2217
KQ76_RS09145,515,1332
KQ76_RS09150,3474,5863
KQ76_RS09155,5459,12285
KQ76_RS09160,5264,8591
KQ76_RS09165,28,28
KQ76_RS09170,20890,7894
KQ76_RS09175,66721,30805
KQ76_RS09180,1218,482
KQ76_RS09185,842,331
KQ76_RS09190,1410,733
KQ76_RS09195,1303,885
KQ76_RS09200,202,64
KQ76_RS09205,20,6
KQ76_RS09210,49,94
KQ76_RS09215,80,97
KQ76_RS09220,43,45
KQ76_RS09230,480,449
KQ76_RS09235,1898,381
KQ76_RS09240,1304,406
KQ76_RS09245,5633,4679
KQ76_RS09250,380,298
KQ76_RS09255,691,146
KQ76_RS09260,1994,1257
KQ76_RS09265,6535,3694
KQ76_RS09270,2,10
KQ76_RS09275,157,604
KQ76_RS09280,309,614
KQ76_RS09285,286,862
KQ76_RS09290,739,1835
KQ76_RS09295,442,1355
KQ76_RS09300,121,27
KQ76_RS09305,674,442
KQ76_RS09310,215,186
KQ76_RS09320,1499,817
KQ76_RS09325,164,26
KQ76_RS09330,532,162
