Gene Name,DMSO,Berberine+Thymol
KQ76_RS01060,187,386
KQ76_RS01065,796,1988
KQ76_RS01075,1276,2094
KQ76_RS01080,17,61
KQ76_RS01085,1362,3504
KQ76_RS01090,772,1463
KQ76_RS01095,1961,4693
KQ76_RS01100,6244,31319
KQ76_RS01105,2,0
KQ76_RS01110,636,123
KQ76_RS01115,1408,1515
KQ76_RS01120,940,1030
KQ76_RS01125,1771,1418
KQ76_RS01130,5405,1629
KQ76_RS01135,6175,1318
KQ76_RS01140,8648,1477
KQ76_RS01145,16463,1279
KQ76_RS01150,11219,3295
KQ76_RS01155,24276,10538
KQ76_RS01160,32731,3848
KQ76_RS01165,2769,474
KQ76_RS01170,2708,510
KQ76_RS01175,5233,863
KQ76_RS01180,29363,5334
KQ76_RS01185,441,61
KQ76_RS01190,74,24
KQ76_RS01195,7305,2453
KQ76_RS01200,3237,704
KQ76_RS01205,4272,1522
KQ76_RS01210,6879,2449
KQ76_RS01215,3474,1010
KQ76_RS01220,620,220
KQ76_RS01225,18,18
KQ76_RS01230,23,22
KQ76_RS01235,53,51
KQ76_RS01240,365,334
KQ76_RS01245,106,69
KQ76_RS01250,633,840
KQ76_RS01255,602,886
KQ76_RS01260,7,17
KQ76_RS01265,71,115
KQ76_RS01275,451,126
KQ76_RS01280,14967,4805
KQ76_RS01285,4532,1449
KQ76_RS01290,5298,9859
KQ76_RS01295,4011,1625
KQ76_RS01300,26,168
KQ76_RS01305,7551,62442
KQ76_RS01310,5093,49811
KQ76_RS01315,9171,16627
KQ76_RS01320,2228,969
KQ76_RS01325,1336,920
KQ76_RS01330,5136,3588
KQ76_RS01335,20258,79173
KQ76_RS01340,7594,24669
KQ76_RS01345,1985,1409
KQ76_RS01350,5106,7969
KQ76_RS01355,2746,3951
KQ76_RS01360,3490,1233
KQ76_RS01365,6903,2474
KQ76_RS01370,5904,8116
KQ76_RS01375,4475,5111
KQ76_RS01380,2,1
KQ76_RS01385,761,1510
KQ76_RS01390,156,351
KQ76_RS01395,986,1842
KQ76_RS01400,1248,2678
KQ76_RS01405,518,1287
KQ76_RS01410,2803,8577
KQ76_RS01415,12693,6826
KQ76_RS01420,1734,989
KQ76_RS01425,2489,982
KQ76_RS01430,12527,4470
KQ76_RS01435,88,229
KQ76_RS01440,418,912
KQ76_RS01445,210,104
KQ76_RS01450,43041,7711
KQ76_RS01455,440,589
KQ76_RS01460,1170,1704
KQ76_RS01465,305,383
KQ76_RS01470,9479,6612
KQ76_RS01480,268,304
KQ76_RS01485,17,50
KQ76_RS01490,423,591
KQ76_RS01495,895,578
KQ76_RS01500,3466,674
KQ76_RS01505,746,176
KQ76_RS01510,1481,325
KQ76_RS01515,272,1593
KQ76_RS01520,831,5137
KQ76_RS01525,998,4504
KQ76_RS01530,1563,7901
KQ76_RS01535,3239,1253
KQ76_RS01545,17002,5887
KQ76_RS01550,2433,2682
KQ76_RS01555,2586,2487
KQ76_RS01560,1479,1689
KQ76_RS01565,634,949
KQ76_RS01570,507,519
KQ76_RS01575,1537,707
KQ76_RS01580,1867,559
KQ76_RS01585,1509,589
KQ76_RS01590,22204,12185
KQ76_RS01595,500,567
KQ76_RS01600,105287,12023
KQ76_RS01605,108511,12456
KQ76_RS01610,2337,317
KQ76_RS01615,1412,405
KQ76_RS01620,5894,5843
KQ76_RS01625,362,64
KQ76_RS01630,19,68
KQ76_RS01635,68,153
KQ76_RS01640,6,26
KQ76_RS01645,4,15
KQ76_RS01650,206,285
KQ76_RS01655,8395,12649
KQ76_RS01660,983,1258
KQ76_RS01665,19,38
KQ76_RS01670,52,104
KQ76_RS01675,58,205
KQ76_RS01680,4,30
KQ76_RS01685,0,0
KQ76_RS01690,0,0
KQ76_RS01700,0,0
KQ76_RS01705,0,0
KQ76_RS01715,22383,6289
KQ76_RS01720,2512,546
KQ76_RS01725,1062,782
KQ76_RS01730,9,32
KQ76_RS01735,22,46
KQ76_RS01740,5045,48140
KQ76_RS01745,2070,12155
KQ76_RS01750,11714,76690
KQ76_RS01755,112,547
KQ76_RS01760,2176,5677
KQ76_RS01765,442,519
KQ76_RS01770,7651,3321
KQ76_RS01780,192125,590280
KQ76_RS01785,36514,107162
KQ76_RS01790,6783,18746
KQ76_RS01795,13556,12783
KQ76_RS01800,8,14
KQ76_RS01805,14615,36604
KQ76_RS01810,4477,15372
KQ76_RS01815,7534,22324
KQ76_RS01820,28491,4135
KQ76_RS01825,76945,11569
KQ76_RS01830,57933,14233
KQ76_RS01835,93533,28698
KQ76_RS01840,53,177
KQ76_RS01855,87,174
KQ76_RS01860,46,89
KQ76_RS01865,1340,5643
KQ76_RS01870,2730,12565
KQ76_RS01875,86,140
KQ76_RS01880,53,71
KQ76_RS01885,165,168
KQ76_RS01890,65,111
KQ76_RS01895,37,86
KQ76_RS01900,8,15
KQ76_RS01905,36,41
KQ76_RS01910,66,77
KQ76_RS01915,14,40
KQ76_RS01925,8504,5737
KQ76_RS01930,414,219
KQ76_RS01935,14,0
KQ76_RS01940,218,203
KQ76_RS01945,994,792
KQ76_RS01950,6,3
KQ76_RS01955,118,27
KQ76_RS01960,21,6
KQ76_RS01965,107,150
KQ76_RS01970,133,180
KQ76_RS01975,118,197
KQ76_RS01980,937,419
KQ76_RS01985,1338,2225
KQ76_RS01990,63,79
KQ76_RS01995,159,327
KQ76_RS02000,331,563
KQ76_RS02005,681,5737
KQ76_RS02010,82,984
KQ76_RS02015,14987,12925
KQ76_RS02020,14261,32122
KQ76_RS02025,1137,1948
KQ76_RS02035,3636,3932
KQ76_RS02040,3200,4246
KQ76_RS02045,4,14
KQ76_RS02050,341,570
KQ76_RS02055,2058,725
KQ76_RS02060,2382,1281
KQ76_RS02065,842,432
KQ76_RS02070,198,132
KQ76_RS02075,490,285
KQ76_RS02080,59879,14807
KQ76_RS02085,615,698
KQ76_RS02090,666,974
KQ76_RS02095,956,1534
KQ76_RS02100,4965,4809
KQ76_RS02105,6178,6142
KQ76_RS02110,764,1199
KQ76_RS02115,1286,1699
KQ76_RS02120,379,1035
KQ76_RS02125,15,44
KQ76_RS02130,7050,11911
KQ76_RS02135,1868,3577
KQ76_RS02140,1471,1949
KQ76_RS02145,27,39
KQ76_RS02150,938,1279
KQ76_RS02155,9834,10968
KQ76_RS02160,4132,3306
KQ76_RS02165,7775,7629
KQ76_RS02170,51,118
KQ76_RS02175,23,13
KQ76_RS02185,1783,2159
KQ76_RS02190,1270,687
KQ76_RS02195,13661,11332
KQ76_RS02205,5369,5175
KQ76_RS02210,5309,7195
KQ76_RS02215,2163,2489
KQ76_RS02220,1226,1260
KQ76_RS02225,57,86
KQ76_RS02230,1216,1233
KQ76_RS02240,27999,16694
