X,dpurR.T3.R1,dpurR.T3.R2,dpurR.T5.R1,dpurR.T5.R2,WT.T3.R1,WT.T3.R2,WT.T5.R1,WT.T5.R2
SAUSA300_2443,10122,10744,5516,6249,17582,11543,5609,4049
SAUSA300_2444,11443,12139,1317,1597,17008,10995,8277,4969
SAUSA300_2445,4721,4896,2677,4099,4882,3461,8927,11020
SAUSA300_2446,2771,2989,1149,1614,3582,2303,6293,6337
SAUSA300_2447,8643,8974,23854,24470,19570,12100,58065,50997
SAUSA300_2448,5601,5871,3656,764,6090,4058,3152,5446
SAUSA300_2449,12538,13062,8412,10078,32618,21158,6122,5265
SAUSA300_2450,5602,5906,1224,2116,7659,5196,1627,1726
SAUSA300_2451,493,507,277,548,639,374,460,473
SAUSA300_2452,115,99,52,92,115,77,111,72
SAUSA300_2453,14069,15691,1018,1584,16374,11037,6473,4176
SAUSA300_2454,16093,18236,974,1390,25190,16526,7060,5518
SAUSA300_2455,7988,8810,10322,14545,11218,7301,8841,8779
SAUSA300_2456,2656,2806,1265,1673,3045,1933,2705,2719
SAUSA300_2457,182,187,208,364,288,166,373,477
SAUSA300_2458,122,155,104,181,178,135,343,260
SAUSA300_2459,698,721,324,544,550,370,528,611
SAUSA300_2460,2627,2833,2254,3877,1461,851,3925,4020
SAUSA300_2461,1985,2108,2673,3016,1989,1353,8625,10943
SAUSA300_2462,1064,1132,599,1068,1021,721,1748,2000
SAUSA300_2463,8460,8879,9929,16874,30091,19230,55403,64595
SAUSA300_2464,347,382,341,1064,438,265,369,368
SAUSA300_2465,49,52,34,40,36,22,126,142
SAUSA300_2466,209,221,97,185,187,146,376,395
SAUSA300_2467,8230,8469,4444,1858,11203,7680,7181,7894
SAUSA300_2468,685,817,269,504,752,471,848,990
SAUSA300_2469,1409,1473,1068,1801,1746,1251,1012,1525
SAUSA300_2470,365,385,328,721,320,211,287,383
SAUSA300_2471,838,826,909,2039,770,520,882,1060
SAUSA300_2472,1590,1715,657,1288,2413,1657,2529,2226
SAUSA300_2473,18063,18617,8383,15500,14102,9440,14527,17528
SAUSA300_2474,2676,2763,1650,2357,3778,2490,3514,4036
SAUSA300_2475,2683,2829,1037,1116,3723,2417,2454,2674
SAUSA300_2476,20622,21998,1041,2122,17960,11572,4603,5248
SAUSA300_2477,12322,13038,15136,27526,9482,5791,20363,22946
SAUSA300_2478,3390,3473,4721,9039,2474,1730,5169,5408
SAUSA300_2479,401,452,242,406,201,141,1727,2152
SAUSA300_2480,2206,2386,1050,1730,2493,1563,2356,2467
SAUSA300_2481,32724,33939,15314,26063,40960,24994,13643,15909
SAUSA300_2482,169,165,36,39,72,59,58,44
SAUSA300_2483,6663,6734,2156,3681,5225,3498,2791,3154
SAUSA300_2484,30121,32068,4474,7579,14876,8882,3561,4011
SAUSA300_2485,5622,5706,4165,4842,6438,3876,5728,7168
SAUSA300_2486,69925,72669,110192,214934,64042,41435,42803,60543
SAUSA300_2487,729,763,604,652,380,241,418,459
SAUSA300_2488,173,161,102,106,69,62,64,70
SAUSA300_2489,886,962,274,376,1224,764,353,451
SAUSA300_2490,1953,2063,808,1332,1677,1051,1931,1819
SAUSA300_2491,39787,42029,23915,47566,40226,25201,14366,11953
SAUSA300_2492,1866,1972,438,643,2109,1465,1651,1863
SAUSA300_2493,1906,2147,281,178,1262,940,494,603
SAUSA300_2494,19862,21174,18322,32350,16410,10726,19640,23136
SAUSA300_2495,4926,5264,6364,11447,3679,2325,7435,8697
SAUSA300_2496,4468,4572,2880,6290,4273,2912,3847,4413
SAUSA300_2497,7815,8167,3811,7559,7607,4889,5698,6595
SAUSA300_2498,1219,1291,6463,9412,1260,829,1581,2281
SAUSA300_2499,531,519,2777,4318,695,441,873,1173
SAUSA300_2500,828,860,4007,6600,1265,923,1878,2008
SAUSA300_2501,1839,1842,4584,8251,3955,2466,4518,3515
SAUSA300_2502,714,688,854,1482,984,712,2830,1615
SAUSA300_2503,491,504,89,129,350,206,163,164
SAUSA300_2504,12826,13691,4508,9681,9145,6072,6652,7172
SAUSA300_2505,226,256,34,82,91,70,52,64
SAUSA300_2506,9960,10346,657,796,4027,2546,1122,1201
SAUSA300_2507,1178,1163,59,92,254,160,238,268
SAUSA300_2508,1,4,1,3,7,5,17,13
SAUSA300_2509,806,812,291,507,1175,792,1107,988
SAUSA300_2510,881,859,796,1426,830,638,1174,1216
SAUSA300_2511,846,867,689,1068,701,485,854,965
SAUSA300_2512,453,463,93,147,292,213,269,273
SAUSA300_2513,571,580,147,182,482,315,375,379
SAUSA300_2514,151,145,48,47,122,60,139,115
SAUSA300_2515,345,353,128,164,198,121,285,358
SAUSA300_2516,478,553,124,153,385,256,287,357
SAUSA300_2517,1447,1530,1824,3074,1350,918,1725,2310
SAUSA300_2518,3275,3312,11642,23113,3311,2205,10395,12783
SAUSA300_2519,596,639,166,307,481,308,235,309
SAUSA300_2520,252,264,81,95,212,110,148,130
SAUSA300_2521,104,126,42,51,84,64,63,76
SAUSA300_2522,147,156,69,163,64,42,106,99
SAUSA300_2523,161,144,47,74,112,74,84,86
SAUSA300_2524,85,100,48,72,41,27,61,95
SAUSA300_2525,1455,1435,7878,14054,1707,1056,5499,7237
SAUSA300_2526,8291,8997,744,1701,7552,5095,4520,5617
SAUSA300_2527,3751,3945,642,911,4266,3069,3308,2845
SAUSA300_2528,2377,2580,662,745,2348,1420,1559,1560
SAUSA300_2529,940,1120,342,273,2818,1618,2071,2763
SAUSA300_2530,1102,1102,327,367,800,533,526,494
SAUSA300_2531,1149,1147,672,1000,1597,1021,1553,1600
SAUSA300_2532,3180,3266,877,1217,3775,2620,2722,3219
SAUSA300_2533,5290,5566,1466,2357,6151,4156,4294,4962
SAUSA300_2534,4767,4816,1231,2163,6237,4221,3013,3292
SAUSA300_2535,8865,9418,968,1622,8180,5398,4652,5445
SAUSA300_2536,12917,13594,2691,5099,9826,6432,5709,5335
SAUSA300_2537,158641,166176,26307,52158,102433,64291,87879,81872
SAUSA300_2538,17835,18995,4897,4678,17513,11039,9377,8663
SAUSA300_2539,7168,7268,888,1838,2341,1580,2254,1614
SAUSA300_2540,112451,122891,38860,47238,104168,63512,221110,263060
SAUSA300_2541,171297,186076,63486,123483,180372,113033,128807,139383
SAUSA300_2542,37833,39136,22113,34748,43677,29248,40099,47190
SAUSA300_2543,1917,1976,1909,3173,1539,977,3319,2023
SAUSA300_2544,632,718,612,895,1020,459,832,835
SAUSA300_2545,473,459,106,188,441,289,384,452
SAUSA300_2546,391,470,175,275,446,312,598,774
SAUSA300_2547,2056,2041,715,1441,1692,1109,2186,2284
SAUSA300_2548,729,737,863,989,1321,891,1719,1657
SAUSA300_2549,1198,1266,734,758,789,517,871,978
SAUSA300_2550,45228,48646,41184,72497,15570,10065,44612,53240
SAUSA300_2551,109083,115931,89744,189246,51506,33854,118632,138299
SAUSA300_2552,1551,1594,260,460,987,586,1103,1215
SAUSA300_2553,2107,2174,1755,2617,2111,1488,2665,3308
SAUSA300_2554,2754,2990,2844,4056,3630,2430,4628,5347
SAUSA300_2555,408,471,123,173,293,200,259,179
SAUSA300_2556,3287,3604,1983,3225,2831,1897,2000,2242
SAUSA300_2557,1335,1346,612,1196,1092,729,758,746
SAUSA300_2558,6889,7249,1213,2496,2739,1880,861,878
SAUSA300_2559,5786,6297,1120,2204,2876,1740,787,779
SAUSA300_2560,2308,2343,592,1124,841,615,371,381
SAUSA300_2561,65,74,44,60,51,43,162,170
SAUSA300_2562,7752,8300,4757,10793,4463,2741,13510,8198
SAUSA300_2563,3529,3793,1336,2481,3621,2215,3831,4484
SAUSA300_2564,2583,2703,1677,3409,2984,1956,3185,3193
SAUSA300_2565,17837,18658,8647,4217,102047,72043,43819,39395
SAUSA300_2566,1166,1244,2008,3084,1017,612,456,519
SAUSA300_2567,889,885,1932,3013,604,436,223,312
SAUSA300_2568,533,570,2363,3996,353,213,217,265
SAUSA300_2569,323,353,1882,3272,194,115,139,140
SAUSA300_2570,344,342,2212,4732,126,90,131,165
SAUSA300_2571,122,114,89,184,103,61,271,300
SAUSA300_2572,3082,3233,748,1131,3700,2473,3111,3414
SAUSA300_2573,9628,10040,5669,8144,12360,8019,20644,28659
SAUSA300_2574,657,674,312,396,1239,965,891,908
SAUSA300_2575,4058,4362,3142,6180,4939,3344,3765,3415
SAUSA300_2576,32457,34116,208209,230813,62441,40230,40816,44744
SAUSA300_2577,12662,13551,139453,161411,18941,12038,16829,24512
SAUSA300_2578,19757,21075,4235,9615,16384,11062,15513,17218
SAUSA300_2579,78890,85416,11980,23989,62785,41880,53151,55729
SAUSA300_2580,9814,10350,2967,4629,11509,7911,8847,10690
SAUSA300_2581,5800,6189,3929,4338,6793,4372,7115,6467
SAUSA300_2582,5030,5438,4784,7198,5684,3899,2717,3950
