,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,80,84,48,67,6,10.5,5,11,9,13,5,34
NC_007795.1,71.71428571,394.25,39.64285714,287.9642857,26,4.416666667,10.16666667,7,7,4.416666667,18.16666667,15.16666667
NC_007795.1,9.333333333,60.5,2,70.5,3,2,8,1,1,5.5,2,7.5
NC_007795.1,22,26.5,3.5,24,4,4,4,2,1,1.5,1,2.5
NC_007795.1,11,39.5,3.5,32.5,5.5,8,1.333333333,3,0,2,2,3
NC_007795.1,64.5,287.3333333,47,182,29,5,22,13,4,12.16666667,18,11.16666667
NC_007795.1,29,172.5,11,147,13.5,5.5,16,3,3,3,8,5
NC_007795.1,44.5,199.5,21,135.5,16,4,16,5,3,4,10,10.5
NC_007795.1,54,230,36,163.5,9.5,4.333333333,9,6,4,1,8,7.5
NC_007795.1,20,110.5,14,94,9,2,3,8,0,0,7,6
NC_007795.1,14,68,21.5,64.5,10,2,7,3.5,0,1,0,4
NC_007795.1,45,277,38.5,215.8333333,22.5,6,16.5,9,1.5,3,7.5,7.5
NC_007795.1,20,114,15.5,63.5,6.5,5,13.5,2.5,0.5,0,3.5,8.5
NC_007795.1,43.5,238.5,26,188.6428571,18,3,10,6.142857143,7.5,2,6,3
NC_007795.1,15.5,79,10.5,46.5,4,0,6.5,5.5,3.5,2.166666667,3,1.666666667
NC_007795.1,12,91,21,50.5,7,0,5.5,4.5,2,1,2.5,4.666666667
NC_007795.1,39.5,209.5,26.5,177.5,20,3,6,8,2,5,5.5,5
NC_007795.1,43,224,29,133,11,6,3,7,5,4,8.25,1
NC_007795.1,33,26.5,52.5,7,5.5,6,3,3,1,4,3,2.5
NC_007795.1,62,109.5,29,104,4,10,3,5,5,4,3,9.5
NC_007795.1,515.6666667,608.1666667,458.5,681,77,63,33,77,128,221,72,187
NC_007795.1,79,164,79,139.5,13,4,5,15.5,2.5,5,2,27
NC_007795.1,30,51.5,13,48,10.5,8,4,25,13,45,6.5,37.5
NC_007795.1,5,26,1,16,7,0,3,1,0,0,1,0
NC_007795.1,29,111,7,92,15,1,11,4,5,1,1,9
NC_007795.1,22,118.75,11.16666667,91,10.5,2,2,2,1,1,7,3
NC_007795.1,63.5,271.5,36.5,236.5,23.33333333,20.83333333,17,12.83333333,8.166666667,38.83333333,14,20
NC_007795.1,36,186,8,158.5,19.5,3,13,2,3,0,11,7
NC_007795.1,5126,2878,2196,1708,227,761,128,753,319,718,233,1224
NC_007795.1,57,154,41,161,17.5,6,11,5,5,1.5,3,10
NC_007795.1,135,536,100.2,364.5,45,18,24,28,8.333333333,15,24,27
NC_007795.1,546.5,1885.666667,323.0833333,1455,134.5833333,43.83333333,103.8333333,79,45.5,53.66666667,64.66666667,102.6666667
NC_007795.1,127,255.5,121.5,206,13,20.5,16,20,16,20,9.5,26.5
NC_007795.1,72,176,62,103.3333333,14,3,11,11,7,8,9,9
NC_007795.1,19.5,58.5,23,73,3.5,0,5.5,1,1,0,4,0.5
NC_007795.1,34.5,163,8.5,105,11.5,3,5.5,7,2,1.25,4,2.5
NC_007795.1,14.5,90.41428571,8.785714286,107.8333333,16.66666667,2.642857143,3.142857143,1,3,1.428571429,0.5,4
NC_007795.1,47.125,281,10.14285714,167.8928571,11.75,3.5,11,5.125,6,1,7.5,3
NC_007795.1,70.16666667,105.3333333,34,97,10,5,11,9,8,9,2,12
NC_007795.1,99,178,87,156,19,17,6,7,5,11,2,11
NC_007795.1,319.25,376,288.9166667,304.5,26,50.5,20,43,60,41,30,48
NC_007795.1,3,13,0,9.5,1,0,0.5,0,0,0,1,0.5
NC_007795.1,86.5,450.3333333,60.5,336.5,28,16,18,14.5,13,12,17,16
NC_007795.1,94,216.5,91,180.5,16,1,7.5,13,15.5,23.5,15.5,23
NC_007795.1,328,363.6666667,317.5,401,38.5,56,14.5,72.5,22,48.5,19,66.5
NC_007795.1,449.5,959,374.5,701,81,29,53.5,54.5,42,40,38.5,108.5
NC_007795.1,99.5,154,75.5,125.5,9,16,6.5,17,20.5,29,10,37
NC_007795.1,16,44,1,22,2,0,5,0,0,0,1,5
NC_007795.1,255,424,156.1666667,298,33.16666667,43,19,47,58,97,29.16666667,118
NC_007795.1,127.5,118.5,115.5,159,10.5,15,2,13,13,34,9,42.5
NC_007795.1,100.2,146.5,76.5,199.5,17.5,10,3,12,5,21.5,7,42
NC_007795.1,221.5,176,198,138.9,8,16,6,31,15,43.5,16,41.5
NC_007795.1,60,273,32.75757576,184,18,7,10,5.5,4,3,6,9.5
NC_007795.1,34.5,165,9,122,23.5,1,9,3,3,1,2,5.5
NC_007795.1,91,443.75,33.5,262.5,31,3,25,11,2.2,5.5,17.5,6
NC_007795.1,43.25,191,15,191.5,24.5,1,7,6,1,0.5,6.5,3
NC_007795.1,106,539.6428571,20,401,34,4,34,12,4,3,20,18
NC_007795.1,8.045454545,55,5.136363636,58.04545455,5,2,2,0,4,2,1,0
NC_007795.1,89,173,98,90,32,28,18,32,7,8,9,16
NC_007795.1,93,120,103,72,10,12,5,21,7,17,6,20
NC_007795.1,21.5,146,7.611111111,105,11.83333333,5,6,1,3,0.5,9,3
NC_007795.1,14.4,90.5,7.75,50.70238095,5.833333333,3,4.666666667,1,2.5,0,2.5,2
NC_007795.1,94,488,42,287.75,42,12,11.5,16,7.5,2,16,14
NC_007795.1,16,151,11,100.5,4.5,1,4.5,1,0,0,6.5,5.5
