,DMSO_R1_minus_TEX,DMSO_R1_plus_TEX,DMSO_R2_minus_TEX,DMSO_R2_plus_TEX,compound1_R1_minus_TEX,compound1_R1_plus_TEX,compound1_R2_minus_TEX,compound1_R2_plus_TEX,compound59_R1_minus_TEX,compound59_R1_plus_TEX,compound59_R2_minus_TEX,compound59_R2_plus_TEX
NC_007795.1,28868.53571,34337.66667,26402.63571,39215.36905,5608.916667,5494.833333,5352.583333,6844.25,4385.116667,4459.75,3979.833333,5753.033333
NC_007795.1,1161.791667,1680.875,1729.916667,2050.861111,233.25,255.5,135.8333333,223.5,300.0833333,281.8333333,153.6666667,262.8333333
NC_007795.1,32531.58333,33649.16667,36428.75,28815.76786,4244.45,7516.333333,3170.5,7175.666667,3317.416667,5119.583333,2749.833333,7579.833333
NC_007795.1,1640686.132,6405208.775,1564444.56,3707727.638,509656.0714,276434.2369,673276.6055,383093.1302,810485.4881,345346.5909,707551.6539,390822.3996
NC_007795.1,4054981.285,2279600.845,5857835.232,3465137.991,241271.9905,754303.3445,121491.231,633937.9822,264273.0774,716295.3913,152282.4179,752896.0389
NC_007795.1,1728.22619,4852.25,2722.283333,9226.509524,1102,590.0333333,507.5,428.5,1065.5,547.1,661,501.3333333
NC_007795.1,1911660.949,1074838.528,2285396.31,1607081.156,107076.1972,301655.7143,52649.55119,302014.4774,105215.3714,286305.9548,70757.48571,360288.2357
NC_007795.1,0,5,0,2,1,0,0,0,0,1,0,1
NC_007795.1,89,337,49.41666667,244.1666667,24,9,23,18,12,14,12,18
NC_007795.1,511,682,215,456,161,97,72,132,202,356,124,292
NC_007795.1,112,318.3333333,61.5,212.1666667,32.5,15,16,20,7,14,10,29
NC_007795.1,1347.97619,811,1008.72381,592.1666667,93,259.5,53,345.625,83,322.1428571,90.30952381,522.5
NC_007795.1,432.5,453.5,355.6666667,407.5,52.5,79,29,107,30,94,34,154.5
NC_007795.1,279.5,550.5,211.5,414,66,45.5,47,63.5,186,126,67,95
NC_007795.1,582,1035,626.5,749,75,75,38.5,106,244,406,87,289
NC_007795.1,78,316.3333333,38,196,28.5,10,13,5,8,10,8,10
NC_007795.1,98.66666667,244.5,57.66666667,170.0833333,12,3,11.5,12.5,4,7,8.5,4.666666667
NC_007795.1,108.5,291.5,65,175.75,27,13.5,23.5,13.5,5.5,7.5,15.5,21
NC_007795.1,257.5,191,169,125.5,16.5,21.5,12,25,12.5,44.5,8,48.83333333
NC_007795.1,1,6,0,3,0,0,1,0,0,0,0,0
NC_007795.1,66.5,153,42,134.5,15,5,7,4,9,2,9,8.5
NC_007795.1,37.5,150.5,23.83333333,96.5,12.5,5,2.5,8,4,8.5,3,7
NC_007795.1,97,431,50.5,216.5,40.5,7,13.5,13,6,6.5,14,18
NC_007795.1,38,133,55.28571429,139.202381,12.75,10,6.25,12,5,19,7.25,2
NC_007795.1,10607.66667,7050.5,5657,6588.666667,1033.5,1276.5,357,1549.5,681.5,1723.5,727,3131.5
NC_007795.1,631.6,563,546.5,487.1,58,82,46.5,122,159.5,274,62.5,244.5
NC_007795.1,1306,689.5,1328.5,751,85.5,205.5,33.5,263.5,123,294.5,65.5,394
NC_007795.1,92,492,37.11111111,270.1111111,33,6,36,6,26,12,33,15
NC_007795.1,97,235.5,65.33333333,154,19,10,12,12,5,14,11,13
NC_007795.1,8603.5,4755.333333,7318.833333,4798,315,720,129,830,245,672.5,250,1414
NC_007795.1,477,353.5,311,265,30.66666667,65.5,19,88,69,107,34,107
NC_007795.1,26.5,204.5,9,68,6,3,8.111111111,5,4,0,4,6
NC_007795.1,51.5,220,26,141,21.5,6.5,13,2,4,4,5,3
NC_007795.1,2,17.5,0,7.333333333,2.5,0,1,0,0,0,0,0
NC_007795.1,23,160,12,73.5,8,3.5,4,3,1,0,6,0
NC_007795.1,22,75.5,5.090909091,67,3,1,2,1,2,1,5,2
NC_007795.1,15.1,60.5,7,58.5,10,3,3,2,1,0,3.5,3
NC_007795.1,7.5,58,0.2,38,9,0,3,2,0,1,2.5,0
NC_007795.1,32,122,18,87,3,5,7,4,4,4,5,5
NC_007795.1,1386,795.5,1202,832,72.5,159,46,211.5,67,121,70,321.5
NC_007795.1,19,140.5,17,109,7.5,1,5,3.5,5,3,6,1.5
NC_007795.1,4,13,1,6,1,1,0,3,2,0,0,1
NC_007795.1,1,4,0,4,2,0,0,0,0,0,0,0
NC_007795.1,22.11111111,43,23.16666667,54.5,1.25,1,5,5,9,2,3,3
NC_007795.1,4,50,5,37.5,5,0,2,0,1,1,0,1
NC_007795.1,4,29.5,3,7,3,0,2,2,0,0,1,0
NC_007795.1,17,117.5,7,83.5,6,5,6,2,0,3,6,1
NC_007795.1,290,240,239,194,17,16,11,25,10.33333333,40.5,20,55
NC_007795.1,59,66,32,55,7,2,6,5,9,12,4,18
NC_007795.1,5,36.5,1,26.5,1,1,1,1,2,3,1,1
NC_007795.1,49.125,290.1666667,20.2,221.5,27,5,12,5,6,2,15,4
NC_007795.1,69.5,294,17,260,23.83333333,2.166666667,8,7,4,1,14,5.5
NC_007795.1,7,33,4,25,6,0,1,3,7.5,4.5,1,3
NC_007795.1,113,113,58,130,17,9,6,23,4,24,5,38
NC_007795.1,62.66666667,64.5,49.5,79.16666667,7,9,11.33333333,7,3,11.66666667,2.666666667,17
NC_007795.1,23.16666667,13,12.5,15.16666667,1,0,0.333333333,2.5,1.5,0.666666667,0.666666667,3.5
NC_007795.1,99.16666667,110.5,80.66666667,84,7.5,4,6.333333333,7.5,6.5,9.666666667,5.666666667,25.5
NC_007795.1,72,75.5,62.5,94.5,10,7,2,8,23,21,3,12
NC_007795.1,7,81.5,6,55.5,6,1,1,5,0,0,1,1
NC_007795.1,199.5,185,226.5,205,11,8,4,22,9,28,12,48.5
NC_007795.1,107.1666667,81,114.6666667,79.33333333,4,1.5,1,5.5,4,9.5,3,9
NC_007795.1,37.5,99,26,79,9,1,5,6,4,4,4.5,4
NC_007795.1,32.92857143,100.5,21.92857143,63.78571429,6,3,5.5,6.071428571,2,6.5,3,13.14285714
NC_007795.1,23,58,25.5,28,6.166666667,5,3,4,5.5,8,7.5,21
NC_007795.1,28.5,97,55.5,82,5,3,6,3,6.5,7.642857143,5,7
NC_007795.1,157,141,107.5,126.5,10,19,6.5,25,14,28.5,8,39.5
NC_007795.1,164.5,156,163,107,21,18,4.5,22,18.33333333,31.5,8,35.5
NC_007795.1,96,122.5,61,151,9.5,8,5,12,10.5,8,5,5.5
NC_007795.1,141.5,96.5,125,120.8733333,5.5,16.5,5.5,18.5,9,22,4,30.5
NC_007795.1,29.5,11,27,32,0.5,2.5,0.5,4.5,3.5,6,1,11.5
NC_007795.1,53.5,14,37,37,1.5,8,1,5,3,14,2,10.5
NC_007795.1,168,144.5,147.5,167,10.5,11,6,18,13.5,38,4,37.5
NC_007795.1,294.5,411,192.5,357,59,45,37,38.5,42.5,63,43.5,63
NC_007795.1,114,137.5,104,102,10.5,12,6.5,20.5,13.5,6.5,6,16.5
NC_007795.1,17,28.5,30,24,2,5.5,2,2,0.5,1.5,1,1
NC_007795.1,43,188,64.5,192.5,9.5,6,6.5,4.5,3,11,4.5,7.5
NC_007795.1,15,25.5,37,22.5,1,1.5,1,0.5,1,0,2,1.5
NC_007795.1,27,55.5,29.66666667,88.33333333,6,0.5,3,3,1.5,5.333333333,1.5,10
NC_007795.1,20,42.5,19,29,2,2.5,6.5,1.5,8,4,2,4
NC_007795.1,14,6.5,8.5,32,3,0.5,1,0,0,5,0,1
NC_007795.1,23,54,29,79,6,2,3,7,3,6.5,0,5
NC_007795.1,16.5,27,18,44,2,2.5,3.5,2.5,0,4.5,0,2.5
NC_007795.1,48.5,106.5,54,80,13.5,6.5,5.5,7.5,5.5,6,7,7
NC_007795.1,17.5,34.5,19,17,2,2,3,2,7,1.5,1,3.5
NC_007795.1,11.5,21,12.5,9,2,1.5,0,0,1.5,1.5,0.5,1.5
NC_007795.1,62.5,172.25,60,118,10,2,2.5,4,8,6.5,5,3
NC_007795.1,208.5,206.5,158.5,195.5,14.5,20,10,24,6,16,9.5,25.5
NC_007795.1,30,40,29,48.5,2,2,3.5,1,2,5,0,9
NC_007795.1,49,34.5,24.5,32,2,0.5,0,1,3,10.5,3,7
NC_007795.1,318,305.5,393,361,21.5,13.5,9,22,13.5,21.5,9,22
NC_007795.1,5.5,15,1,21.5,1.5,1,0.5,1,1,0,1,3
NC_007795.1,132.5,167.5,211,160,14,3,6.5,6,9.5,8.5,2.5,6
NC_007795.1,51.65384615,53,41.19230769,72.07692308,4,2.5,0,3,3.5,6,1.5,12
NC_007795.1,50.5,28.5,86.5,39,2,0.5,1,2,4.5,5.5,1,6
NC_007795.1,793,554,804.3333333,518,44,115,32,155,51,133,52,171
NC_007795.1,143,413.5,71,210.5,23,23,21,23,4,20,20,27
NC_007795.1,86.5,162,55.5,200.1666667,19,17.5,10,15,11.5,21.5,10,35
NC_007795.1,3,3,4.5,3.5,0,0.5,0,0,0.5,1.5,0,2
NC_007795.1,156,156,117,117,14,16,10,17,18,45,16,64.5
NC_007795.1,109,368,57,306.5,33.66666667,12,24,16,14,11,22,15
NC_007795.1,4,10,0,4,0,0,1,0,0,0,0,0
NC_007795.1,117,391,57.5,255,23,18,15,19,5,13,23,17
NC_007795.1,8,17,2,16,0,2,1,1,1,3,0,12
NC_007795.1,16,121,27,74,10,6,5,6,6,8,3,13
NC_007795.1,113,467,40.5,344,46,9,28,11,18,14,9,19
NC_007795.1,70.22222222,167,27.11111111,150.2222222,12,3,9,7,7,12,10,16
NC_007795.1,43,42.5,36.5,39,0,4.5,0.5,8.5,5,13.5,6,24
NC_007795.1,16,96,7,79.14285714,4,0,1,0,11,3.5,0,8
NC_007795.1,1.333333333,11.5,1,3,1,2,1,0,1.5,0,0,0.5
NC_007795.1,31,109.5,18,108,14,0,2,2,1.5,2,5,5.5
NC_007795.1,27,31,17.25,35.75,1.25,4,5,5,11.25,4,1,3
NC_007795.1,5,28,1,9,0,0,0,0,0,0,0,0
NC_007795.1,20.31097514,29.79956425,14.91973096,20.84856144,2.4375,3.097725885,1.065217391,4.298222611,3.101666667,11.89233045,1.833333333,9.975820013
NC_007795.1,26.17284382,49.51399616,17.64975233,13.55269508,1.229166667,3.402945665,0.02173913,3.80774087,0.700555556,3.32538961,5.722222222,9.231207681
NC_007795.1,186.2857143,375,163,254.5,22.5,18,19,43.5,16,21,14.5,49
NC_007795.1,82.5,103,55,99,12.5,7.5,4,11.5,4,11,4.5,14
NC_007795.1,11.5,32.5,26.5,22.5,1.5,1,1,0.5,1,4,1,6.5
NC_007795.1,46.5,39.83333333,51,69.5,5,7,1.5,17,4,13.5,4.5,15.64285714
NC_007795.1,59.5,76,34,74.5,7.5,9.5,5.5,11.5,9,12,4.5,19.5
NC_007795.1,227.2539683,290,137.5,318.5,27,16,12,27,20,31.5,14,48.5
NC_007795.1,102,106,93.66666667,69.33333333,4,20.5,3,17.16666667,12.5,29.66666667,6,44.5
NC_007795.1,84,111.5,91.5,99,3,6.5,6.5,10.5,9,19,3,28.5
NC_007795.1,83,218,106,126.5,17,10.5,15,10,8,18.5,8,23.5
NC_007795.1,18,65,9,32.33333333,5,1,5,1.5,6,8.5,5.5,11
NC_007795.1,365.5,375.5,295.5,330,23,38,15.5,44.75,23,53,20.16666667,122.5
NC_007795.1,167.5,177.5,168,168,14,12,6.5,11,37,36.5,11.5,41.5
NC_007795.1,77.26785714,139,39.25,90.375,14,17,9,14,25,74.25,9,67.125
NC_007795.1,22,47,6,81,7.166666667,0,2.5,2,2,1,2,5
NC_007795.1,55,207.5,18,149.04,23,3,19,10,3,2,4,4
NC_007795.1,36,131,15,84,10,2,3,3,0,2,2,4
NC_007795.1,71.625,94,59.25,82.375,6,10.16666667,9.333333333,6.333333333,6.5,6.916666667,3,18.79166667
NC_007795.1,28.66666667,203,17.33333333,95,25,3,7,1,4,0.5,3,4
NC_007795.1,18,138,7.5,92.5,11,0,4.5,1,4,0,14,2
NC_007795.1,5,33,1,70.5,11.5,0,3.5,1,0,0,4,1
NC_007795.1,68,403,27,292.5,25,5,21,15,8,6,9,4.5
NC_007795.1,1,22,7,36.5,2,0,0,1,0,1,0.5,3.5
NC_007795.1,30.5,93.5,11,70.5,5.5,2,4.5,3.5,3,1.5,7.5,5
NC_007795.1,22.5,136.5,25.83333333,66,4.5,2,6,5.5,2.5,5.5,6,6
NC_007795.1,13,60,13.5,37.5,2,0,2.5,1,1.5,1,2,6
NC_007795.1,198.5,232,198,416,9.5,24.5,3,21.25,6,16,3,18
NC_007795.1,1345,821,1201,848.5,71,193.5,48.5,193,50,179.5,64,300.5
NC_007795.1,1630,679.5,1375,546,38,191.5,22.5,204,65.5,310.5,48,391
NC_007795.1,33.16666667,117.5,11.1,114,8,4,6,2,6,2,2,4.5
NC_007795.1,55,139,42.5,66,8,2.5,2,2,1,3,4,10
NC_007795.1,399,293,316.375,295.25,72.5,110,59.125,132,49,79,66,193
NC_007795.1,243.1666667,489.1666667,220.6666667,345.8333333,42,26,31.5,44,11,34,22,64
NC_007795.1,21,143,15,121,16,1,11,0,7,7,4,4
NC_007795.1,10,51,6,38,3,4,5,8,8,11,5,13
NC_007795.1,23,75,33.5,46,3,1,4,0.25,5,0,1,0
NC_007795.1,378,360,319,309,21,37,16,55,23,59,17,75
NC_007795.1,23,48,35,50.125,6,3.5,0.5,1,1,4,1,3
NC_007795.1,71,76,72.5,101,5,13,6,13,2,38,3,49
NC_007795.1,23,83,16,47,3,2,2,2,9,10,3,1
NC_007795.1,669,393.5,586,420,41.5,73,21,80,28.5,78,36.5,131.5
NC_007795.1,1647.25,1402.666667,1406.5,1313.666667,127.5,279,88,320.2,128.5,349,138.5,590.7
NC_007795.1,71.16666667,177,57,187,13,8,9,11,7,10,4,21
NC_007795.1,25,98,19.46590909,71,9,5,1,6,17,17,2,8
NC_007795.1,155,74,130,93,16,30,8,37,18,62,17,50
NC_007795.1,28,110,26.5,56,8,1,11,8,3,9,1,15
NC_007795.1,4,6,1,10,0,0,1,0,0,0,0,0
NC_007795.1,64,51,25,55,11,17,2,5,11,22,6,29
NC_007795.1,1112,1044.833333,1041,1220.166667,136,160.1666667,82.66666667,224,110.3333333,166,64.14285714,275
NC_007795.1,71,79,44,66,8,11,5,17.5,18,37.5,9,37
NC_007795.1,55,60,52,34,7,18,6,22.5,16,43.5,9,35
NC_007795.1,49,73,43.5,53,5,5.5,4,7,3.5,11.5,6.5,12.5
NC_007795.1,76,124,62.5,102,5,6.5,10,6,7.5,15.5,7.5,16.5
NC_007795.1,75,419,36,318,47,2,20,14,4,0,14,17
NC_007795.1,4,18,5,11,0,1,2,2,2,5,0,3
NC_007795.1,128,473,87,294.5,42,9,21,12,16,27,17,38.5
NC_007795.1,9,56,6,29,7,0,1.5,1,0,0,0,0.5
NC_007795.1,1019,675.5,807,445,62,174,30,185,55,172,44,251
NC_007795.1,82,90,58,80,11,11,5,13,13,16,5,33
NC_007795.1,131,197,127.3333333,173,24,17,8,35,37,40,21,47.66666667
NC_007795.1,103,384,55.83333333,246,31,22,20,26,6,14,18,29
NC_007795.1,123,212.5,102.6666667,197.5,17,17.47619048,6,9,19,30,14.16666667,45.5
NC_007795.1,252,654.5,170.2,658.1666667,72,18,40,23,28,39,34,54.5
NC_007795.1,13,48,17,42,4,1,1,1,1,3,0,4
NC_007795.1,4,16,3.333333333,15.16666667,1.333333333,0,2,1,0,0,1.166666667,2
NC_007795.1,722,801,616,713,77,99,36,115,67,124,44,167
NC_007795.1,55,119.5,25,86,10,7,3,6,2,5,4,8
NC_007795.1,195,333.5,132.5,176.5,27.83333333,13,11.5,17,27,47,20,53
NC_007795.1,17,41,10,36,1,2,3,3,8,7,2,7
NC_007795.1,25,99,18,80,7,5,3.5,6,2,2,4,2
NC_007795.1,54.5,213,32,116,11,1,13,8.5,2,1,7,9
NC_007795.1,18,41.5,9,13.5,0,1,2,1.5,3.5,3.5,2,4.5
NC_007795.1,24,88,5.5,51,5.5,5.5,3.5,4,3,14.5,4,16
NC_007795.1,16.4,68.5,6.5,61.1,9.5,1.7,4,1,8.5,6,3.2,7.833333333
NC_007795.1,77.5,159,46.5,118,21,20,6,21,8,33,3,45
NC_007795.1,14,72,4,30,2,0,3,2,4,3,6,3
NC_007795.1,68,388,56,244,34.5,17.5,26.5,20,13,23,20,35
NC_007795.1,110.5,416,107.5,338,36,10,14,12,21,19.5,16,32.5
NC_007795.1,31.5,105,9.5,114.8333333,13.5,2,1,4,5,6,6,12.5
NC_007795.1,32.5,60.5,29.5,58,3.5,3,3,6,4,5,4,6
NC_007795.1,39.5,66.5,40.5,43,5.5,3,0,6,3,17,4,9
NC_007795.1,77,151,55.5,84,9,7,10,12,4,13,10.25,26
NC_007795.1,45,97,50,80,6,5,3,4,8,21,7,27
NC_007795.1,89,396,31.66666667,292.625,35,5,23.5,11,4,3.5,8.5,9
NC_007795.1,7,62,18,47.5,7,3,5.5,1,2,1.5,3.5,3
NC_007795.1,16.16666667,34.16666667,15.33333333,27,2,2,2,1,8,13,0.142857143,2
NC_007795.1,10,26.5,6.5,14,4,2.5,0,2.5,0.5,3.5,2.833333333,3.5
NC_007795.1,61.2,62,47.5,80,6,14.5,10,22.5,8.5,24.5,5.5,24.5
NC_007795.1,37.5,169,17,85,12,0,8,3.5,3,9,8,2
NC_007795.1,27,79.6,11,60,10.5,3.5,3,4,4,1.5,3,10
NC_007795.1,43.15384615,180.5,12.69230769,150.0769231,8.5,2.5,10,2,0,2.5,4,5
NC_007795.1,18.5,64.5,10.25,64,10,1,2,6,3,3,4,5
NC_007795.1,44.5,88.5,37,54,8,4,1,8,2,10,2,16
NC_007795.1,10.5,13,19,12,0,0.5,0.5,0,1.5,6,1,2.5
NC_007795.1,32.5,101,24,56,4,3.5,8.5,3,5.5,6,5,10.5
NC_007795.1,823.3333333,780.5,689.1666667,765.75,59,96,36,132,73.16666667,176,58,259
NC_007795.1,385,567,307.8333333,464.1428571,43,45,20,43,29,97.5,23,87
NC_007795.1,76.5,165.3333333,88,123.25,13,10,12,17,10,22.16666667,9,35
NC_007795.1,36,49,34,45,5,18,2,8,6,10,1,23
NC_007795.1,14,54,11,33,7,1,2,1,5,2,3,5
NC_007795.1,58.5,264.5,69,217,24,10,13.16666667,5.5,7,6,13,24
NC_007795.1,99,185.5,107,121.5,16,14,11.11111111,11,5,4,9,22
NC_007795.1,281,405.5,158.6,333,41.5,18.5,26,28,32.5,43,27,58
NC_007795.1,50,65.75,30,57,10.5,6.5,8,9,21.5,26,10,15
NC_007795.1,58.5,131.5,31,75.5,4,2,3,3.25,12,15,6,14
NC_007795.1,0,0.5,0,3,0,0,0,0,0,0,1,2
NC_007795.1,56,193,13,175,27.5,7,9,5,9,6,13.5,7.5
NC_007795.1,17,44,23.5,37,0,1,3,2,2,4,3,2
NC_007795.1,58,166,50.5,94,22,6,5,8.166666667,0,13,4,14
NC_007795.1,58.5,176.5,31.5,134.5,17.5,4.5,7,9,3,4,6.5,4
NC_007795.1,43.5,23.5,37.5,27,0.5,5.5,0,1,0,1,1.5,1
NC_007795.1,64,87.1,56,66,5,9,3,6,6,21,6,35
NC_007795.1,39.5,106,41.5,75,14,5,2,3,6,11,6,17
NC_007795.1,303.5,344,236,176,25,63,17,88,29,75,21,91
NC_007795.1,17.6,10.8,5.9,15.8,4,4.5,4,5,15,15,2,18
NC_007795.1,108,359,52.83333333,261,20,9,20,10,12,18,16,21
NC_007795.1,2,5,15,12,1,0,2,0,0,4,0,1
NC_007795.1,392,301,416,357,39,82,19,115,34,89,28,132
NC_007795.1,27,31,41,48,7,3,2,7,4,12,2,15
NC_007795.1,80,436.5,62.5,279.5,28,11,23,9,5,7,16,13
NC_007795.1,2,20.33333333,2,9,1,0,3,1,0,3,0,0
NC_007795.1,187,188,153,178,16,34,20,38.5,23,40,10,64
NC_007795.1,272.5,224.5,230,241.5,15,36,15,47.14285714,29.5,53,27.5,86
NC_007795.1,65,172,60.5,109.5,17.5,14.5,9.5,18,10,22,5.5,27.5
NC_007795.1,207,349,155.5,289.5,33.5,31.5,19.5,30,19.5,55,25.5,53.5
NC_007795.1,10.5,48,5.4,39.5,2.2,0,2.2,1.5,0.2,0,1.566666667,1.2
NC_007795.1,81.36666667,310.5,59.06666667,241.3333333,22.25,7,19,8,9,10.25,7.5,11
NC_007795.1,133,656,107.1666667,520,56,10.16666667,37,26,9,11,29,22
NC_007795.1,111.5,360,68.14285714,234.5,33,19.5,17.5,15.5,12.5,11,12,21
NC_007795.1,17,76,14,85,8,2.5,4,3.5,3.5,0,0,2
NC_007795.1,134.5,733.5,90,463,58,8,22.16666667,11,15,8,24,23
NC_007795.1,54,87.5,30,69,1,5,7,5,6,6,6,9
NC_007795.1,42,102,15,79,8,3,7,7,5,10,5,9
NC_007795.1,59.5,393,45,271.5,17,15,19,7,9,9,18,9
NC_007795.1,9,34.5,18,27,4,2,6,0.5,2,2,1,2
NC_007795.1,11,35,7,12,5.5,3,7,3,3,7,3,2
NC_007795.1,19.33333333,104,8.533333333,95.64285714,10,1,4,6,1,3,1,4.333333333
NC_007795.1,43.5,54.5,37.5,50.5,10.5,4.5,5,14,2,3,5,10
NC_007795.1,70.5,112.5,75.5,130.5,7.5,8.5,3,14,4,11,7,8
NC_007795.1,7,30.5,3,35.5,2,0,0.333333333,0,2,0,2.5,0
NC_007795.1,10,10,10,10.5,3,0,0,2,2,2,0.5,3
NC_007795.1,19,79.5,5,73,6,1,5,4,5,3,0,9
NC_007795.1,68,155,44.75,138,19,8,9,12,14,17,4,20
NC_007795.1,65,119.5,71.5,84.25,12,8,5,12,6,18,11,17
NC_007795.1,84.5,243.5,64,187,9.5,5,9,10,5.5,20,7.5,23.5
NC_007795.1,67.5,118,52.5,104.5,5,5,7,11,4.5,8,3.5,12.5
NC_007795.1,78.5,515.5,46,319,24,14,26,25,9.5,10,24,13
NC_007795.1,262.5,98.5,184,115.5,34,68,19,102,28,56,22,88
NC_007795.1,36,69,62,66,6,10,4,12,5,13,5,18
NC_007795.1,131.125,143,86,84,8,6,5,19,15,19,6,28
NC_007795.1,126,217.8571429,152,151.7,18,13,12,18,14,17,7,26
NC_007795.1,3,13,1,9,0,0,0,1,0,2,0,2
NC_007795.1,88,93,137,102,3,0,0,1,5,17,11,14
NC_007795.1,693,439.3333333,765.6666667,441,3,1,1,2,10,47,26.33333333,70
NC_007795.1,385.75,266.5,360.5,298.5,8,1.5,3.5,4,7,18,6.5,45
NC_007795.1,399.5,288.5,431.5,306.5,6,0.5,1.5,5.090909091,16,31,8.5,47
NC_007795.1,26.5,35,12,36.5,5,3.5,3,1,1,1,1.5,3
NC_007795.1,21,104.75,7,69,8.5,2.5,4.166666667,4.5,2.25,2,5,3
NC_007795.1,51.5,236,25.5,181,27.5,2,19.5,6,2.5,1,5,4
NC_007795.1,40,207.5,12.5,99.5,8.5,4,3,3.5,6.5,1,5,1
NC_007795.1,60.7,260.5,27.5,172,19,1,16.5,5,6,2,8,9
NC_007795.1,10,143.5,5,81,10,0.5,11,5,1,0,1,2
NC_007795.1,2,16.5,3,8,0,0.5,1,0,0,0,0,0
NC_007795.1,9,9.5,4.5,10.5,1,3.333333333,2,1,3.5,7,2.5,4.5
NC_007795.1,25.73333333,98.25,22.33333333,90.76190476,13,1.5,10,6,5,2,3,11.5
NC_007795.1,75.5,254,30,160.3333333,21.14285714,4.5,14,3,2,8.5,10,11
NC_007795.1,59.5,329.5,73,448.5,58,14,28.5,10.5,51,10.5,44.83333333,9
NC_007795.1,718.5,1626.5,658,2483,241,107,117.5,121.5,190.5,148,158,163
NC_007795.1,16,20,5,20,2,1,2,2,1,5,1,8
NC_007795.1,266,569.3333333,301.5,1115.75,64.5,17,27,21,86,50,49,36
NC_007795.1,133,116,166.5,97.5,22.5,69,19,74,26,34,13,60
NC_007795.1,105.5,361.5,82,258.5,18,13,21,16,12,21,17,26
NC_007795.1,16,61,1,89,6,1,3,5,0,3,4,4
NC_007795.1,425,346.5,238,244,21,44,14,38,10,42,16,89
NC_007795.1,34,137,28,75,6,2.25,6,1,11,3,4,3
NC_007795.1,95,293,60.16666667,198,14,5,21,9,11,19,12.5,28
NC_007795.1,67.5,261,60.75,195.25,18,8.583333333,17.25,12.5,5.25,7,10,17.5
NC_007795.1,0,5.5,0.5,0,0,0,0,0,0,0,0,0
NC_007795.1,134.3333333,521.5,83.33333333,383.8333333,39,11,30,18.16666667,23.25,23,18,13.5
NC_007795.1,0,0.5,0,2,0,0,0,0,0,0,0,0
NC_007795.1,95.33333333,127.5,85,86,11,11.5,3,15.5,10.5,15.5,1,16
NC_007795.1,26,126,14,104.5,7,5,12,6,0,4,11,5
NC_007795.1,112,304,122,217.125,22,3.125,14,12,5,10,13,26
NC_007795.1,236,977.75,130,574.54,63,30,45,24,20,13,37,44
NC_007795.1,67,441,54.5,257,42,5,16.5,14,16,3.5,11,22
NC_007795.1,33,162.5,20.5,127.5,17,2,15.5,4,2.5,5.5,5.5,6
NC_007795.1,59.6,232,30.1,116.7,16,5,8.6,8.1,4.5,5,5,15
NC_007795.1,43,232,27,153.5,21.5,11,11.5,8.166666667,8,6,5.5,11
NC_007795.1,18,92.5,13,72,3,3,4.5,6,2,2,1,3
NC_007795.1,12,66.5,7.5,43,5,1.5,1.5,2,1,1,2,0.5
NC_007795.1,12,39,20.5,45.33333333,1.25,2.5,3,2,3,3,1,2.5
NC_007795.1,79,342,23.5,272.3333333,29,4.5,14,8,9,0.5,8,15
NC_007795.1,588.5,411,569,437,35,94,22,93,34,97,27,102
NC_007795.1,69.61111111,335,28.5,235.2222222,19,3,14,8,1,3,10.5,3
NC_007795.1,171,185.5,110,148.5,17,8,6,23.5,12,29,7,34.5
NC_007795.1,114,414.5,65,306.5,26,11,27,24.5,16,19,16,34.5
NC_007795.1,185.1428571,436,104.8571429,317,29,24,18,15,12,29.14285714,13.14285714,18
NC_007795.1,276.5,141.5,291,187.5,25.5,53.5,10,70,16.5,29,12,67.5
NC_007795.1,62.5,78.5,65,63.5,6.5,22.5,6,13,20.5,20,4,26.5
NC_007795.1,107,107,41,93,19,13,9,24,31,56,12,58
NC_007795.1,265.1538462,654,189.6923077,410.0769231,67.5,20,28,32,13,24,34,57
NC_007795.1,33,142,26,74,7,6,5,3,2,3,8,4
NC_007795.1,148.5,629,62,441.5,36,12,32,15,11,7.5,20,13
NC_007795.1,34.5,192,30.66666667,108.1666667,11,3,9,0,2,0.5,5.666666667,2.166666667
NC_007795.1,40,173.5,16.5,119.5,14,2,6,2,5,2,5,8
NC_007795.1,87.5,443,44,270.5,24.4,3,20.2,12.5,5,4,14.5,7
NC_007795.1,30,188.5,35,173.5,16,4,8,8.5,2,3,3,8
NC_007795.1,24,104.5,32,117.5,6,3,7,2,8,3,2,5
NC_007795.1,7,139.75,8.375,68,7.75,3,9,1,4.375,2.125,3.5,3.25
NC_007795.1,15,134,12.08333333,112,8,9,4,2.5,0,5,5,6
NC_007795.1,35,187,24,149,16.5,3,14,4,4,3,4,4
NC_007795.1,20,39,15,42,6,1,4,3.5,1,14,8,21
NC_007795.1,69.83333333,364,79,271.5,18,8.5,20,10.45833333,7,16.33333333,12,8
NC_007795.1,104.5333333,441.3,68.16666667,368.0666667,41.71666667,10,34.38333333,23.66666667,11.68333333,17.2,23.31666667,26.53333333
NC_007795.1,12,23,15,25.16666667,4,5,4,4,3,4,2,4
NC_007795.1,31,19,18.5,47.25,5,3,1,6,4,7,2,10
NC_007795.1,5.5,20,10.5,30.5,1,2,0,0,0,5,0.5,3
NC_007795.1,74.5,52,50,45.5,6,11,1,8,7,32,7.5,24
NC_007795.1,91,206,89,208,12,13,7,5,9,10,9,14
