Synonym,USA300(EX)BHI,USA300(ST)BHI,T032(EX)BHI,T032(ST)BHI,USA300(EX)SNM,T032(EX)SNM,in vivo
SA2981_1342,62,29,7,23,13,28,0
SA2981_0138,16,46,16,20,79,110,0
SA2981_1345,104,152,145,170,268,595,1
SA2981_1346,678,430,957,344,687,2992,2
SA2981_1347,25,95,14,216,297,500,0
SA2981_1348,60,139,16,106,538,507,0
SA2981_1349,2,77,3,75,234,297,0
SA2981_1350,20,66,2,61,174,258,0
SA2981_1351,42,112,17,62,216,360,0
SA2981_1352,14,33,11,55,195,197,0
SA2981_1353,2,22,8,32,130,170,0
SA2981_0139,40,43,10,34,48,75,1
SA2981_1354,56,58,43,138,368,942,0
SA2981_1355,10,7,13,53,32,52,0
SA2981_1356,90,231,187,287,222,287,0
SA2981_1359,62,132,46,244,507,813,0
SA2981_1360,70,133,120,329,626,933,0
SA2981_1361,158,82,253,77,179,634,0
SA2981_1362,77,72,76,93,262,501,2
SA2981_1363,25,33,29,61,105,188,0
SA2981_0140,129,251,85,213,206,398,0
SA2981_1364,14,61,16,61,44,101,0
SA2981_1365,98,377,109,446,410,682,0
SA2981_1366,142,424,110,212,527,921,2
SA2981_1367,112,530,103,258,858,1505,3
SA2981_1368,75,212,174,279,597,1063,0
SA2981_1369,36,132,31,162,257,306,0
SA2981_1371,145,143,148,135,389,737,0
SA2981_1372,138,311,171,161,347,804,1
SA2981_0141,12,10,2,10,12,17,0
SA2981_1374,80,166,74,209,336,472,0
SA2981_1376,214,439,239,461,537,976,1
SA2981_1379,60,173,72,111,151,459,0
SA2981_1380,43,118,39,88,76,287,0
SA2981_1381,53,140,63,140,138,470,1
SA2981_1382,52,39,52,82,142,235,0
SA2981_1383,94,139,95,159,449,561,0
SA2981_1384,13,83,28,56,131,145,0
SA2981_1386,85,43,104,40,116,286,1
SA2981_1388,9,7,5,8,4,15,0
SA2981_1392,4,291,0,253,25,43,0
SA2981_1393,6,110,2,108,4,0,0
SA2981_0143,60,42,28,19,29,37,0
SA2981_1394,13,127,2,108,18,10,0
SA2981_1395,73,85,58,63,159,461,0
SA2981_1396,120,312,194,471,627,1640,1
SA2981_1398,30,6,12,7,12,73,0
SA2981_1399,190,115,107,45,122,347,0
SA2981_1401,172,429,200,349,1101,1316,1
SA2981_1402,83,321,117,360,704,680,0
SA2981_1403,25,58,21,68,127,151,0
SA2981_0015,0,0,0,0,0,0,2
SA2981_1405,292,266,275,162,609,1175,0
SA2981_1406,1301,1108,962,1069,2272,4322,3
SA2981_1407,9,15,52,34,60,111,0
SA2981_1408,59,68,84,71,180,234,1
SA2981_1409,37,65,49,44,183,235,0
SA2981_1410,324,401,293,407,492,1070,2
SA2981_1411,130,214,198,207,252,977,0
SA2981_1412,48,79,82,79,163,361,0
SA2981_1413,84,95,96,82,188,634,0
SA2981_0145,3,2,1,1,15,13,0
SA2981_1414,69,61,36,52,122,382,0
SA2981_1415,1,14,9,14,12,61,0
SA2981_1416,2400,2083,2265,1910,6539,7982,1
SA2981_1417,45,32,28,31,99,195,0
SA2981_1418,22,39,38,26,119,205,0
SA2981_1419,100,136,108,142,300,636,2
SA2981_1420,100,166,169,293,283,1209,1
SA2981_1421,65,78,50,131,336,429,0
SA2981_1422,92,200,95,237,431,579,1
SA2981_0146,16,47,29,62,54,109,0
SA2981_1425,182,179,231,119,168,767,0
SA2981_1426,163,137,186,183,312,1137,0
SA2981_1427,173,234,131,124,375,692,0
SA2981_1428,203,426,240,432,686,1142,0
SA2981_1429,135,201,118,260,83,183,1
SA2981_1430,219,257,228,246,429,1003,0
SA2981_1432,8,5,6,3,4,4,0
SA2981_1434,274,310,223,309,266,578,0
SA2981_1435,108,145,79,59,196,355,0
SA2981_1436,194,195,285,112,276,684,1
SA2981_1437,56,316,70,313,203,405,0
SA2981_1438,41,84,15,87,151,269,0
SA2981_1439,75,105,98,61,330,357,0
SA2981_1440,62,26,75,20,298,354,0
SA2981_1441,125,130,164,68,267,574,0
SA2981_1448,120,331,85,515,184,549,0
SA2981_1450,2,0,2,0,0,0,1
SA2981_1452,49,61,58,73,172,349,0
SA2981_1453,22,65,33,86,118,176,0
SA2981_0149,968,1034,209,705,404,319,1
SA2981_1454,140,108,92,208,148,378,0
SA2981_1455,130,98,81,249,221,533,2
SA2981_1456,31,85,40,124,134,197,0
SA2981_1457,132,315,124,282,766,683,0
SA2981_1459,50,112,61,209,228,287,0
SA2981_1460,31,50,31,125,169,362,0
SA2981_1461,69,127,120,139,205,425,0
SA2981_1462,520,917,583,1446,1574,2962,2
SA2981_1463,226,250,285,270,581,957,0
SA2981_1464,190,123,62,101,62,176,0
SA2981_1465,2,36,8,27,15,92,0
SA2981_1466,41,57,55,116,184,241,0
SA2981_1468,977,1927,1117,1533,2282,4401,2
SA2981_1469,38,119,26,251,156,177,0
SA2981_1471,154,382,159,402,348,705,0
SA2981_1472,66,272,62,217,200,310,1
SA2981_0151,8,3,22,71,57,609,0
SA2981_1474,323,441,342,265,273,1382,0
SA2981_1475,146,253,141,142,121,604,0
SA2981_1476,78,134,76,76,41,203,1
SA2981_1477,145,236,192,198,226,740,0
SA2981_1478,175,415,190,463,351,959,1
SA2981_1479,38,152,52,177,146,299,0
SA2981_1480,252,269,288,189,301,939,0
SA2981_1482,280,229,206,223,296,745,0
SA2981_1483,83,166,144,234,318,583,0
SA2981_0152,2,1,4,36,14,185,0
SA2981_1484,71,115,76,137,203,346,0
SA2981_1485,625,550,494,476,600,1571,0
SA2981_1486,337,365,312,160,324,790,0
SA2981_1487,805,729,744,709,1121,1901,0
SA2981_1488,97,260,137,182,471,682,0
SA2981_1489,95,133,79,272,191,411,0
SA2981_1490,5,7,9,16,14,37,0
SA2981_1491,43,59,106,84,170,350,1
SA2981_1492,149,252,144,228,233,289,0
SA2981_1493,170,300,168,323,519,2124,0
SA2981_1494,128,127,81,166,323,1200,1
SA2981_1495,109,253,138,285,573,1829,0
SA2981_1496,18,69,18,98,173,168,0
SA2981_1497,1,1,0,0,5,1,0
SA2981_1499,0,0,1,1,3,11,0
SA2981_1500,4,1,1,2,6,2,0
SA2981_1502,11,9,6,13,25,27,0
SA2981_1503,39,55,63,83,162,463,0
SA2981_0016,461,513,295,319,537,743,1
