,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_0280,2152,2251,2460,512,592,748
SAUSA300_0281,474,500,513,138,127,217
SAUSA300_0282,4736,4838,5132,1156,1324,1771
SAUSA300_0283,18269,19321,19944,5064,5791,7488
SAUSA300_0284,1412,1542,1455,421,553,575
SAUSA300_0285,1424,1644,1524,406,479,585
SAUSA300_0286,2562,2947,2808,955,1164,1190
SAUSA300_0287,1137,1247,1245,384,485,565
SAUSA300_0288,16939,19567,17326,8988,11831,12804
SAUSA300_0289,20508,23144,21660,13423,15908,18379
SAUSA300_0290,468,536,504,369,422,498
SAUSA300_0291,803,889,830,604,685,893
SAUSA300_0292,1823,1894,1798,814,815,1309
SAUSA300_0293,683,690,609,396,465,536
SAUSA300_0294,672,797,717,414,593,588
SAUSA300_0295,787,755,689,498,512,679
SAUSA300_0296,1098,1125,1117,758,981,1110
SAUSA300_0297,920,979,988,617,741,981
SAUSA300_0298,843,786,674,655,1034,1179
SAUSA300_0299,715,934,686,851,1095,1090
SAUSA300_0300,688,937,760,856,944,1110
SAUSA300_0301,1215,1429,1280,1229,1643,1801
SAUSA300_0302,1196,1333,1082,998,1339,1538
SAUSA300_0303,2508,2790,2678,1851,2199,3209
SAUSA300_0304,9108,10093,10015,5949,7655,11491
SAUSA300_0305,68977,68977,64106,43282,53089,66461
brnQ_2,17555,19347,16993,10765,13305,16785
SAUSA300_0307,14740,12358,11651,11354,12619,15779
SAUSA300_0308,24787,28511,26630,13157,17481,25867
SAUSA300_0309,14558,17406,15865,7146,9960,14214
pfoR,12435,13113,11286,19071,24446,27252
SAUSA300_0311,112,114,113,67,95,138
SAUSA300_0312,131,171,148,80,130,162
SAUSA300_0313,309,312,334,226,229,366
SAUSA300_0314,348,366,305,221,267,325
nanA,211,258,252,139,205,326
SAUSA300_0316,228,266,264,205,261,292
SAUSA300_0317,3690,3226,3239,2570,3113,4627
SAUSA300_0318,744,799,816,766,811,1138
SAUSA300_0319,214,191,184,78,100,134
SAUSA300_0320,265316,188231,192372,43056,57923,94668
SAUSA300_0321,4947,4226,4254,3155,3527,4836
SAUSA300_0322,3061,2892,2550,1909,2273,3007
SAUSA300_0323,0,0,0,0,0,0
SAUSA300_0324,1254,1522,1325,894,1088,1235
SAUSA300_0325,642,646,592,498,647,606
SAUSA300_0326,982,1106,868,824,990,1090
SAUSA300_0327,1216,1312,1177,939,1223,1247
SAUSA300_0328,1213,1553,1295,1075,1374,1540
SAUSA300_0329,18435,22897,20229,5989,8223,11592
ulaA,2314,1826,1789,1033,1244,1748
SAUSA300_0331,259,185,160,102,164,216
SAUSA300_0332,218,242,229,140,139,236
SAUSA300_0333,1087,1139,1149,784,923,1272
SAUSA300_0334,746,802,715,577,692,936
SAUSA300_0335,1678,1712,1584,1292,1434,1854
SAUSA300_0336,987,849,818,676,816,1006
glpT,1816,1971,1858,1544,1632,2162
SAUSA300_0338,3509,3487,3042,1162,1582,2349
SAUSA300_0339,4456,4807,4470,1623,2116,2871
SAUSA300_0340,1878,2042,1757,683,845,1328
SAUSA300_0341,4703,4324,4308,5362,6022,8441
SAUSA300_0342,97,114,115,153,119,213
SAUSA300_0343,2062,1732,1555,1726,1942,2575
SAUSA300_0344,352,350,313,751,913,950
SAUSA300_0345,595,584,485,1603,1986,1824
SAUSA300_0346,908,863,798,2748,3243,3229
tatC,7449,7173,6663,6971,8392,10977
SAUSA300_0348,4062,3656,3642,3847,4635,5999
SAUSA300_0349,9181,8378,8093,6061,7146,10056
SAUSA300_0350,567,625,522,528,612,716
SAUSA300_0351,2071,2603,2379,1947,2512,3070
SAUSA300_0352,3902,4523,4186,3580,4211,4996
SAUSA300_0353,6796,6909,6462,4572,5804,7723
ltrA,7185,6859,6540,5164,6211,8324
SAUSA300_0355,7722,10130,9035,5034,6264,7564
SAUSA300_0356,3859,3379,3327,2113,2524,3700
metE,9197,6880,7240,4866,5437,7814
SAUSA300_0358,4362,3258,3574,2429,2804,3732
SAUSA300_0359,886,771,880,602,769,1093
SAUSA300_0360,572,615,574,434,562,764
SAUSA300_0361,2988,2915,2642,2157,2725,3237
SAUSA300_0362,3549,3940,3369,3009,3694,4203
SAUSA300_0363,1782,1937,1747,1473,1789,1869
ychF,12599,15223,13000,10830,13642,14688
SAUSA300_0365,637,616,591,492,566,738
rpsF,32007,46692,38558,34384,41927,46655
ssb,50222,75909,61416,56103,70451,75666
rpsR,10180,16048,13048,10859,13265,16675
SAUSA300_0369,836,738,693,555,631,899
SAUSA300_0370,4166,2977,3137,763,957,1399
SAUSA300_0371,120,131,103,79,54,82
SAUSA300_0372,222458,229433,233956,65799,89864,148120
SAUSA300_0373,8615,6793,6436,6155,6763,10420
SAUSA300_0374,143451,171483,144313,60736,77831,126771
SAUSA300_0375,2891,3002,2926,2312,2796,3721
SAUSA300_0376,2618,2031,1994,1651,1899,2470
SAUSA300_0377,12011,11096,11180,6987,8508,11755
