,1_LAC1_CGATGT_L007_R1_001 (paired) (GE) - Total counts,2_LAC2_ACAGTG_L007_R1_001 (paired) (GE) - Total counts,3_LAC3_GCCAAT_L007_R1_001 (paired) (GE) - Total counts,4_mgrA1_CAGATC_L007_R1_001 (paired) (GE) - Total counts,5_mgrA2_CTTGTA_L007_R1_001 (paired) (GE) - Total counts,6_mgrA3_GTGAAA_L007_R1_001 (paired) (GE) - Total counts
SAUSA300_1141,809,787,617,46062,52279,76276
dprA,463,339,297,3720,4366,5611
topA,36473,38844,34870,33482,40120,51028
gid,21874,22860,21089,20140,23491,31132
xerC,16724,16852,14718,11486,13851,17794
hslV,7988,8845,7837,5915,7568,9108
hslU,34430,37366,33376,27573,32080,41606
codY,25945,27835,25964,19650,23476,32554
rpsB,49431,69454,63087,60150,69404,81171
tsf,99259,111250,100133,84427,98738,124157
pyrH,13886,14386,12425,14603,17737,20829
frr,24266,25058,22422,22348,28098,34209
uppS,6275,6090,5639,5928,6448,7414
cdsA,5279,5604,4969,5364,5944,6657
SAUSA300_1155,15332,15933,14770,13597,15508,19224
proS,29856,31864,29764,26377,30795,40185
polC,42466,40109,37830,29587,35404,48728
SAUSA300_1158,6578,6623,6232,5373,6214,8074
nusA,14619,16092,14478,12361,15069,19209
SAUSA300_1160,3011,3183,3119,2946,3213,4007
SAUSA300_1161,4358,4650,4253,4296,4947,6189
infB,42775,45387,41788,37014,44920,58639
rbfA,6105,6270,5690,4422,5108,7324
truB,7490,7368,7019,3269,4249,5874
ribF,13517,13134,12229,7055,8426,11403
rpsO,35685,41804,38537,29829,35227,48087
pnpA,85933,83335,76783,61227,74031,94965
SAUSA300_1168,74505,72569,66028,47282,56741,71750
ftsK,34914,35726,32767,24621,28866,38415
SAUSA300_1170,6281,5979,5713,4365,5105,7302
SAUSA300_1171,6440,6124,5449,6054,6541,8561
SAUSA300_1172,9387,9558,8303,8647,10213,13128
SAUSA300_1173,4660,4786,4496,4522,5103,6830
SAUSA300_1174,13256,12908,12336,10325,11952,16092
SAUSA300_1175,5944,5776,5821,4658,5172,6762
pgsA,13667,13225,13004,8570,10427,15052
cinA,4122,4121,3773,3014,3542,4672
recA,65118,56830,53694,38861,47391,68232
SAUSA300_1179,92368,89751,81688,69673,82277,107743
SAUSA300_1180,5847,4117,4168,4130,4228,7903
SAUSA300_1181,7801,7399,6674,5827,6813,8885
SAUSA300_1182,11537,11168,11128,11755,13534,18117
SAUSA300_1183,8698,8358,8067,7697,9010,12147
SAUSA300_1184,1095,1039,1110,908,997,1513
miaB,23894,22333,20907,18844,21697,27904
SAUSA300_1186,8457,7555,7085,6210,7380,10048
SAUSA300_1187,6439,6134,5924,4697,5637,7870
mutS,13402,13587,12099,6837,8409,11078
mutL,12145,12218,12080,6640,7844,10666
glpP,3609,3416,3523,1827,2121,3069
glpF,1491,1706,1748,899,1047,1537
glpK,1654,2356,2059,1984,2494,2761
glpD,3250,3634,2985,3509,4484,5554
SAUSA300_1194,2449,2206,2089,1986,2245,3100
miaA,4226,3830,3875,7181,8625,12812
hfq,1353,1304,1085,2840,3126,4838
SAUSA300_1197,10231,10150,9938,6572,7728,11713
SAUSA300_1198,1936,2347,2039,2408,2820,3304
SAUSA300_1199,2846,3145,2862,3362,3821,4628
glnR,10600,12267,12916,8332,9270,11713
glnA,60965,73570,72735,44242,53041,66961
SAUSA300_1202,35,28,28,198,211,304
SAUSA300_1203,225,241,211,373,445,591
SAUSA300_1204,149,145,137,234,239,340
SAUSA300_1205,2,2,0,6,2,2
SAUSA300_1206,88,74,73,70,76,99
SAUSA300_1207,104,110,108,83,113,123
SAUSA300_1208,345,259,192,234,275,323
SAUSA300_1209,185,155,113,115,109,150
SAUSA300_1210,1200,1081,1082,1212,1293,1812
SAUSA300_1211,1120,974,1047,1014,995,1537
SAUSA300_1212,781,706,787,803,817,1089
SAUSA300_1213,106,119,138,140,161,169
SAUSA300_1214,2025,1435,1472,5306,6472,9751
SAUSA300_1215,399,355,376,449,458,571
SAUSA300_1216,20860,17701,17556,14800,17821,24107
SAUSA300_1217,140,165,182,83,86,149
SAUSA300_1218,292,256,277,183,214,289
SAUSA300_1219,2064,1862,1760,1218,1595,2309
SAUSA300_1220,1998,1813,1818,1224,1516,2154
SAUSA300_1221,553,569,595,363,432,675
nuc_2,501,610,531,488,512,718
SAUSA300_1223,20953,19088,18896,15201,17724,26918
SAUSA300_1224,1690,1601,1602,1355,1581,2302
SAUSA300_1225,1011,786,706,959,1060,1561
SAUSA300_1226,6988,5736,5302,6757,8254,10823
thrC,6100,5141,5084,5310,6269,8447
thrB,6604,5190,5042,5737,6364,9038
SAUSA300_1229,20564,19855,18987,14640,17489,25422
SAUSA300_1230,5796,5810,5851,3803,4456,6960
SAUSA300_1231,27305,23058,22236,25302,29444,40458
SAUSA300_1232,57415,57656,53665,48393,57358,90462
rpmG_1,7831,7616,7411,4806,6217,10425
rpsN_1,956,1016,993,646,683,1146
guaC,545,761,645,419,594,525
SAUSA300_1236,3337,3201,3124,2279,2592,3577
lexA,27757,26646,26645,14572,18606,26643
SAUSA300_1238,6230,5173,4909,5051,5085,7163
tkt,191658,197820,187106,112606,133311,191951
SAUSA300_1240,15801,16415,15596,13378,15526,20442
SAUSA300_1241,2287,2405,2188,1528,1653,2415
sbcD,1028,1207,1119,987,1141,1422
sbcC,4746,5057,4904,4786,5550,6886
mscL,115435,104274,100084,96691,113524,168838
opuD,12865,18722,16213,22776,25690,30886
acnA,45083,43952,45257,27174,33870,46275
SAUSA300_1247,6800,6150,6059,4443,4928,7003
SAUSA300_1248,6962,6702,6139,5119,5918,8384
SAUSA300_1249,15556,14745,14034,10438,12247,17949
parE,13153,14356,13157,12680,14640,18910
parC,17961,19730,19020,17886,20509,27964
SAUSA300_1252,15918,19177,17138,16295,19112,24023
glcT,5841,5179,5084,4060,4896,6710
SAUSA300_1254,39101,35352,33123,26014,31835,46089
fmtC,46074,43693,40533,31903,37758,51904
msrA_1,9206,7412,7051,5959,6837,10296
msrR,9576,9665,9015,6126,7508,10372
SAUSA300_1258,5901,5895,5618,3228,4188,6466
SAUSA300_1259,853,728,761,701,806,1082
SAUSA300_1260,5625,4927,4864,3170,3965,5890
SAUSA300_1261,8887,8413,8368,5669,7013,9815
trpE,401,348,308,353,406,525
trpG,185,173,155,184,208,257
trpD,462,413,357,342,420,575
trpC,147,143,117,106,128,147
trpF,107,148,124,101,120,153
trpB,267,288,304,183,233,318
trpA,464,465,471,347,402,560
femA,41928,42771,39815,25896,30067,43113
femB,41198,44444,40258,30157,35270,49283
SAUSA300_1271,2784,2168,2131,1797,2087,3257
SAUSA300_1272,4359,3849,3398,2404,2881,4164
opp-2F,2312,2239,2181,1153,1479,2141
SAUSA300_1274,1805,1758,1723,1061,1324,1852
SAUSA300_1275,1435,1378,1338,828,1020,1540
opp-2B,1589,1562,1466,887,1105,1661
SAUSA300_1277,905,772,774,544,717,1040
pepF_2,17819,15049,13729,12775,15353,22142
phoU,278,254,241,205,231,333
pstB,315,321,241,244,247,322
pstA,253,233,248,184,208,314
pstC,162,195,142,141,255,294
pstS,180,174,142,215,342,387
SAUSA300_1284,33069,29421,27467,17449,21403,30133
SAUSA300_1285,18513,21094,19139,18728,21262,26137
SAUSA300_1286,5393,4051,3940,3288,3868,5874
asd,8838,7166,7080,5294,6515,9498
dapA,8818,7035,7112,5157,6317,8852
dapB,6037,5118,4827,3471,4105,6101
dapD,5470,4844,4742,2992,3635,5295
SAUSA300_1291,3192,2423,2309,2071,2258,3365
alr2,2601,2174,2084,1826,2101,2938
lysA,9382,7975,7897,6524,7523,11142
SAUSA300_1294,27,20,30,93,134,195
SAUSA300_1295,242883,247532,223853,152007,183071,261660
SAUSA300_1296,5490,4352,4186,3169,3572,5382
SAUSA300_1297,5386,4627,4354,2912,3933,5020
SAUSA300_1298,13672,11792,11232,8289,9627,12765
SAUSA300_1299,25193,21614,21080,14171,17661,25039
brnQ_3,4810,5074,4786,4320,4874,6224
SAUSA300_1301,13178,12694,11991,9562,11340,14737
SAUSA300_1302,7461,7016,6985,4929,6453,8223
SAUSA300_1303,4950,5056,5373,2244,2602,3921
SAUSA300_1304,24672,24564,24007,10636,13281,19098
sucB,9644,9550,9939,6977,8269,10663
sucA,20512,20517,21621,12104,14671,21565
arlS,26783,23361,21865,10613,12743,18967
arlR,16506,13997,13013,5437,6745,11145
SAUSA300_1309,960,1153,992,612,803,1069
SAUSA300_1310,7435,8888,8108,4510,5510,7279
murG,16190,20520,19836,9992,12046,15777
SAUSA300_1312,4628,6292,5894,2758,3353,4223
ctpA,20104,17286,16851,15966,18520,25311
SAUSA300_1314,9472,11315,10541,4314,5423,8149
crr,21496,22966,22359,10021,12552,17657
msrB,14940,15781,15851,7705,9027,11744
msrA_2,29079,28626,29058,13807,17588,23829
SAUSA300_1318,14229,14837,14624,8817,9869,13176
folA,17160,17483,16939,9280,11359,15319
thyA,15432,16012,15215,7291,9065,12768
SAUSA300_1321,3342,3584,3353,2785,3456,4449
SAUSA300_1322,11378,11266,10375,8856,10390,13469
SAUSA300_1323,2786,2860,2538,2065,2382,3185
SAUSA300_1324,981,988,893,1225,1338,1880
SAUSA300_1325,69,78,90,142,112,189
SAUSA300_1326,492,349,343,245,340,424
SAUSA300_1327,14181,13096,13079,394518,538462,702993
SAUSA300_1328,7542,6388,6536,1252,1545,2374
SAUSA300_1329,18326,15320,16532,2510,3351,5096
ilvA_1,17907,14819,16384,2532,3122,4720
ald_1,18344,15803,17048,2655,3478,5282
SAUSA300_1332,12280,11840,12085,7848,9562,12813
SAUSA300_1333,30639,28094,27475,22048,26376,34718
SAUSA300_1334,2014,2806,2439,2373,2900,3772
SAUSA300_1335,915,1127,1051,907,951,1209
SAUSA300_1336,2200,2666,2307,2035,2433,2887
SAUSA300_1337,20388,21116,19596,15391,17709,25517
SAUSA300_1338,27051,26891,24610,16288,20235,28458
SAUSA300_1339,13762,12824,12177,9237,11123,14871
recU,8986,10302,9501,11562,13021,17464
pbp2,86425,86298,81172,85650,98420,135370
SAUSA300_1342,1779,1759,1739,1236,1435,1902
nth,4083,4458,3858,2716,3061,4375
SAUSA300_1344,3701,4008,3467,2196,2818,3760
asnC,57314,57927,54177,41431,48168,65077
SAUSA300_1346,15311,16014,15669,12246,13843,18294
birA,5065,4954,4808,3870,4806,6178
SAUSA300_1348,5256,5408,4867,4279,5336,6575
SAUSA300_1349,5493,5936,5433,4090,5195,6138
SAUSA300_1350,1790,1913,1768,1089,1448,1923
SAUSA300_1351,123293,122741,113983,75483,88162,123585
SAUSA300_1352,2969,3131,2931,2458,3054,3752
SAUSA300_1353,3559,3519,3547,2933,3376,4712
SAUSA300_1354,13708,13849,14097,10831,12718,16657
aroA,13334,12841,12694,11294,13557,17419
aroB,5800,5396,5222,6095,6907,8668
aroC,6269,5758,5490,6515,7797,10033
ndk,2286,2434,2384,1805,2084,3022
SAUSA300_1359,15395,14963,12621,12489,14294,17430
ubiE,9668,9861,8130,7876,9114,11059
SAUSA300_1361,5706,5215,4689,4421,4758,6185
hup,550583,500842,477119,306102,346767,550851
gpsA,23529,24010,22426,16613,19217,26038
engA,40162,39871,37058,25918,31785,43590
rpsA,157742,137211,136877,92092,109903,178474
SAUSA300_1366,0,0,0,0,4,2
cmk,12061,10171,9888,11241,12860,16845
ansA,3383,3593,3391,3359,4063,5526
SAUSA300_1369,3811,4391,3880,2964,3750,4841
ebpS,149558,137305,132211,105178,137657,205342
recQ_2,9852,8776,8575,5749,6809,9993
SAUSA300_1372,4996,4634,4444,3715,3984,5593
SAUSA300_1373,1255,1240,1093,971,1302,1623
SAUSA300_1374,2555,2827,2718,1507,1801,2734
SAUSA300_1375,74,67,68,41,30,71
SAUSA300_1376,797,806,741,423,497,628
SAUSA300_1377,67,54,66,42,44,55
SAUSA300_1378,186,162,129,91,138,127
SAUSA300_1379,130,113,75,39,59,68
SAUSA300_1380,71,59,57,8,14,19
lukF-PV,49463,29441,31991,1285,1520,2522
lukS-PV,49048,28956,31107,1046,1244,2098
SAUSA300_1383,156,120,114,102,76,166
SAUSA300_1384,18,10,12,4,8,12
SAUSA300_1385,38,47,37,32,46,63
SAUSA300_1386,22,34,21,11,18,30
SAUSA300_1387,38,28,37,48,36,40
SAUSA300_1388,120,112,86,88,92,130
SAUSA300_1389,468,442,434,374,442,581
SAUSA300_1390,46,24,40,26,22,49
SAUSA300_1391,369,368,296,195,217,337
SAUSA300_1392,258,211,184,98,124,204
SAUSA300_1393,2102,2248,1802,1088,1580,1861
SAUSA300_1394,19,28,18,9,8,22
SAUSA300_1395,81,36,36,26,30,46
SAUSA300_1396,538,548,465,277,393,490
SAUSA300_1397,331,292,270,114,157,293
SAUSA300_1398,48,52,40,37,51,55
SAUSA300_1399,31,16,39,31,27,29
SAUSA300_1400,38,57,40,34,42,47
SAUSA300_1401,335,275,282,211,307,423
SAUSA300_1402,74,90,100,77,79,114
SAUSA300_1403,429,434,397,374,398,513
SAUSA300_1404,287,208,208,189,227,337
SAUSA300_1405,4,13,11,10,10,25
SAUSA300_1406,14,4,4,7,8,8
SAUSA300_1407,210,230,189,168,195,231
SAUSA300_1408,629,691,599,438,583,693
SAUSA300_1409,99,120,119,62,121,104
SAUSA300_1410,832,909,817,666,817,955
SAUSA300_1411,56,69,55,49,61,57
SAUSA300_1412,31,33,33,20,28,35
SAUSA300_1413,58,86,76,52,81,76
SAUSA300_1414,12,29,12,13,21,20
SAUSA300_1415,22,11,12,20,33,20
SAUSA300_1416,22,28,12,29,39,32
SAUSA300_1417,39,45,29,30,41,61
SAUSA300_1418,10,22,14,7,15,15
SAUSA300_1419,7,12,8,16,8,5
SAUSA300_1420,4,13,5,6,15,19
SAUSA300_1421,12,6,18,24,27,12
SAUSA300_1422,2,4,2,7,8,4
polA_1,85,81,87,85,112,147
SAUSA300_1424,42,59,26,43,34,60
SAUSA300_1425,46,54,56,35,64,86
SAUSA300_1426,12,16,12,10,16,19
SAUSA300_1427,8,8,15,4,16,10
SAUSA300_1428,11,14,8,6,5,14
SAUSA300_1429,0,0,0,0,0,0
SAUSA300_1430,50,50,46,31,36,43
SAUSA300_1431,58,50,30,49,49,61
SAUSA300_1432,2063,1764,1746,1886,1932,3048
SAUSA300_1433,55,26,39,20,24,37
SAUSA300_1434,1467,1199,1177,1773,1838,2382
SAUSA300_1435,1297,1075,985,1568,1566,2122
SAUSA300_1436,1760,1583,1601,2260,2541,3244
SAUSA300_1437,8668,7804,7838,4923,5458,8391
SAUSA300_1438,1099,1126,1149,666,755,1059
SAUSA300_1439,3722,4146,3868,887,1043,1322
SAUSA300_1440,1358,1412,1400,177,246,220
srrB,41120,40802,37535,26744,32758,41630
srrA,42391,47383,44006,25515,30405,39852
rluB,7710,8313,7593,6008,7101,8553
scpB,4456,4900,4256,3360,3892,5017
scpA,6049,5879,5633,4156,4751,6181
SAUSA300_1446,776,769,698,493,657,847
xerD,8093,6736,6241,5866,7083,10450
SAUSA300_1448,8923,8846,7506,7220,7841,11471
SAUSA300_1449,3430,2979,2891,2635,3140,4403
SAUSA300_1450,17153,15493,14794,11556,13693,19065
SAUSA300_1451,3252,2846,2720,2395,2847,3989
proC,6468,5287,5146,5553,6691,9877
SAUSA300_1453,5251,4645,4309,3600,4124,5606
zwf,79958,74435,72159,42411,48823,71700
SAUSA300_1455,14742,13128,12603,8995,10500,15199
SAUSA300_1456,3169,4642,6128,1517,1879,2472
malR,2085,2548,3250,1110,1626,2855
SAUSA300_1458,16764,14530,14127,10083,12170,17822
gnd,116843,125737,117229,88481,105642,137002
SAUSA300_1460,11738,11037,10734,9330,12172,16584
SAUSA300_1461,393,455,372,414,445,685
SAUSA300_1462,9936,9926,9561,8642,10411,13781
SAUSA300_1463,4161,4178,3803,3282,3882,5287
SAUSA300_1464,25633,29847,28891,16737,20234,27126
SAUSA300_1465,19352,21736,21469,12094,14993,19784
SAUSA300_1466,23291,25924,25052,14024,17226,22114
lpdA_2,33404,34967,34060,18908,23396,29630
recN,41993,41371,43800,25131,29842,40257
argR_2,10776,10152,10915,6366,7080,10271
SAUSA300_1470,17170,17744,16057,14840,18111,21983
xseB,3015,3228,2969,2636,3140,3958
xseA,20367,21181,20225,18465,21378,26790
nusB,9413,9279,8830,8067,8735,11396
SAUSA300_1474,8653,8266,8156,7510,8373,10354
accC_1,25330,25978,24020,23385,26803,33549
accB_1,11441,11290,10849,10181,11342,14062
SAUSA300_1477,18123,19677,18564,13855,16707,20881
SAUSA300_1478,5979,6516,6331,4355,5297,6686
SAUSA300_1479,732,869,841,275,337,557
SAUSA300_1480,613,772,793,244,392,519
SAUSA300_1481,2182,1851,1744,972,1155,1570
SAUSA300_1482,158,144,162,100,117,156
SAUSA300_1483,1495,1586,1436,971,1245,1518
SAUSA300_1484,78,86,99,68,67,83
SAUSA300_1485,115,153,162,59,139,136
SAUSA300_1486,170,180,140,161,160,173
SAUSA300_1487,634,593,555,336,426,534
SAUSA300_1488,142,139,181,106,97,124
SAUSA300_1489,140,185,164,96,128,160
efp,54297,57832,55326,42134,45454,64015
SAUSA300_1491,25264,22960,22216,18044,21648,28776
SAUSA300_1492,10004,8972,8506,5584,6160,8736
SAUSA300_1493,1630,1507,1415,1047,1174,1551
SAUSA300_1494,10080,9522,9276,6566,7577,11088
SAUSA300_1495,35143,30616,28138,21417,24779,34450
SAUSA300_1496,15320,15155,15243,11503,13478,17299
SAUSA300_1497,13165,12642,12244,9918,12044,15271
gcvT,8720,7874,7604,6076,7089,8809
aroK,3736,2826,2819,2663,2932,3865
SAUSA300_1500,107,106,85,77,87,127
SAUSA300_1501,41,52,53,26,53,58
SAUSA300_1502,52,59,60,36,56,74
SAUSA300_1503,144,121,111,102,116,161
SAUSA300_1504,437,389,370,388,382,628
SAUSA300_1505,11833,13619,12199,8624,9976,11850
SAUSA300_1506,5695,6731,5923,4042,4809,5742
glk,17140,21293,17473,12213,15388,17189
SAUSA300_1508,3221,3871,3477,2487,3164,3164
SAUSA300_1509,13804,16461,14213,9586,12119,13854
SAUSA300_1510,3387,3747,3699,2622,3106,4064
rpmG_2,7777,9363,8092,8538,10478,13916
pbp3,25149,25467,23570,18181,22205,27301
SAUSA300_1513,70059,65158,63489,40574,50124,71065
fur,726,744,714,731,695,1037
SAUSA300_1515,1908,1976,1955,1754,1861,2440
SAUSA300_1516,1440,1500,1386,1191,1272,1690
SAUSA300_1517,6305,7587,6947,6442,8043,9377
SAUSA300_1518,10484,11453,10614,9327,11831,14224
SAUSA300_1519,7792,8103,7195,5942,7298,9400
SAUSA300_1520,3821,4046,3448,3045,3502,4237
rpoD,31781,34164,31406,19479,23716,32285
dnaG,25386,25960,23909,15843,19111,24532
SAUSA300_1523,8328,7747,7881,5203,6299,8503
SAUSA300_1524,4672,4400,4504,2921,3343,4463
glyS,60910,72374,67245,54758,62615,81183
recO,10022,10817,10014,4896,6524,7563
era,20368,21010,19332,9580,11903,14672
cdd,8135,8088,7503,3574,4558,5745
dgkA,3959,3900,3660,1872,2218,2879
SAUSA300_1530,10278,9594,9208,4144,5494,7207
phoH,15294,14072,13472,6387,7870,10965
SAUSA300_1532,95083,100757,96938,56389,66788,85974
SAUSA300_1533,87589,94336,90310,48581,59974,81198
SAUSA300_1534,54953,57467,56114,31209,36804,48343
rpsU,17061,18068,14385,11368,13228,19460
SAUSA300_1536,20447,20633,18834,18480,22110,28421
SAUSA300_1537,4775,4897,4445,4169,5259,6518
prmA,6664,8854,7302,7139,8435,9828
dnaJ,5733,7988,6026,6475,8313,8448
dnaK,47360,55609,52127,40574,49861,62407
grpE,12697,14252,13527,10207,11565,15484
hrcA,9658,11044,11026,8004,9408,12781
SAUSA300_1543,1740,1876,1681,1692,1819,2180
lepA,19503,18746,17961,16246,18383,23219
rpsT,16635,18526,16889,14238,16842,22654
holA,1797,1840,1718,1365,1546,1847
SAUSA300_1547,1435,1314,1323,900,1001,1475
SAUSA300_1548,6759,5895,5268,4144,5027,7020
SAUSA300_1549,2233,1704,1546,1374,1622,2247
SAUSA300_1550,10013,10642,9583,7780,8905,10654
SAUSA300_1551,7282,7341,6743,5147,5864,7440
SAUSA300_1552,8325,8787,8587,6637,8131,9824
nadD,8572,9438,8679,8717,10396,11890
SAUSA300_1554,2248,2501,2382,2561,2892,3290
aroE,4857,5633,5031,5445,6417,7333
SAUSA300_1556,8652,10142,8660,9284,10961,12263
SAUSA300_1557,3865,4251,3994,3772,4738,5195
mtnN,3030,3678,3227,2753,3527,3849
SAUSA300_1559,113,143,96,78,136,156
SAUSA300_1560,1008,869,938,919,1052,1444
SAUSA300_1561,1620,1755,1428,3282,3743,3955
SAUSA300_1562,1016,1100,939,2498,3081,2929
accC_2,1600,1482,1277,3619,4414,4624
accB_2,529,449,376,1099,1388,1471
SAUSA300_1565,1054,885,795,2269,2626,2924
SAUSA300_1566,569,506,486,1269,1395,1742
greA,20274,19542,18570,17038,19091,25346
udk,14311,14571,13454,12310,14005,19020
SAUSA300_1569,8632,10607,9250,9591,11242,13704
SAUSA300_1570,4715,5466,4747,4743,5663,6302
SAUSA300_1571,1685,2091,1782,1844,2307,2365
SAUSA300_1572,22329,21598,20521,16398,18676,25215
SAUSA300_1573,25132,24292,23795,19213,22903,30123
SAUSA300_1574,18820,18426,18131,14145,17415,23229
alaS,27189,31705,27997,26862,32925,38993
SAUSA300_1576,19674,18837,17478,16130,19085,23471
SAUSA300_1577,3944,3769,3536,3233,3743,4495
mnmA,19120,19309,18240,14128,17314,22320
SAUSA300_1579,17640,17404,16202,12505,15818,19935
SAUSA300_1580,4505,4473,4304,4773,6055,8662
SAUSA300_1581,97996,104350,96725,31757,38912,53561
SAUSA300_1582,82596,86868,78557,23529,31098,43233
SAUSA300_1583,15374,12415,11691,10155,12641,16300
SAUSA300_1584,14344,12932,12529,10451,12464,18037
SAUSA300_1585,6018,6030,5462,4278,5143,6364
aspS,22071,23756,22316,22556,26878,32128
hisS,7591,8634,7686,7938,9441,10317
lytH,19448,16710,15461,14137,16767,21816
dtd,15395,13593,12683,11205,13569,17859
SAUSA300_1590,60605,53787,50024,43709,52752,70156
apt,5269,5986,5274,4973,5619,6553
recJ,12852,14360,13729,12049,13711,16251
secF,62746,59314,55428,50884,58155,75520
yajC,7849,7915,7498,6416,7064,9362
tgt,9429,13112,11124,10402,12262,13333
queA,5814,6664,6100,5735,7451,8147
ruvB,6617,7195,6545,6729,8696,9680
ruvA,3627,4401,3601,3966,4405,5065
SAUSA300_1599,2820,3327,3024,2846,3057,3757
obgE,11491,13204,11429,11069,13625,15813
rpmA,23306,30681,27029,24713,28101,34301
SAUSA300_1602,15748,21121,18818,17405,20971,22939
rplU,26059,34919,31477,27015,33174,38327
mreD,1920,2241,1945,1648,1996,2464
mreC,5470,6110,5328,5031,5582,6472
SAUSA300_1606,1336,1054,1107,1079,1179,1438
SAUSA300_1607,2431,2600,2144,1917,2220,3042
radC,173,166,185,101,150,154
SAUSA300_1609,108,106,115,73,94,113
folC,23981,26536,24670,17012,19620,26045
valS,52473,58350,52359,36942,45122,55364
tag,9674,7776,7222,6651,7450,11032
SAUSA300_1613,7064,6861,6815,2326,2760,3747
hemL_1,27304,30632,29727,20881,26261,35370
hemB,11128,12035,12030,8421,10485,13361
hemD,6396,7022,6703,5146,5962,7363
hemC,18262,19583,18065,13584,16761,20860
hemX,13880,14094,12692,10330,12312,15197
hemA,146518,135892,123175,85148,103981,134496
engB,2536,2686,2538,2272,2596,2981
clpX,37178,43223,38983,33862,40347,50512
tig,73054,91464,82431,72821,83349,97411
SAUSA300_1623,10113,10574,9646,9694,11783,13184
SAUSA300_1624,7267,7367,6212,6637,8109,8818
rplT,17659,21876,19738,17018,20158,22930
rpmI,16167,19747,17931,16198,19977,19337
infC,24350,30482,27840,22288,27021,29153
lysP,18790,23540,17876,11403,14819,17303
thrS,82130,85634,84735,60438,72289,92637
dnaI,26775,25158,23891,17415,21116,26242
SAUSA300_1631,26534,25427,24700,16971,20524,27422
nrdR,14285,12914,12415,8699,10681,14280
gap_2,2063,2060,2282,1190,1648,2717
coaE,13115,13821,12456,9848,12117,13284
mutM,11107,11470,10026,8300,10394,11705
polA_2,37880,37174,34196,26173,31663,41213
SAUSA300_1637,1383,1241,1090,902,1205,1525
phoR,24498,23971,22268,9141,12073,16925
phoP,12221,11616,11218,5728,7030,10268
icd,5444,5627,5583,4923,6035,7492
gltA,3189,3553,3285,2982,3968,4977
SAUSA300_1642,128882,98920,92371,85005,99770,139727
SAUSA300_1643,252,180,209,154,164,194
pyk,357773,376635,352594,240054,284523,380713
pfkA,115373,125642,111087,92418,123447,142168
accA,10495,12273,11757,9471,10981,13877
accD,10298,11659,10656,8763,10118,12857
SAUSA300_1648,14278,15748,14632,11598,14001,17640
dnaE,31856,32349,31504,20424,24208,29919
SAUSA300_1650,13802,12594,11818,7968,9926,12151
SAUSA300_1651,15628,13910,13320,7842,9897,12953
SAUSA300_1652,46318,49510,47122,28703,35805,45715
SAUSA300_1653,37455,45268,43323,12791,17443,26100
SAUSA300_1654,19551,17134,17222,11060,13674,20077
ald_2,3506,3586,3398,1668,2146,2834
SAUSA300_1656,42236,52109,58626,23517,29030,48286
ackA,73654,78356,72234,53379,64443,80719
SAUSA300_1658,8007,8324,7219,7037,8667,11251
tpx,36969,36181,34407,25138,30818,42866
SAUSA300_1660,1638,1778,1600,1682,2048,2363
thiI,3391,3761,3187,3599,4147,4976
SAUSA300_1662,2579,2958,2620,2527,3014,3322
SAUSA300_1663,12,11,18,23,13,20
ezrA,137092,137772,136349,85648,99693,135880
SAUSA300_1665,7336,7088,6726,5143,5917,8068
rpsD,45690,59161,53744,42483,49999,64735
SAUSA300_1667,2569,2254,2021,1646,1972,2502
SAUSA300_1668,5183,4431,4230,2748,3290,4770
SAUSA300_1669,8131,6241,6085,4229,4801,6905
serA,10238,7979,7740,5480,6558,8898
SAUSA300_1671,13024,10195,9566,10895,12805,17836
nagE,17172,17564,16488,15932,19041,23932
SAUSA300_1673,6628,6619,6347,6704,7359,8950
SAUSA300_1674,29533,26621,25701,16866,20446,27541
tyrS,13505,15076,14012,12304,14577,18222
sgtA,3756,3055,3116,2398,2542,3858
SAUSA300_1677,107712,88037,86000,107483,130400,177073
fhs,39805,39872,35494,5865,7111,8683
acsA,1114,1265,1146,940,1082,1436
acuA,1201,999,1140,829,1068,1717
acuC,1623,1409,1622,849,1161,1710
ccpA,16086,17338,16021,17663,21418,27639
SAUSA300_1683,36295,34569,32037,31629,37907,47590
SAUSA300_1684,145750,142661,135230,53522,68399,99312
SAUSA300_1685,214182,217454,200443,79463,95403,154529
murC,18610,21063,20723,12287,15281,19328
SAUSA300_1687,66706,69676,67129,36326,45529,57834
SAUSA300_1688,10024,10176,9664,4566,5768,7657
SAUSA300_1689,10287,10327,9907,4929,5815,7803
SAUSA300_1690,16122,15269,14760,6101,7411,10931
SAUSA300_1691,15981,15370,15281,8308,10826,14401
SAUSA300_1692,11139,10333,10189,6556,8051,10293
SAUSA300_1693,4770,4254,4027,2677,3511,5026
trmB,25884,25982,24726,20293,23879,28687
SAUSA300_1695,40821,41902,38447,30021,36860,45939
dat,29670,26392,25313,22018,26387,33336
SAUSA300_1697,45162,37331,35252,32259,39050,51404
SAUSA300_1698,31258,36931,33830,14158,18323,25011
SAUSA300_1699,12420,12759,11818,12129,13951,16050
SAUSA300_1700,13994,14655,13431,12318,14202,16840
SAUSA300_1701,3728,4006,3535,2975,3407,4464
SAUSA300_1702,3043,2882,2621,14909,19106,24968
SAUSA300_1703,2698,3286,3116,3012,3733,4020
leuS,32569,37514,33322,32679,39090,45182
SAUSA300_1705,2929,3338,2951,2199,2563,3115
SAUSA300_1706,7715,7885,7372,6787,7933,10559
