,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA1710,2058,2130,2094,1567,1730,1648.5
SA0281,3655,3022,3338.5,5498,5753,5625.5
SA0170,1821,1877,1849,1254,1335,1294.5
SA1872,11158,11648,11403,7536,7858,7697
SA_RS08055,65,66,65.5,83,72,77.5
SA0916,162,179,170.5,254,232,243
SA2248,3339,3070,3204.5,3344,3263,3303.5
SA0013,40545,39865,40205,45819,46499,46159
SA0407,9758,8014,8886,6600,6666,6633
SA2391,8217,8265,8241,11273,11721,11497
SAS035,2639,2569,2604,1637,1805,1721
SA0703,1508,1365,1436.5,966,919,942.5
SA_RS05705,11,6,8.5,6,3,4.5
SA0710,503,423,463,343,336,339.5
SA0092,145,118,131.5,294,354,324
SA1777,1123,956,1039.5,1890,2128,2009
SA0572,3837,3953,3895,3102,3177,3139.5
SA0612,2163,2348,2255.5,1330,1456,1393
SA_RS05025,1,1,1,4,6,5
SAS078,59049,62475,60762,65192,63044,64118
SA0747,11061,11454,11257.5,5727,6314,6020.5
SA1306,10300,11052,10676,14036,13963,13999.5
SA0598,3440,3457,3448.5,4114,4053,4083.5
SA_RS05795,10693,7763,9228,4397,4764,4580.5
SA0880,4061,4018,4039.5,5373,5576,5474.5
SA1929,13333,14061,13697,20246,21097,20671.5
SA_RS13625,115,128,121.5,78,74,76
SA_RS02285,556,448,502,488,485,486.5
SA0165,2273,2141,2207,2597,2826,2711.5
SA0808,2476,2348,2412,3363,3589,3476
SA1666,1725,1911,1818,1236,1354,1295
SA1557,16208,15611,15909.5,12054,12138,12096
SA1417,2920,2840,2880,1784,1893,1838.5
SA0670,1588,1529,1558.5,1679,1736,1707.5
SA0546,41214,42320,41767,32117,32486,32301.5
SA0341,243,172,207.5,592,703,647.5
SA_RS01955,9,0,4.5,19,9,14
SA_RS00485,0,0,0,0,0,0
SA0044,0,0,0,0,0,0
SA0197,612,592,602,402,404,403
SA2431,17564,17564,17564,7129,7686,7407.5
SA1142,14460,12745,13602.5,38048,40069,39058.5
SA2112,832,829,830.5,770,858,814
SA1891,2283,2259,2271,2991,3208,3099.5
SA1566,10927,10800,10863.5,8811,9027,8919
SAtRNA17,74,32,53,56,59,57.5
SA0161,434,486,460,291,355,323
SA_RS13770,2,1,1.5,3,3,3
SA1722,2140,2283,2211.5,2156,2293,2224.5
SA2308,2763,3193,2978,1122,1177,1149.5
SA2275,1634,1530,1582,1713,1721,1717
SA1026,16042,15606,15824,17516,17981,17748.5
SA1291,5163,5489,5326,4827,4876,4851.5
SA0927,4181,4017,4099,3297,3430,3363.5
SA0011,3285,3403,3344,4234,4451,4342.5
SA0901,195,216,205.5,486,523,504.5
SAP026,0,0,0,0,0,0
SA0113,60,57,58.5,115,127,121
SA0216,1871,1641,1756,2347,2577,2462
SA1482,0,0,0,0,0,0
SA0900,463,398,430.5,904,926,915
SAS061,114,91,102.5,120,112,116
SA_RS07975,586,496,541,316,285,300.5
SA0832,2986,3078,3032,3109,3014,3061.5
SA0697,6011,5799,5905,4950,5093,5021.5
SA0388,109,114,111.5,104,134,119
SA1935,1772,2110,1941,2543,2612,2577.5
SA0052,0,0,0,0,0,0
SA1066,4872,4845,4858.5,3815,3940,3877.5
SA0728,47633,45312,46472.5,110587,115157,112872
SA1676,882,833,857.5,1191,1389,1290
SA0314,914,912,913,942,956,949
SA1845,4965,4987,4976,5585,5575,5580
SA1654,9233,8402,8817.5,7886,8200,8043
SA0659,3063,3224,3143.5,2663,2738,2700.5
SA0531,7706,6846,7276,5540,5709,5624.5
SA0550,2791,2772,2781.5,1557,1515,1536
SA1352,18661,18555,18608,12795,13009,12902
SA1593,15803,14797,15300,10235,10122,10178.5
SA2113,1623,1597,1610,1016,1081,1048.5
SA2072,12614,12126,12370,9789,10403,10096
SAS033,18272,16185,17228.5,13848,14486,14167
SA1931,4431,4158,4294.5,3333,3243,3288
SArRNA06,2733,1782,2257.5,6359,3937,5148
SA2177,247,254,250.5,202,228,215
SAS091,64,64,64,83,73,78
SA1216,7359,6973,7166,4769,5007,4888
SA1211,2116,1819,1967.5,1728,1663,1695.5
SA1692,5282,5168,5225,3689,3773,3731
SA0111,577,507,542,568,590,579
SA0151,609,502,555.5,718,708,713
SA1012,1085,1049,1067,584,654,619
SA1253,4524,4281,4402.5,4068,3994,4031
SA0177,450,423,436.5,458,516,487
SA1806,6984,6700,6842,4171,4534,4352.5
SA1580,2046,1961,2003.5,2759,2738,2748.5
SA0780,3475,3472,3473.5,4059,3992,4025.5
SA1877,5085,4939,5012,6232,6469,6350.5
SA1213,1111,963,1037,999,1156,1077.5
SA1304,3433,3454,3443.5,2014,2113,2063.5
SA1109,14112,15987,15049.5,12867,13825,13346
SA_RS13790,89,62,75.5,25,24,24.5
SA0812,3799,3540,3669.5,5271,5603,5437
SA1214,1122,1001,1061.5,978,1011,994.5
SAtRNA25,602,712,657,573,601,587
SA2036,69484,81750,75617,68687,66856,67771.5
SA1510,716,647,681.5,1259,1261,1260
SA0734,14993,16589,15791,11238,11235,11236.5
SA0135,417,444,430.5,486,496,491
SAP003,0,0,0,0,0,0
SA0829,25334,26271,25802.5,22443,22868,22655.5
SA0382,167,200,183.5,204,184,194
SA0418,2795,2656,2725.5,2309,2460,2384.5
SA2025,43708,50330,47019,56092,58387,57239.5
SA1867,4916,4946,4931,3597,3605,3601
SA0349,2508,2128,2318,3804,3954,3879
SA2429,514,487,500.5,223,202,212.5
SA1797,658,463,560.5,1942,1915,1928.5
SA0544,15344,14343,14843.5,10481,10983,10732
SA1852,4212,4340,4276,4078,4208,4143
SA2301,970,806,888,1070,1074,1072
SA2281,39,37,38,19,24,21.5
SA_RS05675,15,19,17,16,25,20.5
SA2388,0,0,0,0,0,0
SAtRNA16,74,31,52.5,53,57,55
SArRNA07,9,7,8,9,14,11.5
SA0748,353,384,368.5,395,395,395
SA0908,9796,9049,9422.5,11572,11687,11629.5
SA2105,6303,6216,6259.5,4017,4318,4167.5
SA2132,1568,1522,1545,1323,1305,1314
SA1063,30333,31410,30871.5,23000,23317,23158.5
SA1320,8045,7874,7959.5,5595,5840,5717.5
SA1287,19536,19779,19657.5,25279,26280,25779.5
SA1640,1296,1212,1254,1026,1093,1059.5
