,C1_reads,C2_reads,group1_reads,D1-1_reads,D1-2_reads,group2_reads
SA0551,1414,1707,1560.5,1400,1448,1424
SA1412,2555,2512,2533.5,2046,2109,2077.5
SA1146,2894,2961,2927.5,3084,3095,3089.5
SA0147,1106,819,962.5,1079,1149,1114
SA0256,2091,2057,2074,1910,1896,1903
SA1186,3146,2872,3009,1890,2033,1961.5
SA0253,551,464,507.5,1956,1957,1956.5
SA2378,685,809,747,629,744,686.5
SA1511,11902,12100,12001,9709,9752,9730.5
SA1159,1560,1639,1599.5,1195,1205,1200
SA0310,1219,1258,1238.5,1593,1704,1648.5
SA0890,572,455,513.5,567,542,554.5
SA2406,805,758,781.5,1128,1058,1093
SA1310,2881,3005,2943,2588,2825,2706.5
SA2153,216,241,228.5,226,245,235.5
SA2169,2086,2100,2093,2284,2462,2373
SA_RS01360,27,41,34,28,29,28.5
SA1138,14060,14196,14128,10432,10746,10589
SA1501,1711,1872,1791.5,2678,2576,2627
SA2494,11507,12223,11865,5652,5962,5807
SA_RS09320,11,14,12.5,6,21,13.5
SAtRNA56,743,619,681,390,417,403.5
SA1195,5608,5180,5394,3158,3389,3273.5
SA0448,32384,32584,32484,30135,30586,30360.5
SA0801,1475,1560,1517.5,1066,1228,1147
SA2093,14163,13651,13907,24246,24872,24559
SA1077,26390,25547,25968.5,22807,23727,23267
SA1901,4757,4855,4806,4657,4939,4798
SA1674,740,621,680.5,2778,2721,2749.5
SA1383,4469,4451,4460,2300,2401,2350.5
SA1380,5869,6015,5942,3375,3326,3350.5
SA1162,1358,1272,1315,854,850,852
SA0568,5271,4613,4942,2973,3439,3206
SA2131,2550,2752,2651,2668,2656,2662
SA0319,104,86,95,255,235,245
SA_RS05885,7930,8151,8040.5,4427,4711,4569
SA2147,3907,3478,3692.5,2500,2811,2655.5
SA1462,21796,22682,22239,13165,13529,13347
SA0208,190,151,170.5,1846,1691,1768.5
SArRNA14,32,23,27.5,49,53,51
SA1472,27763,30102,28932.5,30332,30981,30656.5
SA1353,7019,7084,7051.5,4355,4812,4583.5
SA0186,411,320,365.5,1073,1049,1061
SA1719,16595,15609,16102,17227,17874,17550.5
SA1663,33896,30959,32427.5,15148,15596,15372
SAtRNA54,94,106,100,136,148,142
SA0032,2,0,1,0,1,0.5
SA1288,22837,23353,23095,13327,13460,13393.5
SA0769,4153,3971,4062,7974,7967,7970.5
SA1994,194,128,161,379,394,386.5
SA1112,47872,52514,50193,40191,42665,41428
SA2384,0,0,0,0,0,0
SA0048,0,0,0,0,0,0
SA0845,961,1016,988.5,1575,1749,1662
SA0144,417,371,394,431,421,426
SA0999,8773,8159,8466,4351,4889,4620
SA0313,550,544,547,750,867,808.5
SA0582,849,655,752,912,1038,975
SA2421,3567,3634,3600.5,2731,2761,2746
SA2268,14799,14014,14406.5,27086,27374,27230
SAtRNA18,35,23,29,41,35,38
SAS066,23125,20601,21863,12594,13327,12960.5
SA0187,351,346,348.5,573,558,565.5
SA0207,179,134,156.5,2595,2562,2578.5
SA1686,6312,6033,6172.5,4919,5286,5102.5
SA0524,20841,24482,22661.5,12418,12608,12513
SA_RS04210,28,20,24,28,20,24
SA0917,512,562,537,1055,1095,1075
SA1055,15937,16526,16231.5,12385,12810,12597.5
SA1037,5867,5778,5822.5,3146,3299,3222.5
SA1035,19667,19516,19591.5,11589,11967,11778
SA1022,34698,35113,34905.5,32398,32600,32499
SA2157,5748,5854,5801,5250,5533,5391.5
SA2144,2106,1923,2014.5,1161,1161,1161
SA1419,8708,8995,8851.5,5457,5917,5687
SA1273,5865,6117,5991,6344,6358,6351
SA1923,34399,38195,36297,29651,30074,29862.5
SA1903,2059,1829,1944,1350,1392,1371
SA_RS02580,5,14,9.5,4,6,5
SA_RS13835,2120,1717,1918.5,1800,1758,1779
SA0874,4233,4277,4255,3083,3325,3204
SA0421,840,783,811.5,1631,1703,1667
SA1372,30,27,28.5,52,52,52
SA0037,0,0,0,0,0,0
SA0093,205,194,199.5,314,341,327.5
SA1185,4723,4868,4795.5,2978,2906,2942
SA1137,10724,11287,11005.5,10216,10281,10248.5
SA0347,590,664,627,837,888,862.5
SA1812,2747,2021,2384,7601,7721,7661
SA0034,207,138,172.5,194,229,211.5
SA_RS03455,3700,3691,3695.5,3675,3695,3685
SA2430,805,847,826,899,950,924.5
SA1558,15767,16403,16085,11691,11775,11733
SAtRNA32,1226,1260,1243,1409,1544,1476.5
SA1829,0,0,0,0,0,0
SAtRNA05,836,552,694,977,1155,1066
SA1842,28990,25747,27368.5,14570,15397,14983.5
SA1131,27165,31127,29146,17572,17817,17694.5
SA0518,6234,6736,6485,3541,3675,3608
SA0496,37649,39396,38522.5,50024,52293,51158.5
SA1887,11548,11913,11730.5,14901,15525,15213
SA0215,1113,931,1022,1334,1305,1319.5
SA1723,5097,4770,4933.5,3287,3189,3238
SA0105,627,513,570,593,595,594
SA1704,8155,8621,8388,6036,6566,6301
SA0896,12567,13025,12796,9438,10159,9798.5
SA_RS11565,33,25,29,29,16,22.5
SArRNA02,2189,1483,1836,6314,3790,5052
SA1234,37360,37332,37346,24596,28409,26502.5
SA1826,0,0,0,0,0,0
SA1882,1182,1091,1136.5,1224,1145,1184.5
SA0997,11367,11891,11629,6891,7094,6992.5
SA2454,331,301,316,210,222,216
SA1065,4687,4806,4746.5,4430,4358,4394
SA1672,3220,3408,3314,2331,2298,2314.5
SA1192,10493,9905,10199,8790,8921,8855.5
SA0565,250,218,234,168,128,148
SA0485,6369,5772,6070.5,7152,7757,7454.5
SA2382,145,92,118.5,127,135,131
SA1471,22846,24322,23584,26348,28061,27204.5
SA1117,29961,31216,30588.5,33879,34583,34231
SA0699,2480,2507,2493.5,2388,2408,2398
SA1048,2553,2616,2584.5,4259,4415,4337
SA2133,2414,2371,2392.5,1897,2211,2054
SA2317,1503,1314,1408.5,1444,1383,1413.5
SA0158,3208,2732,2970,3037,3354,3195.5
SA2214,397,330,363.5,347,324,335.5
SA2045,46011,52038,49024.5,38997,40275,39636
SA1975,2397,2198,2297.5,2522,2763,2642.5
SA1940,4706,4805,4755.5,6666,7353,7009.5
SA1097,31160,33557,32358.5,27133,26582,26857.5
SAtRNA15,2,6,4,4,0,2
SArRNA08,3,1,2,5,4,4.5
SAS039,290,246,268,33,47,40
SA0193,496,447,471.5,422,368,395
SA2501,10691,10809,10750,10188,10410,10299
SA1733,1056,1021,1038.5,900,963,931.5
SA2213,1152,1180,1166,1252,1253,1252.5
SA0475,27245,28883,28064,29034,29705,29369.5
SA_RS07435,85,93,89,71,100,85.5
SA0360,2720,2282,2501,4919,5405,5162
SA1765,1208,955,1081.5,3724,3530,3627
SA_RS00760,6,6,6,5,2,3.5
SA1642,754,657,705.5,613,728,670.5
SA0183,15392,12610,14001,36291,37221,36756
SA0466,18543,18014,18278.5,11134,12091,11612.5
SA2156,83904,73507,78705.5,147057,154951,151004
SA0645,6173,6256,6214.5,6356,6302,6329
SA1224,11594,11579,11586.5,12927,13475,13201
SA1447,8490,8515,8502.5,7206,7199,7202.5
SA1865,296,215,255.5,424,398,411
SA0833,2488,2594,2541,2721,2653,2687
SA1553,10766,10867,10816.5,12314,12685,12499.5
SAS020,1470,1337,1403.5,2095,2137,2116
SA0660,15184,12085,13634.5,19331,19666,19498.5
SA0470,6073,6225,6149,6701,6872,6786.5
SA2190,606,572,589,704,801,752.5
SA2347,2625,2802,2713.5,3671,3657,3664
SAS064,823,588,705.5,1476,1430,1453
SA0841,4946,4717,4831.5,2642,2695,2668.5
SA1030,4383,4368,4375.5,3714,3520,3617
SA0674,98703,95031,96867,69301,71509,70405
SA2043,51325,60288,55806.5,60204,59259,59731.5
SA0523,12840,12921,12880.5,9009,9537,9273
SA1181,12395,12450,12422.5,9818,10045,9931.5
SA0695,4122,3542,3832,2365,2441,2403
SA2167,2139,1936,2037.5,11536,11860,11698
SA0110,155,160,157.5,210,250,230
SA2283,1789,1680,1734.5,1431,1490,1460.5
SA0649,692,692,692,475,508,491.5
SA0020,20724,22001,21362.5,18376,18782,18579
SA1907,93388,93115,93251.5,112376,116995,114685.5
SA0160,386,382,384,317,281,299
SAtRNA59,810,705,757.5,732,847,789.5
SA0763,0,0,0,0,0,0
SA_RS00470,0,0,0,0,0,0
SA2056,9409,8313,8861,13114,13539,13326.5
SAtRNA27,164,188,176,70,119,94.5
SA_RS12655,205,187,196,100,98,99
SA0517,6309,6724,6516.5,3836,4000,3918
SA0486,20182,20795,20488.5,23498,23602,23550
SAtRNA60,476,419,447.5,477,510,493.5
SAtRNA06,124,118,121,118,137,127.5
SA1589,2653,2690,2671.5,3138,3121,3129.5
SA_RS12905,114,69,91.5,113,89,101
SA0261,425,416,420.5,446,434,440
SA_RS02845,8,10,9,2,7,4.5
SA2160,3363,3321,3342,3672,3629,3650.5
SAtRNA45,852,935,893.5,708,626,667
SA_RS05575,2,7,4.5,4,9,6.5
SA2146,3761,3530,3645.5,3264,3361,3312.5
SA0007,2842,3126,2984,2008,2038,2023
SA0327,3771,4067,3919,2860,2934,2897
SA1702,2400,2209,2304.5,1204,1298,1251
SA0348,1142,1049,1095.5,1586,1547,1566.5
SA0818,4629,4979,4804,9080,8972,9026
SA0960,2401,2380,2390.5,1598,1783,1690.5
SA1318,1163,1081,1122,622,589,605.5
SA_RS09125,248,271,259.5,176,151,163.5
SA1773,1055,782,918.5,2088,2071,2079.5
SA0436,12379,12892,12635.5,13680,13669,13674.5
SA2292,0,2,1,1,7,4
SAtRNA58,516,451,483.5,519,563,541
SA1151,514,534,524,232,241,236.5
SA_RS10380,3241,3067,3154,1487,1554,1520.5
SA1833,0,0,0,0,0,0
SAtRNA10,1131,997,1064,898,1025,961.5
SA2092,2315,2214,2264.5,1626,1601,1613.5
SA2027,73705,85767,79736,81426,82089,81757.5
SA0323,217,290,253.5,394,432,413
SA1130,4040,4171,4105.5,2538,2575,2556.5
SA0145,441,345,393,542,483,512.5
SA0362,704,784,744,836,792,814
SA1442,3495,3607,3551,2692,2608,2650
SA_RS08455,0,2,1,0,1,0.5
SA_RS10590,134,130,132,94,104,99
SA1637,118,112,115,112,124,118
SA1347,13822,14729,14275.5,14525,14895,14710
SA1534,6164,5947,6055.5,4829,4870,4849.5
SA_RS01715,2,0,1,2,0,1
SA2294,466,405,435.5,4313,4197,4255
SA1004,868,733,800.5,1540,1580,1560
SA2191,7682,7029,7355.5,6964,7448,7206
SA1516,3299,3148,3223.5,2476,2631,2553.5
SA1602,156,130,143,109,113,111
SA1153,198,154,176,55,60,57.5
SA1113,11856,10509,11182.5,4910,5067,4988.5
SA1175,1151,1198,1174.5,2531,2491,2511
SA0978,114,91,102.5,64,63,63.5
SA0054,0,0,0,0,0,0
SA0154,1241,952,1096.5,1022,1042,1032
SA0389,110,105,107.5,103,75,89
SA2122,652,713,682.5,781,751,766
SA_RS01370,40,55,47.5,191,174,182.5
SA2019,3119,3166,3142.5,3406,3638,3522
SA1200,33,31,32,66,75,70.5
SA0956,6581,5604,6092.5,5468,5622,5545
SA1768,1234,980,1107,3657,3750,3703.5
SA0171,851,1391,1121,821,869,845
SA1427,4596,4929,4762.5,4207,4276,4241.5
SA0325,297,263,280,1441,1408,1424.5
SAP012,2182,2007,2094.5,1187,1260,1223.5
SA0250,7653,7682,7667.5,8052,8448,8250
SA0377,257,206,231.5,155,171,163
SA2364,395,380,387.5,407,391,399
SA2188,7140,7036,7088,20982,20984,20983
SA0099,1177,1204,1190.5,1527,1427,1477
SA1528,29317,27845,28581,17160,17658,17409
SA0398,612,495,553.5,532,459,495.5
SA0624,18375,18485,18430,15318,15991,15654.5
SA1346,24239,24347,24293,20198,20293,20245.5
SA1721,11450,11559,11504.5,13706,13792,13749
SA1687,5227,5018,5122.5,3516,3764,3640
SA2081,2307,1762,2034.5,1503,1587,1545
SA0043,0,0,0,0,0,0
SAtRNA12,722,669,695.5,597,571,584
SA1764,2596,1959,2277.5,6149,6405,6277
SA_RS08755,0,2,1,0,0,0
SA0762,0,0,0,0,0,0
SAtRNA20,135,143,139,156,190,173
SA1800,7,13,10,12,24,18
SA1638,44,47,45.5,41,39,40
SA2007,66406,80690,73548,29905,30869,30387
SA0906,235,274,254.5,326,337,331.5
SA_RS10510,0,0,0,0,0,0
SA1258,4911,4980,4945.5,8285,8216,8250.5
SA0038,0,0,0,0,0,0
SA1440,12759,13557,13158,13842,14220,14031
SA0162,588,484,536,2421,2390,2405.5
SA1645,96,129,112.5,169,178,173.5
SA1714,6912,6724,6818,4709,4941,4825
SA2245,5702,5354,5528,2880,2833,2856.5
SA2159,552,564,558,505,674,589.5
SA_RS02085,235,202,218.5,93,115,104
SA2402,30916,32215,31565.5,18612,18225,18418.5
SA2400,138505,150731,144618,105705,111624,108664.5
SA0789,8888,8178,8533,2934,3042,2988
SA1815,813,833,823,959,866,912.5
SA2379,802,799,800.5,633,603,618
SA2033,54316,65151,59733.5,58640,62210,60425
SA0891,315,340,327.5,327,392,359.5
SA0015,21083,21619,21351,21852,22531,22191.5
SA1323,14251,14035,14143,14075,14562,14318.5
SA0019,25135,26843,25989,25917,26478,26197.5
SA1491,33084,34866,33975,26615,27334,26974.5
SA0292,1957,1630,1793.5,1479,1646,1562.5
SA1246,4486,4316,4401,3743,4029,3886
SA1388,5555,5475,5515,5072,5014,5043
SA1748,2773,2748,2760.5,2646,2645,2645.5
SA_RS00110,0,0,0,0,0,0
SA1805,11499,10734,11116.5,8019,8103,8061
SA_RS05735,2663,2428,2545.5,806,809,807.5
SA1979,1969,1922,1945.5,1554,1696,1625
SA2445,7738,7996,7867,6982,7040,7011
SA1058,2004,2198,2101,1672,1737,1704.5
SA1875,2827,2734,2780.5,3533,3735,3634
SA0578,2569,2293,2431,2743,2674,2708.5
SA0220,1505,1317,1411,1565,1809,1687
SA2492,70,77,73.5,113,132,122.5
SA0508,3661,3807,3734,6619,7065,6842
SA1588,2719,2932,2825.5,2428,2398,2413
SA1090,484,550,517,381,340,360.5
SA0442,8779,8907,8843,4334,4307,4320.5
SA0326,2179,2467,2323,1753,1708,1730.5
SA0975,52354,51135,51744.5,42849,42429,42639
SAtRNA41,948,953,950.5,1050,1073,1061.5
SA2499,14920,16921,15920.5,10805,11313,11059
SA2152,1518,1398,1458,1467,1534,1500.5
SA0194,1391,1714,1552.5,837,1076,956.5
SA1387,7345,7677,7511,8351,8553,8452
SA0164,51,51,51,18,18,18
SA0268,401,339,370,462,461,461.5
SA0613,4021,4006,4013.5,3187,3469,3328
SA1226,2405,2984,2694.5,6434,6630,6532
SA2199,1607,1688,1647.5,1326,1271,1298.5
SA0593,13883,13876,13879.5,9015,9139,9077
SA0254,3699,4241,3970,2189,2210,2199.5
SA0302,141,126,133.5,174,185,179.5
SA2051,6323,7137,6730,7240,7122,7181
SAS026,3429,3521,3475,3219,3259,3239
SA1046,9791,10344,10067.5,23651,23340,23495.5
SA1459,10342,10559,10450.5,9651,9686,9668.5
SA2118,415,422,418.5,412,455,433.5
SA2413,14319,15546,14932.5,8143,8356,8249.5
SA0058,0,0,0,0,0,0
SA0108,21436,20647,21041.5,10859,10537,10698
SA_RS07470,162,172,167,157,144,150.5
SA2449,374,421,397.5,200,278,239
SA1718,2506,2142,2324,7203,7580,7391.5
SA2458,5299,4853,5076,2512,2510,2511
SA_RS14105,9,11,10,7,6,6.5
SA_RS00580,135,101,118,61,69,65
SA1959,25491,25254,25372.5,38174,38432,38303
SA1926,14990,15836,15413,13902,14094,13998
SA1894,560,588,574,400,458,429
SA0655,12323,11419,11871,34937,35026,34981.5
SA1911,49841,48049,48945,67964,68661,68312.5
SA2479,3640,4411,4025.5,2957,2964,2960.5
SA1535,16575,16805,16690,11805,11673,11739
SA1795,5016,3264,4140,7937,8393,8165
SA2150,3088,3287,3187.5,2311,2290,2300.5
SA2145,1617,1531,1574,1751,1697,1724
SA0506,236302,268516,252409,354552,362176,358364
SA0515,578,623,600.5,196,232,214
SA0867,11629,11972,11800.5,9762,10193,9977.5
SAtRNA61,285,250,267.5,438,430,434
SA1155,2565,2278,2421.5,4296,4646,4471
SA2194,7012,8261,7636.5,4089,4169,4129
SA0028,0,0,0,0,0,0
SA1413,19650,20505,20077.5,14784,15066,14925
SA1738,318,325,321.5,798,872,835
SA2352,173,167,170,120,110,115
SA0168,486,481,483.5,871,887,879
SA0577,1229,1144,1186.5,736,768,752
SA0417,1394,1320,1357,2119,2197,2158
SA_RS07615,1301,957,1129,383,386,384.5
SA0481,13083,12788,12935.5,19868,20595,20231.5
SA1924,24070,24498,24284,16884,17933,17408.5
SA1290,6492,6842,6667,5278,5578,5428
SAtRNA57,151,128,139.5,173,149,161
SA_RS08710,2,1,1.5,0,0,0
SA0562,32328,27350,29839,76189,78533,77361
SA1579,28066,27615,27840.5,27577,28397,27987
SA0671,1549,1431,1490,1457,1455,1456
SA0713,18051,18875,18463,18501,18249,18375
SA0958,12896,13894,13395,10757,11132,10944.5
SA2080,21507,20867,21187,14341,14845,14593
SA1585,172,116,144,4094,4342,4218
SA2115,1063,957,1010,495,558,526.5
SA0749,645,572,608.5,470,452,461
SAP019,0,0,0,0,0,0
SA1281,8577,8175,8376,7315,7297,7306
SA1832,0,0,0,0,0,0
SA1255,12017,11989,12003,13766,14350,14058
SA1536,2487,2478,2482.5,3172,3110,3141
SA1386,7457,8058,7757.5,7698,8164,7931
SA0930,41,36,38.5,35,29,32
SA1648,131,117,124,101,92,96.5
SAP014,0,0,0,0,0,0
SA1820,0,0,0,0,0,0
SA2487,1638,1428,1533,1614,1709,1661.5
SA0221,578,433,505.5,691,666,678.5
SA1119,18493,18420,18456.5,18259,18977,18618
SA1165,27348,33442,30395,20610,21334,20972
SA0452,10357,9119,9738,4368,4711,4539.5
SA1880,561,607,584,840,852,846
SA2497,2739,2325,2532,2749,2965,2857
SA1107,23273,23943,23608,22815,23353,23084
SA0075,0,0,0,0,0,0
SA0610,1933,1688,1810.5,1422,1435,1428.5
SA0286,148,142,145,252,251,251.5
SA1752,654,396,525,582,599,590.5
SA0687,93522,89839,91680.5,35815,37987,36901
SA2065,9265,9952,9608.5,5999,6398,6198.5
SA0320,101,87,94,266,269,267.5
SA2067,25528,26656,26092,18165,18053,18109
SA1966,8711,8278,8494.5,8777,8548,8662.5
SA0234,785,865,825,896,875,885.5
SAS011,5,11,8,11,12,11.5
SA0129,17048,17962,17505,17747,19300,18523.5
SA0401,355,318,336.5,240,299,269.5
SA1434,2110,2080,2095,2049,2050,2049.5
SA1731,7266,7501,7383.5,4035,4171,4103
SA2450,297,310,303.5,184,196,190
SA0198,1924,2098,2011,2232,2317,2274.5
SA0411,17396,17157,17276.5,15348,15977,15662.5
SA1967,7041,7205,7123,7093,7133,7113
SA1454,5680,5527,5603.5,4687,4697,4692
SA1677,172,192,182,294,231,262.5
SA0796,25700,24155,24927.5,34268,36098,35183
SA1210,3735,3442,3588.5,2408,2187,2297.5
SA0540,1641,1556,1598.5,1698,1703,1700.5
SA1078,11700,10787,11243.5,13520,14202,13861
SA1139,5894,5367,5630.5,4661,4350,4505.5
SA2291,1871,1699,1785,4600,4861,4730.5
SA1498,37781,37860,37820.5,26127,27246,26686.5
SA0694,325,287,306,258,276,267
SA_RS00775,18,13,15.5,8,15,11.5
SA1713,4071,4434,4252.5,3562,3743,3652.5
SA1575,7188,6679,6933.5,7976,8152,8064
SA1425,10996,11794,11395,11882,12090,11986
SA0188,69,59,64,65,77,71
SA1010,192,286,239,186,135,160.5
SAtRNA36,1456,1548,1502,1494,1613,1553.5
SA_RS10080,850,733,791.5,722,762,742
SA0992,4199,4127,4163,3111,3355,3233
SA_RS04465,97,77,87,124,87,105.5
SA1794,907,581,744,1197,1192,1194.5
SA0495,50217,52394,51305.5,70824,73073,71948.5
SA_RS00530,14,11,12.5,8,15,11.5
SA1312,30243,28805,29524,29177,29226,29201.5
SA2021,2114,2279,2196.5,2469,2518,2493.5
SA2496,3340,2915,3127.5,2770,2928,2849
SA2435,2113,2203,2158,2816,2910,2863
SA2028,135547,156641,146094,149738,154473,152105.5
SA1254,4392,4282,4337,4020,4216,4118
SA1970,2057,1917,1987,2748,2759,2753.5
SA0211,593,628,610.5,723,713,718
SA1135,9671,9088,9379.5,7945,8086,8015.5
SA1608,12166,12631,12398.5,10904,10913,10908.5
SA1099,60764,58645,59704.5,65783,68564,67173.5
SA2290,5019,4437,4728,11385,11560,11472.5
SA0473,2016,2053,2034.5,2035,2127,2081
SA0355,673,537,605,441,438,439.5
SA0365,59384,65052,62218,87097,88855,87976
SA_RS04380,198,196,197,192,174,183
SA1799,484,396,440,747,743,745
SA0586,170,177,173.5,266,322,294
SA0941,10451,9873,10162,5517,5554,5535.5
SA_RS05265,46,35,40.5,31,34,32.5
SA2229,11768,11176,11472,8261,8673,8467
SA0587,45153,42312,43732.5,44962,46096,45529
SA0859,11963,11551,11757,10228,10353,10290.5
SAP006,1882,2260,2071,853,864,858.5
SA0471,15209,14627,14918,20274,21162,20718
SA0919,132,179,155.5,441,398,419.5
SA1330,1495,1549,1522,1334,1216,1275
SA1426,6633,6507,6570,6834,6931,6882.5
SA2206,19506,14064,16785,40099,41546,40822.5
SA1990,2133,1930,2031.5,3045,3036,3040.5
SA2478,195,193,194,778,692,735
SA2459,304,233,268.5,1903,2046,1974.5
SA0563,4012,3753,3882.5,2583,2669,2626
SA1838,3984,3504,3744,2242,2236,2239
SA_RS13000,30,9,19.5,9,16,12.5
SA1938,10623,11202,10912.5,14279,14337,14308
SA1349,14496,14645,14570.5,17226,17044,17135
SA0430,37599,46753,42176,30737,31413,31075
SA0637,5497,5160,5328.5,5385,5190,5287.5
SA0931,17902,16389,17145.5,14767,15633,15200
SA1289,6953,7364,7158.5,4618,4853,4735.5
SA0100,3550,3462,3506,4892,5168,5030
SA0296,2478,2372,2425,3085,2870,2977.5
SA0456,10246,11692,10969,11060,11136,11098
SA1204,137,132,134.5,316,327,321.5
SA0849,5771,6773,6272,8432,9230,8831
SA_RS05020,159,135,147,66,81,73.5
SA1431,1835,1803,1819,1391,1431,1411
SA_RS10665,0,3,1.5,0,0,0
SAS058,4268,4028,4148,2796,2826,2811
SA1586,1539,1648,1593.5,990,1131,1060.5
SA0672,6114,5968,6041,6327,6473,6400
SA0098,893,929,911,1068,1200,1134
SA0490,5468,5288,5378,6830,6946,6888
SA_RS05525,53,32,42.5,28,42,35
SA2485,135,124,129.5,162,157,159.5
SA0553,2163,2190,2176.5,3244,3474,3359
SA1357,16712,17710,17211,18199,18339,18269
SA0298,1138,1318,1228,1700,1757,1728.5
SA1337,4717,4894,4805.5,4539,4697,4618
SA1265,960,897,928.5,1105,1246,1175.5
SA0651,6554,6238,6396,1854,1971,1912.5
SA1241,4310,4618,4464,3646,3743,3694.5
SA0432,4597,4190,4393.5,30471,30622,30546.5
SA0152,1199,998,1098.5,1248,1239,1243.5
SA0685,40349,42082,41215.5,23838,23615,23726.5
SA1952,0,0,0,0,0,0
SA0663,3794,2635,3214.5,9211,9445,9328
SA1473,46677,49639,48158,52637,53387,53012
SA0758,2729,2556,2642.5,2155,2338,2246.5
SA1470,13189,14122,13655.5,18288,18622,18455
SA1567,2398,2336,2367,1385,1360,1372.5
SA0865,18884,20365,19624.5,12656,13115,12885.5
SA0519,3017,3628,3322.5,2735,2747,2741
SA0010,2096,1902,1999,2137,2265,2201
SA0889,176,176,176,137,147,142
SA1552,688,737,712.5,734,685,709.5
SA1378,6154,5921,6037.5,4656,4529,4592.5
SA0404,394,281,337.5,402,451,426.5
SA1355,11092,11668,11380,9154,9145,9149.5
SA1651,13985,14929,14457,11310,11562,11436
SA0433,4525,4663,4594,12487,13258,12872.5
SA1350,9974,9743,9858.5,9585,9930,9757.5
SA0294,2859,2945,2902,4191,4630,4410.5
SA1249,28,52,40,39,53,46
SA0688,436,450,443,364,546,455
SA1560,9165,9573,9369,7075,7600,7337.5
SA1600,187,211,199,58,90,74
SA1664,1788,1452,1620,1910,2055,1982.5
SA_RS06760,2,1,1.5,1,1,1
SA1544,693,745,719,1839,1948,1893.5
SA2209,1083,1158,1120.5,1313,1355,1334
SAS047,12821,10217,11519,4900,5469,5184.5
SA2250,576,590,583,554,558,556
SA0766,0,0,0,0,0,0
SA0711,4062,3733,3897.5,2568,2478,2523
SA1958,868,855,861.5,1126,1146,1136
SA0041,0,0,0,0,0,0
SA1759,286,177,231.5,447,489,468
SA2091,2657,2382,2519.5,1975,2037,2006
SA0441,8794,8758,8776,8519,8897,8708
SA2222,1248,1144,1196,2581,2707,2644
SA2495,6478,5833,6155.5,3725,3861,3793
SAtRNA11,1218,1118,1168,975,1017,996
SA1709,99875,102920,101397.5,58112,60826,59469
SA2120,2721,3047,2884,2006,2017,2011.5
SA2140,3602,3558,3580,3468,3552,3510
SA1616,250,268,259,225,176,200.5
SA0232,119416,98307,108861.5,318741,323542,321141.5
SA2064,16156,17635,16895.5,11111,12063,11587
SAtRNA09,606,513,559.5,435,514,474.5
SA0142,6688,6178,6433,3228,3396,3312
SA_RS00290,0,0,0,0,0,0
SA1954,0,0,0,0,0,0
SA2397,535,613,574,2697,2330,2513.5
SA0505,274341,320837,297589,357250,359622,358436
SA1590,909,993,951,702,678,690
SA2192,3183,2261,2722,461,581,521
SA1724,8025,8297,8161,5946,6268,6107
SA2357,495,508,501.5,2155,2383,2269
SA0199,302,258,280,281,313,297
SA0157,1398,1327,1362.5,1511,1554,1532.5
SA0063,0,0,0,0,0,0
SA0738,5053,3669,4361,3273,3124,3198.5
SA1154,450,401,425.5,425,431,428
SA0483,90138,91400,90769,87250,91034,89142
SA2462,467,341,404,1517,1591,1554
SA0342,10816,11289,11052.5,18639,18800,18719.5
SA_RS02200,7,9,8,2,10,6
SA1611,1704,1721,1712.5,1562,1503,1532.5
SAP016,1542,1605,1573.5,2299,2320,2309.5
SA0390,532,548,540,462,501,481.5
SA_RS06385,1618,1441,1529.5,390,378,384
SAS068,5996,4984,5490,2502,2992,2747
SA0640,7345,6186,6765.5,9772,10554,10163
SA1341,429,448,438.5,350,405,377.5
SA1788,627,547,587,1327,1356,1341.5
SA2473,818,762,790,587,612,599.5
SA2447,88253,97498,92875.5,63384,64054,63719
SA1631,74,46,60,119,109,114
SA_RS12790,39,37,38,26,20,23
SA0614,2364,2252,2308,1817,2007,1912
SA0143,5194,3816,4505,16730,16772,16751
SA1385,2735,3196,2965.5,2054,2229,2141.5
SA1218,157,149,153,133,210,171.5
SA1391,22299,22301,22300,18869,19321,19095
SA1613,762,643,702.5,926,927,926.5
SA_RS12850,13,14,13.5,11,11,11
SA0070,0,0,0,0,0,0
SA1951,0,0,0,0,0,0
SA2097,7026,6187,6606.5,9804,9843,9823.5
SA1821,0,0,0,0,0,0
SA2155,6388,6281,6334.5,6592,6767,6679.5
SA0278,482,372,427,565,682,623.5
SA1617,2463,2301,2382,4718,4923,4820.5
SA2173,3998,3756,3877,2021,2181,2101
SA1831,0,0,0,0,0,0
SA0573,8622,7515,8068.5,5900,6304,6102
SA2309,3369,2914,3141.5,1533,1710,1621.5
SA2179,8895,8442,8668.5,6588,6910,6749
SA_RS02110,42,28,35,32,40,36
SA0583,629,481,555,884,982,933
SA1739,934,908,921,1017,968,992.5
SA2089,23889,22075,22982,17119,17894,17506.5
SA1036,48809,52827,50818,27344,28615,27979.5
SA0996,16568,16755,16661.5,17185,17731,17458
SAtRNA02,20,19,19.5,25,34,29.5
SA1122,2915,2778,2846.5,4017,3990,4003.5
SA2022,36856,41972,39414,46525,48388,47456.5
SA0014,23185,22751,22968,18495,18962,18728.5
SA1116,20380,18635,19507.5,27146,27794,27470
SA1532,52931,64029,58480,42734,46469,44601.5
SA0459,71609,69453,70531,54660,54854,54757
SA0884,8100,8085,8092.5,5190,5210,5200
SA1207,13697,13959,13828,12063,12542,12302.5
