GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
SA2195,875,175,177,78,560,49,50,69,2183,720,462,250,709,261,221,142,668,310,114,194,653,82,61,60
SA2196,759,147,134,54,502,38,27,30,2060,541,351,174,645,217,153,109,543,218,81,137,465,45,41,51
SA2197,1924,326,283,66,940,42,11,27,3931,2059,763,137,1699,656,387,180,1426,726,223,530,1118,60,31,43
SA2198,381,113,55,21,163,10,2,4,1050,439,175,58,385,164,101,48,400,213,78,131,328,15,9,7
fmhA,1398,419,379,142,1332,599,292,229,2341,742,428,199,2174,1057,769,670,1661,912,337,616,1308,97,83,56
SA2200,38682,29893,21950,14310,29887,11868,5186,3066,32689,18049,9912,6372,24497,20161,15301,10759,30192,28954,18688,21626,27932,8950,4166,2023
SA2201,15945,11513,8569,5912,11188,3981,1804,955,13209,7275,3935,2451,9336,7462,5788,3809,11720,10639,6699,8070,11001,2713,1339,678
SA2202,26596,13258,13418,5772,15274,3804,1115,737,22564,12215,6627,2146,19812,14642,10691,6962,24442,20624,11999,15205,16718,3173,2176,1287
SA2203,2629,1555,1572,902,2690,1493,889,576,6304,3681,2607,1764,2960,2399,2327,2189,2195,2237,2162,2148,2703,1087,1006,537
gpmA,26363,21080,22325,10434,24263,23093,11922,2809,48849,50647,42445,24700,33751,44483,47645,44959,24377,39845,40659,41412,52500,43846,40138,14167
SA2205,961,361,381,134,535,93,50,63,2240,968,491,136,960,478,319,177,897,555,279,396,692,84,61,56
sbi,48517,47014,44745,36182,21054,4606,1738,852,208051,255471,227638,216020,145921,161167,165232,197809,65650,84330,75126,74993,56146,13770,6047,2992
hlgA,1986,754,454,261,794,213,137,101,10983,2966,1292,957,1304,373,248,198,592,208,180,163,346,116,59,74
hlgC,407,171,120,38,258,70,23,14,2382,934,308,128,442,245,151,134,192,114,98,70,346,118,71,48
hlgB,724,434,299,128,292,111,39,33,3193,2215,942,319,679,526,331,221,428,312,161,205,403,159,81,52
SA2210,208,61,99,23,69,54,6,13,362,372,194,30,144,161,104,25,185,165,30,113,155,41,57,18
SA2211,684,359,255,55,415,140,52,14,1413,1104,486,90,657,511,286,91,528,491,86,254,477,140,87,33
SA2212,517,183,181,28,241,43,18,10,1297,911,355,55,542,395,222,68,480,413,85,261,442,71,48,32
bioB,767,461,263,70,451,75,34,19,1883,1012,421,116,810,564,286,134,669,576,109,293,416,87,45,31
bioA,426,158,89,29,213,19,8,5,931,345,122,36,397,232,101,25,298,205,40,86,206,24,7,7
bioD,31,7,7,1,16,1,0,0,121,40,11,3,47,19,12,2,47,19,3,5,50,3,3,1
SA2216,294,107,84,10,192,21,8,2,589,302,92,16,196,130,41,15,285,215,15,102,162,27,8,7
SA2217,116,19,12,3,63,7,1,2,154,51,15,9,79,23,6,4,171,81,4,20,53,13,0,1
SA2218,32,5,10,5,15,8,1,3,39,1,1,0,13,2,0,2,14,1,0,1,21,0,0,0
SA2219,189,45,40,29,114,11,11,4,493,107,89,35,134,61,52,32,160,71,52,60,172,11,9,3
SA2220,2957,831,437,236,2081,123,76,133,6922,1396,525,300,2565,966,551,335,2163,915,309,529,1833,104,42,76
SA2221,3280,737,469,146,1776,112,44,84,5578,1809,727,154,3687,1514,771,364,3107,1473,304,780,2072,111,75,80
SA2222,10146,3055,1978,1296,7743,890,289,220,22770,5437,2304,1597,6985,2588,1374,859,7011,2872,1166,1659,6314,507,182,184
SA2223,479,445,333,258,319,102,55,42,1040,738,536,364,379,346,281,224,410,412,329,405,230,86,39,36
SA2224,2418,133,44,13,2445,52,19,18,5829,312,76,38,1841,137,45,28,1175,119,19,26,1780,46,22,26
SA2225,598,224,137,29,343,33,11,17,1391,363,151,39,375,163,97,30,387,191,56,96,249,36,21,6
SA2226,31853,20399,15686,7354,10564,3101,951,212,5945,3428,1650,603,2755,1791,1358,497,32628,31161,11584,22884,1039,334,177,77
SA2227,5503,2009,2752,652,1144,355,110,19,666,761,402,71,589,364,279,104,6319,6264,1963,4838,216,53,37,25
SA2228,9347,4771,4402,1260,3325,366,159,100,18767,10285,4700,1366,6773,4724,3262,1322,8220,7109,2573,5388,4028,300,190,198
SA2229,13735,7478,5254,1356,11643,5230,1870,569,34055,14836,5623,1318,9879,6280,3466,1128,9604,7444,1882,4686,10953,2630,1436,612
SA2230,2252,205,212,79,1263,49,34,33,6238,678,364,186,1689,273,186,98,1399,300,149,200,1542,60,44,42
SA2231,849,298,196,111,1765,982,798,614,2468,765,398,318,1022,457,321,237,555,314,104,197,823,277,203,87
SA2232,1168,640,353,201,1511,700,308,148,3288,1444,706,411,1360,815,486,295,835,592,247,357,1085,326,171,87
SA2233,3550,1974,1487,1113,3051,705,444,286,13917,4836,2827,2244,4394,2662,1985,1373,2973,2057,1523,1684,5106,850,484,290
opuCD,524,592,434,326,504,291,181,99,2121,2159,1448,983,625,715,628,520,502,639,442,545,1947,1005,582,275
opuCC,828,680,578,351,647,273,119,60,3384,2861,1794,1205,887,882,767,581,669,808,559,641,2647,1222,588,264
opuCB,285,279,239,133,227,106,30,19,1503,1284,854,447,397,395,365,269,271,326,209,299,1179,503,246,125
opuCA,554,462,442,203,384,142,56,44,2575,2396,1485,713,829,856,680,424,512,646,370,585,1948,754,431,176
SA2238,1305,684,405,85,1093,316,53,27,4809,2747,1148,157,1466,1111,732,271,1127,1061,225,595,1089,273,129,47
SA2239,791,497,351,162,1240,296,144,323,3675,1640,763,364,892,636,463,267,569,450,256,406,817,174,78,42
SA2240,2866,2087,2205,1690,1484,517,335,396,9254,8602,7759,7860,2335,2155,2078,2713,2022,2374,2240,2325,4190,1672,1911,2370
SA2241,5451,4192,3576,2072,3489,452,185,173,13019,7470,4294,2167,6638,5527,4867,3171,5820,6350,4040,5822,4479,750,231,137
SA2242,2364,875,502,156,1977,441,123,45,6947,1773,681,273,800,415,211,127,716,405,170,249,1583,370,111,43
SA2243,1236,317,148,45,1266,228,51,28,3749,720,242,87,638,236,92,31,481,217,48,120,1115,154,59,32
SA2244,4750,3926,1733,552,4533,2106,658,186,11205,7302,2890,738,3931,3235,2048,686,2848,3044,522,1792,3777,1802,601,127
