GeneName,dCshA_t000_v1,dCshA_t150_v1,dCshA_t300_v1,dCshA_t600_v1,PR01_t000_v1,PR01_t150_v1,PR01_t300_v1,PR01_t600_v1,CTA_t000_v1,CTA_t150_v1,CTA_t300_v1,CTA_t600_v1,CTA_t000_v2,CTA_t150_v2,CTA_t300_v2,CTA_t600_v2,dCshA_t000_v2,dCshA_t150_v2,dCshA_t600_v2,dCshA_t300_v2,PR01_t000_v2,PR01_t150_v2,PR01_t300_v2,PR01_t600_v2
SA0537,10533,7743,3946,1389,11306,5722,2224,439,21650,11894,5083,1948,7598,5520,3079,1178,5673,5515,1238,3081,9379,3929,1648,368
ung,3202,1275,632,210,2569,253,63,37,7424,2235,910,272,2359,1357,753,237,2120,1487,388,916,1919,240,94,72
SA0539,3591,1702,874,339,3256,442,193,94,7602,2871,1207,460,3124,1694,989,362,2634,1848,473,1058,2233,410,156,80
SA0540,1762,769,528,139,1429,262,102,55,3640,1953,785,218,1501,1005,581,256,1447,1126,303,774,1312,303,134,70
SA0541,15009,8486,5170,1455,14190,6160,2305,766,50244,25641,11968,3424,8762,6017,3812,1572,7014,5809,1388,3510,11311,3493,2194,815
SA0542,899,152,86,35,742,49,19,21,2414,406,161,60,928,210,91,33,772,218,26,92,876,56,24,25
SA0543,1517,199,108,63,1596,66,41,46,4554,463,136,74,1153,178,70,31,962,160,43,64,1395,54,28,29
SA0544,10131,7194,7108,1651,6590,5759,2264,1014,25713,25177,15363,3522,6615,7460,6422,4500,5156,6622,2402,5140,10084,5719,4515,1844
eutD,21572,15653,8842,4180,30788,22822,12939,4683,60733,40713,20966,12499,17653,16983,12362,7396,13516,13905,4998,8503,28733,17423,7847,2914
SA0546,17526,12347,9109,3150,19162,16582,6760,2519,52271,41372,22294,8609,14307,14794,11758,6890,12123,13966,5730,9107,24028,14553,7739,2788
mvaK1,6741,1252,358,189,5047,386,137,66,17779,1560,458,290,6848,1142,385,199,5402,986,194,400,4835,285,134,69
mvaD,7767,1540,699,385,6499,565,231,162,17825,2386,906,682,6498,1441,590,342,5353,1412,367,649,5646,438,212,129
mvaK2,6360,1543,648,285,6167,532,202,163,16807,2799,935,469,5492,1479,602,275,4623,1513,338,649,5186,504,223,143
SA0550,1214,91,43,31,1538,64,62,105,4117,179,66,42,1957,232,89,48,1344,195,50,103,1785,48,21,46
SA0551,1680,998,613,313,1676,580,301,152,3332,1675,839,485,939,567,338,195,826,649,256,430,1056,295,162,105
SA0552,316,96,68,25,330,65,22,16,516,189,74,42,169,84,29,25,194,68,17,44,197,24,10,14
SA0553,1194,218,165,79,1453,292,153,143,3541,643,281,210,1087,224,116,93,690,128,78,114,946,100,62,64
SA0554,198,33,48,6,193,35,17,10,382,237,101,40,202,58,35,27,121,50,12,43,203,24,19,5
SA0555,133,16,24,10,103,30,9,4,159,230,93,15,190,64,38,14,127,54,9,31,143,16,21,16
SA0556,90,22,37,5,74,16,16,7,199,219,75,18,151,60,29,15,112,51,14,28,135,16,28,11
SA0557,2722,2029,1310,740,2878,2427,1781,1464,7411,4592,2310,1362,1905,1380,1065,626,1420,1322,649,917,2115,980,697,577
SA0558,17193,11314,6969,2532,10052,3252,1866,1351,26602,11036,5281,2266,6271,3952,2525,1490,7473,5834,1824,3767,4654,1219,873,631
SA0559,1605,170,141,18,678,79,16,4,4283,1892,973,107,1498,601,285,136,1185,399,61,184,923,74,64,43
SA0560,9625,2767,1450,431,5976,1322,443,230,24020,12664,6727,2210,8099,4516,2590,1289,6387,3525,732,1837,6208,992,596,372
SA0561,4101,1999,891,294,3037,964,385,147,9140,6050,2995,1219,2775,2028,1148,522,2184,1803,289,829,2629,598,274,116
adh1,353,301,259,175,469,409,528,481,1129,863,729,824,861,3316,3973,5018,2221,7547,10783,8478,121872,178139,199338,286864
SA0563,4082,826,542,136,1726,31,4,14,14486,5838,3560,779,5819,2903,1861,1068,4068,1661,519,938,2112,220,381,462
argS,18199,6054,4708,1610,10088,1295,620,481,53654,27919,17375,4672,16786,11076,8111,4412,14272,9682,3068,5571,12303,1964,1768,1741
SA0565,72,19,10,4,62,7,3,4,210,122,45,13,134,41,32,10,73,34,10,15,81,7,8,10
SA0566,5969,1681,1258,260,4576,1609,682,158,15359,5400,2597,546,4459,2407,1760,740,4033,2144,619,1515,4457,1427,952,339
SA0567,2786,549,485,104,1276,124,45,14,5528,1362,669,216,2029,753,430,257,2048,767,254,500,1404,137,132,63
SA0568,2470,575,398,170,1658,170,57,45,5779,1653,831,363,1784,712,541,274,1723,892,374,591,1653,183,119,63
SA0569,4404,1083,889,216,2807,417,100,47,9161,3781,1865,512,3280,1607,1063,558,3067,1836,603,1179,2743,382,251,144
SA0570,17728,10296,5613,1672,10453,1550,868,556,38445,19280,7158,2134,11688,9985,5760,1985,14634,15992,2977,9729,12725,2223,882,415
SA0571,666,28,49,6,295,10,2,6,725,261,72,11,1250,240,91,22,1037,179,30,96,707,17,28,10
SA0572,2070,375,398,74,1707,823,290,239,2654,870,411,84,1174,519,322,181,996,569,136,312,1578,328,388,288
sarA,5931,1484,1726,396,4141,1015,317,223,12292,13144,5199,747,4760,4021,2611,1044,3971,4219,1283,3002,6082,1073,1244,354
SA0574,369,207,229,80,147,27,17,18,802,601,248,62,331,275,174,78,394,357,178,315,232,22,11,6
SA0575,15,8,10,3,11,6,4,7,40,33,15,13,15,12,5,8,15,8,7,9,16,1,12,13
SA0576,30,6,7,2,16,4,5,4,59,18,11,21,11,14,7,14,21,7,5,11,9,0,14,12
SA0577,451,84,84,9,292,28,4,3,1075,361,188,14,202,153,102,56,211,134,52,109,357,23,10,6
SA0578,1359,674,636,313,799,185,53,20,3391,2143,1214,533,840,765,687,352,863,802,508,770,1018,170,87,56
SA0579,275,122,139,69,157,48,12,13,709,573,254,80,211,221,201,119,193,267,122,243,177,51,23,15
SA0580,145,72,110,52,90,27,7,7,461,327,184,76,95,118,105,75,105,164,128,149,66,43,15,9
SA0581,992,846,793,501,594,258,98,41,2588,2440,1327,820,670,735,753,568,718,979,925,935,457,320,148,61
SA0582,107,49,65,22,38,32,10,3,231,355,198,47,88,126,77,57,101,156,112,139,53,41,27,7
SA0583,327,238,267,147,166,112,32,22,732,956,473,183,178,249,223,176,205,287,261,293,175,106,71,19
SA0584,324,283,317,161,175,122,41,23,907,1096,555,188,196,291,243,207,243,373,331,355,195,144,65,16
SA0585,3657,1135,1196,573,2205,300,92,106,11432,4477,2344,1264,3377,1824,1045,835,2593,1768,1100,1334,4778,812,372,183
SA0586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA0587,142566,122399,137775,83443,102132,62071,19757,5201,236958,216852,187861,133482,108056,117844,122714,119622,107486,133466,128269,128429,108736,59171,35074,10074
SA0588,94032,71421,84878,50515,53359,23605,8665,2001,137679,129619,97324,84775,71600,66259,64806,60504,74093,69914,67225,69000,60968,21162,15869,4378
SA0589,226663,195800,211610,137537,125931,49959,21615,4941,367280,300851,240894,207335,144921,131321,135643,125786,163294,154419,164543,148617,117568,43388,26118,7679
SA0590,5257,388,107,41,4241,256,46,62,10790,815,176,95,3871,675,177,68,3782,714,67,184,3712,303,56,64
SA0591,603,93,45,43,384,25,36,47,920,86,44,42,303,52,30,19,299,72,26,44,294,12,10,16
tagA,4772,400,145,53,4244,54,34,31,9994,491,169,80,3888,389,150,85,3158,403,95,141,3503,84,45,55
tagH,11601,2722,1518,346,7321,337,151,149,25780,5620,1598,359,9665,3386,1410,373,7410,3202,475,1527,5822,277,160,149
tagG,6263,342,379,65,3821,84,24,59,15430,1511,508,99,5387,927,360,166,4748,928,231,509,5513,103,60,81
tagB,1200,51,37,9,636,13,6,7,2530,210,79,17,939,91,33,29,742,89,27,48,840,15,14,18
tagX,2439,136,130,36,1669,64,27,23,6375,595,252,102,1953,306,100,60,1483,257,57,140,1869,66,32,41
tagD,1522,162,72,33,1276,114,28,37,3800,500,159,84,1331,256,90,62,947,206,34,81,1137,103,57,37
pbp4,4735,947,500,192,3794,116,80,123,13429,2295,685,263,5876,2191,917,275,4222,1678,247,825,3630,178,60,79
SA0599,10404,2975,2041,749,5924,765,247,138,50715,45854,27579,12317,12264,10226,8485,5166,6796,3099,1273,2292,7872,1792,910,274
SAS017,228,85,64,13,129,23,3,3,1629,1383,796,307,301,293,324,168,182,109,51,87,359,92,22,8
SA0600,12777,6279,4553,2543,10776,6153,2029,410,28556,15305,7794,5118,8812,6279,4305,2263,9049,6987,3642,4581,12842,4421,2259,542
SA0601,2495,661,422,167,1519,522,397,269,5192,1183,579,286,2305,897,514,331,2199,848,315,522,1430,242,187,167
fhuA,5019,883,476,278,3733,132,53,76,10004,1882,1123,1465,3348,935,583,519,4098,1241,507,739,1271,106,67,65
fhuB,2461,954,746,597,1759,137,87,128,4162,1945,1363,1782,1798,870,687,683,2366,1150,832,884,598,103,50,56
fhuG,3641,2922,2588,1945,2694,886,626,467,7653,4876,3574,4111,2565,2089,1736,1783,3137,2664,2268,2413,1205,410,273,223
SA0605,3469,3430,2795,1974,2381,2551,2293,1470,7979,9386,6949,5489,2211,2271,2107,1639,1486,1893,1137,1506,686,546,401,275
SA0606,3325,3312,2709,2109,2372,2487,2301,1672,6629,8829,6498,5226,1958,2032,1903,1578,1358,1733,1058,1410,716,519,405,288
SA0607,2288,1828,1962,853,1430,1325,801,532,5541,6532,4725,2322,1286,1388,1261,1031,1066,1288,816,1110,506,304,293,179
SA0608,15162,1881,2308,555,10485,964,362,364,42925,8639,5568,1458,9107,2525,1580,1102,7739,2432,896,1570,10199,446,379,250
SA0609,4650,1533,934,431,6473,1346,894,1259,15755,3632,1573,563,5155,2562,1363,593,4201,2221,469,1248,5344,758,397,170
SA0610,1553,427,272,44,857,58,22,19,3932,1386,481,119,1367,568,329,91,1238,598,132,334,966,39,23,22
SA0611,1002,153,173,26,494,28,8,17,1798,906,358,69,977,396,254,71,1041,409,71,257,962,28,22,19
SA0612,1715,143,53,17,1928,44,14,7,4382,226,57,35,1394,188,54,31,822,98,19,48,1229,29,8,14
SA0613,2818,164,185,60,1279,14,11,10,6293,700,380,100,2251,325,199,134,2067,377,185,287,1418,31,18,31
SA0614,1290,152,160,39,625,19,11,6,3213,617,410,124,1024,219,156,98,951,322,193,237,843,31,15,8
SA0615,2487,473,379,169,1524,67,49,40,4924,1135,584,312,1872,486,299,195,1651,579,335,467,1432,73,42,54
vraF,1747,459,337,144,1085,75,46,63,5114,1173,579,311,1439,457,294,208,1357,536,322,385,1070,69,34,34
vraG,2121,422,522,136,930,178,40,73,4611,2533,1091,293,2053,1078,622,309,2180,1154,437,750,1483,139,78,60
SA0618,4004,736,1030,100,2074,198,25,30,6012,4777,2175,176,4465,2037,1223,335,4362,2447,488,1756,4233,277,180,71
SA0619,15596,7237,3942,1492,17057,3200,1048,737,38881,13962,6136,2079,13695,6727,3669,1283,12451,6501,1552,3682,15039,2202,632,381
SA0620,47242,17046,7079,3461,34060,3362,1305,1041,140467,19614,7669,6446,27418,10791,5297,2253,26765,11579,2736,5272,18950,2265,542,413
SA0621,627,160,205,25,280,91,19,10,1710,825,328,32,766,366,246,84,572,348,96,215,878,87,47,22
SA0622,904,126,124,11,408,42,14,4,1258,680,170,18,1062,372,136,24,982,392,39,175,860,74,22,19
SA0623,404,95,214,14,54,28,3,0,297,627,276,12,1175,1031,745,259,423,348,79,256,170,22,34,7
SA0624,11427,7583,4175,1831,10969,2353,621,225,29759,14146,6965,2717,11148,7656,4846,2384,8387,7836,2325,5062,10414,2853,932,334
SA0625,1788,1294,766,320,1455,462,178,45,5070,3072,1560,548,1833,1431,1031,470,1617,1636,555,1070,1938,556,189,55
SA0626,1888,91,107,32,1477,32,9,9,4965,489,278,73,1871,221,139,67,1518,232,101,168,1752,55,40,39
SA0627,3565,541,496,193,2723,152,45,32,10317,1968,1089,417,2856,741,539,329,2496,834,375,623,3141,264,137,106
SA0628,2686,948,757,320,2316,243,88,50,7045,2789,1314,604,2735,1307,813,374,2397,1387,512,841,2703,349,212,83
SA0629,774,210,208,65,467,88,11,21,1311,1013,461,98,1174,519,275,149,962,527,156,329,898,123,89,48
SA0630,1497,27,37,9,665,6,2,2,2351,112,38,5,1209,100,40,22,1174,130,12,60,602,3,6,4
SA0631,173,6,14,3,64,2,3,0,385,70,16,5,147,32,8,4,109,25,3,14,92,1,7,4
SA0632,3591,192,70,12,2777,47,8,10,9234,622,133,20,3367,429,112,45,2537,417,49,120,2840,73,27,33
SA0633,3603,213,91,28,2628,98,31,27,9795,660,184,84,2540,338,102,32,1986,354,34,109,3173,94,27,29
SA0634,1070,225,121,69,916,80,27,10,3095,539,215,165,746,225,111,51,688,230,82,135,1085,99,50,19
SA0635,3396,1163,697,304,4354,2548,1059,322,9445,3342,1572,847,2297,1002,655,300,1987,856,327,523,4401,1772,881,257
SA0636,1998,223,104,28,2595,1190,261,63,5628,1194,307,78,1469,440,232,86,1219,273,42,103,3236,944,413,89
SA0637,4753,398,169,36,5699,2025,383,87,12503,1914,481,107,2957,792,371,115,2040,350,57,143,5434,1302,639,156
uppP,4683,2023,1385,524,4030,1201,287,105,13680,5737,2740,973,4221,2611,1757,905,3809,2866,1443,2004,3312,593,217,89
SA0639,2061,275,227,103,1672,44,23,42,5458,773,377,243,2115,482,273,156,1718,424,176,298,3318,121,56,60
SA0640,2698,608,486,178,1990,124,50,49,7410,1674,826,370,2118,1012,560,302,1902,1034,420,577,4617,322,131,98
SA0641,47989,20377,19764,6823,30220,6987,1673,756,141494,72077,36534,10488,39344,32744,24605,14137,39847,40285,14967,26063,59562,13759,5194,1477
SA0642,946,217,123,41,587,37,12,10,2304,428,183,79,630,216,113,64,591,244,116,150,1417,136,31,13
SA0643,4690,1400,761,187,3409,343,70,51,10771,2830,983,285,3529,1530,679,232,2974,1576,304,786,3748,611,132,65
SA0644,400,114,63,11,268,32,16,11,1062,313,101,22,397,200,79,21,358,228,32,90,401,103,25,9
SA0645,2080,1937,2136,1603,1799,1696,1307,1426,4481,4416,3545,3069,1816,1812,1740,1825,1523,2063,1955,1982,3331,1329,1080,964
SA0646,3586,2696,2997,1720,2401,1992,1230,1062,7631,6300,5313,3439,2439,2555,2499,2441,2237,2859,2574,2866,4345,2008,1509,1041
SA0647,535,235,326,92,307,136,122,90,1277,835,547,204,419,301,338,203,396,393,258,327,338,52,90,83
SA0648,408,107,195,54,179,64,41,60,400,638,363,76,460,314,215,157,406,338,145,306,265,30,80,76
SA0649,1137,1103,1259,440,828,606,369,287,2553,2095,1584,491,587,631,676,568,670,963,767,953,565,309,270,177
norA,878,200,183,123,879,83,77,100,1987,296,168,129,1214,513,401,316,746,416,264,278,788,88,30,33
SA0651,3997,62,44,9,1232,33,9,9,3027,386,106,21,3028,303,116,33,3561,271,40,101,1449,18,41,28
SA0652,385,250,154,73,367,215,80,49,900,437,227,144,431,230,143,96,372,238,97,173,494,270,198,93
SA0653,475,78,64,20,378,32,15,11,1446,218,96,33,687,165,89,52,892,396,75,158,1131,108,68,42
fruB,914,432,315,229,830,211,118,108,2021,888,613,659,1753,735,422,483,2207,1148,514,715,1850,400,232,143
fruA,3757,3476,2298,1868,3615,1369,655,486,9815,6092,3734,4459,5193,3985,2791,2583,7055,7212,3842,4789,7320,3399,1238,746
nagA,4642,962,367,110,4263,174,87,49,11709,2031,596,266,4136,1413,619,176,2579,804,128,343,3222,194,86,79
SA0657,10793,1109,612,140,9034,455,147,91,39846,3676,1227,342,7490,1633,821,320,6264,1280,340,554,9483,440,193,139
SA0658,1547,580,398,59,1182,806,296,81,3395,1964,874,112,637,412,247,70,454,329,74,200,906,377,276,121
SA0659,2515,854,711,161,1421,715,307,78,5753,3169,1474,366,1033,687,453,233,1007,728,256,462,1517,468,412,133
saeS,15854,9123,10080,2864,11306,11586,5856,4041,60940,62288,37425,11928,19473,17059,13455,8637,13704,13766,5713,11171,22488,13108,17842,18607
saeR,15423,8881,8896,2761,11682,10822,5227,4347,65377,51430,31149,10663,14545,13738,11286,7806,9953,12022,5405,9187,20179,12775,12847,13784
SA0662,1597,855,929,359,1020,1218,837,798,6236,6231,3834,1565,1795,1772,1609,968,1196,1604,725,1254,2916,1657,1989,2316
SA0663,5057,3548,4329,982,3294,4398,1597,733,36431,34726,20181,3500,5035,5057,4684,2628,3096,4253,2258,3762,7516,5091,4454,2199
SA0664,313,13,8,1,134,16,10,4,154,62,7,1,723,72,8,8,556,72,4,18,427,21,15,9
SA0665,1057,333,231,179,1268,246,106,121,3165,738,367,470,1491,466,194,197,1155,372,241,223,1831,361,116,104
SA0666,445,86,69,23,362,57,13,22,1233,291,121,36,627,179,57,58,427,161,67,77,714,86,39,38
SA0667,501,89,45,16,441,49,15,37,1611,257,60,29,928,241,68,30,671,200,45,75,822,105,15,26
SA0668,628,146,89,86,421,11,14,8,1758,224,162,115,563,119,74,62,470,129,83,103,468,18,9,6
SA0669,1541,320,286,164,1070,95,53,37,3286,872,511,324,1376,359,262,172,1275,422,249,341,1132,80,70,42
SA0670,908,211,143,63,580,27,12,9,2089,462,268,149,763,205,160,104,735,255,131,175,579,39,28,28
SA0671,179,9,24,8,63,5,1,2,189,165,59,19,221,67,50,26,201,67,32,62,201,4,9,11
SA0672,1964,152,297,74,892,40,17,22,3234,1306,784,243,2047,619,480,262,1958,737,419,602,1594,94,90,87
SA0673,4455,1406,1217,859,3539,289,112,78,10988,3758,2509,2291,4195,1673,1345,1073,3739,2062,1647,1582,3633,528,239,181
SA0674,45603,8757,7878,2696,28886,2333,702,910,105666,22417,11767,5829,36878,11212,6646,4024,34591,12941,6105,8280,40719,2744,1267,1113
SA0675,6685,402,278,102,6001,98,68,128,18388,788,313,154,6594,518,283,167,4713,529,161,306,6265,98,72,86
recQ,6061,1090,951,337,4705,350,119,109,15269,3131,1509,516,5354,1458,872,502,4660,1594,620,1044,4606,426,235,195
SA0677,3895,386,176,58,4046,533,98,49,10098,1029,259,113,2265,431,167,73,1543,257,69,98,2420,199,85,37
SA0678,4499,710,380,115,3965,907,156,71,10754,2569,957,256,2833,877,357,180,2079,639,148,278,2883,385,179,78
SA0679,1866,954,696,195,1886,1225,577,202,4727,2198,965,303,1473,899,507,241,1159,1007,278,622,1569,583,353,177
SA0680,2629,1005,992,373,1798,648,178,96,7015,3676,2220,874,1990,1323,928,751,1710,1483,762,1012,2130,546,404,283
SA0681,2372,345,276,163,1787,295,89,72,6298,881,483,212,981,324,288,202,871,350,253,322,2183,160,111,74
SA0682,42462,53576,48246,34641,29504,28006,13854,4188,86129,88139,62541,37842,25403,30885,30714,24031,24752,38330,30293,38197,23626,14248,9201,2908
SA0683,2230,857,655,421,1457,152,70,99,6117,2030,1022,534,2684,1428,747,424,2458,1698,727,1078,2033,233,86,41
SA0684,2824,507,633,262,1212,48,16,30,6007,1679,903,257,3742,1367,697,417,3294,1650,729,1001,1971,40,51,58
nrdI,4694,271,118,69,4679,181,80,109,9703,491,192,143,3220,301,101,99,2572,218,79,101,5043,183,88,113
nrdE,21021,5000,4101,1850,17404,1443,509,428,48742,11865,6238,3360,13624,4722,2512,2072,11781,4925,2443,2913,21452,2221,1041,686
nrdF,16455,5087,3648,819,12764,2371,400,263,38762,15008,5717,1386,8649,5197,2384,1128,8291,5832,1321,2513,14899,3315,1253,579
SA0688,819,257,114,37,483,21,8,11,871,186,53,25,552,194,90,36,1609,647,94,280,180,16,4,8
SA0689,312,42,32,3,107,7,1,5,222,97,24,2,225,99,30,19,648,295,38,138,74,3,1,5
SA0690,447,132,81,10,244,25,6,9,514,175,41,9,324,201,89,21,856,504,83,215,152,16,8,7
SA0691,1537,1078,1073,187,1293,1345,622,257,1876,2220,1198,216,1882,2555,1944,895,3387,5600,1149,3834,640,354,235,67
SA0692,2281,721,539,217,1750,285,77,51,6323,2105,937,398,2209,1067,656,381,1834,1059,450,657,1994,332,160,133
murB,5055,1674,882,589,4591,548,215,160,14215,3574,1623,1039,4644,1914,1205,711,3742,1736,787,1001,4262,718,326,229
SA0694,381,9,10,3,168,1,2,4,425,75,34,3,470,29,28,6,439,53,12,30,242,0,7,5
SA0695,1384,226,285,93,555,30,6,12,4680,6556,4987,1440,1963,1333,1230,809,1255,599,308,477,1236,93,39,35
SA0696,4840,757,634,200,2595,151,118,151,13426,5900,4150,1685,3207,1190,994,553,2811,863,267,564,2382,103,43,28
SA0697,4399,481,301,127,4033,193,116,134,11700,1726,847,465,4812,869,436,284,3144,620,205,325,3216,201,105,99
pepT,10205,3452,1933,973,9003,1260,438,254,22870,5903,2554,1477,7506,3179,1752,909,6542,3034,1076,1753,7430,1010,347,289
SA0699,1269,534,386,223,958,109,51,34,2651,877,451,261,979,453,267,143,899,459,213,335,827,91,38,40
SA0700,1000,285,146,82,754,34,15,12,2427,404,158,99,901,271,135,53,729,317,91,151,706,28,18,23
SA0701,3162,1356,1593,495,1422,213,119,169,6357,6120,3388,688,4675,4281,3390,1553,4798,5810,2429,4781,2250,232,161,91
llm,2599,279,195,49,1487,40,19,36,6481,745,254,70,2465,601,289,88,2074,602,122,339,1990,49,16,33
SA0703,2590,209,75,32,1898,71,43,36,5111,444,80,60,1634,198,77,37,1371,158,37,66,1469,44,17,42
SA0704,9364,2528,1645,1028,9721,1175,343,208,22013,4279,2365,2078,7340,2234,1427,1024,5923,2253,1485,1604,6405,722,248,196
SA0705,86,18,15,8,81,4,5,2,253,44,34,27,101,20,12,6,82,25,15,21,84,1,3,0
SA0706,40,13,19,6,34,2,1,2,160,52,41,17,48,18,21,11,38,30,17,27,31,4,5,2
SA0707,19931,8613,7653,2106,18148,9885,6217,3210,59476,38243,25096,9346,12154,9031,7389,4696,8333,6973,2361,4821,10182,4925,4162,2278
secA,23413,5293,2869,1236,19943,1774,948,608,62144,13326,5618,2302,25309,9015,4535,2024,17746,7648,2491,4269,16677,1900,870,537
prfB,8337,5173,2670,1166,6329,1433,629,326,17797,8745,3648,2157,7815,4935,2941,1409,5968,4723,1211,2808,4761,1134,511,315
SA0710,342,146,103,45,295,52,35,26,881,307,150,98,319,163,85,50,284,171,64,80,255,52,19,9
SA0711,970,26,30,5,350,3,5,7,1972,137,62,16,1092,74,42,31,796,71,30,42,839,8,19,21
SA0712,463,6,10,2,147,2,1,0,591,73,31,6,556,36,22,14,390,41,15,24,411,3,12,9
uvrB,6076,1196,759,322,5437,337,198,235,14226,2234,1027,631,5744,1371,718,460,4495,1372,462,762,4912,324,201,227
uvrA,12453,5645,2838,1372,12554,2551,967,847,28726,10738,3904,2316,10072,5718,2676,1391,8326,5303,1374,2480,10081,2813,895,603
hprK,9651,2579,1397,520,7431,986,338,95,23704,6665,3023,1114,7232,3305,2164,1205,5638,2708,1064,1881,6000,955,358,154
lgt,3978,1350,676,255,3198,514,159,56,10501,3186,1327,473,3569,1680,977,520,2854,1306,502,850,2998,546,188,72
SA0717,3060,1195,649,274,2425,569,198,54,8167,2866,1256,610,2154,1303,726,412,1894,1106,397,680,2167,524,176,64
SA0718,4492,1043,1105,263,2542,672,120,49,9473,5458,2447,473,3575,2254,1442,737,2952,2033,778,1357,3448,647,420,129
trxB,15542,13706,9784,6180,15585,9530,6991,4338,36792,27584,15646,10401,16497,14217,9620,6382,8328,9341,4207,6372,12903,7697,5241,2965
SA0720,4018,761,547,189,2125,171,53,36,8085,2502,947,347,3143,1172,473,243,2542,1149,267,544,2514,226,115,64
SA0721,8752,4835,2643,1737,6496,1100,406,347,21449,11559,5670,3315,6044,3387,1840,1055,4666,3303,1384,1946,5157,1036,368,146
SA0722,7821,3958,2576,1103,5216,1076,282,193,21166,11504,5321,2255,5258,3150,1692,861,4311,3608,1399,2112,5140,1212,421,127
SAtRNA15,19,6,7,1,13,1,3,0,41,4,1,4,7,1,0,1,2,2,0,0,13,0,0,0
clpP,24189,19569,17107,7182,22477,15783,12962,7187,55609,48557,31533,13150,12795,12584,10064,5947,10175,12794,5768,10168,14979,8472,6990,3854
SA0724,2900,570,313,151,1969,112,46,44,6551,1155,592,338,1738,371,214,117,1322,361,133,228,1950,149,63,65
SA0725,7241,1628,560,395,6052,344,159,375,16427,2940,1072,436,6588,1614,715,441,5431,1589,405,785,6747,369,149,127
gapR,21358,10353,6199,3290,16316,3938,2851,2327,82134,29360,12482,6319,62360,38643,21758,12717,42701,27917,9167,17685,125873,31129,14398,8624
gap,31843,40301,36500,24692,51652,71798,69423,50834,124926,128180,106724,90487,82978,113349,116051,109559,49540,85189,65203,77971,269718,289498,252907,223228
pgk,9152,11073,12032,7851,11700,18231,16397,13543,37428,45550,40517,29370,22518,33707,37389,39700,12414,25604,23473,26801,68668,75923,81566,78583
tpiA,9677,13588,12685,10729,13701,21823,22551,17715,37379,46393,40861,44621,22831,33631,36446,41732,12226,24759,25859,25658,62299,82792,79184,79103
pgm,21309,31236,29884,29052,30976,52379,57801,56136,73082,103644,91577,110607,46063,71519,78001,92406,24848,52645,58136,55050,122190,176566,174678,186240
eno,84813,120696,96351,92084,90308,127310,144639,140002,221808,235933,193463,214593,73649,107951,111040,119806,48187,101655,100874,99197,141218,202421,179166,193560
SA0732,1287,49,24,3,564,17,6,11,1955,488,151,17,1482,353,128,56,1464,369,54,141,1368,37,88,75
secG,12681,2685,997,383,10956,391,216,373,20714,3281,1144,488,13979,4525,1663,613,11242,3890,423,1621,6628,387,212,212
SA0734,5121,1275,643,199,3917,451,207,229,12249,3450,1283,346,7481,3424,1656,576,5335,2860,464,1418,4094,323,146,122
rnr,18111,7466,4318,2202,16005,3517,1921,1547,51029,16895,7326,3928,18497,11368,6191,2413,15088,11601,2769,6236,14971,3264,1282,755
smpB,3740,1837,881,302,4105,925,377,265,9513,4158,1639,588,3675,2640,1272,508,3112,2725,514,1333,3358,1108,363,135
SAtmRNA01,606889,1205579,1134612,1821430,728562,1235873,2027477,2743502,1012237,1155505,2664134,4297331,116932,270943,325124,593593,102301,286170,412697,554490,193888,468360,599941,1030940
SA0737,18,9,11,1,6,1,0,0,70,60,30,13,20,35,13,19,20,12,21,21,9,3,2,4
SA0738,174,50,50,39,161,105,128,205,248,176,155,129,199,54,61,58,172,37,28,37,200,54,123,157
SA0739,355,101,161,81,429,322,224,312,796,666,525,244,396,170,169,210,214,102,98,84,480,221,396,606
SA0740,83,6,12,0,31,6,4,2,169,46,24,7,66,27,10,4,53,28,9,16,67,0,0,2
SA0741,530,185,165,106,566,211,120,136,1835,692,443,432,602,456,336,439,507,352,416,349,663,352,337,313
clfA,12592,5234,3230,2522,18936,7106,4415,4267,48726,16366,8469,6921,9245,5630,4484,4405,6423,5259,4229,4531,16191,8400,5558,4214
SA0743,746,276,271,184,586,307,247,132,1602,913,668,683,1192,945,815,876,886,824,934,878,852,513,542,348
ssp,244,145,182,95,127,43,20,7,1402,1633,1560,1028,329,364,381,359,206,276,259,275,188,114,119,45
SA0745,86,64,55,22,59,58,24,6,352,274,276,121,152,164,168,153,133,180,206,166,191,128,133,47
SA0746,2653,3691,4696,3131,2353,4341,3161,2925,12737,16555,17793,13904,5460,8287,9956,12242,2117,3781,5204,4145,6354,6520,9816,12979
cspC,66389,3400,1544,1899,106222,2395,2813,3746,192328,4560,3124,5875,51981,5207,2087,2681,43732,4851,1572,1528,56934,2872,2648,3525
SA0748,392,42,63,9,224,37,7,3,715,254,84,13,339,131,43,15,295,92,20,49,188,16,23,9
SA0749,375,42,44,7,220,24,6,2,725,206,76,7,305,116,31,11,279,117,29,54,255,14,6,7
SA0750,735,135,59,33,621,7,8,18,1764,241,79,42,659,153,61,18,556,180,43,100,428,10,4,10
SAS018,284,30,31,5,125,9,3,3,365,328,84,8,263,118,60,16,177,118,9,79,266,16,19,14
SAS019,174,17,24,4,57,5,2,1,268,171,46,5,152,44,15,9,131,64,6,32,165,6,3,3
