gene_ID,C1_81,C1_82,C1_83,D1_81,D1_82,D1_83,E1_81,E1_82,E1_83
SKAG_01726,6366,6062,5947,3940,4195,5739,3973,3878,3129
SKAG_01725,46501,47748,45525,25713,27786,33658,24520,24119,19570
SKAG_01724,3907,4444,4376,1261,1540,2081,1573,1950,1417
SKAG_01723,1911,2221,1274,3577,3824,4466,4155,2792,2053
SKAG_01722,6508,5812,5631,1876,2487,3545,2678,3275,2279
SKAG_01721,3503,3378,3377,1021,1522,1908,1645,1896,1092
SKAG_01720,11944,10492,10845,4897,5842,8056,5161,5985,4834
SKAG_01054,326,302,287,198,266,210,203,225,341
SKAG_01057,21122,18194,17448,13872,15321,18224,13991,15104,11880
SKAG_01056,812,937,839,245,333,470,527,603,335
SKAG_01051,514,511,533,147,274,350,239,325,220
SKAG_01050,1294,1385,1322,359,537,734,551,681,491
SKAG_01053,18,14,18,9,10,12,12,16,9
SKAG_01052,95,89,86,19,43,43,36,50,38
SKAG_01059,9733,9963,9123,2376,2933,3366,3260,4222,2880
SKAG_01058,30867,25694,25404,16478,19005,23160,19614,23180,16203
SKAG_00847,123748,116701,126334,54946,70091,75268,66954,92174,64639
SKAG_02627,23191,23266,16519,4436,6892,7931,10962,15277,7265
SKAG_00846,151023,141192,139794,76251,90180,106889,93254,120985,83160
SKAG_02625,5507,5711,5032,2097,2368,2805,2399,2814,1830
SKAG_02624,35730,36247,34142,14370,15614,19166,15131,18257,13798
SKAG_02623,20240,21201,24046,9095,10664,13250,10370,11169,9663
SKAG_02622,15652,13481,15671,3102,4366,6104,6080,10047,5266
SKAG_02621,3591,4530,3029,1156,2455,2305,3040,2558,815
SKAG_02620,1797,1756,1698,313,573,700,813,1161,562
SKAG_02629,5747,6052,6154,2188,2377,3121,2646,3304,2001
SKAG_02628,12418,13068,12575,4155,5085,6162,5121,7516,5091
SKAG_01370,508,609,595,225,320,300,306,453,267
SKAG_01371,678,748,723,133,194,300,287,440,210
SKAG_01800,231186,240877,229349,90768,95620,114126,101428,111966,75477
SKAG_01801,116,112,98,58,118,118,102,88,37
SKAG_01374,2725,3074,2908,795,1038,1359,1591,1967,1041
SKAG_01807,48,27,40,28,86,133,31,153,120
SKAG_01376,785,711,692,482,480,610,564,922,589
SKAG_01377,1512,1440,1296,520,885,967,991,1783,809
SKAG_00283,50577,49855,49616,25055,28913,34078,27005,33906,25196
SKAG_02719,0,0,0,0,0,0,0,0,0
SKAG_02718,0,0,0,0,0,0,0,0,0
SKAG_00282,49125,48973,47876,26227,31773,36260,29896,35542,26033
SKAG_02713,261,274,247,77,180,164,155,165,121
SKAG_02711,59,68,82,32,31,45,21,58,38
SKAG_02710,47,76,25,9,29,43,25,60,18
SKAG_02717,0,0,0,0,0,0,0,0,0
SKAG_02716,0,0,0,0,0,0,0,0,0
SKAG_02715,0,0,0,0,0,0,0,0,0
SKAG_02714,0,0,0,0,0,0,0,0,0
SKAG_01809,0,0,0,0,0,0,0,0,0
