,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_01383,27,18,24,19,31,33,35,37,19,20,10,13,13,13,3,25,39,55,29,13,,,,,,,,,,,,,,,,,,,,
SAA6008_01384,12,11,14,8,16,12,12,15,6,17,2,4,3,7,4,6,14,23,12,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01385,35,108,143,41,26,22,94,116,37,16,13,45,64,59,21,12,77,117,32,14,,,,,,,,,,,,,,,,,,,,
SAA6008_01386,96,205,344,155,150,74,153,276,108,104,70,124,230,202,140,39,134,254,87,58,,,,,,,,,,,,,,,,,,,,
SAA6008_01387,92,131,130,113,96,29,70,94,49,44,30,54,59,180,79,16,33,74,47,14,,,,,,,,,,,,,,,,,,,,
SAA6008_01388,42,61,94,49,38,62,143,184,99,62,70,100,134,165,56,50,111,137,67,41,,,,,,,,,,,,,,,,,,,,
SAA6008_01389,282,524,748,268,221,46,77,114,74,31,138,198,193,308,55,46,83,123,74,33,,,,,,,,,,,,,,,,,,,,
SAA6008_01390,1443,1810,2583,1745,1325,207,306,332,365,189,520,671,643,1326,336,174,309,270,290,139,,,,,,,,,,,,,,,,,,,,
SAA6008_01391,1185,1492,1945,1728,1181,171,270,256,370,133,424,560,518,1299,256,167,280,245,289,111,,,,,,,,,,,,,,,,,,,,
SAA6008_01392,630,1307,1370,666,1085,91,204,162,162,129,216,442,285,629,259,94,262,162,163,119,,,,,,,,,,,,,,,,,,,,
SAA6008_01393,128,258,329,164,177,129,348,231,223,134,218,345,412,519,225,106,379,266,166,129,,,,,,,,,,,,,,,,,,,,
SAA6008_01394,66,109,152,60,106,54,121,98,87,93,99,130,120,140,131,39,113,83,73,61,,,,,,,,,,,,,,,,,,,,
SAA6008_01395,97,194,222,152,130,43,123,53,89,66,81,129,109,151,129,42,77,65,56,47,,,,,,,,,,,,,,,,,,,,
SAA6008_01396,27,84,86,41,30,33,138,198,134,34,62,141,190,317,72,30,110,162,131,42,,,,,,,,,,,,,,,,,,,,
SAA6008_01397,62,108,156,61,51,50,166,287,156,47,91,162,313,405,61,35,135,257,128,39,,,,,,,,,,,,,,,,,,,,
SAA6008_01398,11,39,41,13,16,7,46,47,32,7,14,34,64,110,8,4,23,41,24,3,,,,,,,,,,,,,,,,,,,,
SAA6008_01399,16,22,30,5,23,10,9,13,8,10,8,6,12,19,10,0,13,12,4,6,,,,,,,,,,,,,,,,,,,,
SAA6008_01400,8,7,13,5,3,20,48,117,45,12,15,31,89,150,21,24,75,215,51,12,,,,,,,,,,,,,,,,,,,,
SAA6008_01401,0,0,0,0,0,3,20,5,16,18,0,1,0,1,0,8,13,2,26,17,,,,,,,,,,,,,,,,,,,,
SAA6008_01402,5,9,11,7,10,1,3,4,6,3,4,5,7,3,0,0,2,8,3,2,,,,,,,,,,,,,,,,,,,,
SAA6008_01403,37,52,84,41,29,49,102,164,89,44,52,79,215,291,53,40,102,229,100,40,,,,,,,,,,,,,,,,,,,,
SAA6008_01404,0,5,7,4,4,5,6,11,6,1,2,8,8,12,1,1,10,16,6,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01405,2,6,2,5,3,5,7,19,10,7,5,3,7,7,2,1,7,14,2,3,,,,,,,,,,,,,,,,,,,,
SAA6008_01406,1,0,5,4,0,5,10,34,15,2,7,1,8,12,3,2,5,11,7,4,,,,,,,,,,,,,,,,,,,,
SAA6008_01407,0,2,1,0,1,7,6,27,12,7,2,3,2,6,2,1,2,13,3,5,,,,,,,,,,,,,,,,,,,,
SAA6008_01408,17,31,44,19,8,39,143,117,80,41,77,129,130,85,45,51,177,137,55,31,,,,,,,,,,,,,,,,,,,,
SAA6008_01409,80,161,179,125,100,232,567,492,338,291,310,489,572,698,228,181,524,529,274,198,,,,,,,,,,,,,,,,,,,,
SAA6008_01410,6,11,15,5,7,40,91,251,64,24,31,28,59,97,4,33,83,253,81,20,,,,,,,,,,,,,,,,,,,,
SAA6008_01411,13,14,16,5,14,41,67,78,38,20,38,49,82,74,23,27,67,102,32,15,,,,,,,,,,,,,,,,,,,,
SAA6008_01412,35,42,46,27,35,90,150,330,154,87,73,82,190,288,40,71,130,322,97,55,,,,,,,,,,,,,,,,,,,,
SAA6008_01413,6169,7324,7376,4039,6467,6204,6721,5884,4464,4818,5192,5460,5337,6290,2876,3918,5632,5708,3895,3741,,,,,,,,,,,,,,,,,,,,
SAA6008_01414,375,692,871,559,548,187,473,755,456,234,209,464,535,1108,338,133,383,771,469,171,,,,,,,,,,,,,,,,,,,,
SAA6008_01415,480,562,750,771,707,214,311,290,436,280,280,349,294,653,345,152,269,319,408,146,,,,,,,,,,,,,,,,,,,,
SAA6008_01416,113,188,278,255,215,29,77,84,81,56,29,58,55,99,32,14,63,75,50,27,,,,,,,,,,,,,,,,,,,,
SAA6008_01417,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01418,596,848,1118,677,771,562,757,1839,820,716,309,351,1261,1387,311,374,775,2166,803,591,,,,,,,,,,,,,,,,,,,,
SAA6008_01419,2536,4083,5733,3027,2128,2017,4932,9756,3931,1862,1367,2316,6649,6883,969,1566,4871,11496,4060,1591,,,,,,,,,,,,,,,,,,,,
SAA6008_01420,18,44,74,25,37,3,30,39,11,16,12,20,40,96,17,6,18,32,14,15,,,,,,,,,,,,,,,,,,,,
SAA6008_01421,133,136,222,177,151,52,61,136,139,56,97,135,166,575,89,52,72,122,168,38,,,,,,,,,,,,,,,,,,,,
SAA6008_01422,96,164,170,98,111,26,63,86,55,32,25,102,97,293,29,26,57,80,47,21,,,,,,,,,,,,,,,,,,,,
SAA6008_01423,267,377,611,348,353,460,810,1006,621,503,639,827,960,1261,763,426,744,822,551,406,,,,,,,,,,,,,,,,,,,,
SAA6008_01424,38,63,96,64,41,107,248,256,209,119,252,419,417,344,156,113,258,286,183,110,,,,,,,,,,,,,,,,,,,,
SAA6008_01425,25,28,47,26,24,23,63,73,53,20,67,93,100,204,46,35,74,90,46,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01426,58,51,87,95,56,79,133,169,151,70,137,203,193,915,104,59,121,180,155,58,,,,,,,,,,,,,,,,,,,,
SAA6008_01427,26,32,73,46,34,27,80,115,75,29,63,78,109,351,42,21,44,110,45,11,,,,,,,,,,,,,,,,,,,,
SAA6008_01428,36,34,86,43,32,22,33,69,45,21,19,49,63,301,12,11,14,55,25,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01429,1371,2519,3018,1056,1081,267,697,876,376,200,539,914,1367,1041,267,237,575,1000,300,166,,,,,,,,,,,,,,,,,,,,
SAA6008_01430,48,54,66,50,31,23,53,108,43,39,35,55,129,146,44,17,59,98,32,26,,,,,,,,,,,,,,,,,,,,
SAA6008_01431,8,24,28,19,11,17,69,81,35,42,39,61,128,114,59,22,56,94,29,27,,,,,,,,,,,,,,,,,,,,
SAA6008_01432,81,95,142,91,69,135,239,451,259,158,161,214,445,617,148,87,222,453,205,97,,,,,,,,,,,,,,,,,,,,
SAA6008_01433,23,49,67,31,27,96,201,336,161,91,121,178,354,480,120,66,164,300,145,69,,,,,,,,,,,,,,,,,,,,
SAA6008_01434,22,25,39,13,6,56,92,156,77,45,70,86,153,151,63,39,91,138,60,18,,,,,,,,,,,,,,,,,,,,
SAA6008_01435,35,55,63,34,42,69,123,167,130,47,87,105,173,264,81,37,85,149,71,41,,,,,,,,,,,,,,,,,,,,
SAA6008_01436,0,0,1,0,0,1,2,2,1,0,0,2,0,1,0,0,2,2,1,2,,,,,,,,,,,,,,,,,,,,
SAA6008_01437,17,9,16,6,8,93,230,89,224,112,30,68,90,119,23,54,189,81,108,68,,,,,,,,,,,,,,,,,,,,
SAA6008_01438,57,60,97,99,55,120,254,440,388,138,144,182,357,659,88,90,201,428,226,85,,,,,,,,,,,,,,,,,,,,
SAA6008_01439,57,50,64,58,50,127,185,309,262,130,111,137,215,351,93,89,145,281,133,66,,,,,,,,,,,,,,,,,,,,
SAA6008_01440,60,72,104,94,71,97,159,182,165,112,57,107,108,268,48,32,79,138,91,34,,,,,,,,,,,,,,,,,,,,
SAA6008_01441,1097,2233,2628,1294,1358,1634,4145,3073,2964,2087,1602,3050,3330,4694,2768,1129,3853,3152,2493,1495,,,,,,,,,,,,,,,,,,,,
SAA6008_01442,77,119,147,88,71,231,408,797,443,221,259,377,611,522,141,155,389,693,254,151,,,,,,,,,,,,,,,,,,,,
SAA6008_01443,104,168,230,94,96,315,573,998,467,292,454,638,708,698,253,202,440,890,277,183,,,,,,,,,,,,,,,,,,,,
SAA6008_01444,897,1107,1352,917,1000,711,973,553,811,633,981,1268,440,1062,988,421,724,517,634,448,,,,,,,,,,,,,,,,,,,,
SAA6008_01445,0,4,11,1,0,3,6,20,2,1,1,4,8,2,1,1,12,12,0,1,,,,,,,,,,,,,,,,,,,,
SAA6008_01446,39,73,110,70,41,48,122,237,97,84,58,132,181,220,105,32,91,204,79,48,,,,,,,,,,,,,,,,,,,,
SAA6008_01447,9,15,28,12,11,28,68,41,28,16,15,23,13,25,29,16,47,36,19,18,,,,,,,,,,,,,,,,,,,,
SAA6008_01448,74,94,171,74,79,38,79,202,115,39,24,45,74,155,28,22,70,175,78,40,,,,,,,,,,,,,,,,,,,,
SAA6008_01449,976,1969,2411,1223,1564,320,815,758,503,401,297,709,584,833,594,185,626,699,412,270,,,,,,,,,,,,,,,,,,,,
SAA6008_01450,101,155,184,99,72,27,72,53,44,24,26,42,55,75,15,15,88,85,43,16,,,,,,,,,,,,,,,,,,,,
SAA6008_01451,12,15,22,9,13,11,43,35,29,11,16,24,33,54,11,9,52,47,32,14,,,,,,,,,,,,,,,,,,,,
SAA6008_01452,64,160,355,141,204,25,88,421,69,56,15,31,181,311,33,22,69,457,80,49,,,,,,,,,,,,,,,,,,,,
SAA6008_01453,252,452,567,359,287,59,101,168,107,50,36,85,134,246,24,30,54,129,75,30,,,,,,,,,,,,,,,,,,,,
SAA6008_01454,1,4,1,1,0,0,3,2,0,6,0,1,2,3,0,2,3,1,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01455,5,9,21,3,7,12,26,25,21,13,12,18,34,30,7,5,16,28,14,2,,,,,,,,,,,,,,,,,,,,
SAA6008_01456,1,1,0,0,0,5,8,5,6,4,2,10,6,10,2,0,2,4,1,1,,,,,,,,,,,,,,,,,,,,
SAA6008_01457,6,8,13,1,6,23,41,38,40,33,16,15,40,55,11,4,23,24,23,14,,,,,,,,,,,,,,,,,,,,
SAA6008_01458,3,6,3,2,1,9,34,29,34,28,3,17,14,24,7,4,15,18,9,7,,,,,,,,,,,,,,,,,,,,
SAA6008_01459,20,21,33,17,10,135,310,277,214,139,45,81,94,148,36,40,162,137,83,42,,,,,,,,,,,,,,,,,,,,
SAA6008_01460,22,19,23,13,22,63,94,112,80,52,26,49,45,111,20,12,23,50,33,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01461,45,51,60,23,21,170,374,409,195,149,186,290,502,291,109,112,306,408,130,89,,,,,,,,,,,,,,,,,,,,
SAA6008_01462,119,150,220,118,122,533,698,979,644,451,621,679,881,937,360,405,668,980,534,346,,,,,,,,,,,,,,,,,,,,
SAA6008_01463,63,53,72,69,70,161,280,482,271,168,153,244,479,651,147,126,198,456,201,121,,,,,,,,,,,,,,,,,,,,
SAA6008_01464,34,32,43,42,38,58,129,237,126,105,79,120,196,332,72,49,101,241,86,52,,,,,,,,,,,,,,,,,,,,
SAA6008_01465,21,43,67,32,21,45,116,184,54,44,34,79,116,172,23,26,76,153,50,34,,,,,,,,,,,,,,,,,,,,
SAA6008_01466,13,20,30,15,19,3,8,5,8,6,3,4,9,15,2,0,9,8,4,3,,,,,,,,,,,,,,,,,,,,
SAA6008_01467,17,40,34,15,26,29,64,160,58,22,22,36,203,297,13,16,52,160,37,14,,,,,,,,,,,,,,,,,,,,
SAA6008_01468,149,231,316,183,147,116,196,461,246,110,84,166,560,1195,63,54,136,474,145,71,,,,,,,,,,,,,,,,,,,,
SAA6008_01469,48,58,49,44,38,58,77,108,86,38,35,65,48,112,23,20,43,63,53,23,,,,,,,,,,,,,,,,,,,,
SAA6008_01470,241,446,437,216,188,108,214,193,180,86,71,115,71,137,47,48,135,106,108,34,,,,,,,,,,,,,,,,,,,,
SAA6008_01471,7,12,17,12,5,5,18,15,10,8,12,7,11,16,8,3,11,15,9,4,,,,,,,,,,,,,,,,,,,,
SAA6008_01472,30,74,109,51,36,35,127,188,124,54,23,48,74,93,37,23,68,114,86,21,,,,,,,,,,,,,,,,,,,,
SAA6008_01473,5,14,18,9,10,33,69,182,103,35,30,54,155,289,23,21,50,143,96,26,,,,,,,,,,,,,,,,,,,,
SAA6008_01474,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01475,194,319,406,209,154,153,291,231,176,123,194,325,238,175,140,101,309,273,137,97,,,,,,,,,,,,,,,,,,,,
SAA6008_01476,116,139,153,104,88,81,149,247,137,65,109,112,183,216,60,67,176,255,100,53,,,,,,,,,,,,,,,,,,,,
SAA6008_01477,7,9,12,18,4,90,130,32,155,87,36,92,38,99,124,61,154,30,172,68,,,,,,,,,,,,,,,,,,,,
SAA6008_01478,2,1,2,3,2,15,16,7,18,14,11,33,13,23,33,7,37,5,29,9,,,,,,,,,,,,,,,,,,,,
SAA6008_01479,252,371,505,385,325,89,156,242,250,113,106,118,141,258,149,54,116,147,177,49,,,,,,,,,,,,,,,,,,,,
SAA6008_01480,434,603,1116,456,293,424,861,1149,649,340,918,1328,1044,1107,498,444,877,1014,454,223,,,,,,,,,,,,,,,,,,,,
SAA6008_01481,45,55,73,55,45,36,67,92,64,46,34,78,43,68,41,29,70,103,37,18,,,,,,,,,,,,,,,,,,,,
SAA6008_01482,2,2,6,0,1,0,5,7,2,1,0,3,4,8,0,1,4,1,3,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01483,61,93,147,88,51,83,191,306,142,88,103,148,135,164,77,54,156,210,98,63,,,,,,,,,,,,,,,,,,,,
SAA6008_01484,99,109,156,138,101,97,128,317,152,83,151,128,143,218,95,57,84,205,84,56,,,,,,,,,,,,,,,,,,,,
SAA6008_01485,85,119,178,97,72,211,338,922,283,200,402,749,1017,980,297,170,334,844,259,157,,,,,,,,,,,,,,,,,,,,
SAA6008_01486,78,78,118,63,58,152,262,597,175,142,433,548,654,471,244,129,274,616,131,97,,,,,,,,,,,,,,,,,,,,
SAA6008_01487,78,111,166,138,87,259,333,642,391,216,546,755,759,1943,376,224,362,674,384,157,,,,,,,,,,,,,,,,,,,,
SAA6008_01488,95,84,133,110,78,187,340,437,319,171,389,531,443,1104,277,150,294,434,292,117,,,,,,,,,,,,,,,,,,,,
SAA6008_01489,125,165,223,187,109,180,327,341,316,227,329,541,502,846,220,143,334,378,279,122,,,,,,,,,,,,,,,,,,,,
SAA6008_01490,37,103,90,59,39,14,66,43,41,18,36,92,51,105,24,11,29,32,19,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01491,34,38,50,27,24,145,257,579,172,100,240,303,639,475,105,118,261,588,158,85,,,,,,,,,,,,,,,,,,,,
SAA6008_01492,3,11,14,9,15,15,60,196,15,70,41,89,271,86,73,18,64,175,13,62,,,,,,,,,,,,,,,,,,,,
SAA6008_01493,44,133,179,91,67,240,588,1485,506,240,379,716,1674,1631,235,201,471,1601,444,160,,,,,,,,,,,,,,,,,,,,
SAA6008_01494,95,144,170,142,121,246,341,881,503,187,397,344,723,1311,247,226,285,793,441,169,,,,,,,,,,,,,,,,,,,,
SAA6008_01495,41,69,88,33,31,58,145,314,94,50,60,153,237,170,40,36,151,303,63,31,,,,,,,,,,,,,,,,,,,,
SAA6008_01496,78,185,249,112,79,271,582,1567,436,271,350,676,1224,1242,315,226,583,1614,372,223,,,,,,,,,,,,,,,,,,,,
SAA6008_01497,51,62,90,46,38,85,114,350,85,66,136,208,281,382,101,57,120,344,42,50,,,,,,,,,,,,,,,,,,,,
SAA6008_01498,201,364,539,385,329,404,905,1566,1331,874,587,861,1356,2292,1113,417,901,1559,1114,652,,,,,,,,,,,,,,,,,,,,
SAA6008_01499,113,199,229,183,189,205,382,448,699,454,277,476,411,1251,643,135,269,343,519,318,,,,,,,,,,,,,,,,,,,,
SAA6008_01500,33,60,71,32,26,12,22,22,15,4,13,42,22,39,9,6,16,12,8,8,,,,,,,,,,,,,,,,,,,,
SAA6008_01501,3,22,26,5,9,3,8,12,2,3,4,26,10,10,3,1,11,6,0,4,,,,,,,,,,,,,,,,,,,,
SAA6008_01502,46,73,97,51,48,86,148,179,101,81,61,122,122,132,56,42,133,180,76,51,,,,,,,,,,,,,,,,,,,,
SAA6008_01503,96,163,162,117,93,67,174,119,92,54,159,338,146,238,124,35,78,86,57,43,,,,,,,,,,,,,,,,,,,,
SAA6008_01504,328,403,610,422,298,882,1517,467,1473,774,247,338,398,433,293,562,1447,503,1036,615,,,,,,,,,,,,,,,,,,,,
SAA6008_01505,269,351,471,245,234,789,1514,322,1021,701,208,415,343,429,295,448,1356,358,868,510,,,,,,,,,,,,,,,,,,,,
SAA6008_01506,186,271,362,225,207,406,780,154,728,476,108,242,162,223,236,211,676,150,525,285,,,,,,,,,,,,,,,,,,,,
SAA6008_01507,48,23,27,10,17,199,81,24,33,68,43,28,43,58,54,134,71,30,30,73,,,,,,,,,,,,,,,,,,,,
SAA6008_01508,2,2,13,2,4,0,9,18,7,7,5,7,32,21,4,1,3,12,5,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01509,1,1,1,0,1,2,0,0,2,2,4,1,1,6,0,0,1,3,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01510,1,1,3,2,1,1,1,5,1,2,2,3,1,12,0,1,0,3,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01511,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,3,0,1,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01512,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01513,0,0,2,1,0,2,2,1,0,1,0,1,3,2,0,0,3,3,0,2,,,,,,,,,,,,,,,,,,,,
SAA6008_01514,3,2,3,0,3,0,1,1,3,3,0,0,2,5,0,2,3,4,2,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01515,78,158,164,99,67,84,225,174,161,90,135,300,258,399,104,79,221,200,151,80,,,,,,,,,,,,,,,,,,,,
SAA6008_01516,45,58,69,27,65,40,85,88,62,70,63,90,113,119,65,29,71,88,39,59,,,,,,,,,,,,,,,,,,,,
SAA6008_01517,92,112,155,86,113,124,311,257,268,170,186,371,351,708,186,111,246,278,224,113,,,,,,,,,,,,,,,,,,,,
SAA6008_01518,73,112,137,117,81,202,356,295,357,189,329,482,550,1255,142,188,325,302,382,168,,,,,,,,,,,,,,,,,,,,
SAA6008_01519,28,25,27,19,20,131,220,210,204,109,197,322,419,851,65,129,178,230,251,96,,,,,,,,,,,,,,,,,,,,
SAA6008_01520,29,99,134,49,56,49,164,289,119,80,70,108,309,487,142,70,262,412,188,100,,,,,,,,,,,,,,,,,,,,
SAA6008_01521,135,217,244,146,122,99,279,241,195,108,129,216,166,290,101,94,274,233,102,79,,,,,,,,,,,,,,,,,,,,
SAA6008_01522,2279,4736,5967,3267,3201,131,364,415,326,164,312,621,425,567,724,95,314,434,500,143,,,,,,,,,,,,,,,,,,,,
SAA6008_01523,17,40,56,11,11,17,36,79,20,19,8,37,54,43,9,10,66,65,22,15,,,,,,,,,,,,,,,,,,,,
SAA6008_01524,22,53,72,25,9,24,91,123,59,30,22,39,60,66,17,29,89,137,32,19,,,,,,,,,,,,,,,,,,,,
SAA6008_01525,32,24,43,27,23,60,78,119,88,38,38,32,62,142,19,40,78,123,82,33,,,,,,,,,,,,,,,,,,,,
SAA6008_01526,55,80,108,66,49,195,383,971,405,206,226,342,872,1000,237,192,411,1001,384,161,,,,,,,,,,,,,,,,,,,,
SAA6008_01527,57,80,110,55,42,136,310,623,303,105,169,236,586,857,143,133,287,724,281,90,,,,,,,,,,,,,,,,,,,,
SAA6008_01528,134,119,196,162,120,109,144,250,146,86,180,178,287,414,90,84,140,267,136,52,,,,,,,,,,,,,,,,,,,,
SAA6008_01529,32,61,86,55,62,15,50,79,57,30,31,59,136,143,35,17,46,90,42,20,,,,,,,,,,,,,,,,,,,,
SAA6008_01530,548,901,1115,594,708,288,729,1006,582,408,333,739,1017,1210,459,263,678,1192,466,317,,,,,,,,,,,,,,,,,,,,
SAA6008_01531,151,219,244,173,129,205,406,521,301,166,151,290,540,831,129,113,381,663,263,124,,,,,,,,,,,,,,,,,,,,
SAA6008_01532,63,79,92,65,57,53,126,170,124,62,115,191,145,282,75,49,130,176,111,59,,,,,,,,,,,,,,,,,,,,
SAA6008_01533,22,42,45,14,17,11,37,41,32,20,18,22,33,34,15,16,21,23,10,11,,,,,,,,,,,,,,,,,,,,
SAA6008_01534,220,414,549,305,263,346,935,934,688,416,599,1069,682,929,544,285,839,773,453,273,,,,,,,,,,,,,,,,,,,,
SAA6008_01535,19,40,45,25,21,41,82,42,51,31,61,74,48,76,50,47,76,55,49,25,,,,,,,,,,,,,,,,,,,,
SAA6008_01537,22,16,19,18,13,27,42,25,28,24,35,46,20,33,27,27,52,27,17,16,,,,,,,,,,,,,,,,,,,,
SAA6008_01537/2,38,40,54,37,50,50,119,66,77,92,71,100,80,150,98,29,115,67,67,67,,,,,,,,,,,,,,,,,,,,
SAA6008_01538,47,42,69,45,40,59,121,92,86,54,76,96,77,144,87,36,81,97,67,46,,,,,,,,,,,,,,,,,,,,
SAA6008_01539,8,10,19,18,11,21,48,24,33,15,17,20,30,39,13,15,36,30,11,13,,,,,,,,,,,,,,,,,,,,
SAA6008_01540,48,85,118,80,71,111,234,236,205,109,129,207,251,415,148,79,162,207,182,82,,,,,,,,,,,,,,,,,,,,
SAA6008_01541,91,140,139,130,91,126,239,278,284,147,100,150,228,451,117,76,194,300,216,99,,,,,,,,,,,,,,,,,,,,
SAA6008_01542,396,507,647,434,491,214,456,457,367,300,341,544,586,581,395,156,520,473,313,212,,,,,,,,,,,,,,,,,,,,
SAA6008_01543,542,1015,1447,1076,660,353,824,1130,902,475,583,929,1291,2673,538,266,709,1085,957,379,,,,,,,,,,,,,,,,,,,,
SAA6008_01544,803,1224,1841,1983,891,395,621,641,806,318,634,774,949,2019,380,230,551,675,759,260,,,,,,,,,,,,,,,,,,,,
SAA6008_01545,355,1246,1207,589,964,483,1474,3385,1131,1062,373,1158,3440,6647,770,362,1135,2361,1280,813,,,,,,,,,,,,,,,,,,,,
SAA6008_01546,155,199,283,174,137,280,572,1011,539,258,259,406,644,879,298,218,504,905,444,227,,,,,,,,,,,,,,,,,,,,
SAA6008_01547,21,46,61,32,30,30,83,161,57,44,52,73,126,149,38,18,76,135,39,26,,,,,,,,,,,,,,,,,,,,
SAA6008_01548,325,462,632,408,361,151,261,406,185,118,344,503,898,950,263,133,284,580,258,139,,,,,,,,,,,,,,,,,,,,
SAA6008_01549,404,425,624,471,451,133,217,289,187,130,263,354,594,914,188,113,216,400,174,92,,,,,,,,,,,,,,,,,,,,
SAA6008_01550,4493,7295,10705,6684,4374,964,1521,2899,1339,795,1789,3046,5491,7775,1105,768,1599,3607,1591,718,,,,,,,,,,,,,,,,,,,,
SAA6008_01551,1623,2854,3732,3688,1621,135,322,425,368,126,253,539,766,2849,169,86,222,516,430,101,,,,,,,,,,,,,,,,,,,,
SAA6008_01552,1990,3480,3802,3061,3253,102,244,188,188,175,200,365,365,758,225,80,211,286,236,138,,,,,,,,,,,,,,,,,,,,
SAA6008_01553,8,11,16,17,16,45,74,174,98,61,79,69,154,152,59,46,65,206,74,63,,,,,,,,,,,,,,,,,,,,
SAA6008_01554,46,90,133,90,63,211,446,992,410,219,219,302,644,938,148,158,460,979,277,140,,,,,,,,,,,,,,,,,,,,
SAA6008_01555,135,418,598,254,174,172,702,1622,534,232,74,370,1001,1213,110,119,654,1615,597,198,,,,,,,,,,,,,,,,,,,,
SAA6008_01556,26,28,42,25,13,27,42,162,57,21,21,38,103,194,16,26,40,141,37,16,,,,,,,,,,,,,,,,,,,,
SAA6008_01557,13,23,21,9,13,9,17,16,11,1,6,9,33,57,6,9,7,21,4,7,,,,,,,,,,,,,,,,,,,,
SAA6008_01559,45,55,105,44,49,11,28,68,31,9,22,50,67,79,27,15,24,49,25,7,,,,,,,,,,,,,,,,,,,,
SAA6008_01560,5,13,17,8,10,6,17,50,14,12,8,15,35,61,18,6,9,33,20,10,,,,,,,,,,,,,,,,,,,,
SAA6008_01561,120,234,337,149,155,86,235,628,190,92,148,276,734,480,126,84,199,534,144,79,,,,,,,,,,,,,,,,,,,,
SAA6008_01562,200,320,449,396,307,155,260,520,369,173,156,275,552,808,181,75,245,485,253,85,,,,,,,,,,,,,,,,,,,,
SAA6008_01563,426,494,742,496,419,260,367,821,359,253,315,390,856,966,256,170,319,755,335,148,,,,,,,,,,,,,,,,,,,,
SAA6008_01564,82,148,150,205,190,119,199,402,206,139,154,222,426,574,140,86,194,359,197,94,,,,,,,,,,,,,,,,,,,,
SAA6008_01565,18,24,30,8,11,63,75,130,58,44,74,56,161,82,38,43,60,141,44,20,,,,,,,,,,,,,,,,,,,,
SAA6008_01566,21,42,39,25,16,60,151,281,122,76,79,119,240,168,73,52,163,257,76,56,,,,,,,,,,,,,,,,,,,,
SAA6008_01567,84,89,111,77,77,189,328,828,364,226,192,258,575,615,189,138,347,651,262,159,,,,,,,,,,,,,,,,,,,,
SAA6008_01568,21,21,52,23,36,50,81,193,46,50,65,73,152,105,71,35,75,193,36,33,,,,,,,,,,,,,,,,,,,,
SAA6008_01569,37,34,50,18,13,35,59,123,39,35,36,37,85,63,23,25,45,100,26,9,,,,,,,,,,,,,,,,,,,,
SAA6008_01570,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01571,5,7,9,5,7,4,9,8,4,7,2,3,2,8,2,1,0,3,6,0,,,,,,,,,,,,,,,,,,,,
SAA6008_01572,11,13,16,11,19,6,6,16,10,5,6,7,16,30,4,10,5,8,8,4,,,,,,,,,,,,,,,,,,,,
SAA6008_01573,28,39,49,35,23,6,22,34,19,9,11,19,42,68,15,7,17,33,25,6,,,,,,,,,,,,,,,,,,,,
