,mRNA.6008.2h.TEM,mRNA.6008.2h.Cefto,mRNA.6008.2h.Linezo,mRNA.6008.2h.Tige,mRNA.6008.2h.Vanco,mRNA.6008.6h.TEM,mRNA.6008.6h.Cefto,mRNA.6008.6h.Linezo,mRNA.6008.6h.Tige,mRNA.6008.6h.Vanco,mRNA.6009.2h.TEM,mRNA.6009.2h.Cefto,mRNA.6009.2h.Linezo,mRNA.6009.2h.Tige,mRNA.6009.2h.Vanco,mRNA.6009.6h.TEM,mRNA.6009.6h.Cefto,mRNA.6009.6h.Linezo,mRNA.6009.6h.Tige,mRNA.6009.6h.Vanco,sRNA.6008.2h.TEM,sRNA.6008.2h.Cefto,sRNA.6008.2h.Linezo,sRNA.6008.2h.Tige,sRNA.6008.2h.Vanco,sRNA.6008.6h.TEM,sRNA.6008.6h.Cefto,sRNA.6008.6h.Linezo,sRNA.6008.6h.Tige,sRNA.6008.6h.Vanco,sRNA.6009.2h.TEM,sRNA.6009.2h.Cefto,sRNA.6009.2h.Linezo,sRNA.6009.2h.Tige,sRNA.6009.2h.Vanco,sRNA.6009.6h.TEM,sRNA.6009.6h.Cefto,sRNA.6009.6h.Linezo,sRNA.6009.6h.Tige,sRNA.6009.6h.Vanco
SAA6008_00956,88,131,161,126,80,40,106,65,85,40,47,113,35,75,36,23,47,42,22,19,,,,,,,,,,,,,,,,,,,,
SAA6008_00957,18,15,23,10,12,12,21,10,17,7,14,29,12,20,11,4,12,9,7,5,,,,,,,,,,,,,,,,,,,,
SAA6008_00958,34,51,164,42,49,13,32,127,33,27,23,38,133,89,33,7,22,86,26,8,,,,,,,,,,,,,,,,,,,,
SAA6008_00959,78,123,208,109,64,70,136,258,135,61,108,204,271,435,101,53,115,228,107,55,,,,,,,,,,,,,,,,,,,,
SAA6008_00960,53,129,151,78,95,73,145,216,169,105,92,149,187,370,134,49,158,194,124,82,,,,,,,,,,,,,,,,,,,,
SAA6008_00961,17,31,35,8,7,29,67,80,20,18,30,41,73,50,25,14,65,78,16,19,,,,,,,,,,,,,,,,,,,,
SAA6008_00962,40,54,68,40,50,79,122,183,107,102,80,122,118,199,119,57,113,181,88,59,,,,,,,,,,,,,,,,,,,,
SAA6008_00963,82,119,142,93,75,112,262,253,222,112,125,167,162,258,145,88,263,259,187,79,,,,,,,,,,,,,,,,,,,,
SAA6008_00964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SAA6008_00965,1273,2227,2340,1230,1064,1761,3995,5257,2558,1474,2041,3744,4271,5608,1760,1374,3409,5016,1854,1055,,,,,,,,,,,,,,,,,,,,
SAA6008_00966,35,59,76,36,27,82,176,185,121,68,116,181,201,141,131,73,219,233,91,76,,,,,,,,,,,,,,,,,,,,
SAA6008_00967,5,18,23,4,4,16,21,28,28,18,21,24,59,50,15,8,23,45,7,5,,,,,,,,,,,,,,,,,,,,
SAA6008_00968,5,13,11,5,10,6,14,32,13,5,1,16,17,42,7,3,9,19,6,9,,,,,,,,,,,,,,,,,,,,
SAA6008_00969,52,116,118,66,47,483,935,424,800,458,146,324,351,647,171,254,798,383,616,334,,,,,,,,,,,,,,,,,,,,
SAA6008_00971,14,37,34,17,9,20,108,70,37,30,21,43,55,64,21,18,75,95,22,14,,,,,,,,,,,,,,,,,,,,
SAA6008_00972,52,119,147,63,30,61,195,187,87,66,49,100,117,110,24,36,147,230,60,37,,,,,,,,,,,,,,,,,,,,
SAA6008_00973,33,35,59,27,20,86,205,368,136,90,89,166,260,213,114,57,181,363,80,73,,,,,,,,,,,,,,,,,,,,
SAA6008_00974,8,9,8,14,10,96,90,258,115,53,83,113,187,197,79,43,91,260,88,41,,,,,,,,,,,,,,,,,,,,
SAA6008_00975,71,80,111,116,66,420,569,1258,684,321,442,573,838,990,463,315,646,1301,585,288,,,,,,,,,,,,,,,,,,,,
SAA6008_00976,261,293,403,254,245,70,103,103,80,51,72,95,131,109,66,58,135,162,60,52,,,,,,,,,,,,,,,,,,,,
SAA6008_00977,21,31,47,27,26,133,278,294,212,109,95,151,210,162,80,89,222,250,130,74,,,,,,,,,,,,,,,,,,,,
SAA6008_00978,49,73,81,68,41,91,239,295,166,111,68,112,158,210,76,63,219,230,111,79,,,,,,,,,,,,,,,,,,,,
SAA6008_00979,59,60,111,69,61,60,112,116,102,65,57,90,121,188,53,32,101,111,96,51,,,,,,,,,,,,,,,,,,,,
SAA6008_00980,4,1,1,3,2,1,5,1,1,4,2,0,1,1,0,3,1,2,0,2,,,,,,,,,,,,,,,,,,,,
SAA6008_00981,624,1247,1248,689,1075,74,179,87,131,98,76,151,108,394,124,25,62,33,65,41,,,,,,,,,,,,,,,,,,,,
