key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0348,467,371,399,426
SAUSA300_0349,142,112,153,150
SAUSA300_0350,280,195,368,562
SAUSA300_0351,175,132,165,305
SAUSA300_0352,508,492,968,790
SAUSA300_0353,590,327,859,1064
SAUSA300_0354,68,73,130,129
SAUSA300_0355,1572,1608,12196,9462
SAUSA300_0356,711,780,715,752
SAUSA300_0357,93,112,275,264
SAUSA300_0358,62,56,152,149
SAUSA300_0359,52,57,109,116
SAUSA300_0360,56,75,125,115
SAUSA300_0361,259,208,426,332
SAUSA300_0362,275,268,534,602
SAUSA300_0363,655,751,1796,1815
SAUSA300_0364,1009,1001,2612,2855
SAUSA300_0365,369,317,248,304
SAUSA300_0366,13876,16618,36961,40897
SAUSA300_0367,15119,16636,37347,39443
SAUSA300_0368,23231,25878,31860,58970
SAUSA300_0369,53,54,55,46
SAUSA300_0370,157,72,757,672
SAUSA300_0371,2,0,10,18
SAUSA300_0372,1352,1563,6587,4941
SAUSA300_0373,646,643,594,554
SAUSA300_0374,28766,33155,35740,34582
SAUSA300_0375,262,167,363,322
SAUSA300_0376,200,163,492,402
SAUSA300_0377,3461,4144,2997,2736
SAUSA300_0378,1239,1125,505,564
SAUSA300_0379,120846,185350,58280,126589
SAUSA300_0380,126131,201382,60107,125721
SAUSA300_0381,6643,7086,3887,3686
SAUSA300_0382,734,897,445,378
SAUSA300_0383,14240,15277,7880,8110
SAUSA300_0384,2179,2351,1488,1348
SAUSA300_0385,12172,11643,10161,10310
SAUSA300_0386,821,934,1862,1720
SAUSA300_0387,767,802,1705,1855
SAUSA300_0388,4939,5577,8485,8318
SAUSA300_0389,6043,6205,10823,12128
SAUSA300_0390,341,277,95,162
SAUSA300_0391,281,226,165,171
SAUSA300_0392,253,250,212,236
SAUSA300_0393,113,105,53,37
SAUSA300_0394,301,256,148,154
SAUSA300_0395,844,806,300,286
SAUSA300_0396,50,49,67,47
SAUSA300_0397,40,52,32,14
SAUSA300_0398,31,26,25,22
SAUSA300_0399,37,51,30,36
SAUSA300_0400,72,79,83,70
SAUSA300_0401,356,322,126,97
SAUSA300_0402,44,33,31,15
SAUSA300_0403,48,33,37,38
SAUSA300_0404,153,157,96,92
SAUSA300_0405,718,738,934,1007
SAUSA300_0406,664,617,1006,1085
SAUSA300_0407,6,19,58,75
SAUSA300_0408,167,146,290,217
SAUSA300_0409,1846,1457,4017,3386
SAUSA300_0410,79,72,31,32
SAUSA300_0411,82,80,48,48
SAUSA300_0412,107,125,89,75
SAUSA300_0413,157,214,37,60
SAUSA300_0414,94,88,12,29
SAUSA300_0415,118,137,26,43
SAUSA300_0416,131,155,40,40
SAUSA300_0417,209,259,76,83
SAUSA300_0418,297,283,110,109
SAUSA300_0419,977,839,395,385
SAUSA300_0420,1644,1523,798,852
SAUSA300_0421,1707,1474,977,1174
SAUSA300_0422,2718,3046,1421,1655
SAUSA300_0423,262,234,176,212
SAUSA300_0424,1519,1420,2624,2982
SAUSA300_0425,6342,6803,4847,5533
SAUSA300_0426,19682,20469,15339,16050
SAUSA300_0427,27403,27206,21384,21916
SAUSA300_0428,831,850,742,747
SAUSA300_0429,2002,2126,1791,1687
SAUSA300_0430,2731,2566,2514,2522
SAUSA300_0431,131,206,138,92
SAUSA300_0432,122,155,113,91
SAUSA300_0433,45,23,44,26
SAUSA300_0434,81,66,50,59
SAUSA300_0435,27,31,25,14
SAUSA300_0436,44,76,26,28
SAUSA300_0437,97,103,65,71
SAUSA300_0438,22571,27870,10215,9995
SAUSA300_0439,2250,2446,2280,2309
SAUSA300_0440,983,1293,984,1098
SAUSA300_0441,981,1315,751,889
SAUSA300_0442,967,1064,1109,891
SAUSA300_0443,658,738,510,509
SAUSA300_0444,101,136,82,64
SAUSA300_0445,217,225,76,73
SAUSA300_0446,305,270,140,118
SAUSA300_0447,134881,229428,66446,175376
SAUSA300_0448,955,872,901,896
SAUSA300_0449,469,453,549,572
SAUSA300_0450,620,598,667,774
SAUSA300_0451,393,372,371,280
SAUSA300_0452,1684,1775,1338,1506
SAUSA300_0453,19302,19581,18388,19145
SAUSA300_0454,6407,5468,5620,6259
