,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_00660,3075,3244,3036,2608,1189,1817
HG001_00661,11308,10763,13261,8955,1875,2473
HG001_00662,1630,787,1993,887,234,318
HG001_00663,2587,1331,3073,1245,1040,1086
HG001_00664,129,213,219,320,3992,5917
HG001_00665,200,272,819,577,6544,8803
HG001_00666,4252,9228,4999,6874,574,659
HG001_00667,2874,4353,2906,4702,634,771
HG001_00668,147,217,102,289,8599,8441
HG001_00669,192,364,168,355,36248,38069
HG001_00670,477,1962,267,1207,25569,26598
HG001_00671,3784,16729,2599,11783,187,136
HG001_00672,3924,15805,2574,11028,86,76
HG001_00673,9,21,14,14,97,88
HG001_00674,7,18,1,6,273,219
HG001_00675,11,18,4,4,1309,1120
HG001_00676,25,42,12,25,2549,2390
HG001_00677,248,405,106,310,63,60
HG001_00678,387,682,195,543,3981,4457
HG001_00679,2,6,3,5,3464,3758
HG001_00680,636,1370,806,1412,5862,5033
HG001_00681,589,1031,655,1119,7217,6795
HG001_00682,1616,2282,1065,1838,585,531
HG001_00683,1400,1911,1151,1536,465,431
HG001_00684,150,262,137,151,1646,1698
HG001_00685,52,113,40,62,1001,1058
HG001_00686,268,843,158,603,432,435
HG001_00687,132,277,103,260,1777,1585
HG001_00688,37,125,47,96,140,111
HG001_00689,119,491,160,445,81,76
HG001_00690,26,50,21,35,52262,37274
HG001_00691,31,38,42,29,10562,12152
HG001_00692,734,1322,745,1117,888,975
HG001_00693,3851,7001,2456,5538,61,101
HG001_00694,120,247,120,224,563,414
HG001_00695,27,41,31,47,130,79
HG001_00696,69,134,73,72,6837,7183
HG001_00697,19,44,18,15,13329,15667
HG001_00698,1951,2945,1027,2066,3654,3429
HG001_00699,6883,8378,3816,6180,1874,1903
HG001_00700,4080,4552,3565,3351,1283,1268
HG001_00701,2166,2378,1857,1861,3127,3176
HG001_00702,1031,1336,800,993,4251,4371
HG001_00703,1478,2343,1104,1716,38,34
HG001_00704,2117,3451,1450,2664,1517,1897
HG001_00705,1,3,4,3,7233,9249
HG001_00706,757,1042,518,986,6974,9147
HG001_00707,7092,6234,5337,5312,25,35
HG001_00708,6543,4924,5202,4502,7199,6200
HG001_00709,1,3,1,4,2682,3093
HG001_00710,26371,33223,32784,27433,673,591
HG001_00711,978,1108,1284,802,2719,3264
HG001_00712,1825,2037,1518,2262,4813,5234
HG001_00713,1110,1908,1337,1703,13123,12530
HG001_00714,897,1207,2256,769,6600,6309
HG001_00715,3293,2491,3758,1769,6731,6958
HG001_00716,8487,5823,5240,3905,11332,12007
HG001_00717,12479,9129,6913,6093,61912,64150
HG001_00718,27011,18566,13986,12708,2050,1987
HG001_00719,154616,125215,123383,88138,4198,4519
HG001_00720,434,728,830,934,3299,4307
HG001_00721,1151,1418,1138,1457,13107,16937
HG001_00722,1461,2128,1004,1800,1876,2475
HG001_00723,5319,6809,3742,5550,562692,577131
HG001_00724,608,749,513,765,1956,1451
HG001_00725,2420,4115,2598,5016,3768,3192
HG001_00726,47,250,49,182,205,236
HG001_00727,95,504,101,384,351,429
HG001_00728,38,38,40,25,51436,91052
HG001_00729,140,122,117,105,82,78
HG001_00730,29602,17434,18312,16118,125,120
HG001_00731,19,18,9,20,88,72
HG001_00732,36,38,20,18,67,54
HG001_00733,235,276,224,168,20182,21016
HG001_00735,8,6,8,7,959,1390
HG001_00736,121,1463,207,1135,703,1002
HG001_00737,196,434,221,471,128,139
HG001_00738,105,251,103,294,1060,805
HG001_00739,11,24,12,17,618,548
HG001_00740,8,65,11,44,44,42
HG001_00741,5,33,12,33,7985,9747
HG001_00742,12,13,10,17,1045,1185
HG001_00743,936,1925,1890,2893,603,678
HG001_00744,538,1243,626,1128,1865,1307
HG001_00745,25,105,30,119,2996,3759
HG001_00746,59,177,68,114,1054,796
HG001_00747,472,208,711,285,2166,1974
HG001_00748,72,176,49,116,619,578
HG001_00749,256,387,351,433,1337,1198
HG001_00750,27,38,52,77,13073,10674
HG001_00751,86,302,78,217,134,52
HG001_00752,3529,8710,2695,5998,3808,2582
HG001_00753,6,45,8,29,1864,1773
HG001_00754,1371,2485,676,1402,1201,1139
HG001_00755,474,774,395,558,340,578
HG001_00756,140,310,149,279,750,916
HG001_00757,116,133,74,137,290,326
HG001_00758,90,181,63,160,507,547
HG001_00759,47,105,31,88,81933,82398
HG001_00760,67,159,52,145,230,231
HG001_00761,3345,3823,3219,4409,5790,6268
HG001_00762,26,80,26,84,10320,10489
HG001_00763,15002,11261,8953,7650,9713,10478
HG001_00764,12896,16549,7544,10764,4680,5112
HG001_00765,7700,10946,3346,7037,14434,15753
HG001_00766,2277,3264,987,2123,37,25
HG001_00767,5172,7401,2626,5220,1287,1509
HG001_00768,0,35,6,26,1117,1356
HG001_00769,748,445,1063,460,3390,3369
HG001_00770,655,352,885,300,2493,2410
HG001_00771,456,570,189,436,6073,6428
HG001_00772,495,651,243,494,11993,12631
HG001_00773,3275,2704,1640,2102,1774,1533
HG001_00774,9263,10134,5528,8020,178,180
HG001_00775,347,427,305,346,3849,3461
HG001_00776,16,22,46,77,6922,6675
HG001_00777,917,1337,547,975,11985,11426
HG001_00778,3388,3929,1585,2611,598,476
HG001_00779,8563,8323,4782,6057,7626,8090
HG001_00780,160,253,199,260,6239,7124
HG001_00781,25481,12405,20129,11245,1223,1298
HG001_00782,21216,13979,22344,14078,10194,12025
HG001_00783,3652,2326,3927,2151,1496,1493
HG001_00784,41413,23098,39116,21667,869,805
HG001_00785,96,171,96,155,8773,8298
HG001_00786,96,179,136,147,377,326
HG001_00787,850,2078,958,1972,746,768
HG001_00788,24,51,13,45,55356,46021
HG001_00789,56,120,34,121,5670,4760
HG001_00790,14673,21106,8650,12781,279,309
HG001_00791,426,664,257,491,1011,910
HG001_00792,80,142,54,112,121,123
HG001_00793,370,826,400,578,1342,1598
HG001_00794,50,104,25,91,294,384
HG001_00795,308,537,245,374,1906,2268
HG001_00796,132,204,89,169,4140,5355
HG001_00797,588,1028,474,894,1340,1556
HG001_00798,3263,4069,2397,3498,976,1141
HG001_00799,1135,1027,876,891,8082,8639
HG001_00800,865,897,676,792,601,570
HG001_00801,12072,11891,11095,10597,2282,2067
HG001_00802,345,280,326,218,9978,7837
HG001_00803,629,812,1435,866,348,304
HG001_00804,227,533,176,418,21272,18174
HG001_00805,826,641,907,595,54530,51574
HG001_00806,13803,16622,5710,11134,2121,1689
HG001_00807,65280,75197,37759,56596,424,678
HG001_00808,1032,1386,1712,1166,219,306
HG001_00809,122,397,146,520,16672,16125
HG001_00810,77,225,68,271,544,635
HG001_00811,1567,1749,1312,1399,673,698
HG001_00812,99,240,55,240,1101,1035
HG001_00813,145,305,104,285,9103,8424
HG001_00814,195,390,132,341,15033,16135
HG001_00815,10079,10800,7839,7828,11514,10636
HG001_00816,28251,22915,23681,18041,479,519
HG001_00817,12558,15983,13187,14195,3187,3336
HG001_00818,25,65,37,45,1176,1246
HG001_00819,375,641,232,640,4304,4193
HG001_00820,233,358,143,266,207,208
HG001_00821,207,400,122,454,12878,14721
HG001_00822,27,53,27,30,30,21
HG001_00823,4317,3222,3827,2318,13,15
HG001_00824,1,8,1,4,26,25
HG001_00825,4,7,6,7,63,44
HG001_00826,3,4,2,1,188,208
HG001_00827,2,4,0,2,817,491
HG001_00828,26,37,19,29,915,780
HG001_00829,237,207,237,83,2133,1653
HG001_00830,17,49,19,44,11604,10702
HG001_00831,183,348,136,248,41,37
HG001_00832,5260,5907,4552,4803,1127,1216
HG001_00833,0,5,5,25,1237,1496
HG001_00834,84,490,138,613,1784,2006
HG001_00835,188,919,189,831,1713,1857
HG001_00836,436,1587,417,1344,4997,5395
HG001_00837,536,1685,618,1359,36,31
HG001_00838,2682,6714,4196,5632,24,26
HG001_00839,7,16,18,12,29,28
HG001_00840,39,29,26,26,45,46
HG001_00841,19,30,22,24,150,172
HG001_00842,24,27,13,11,1354,1343
HG001_00843,33,58,42,63,152326,153458
HG001_00844,75,92,88,114,2311,2421
HG001_00845,2308,6880,2356,6466,32,24
HG001_00846,148,352,190,433,3272,2914
HG001_00847,5,10,2,6,59,68
HG001_00848,296,821,251,701,5,4
HG001_00849,21,75,27,54,2372,1962
HG001_00850,0,2,0,1,1477,1190
HG001_00851,1217,1955,1454,1416,799,568
HG001_00852,781,1014,911,670,686,487
HG001_00853,117,334,157,185,2324,1972
HG001_00854,144,272,143,181,5794,4970
HG001_00855,1555,1744,1089,1185,850,864
HG001_00856,5284,6501,4273,4571,2141,2249
HG001_00857,734,560,552,454,4503,5150
HG001_00858,1512,1310,1401,1145,6040,6201
HG001_00859,4131,3280,3822,2906,3544,3385
HG001_00860,2253,2188,1828,1999,318,389
HG001_00861,214,724,162,578,749,812
HG001_00862,105,122,174,263,33917,29412
HG001_00863,98,223,151,273,1866,1962
HG001_00864,2343,5099,4544,6846,3254,3502
HG001_00865,364,706,322,600,1657,1865
HG001_00866,922,1623,755,1225,369,362
HG001_00867,828,1092,434,941,3259,3676
HG001_00868,155,236,83,174,607,719
HG001_00869,1826,2524,1023,2095,2285,3197
HG001_00870,244,259,197,323,1429,1414
HG001_00871,214,266,168,303,2366,2572
HG001_00872,380,572,194,443,3283,2740
HG001_00873,747,1161,451,1099,0,1
HG001_00874,317,890,229,665,0,1
HG001_00875,0,0,0,1,238,265
HG001_00876,4,1,1,2,4903,2959
HG001_00877,11,31,4,22,373,305
HG001_00878,158,573,268,477,345,324
HG001_00879,45,42,42,41,1053,1186
HG001_00880,18,33,25,55,4530,6774
HG001_00881,25,62,59,171,56,55
HG001_00882,27,23,52,29,19,17
HG001_00883,10,14,7,14,50,48
HG001_00884,6,7,1,9,91,166
HG001_00885,7,6,12,9,1151,868
HG001_00886,0,3,1,17,16071,13032
HG001_00887,26,157,55,98,83,78
HG001_00888,1077,3600,1080,3050,349,390
HG001_00889,7,2,1,5,117,130
HG001_00890,319,544,221,384,320,203
HG001_00891,14,26,14,23,163,95
HG001_00892,4,13,5,14,1315,1324
HG001_00893,37,48,38,26,1432,1192
HG001_00894,188,255,79,212,3132,3146
HG001_00895,185,394,148,275,1681,1716
HG001_00896,801,1165,587,960,11401,11110
HG001_00897,375,548,258,446,168,236
HG001_00898,1160,2266,903,2073,906,1160
HG001_00899,112,175,76,151,574,746
HG001_00900,714,873,385,798,679,747
HG001_00901,494,663,266,657,188,117
HG001_00902,28,80,22,87,255,489
HG001_00903,2,10,2,7,37014,65128
HG001_00904,16,42,22,65,148,180
HG001_00905,36432,35665,48522,42065,1206,1314
HG001_00906,25,73,21,116,2049,2359
HG001_00907,309,355,279,328,2687,2058
HG001_00908,507,797,531,651,31763,40464
HG001_00909,197,500,137,350,88657,108737
HG001_00910,209233,229887,190880,198855,373102,412040
HG001_00911,508575,645526,483946,553014,225601,235310
HG001_00912,1786347,2334016,1753672,1967193,7843,7207
HG001_00913,596958,791281,557246,667721,20706,21191
HG001_00914,1193,4324,1364,2851,329,353
HG001_00915,5847,6518,3285,4991,1371,1166
HG001_00916,534,72,349,43,528,490
HG001_00917,6734,473,3973,304,390,384
HG001_00918,4028,282,2252,152,1173,1152
HG001_00919,2513,169,1508,101,5044,5391
HG001_00920,11729,796,6857,558,4924,5077
HG001_00921,84876,5837,56285,4058,4282,4323
HG001_00922,57988,5052,35500,3460,2340,2451
HG001_00923,35858,4040,18566,2913,7841,7507
HG001_00924,18238,2187,8821,1515,10902,10943
HG001_00925,47989,7077,22637,5006,680,703
HG001_00926,41085,7749,19102,5689,1441,1454
HG001_00927,354,392,183,291,481,487
HG001_00928,1307,1216,654,885,23,26
HG001_00929,244,235,141,174,2614,2429
HG001_00930,1,3,2,2,7289,6691
HG001_00931,24,47,44,64,1279,1211
HG001_00932,101,371,567,1255,4538,8004
HG001_00933,244,742,176,560,14594,16572
HG001_00934,879,1125,920,1020,85240,93871
HG001_00935,1819,3475,1713,3064,107,101
HG001_00936,17800,31202,14177,28053,299,368
HG001_00937,4,16,3,5,252,265
HG001_00938,51,92,54,87,1443,1527
HG001_00939,25,49,32,71,26305,26079
HG001_00940,1210,1505,1819,1662,3988,3482
HG001_00941,1959,5258,1092,4187,416,369
HG001_00942,49,180,24,89,2742,2733
HG001_00943,23,50,12,41,63678,64550
HG001_00944,79,259,70,243,42934,43951
HG001_00945,79317,99785,51515,65959,65054,67905
HG001_00946,71530,79462,47214,55188,85822,92797
HG001_00947,161661,155997,118268,118837,400,383
HG001_00948,218161,279495,189433,210867,165,172
HG001_00949,137,174,117,145,258,302
HG001_00950,34,72,19,37,154,156
HG001_00951,105,165,60,102,248,276
HG001_00952,39,58,20,55,1850,2522
HG001_00953,55,112,42,109,9319,13386
HG001_00954,1640,1907,713,1247,1266,976
HG001_00955,3429,4422,2907,5365,531,449
HG001_00956,29,84,19,64,1046,888
HG001_00957,19,57,17,74,8410,7995
HG001_00958,29,82,9,57,4884,3097
HG001_00959,1607,2618,998,1843,5049,5079
HG001_00960,38,178,68,246,2177,2322
HG001_00961,945,1585,385,963,1752,1823
HG001_00962,59,156,57,156,2213,2599
HG001_00963,406,722,452,664,24275,28298
HG001_00964,1326,2029,1267,1709,15204,15153
HG001_00965,1475,3099,1315,3551,9006,8544
HG001_00966,1013,2644,836,2213,6003,5396
HG001_00967,581,1727,609,1788,5240,5458
HG001_00968,325,1072,415,1199,1914,2154
HG001_00969,784,1500,468,1143,802,748
HG001_00970,404,678,216,523,544,498
HG001_00971,32,66,18,62,119,84
HG001_00972,7,11,6,14,1036,856
HG001_00973,5,20,3,19,1417,1272
HG001_00974,50,148,37,146,473,313
HG001_00975,92,259,64,202,5965,6230
HG001_00976,73,131,86,88,6332,5450
HG001_00977,2752,3680,1839,2935,41,20
HG001_00978,715,1316,539,1013,462,368
HG001_00979,7,8,2,4,82,57
HG001_00980,9,65,16,29,90,81
HG001_00981,8,8,3,4,69,71
HG001_00982,27,52,18,30,112,120
HG001_00983,59,61,44,42,93,108
HG001_00984,142,88,126,58,41,47
HG001_00985,83,37,90,33,912,1070
HG001_00986,23,17,15,7,1314,1181
HG001_00987,448,785,589,661,1660,1878
HG001_00988,118,272,153,252,7835,9044
HG001_00989,337,481,321,455,363,279
HG001_00990,1712,2398,2196,2889,1204,720
HG001_00991,60,126,30,82,1102,875
HG001_00992,47,163,27,111,2349,2487
HG001_00993,45,178,40,132,4815,5374
HG001_00994,725,1088,421,807,2762,3107
HG001_00995,2882,4641,1726,3491,1540,2021
HG001_00996,445,745,305,638,11550,12977
HG001_00997,6145,3992,4044,3262,58949,66302
HG001_00998,13454,14206,9701,12158,42799,50540
HG001_00999,308780,257855,231909,221719,2103,2162
HG001_01000,173228,159193,143065,139587,1472,1496
HG001_01001,1938,1796,1544,1317,1822,1797
HG001_01002,756,768,525,592,83,89
HG001_01003,574,656,439,593,227,220
HG001_01004,4,10,5,10,591,510
HG001_01005,76,174,651,430,224,283
HG001_01006,35,116,66,114,128,180
HG001_01007,564,514,638,560,827,661
HG001_01008,334,365,372,349,2002,1734
HG001_01009,35,85,52,48,4163,12060
HG001_01010,102,272,130,188,39,3
HG001_01011,715,748,927,3085,1124,1315
HG001_01012,1,3,2,4,76,121
HG001_01013,1311,2240,1951,2314,154,217
HG001_01014,15,22,18,32,395,495
HG001_01015,45,44,26,43,18305,13041
HG001_01016,131,105,84,72,23283,18819
HG001_01017,22370,7277,13740,4372,11087,9786
HG001_01018,37828,11379,21777,6729,2220,2260
HG001_01019,30260,9138,17706,6122,410,440
HG001_01020,343,787,356,857,285,337
HG001_01021,37,69,37,62,21,13
HG001_01022,118,136,102,136,161724,137746
HG001_01023,4,7,5,4,111315,112112
HG001_01024,23531,59907,41821,63450,3099,3356
HG001_01025,19462,43877,32910,45138,6238,4510
HG001_01026,280,457,304,492,197,266
HG001_01027,1235,1614,852,1087,1479,1836
HG001_01028,61,98,40,95,20989,21053
HG001_01029,956,1141,754,1052,28411,26301
HG001_01030,3230,7777,4041,5059,9701,8402
HG001_01031,7219,16283,7741,9281,7896,9399
HG001_01032,612,1285,778,1147,2418,2537
HG001_01033,2105,2947,1243,2319,5020,6039
HG001_01034,800,1008,541,737,8411,9777
HG001_01035,4899,3791,3762,3185,35042,34161
HG001_01036,11068,8303,10262,7152,44013,44825
HG001_01037,56305,74338,66437,52971,702,699
HG001_01038,77022,99692,84479,72879,3489,3964
HG001_01039,127,225,96,189,4314,4916
HG001_01040,289,971,249,768,1856,1918
HG001_01041,399,1284,325,1186,2001,2007
HG001_01042,97,419,78,353,6878,6370
HG001_01043,371,642,339,494,3253,1913
HG001_01044,635,1291,550,1104,21179,21295
HG001_01045,109,200,91,174,1165,1151
HG001_01046,1207,3136,871,2783,8,1
HG001_01047,108,390,85,296,401,312
HG001_01048,1,1,0,0,1814,1741
HG001_01049,12,66,19,41,17412,7588
HG001_01050,290,781,173,560,20581,9973
HG001_01051,334,2510,290,1010,19888,12455
HG001_01052,2033,12056,1522,4897,37781,24804
HG001_01053,2873,11831,1907,6033,32949,22984
HG001_01054,9784,37291,6674,17987,111848,82189
HG001_01055,12953,43622,8514,19301,21197,15700
HG001_01056,55667,182089,44551,88957,17363,12450
HG001_01057,7325,24493,7017,12752,8826,5889
HG001_01058,5662,17542,5526,8075,2853,2595
HG001_01059,1912,6902,2137,3513,1583,1491
HG001_01060,1177,2193,756,1478,1919,2094
HG001_01061,1646,2709,2007,2098,642,746
HG001_01062,200,410,100,350,1852,1835
HG001_01063,88,164,52,165,6768,7062
HG001_01064,235,317,186,341,1340,1097
HG001_01065,2076,2230,2100,2278,11069,12393
HG001_01066,63,66,71,72,747,720
HG001_01067,1597,2124,1289,2208,2663,2419
HG001_01068,171,532,126,447,3872,3607
HG001_01069,1173,2298,935,1750,3980,3966
HG001_01070,1468,2923,1044,2224,2064,2092
HG001_01071,1341,2715,815,2232,8071,8991
HG001_01072,676,1305,485,1061,3100,2861
HG001_01073,1928,4336,1549,3677,2970,2793
HG001_01074,496,1518,486,848,3889,3608
HG001_01075,380,989,373,852,40473,44615
HG001_01076,362,948,393,979,2251,2082
HG001_01077,2177,3413,1159,2723,11588,10076
HG001_01078,292,911,116,529,4267,4551
HG001_01079,1633,4129,600,1994,3021,3054
HG001_01080,1769,2677,1073,1911,5593,5257
HG001_01081,898,2377,687,1543,5937,5642
HG001_01082,1960,4631,1245,2791,7083,7130
HG001_01083,1497,3682,1180,2470,6652,7258
HG001_01084,1062,2844,831,1979,1155,877
HG001_01085,378,852,310,591,6925,6364
HG001_01086,426,728,288,476,2597,2984
HG001_01087,3392,5276,1920,3503,696,709
HG001_01088,1949,2148,1305,1609,5874,6448
HG001_01089,263,387,240,344,2951,2605
HG001_01090,2032,2416,1484,1963,481,406
HG001_01091,45,107,44,102,1164,1128
HG001_01092,20,77,33,61,8432,9394
HG001_01093,106,240,110,212,3021,3080
HG001_01094,205,473,976,2052,769,823
HG001_01095,949,1684,820,1582,906,947
HG001_01096,99,154,51,109,40595,39329
HG001_01097,207,320,80,227,48861,50233
HG001_01098,14235,26749,7591,20153,622,2066
HG001_01099,26599,41838,13282,29157,550,1309
HG001_01100,836,1014,1773,2464,199,220
HG001_01101,358,667,774,1429,3824,3908
HG001_01102,137,222,112,166,2996,3393
HG001_01103,1353,2033,814,1591,3969,3826
HG001_01104,1663,2506,902,1854,2952,3237
HG001_01105,4353,8117,4457,6018,11501,12667
HG001_01106,4089,6689,3673,5080,10289,10790
HG001_01107,12093,18551,9639,13750,12770,12303
HG001_01108,4680,9337,3320,7393,18596,16882
HG001_01109,1421,4244,1237,2794,3131,2535
HG001_01110,1645,5019,1207,3589,4907,4217
HG001_01111,272,982,128,524,2654,2227
HG001_01112,513,1851,289,1191,2640,2318
HG001_01113,200,441,289,497,1598,1720
HG001_01114,156,404,171,396,4362,5036
HG001_01115,1522,1144,1260,990,8452,10799
HG001_01116,15993,10706,17329,10135,4253,4633
HG001_01117,20865,19014,19658,17369,8241,8907
HG001_01118,506,649,337,456,1432,1419
HG001_01119,1385,1710,793,1122,1892,2031
HG001_01120,257,317,167,232,22631,24730
HG001_01121,350,443,212,325,5989,4803
HG001_01122,3919,5000,2399,4007,2438,2313
HG001_01123,253,698,192,491,5991,6339
HG001_01124,144,280,101,175,17906,16325
HG001_01125,577,1721,392,1291,1,0
HG001_01126,2098,9794,814,6172,13154,15626
HG001_01127,872,1493,813,1461,36598,37752
HG001_01128,2301,4036,2927,5642,9465,10710
HG001_01129,14096,10179,11105,8948,1548,1785
HG001_01130,2035,1159,1874,1026,1265,1270
HG001_01131,174,277,138,160,1402,1346
HG001_01132,516,731,302,556,991,1007
HG001_01133,295,453,157,374,2424,2799
HG001_01134,535,695,374,702,1536,1478
HG001_01135,237,358,251,337,2817,2683
HG001_01136,299,584,361,643,1415,1377
HG001_01137,111,202,88,186,6075,7134
HG001_01138,407,783,330,743,44802,42809
HG001_01139,6467,11218,5048,10713,1036,847
HG001_01140,58,75,89,39,1282,1344
HG001_01141,200,442,220,418,4357,3582
HG001_01142,2981,3563,3214,2301,3127,2722
HG001_01143,1583,1881,1318,1239,281,230
HG001_01144,87,91,59,85,4298,4336
HG001_01145,1641,1905,1187,1444,1725,1510
HG001_01146,557,676,423,612,1846,1733
HG001_01147,545,659,363,528,1921,1868
HG001_01148,1437,1842,995,1475,2162,2301
HG001_01149,2297,2524,1767,2003,751,825
HG001_01150,1185,1448,1170,1174,1776,2713
HG001_01151,99,110,436,461,1115,1418
HG001_01152,233,203,311,328,4385,4664
HG001_01153,402,447,621,365,1415,926
HG001_01154,164,400,153,231,2584,3652
HG001_01155,2498,4302,4280,6666,1411,2476
HG001_01156,2189,3325,3725,4055,1585,1219
HG001_01157,54,97,44,86,1624,2051
HG001_01158,763,1528,740,1854,2176,2411
HG001_01159,1178,2610,783,2238,1721,1687
HG001_01160,1172,2505,1228,1890,16304,16569
HG001_01161,14404,26576,10561,20868,5,5
HG001_01162,0,2,0,0,14,12
HG001_01163,1,0,0,1,257,141
HG001_01164,59,80,57,54,208,166
HG001_01165,40,46,11,31,35,38
HG001_01166,0,2,0,1,42,38
HG001_01167,0,2,0,2,20,11
HG001_01168,1,9,3,2,113,82
HG001_01169,0,1,0,0,2,0
HG001_01170,1,10,2,10,3,2
HG001_01171,59,103,61,100,297,170
HG001_01172,159,131,144,134,1311,1261
HG001_01173,20,42,17,46,751,1012
HG001_01174,4,3,4,9,1063,923
HG001_01175,449,474,601,1059,434,400
HG001_01176,0,14,1,1,339,1008
HG001_01177,359,976,234,706,598,240
HG001_01178,1,7,1,7,5697,4796
HG001_01179,5,10,1,12,89,100
HG001_01180,233,525,381,404,43,51
HG001_01181,434,596,463,470,874,790
HG001_01182,184,512,353,397,892,903
HG001_01183,7,18,5,11,816,524
HG001_01184,245,630,348,593,143,99
HG001_01185,279,575,365,442,3471,3369
HG001_01186,51,160,29,211,5708,4833
HG001_01187,4585,8314,4100,8716,464,719
HG001_01188,3983,6615,3581,6608,5425,7396
HG001_01189,2059,4066,1885,3962,4629,6406
HG001_01190,2395,4299,1937,4375,3402,4758
HG001_01191,98,235,81,175,11910,12743
HG001_01192,1561,663,1226,554,1749,1528
HG001_01193,5023,7089,3543,6130,1347,1521
HG001_01194,998,1814,1032,2253,51526,51454
HG001_01195,74,177,154,241,12764,12585
HG001_01196,204,155,193,101,1278,1125
HG001_01197,398,449,309,349,484,385
HG001_01198,468,916,360,950,2413,2070
HG001_01199,6,5,16,2,15067,18535
HG001_01200,96,61,99,69,35,50
HG001_01201,90864,77786,88074,63247,376,336
HG001_01202,240,315,174,267,61584,60184
HG001_01203,63,118,261,622,2545,2061
HG001_01204,80,96,38,61,1586,1409
HG001_01205,472,641,492,629,392,376
HG001_01206,735,1109,2187,2801,1954,1968
HG001_01207,1032,2176,933,2489,4962,6269
HG001_01208,12563,18114,9973,18012,8493,8384
HG001_01209,152,203,100,220,46128,55094
HG001_01210,154,277,137,325,2111,2463
HG001_01211,161,611,216,668,2194,2133
HG001_01212,973,1413,647,1000,3339,3307
HG001_01213,763,1904,493,1491,2501,2856
HG001_01214,60,149,51,141,4322,5210
HG001_01215,48,219,122,221,1167,1193
HG001_01216,235,558,237,634,2222,1739
HG001_01217,993,2126,643,1969,7178,6714
HG001_01218,147,182,148,205,9544,10508
HG001_01219,106,164,79,191,1123,998
HG001_01220,329,644,200,514,1149,1200
HG001_01221,21,20,21,31,3594,2792
HG001_01222,439,588,350,573,155,167
HG001_01223,354,381,277,361,2259,2178
HG001_01224,23,52,33,45,1958,2000
HG001_01225,0,2,0,2,187,183
HG001_01226,7,18,13,3,48,31
HG001_01227,14,6,6,17,30,35
HG001_01228,21,22,12,23,10,15
HG001_01229,26,24,18,19,20,43
HG001_01230,8,10,5,9,17,24
HG001_01231,18,22,5,20,10,21
HG001_01232,16,33,16,27,37,54
HG001_01233,514,955,792,1024,138,129
HG001_01234,1162,2013,1610,2626,4436,4761
HG001_01235,159,199,179,187,6288,6338
HG001_01236,502,1245,930,1273,486,481
HG001_01237,707,837,1304,1243,5221,4662
HG001_01238,731,913,869,980,1012,1064
HG001_01239,351,530,398,531,606,685
HG001_01240,238,405,300,423,460,506
HG001_01241,9,24,6,29,490,491
HG001_01242,153,329,105,349,319,182
HG001_01243,233,177,218,148,1917,1805
HG001_01244,354,250,342,179,206,208
HG001_01245,339,190,305,181,182,180
HG001_01246,33,24,34,16,113,130
HG001_01247,79,74,59,80,58,66
HG001_01248,445,799,400,731,182,226
HG001_01249,526,640,367,776,7984,8452
HG001_01250,34,92,55,93,3836,3925
HG001_01251,473,1028,520,903,198,244
HG001_01252,441,1062,402,890,747,893
HG001_01253,266,734,195,634,889,1133
HG001_01254,131,493,95,444,681,898
HG001_01255,137,425,112,410,615,862
HG001_01256,464,759,481,603,860,1026
HG001_01257,621,937,566,847,802,918
HG001_01258,1088,1496,735,1325,814,918
HG001_01259,3,13,3,14,1730,1882
HG001_01260,229,760,741,1455,464,169
HG001_01261,26,66,59,74,23956,20207
HG001_01262,63,102,113,130,1326,1039
HG001_01263,236,457,416,448,380,391
HG001_01264,749,1201,831,1235,1219,1340
HG001_01265,0,2,0,1,3186,3315
HG001_01266,46,82,35,82,3,3
HG001_01267,313,270,204,376,456,493
HG001_01268,178,122,100,161,929,1162
HG001_01269,527,812,416,620,534,604
HG001_01270,2287,2720,1477,2260,4146,4119
HG001_01271,307221,270139,192977,194082,9923,10408
HG001_01272,709174,639836,430823,471102,80084,95034
HG001_01273,338,785,293,590,170926,189753
HG001_01274,145,322,114,235,4023,3921
HG001_01275,20,19,17,18,1905,1942
HG001_01276,5137,3424,5654,2870,25,32
HG001_01277,7395,5135,9697,3951,2260,2316
HG001_01278,901,519,1060,443,2753,2444
HG001_01279,122,274,49,202,347,409
HG001_01280,387,712,221,527,2319,2401
HG001_01281,1104,2336,672,1684,2837,2903
HG001_01282,664,1468,410,1066,6511,6451
HG001_01283,1409,2993,901,2048,3895,3624
HG001_01284,1131,2273,761,1462,7094,6901
HG001_01285,932,1778,662,1173,5161,4969
HG001_01286,339,651,252,521,3842,3401
HG001_01287,323,538,192,480,2567,2809
HG001_01288,993,1594,644,1280,1704,1784
HG001_01289,143,241,68,170,3611,3931
HG001_01290,4,15,4,14,903,864
HG001_01291,1,0,0,0,117,123
HG001_01292,1,2,0,1,13,9
HG001_01293,68801,28554,105245,52283,52,34
HG001_01294,413,535,3413,1479,15319,39513
HG001_01295,937,793,4177,1679,1721,2299
HG001_01296,1602,1111,5066,1825,4303,6013
HG001_01297,2176,1377,9470,2161,4407,6123
HG001_01298,2176,1818,1442,1654,3554,5430
HG001_01299,3760,3983,2749,3221,3301,3816
HG001_01300,233,1152,199,850,9734,9984
HG001_01301,73,142,37,96,3233,2909
