,MS2contr_R1,MS2contr_R2,MS2RsaA_R1,MS2RsaA_R2,raw_MS2totRNA,raw_MS2RsaAtotRNA
HG001_00066,20,15,14,7,19,24
HG001_00067,109,96,65,76,54,62
HG001_00068,30,48,17,34,28,29
HG001_00069,59,77,34,60,101,102
HG001_00070,80,136,62,101,165,180
HG001_00071,54,75,34,65,132,109
HG001_00072,69,128,47,106,282,273
HG001_00073,73,135,78,116,326,343
HG001_00074,6,9,3,11,180,143
HG001_00075,9,22,13,28,469,316
HG001_00076,138982,118616,172176,96644,27900,29613
HG001_00077,43,45,59,75,107,254
HG001_00078,17,17,18,21,53,133
HG001_00079,556,633,519,1111,162,347
HG001_00080,175,216,202,427,94,210
HG001_00081,315,495,321,645,352,528
HG001_00082,346,330,287,203,3199,2411
HG001_00083,41431,38830,39712,26486,7965,7483
HG001_00084,274,673,243,469,1613,1514
HG001_00085,61,71,40,52,260,239
HG001_00086,342,471,279,371,1108,1051
HG001_00087,2072,2352,1320,2000,1904,2103
HG001_00088,7359,7542,4556,6595,15413,16251
HG001_00089,22,32,30,40,107,107
HG001_00090,14,38,14,17,46,55
HG001_00091,27,55,35,43,56,76
HG001_00092,86,142,77,126,221,221
HG001_00093,41,80,32,63,60,99
HG001_00094,370,762,353,628,1381,1418
HG001_00096,1,2,2,9,11,18
HG001_00097,1,2,0,4,16,10
HG001_00098,4,13,9,17,58,56
HG001_00099,1126,1103,1723,1018,811,940
HG001_00100,192,156,289,163,1083,1353
HG001_00101,379,285,509,282,1000,1224
HG001_00102,518,461,727,368,1315,1420
HG001_00103,1681,1378,2015,1072,2378,2457
HG001_00104,744,636,905,550,1199,1278
HG001_00105,705,583,854,485,1294,1259
HG001_00106,708,637,844,545,1509,1647
HG001_00107,274,256,344,215,586,626
HG001_00108,347,446,511,328,1097,1233
HG001_00109,253,368,343,261,988,889
HG001_00110,87,210,120,168,782,716
HG001_00111,426,596,508,420,1328,1378
HG001_00112,216,299,261,245,596,693
HG001_00113,360,468,430,359,1071,1153
HG001_00114,689,709,858,531,1949,2013
HG001_00115,971,1003,1168,717,1839,1998
HG001_00116,9,23,11,28,166,168
HG001_00117,1,10,2,16,154,155
HG001_00118,292,620,153,689,778,1200
HG001_00119,1423,591,502,541,955,1393
HG001_00120,69,93,44,104,932,1681
HG001_00121,13,13,16,10,250,227
HG001_00122,8,4,6,1,25,28
HG001_00123,11,23,6,24,83,66
HG001_00124,11,29,11,20,64,50
HG001_00125,116,185,83,143,245,234
HG001_00126,255,377,224,424,5651,6520
HG001_00127,198,143,106,99,143,202
HG001_00128,663,1859,908,3409,7339,11835
HG001_00129,106166,137495,137278,161009,197796,297608
HG001_00130,9963,14217,15820,17995,24832,39217
HG001_00131,4961,5136,5468,5557,13136,12805
HG001_00132,1731,1170,1882,1160,209,263
HG001_00133,2209,1243,2121,1296,257,316
HG001_00134,723,384,697,349,110,124
HG001_00135,83,48,84,94,63,58
HG001_00136,211,1064,183,824,2778,2582
HG001_00137,480,637,302,544,1205,1195
HG001_00138,1183,1555,399,1033,2646,2240
HG001_00139,3127,4145,1918,3465,5089,4890
HG001_00140,2934,6827,2227,5107,13897,12337
HG001_00141,2646,5034,1655,3856,8285,7926
HG001_00142,4066,7052,2460,5622,15640,15780
HG001_00143,1619,2905,1041,2648,9891,10276
HG001_00144,2,3,1,0,28,12
HG001_00145,926,2656,756,2262,8912,8701
HG001_00146,179,503,123,447,2272,1777
HG001_00147,232,608,165,510,1850,1716
HG001_00148,340,718,227,635,1958,2160
HG001_00149,177,250,146,229,266,297
HG001_00150,1,6,0,3,16,12
