,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_002407,39,54,69,42,32,51,44,63,44,23,35,27
RSAU_002408,1806,1830,1828,1565,1641,1670,1772,2210,1766,838,783,680
RSAU_002409,140,145,158,203,162,138,153,182,131,49,55,45
RSAU_002410,43898,39528,45395,41361,31288,36662,42882,49455,43383,22447,26401,22227
RSAU_002411,55,37,47,41,36,43,43,66,50,45,72,72
RSAU_002412,169,166,149,116,171,121,131,187,134,111,86,82
RSAU_002413,269,270,187,93,196,150,189,239,215,119,114,101
RSAU_002414,342,358,348,227,240,202,277,296,269,132,147,131
RSAU_002415,92,107,60,64,54,70,53,93,96,41,76,51
RSAU_002416,51,65,55,77,51,46,56,113,72,48,45,61
RSAU_002417,6,15,7,12,6,6,13,17,14,15,15,1
RSAU_002418,50,88,72,56,66,59,52,97,43,75,86,61
RSAU_002419,150,181,162,122,129,138,144,187,156,141,179,129
RSAU_002422,1152,1526,1157,995,1262,964,1081,1538,1203,684,933,684
RSAU_002423,65,74,78,56,61,66,66,85,57,52,57,45
RSAU_002424,48,30,23,26,9,21,18,41,36,16,23,19
RSAU_002425,7,11,8,4,1,5,6,11,10,2,7,5
RSAU_002426,16,17,10,17,18,10,11,12,17,7,12,6
RSAU_002427,4,22,8,2,12,13,5,10,5,4,8,3
RSAU_002428,1,1,0,1,2,1,0,2,3,0,0,2
RSAU_002429,225,297,204,193,272,180,207,299,186,124,174,131
RSAU_002430,609,626,601,486,510,535,566,745,627,318,350,243
RSAU_002431,347,369,359,308,369,339,341,413,353,217,214,168
RSAU_002432,132,136,137,106,138,133,140,170,159,105,129,97
RSAU_002433,550,645,409,260,598,442,306,363,325,226,277,178
RSAU_002434,57,61,46,54,50,43,51,63,60,29,25,28
RSAU_002435,206,220,185,199,157,143,150,195,149,119,132,93
RSAU_002436,394,361,369,358,326,362,330,528,349,236,229,194
RSAU_002437,139,128,148,105,144,113,119,195,153,104,65,81
RSAU_002438,311,298,245,264,277,237,285,363,284,182,181,132
RSAU_002439,327,461,343,329,330,330,335,457,338,198,186,147
RSAU_002440,283,370,256,266,280,221,272,396,351,192,181,118
RSAU_002441,288,277,240,215,261,239,193,283,253,141,164,139
RSAU_002442,163,183,147,143,139,139,129,175,133,99,119,84
RSAU_002443,209,216,213,134,180,154,179,231,220,143,166,110
RSAU_002444,480,343,398,314,287,346,424,470,371,484,806,570
RSAU_002445,46,38,61,37,44,36,38,44,47,81,112,89
RSAU_002446,98,130,85,38,81,72,50,141,73,71,65,54
RSAU_002447,7309,7034,6858,4417,5081,5092,4546,6257,5157,3212,4497,3288
RSAU_002448,20409,18055,18074,13915,14102,14267,16504,19286,17074,9858,10467,9321
RSAU_002449,4022,4046,3900,3159,3432,3257,3199,4338,3519,2377,2836,2275
RSAU_002450,65,84,50,51,73,57,58,81,58,38,43,36
RSAU_002451,20,10,3,14,12,16,14,18,12,19,20,12
RSAU_002452,3419,1400,908,3389,1244,759,1271,1223,994,3072,4300,3257
RSAU_002453,5249,2217,1198,4662,2047,1098,1744,1813,1447,4130,5532,4185
RSAU_002454,287,234,231,263,191,202,202,290,254,251,286,253
RSAU_002455,394,435,272,231,343,251,271,479,360,220,255,245
RSAU_002456,665,298,246,514,257,233,289,326,271,503,643,458
RSAU_002457,131,138,103,104,142,88,119,130,100,78,88,63
RSAU_002458,243,316,209,214,232,179,230,282,243,203,160,97
RSAU_002459,17,29,21,43,26,19,26,61,24,33,23,16
RSAU_002460,1232,1153,1276,1221,1082,1225,950,1244,1015,702,620,479
RSAU_002461,1717,1691,1691,1463,1484,1615,1178,1699,1411,915,852,611
RSAU_002462,122,124,95,84,103,89,93,120,89,61,60,69
RSAU_002463,23,29,27,17,16,14,26,27,13,13,20,10
RSAU_002464,39,38,29,24,26,30,30,19,19,23,19,27
RSAU_002465,226,236,225,197,229,195,208,291,221,120,137,85
RSAU_002466,54,71,56,53,43,48,36,61,62,31,39,23
RSAU_002467,698,680,669,596,708,657,620,737,602,400,365,301
RSAU_002468,740,622,644,589,648,579,597,723,670,329,370,307
RSAU_002469,45,35,52,40,37,33,61,58,37,26,37,18
RSAU_002470,56,57,60,65,32,66,63,83,85,44,44,19
RSAU_002471,303,309,260,177,228,261,233,319,232,178,175,153
RSAU_002472,174,155,158,111,168,122,136,151,129,97,110,82
RSAU_002473,3103,3831,3351,3348,2870,2610,3753,3672,3331,2242,2236,1691
RSAU_002474,102,102,104,86,102,84,105,121,81,59,48,45
RSAU_002475,81,79,82,71,74,57,70,89,75,37,42,31
RSAU_002476,13,14,19,27,21,18,19,30,15,20,15,9
RSAU_002478,18,26,14,21,23,8,12,25,15,11,7,7
RSAU_002479,25,30,13,16,27,28,25,30,24,18,18,10
RSAU_002480,41,52,59,51,40,39,74,89,88,86,96,57
RSAU_002481,663,690,598,636,560,426,549,684,551,322,418,385
RSAU_002482,87,67,108,108,65,58,117,114,87,36,56,54
RSAU_002483,416,396,426,367,354,322,363,451,429,276,307,222
RSAU_002484,453,375,328,294,324,313,361,444,385,350,360,275
RSAU_002485,342,347,340,254,261,231,319,377,287,269,266,177
RSAU_002486,1533,1704,1778,1674,1547,1576,1598,1825,1737,966,1038,677
RSAU_002487,5381,6286,6488,5933,5343,4866,6272,6975,5949,3561,3823,2626
RSAU_002488,2029,2257,1910,1345,1712,1512,1600,2233,1705,1260,1331,1202
RSAU_002489,614,608,489,429,474,476,493,715,523,279,377,342
RSAU_002490,1020,1199,1018,781,991,813,1020,1307,1111,591,634,461
RSAU_002491,504,685,501,440,510,403,571,733,612,330,414,243
RSAU_002492,502,629,476,407,452,396,498,653,516,325,418,253
RSAU_002493,28,43,40,45,44,26,42,50,41,27,20,22
RSAU_002494,57,83,60,64,58,64,103,97,110,37,59,34
RSAU_002495,55,66,67,69,64,42,81,113,65,30,29,35
RSAU_002496,44,60,44,32,43,29,36,61,42,26,31,23
RSAU_002497,2630,3447,3272,3559,2963,2492,3325,3818,3477,1990,2442,1462
RSAU_002498,704,631,625,495,515,531,506,606,584,544,665,528
RSAU_002499,19,21,27,31,31,8,36,37,26,17,25,10
RSAU_002500,29,29,44,41,18,19,32,50,34,20,30,18
RSAU_002501,18,15,20,16,17,14,26,33,26,16,14,8
RSAU_002502,57,48,82,71,47,45,60,88,81,42,44,24
RSAU_002503,291,265,195,122,182,174,185,343,248,164,253,174
RSAU_002504,119,158,121,97,96,79,94,176,126,54,91,51
RSAU_002505,15,22,28,14,14,15,16,22,20,10,8,8
RSAU_002506,27,17,17,16,19,24,16,28,20,5,8,8
RSAU_002507,29,19,23,13,17,12,14,25,18,14,17,9
RSAU_002508,9,5,7,6,9,6,8,9,2,8,2,4
RSAU_002509,2,0,2,0,3,6,5,3,1,4,0,2
RSAU_002510,802,919,692,538,810,640,593,807,607,523,525,505
RSAU_002511,9,5,6,8,9,3,6,10,6,5,5,4
RSAU_002512,12,6,8,7,4,6,6,11,4,5,4,2
RSAU_002513,26,21,19,23,25,20,22,16,17,21,24,12
RSAU_002514,47459,57167,52341,45367,36255,32411,43573,56133,46000,35916,32005,28114
RSAU_002515,72,72,52,46,61,60,75,78,61,42,40,41
RSAU_002516,7,9,10,11,8,4,11,9,5,3,7,4
RSAU_002517,15,34,25,18,29,18,19,30,23,3,23,15
RSAU_002518,3,6,9,11,10,11,10,9,10,1,6,3
RSAU_002519,5,9,3,6,2,5,0,4,2,4,3,3
RSAU_002520,5,7,6,5,1,3,3,8,2,0,3,1
RSAU_002521,3,6,4,8,5,2,8,11,5,1,2,0
RSAU_002522,14,24,14,15,4,12,10,16,15,9,12,6
RSAU_002523,13,11,10,16,5,18,6,25,17,11,13,7
RSAU_002524,5,8,5,5,3,3,4,4,2,1,6,5
RSAU_002525,5,8,0,9,3,5,7,13,3,6,6,5
RSAU_002526,45,69,69,52,58,64,53,91,65,39,55,43
RSAU_002527,22,23,26,29,18,24,24,34,25,20,14,16
RSAU_002528,32,38,17,21,18,20,18,32,14,22,23,6
RSAU_002529,72,57,64,62,49,48,58,93,83,63,60,53
RSAU_002530,17,8,15,4,7,14,10,24,9,12,20,17
RSAU_002531,20,27,16,9,10,11,17,19,15,23,36,29
RSAU_002532,2300,1997,1853,1228,1495,1416,1329,1905,1474,2138,2242,1995
RSAU_002533,508,468,451,358,387,406,377,485,435,189,229,187
RSAU_002534,1356,1233,1246,1011,890,1064,898,1209,997,766,901,681
RSAU_002535,127,122,119,109,97,108,131,168,120,99,106,92
RSAU_002536,114,156,94,73,134,107,98,141,96,78,55,73
RSAU_002537,6,5,3,7,2,6,8,11,4,4,3,6
RSAU_002538,35,54,53,33,50,28,50,71,56,27,39,41
RSAU_002539,78,64,73,91,58,62,71,105,82,40,46,44
RSAU_002540,374,354,327,287,329,321,275,365,340,266,390,242
RSAU_002541,532,612,427,397,459,414,368,481,351,302,380,311
RSAU_002542,96,122,91,65,79,56,64,123,85,29,56,39
RSAU_002543,869,948,739,612,767,587,637,755,613,289,390,329
RSAU_002544,763,836,612,515,690,528,500,650,507,333,366,314
RSAU_002545,135,196,160,98,156,131,137,204,166,81,114,74
RSAU_002546,34,45,48,46,49,41,51,55,35,30,42,28
RSAU_002547,156,175,179,145,156,131,176,224,149,93,127,81
RSAU_002548,11,29,27,16,17,10,11,13,23,14,12,8
RSAU_002549,189,148,182,139,144,144,136,197,178,96,116,85
RSAU_002550,76,75,69,52,54,53,60,66,59,36,52,32
RSAU_002551,66,64,64,53,52,59,62,59,75,46,45,35
RSAU_002552,42,21,35,20,18,20,35,47,32,26,19,17
RSAU_002553,1266,900,919,551,848,1271,986,1328,1386,1424,1691,1306
RSAU_002554,50,38,33,32,46,40,38,45,38,28,25,21
RSAU_002555,18,13,7,8,10,10,12,22,13,7,11,1
RSAU_002556,0,3,0,1,1,1,0,0,3,0,3,1
RSAU_002557,2300,2409,2468,2281,2108,2128,2177,2821,2434,1202,1325,865
RSAU_002558,674,785,889,816,739,642,846,1124,975,398,443,268
RSAU_002559,1147,1349,1572,1372,1240,1346,1479,2012,1641,770,822,542
RSAU_002560,530,501,607,463,437,501,531,723,521,324,330,259
RSAU_002561,126,92,131,167,132,127,140,150,141,69,83,65
RSAU_002562,551,470,456,334,356,627,474,691,633,423,453,386
