,111171_A,111171_B,111171_C,111171_D,111171_E,111171_F,111171_G,111171_H,111171_I,111171_J,111171_K,111171_L
RSAU_001782,468,440,374,317,409,388,283,396,344,216,291,245
RSAU_001783,1399,1407,1308,945,1126,1088,893,1359,968,1022,1099,921
RSAU_001785,1386,1486,1280,1111,1202,1108,1154,1493,1210,881,956,802
RSAU_001786,5506,5885,6182,5336,5690,5300,5556,6780,5861,2956,3086,2181
RSAU_001787,3320,3681,3733,3012,3529,3102,3521,4229,3638,1836,1679,1274
RSAU_001788,85,93,58,43,58,81,55,123,87,53,35,32
RSAU_001789,1171,1037,922,845,873,793,921,1164,889,891,1006,740
RSAU_001790,2142,2424,2712,2489,2310,2262,2222,2835,2437,1219,1110,836
RSAU_001791,1319,1604,1789,1675,1550,1508,1500,2127,1736,790,755,481
RSAU_001792,1185,1489,1595,1522,1367,1360,1336,1805,1528,779,797,497
RSAU_001793,198,271,256,182,161,208,254,318,263,138,173,117
RSAU_001794,1151,1004,1302,1123,1015,1117,1000,1376,1228,493,509,404
RSAU_001795,2295,2199,2615,2044,2172,2625,2213,3074,2672,1086,1056,822
RSAU_001796,519,304,439,400,260,296,615,686,580,536,528,501
RSAU_001797,130,113,151,164,140,164,155,169,163,98,89,64
RSAU_001798,198,197,211,197,276,256,182,241,187,168,133,129
RSAU_001799,736,719,696,643,796,730,646,833,692,440,328,268
RSAU_001800,686,787,729,700,850,742,769,873,726,430,435,283
RSAU_001801,670,642,657,588,573,643,598,789,629,462,447,304
RSAU_001802,885,862,906,766,748,738,782,937,842,541,580,417
RSAU_001803,1629,1797,1367,1285,1483,1287,1592,2137,1747,1189,1266,1006
RSAU_001804,244,326,265,221,242,208,250,443,289,167,213,126
RSAU_001805,761,808,624,514,623,515,597,841,690,563,520,470
RSAU_001806,5521,5364,4783,3638,4656,3950,4039,5190,4169,3199,3110,2716
RSAU_001807,5650,5942,5469,4289,4515,4210,4661,5830,4983,3413,3484,2654
