,WT-qscR-1 raw counts,WT-qscR-2 raw counts,qscR-1 raw counts,qscR-2 raw counts
PA0311,5,2,2,0
PA0312,20,18,9,5
PA0313,12,12,8,6
PA0314,7,17,12,3
PA0315,6,9,11,3
PA0316,47,45,32,11
PA0317,28,25,18,10
PA0318,32,5,7,2
PA0319,6,16,8,3
PA0320,7,1,1,3
PA0321,8,9,2,1
PA0322,13,13,2,2
PA0323,10,11,3,3
PA0324,4,9,0,3
PA0325,12,7,2,2
PA0326,8,8,1,1
PA0327,12,14,10,3
PA0328,36,36,12,5
PA0329,42,40,26,18
PA0330,11,14,7,5
PA0331,8,23,5,3
PA0332,16,26,13,8
PA0333,13,26,3,4
PA0334,14,12,6,5
PA0335,12,5,4,2
PA0336,37,41,12,10
PA0337,137,134,63,35
PA0338,21,28,13,5
PA0339,7,13,3,2
PA0340,11,15,3,4
PA0341,3,9,5,3
PA0342,12,15,9,2
PA0343,8,21,7,1
PA0344,19,9,10,6
PA0345,25,26,9,3
PA0346,4,4,0,0
PA0347,11,5,5,1
PA0348,12,14,1,1
PA0349,6,11,3,1
PA0350,2,5,1,0
PA0351,5,10,2,1
PA0352,12,10,9,2
PA0353,70,68,28,16
PA0354,14,25,6,3
PA0355,17,25,4,1
PA0356,5,5,4,1
PA0357,3,8,3,4
PA0358,5,4,2,1
PA0359,26,25,15,1
PA0360,12,21,7,9
PA0361,22,41,9,12
PA0362,10,4,1,3
PA0363,6,4,1,2
PA0364,19,17,4,4
PA0365,8,5,6,1
PA0366,54,55,38,23
PA0367,6,5,14,1
PA0368,15,12,1,0
PA0369,2,1,2,0
PA0370,4,5,3,0
PA0371,22,19,9,9
PA0372,25,18,7,11
PA0373,39,39,18,11
PA0374,22,18,4,4
PA0375,32,22,7,7
PA0376,220,263,134,89
PA0377,7,5,4,0
PA0378,8,6,0,1
PA0379,3,2,1,0
PA0380,2,0,0,2
PA0381,15,9,5,4
PA0382,2,1,1,2
PA0383,27,22,8,7
PA0384,3,2,5,0
PA0385,1,2,0,1
PA0386,7,16,2,1
PA0387,91,126,34,10
PA0388,127,118,31,15
PA0389,2,4,2,0
PA0390,20,14,3,7
PA0391,39,50,32,12
PA0392,9,4,3,5
PA0393,12,25,8,8
PA0394,13,22,11,8
PA0395,36,35,21,6
PA0396,114,127,54,27
PA0397,24,19,10,8
PA0398,2,5,3,0
PA0399,32,31,16,13
PA0400,19,16,18,8
PA0401,16,21,5,5
PA0402,20,20,17,8
PA0403,4,6,4,5
PA0404,5,7,7,3
PA0405,11,15,11,1
PA0406,6,10,9,4
PA0407,104,101,39,27
PA0408,55,77,34,37
PA0409,23,21,12,7
PA0410,10,6,3,1
PA0411,34,53,19,10
PA0412,21,11,6,6
PA0413,169,143,55,29
PA0414,10,9,2,1
PA0415,0,5,3,1
PA0416,7,4,2,1
PA0417,2,3,0,0
PA0418,10,14,2,0
PA0419,3,6,2,1
PA0420,23,13,6,6
PA0421,37,32,15,2
PA0422,7,10,4,1
PA0423,4,8,6,0
PA0424,25,16,11,7
PA0425,25,28,21,7
PA0426,117,105,78,47
PA0427,186,159,61,38
PA0428,41,45,39,30
PA0429,36,36,32,19
PA0430,23,19,13,13
PA0431,12,6,28,18
PA0432,132,107,185,115
PA0433,0,3,0,0
PA0434,23,19,2,4
PA0435,16,10,0,2
PA0436,6,21,18,12
PA0437,14,23,13,3
PA0438,6,11,2,3
PA0439,7,7,0,2
PA0440,18,9,7,1
PA0441,11,14,4,2
PA0442,0,0,0,0
PA0443,9,5,1,2
PA0444,20,15,6,2
PA0445,0,0,0,0
PA0446,111,127,74,41
PA0447,508,501,289,179
PA0448,10,11,9,1
PA0449,21,38,19,7
PA0450,18,20,3,1
PA0451,404,431,95,49
PA0452,63,73,12,7
PA0453,26,27,8,1
PA0454,44,28,12,5
PA0455,14,14,10,2
PA0456,13,18,18,10
PA0457,1,6,7,4
PA0457.1,3,3,1,1
PA0458,15,15,5,2
PA0459,235,224,300,179
PA0460,37,37,44,21
PA0461,9,12,7,9
PA0462,20,22,12,9
PA0463,2,4,1,0
PA0464,14,19,2,2
PA0465,18,17,5,5
PA0466,1,3,0,0
PA0467,4,13,6,3
PA0468,38,37,10,6
PA0469,28,24,6,8
PA0470,36,10,5,3
PA0471,10,9,2,1
PA0472,3,2,0,0
PA0473,13,18,11,6
PA0474,0,2,2,0
PA0475,9,3,1,1
PA0476,31,22,8,5
PA0477,7,4,5,0
PA0478,4,4,2,0
PA0479,22,11,6,3
PA0480,7,7,1,1
PA0481,2,2,2,1
PA0482,75,96,96,52
PA0483,14,13,8,2
PA0484,17,40,24,15
PA0485,17,23,3,5
PA0486,7,11,2,6
PA0487,10,7,4,7
PA0488,2,2,0,0
PA0489,6,1,8,0
PA0490,9,5,0,1
PA0491,5,5,3,1
PA0492,3,8,0,2
PA0493,1,0,0,0
PA0494,19,6,0,0
PA0495,10,10,4,3
PA0496,8,4,4,0
PA0497,15,8,1,1
PA0498,33,35,10,6
PA0499,4,7,0,1
PA0500,26,21,16,4
PA0501,25,21,4,1
PA0502,21,22,13,5
PA0503,10,11,5,4
PA0504,6,4,1,2
PA0505,48,37,29,16
PA0506,164,170,66,39
PA0507,16,18,2,4
PA0508,23,26,2,6
PA0509,29,25,41,13
PA0510,9,19,23,19
PA0511,21,31,30,23
PA0512,5,2,7,9
PA0513,5,4,17,6
